	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Sat1	66.96	75.48	230.47	154.04	309.01	121.08	0.0	0.0	117.63	3896.55	24.04	202.53	389.53	447.19	213.2	483.0	444.13	474.37	0.41	354.8	141.0	0.0	432.77	646.74	576.88	504.56	447.52	344.89	296.02	179.97	208.42	204.93	62.07	166.6	305.35	70.33	129.76	124.01	267.52	113.24	337.5	149.46	132.51	129.7	299.25	239.99	113.22	84.33	55.09	137.25	281.31	476.1	241.06	0.0	365.08	63.68	180.89	0.0	570.16	157.7	175.79	55.8	107.54	260.01	240.87	289.36	129.82	146.91	73.29	9738.41	126.05	148.01	169.49	136.23	152.22	121.47	128.54	149.29	95.18	119.58	36.93	557.54
Sept7	446.4	427.46	227.41	537.91	650.55	634.84	0.16	125.31	785.88	407.29	765.84	1093.8	864.99	780.6	272.2	981.9	1101.33	931.79	1420.62	1211.83	1476.41	1563.35	278.68	1685.97	778.86	926.7	1182.13	1186.71	1046.75	958.54	573.94	446.23	648.29	333.07	678.12	475.97	536.53	507.77	443.29	427.37	252.05	508.51	485.36	559.32	649.75	528.13	199.41	368.91	566.45	308.67	511.24	684.16	473.07	572.55	458.68	324.65	461.42	189.27	696.48	551.21	463.19	738.81	297.34	340.22	634.62	370.76	444.61	345.18	582.33	0.91	500.36	534.18	465.03	609.88	315.17	862.15	498.5	815.1	334.91	576.61	717.53	661.23
Sepw1	1905.98	1180.47	1512.95	2499.88	2569.26	1652.22	774.33	1546.25	2648.38	224.31	1329.62	2712.99	2633.19	3057.7	3137.39	3584.78	2719.79	2968.75	3958.21	2792.11	3193.44	1498.69	453.56	3463.76	2385.18	2991.62	2189.59	3465.05	3348.34	3243.89	2993.07	1467.17	1577.91	1586.11	896.21	1256.45	1945.51	1730.99	1930.63	1804.51	1733.38	1478.82	1602.02	1701.61	2261.9	2373.48	1814.84	1702.41	1796.74	1226.18	3641.54	2852.74	1569.57	3205.16	2507.46	1292.38	1486.61	2121.06	1827.07	1835.39	1443.76	2267.47	2155.81	2052.72	1766.63	1966.92	1849.12	1436.32	1315.92	296.18	1551.35	975.1	2146.26	1990.94	2085.1	1340.52	2495.6	1598.07	2209.69	2070.56	1507.02	3088.24
Sgk1	0.54	89.57	0.29	0.0	0.0	95.56	0.0	0.0	168.57	4493.41	67.48	0.1	230.6	55.82	63.64	82.3	0.0	0.27	461.58	189.71	0.23	308.26	0.0	467.83	246.88	148.82	160.57	200.37	0.0	250.91	101.14	0.07	0.0	0.0	0.0	0.07	0.0	0.09	0.13	0.0	0.13	0.12	0.16	35.9	1.58	0.76	20.39	13.51	0.25	0.0	0.0	132.07	0.0	0.0	115.76	0.0	0.0	9.73	79.34	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.1	41.3	0.55	12095.23	0.0	52.87	41.52	87.69	0.0	151.27	0.0	84.77	0.24	0.0	0.0	390.77
Slc6a1	194.51	580.61	32.26	406.36	511.8	350.77	0.0	0.0	2088.83	0.0	930.06	2442.08	2037.97	4091.34	3430.24	2573.73	5514.67	3929.52	3905.72	4140.23	4709.35	3231.39	1658.78	2865.65	1740.15	3379.48	2383.92	2381.1	4123.17	2968.49	3453.96	136.25	71.39	236.08	60.26	380.46	105.98	282.11	226.37	291.75	184.97	373.93	207.72	87.3	391.62	398.09	320.71	132.66	174.3	145.54	4437.83	2630.63	149.2	2591.28	2658.81	303.02	341.08	298.54	2662.68	0.05	74.71	346.01	151.06	144.58	276.23	247.28	120.03	245.39	800.76	0.18	635.89	881.41	380.12	200.16	204.75	603.16	172.28	301.08	230.36	366.56	258.52	1190.17
Snrpb2	114.37	59.88	90.81	221.62	38.39	6.88	0.0	12.47	126.2	0.0	1.23	100.96	36.26	221.26	261.75	150.6	28.25	185.15	362.02	182.24	0.91	151.11	13.17	124.11	51.13	245.8	133.17	138.72	208.8	115.88	101.71	49.2	96.17	6.54	62.64	110.09	120.29	24.18	36.92	1.7	39.07	68.3	79.98	26.71	43.03	36.05	52.9	90.62	61.33	9.34	86.26	31.06	58.35	115.62	55.42	60.39	72.33	130.91	0.0	87.99	62.57	52.6	0.23	81.01	9.37	98.45	33.39	75.03	125.02	527.52	147.39	0.0	107.19	128.79	93.25	53.52	31.93	77.47	42.05	107.84	3.11	150.3
Snx10	290.31	221.85	221.44	76.09	181.42	362.49	0.0	0.0	967.69	0.0	529.4	405.53	611.88	461.49	476.74	626.82	729.48	1364.06	665.68	801.56	490.44	479.4	153.99	723.59	50.25	787.08	253.91	542.18	593.65	372.11	1145.99	329.91	236.71	164.57	93.06	216.15	244.27	326.96	531.8	303.8	192.14	378.03	307.0	231.32	261.5	350.08	212.65	204.74	388.84	195.36	823.49	152.96	308.26	655.75	687.65	255.08	506.42	274.11	577.21	21.08	134.07	299.88	116.77	200.35	153.61	190.88	266.93	199.56	555.59	40.85	514.26	310.3	268.26	309.21	211.89	77.29	211.76	403.48	167.49	315.09	358.06	653.07
Sox5	0.09	0.0	0.0	0.0	0.0	0.03	0.0	0.06	0.59	0.0	0.04	0.0	12.53	39.09	16.01	28.76	5.21	41.9	9.17	17.18	0.83	58.6	0.0	44.13	0.0	0.0	12.02	10.81	0.56	6.87	9.54	0.05	0.0	0.0	0.01	0.0	0.02	0.03	0.03	0.03	0.04	0.04	0.0	0.0	6.38	0.0	0.03	0.08	0.0	0.0	1.8	4.54	0.0	1.39	59.52	0.0	0.0	0.03	0.04	0.03	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.03	0.06	0.0	0.0	0.0	10.43	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	1.84
Spock1	0.0	82.87	0.0	44.92	9.08	0.0	0.0	0.0	133.3	0.0	45.85	152.06	151.06	49.2	348.33	200.32	277.63	82.11	744.1	60.51	29.34	164.25	35.7	169.7	184.56	112.78	134.4	245.73	127.02	240.52	170.85	0.14	0.23	2.0	0.1	13.96	0.0	0.0	0.02	2.2	7.97	44.98	26.87	35.11	66.37	11.28	91.3	0.18	1.26	20.86	119.68	42.93	2.42	301.87	167.72	24.59	37.77	0.0	98.64	0.55	3.14	0.0	1.66	0.0	45.39	1.04	2.07	5.4	106.59	0.0	44.43	73.24	0.05	19.76	3.67	31.85	1.46	9.02	2.5	1.81	0.17	0.0
Sv2a	87.21	133.55	188.74	89.17	11.58	86.37	0.0	0.0	104.55	0.0	165.33	211.52	114.86	521.14	293.01	728.63	645.86	363.2	708.27	451.82	325.96	607.98	0.0	133.15	196.66	496.73	76.77	316.92	236.29	255.89	239.81	172.66	150.24	149.6	76.27	60.63	138.62	155.33	139.92	44.28	31.77	60.44	54.79	127.08	65.69	153.44	64.42	190.79	181.48	119.27	171.42	110.35	72.42	96.41	115.03	47.95	83.75	77.31	229.46	106.52	135.34	83.75	57.37	130.42	30.97	28.39	15.96	59.77	127.58	0.0	36.62	110.4	36.85	232.03	20.83	112.22	128.48	110.9	30.62	86.59	69.32	302.89
Tex9	2.21	8.1	0.75	0.48	0.71	0.38	0.46	0.71	2.6	0.22	15.26	2.91	0.64	41.82	51.95	69.57	41.61	5.12	117.74	106.92	8.63	8.94	0.4	0.62	85.52	0.64	17.89	13.92	84.78	38.4	3.2	6.46	13.5	21.31	12.29	3.06	38.74	17.75	26.55	12.19	10.52	20.08	34.53	1.42	0.94	5.12	11.85	26.54	0.66	0.89	4.26	83.44	27.58	1.39	6.43	19.8	0.87	0.18	10.69	1.64	1.88	19.58	21.36	0.34	31.6	0.7	15.46	6.86	2.6	1.45	0.77	9.62	0.0	0.48	0.26	1.44	0.31	11.91	7.81	5.04	0.23	2.23
Thrsp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.52	0.0	0.0	791.78	229.52	444.39	556.1	327.29	153.03	351.3	17.12	217.4	87.99	173.24	0.0	205.55	0.4	421.19	449.87	273.93	206.78	372.82	287.83	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.5	0.0	0.0	0.0	0.0	0.0	131.72	185.22	0.0	473.72	756.74	0.0	0.0	0.0	457.76	0.0	0.0	0.0	0.0	0.0	60.92	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0
Tmem55a	0.56	65.79	8.44	80.77	36.99	41.33	0.0	0.0	279.66	0.0	194.19	210.82	316.81	774.82	330.13	320.68	223.89	445.83	519.48	692.61	512.74	298.25	0.0	512.5	411.63	178.5	285.18	185.76	550.32	316.78	347.36	169.94	134.79	80.42	93.15	56.63	1.99	107.17	27.18	51.09	37.27	101.35	4.95	66.36	218.51	91.45	27.48	21.24	34.58	1.2	305.42	490.74	34.65	165.71	34.11	50.89	0.0	93.29	186.01	0.0	133.58	45.84	62.92	25.88	121.24	97.38	169.54	191.44	262.1	0.0	155.09	73.86	0.0	195.68	103.64	128.55	235.04	39.25	24.72	124.93	30.21	0.0
Uros	81.85	67.92	11.08	171.39	0.0	0.0	0.0	0.0	167.2	0.0	151.75	181.44	66.11	120.76	47.0	0.0	164.59	398.9	382.18	95.99	184.58	31.45	0.0	199.83	145.55	78.74	38.57	188.59	338.43	137.76	0.23	186.56	0.0	48.43	56.21	57.09	0.08	50.8	64.66	32.99	50.7	91.84	86.61	76.16	95.68	35.55	59.42	173.02	0.0	0.0	0.0	74.98	0.0	0.0	85.23	0.0	97.74	0.0	298.48	0.0	62.85	42.04	4.5	172.77	15.28	86.71	53.27	28.66	20.66	0.0	37.75	0.22	0.0	69.17	192.41	105.77	41.71	170.88	60.52	49.87	38.85	0.0
Vldlr	0.0	17.17	8.13	0.0	0.0	4.7	0.0	0.0	19.26	0.06	9.02	17.34	0.05	36.19	70.07	95.41	108.2	31.47	19.83	24.4	53.75	82.91	0.0	131.47	3.92	0.0	126.72	29.87	69.05	7.44	50.02	0.04	0.0	15.81	45.51	1.24	0.06	2.19	10.13	0.0	1.67	0.66	10.0	0.05	13.69	0.0	1.1	0.0	3.73	45.58	49.36	35.62	0.0	42.27	19.29	0.0	12.99	0.0	31.27	0.0	21.84	11.58	1.13	0.0	0.0	0.06	0.0	0.18	19.45	0.0	0.0	0.04	16.16	0.0	0.0	66.78	2.33	0.0	0.0	2.51	9.34	133.45
Wdr13	0.46	0.35	16.55	0.76	0.0	0.5	0.0	0.0	1.12	2.22	54.79	0.0	23.58	89.93	0.2	0.51	12.87	0.0	0.0	53.7	16.23	84.38	0.0	84.16	1.13	0.0	0.68	2.51	0.0	3.22	67.52	0.08	0.52	1.31	0.0	0.04	0.22	36.13	19.13	0.17	56.61	26.81	6.0	0.86	57.88	11.3	50.63	7.72	0.0	0.12	0.0	83.23	0.14	0.0	2.68	0.38	0.11	0.56	63.91	1.23	0.0	7.66	13.19	0.76	0.0	0.0	30.81	0.41	47.2	0.0	0.0	9.21	0.0	0.96	0.0	0.0	1.05	0.0	10.99	0.22	16.17	0.0
Ypel5	121.5	177.98	221.89	98.09	170.82	91.06	1355.89	0.15	417.81	0.0	478.8	562.75	676.78	484.76	261.13	279.17	585.0	601.83	177.8	515.55	498.23	666.72	95.07	788.75	715.4	657.76	359.21	756.55	616.87	423.88	734.88	208.07	284.85	144.14	288.4	219.06	299.08	125.98	122.39	130.31	100.48	140.96	133.19	100.68	285.57	128.5	68.04	273.56	290.35	108.35	370.07	661.87	218.83	773.7	346.29	274.36	89.42	447.44	342.84	223.66	205.33	198.76	140.11	114.38	224.54	131.73	100.32	204.67	364.77	403.66	244.17	311.52	81.1	243.23	297.12	237.76	173.42	612.62	477.35	42.16	423.48	214.53
Zfp655	5.23	0.0	0.0	0.1	142.77	26.3	0.0	0.0	64.0	0.0	234.15	0.0	17.74	108.66	200.02	82.08	191.25	159.48	29.32	189.75	92.26	182.99	69.53	302.34	154.29	0.0	20.44	153.54	7.22	135.09	130.7	66.23	61.01	29.52	167.26	17.33	115.38	3.9	29.72	29.04	100.17	7.91	29.14	82.28	11.39	87.5	47.4	2.62	68.92	0.0	69.2	73.54	39.99	163.9	81.53	76.82	0.0	59.99	0.0	113.33	70.14	68.46	79.61	49.09	184.2	104.21	104.19	56.33	174.4	0.0	45.18	0.0	43.95	69.47	0.0	190.97	2.59	68.72	148.57	34.09	12.3	210.66
Zmat4	0.0	53.32	0.0	4.29	0.09	0.06	0.0	0.0	157.1	0.0	0.0	144.62	224.41	146.17	292.02	169.79	144.52	64.99	636.28	87.25	138.28	290.09	0.0	79.02	31.95	377.04	186.71	191.55	67.3	119.07	92.56	60.21	0.09	13.8	0.6	0.08	0.19	0.02	0.05	0.0	0.0	0.0	0.09	0.0	55.45	0.0	0.0	41.93	0.0	0.0	214.67	98.62	0.0	311.98	334.48	0.0	0.0	0.0	84.53	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82	0.0	0.0	0.0	0.22	0.05	0.14	4.65	41.46
