	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Tirap	5.02	5.14	4.93	3.99	15.65	11.59	5.21	6.78	8.36	9.23	10.49	10.43	10.04	8.97	16.05	3.88	4.47	9.34	4.55	3.49	3.29	7.07	4.84	9.27	2.95	4.18	7.51	4.62	4.04	4.67	7.76	5.63	5.79	4.07	1.91	7.8	6.82	6.38	3.5	5.34	5.43	4.35	4.02	7.29	6.79	38.63	82.41	55.3	83.29	21.24	33.15	3.6	5.43	9.43	3.2	18.79	4.91	3.68	4.77	6.05	37.47
Tmem82	2.62	5.58	1.36	3.7	9.8	1.9	2.92	3.81	6.76	9.08	12.24	3.86	2.29	4.53	4.29	3.14	1.31	2.84	3.32	2.31	1.34	2.4	1.84	6.56	1.71	0.56	1.82	2.94	3.22	2.43	3.42	3.17	3.61	3.13	1.9	4.16	3.59	4.04	2.39	2.37	3.96	2.07	2.36	1.43	3.41	34.83	46.54	50.05	60.39	27.34	27.17	2.44	2.46	3.79	1.07	5.28	2.38	3.28	2.27	0.96	5.01
Tnfrsf10b	15.14	19.8	4.92	20.79	47.15	19.12	26.2	34.69	25.83	39.77	86.75	37.59	22.65	15.1	71.39	12.07	14.63	14.0	16.76	16.1	8.65	14.94	17.52	16.96	10.95	8.89	13.68	13.34	13.71	13.89	21.76	16.16	13.58	14.52	12.77	29.68	28.92	17.32	15.56	15.53	17.34	15.61	16.95	12.48	14.5	93.75	230.18	152.59	268.9	76.11	163.76	11.01	12.74	35.19	17.91	53.62	11.1	14.12	14.41	9.27	29.79
Ttc14	0.11	6.56	9.48	0.1	92.32	26.23	15.56	38.5	2.47	36.12	85.92	37.38	60.62	41.52	9.96	12.14	6.53	3.16	0.71	0.24	0.03	27.35	11.72	0.98	5.15	24.04	12.02	6.87	21.34	0.0	25.51	14.89	0.0	6.24	8.7	9.5	6.54	0.84	0.0	5.75	0.09	18.16	0.74	6.08	10.83	238.52	111.12	605.95	219.91	291.52	29.16	0.15	9.74	3.95	0.6	31.45	7.2	5.38	3.06	11.46	6.94
Ttc3	167.93	361.34	102.59	227.12	551.3	257.95	253.73	533.85	187.41	504.72	1174.39	424.38	304.26	380.83	217.99	171.42	222.12	161.41	112.39	120.18	102.28	156.89	207.73	172.31	157.83	224.21	148.39	183.89	131.92	208.72	282.82	210.89	149.63	125.74	142.13	300.66	211.2	325.46	273.28	191.36	122.39	193.81	125.06	249.86	228.16	408.2	459.12	502.02	641.3	218.84	369.67	165.78	317.41	519.09	220.25	618.61	223.54	266.02	199.72	201.56	468.74
Tyms	26.34	36.47	13.83	32.95	96.6	49.42	56.52	52.39	74.38	102.28	131.26	82.16	48.77	75.33	80.33	29.76	25.58	32.94	44.9	22.11	49.25	33.64	28.68	30.96	29.46	38.94	42.62	32.58	52.01	23.06	35.02	55.09	39.71	39.11	32.93	42.75	48.63	36.84	26.7	29.24	26.58	29.69	30.48	41.14	38.59	92.65	604.82	441.41	599.79	114.21	204.72	33.14	34.68	61.34	44.58	60.05	40.1	50.3	20.99	14.7	36.9
Tyr	34.42	41.23	13.98	29.14	99.9	44.2	37.85	61.32	62.94	99.76	161.81	49.6	55.3	45.39	57.89	22.7	22.96	29.96	22.52	21.25	19.18	26.6	24.3	30.55	27.56	42.35	35.03	19.56	21.21	24.4	27.52	26.68	26.86	25.34	25.54	48.36	28.79	43.68	26.18	31.9	35.21	26.8	20.42	20.91	38.94	121.62	458.58	355.43	621.35	220.58	240.04	30.56	35.69	60.52	23.1	43.33	26.55	35.81	21.53	24.29	29.32
Ube1y1	5.38	8.64	1.36	6.91	23.87	12.34	13.76	20.39	11.28	28.67	24.56	20.39	11.16	8.11	19.13	6.45	7.95	5.13	4.34	3.96	5.45	5.26	7.68	11.82	7.39	2.78	6.73	6.64	5.05	5.89	6.46	5.07	4.93	5.79	6.16	12.24	9.13	6.56	6.41	7.8	5.7	8.02	4.93	5.37	5.61	42.57	59.31	64.15	97.44	37.93	51.89	7.86	4.04	11.25	6.36	21.4	3.76	3.18	5.01	5.58	9.51
Veph1	3.03	3.28	2.22	4.68	19.86	3.59	13.41	5.95	4.99	16.88	36.16	7.73	5.51	6.39	10.97	2.9	1.84	3.4	2.5	2.17	2.17	3.32	2.45	4.83	2.7	3.69	4.26	4.81	2.22	0.85	11.54	5.7	1.85	2.48	1.22	5.01	1.79	5.79	2.78	2.57	3.95	3.66	2.33	6.13	3.69	12.77	39.16	28.39	72.3	21.03	45.63	1.88	2.49	4.7	5.18	8.99	4.31	2.0	0.87	1.07	3.7
Vmn1r58	77.16	82.13	20.37	65.19	251.77	83.72	123.31	88.95	123.88	172.04	367.45	148.54	97.01	141.69	129.7	73.75	62.86	106.18	62.38	35.08	49.6	83.3	67.89	87.18	53.76	70.17	97.49	70.08	70.87	69.67	95.33	75.66	84.37	63.69	57.07	65.8	112.42	96.32	83.74	64.75	80.41	45.95	59.1	72.98	65.99	461.67	1205.44	817.27	1844.19	697.38	592.17	65.66	70.38	112.21	58.25	103.11	47.67	59.84	46.42	32.99	118.9
Wnt4	1.74	3.15	0.39	1.93	2.87	3.42	1.61	4.37	1.87	5.2	10.3	2.05	0.88	3.51	2.85	0.84	0.71	1.24	1.87	1.71	1.65	2.19	1.61	2.5	1.12	1.88	1.07	2.72	1.13	3.31	4.99	2.27	1.71	3.8	0.85	3.75	3.26	2.75	0.82	1.74	3.28	1.16	1.39	2.04	2.87	77.17	26.04	24.57	64.18	56.31	23.78	2.94	1.88	4.01	1.83	2.89	1.27	2.62	1.21	1.02	1.68
Xcr1	1.18	1.11	0.27	0.73	3.69	1.37	1.45	3.35	2.67	3.79	6.73	2.72	1.5	0.94	4.0	1.17	1.21	0.86	1.31	1.28	1.01	1.89	0.88	1.56	0.81	1.33	1.66	1.32	0.68	1.77	1.76	2.43	1.89	1.55	1.43	2.53	1.68	1.64	0.88	1.56	2.42	1.57	0.92	0.88	2.71	11.51	17.0	16.42	23.55	13.27	12.7	1.51	0.71	0.91	2.12	2.74	1.35	1.16	1.13	0.77	2.62
Xist	0.18	0.08	0.03	0.1	0.56	0.18	0.18	0.23	0.23	0.52	0.89	0.65	0.05	0.06	0.17	0.13	0.22	0.08	0.08	0.13	0.06	0.1	0.15	0.07	0.07	0.05	0.26	0.19	0.2	0.11	0.22	0.28	0.14	0.07	0.12	0.15	0.22	0.08	0.29	0.08	0.12	0.16	0.08	0.15	0.41	0.05	0.6	1.95	4.44	1.48	0.49	0.17	0.06	0.21	0.11	0.42	0.14	0.12	0.01	0.11	0.31
Zfp277	120.04	63.8	31.67	69.92	249.96	80.99	105.3	102.71	249.91	248.52	440.1	135.78	199.85	102.59	240.24	85.6	82.61	81.54	66.07	54.87	48.44	69.89	84.19	93.02	58.61	60.83	132.46	91.17	58.23	70.3	95.18	86.81	63.76	76.91	48.58	98.36	89.77	71.5	62.34	148.88	76.94	121.08	52.16	80.57	65.24	500.4	873.95	1164.76	1362.18	659.19	841.12	53.47	70.79	85.41	64.45	159.95	43.69	111.22	60.4	34.54	259.73
Zfp316	6.86	4.13	2.6	5.21	17.33	5.2	9.84	11.66	32.93	10.9	23.88	8.2	24.38	5.71	9.18	3.51	5.68	3.52	6.17	4.82	13.95	4.13	6.93	10.37	4.37	4.84	5.14	2.66	3.09	4.75	5.76	3.49	9.91	3.53	3.52	5.25	11.55	6.4	4.45	5.29	3.52	4.1	5.32	2.39	6.16	21.53	104.94	68.15	107.76	22.45	41.84	5.04	22.89	29.99	18.01	29.49	4.05	5.28	3.75	4.24	7.26
Zfp459	3.59	1.07	2.33	3.54	10.68	3.86	5.02	9.05	6.1	10.54	19.89	5.4	2.46	7.96	8.19	4.97	2.59	2.05	4.05	5.71	2.6	3.42	4.8	5.1	2.67	3.33	4.8	2.14	3.19	7.38	15.22	6.5	3.28	3.0	1.34	5.09	4.72	5.39	2.05	1.91	2.7	6.58	5.02	3.49	5.34	18.44	61.9	48.35	80.35	22.07	24.1	4.35	3.57	5.27	7.02	10.61	2.67	2.6	6.1	3.97	9.29
Zfp488	124.66	115.69	60.09	127.89	350.69	164.15	155.34	157.69	230.56	521.6	523.25	284.2	201.75	195.83	207.08	79.4	136.22	114.57	69.95	75.88	86.39	113.41	97.66	139.76	90.93	95.33	131.89	136.99	85.08	105.09	162.95	134.1	108.15	111.48	102.61	168.49	147.67	93.3	118.24	78.88	84.31	81.9	94.25	100.83	106.63	640.17	1550.99	1916.57	2415.74	893.4	1372.92	77.88	100.48	184.2	97.38	156.33	101.98	132.25	75.52	45.47	152.95
Zfp71-rs1	51.37	50.71	8.84	40.08	113.81	64.19	61.21	86.67	96.59	138.86	224.64	78.69	72.62	55.14	82.99	41.25	46.59	52.62	60.18	44.91	57.94	63.67	47.08	58.89	36.96	39.86	55.12	31.19	46.89	47.77	51.57	51.8	45.69	34.91	32.18	45.29	53.77	58.12	30.4	28.0	87.8	48.03	36.6	50.09	38.47	216.28	605.58	415.18	913.56	338.68	399.21	33.33	35.63	56.71	37.39	89.94	66.16	74.57	32.46	83.81	101.67
