	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_11	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Sst_tdTpositive_cell_56	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25
Elmod1	0.0	54.03	42.16	0.0	28.29	95.07	0.0	0.0	55.96	106.74	52.63	46.96	16.11	90.62	58.85	50.87	0.0	0.0	0.0	46.3	59.08	44.76	35.32	148.41	4.34	61.96	35.94	0.0	0.0	0.0	58.6	0.46	66.05	30.43	31.09	109.28	24.46	32.6	34.21	88.35	43.45	54.61	30.53	0.0	99.28	66.09	54.2	88.43	4.92	44.43	54.78	54.41	118.38	36.81	42.91	40.43	115.02	71.33	56.22	40.08	47.98	68.9	37.91	28.2	28.82	56.36	6.82	22.51	0.0	11.17	35.16	28.68	74.03	61.96	22.81	35.5	6.69	32.71	42.86	13.69	68.69	102.45	31.85	60.13	70.18	70.2	14.68	54.32	74.0	87.79	70.39	20.71	3.06	21.92	12.85	44.74	101.48	13.62	40.57	59.39	47.01	108.31	59.55	12.32	28.59	45.44	33.84	58.37	10.37	14.7	25.05	43.26	69.69	109.96	56.07	62.79	39.09	9.66	30.27	61.61	21.21	21.71	96.51	30.98	13.26	69.55	77.89	42.81	32.06	34.72	80.08	32.98	24.92	59.23	109.08	159.66	5.94	193.45	75.75	43.24	86.6	28.94	68.65	70.57	85.0	24.55	0.0	0.0	0.0	0.43	0.0	0.0	31.08	102.16	55.36	26.05	50.04	12.5	88.67
Entpd4	0.0	99.22	0.0	0.0	83.3	56.71	0.0	0.0	16.51	0.0	73.63	17.67	0.37	0.0	24.47	0.0	0.0	0.0	0.0	9.29	0.0	34.16	9.35	15.52	66.01	73.46	6.38	0.0	0.0	0.0	0.0	0.0	69.02	17.23	0.0	23.34	27.6	35.13	50.03	47.93	64.0	0.0	23.64	15.19	0.26	19.13	0.29	75.58	32.93	36.89	23.24	5.21	24.36	64.25	57.33	48.93	54.15	0.0	26.7	0.28	16.7	26.58	53.43	0.0	35.48	80.74	0.0	0.0	21.18	61.83	31.28	0.0	81.73	73.97	0.0	25.85	33.48	0.0	53.68	13.69	66.68	0.0	2.53	19.42	2.39	71.21	8.12	104.64	45.93	25.64	1.37	102.87	11.59	14.17	24.77	15.78	13.22	16.28	11.14	38.57	80.39	43.05	67.52	40.27	0.34	66.58	10.97	84.52	57.7	53.45	126.89	28.35	53.53	69.45	4.94	21.14	75.24	83.51	115.91	69.98	29.38	32.18	58.49	25.36	135.3	140.82	116.35	11.18	31.17	0.13	76.16	126.68	117.09	2.08	32.77	0.61	5.63	50.61	112.83	6.08	92.85	19.64	83.44	35.49	14.83	54.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.49	39.38	14.3	0.5	0.0	0.0
Entpd7	0.0	0.0	20.79	0.0	59.09	72.58	0.0	0.0	11.77	9.8	11.19	44.36	5.44	6.22	30.55	3.28	0.0	0.05	0.0	21.34	6.6	0.0	11.73	20.5	29.71	18.95	15.48	0.0	0.0	0.0	16.61	0.1	43.1	20.0	5.98	8.93	23.14	94.7	36.06	29.08	87.71	62.05	44.98	29.22	34.53	58.12	37.3	36.89	9.97	39.19	45.14	33.58	50.8	47.77	84.95	39.33	19.31	23.65	27.9	18.83	34.42	29.95	37.65	23.82	36.29	58.48	14.88	22.21	31.89	85.56	35.39	52.54	38.77	74.26	22.12	12.75	17.6	8.77	84.0	12.71	31.8	6.94	52.65	51.92	56.75	17.69	87.82	17.93	46.25	32.25	32.27	9.16	42.48	20.8	21.46	21.81	8.77	20.59	111.0	38.34	38.25	5.7	34.03	88.13	40.18	7.87	30.64	42.13	46.14	62.46	22.27	46.93	13.59	22.19	45.35	42.19	15.34	11.64	47.11	29.16	37.69	28.01	7.64	72.19	63.03	5.94	55.7	23.08	56.91	11.95	19.11	23.04	5.98	16.26	57.17	38.69	39.0	34.89	78.84	30.89	78.37	21.77	37.17	21.12	30.44	38.67	0.0	0.11	0.0	0.24	4.29	0.12	5.7	35.62	46.94	48.27	36.7	0.09	0.53
Epdr1	253.1	0.0	8.4	0.0	82.2	0.0	0.0	0.0	76.02	62.52	63.95	115.29	7.0	0.43	38.26	0.0	0.0	31.24	0.0	27.25	64.26	45.83	68.75	19.37	69.95	56.53	49.7	0.0	0.53	0.0	0.0	1.01	58.04	23.86	36.57	111.11	24.25	19.42	134.96	73.95	49.96	0.0	147.18	74.75	6.65	46.06	58.53	107.87	0.28	7.65	40.16	0.29	5.02	104.17	149.79	87.63	65.49	9.68	27.56	0.0	16.72	14.92	39.0	8.22	10.11	29.73	59.01	82.2	13.91	82.4	158.0	74.62	77.09	3.1	7.55	1.53	80.55	0.0	42.97	0.0	38.14	7.83	2.55	6.87	17.41	52.68	1.42	107.69	60.1	32.94	99.46	22.31	75.97	74.39	95.67	75.25	51.52	24.42	14.66	290.23	0.0	47.45	24.46	89.15	9.31	6.05	26.43	127.93	43.57	0.0	133.45	4.27	55.29	177.4	209.44	109.21	76.92	0.0	36.06	46.88	131.87	66.92	0.0	2.91	44.32	42.7	76.83	21.17	27.6	0.0	1.54	28.2	79.72	15.05	0.0	16.3	0.57	20.41	83.15	93.62	118.11	40.09	8.7	98.82	0.0	102.93	0.0	0.0	0.0	0.16	0.0	0.0	0.0	74.23	74.31	72.42	22.27	0.24	14.81
Fam155a	0.0	0.0	2.35	0.08	0.12	32.87	0.0	0.0	0.0	0.0	0.4	31.34	44.65	0.0	13.2	0.0	0.0	0.0	0.0	28.77	3.24	0.0	9.36	3.0	44.83	11.03	15.17	0.0	0.0	0.0	0.0	0.0	29.35	24.27	42.35	0.0	49.2	0.98	61.45	3.11	3.43	0.0	36.51	21.58	0.0	59.06	29.66	18.1	52.43	0.0	45.6	26.04	0.0	22.04	7.21	47.57	54.15	0.0	0.15	9.78	10.75	14.25	29.92	0.07	0.07	0.0	44.76	77.49	0.0	1.42	0.67	25.98	18.53	19.89	6.85	11.05	39.83	1.08	22.92	0.0	5.29	0.0	22.4	0.39	21.25	45.22	85.83	11.41	2.86	0.0	1.07	31.06	11.91	11.29	15.92	17.43	60.27	24.55	24.42	54.4	15.4	35.66	0.0	22.05	37.35	71.92	20.93	26.82	33.9	9.07	45.95	26.61	68.09	55.46	0.0	14.08	8.64	41.7	1.22	26.87	0.0	34.12	13.44	8.22	37.58	0.0	0.25	49.71	58.37	27.77	7.79	8.13	0.14	73.75	27.42	25.37	4.53	43.43	61.77	87.01	0.56	0.0	8.72	46.21	0.11	20.56	0.0	0.0	0.0	0.12	0.0	0.0	0.0	30.28	47.31	0.0	12.43	0.93	18.52
Fam164a	0.14	0.0	397.77	0.0	261.5	353.87	0.0	0.0	52.16	102.14	92.63	261.43	217.52	192.96	146.59	3.26	0.0	0.0	0.0	9.94	136.56	55.01	232.48	93.74	131.82	55.96	267.96	0.0	0.37	0.0	0.0	0.35	63.14	80.17	132.57	162.16	64.14	0.0	72.9	112.53	401.84	91.56	155.75	118.2	170.2	136.17	0.0	150.95	187.65	121.79	224.64	113.0	268.95	149.05	284.0	243.94	213.28	339.85	117.42	135.83	80.51	28.69	160.12	122.15	231.18	184.59	209.07	107.5	88.25	230.52	90.85	62.97	118.81	342.41	199.89	108.05	116.29	79.31	131.79	29.12	188.51	105.4	175.35	69.36	278.77	112.54	100.89	99.61	229.38	151.24	80.55	117.47	122.24	35.95	76.38	178.68	62.26	53.65	248.98	211.66	107.55	164.25	154.5	282.81	122.29	92.03	139.41	81.0	54.95	252.63	187.58	210.37	139.79	237.28	214.04	85.98	24.74	88.61	90.76	166.29	157.76	0.0	247.26	17.94	339.5	284.45	297.99	208.22	110.77	212.2	375.25	101.0	0.0	149.78	268.2	399.97	171.27	110.16	148.87	65.93	295.31	133.08	111.63	153.48	123.46	49.72	0.0	0.31	0.0	0.44	0.12	0.0	60.68	62.51	186.83	120.42	97.38	0.08	1.05
Fam43a	0.0	0.0	0.09	0.0	3.24	8.98	0.0	0.0	0.0	0.0	8.02	0.0	3.91	19.62	0.0	0.0	0.0	0.0	0.0	4.27	5.7	0.0	2.06	0.0	18.0	7.8	2.31	0.0	0.0	0.0	0.0	0.19	11.35	3.64	0.0	0.0	0.11	2.0	7.59	11.67	5.39	0.0	6.39	9.26	7.18	0.0	0.0	0.99	0.0	0.0	0.0	0.0	3.29	5.76	5.69	0.16	0.0	0.0	0.0	0.0	9.07	0.0	0.0	3.06	5.18	0.0	5.96	0.0	0.0	11.49	4.44	14.45	0.0	1.29	0.0	14.27	0.0	9.54	5.8	42.7	0.0	39.14	3.99	0.0	2.95	1.39	0.0	0.0	8.43	5.93	0.0	0.24	4.39	6.96	0.0	5.72	4.68	5.06	7.11	0.2	1.48	0.0	0.0	15.43	0.0	4.59	0.0	22.4	6.6	0.0	5.33	8.93	3.72	1.34	9.8	8.13	1.69	6.19	0.42	0.0	6.61	0.0	18.39	0.0	0.76	4.78	0.0	25.77	0.0	1.08	0.0	7.65	9.02	7.45	3.72	0.12	0.0	0.06	1.53	7.1	0.0	0.0	7.88	0.0	0.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.48	6.65	4.44	1.23	7.35	20.16	0.0
Fam73b	0.0	0.0	0.0	0.0	31.84	4.97	0.0	0.0	0.0	0.0	72.88	0.27	27.76	0.15	1.33	2.68	0.0	0.0	0.0	0.0	37.72	0.0	3.66	6.24	0.55	41.31	5.88	119.64	0.37	0.0	0.0	0.0	30.92	22.1	0.0	0.0	39.33	55.4	0.0	39.29	0.0	0.0	26.79	0.89	21.65	44.45	14.22	15.98	38.87	0.7	27.85	2.27	12.33	1.59	35.21	0.0	0.0	8.22	22.17	33.11	0.29	0.08	0.18	0.07	0.0	0.0	0.0	8.96	0.0	15.27	0.31	37.26	74.03	19.63	0.0	63.79	13.47	52.89	12.43	17.81	0.33	3.2	0.0	33.76	64.05	0.63	29.36	47.05	0.0	60.97	20.9	25.54	64.08	0.0	34.02	34.01	31.03	1.46	7.52	0.0	95.94	33.6	11.19	22.99	38.73	19.97	30.55	39.02	69.3	141.78	20.78	2.25	3.92	25.77	0.66	64.09	74.16	73.8	45.35	0.0	38.77	22.77	14.22	15.26	22.76	34.78	20.62	28.83	35.62	9.53	0.0	58.82	0.13	6.65	54.44	30.56	57.48	4.87	21.9	0.0	4.89	58.8	47.62	45.13	0.1	0.34	0.0	0.0	0.0	0.0	0.0	0.0	3.54	4.07	11.93	6.83	27.15	0.0	0.0
Fbxo44	0.0	357.63	0.71	280.78	379.16	280.65	0.72	0.0	74.67	100.23	318.13	62.63	192.98	455.22	179.66	108.79	0.0	0.0	0.0	170.35	367.34	59.3	126.47	28.58	216.69	55.85	140.23	0.54	1.63	0.0	0.0	1.08	241.35	131.39	205.1	51.83	321.03	508.58	85.58	228.36	173.04	0.0	136.96	179.09	82.8	96.44	292.08	296.89	238.39	170.25	0.0	132.86	343.39	123.44	243.49	247.83	137.15	255.72	129.28	74.96	358.93	265.57	110.74	133.7	175.79	69.34	1.81	100.54	136.77	97.58	324.08	128.65	360.36	298.86	502.43	0.0	309.18	158.41	283.67	62.96	220.13	451.02	342.2	284.65	255.02	65.3	140.4	350.52	447.82	176.59	219.58	196.36	217.17	340.7	166.58	293.06	127.41	213.98	105.26	14.54	129.67	197.77	288.1	110.31	123.19	218.73	158.09	209.16	182.37	117.7	161.42	428.6	71.61	114.16	421.67	145.57	333.23	24.27	236.87	8.89	273.7	378.43	218.54	240.83	172.52	366.27	292.54	128.62	229.74	175.37	572.82	237.93	246.11	165.25	334.35	267.07	357.99	241.21	244.42	91.94	496.33	311.27	188.95	271.24	313.45	91.52	0.0	0.0	0.0	941.84	0.53	0.0	62.38	72.42	194.13	244.47	175.85	10.15	0.19
Fosl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32	0.0	0.0	0.0	0.0	0.0	0.0	31.76	0.0	0.0	0.0	0.0	0.0	30.87	0.0	0.0	0.0	0.0	0.0	60.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrd	0.0	202.08	143.84	0.0	410.37	337.51	0.0	0.0	17.32	0.1	186.38	228.4	121.04	205.2	64.82	135.69	0.0	0.0	0.0	47.92	165.44	327.01	154.55	204.91	66.72	164.21	145.17	0.0	0.0	0.0	0.0	0.96	48.98	190.6	73.86	130.22	109.51	60.85	134.96	145.53	281.95	261.34	343.03	115.49	304.95	197.42	99.96	51.21	454.92	169.38	382.15	321.7	323.74	302.57	73.25	354.08	183.27	200.14	354.3	79.29	27.05	326.03	376.21	34.15	313.83	318.04	1.51	123.37	196.96	237.0	370.26	318.97	107.07	324.98	281.77	174.63	191.0	17.96	172.94	643.01	59.73	139.57	145.36	5.49	110.38	158.65	167.28	87.54	218.48	143.46	63.97	487.84	294.88	121.85	55.65	119.46	145.47	128.36	287.06	191.59	141.93	273.77	437.14	216.9	7.09	84.24	219.84	221.42	78.02	415.15	262.38	199.39	354.32	216.06	168.78	400.82	192.83	387.9	440.48	179.01	0.4	122.79	185.06	239.36	127.49	181.05	88.22	147.64	167.5	249.96	227.71	53.77	188.01	133.26	147.69	134.73	98.51	240.92	283.31	247.89	180.81	181.56	0.43	159.34	28.51	57.89	0.0	0.0	0.0	0.59	0.0	0.0	197.04	379.28	176.04	152.09	168.81	0.0	0.0
Gars	0.0	0.1	91.3	0.0	87.43	49.14	517.0	0.0	129.38	21.89	141.83	86.39	60.03	219.89	130.2	130.47	0.13	0.0	0.0	4.48	189.61	99.71	65.79	303.69	70.65	92.53	85.73	0.35	0.0	75.06	0.0	0.25	40.3	56.77	3.87	59.97	26.21	93.11	260.63	152.51	246.35	120.65	130.72	0.76	139.61	33.02	262.66	70.67	43.53	95.05	56.82	56.19	35.65	272.76	42.78	73.35	40.8	66.69	168.43	207.57	82.29	146.13	72.63	138.74	79.85	107.8	41.56	166.87	0.15	88.71	11.48	71.5	388.17	18.86	81.03	161.73	2.23	36.59	77.73	53.09	188.78	81.9	193.16	27.6	153.51	14.84	106.63	106.58	80.38	108.01	167.4	148.41	108.12	40.4	84.42	163.52	33.5	50.12	68.72	56.56	46.46	42.58	27.68	7.4	4.21	27.24	42.78	105.34	79.8	10.71	2.89	37.32	142.0	19.41	85.35	75.62	23.77	151.24	114.63	0.0	101.07	44.57	58.27	91.71	63.02	11.15	76.37	36.26	33.43	188.7	18.6	105.66	12.78	102.34	74.08	19.93	41.4	198.71	131.76	141.87	62.75	13.07	362.27	37.17	176.45	12.41	0.0	0.0	0.0	0.0	7.36	0.0	115.22	64.7	46.0	199.86	195.94	91.62	0.0
Glrb	0.0	69.01	281.63	125.81	97.52	339.18	0.0	0.0	163.82	0.19	266.87	301.21	251.27	63.4	520.84	229.2	0.0	116.6	0.0	146.38	459.19	0.0	163.46	319.75	189.66	216.2	240.84	0.0	0.0	1.48	0.0	0.8	111.48	289.15	106.94	192.42	169.66	232.89	351.58	279.89	196.64	206.44	203.4	85.99	452.11	352.29	348.66	284.46	226.3	218.51	132.9	198.28	257.93	432.09	480.21	293.23	10.05	58.75	424.05	365.6	202.17	165.32	337.05	59.18	211.13	327.68	134.06	109.38	323.97	221.29	49.46	124.87	184.25	296.39	416.35	152.92	197.94	211.68	234.08	236.91	226.46	128.33	202.67	171.25	350.42	221.18	218.21	163.92	110.75	185.75	402.25	273.86	147.35	318.73	113.13	141.65	169.76	56.47	100.13	45.79	218.5	443.31	175.79	222.6	25.56	191.87	279.8	150.19	78.93	223.64	270.24	225.9	192.81	176.34	236.41	158.8	302.72	81.86	279.08	256.37	189.15	183.43	289.06	151.79	132.54	64.5	81.12	316.96	339.83	426.03	176.15	636.76	150.27	234.08	158.29	621.5	38.61	646.77	153.63	220.41	160.46	79.28	125.83	117.15	161.43	259.04	0.0	0.0	0.06	0.49	0.0	0.0	15.37	348.37	113.88	43.47	275.95	68.19	0.0
Gm14430	0.0	0.0	1.3	0.0	39.43	21.47	35.49	0.0	12.2	5.49	17.66	38.82	21.67	0.32	20.12	7.02	0.06	0.0	0.0	2.47	14.66	0.88	4.65	13.5	24.63	3.86	3.32	0.0	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	21.18	14.72	25.91	6.05	13.5	30.16	14.04	30.51	9.4	5.35	18.03	16.5	0.0	13.46	9.82	3.22	0.84	12.83	42.59	10.67	12.31	9.23	0.0	9.63	1.92	1.28	24.32	34.77	3.07	2.82	24.87	7.2	11.03	16.3	3.98	36.78	10.87	18.55	23.03	13.57	0.0	23.36	4.08	18.47	19.12	11.25	18.74	0.0	0.32	3.81	9.13	19.5	14.36	0.54	2.61	6.88	12.07	11.45	0.0	0.17	14.82	8.34	17.48	0.0	6.04	16.15	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	4.31	23.53	9.97	0.0	11.12	11.23	15.77	13.13	30.75	0.44	23.59	25.3	0.0	15.88	0.49	25.21	1.85	41.52	2.38	61.94	0.12	0.0	0.0	0.08	0.0	1.03	17.63	8.51	0.0	12.2	0.0	0.21
Gm14434	0.0	0.0	1.3	0.0	39.43	21.47	35.49	0.0	12.2	5.49	17.66	38.82	21.67	0.32	20.12	7.02	0.06	0.0	0.0	2.47	14.66	0.88	4.65	13.5	24.63	3.86	3.32	0.0	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	21.18	14.72	25.91	6.05	13.5	30.16	14.04	30.51	9.4	5.35	18.03	16.5	0.0	13.46	9.82	3.22	0.84	12.83	42.59	10.67	12.31	9.23	0.0	9.63	1.92	1.28	24.32	34.77	3.07	2.82	24.87	7.2	11.03	16.3	3.98	36.78	10.87	18.55	23.03	13.57	0.0	23.36	4.08	18.47	19.12	11.25	18.74	0.0	0.32	3.81	9.13	19.5	14.36	0.54	2.61	6.88	12.07	11.45	0.0	0.17	14.82	8.34	17.48	0.0	6.04	16.15	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	4.31	23.53	9.97	0.0	11.12	11.23	15.77	13.13	30.75	0.44	23.59	25.3	0.0	15.88	0.49	25.21	1.85	41.52	2.38	61.94	0.12	0.0	0.0	0.08	0.0	1.03	17.63	8.51	0.0	12.2	0.0	0.21
Gm4724	0.0	0.0	1.3	0.0	39.43	21.47	35.49	0.0	12.2	5.49	17.66	38.82	21.67	0.32	20.12	7.02	0.06	0.0	0.0	2.47	14.66	0.88	4.65	13.5	24.63	3.86	3.32	0.0	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	21.18	14.72	25.91	6.05	13.5	30.16	14.04	30.51	9.4	5.35	18.03	16.5	0.0	13.46	9.82	3.22	0.84	12.83	42.59	10.67	12.31	9.23	0.0	9.63	1.92	1.28	24.32	34.77	3.07	2.82	24.87	7.2	11.03	16.3	3.98	36.78	10.87	18.55	23.03	13.57	0.0	23.36	4.08	18.47	19.12	11.25	18.74	0.0	0.32	3.81	9.13	19.5	14.36	0.54	2.61	6.88	12.07	11.45	0.0	0.17	14.82	8.34	17.48	0.0	6.04	16.15	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	4.31	23.53	9.97	0.0	11.12	11.23	15.77	13.13	30.75	0.44	23.59	25.3	0.0	15.88	0.49	25.21	1.85	41.52	2.38	61.94	0.12	0.0	0.0	0.08	0.0	1.03	17.63	8.51	0.0	12.2	0.0	0.21
