	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_58	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_29	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_59	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_27	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_40
Slc25a22	0.0	2.33	7.37	62.13	0.0	2.98	131.42	25.34	275.36	0.0	0.0	24.42	94.88	113.41	0.0	71.65	99.36	74.89	0.08	0.0	119.44	0.16	15.41	0.0	186.35	264.51	18.11	53.44	62.22	16.21	134.03	168.06	22.13	50.16	61.5	131.92	79.62	1.39	9.26	111.37	11.76	1.49	34.31	0.74	45.2	143.88	0.0	98.6	11.32	115.72	0.0	23.93	0.45	0.09	38.81	0.0	86.18	100.14	119.95	0.0	0.0	0.0	40.65	15.18	0.0	0.0	189.23	36.46	120.11	104.54	61.33	100.42	59.16	82.42	57.24	76.82	109.75	88.95	94.63	67.2	31.64	72.65	71.35	84.77	176.12
Slc7a4	0.0	162.53	63.11	0.72	0.56	185.8	143.77	0.0	0.16	41.15	201.66	56.8	1.2	128.98	141.73	89.76	0.29	0.65	233.24	119.75	0.0	0.49	0.15	32.19	213.39	108.88	0.0	119.19	0.0	0.58	0.1	293.8	0.1	133.34	176.7	7.26	208.08	63.76	226.44	178.49	157.64	52.25	25.59	1.17	161.99	149.57	295.58	294.55	144.88	159.95	97.06	0.0	74.16	140.74	196.38	0.0	293.1	270.95	0.25	0.0	132.98	0.08	24.55	107.16	151.1	0.78	96.19	104.22	0.92	168.42	4.19	153.39	182.86	169.19	118.05	162.03	221.24	220.87	178.43	232.23	153.01	191.96	273.68	260.93	32.63
Slc8a1	87.58	23.85	67.17	87.21	31.02	0.0	62.65	60.96	25.65	0.07	1.45	88.0	15.72	15.86	83.26	19.15	27.12	2.72	0.39	4.59	4.04	0.02	24.75	69.01	30.94	41.06	23.89	44.04	54.54	62.3	36.3	27.3	19.61	56.27	56.24	37.91	70.74	145.02	73.85	63.08	12.7	43.38	52.71	24.85	75.37	44.68	44.85	38.59	49.67	33.6	28.74	30.82	15.18	31.0	0.08	39.21	0.11	27.16	6.17	87.66	1.46	25.9	55.4	0.0	0.04	1.78	23.37	23.43	26.42	43.43	54.97	60.06	29.12	46.95	27.23	49.0	35.87	42.41	43.58	34.6	22.68	33.96	29.78	30.49	35.38
Snap25	26182.83	20995.4	19986.44	24880.43	23752.44	19057.73	18607.18	18385.26	19509.05	21540.55	25194.29	18642.4	21404.94	22198.58	17499.28	20475.86	24000.2	21827.11	19565.51	22188.29	20741.69	24648.02	18953.07	19682.76	21855.18	17603.36	22891.51	20866.53	18445.38	20760.73	21685.06	16532.57	21261.82	16142.14	18548.27	23051.34	16222.66	16939.4	20631.7	22470.57	17042.99	17588.07	17391.91	21550.85	17683.38	20314.47	22845.02	19669.87	19534.15	22039.64	25542.47	18333.56	18859.81	22725.47	18168.1	18118.7	20633.02	17075.36	18065.28	20269.24	18219.59	19177.26	20576.26	21394.04	19595.44	16114.75	18361.62	18336.85	18926.54	17192.71	21043.71	13859.73	14414.73	14568.29	13618.29	13443.27	17485.78	15823.69	14249.14	16180.38	16617.11	20846.74	19146.26	18964.09	17775.06
Syt12	1.4	30.38	45.06	1.9	1.53	2.62	1.34	4.01	3.57	1.78	4.76	3.11	41.94	11.79	122.43	2.63	2.91	3.28	2.39	4.05	2.15	31.22	1.74	0.99	5.18	4.85	10.31	46.11	2.21	19.65	1.97	87.12	126.93	8.55	118.0	2.35	1.86	33.66	96.34	100.08	1.81	3.78	46.59	53.53	4.33	0.85	4.02	23.6	32.49	35.53	26.65	1.87	8.2	1.9	16.44	59.85	11.24	4.0	14.79	86.48	2.69	76.93	59.89	2.64	33.84	26.62	2.99	2.86	23.17	64.17	0.0	21.79	39.81	29.63	30.35	33.16	19.64	21.34	29.22	43.5	22.28	38.65	42.91	36.44	0.93
Syt16	218.43	169.22	73.59	1.16	0.0	50.98	0.0	269.36	90.14	150.34	123.85	110.3	189.86	0.0	251.46	0.0	142.07	1.11	31.5	170.18	0.0	0.15	221.82	0.0	18.27	4.43	0.0	71.13	0.0	85.01	36.44	37.71	11.07	0.0	262.82	0.0	13.12	0.0	83.31	0.0	72.8	68.05	20.42	0.0	48.12	85.25	0.0	4.37	3.28	10.01	348.32	0.0	47.29	0.58	59.2	0.0	94.59	0.0	0.0	0.0	68.72	201.47	0.0	0.0	0.0	159.19	14.88	97.71	41.27	134.21	125.8	56.44	47.39	59.89	33.92	41.6	57.23	56.12	40.36	57.41	45.24	44.13	51.41	49.44	98.24
Syt6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.88	5.72	0.16	48.24	0.0	3.98	0.0	0.0	24.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	114.28	0.0	0.0	0.0	0.0	0.0	0.0	24.18	0.0	13.95	30.71	27.66	20.66	26.85	22.9	23.06	13.09	30.93	34.76	27.0	21.1	28.78	0.0
Syt7	3.23	38.98	16.21	0.05	9.14	79.56	2.62	14.98	26.12	3.37	72.53	8.02	36.47	44.56	13.72	6.9	0.28	0.07	10.93	3.64	2.62	51.05	0.3	2.58	5.84	1.25	0.07	8.49	4.18	46.91	66.32	36.14	5.22	0.87	14.6	53.4	37.46	69.7	24.89	3.05	25.65	17.35	8.78	8.05	39.06	7.1	13.38	20.59	27.4	36.19	16.24	7.61	36.85	36.68	38.85	0.21	51.58	47.23	1.75	67.27	0.86	23.69	105.85	4.49	66.52	35.97	59.4	48.79	1.36	26.23	0.07	46.77	41.81	32.85	43.32	41.4	38.43	39.91	41.31	29.87	27.69	39.12	31.02	34.42	46.05
Tcp1	514.49	658.81	521.75	417.8	394.58	0.48	333.22	436.34	339.07	343.3	36.03	339.27	191.89	236.25	589.03	257.74	404.7	194.74	201.34	591.36	0.33	128.75	233.88	332.39	359.28	158.42	322.92	320.58	118.49	442.33	442.22	188.32	634.43	552.15	313.08	116.04	91.88	557.91	652.15	103.59	559.28	334.53	352.66	425.54	171.78	506.31	450.82	236.66	335.11	242.02	0.0	518.04	301.71	484.92	367.78	348.43	258.37	196.4	239.2	210.41	325.02	109.19	565.85	180.73	404.69	482.8	685.91	493.47	382.57	448.02	224.8	488.71	385.48	441.76	381.45	398.43	561.46	419.36	375.98	401.59	290.04	412.65	414.02	397.02	462.23
Thsd7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	18.6	56.38	5.34	1.61	2.97	62.54	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.2	2.77	0.09	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.35	12.5	8.09	23.21	8.31	2.45	12.82	8.47	5.18	4.95	7.02	6.97	5.0	7.35	0.0
Tle4	0.0	0.34	84.21	127.9	111.25	0.0	0.0	0.0	101.77	2.61	0.0	0.0	1.97	0.0	11.66	2.32	0.04	77.03	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.19	0.0	0.0	76.5	118.25	2.45	106.24	167.09	75.29	206.29	162.54	4.36	156.79	0.15	0.0	0.0	0.0	16.39	0.14	19.43	32.74	3.06	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.0	0.0	9.11	10.49	120.94	0.0	0.0	0.0	0.0	0.07	0.0	135.02	0.07	90.14	58.3	88.78	74.4	76.98	58.3	68.38	96.13	87.67	60.34	84.06	81.61	86.54	0.0
Tmem159	203.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.18	256.28	175.24	0.0	0.0	0.0	0.0	0.0	87.74	8.47	0.0	0.0	0.0	0.0	0.31	0.0	0.32	0.31	0.0	0.0	232.14	0.0	264.68	0.0	109.82	100.51	100.64	239.4	94.55	0.0	163.21	0.33	2.74	66.96	0.0	0.0	0.0	0.0	57.83	140.59	58.08	0.0	28.94	0.13	320.23	0.0	0.0	0.27	311.38	0.0	0.16	0.0	33.31	14.45	0.0	0.0	167.58	0.0	0.0	0.0	0.0	320.42	84.27	132.9	133.45	233.88	98.88	49.06	112.94	149.73	55.73	133.72	102.77	102.8	116.05	0.0
Tmem178	0.0	0.0	51.42	18.88	0.0	0.0	5.42	0.0	55.86	0.0	0.0	0.0	1.29	7.68	0.0	0.0	23.18	78.68	35.82	0.0	0.0	0.24	3.97	0.0	67.67	0.0	0.0	0.0	6.72	28.23	32.72	97.79	166.29	27.96	39.27	126.24	47.55	0.53	49.69	38.46	4.67	0.0	0.0	22.2	36.89	0.41	4.7	0.0	0.0	98.5	0.0	0.0	2.9	0.0	0.21	15.53	0.95	0.0	0.0	28.0	44.35	0.0	61.18	6.92	0.0	0.0	0.0	0.92	0.27	40.7	76.5	52.83	82.62	33.2	103.46	53.91	32.45	38.24	57.18	35.55	32.95	49.21	38.66	51.05	15.88
Tmem38a	458.82	213.16	139.31	246.25	25.06	265.73	121.9	17.86	115.66	161.97	200.9	153.25	344.34	44.26	253.07	0.21	144.35	105.78	219.23	0.0	222.89	186.13	54.09	334.74	4.41	20.45	213.15	45.13	0.3	296.52	308.62	280.2	79.78	393.21	450.11	429.29	659.09	226.3	225.76	161.88	271.75	283.59	63.89	465.14	86.0	277.14	149.69	188.92	173.77	73.1	104.67	53.3	211.39	238.41	6.37	1.6	4.89	0.0	476.06	354.15	0.0	226.44	310.77	0.46	378.24	8.09	346.51	388.64	410.9	201.53	182.07	309.29	264.46	278.41	210.2	264.81	216.55	306.74	235.21	186.38	218.32	212.66	233.88	219.13	154.43
Tmsb10	60.56	207.5	478.55	50.34	164.45	122.65	153.88	37.12	119.08	231.65	37.0	112.56	317.38	236.09	0.0	539.93	190.43	340.23	151.92	65.0	1.05	2.29	70.83	382.39	131.45	163.47	71.13	301.56	42.15	490.43	314.94	577.65	460.07	476.92	462.61	394.68	266.48	628.03	499.26	308.44	778.42	760.77	777.93	287.81	316.94	405.46	1250.63	298.92	391.48	428.74	98.61	217.59	143.19	364.87	180.57	171.73	61.02	69.65	417.34	289.66	130.82	149.49	627.96	1062.84	843.62	352.73	525.18	230.76	80.55	790.59	692.33	730.11	799.88	662.56	843.25	936.83	875.72	821.08	935.53	821.32	863.48	533.2	677.3	718.52	636.9
Trim40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc9b	0.0	9.64	31.49	4.07	39.33	0.44	0.0	0.0	0.48	0.0	0.0	23.13	0.0	0.0	0.0	0.0	0.0	0.39	1.84	0.0	71.52	1.83	0.0	0.0	39.95	1.03	0.99	48.08	0.0	38.25	58.15	51.5	75.75	46.51	43.33	175.23	63.09	89.37	39.65	24.82	1.6	0.0	0.36	0.0	91.38	7.87	0.0	81.27	52.03	50.79	1.1	0.0	39.73	32.85	0.2	16.84	30.36	29.89	4.61	0.0	0.0	7.29	83.05	8.8	69.39	0.0	0.0	6.16	0.0	55.95	0.0	48.51	77.92	57.95	64.25	61.81	52.83	82.94	70.49	32.58	78.49	57.35	73.63	77.52	15.52
Tubb5	564.63	720.79	377.71	307.15	576.73	515.37	382.19	415.09	429.22	328.34	498.56	634.42	682.58	408.98	836.1	349.51	259.11	392.76	244.56	728.34	278.14	49.63	171.78	960.33	392.86	737.49	208.67	214.65	1003.48	546.52	751.06	743.26	320.6	715.64	1020.02	1127.02	492.82	292.38	710.51	536.92	817.91	461.77	938.34	911.11	1040.48	714.65	515.01	913.14	647.95	835.75	580.83	172.32	999.33	856.87	114.31	358.16	256.31	625.87	274.96	632.68	291.86	243.77	496.37	673.2	391.12	268.27	375.78	889.83	682.66	544.91	355.61	877.73	595.79	645.74	586.58	666.29	764.0	679.91	692.88	766.43	690.36	684.91	710.59	740.46	299.47
Znhit3	824.02	373.32	370.18	574.3	177.71	535.45	0.0	525.59	197.29	740.59	0.0	237.14	761.51	300.36	325.37	326.49	153.47	145.96	13.65	400.39	48.21	378.99	343.77	175.03	353.83	575.24	1191.6	442.95	0.33	70.63	241.03	208.43	325.83	375.14	103.77	133.86	1.06	355.48	538.34	131.79	315.97	97.59	228.71	525.59	157.03	11.55	198.83	199.19	350.87	70.93	245.48	371.13	148.98	10.81	218.51	544.24	149.19	409.32	556.49	134.97	0.0	238.43	142.67	0.0	0.0	197.81	639.53	430.94	322.5	100.14	149.78	296.87	196.35	196.52	298.66	264.05	289.99	258.61	260.76	191.3	263.46	232.76	233.2	208.22	185.53
mt_AK136262	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	86.5	2.25	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.06	4.4	112.01	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	0.0	0.02	13.76	0.0	0.21	0.09	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	19.11
mt_AK142003	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	86.5	2.25	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.06	4.4	112.01	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	0.0	0.02	13.76	0.0	0.21	0.09	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	19.11
mt_AK166798	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	86.5	2.25	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.06	4.4	112.01	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	0.0	0.02	13.76	0.0	0.21	0.09	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	19.11
mt_AK166978	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	86.5	2.25	75.42	0.01	0.05	0.0	0.0	0.0	0.0	0.06	4.4	112.01	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	0.0	0.02	13.76	0.0	0.21	0.09	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	19.11
