	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Trak1	0.0	37.08	0.0	0.0	0.0	9.39	0.0	36.1	0.18	0.06	0.0	19.56	17.91	1.82	5.77	0.0	27.67	0.0	15.85	6.56	14.69	25.29	4.25	12.01	34.76	33.82	0.52	5.83	0.0	17.24	5.63	39.81	15.45	11.25	30.34	0.58	1.07	66.09	54.0	13.63	31.1	21.03	1.14	0.0	9.1	4.3	40.61	29.8	34.57	5.66	3.53	28.21	9.99	3.25	0.0	0.58	9.48	16.41	23.03	11.94	50.35	9.98	0.0	2.53	0.15	0.0	90.13	90.67	87.04
Trim37	119.73	15.67	0.0	0.0	0.0	18.65	0.8	18.59	0.0	0.79	0.0	31.44	0.2	0.21	67.47	67.09	15.57	41.8	18.89	107.87	19.62	63.09	114.85	49.67	64.06	41.75	46.45	49.7	64.98	42.43	5.96	72.81	44.1	15.72	108.95	40.57	30.11	79.87	23.23	38.43	82.85	39.89	23.35	48.83	26.62	31.79	118.13	36.79	151.5	51.72	119.57	19.43	13.09	37.03	132.55	82.81	80.79	96.0	33.36	96.19	45.77	94.64	0.0	201.7	0.11	0.0	216.02	201.17	202.32
Tsc2	158.22	0.64	0.09	0.0	0.0	3.44	267.34	0.0	0.1	0.05	0.0	3.62	0.0	0.0	1.07	6.56	19.26	17.56	6.91	1.52	31.91	43.01	36.32	9.63	0.7	22.22	1.79	0.0	0.0	0.24	7.98	0.0	1.5	6.62	0.52	5.8	18.26	15.98	0.11	0.31	6.73	0.12	4.66	6.5	13.3	35.71	16.6	1.21	9.84	11.76	0.0	34.25	6.06	8.43	12.03	19.89	1.43	2.86	27.68	7.36	3.0	44.86	0.0	1.98	0.24	0.0	54.95	54.1	55.36
Ttll7	0.0	0.0	0.0	0.0	0.0	28.98	0.5	19.05	0.0	0.0	0.0	25.65	0.0	0.1	66.25	64.88	4.46	20.16	50.64	58.66	65.32	51.67	30.49	48.32	86.13	27.48	43.75	36.41	14.92	87.84	10.16	34.62	70.05	49.65	59.92	16.84	119.75	26.08	5.89	44.25	49.81	71.31	53.56	74.35	34.36	98.69	30.42	47.08	76.78	31.36	173.03	59.17	18.59	27.37	85.59	145.02	138.23	233.82	67.4	73.55	116.38	34.98	0.0	0.2	0.18	0.0	115.17	104.97	116.05
Ube2j1	0.0	0.0	0.0	0.0	0.0	66.29	0.0	0.0	0.0	0.08	0.0	11.97	0.0	0.68	51.08	39.81	1.41	22.15	36.56	29.6	0.0	75.65	29.45	41.74	33.72	70.49	36.18	3.9	12.66	20.18	0.0	1.17	18.3	0.0	49.93	8.83	67.75	30.18	1.16	48.29	0.24	95.8	60.43	33.63	55.0	32.27	70.77	0.11	8.62	18.2	73.01	1.08	2.04	9.72	36.38	0.0	35.47	61.98	47.25	9.37	0.38	2.91	0.0	0.23	0.0	0.0	79.49	82.59	77.99
Ubtf	0.53	1.2	0.72	1.11	0.0	0.57	0.23	1.61	3.22	155.16	0.0	0.19	0.0	0.13	20.76	0.44	0.56	0.14	6.47	19.23	13.36	0.37	0.14	2.58	0.24	0.34	0.71	0.25	1.07	5.36	0.69	5.42	0.51	0.16	1.25	0.44	0.23	0.0	8.61	0.48	0.0	2.72	0.75	6.15	0.0	1.15	0.57	0.49	7.5	0.65	1.39	0.0	11.36	0.45	1.18	0.27	0.94	3.86	1.71	0.63	2.88	12.72	2.13	0.19	1.34	0.15	78.31	78.64	80.03
Usp47	0.0	0.0	0.0	0.0	0.92	2.72	47.04	0.0	0.0	82.96	92.22	0.0	0.0	0.0	6.35	2.75	0.04	6.23	7.92	19.81	0.0	0.0	0.0	7.62	0.19	10.32	30.18	28.62	18.89	2.75	0.0	3.85	1.21	0.0	0.0	50.5	0.0	20.88	0.0	0.0	0.0	16.34	0.0	42.05	0.39	0.0	0.0	0.14	3.47	18.11	49.46	0.0	27.75	22.02	0.0	18.72	35.75	11.7	2.52	3.59	32.77	19.07	0.0	0.0	0.07	0.0	50.06	49.08	47.58
Wac	0.0	0.05	0.0	0.0	31.03	33.09	204.77	0.13	0.0	0.06	93.17	31.64	0.7	0.12	29.13	39.97	3.98	28.18	31.0	56.2	3.75	71.56	50.13	32.22	36.62	29.42	11.14	29.6	40.18	53.71	14.2	28.63	23.21	0.07	68.44	6.77	3.3	13.49	26.12	22.7	14.85	25.62	20.09	19.62	34.3	94.63	34.72	76.32	29.67	36.66	25.37	41.8	9.87	23.13	19.47	53.05	58.86	92.9	112.88	39.03	86.35	34.15	0.0	3.53	112.01	0.14	58.03	57.36	55.33
Wbscr17	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	11.9	0.0	0.0	3.65	11.94	0.0	3.62	6.14	0.0	2.96	38.35	13.68	0.0	0.0	0.84	0.0	0.39	5.37	0.0	0.0	0.0	11.48	0.17	1.76	0.0	8.83	0.0	0.0	0.0	1.38	0.0	0.0	0.83	8.34	13.0	1.18	5.67	0.0	0.0	0.28	11.48	0.0	5.21	1.95	18.97	0.27	1.62	1.71	1.79	2.96	0.0	0.0	0.0	0.0	0.0	37.98	45.03	41.83
Wipf3	0.1	0.0	0.0	0.0	0.0	1.69	0.0	0.31	0.0	0.0	0.0	14.11	0.0	0.29	71.02	24.77	1.14	12.26	27.92	39.35	10.81	12.68	69.35	21.42	0.53	46.62	23.09	15.65	42.24	26.25	4.85	49.07	13.33	3.58	24.79	23.58	0.25	40.77	26.39	34.09	8.34	23.63	33.27	48.05	1.05	93.95	13.38	1.45	42.3	35.3	52.5	2.51	4.59	20.13	32.86	0.2	22.54	91.38	17.98	42.0	4.6	8.43	0.0	0.29	0.09	0.0	86.45	99.02	90.36
Wsb2	0.0	172.22	0.0	0.0	0.0	0.0	0.0	43.94	0.0	0.0	0.0	1.27	0.0	0.75	78.25	3.79	34.74	0.0	36.25	67.37	3.63	3.46	0.0	5.59	0.0	5.28	8.27	1.84	19.66	0.0	8.68	0.0	22.39	7.48	0.0	0.0	33.07	1.28	0.0	9.83	104.48	49.0	80.8	39.15	54.61	55.62	34.54	25.54	73.0	17.42	3.62	0.23	0.0	0.19	0.0	14.23	0.0	13.29	29.6	6.17	22.31	16.68	0.0	0.0	0.46	0.0	294.59	283.93	280.67
Zbtb7a	0.52	0.0	0.0	0.0	0.23	3.85	0.09	1.5	0.0	0.0	0.0	5.5	6.46	27.2	21.41	23.11	8.57	13.65	12.26	30.57	0.94	5.76	7.94	5.96	5.9	15.51	10.13	16.89	9.12	3.83	5.97	16.28	10.09	16.18	0.34	5.38	7.46	3.85	8.2	8.48	11.16	7.3	8.37	6.72	19.82	12.14	7.18	9.97	3.08	12.76	3.78	12.0	14.77	7.18	26.04	26.53	26.59	14.88	18.42	8.64	5.04	14.98	0.35	50.53	2.02	0.0	55.37	53.85	57.0
Zc3h18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.31	0.0	0.0	0.63	8.96	0.0	0.0	0.0	0.0	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.96	0.0	0.0	0.0	0.22	0.0	0.0	0.09	5.91	0.0	0.0	0.0	1.87	0.12	0.33	0.0	3.71	2.59	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.51	0.56	0.1	7.23	0.0	2.8	0.0	0.0	0.1	0.0	30.0	31.22	31.72
Zfp827	0.0	0.0	0.0	0.0	0.0	5.43	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.16	12.46	2.45	0.0	0.0	3.1	0.16	6.64	0.0	0.0	0.1	0.0	4.01	5.22	0.04	14.73	0.42	0.09	0.0	0.03	0.0	0.0	0.37	0.0	0.04	1.85	12.05	0.0	0.0	8.26	3.37	0.0	1.54	0.0	0.0	0.0	3.49	0.0	2.34	0.0	15.76	5.22	1.42	13.99	8.88	12.32	16.07	0.83	5.94	0.0	0.0	0.0	0.07	19.14	18.31	19.24
Zfp91	18.78	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.36	0.0	9.54	0.08	6.43	32.93	15.45	28.67	15.34	5.18	44.15	0.0	28.59	17.82	19.5	32.33	9.88	0.0	14.33	6.96	30.23	0.0	74.89	0.0	0.15	23.47	51.76	8.16	25.43	36.71	20.8	21.75	47.91	25.1	14.28	9.29	28.24	19.77	2.32	7.95	0.0	0.0	6.83	21.27	5.33	23.93	25.82	5.39	38.24	46.34	29.91	0.0	2.0	0.0	0.0	0.0	0.12	72.51	70.41	73.83
Zyg11b	3.14	25.08	6.27	1.43	4.61	19.75	10.65	19.53	2.11	101.36	3.54	27.79	2.04	4.36	25.88	32.72	25.75	40.05	16.67	30.84	15.69	29.04	36.3	17.61	20.6	10.03	19.97	27.13	56.11	13.68	3.55	32.29	60.66	3.61	34.65	54.81	28.68	37.55	5.63	25.88	19.85	8.65	30.26	30.92	58.33	36.61	45.01	26.55	17.24	39.63	19.53	13.85	15.54	25.13	51.5	57.81	54.94	33.93	30.27	54.2	17.26	24.13	2.24	5.99	6.61	14.79	75.5	71.7	74.11
