	"58.Elutriation2:Sample2:Time5.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"514.2.5mM DTT 030 min"	"516.2.5mM DTT 060 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YMR302C"	-0.075	0.577	0.628	1.323	1.489	1.528	1.112	1.349	1.205	-0.556	-0.222	-0.198	-0.704	-0.575	0.761	1.032	0.85	1.8	1.531	1.792	1.539	1.586	1.574	1.712	0.167	-0.314	0.286	0.502	0.672	0.68	-1.742	1.393	1.541	1.7	1.988	2.209	2.547	2.317	1.376	1.393	1.148	0.812	0.968	1.318	1.308	0.78	1.19	1.379	0.5505	1.46	1.234	1.538	1.314	1.881	0.855	-0.275	-0.711	-0.081	-0.287	-0.363	-0.618	0.382	0.119	0.134	0.015	-0.874	0.859	0.727	-0.02	0.932	0.529	-0.168	1.68	0.072	0.62	0.342	0.464	0.451	0.087	1.427	0.634	0.063	0.07	-1.393	0.382	1.286	1.438	1.347	1.755	1.866	0.975	1.211	0.675	0.984	0.71	-0.441	-0.674	0.244	-0.229
"YNL009W"	-0.235	1.292	0.624	1.212	1.21	1.038	0.918	1.345	0.84	-0.415	-0.885	-0.366	-0.474	-0.864	0.581	1.223	0.308	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.261	0.468	0.867	2.636	1.965	2.771	2.567	2.794	3.455	2.625	2.456	4.699	4.803	3.897	1.628	2.612	2.231	0.322	1.431	1.475	1.276	1.891	1.952	1.968	2.142	1.43	2.776	2.656	2.059	2.155	1.288	0.221	-0.033	0.741	0.441	0.138	-0.083	0.944	0.94	0.799	1.342	0.198	1.212	1.129	0.78	1.267	0.758	1.754	1.575	-0.471	0.45	0.08	-0.046	0.435	0.627	0.272	0.758	0.164	0.305	0.748	0.992	1.866	3.281	1.58	2.736	2.572	2.335	2.0	0.087	1.823	1.499	0.567	0.858	-0.233	1.154
"YNL237W"	-0.447	0.536	2.047	2.66	0.678	1.746	1.28	2.231	2.365	-0.856	-0.363	0.0	-1.067	-0.904	0.997	0.201	0.469	2.908	2.738	3.066	2.427	2.484	2.386	2.376	0.855	-1.088	-0.422	1.081	1.479	1.448	1.373	3.489	2.884	2.871	2.949	2.902	2.38	1.751	0.787	0.907	1.027	0.674	0.74	1.013	1.313	0.145	0.987	1.113	1.759	1.756	2.528	2.211	2.102	2.89	2.673	-0.182	-0.182	-0.062	0.182	0.085	-0.006	0.411	0.386	-0.074	0.347	-1.011	0.358	0.803	0.712	-0.262	-0.102	NaN	NaN	-0.771	0.771	-0.011	0.58	0.134	0.413	-0.274	0.245	-0.143	-0.336	0.405	0.52	1.229	1.691	1.481	2.07	1.64	1.236	0.76	2.15	2.425	2.199	0.419	0.494	1.124	0.325
"YOL083W"	-0.304	1.135	2.554	3.006	3.168	2.212	1.967	2.034	1.913	-1.344	-0.615	0.524	-2.024	-1.322	1.361	1.082	1.881	1.611	3.547	2.627	3.16	3.269	2.245	3.769	2.2175	0.408	1.562	1.0875	0.4955	2.3455	2.015	4.423	3.683	4.024	4.667	5.405	5.55	4.202	1.463	1.949	1.667	0.86	0.788	1.561	1.537	0.902	1.714	2.005	3.464	2.519	2.555	3.15	3.245	3.585	2.556	-0.519	-0.678	0.35	0.085	-0.579	-0.357	1.4	2.731	1.437	2.522	0.811	1.62	3.076	2.25	2.704	2.494	1.669	2.313	0.507	1.838	1.41	1.613	1.206	1.473	1.695	1.581	1.484	1.198	1.463	0.931	3.771	3.863	3.063	3.826	3.79	3.102	3.124	1.708	2.21	2.484	2.054	2.344	2.019	2.007
"YOR178C"	-0.27	2.145	2.72	3.206	3.13	2.615	1.968	2.423	2.529	-1.449	-0.092	0.0	-1.567	-1.4175	1.643	0.747	0.086	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.6495	1.0975	1.532	2.579	2.623	2.2575	2.2275	3.591	4.802	5.508	5.525	6.246	5.242	4.229	2.71	2.585	0.595	0.733	-0.337	-0.359	-0.606	0.139	0.213	0.082	3.538	2.812	3.601	3.712	3.702	3.655	3.243	0.048	-0.006	-0.665	-0.219	-0.301	-0.252	-0.182	0.137	-0.389	-0.287	-0.529	0.106	-0.24	-0.33	0.372	-0.053	-0.335	-2.073	0.379	0.865	0.734	0.929	0.738	0.648	1.504	1.204	1.532	0.753	-0.097	-0.687	1.503	0.471	1.354	2.364	0.468	0.164	1.444	0.256	0.413	1.336	0.104	0.446	-0.21	0.765
"YOR244W"	-0.142	0.374	0.38	0.275	0.595	0.669	-0.284	0.084	0.11	-0.107	0.707	0.564	0.268	-0.0705	0.2235	0.408	0.371	1.642	1.229	1.3645	1.2765	1.2695	1.4815	2.17	0.9945	0.9525	0.4625	1.197	0.9	0.639	1.113	0.964	0.937	0.688	0.864	1.372	1.406	0.995	1.76	0.989	0.65	0.468	0.111	0.382	0.227	0.696	0.555	0.224	0.369	1.118	1.04	1.162	1.106	1.152	0.014	-0.014	0.001	0.089	0.133	-0.231	-0.045	0.508	0.035	-0.093	-0.019	0.527	1.06	0.922	0.445	0.273	0.02	0.895	0.506	0.042	0.304	0.294	0.563	0.284	0.287	0.408	0.575	-0.223	-0.009	1.597	0.054	-0.187	0.608	0.102	0.246	0.785	0.751	1.419	0.57	0.671	0.736	-0.068	-0.003	0.4	-0.197
"YPL054W"	-0.976	2.064	2.401	2.358	1.739	1.607	1.379	1.508	0.766	-0.459	0.107	0.415	-1.585	0.288	1.217	2.085	0.53	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.7285	0.663	1.0685	4.3245	5.1485	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.839	2.322	1.691	0.546	1.208	1.505	0.825	0.48	0.699	0.628	4.457	4.466	4.26	4.568	4.886	4.785	1.832	-0.694	-0.568	-0.022	-0.197	-0.085	-0.151	1.531	0.398	1.023	0.553	-0.037	0.099	0.189	0.361	0.007	-1.054	1.257	-2.156	-0.789	1.395	0.416	0.924	1.221	1.141	1.783	1.614	1.614	1.155	0.518	1.151	3.025	3.262	2.468	2.927	3.741	3.176	4.439	2.212	3.272	2.936	1.456	1.437	1.431	1.572
"YPL140C"	0.129	0.205	-0.214	0.116	0.382	0.29	0.0	0.134	0.138	-0.227	0.096	-0.252	0.1235	-0.2345	0.016	0.28	0.292	1.7295	0.7515	0.781	0.8945	0.8945	1.4555	1.4275	0.2135	-0.2425	-0.0975	0.652	0.4195	0.3545	0.7185	0.397	0.468	0.649	0.897	1.721	1.26	0.717	-0.334	-0.276	0.229	0.341	-0.158	0.082	0.125	-0.023	0.082	0.142	0.089	1.033	1.008	0.802	0.794	1.01	0.146	-0.035	-0.467	0.069	-0.118	-0.313	-0.115	0.239	0.175	0.017	0.477	-0.583	0.783	0.069	0.3	0.303	0.15	0.13	0.433	-0.427	0.166	0.575	-0.242	1.575	0.036	-0.061	0.202	0.191	0.089	-0.066	-0.648	0.5825	0.558	0.1635	0.448	0.112	-0.0585	0.0625	0.3605	0.7675	0.422	-0.0185	-0.0835	0.32	-0.1565
"YPL223C"	-1.042	1.291	1.755	2.002	NaN	1.704	1.406	1.613	1.517	-2.083	-1.393	-1.005	-2.0435	-1.2625	0.9325	-0.929	0.344	4.9555	5.0085	2.3165	7.1635	6.4685	6.2495	3.8755	2.121	1.1645	1.6235	5.348	6.028	6.5395	5.975	0.91	2.694	3.882	4.091	4.863	5.563	4.819	1.748	2.391	3.897	0.766	3.02	4.452	4.62	2.139	3.086	4.14	6.243	-0.501	1.265	1.6	NaN	1.357	3.307	-0.626	-0.579	1.22	1.024	1.762	1.504	2.236	5.009	2.451	4.801	1.625	1.23	4.087	4.138	5.679	5.222	4.689	4.803	-0.818	5.302	3.12	4.131	3.605	4.839	5.727	5.054	5.557	5.508	4.859	5.248	4.937	6.236	6.362	4.709	6.428	4.971	7.354	5.661	5.454	3.489	7.042	6.948	6.92	6.711
"YPL230W"	0.158	2.994	3.82	4.974	4.291	4.618	3.373	4.328	4.009	-2.977	0.0575	-0.519	-2.9475	-2.8995	1.771	1.705	0.921	5.7835	4.1855	4.254	4.299	4.5545	5.401	6.6385	3.777	0.855	1.156	4.669	3.9765	3.797	3.6845	4.417	4.265	4.16	3.897	5.844	6.611	5.087	1.592	1.862	4.236	2.23	3.397	3.667	3.445	2.464	3.243	3.113	2.633	2.79	3.316	2.787	2.944	3.788	4.608	-0.827	-1.052	0.886	0.733	0.413	0.026	1.715	1.057	1.408	1.7	-0.079	2.471	2.182	1.346	2.173	1.659	3.673	3.313	0.068	0.769	0.516	0.695	-0.205	0.679	0.6	1.153	1.038	0.541	0.463	0.77	4.381	3.913	2.496	-1.432	1.055	-1.089	-0.368	2.742	4.079	3.094	1.53	2.255	1.937	1.388
"YPR026W"	-0.782	1.843	3.07	3.227	2.669	2.768	2.524	2.731	3.044	-2.755	-0.575	0.206	-3.7	-2.164	1.1225	0.988	0.641	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	0.544	0.56	1.8575	1.9465	1.637	1.72	3.247	3.097	3.589	3.048	3.736	3.344	3.193	0.742	1.976	1.62	1.057	0.472	0.555	0.432	0.177	0.227	0.558	1.986	1.531	1.76	2.032	1.357	0.997	3.704	-0.7	-0.863	0.353	0.185	-0.753	-0.202	0.871	0.432	0.942	0.924	0.09	0.832	1.632	1.073	0.601	0.187	1.145	0.365	-0.369	0.793	0.918	-0.587	0.323	0.723	0.523	0.38	0.437	0.574	0.003	-1.223	1.6005	1.758	1.7935	1.9425	1.644	1.3235	2.2575	0.6515	1.4525	1.2835	-0.387	0.65	0.6845	1.1945
"YPR030W"	-0.694	1.306	1.5705	2.271	2.338	1.3755	0.5	1.205	2.011	-1.0645	0.252	-0.725666666666667	-1.78466666666667	-1.054	1.772	-0.213	-0.291	3.65966666666667	3.562	2.04466666666667	3.516	3.01833333333333	2.697	1.874	3.25733333333333	-0.448	1.022	2.734	2.547	2.93833333333333	2.85566666666667	2.7965	2.7475	3.1415	2.585	2.9405	2.8075	2.6525	1.301	2.367	0.6755	-0.0175	0.5885	-0.073	-0.1765	-0.1835	-0.1875	0.0705	3.653	0.424	2.0545	2.098	0.9565	1.42	2.447	-0.923	-0.716	-0.552	-0.234	-0.594	-0.201	0.51	-0.231	0.252	-0.695	-0.146	-0.033	-0.224	-0.374	-1.703	-0.578	NaN	NaN	0.505	0.808	0.608	1.078	0.318	-0.062	0.817	0.952	0.672	0.734	0.519	0.353	3.06	3.26	3.282	3.982	3.31	2.376	3.197	1.633	1.538	1.556	0.138	1.022	1.663	0.5
"YPR049C"	-0.176	0.527	0.321	0.1195	0.6665	0.035	0.004	0.0845	-0.238	-0.516	0.209666666666667	0.206666666666667	0.074	-0.408666666666667	0.567666666666667	0.4545	0.2615	0.953333333333333	1.08666666666667	1.18466666666667	1.38933333333333	1.679	2.121	2.34566666666667	-0.254666666666667	0.235666666666667	0.477	0.143	0.571666666666667	0.793666666666667	1.18933333333333	1.033	1.119	1.5345	1.8485	2.0825	1.4045	1.546	0.47	0.295	0.5255	0.504	0.19	0.1605	0.6855	0.5665	0.198	0.4635	1.1935	1.1535	1.805	1.9485	1.605	1.4575	0.0215	0.0135	-0.1505	-0.056	-0.257	-0.4625	-0.1515	0.703	0.6135	0.671	1.1165	0.663	0.33	0.507	-0.199	0.5015	0.1755	2.0575	0.8355	-0.2355	0.5185	0.596	0.4775	0.1705	0.5155	0.4175	0.7735	0.4755	0.5465	-0.0755	0.1965	0.334	0.99	0.95	0.037	1.33	0.863	1.168	0.631	1.576	1.751	1.179	1.173	1.481	0.635
"YPR151C"	-0.825	1.508	1.894	2.315	2.295	1.663	1.441	1.978	1.883	-1.519	-0.001	-0.562	-1.4875	0.124	0.71	0.242	0.114	3.785	3.607	4.572	4.0445	4.539	4.7805	6.135	2.9855	0.914	0.9405	3.702	4.264	3.353	-0.735	2.014	2.42	1.754	2.526	4.373	4.037	3.357	1.176	1.123	1.456	0.63	0.666	1.137	1.096	0.812	0.956	1.251	2.038	1.573	2.355	1.895	2.429	2.315	2.506	-0.278	0.021	0.435	0.464	-0.311	0.134	0.275	0.065	-0.07	0.242	0.44	0.279	0.597	0.411	1.357	0.13	1.667	1.306	-0.294	1.116	0.973	1.031	0.86	1.129	1.083	1.228	1.348	1.724	1.131	0.402	2.199	2.514	2.406	1.69	1.869	1.864	2.009	2.599	3.843	2.373	0.78	0.49	0.715	0.652
