	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"978.wt_plus_gamma_20_min"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7540.pRS-ROX1 GAL media"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21638..24 mM H2O2- 070 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"
"YML024W"	-1.177	-2.033	-2.347	-3.361	-3.373	0.485	0.906	0.975	-1.229	-2.449	-1.751	-1.208	1.536	-1.217	-1.247	-1.187	-0.851	-0.756	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-4.621	-2.278	-1.631	-0.775	-3.523	-3.666	-3.004	-3.408	-1.077	0.451	-0.986	-3.455	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	1.891	-1.713	0.015	-0.248	-1.158	-0.118	-0.165	-0.646	-0.7	-0.326	-1.449	-1.676	-1.826	-2.078	-0.975	0.822	0.951	1.429	1.078	-0.089	-2.106	-1.066	-1.567	-2.011	1.082	-0.802	-2.253	-1.868	-2.88	-1.538	-1.982	-3.024	0.697	0.457	0.543	-2.496	-3.104	-2.601	-2.692	-3.36	-1.947	-1.537	-2.891	-2.573	-1.907	-2.067	-1.291	-2.292	-3.047	-2.62	-2.059	1.99
"YML026C"	-1.59	-2.104	-1.803	-3.139	-3.539	0.441	0.972	1.104	-1.238	-2.467	-1.536	-1.499	1.729	-1.177	-1.245	-1.184	-0.88	-0.849	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-2.504	-1.498	-0.864	-3.779	-3.636	-3.131	-3.217	-1.053	0.558	-0.965	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	1.943	-1.662	0.154	-0.198	-1.412	-0.141	-0.094	-0.507	-1.003	-0.697	-1.56	-1.727	-2.018	-2.281	-1.052	0.959	1.057	1.661	1.348	-0.406	-2.403	-1.303	-1.891	-2.065	1.005	-0.902	-2.254	-1.928	-2.879	-1.637	-1.992	-3.032	0.86	0.548	0.811	-2.407	-2.371	-2.351	-2.416	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94	-3.307	-1.501	-2.689	-3.213	-2.672	-2.439	2.058
"YML073C"	-2.182	-2.294	-2.106	-3.093	-3.742	1.165	1.148	1.114	-1.748	-2.66	-2.111	-1.668	2.428	-1.164	-1.098	-0.875	-0.642	-0.566	0.912	-3.01	-3.061	-2.182	-1.884	-2.135	-3.862	-6.033	-2.298	-1.28	-0.641	-3.5	-3.371	-3.087	-2.501	-0.656	0.594	-0.82	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	2.691	-1.513	0.228	-0.333	-1.651	-0.173	-0.111	-0.482	-0.493	0.042	-1.867	-1.623	-2.194	-1.884	-1.198	1.038	0.787	1.347	1.358	0.141	-1.591	-0.983	-1.722	-1.329	1.37	-0.892	-2.025	-1.975	-3.463	-2.293	-2.576	-3.187	0.588	0.532	0.691	-2.14	-1.892	-2.084	-2.475	-2.783	-3.737	-2.652	-3.765	-3.151	-2.415	-2.901	-1.82	-2.211	-2.839	-2.454	-2.344	1.585
"YMR121C"	-1.48	-1.588	-1.431	-1.388	-1.87	0.931	0.674	0.931	0.345	-1.194	-1.008	-1.544	1.805	-1.196	-1.406	-0.95	-0.614	-0.526	-3.215	-2.875	-2.279	-2.002	-1.905	-2.539	NaN	-4.199	-0.903	-0.681	-0.458	-2.574	-2.217	-2.44	-1.709	-0.566	0.887	-0.512	-2.864	-1.698	-2.019	-2.144	-2.277	-2.155	-2.582	2.178	-1.659	0.158	-0.164	-1.605	-0.257	-0.241	0.027	-0.771	-0.084	-1.441	-1.397	-1.615	-1.986	-0.652	1.289	0.301	1.901	1.078	-0.32	-1.118	0.436	-0.66	-1.534	0.979	-0.499	-1.432	-1.702	-2.5	-1.911	-1.004	-1.331	1.073	0.671	0.482	-1.517	-1.575	-1.83	-2.346	-3.713	-2.508	-2.69	-3.436	-2.969	-2.254	-2.182	-1.721	-1.996	-2.618	-2.541	-1.983	1.469
"YMR142C"	-2.549	-1.964	-2.064	-3.395	-3.688	0.887	1.026	1.125	-1.47	-2.447	-2.086	-1.601	1.859	-1.105	-1.111	-0.913	-0.764	-0.661	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-0.651	-6.693	-2.458	-1.636	-0.522	-3.048	-3.849	-3.197	-3.226	-0.909	0.391	-0.736	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	2.283	-1.664	0.153	-0.161	-1.327	-0.096	0.042	-0.248	-0.31	-0.121	-1.695	-1.658	-2.094	-2.359	-1.078	1.051	0.579	1.69	1.296	-0.136	-2.156	-1.0	-2.0	-2.02	0.653	-0.769	-2.075	-1.565	-3.112	-1.856	-1.729	-3.22	0.853	0.483	0.503	-1.802	-1.302	-1.881	-2.173	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	-3.042	-1.509	-2.248	-3.238	-2.361	-2.0	2.226
"YMR143W"	-1.513	-2.24	-2.096	-3.145	-3.327	0.567	0.792	0.76	-1.213	-2.543	-2.038	-1.804	2.012	-1.255	-1.227	-1.048	-0.76	-0.76	-3.748	-3.175	-3.477	-3.087	-2.794	-2.234	-2.287	-4.466	-2.848	-1.662	-0.37	-3.563	-3.61	-3.657	-3.194	-0.748	0.683	NaN	-4.401	-2.562	-2.703	-2.873	-2.88	-3.111	-3.545	1.601	-1.615	0.158	-0.12	-1.633	-0.07	-0.236	-0.403	-0.686	-0.315	-1.667	-1.812	-2.159	-2.072	-0.904	0.917	0.994	1.507	1.325	0.091	-2.014	-1.318	-1.828	-1.89	0.83	-0.76	-2.162	-2.009	-3.549	-2.167	-2.476	-2.631	0.965	0.809	0.906	-2.627	-3.371	-2.601	-2.781	-4.133	-3.647	-3.943	-4.75	-3.456	-3.199	-2.887	-1.672	-2.117	-3.488	-2.527	-2.497	2.539
"YMR230W"	-1.422	-1.711	-2.28	-2.593	-2.768	0.962	0.573	0.665	-0.768	-1.704	-1.106	-1.194	1.278	-1.126	-1.274	-1.116	-0.905	-0.738	-3.465	-3.053	-2.702	-2.699	-2.427	-1.989	-3.24	-4.541	-2.707	-0.908	-0.532	-2.924	-2.999	-2.959	-3.013	-1.03	0.452	-1.113	-3.21	-2.361	-2.361	-1.71	-1.57	-1.442	-2.394	1.604	-1.343	0.142	-0.15	-1.522	0.064	-0.089	-0.377	-0.688	-0.328	-0.917	-1.82	-1.919	-2.635	-1.266	-0.263	0.562	1.232	1.177	-0.2	-2.107	-0.816	-1.571	-1.981	0.72	-0.689	-2.1	-2.387	-2.711	-1.531	-1.701	NaN	1.033	0.99	0.597	-2.281	-2.796	-2.723	-2.802	-3.054	-2.758	-1.782	-3.802	-3.223	-2.456	-2.976	-1.254	-2.275	-3.141	-2.505	-2.135	1.551
"YMR242C"	-2.278	-2.539	-1.639	-3.309	-3.708	1.262	1.333	1.294	-1.649	-2.703	-2.14	-1.779	2.345	-1.473	-1.353	-1.006	-0.705	-0.537	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-1.253	-0.482	-3.832	-4.338	-3.636	-3.62	-0.792	0.77	-0.33	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	2.029	-1.534	0.16	-0.407	-1.705	-0.295	-0.482	-0.524	-0.742	-0.352	-1.855	-1.668	-2.268	-1.87	-1.126	0.993	0.842	1.72	1.427	-0.1	-2.598	-1.85	-2.755	-2.478	0.993	-0.889	-2.26	-2.4615	-3.185	-2.447	-2.255	-3.054	0.919	0.825	0.874	-2.358	-3.061	-2.31	-2.43	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	-1.905	-2.832	-3.582	-2.724	-2.941	2.275
"YNL067W"	-2.389	-2.348	-2.563	-3.335	-3.738	1.17	1.166	0.859	-1.372	-2.271	-1.499	-1.639	2.571	-0.889	-0.86	-0.738	-0.013	-0.022	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-2.532	-1.248	-0.158	-2.866	-3.241	-2.399	-0.037	-0.841	0.63	-0.106	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	2.578	-1.431	0.086	-0.086	-2.002	0.066	0.109	-0.384	-0.527	-0.282	-1.653	-1.793	-2.149	-2.568	-1.08	0.834	0.601	1.228	1.002	-0.175	-2.232	-0.753	-2.17	-2.392	1.371	-0.943	-1.723	-1.5625	-3.133	-1.868	-2.315	-3.16	0.743	0.431	0.812	-2.393	-3.078	-2.453	-2.636	-2.698	-2.15	-2.329	-3.107	-2.534	-2.013	-2.982	-1.875	-2.357	-3.163	-2.83	-2.667	1.863
"YNL069C"	-1.415	-1.976	-1.954	-2.865	-3.347	1.134	0.991	0.906	-1.57	-2.405	-1.946	-2.057	1.983	-0.985	-0.932	-0.764	-0.534	-0.36	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-1.387	-0.358	-3.44	-3.85	-3.199	0.46	-0.81	0.662	-0.377	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	2.414	-1.587	0.139	-0.226	-1.709	-0.141	-0.334	-0.427	-0.591	-0.265	-1.726	-1.428	-1.927	-2.065	-1.23	0.85	0.955	1.459	1.387	0.18	-1.666	-0.724	-1.779	-1.689	1.188	-0.778	-1.844	-2.137	-3.789	-2.573	-2.448	-2.91	0.703	0.502	0.638	-3.159	-4.293	-2.854	-2.543	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	-3.775	-1.852	-2.418	-3.76	-2.99	-2.983	1.979
"YNL096C"	-1.989	-2.093	-1.957	-2.881	-3.202	1.017	0.749	0.741	-1.149	-2.329	-1.871	-1.516	2.487	-1.407	-0.997	-0.833	-0.639	-0.506	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.454	-0.912	-0.429	-3.331	-3.045	-2.761	-3.165	-1.289	0.439	-0.554	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	2.416	-1.008	-0.147	-0.456	-1.54	-0.166	-0.09	-0.806	-0.424	-0.23	-1.523	-1.928	-2.501	-2.176	-1.402	1.315	1.004	1.36	1.064	-0.415	-2.046	-1.25	-1.701	-1.39	0.9	-1.168	-2.448	-2.8625	-3.171	-2.296	-1.613	-2.812	0.827	0.641	0.652	-2.244	-3.134	-1.9	-2.02	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	-2.208	-2.516	-3.108	-2.343	-2.045	1.561
"YNL119W"	-2.225	-2.262	-2.092	-2.438	-3.435	1.189	1.033	0.844	-1.224	-1.88	-1.412	-1.792	1.834	-1.313	-1.27	-1.03	-0.898	-0.491	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-2.598	-1.052	-0.005	-3.359	-3.366	-2.99	-2.998	-0.91	0.554	-0.772	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	2.478	-1.042	-0.099	-0.39	-1.909	-0.267	-0.351	-1.116	-0.283	-0.266	-1.761	-1.602	-1.861	-2.239	-1.364	0.798	0.82	0.966	1.262	-0.278	-1.868	-1.18	-2.044	-2.032	0.874	-0.883	-1.613	-1.92	-2.631	-1.803	-2.341	-2.524	0.859	0.434	0.737	-2.984	-3.444	-2.781	-2.669	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	-1.972	-2.637	-3.264	-2.198	-2.566	1.778
"YNL162W"	-2.024	-2.384	-1.97	-3.17	-3.58	1.123	1.003	1.055	-1.102	-2.232	-1.506	-1.235	1.592	-1.061	-0.954	-0.581	-0.666	-0.455	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-1.052	-0.296	-2.86	-2.872	-2.421	-2.763	-0.684	0.758	-0.375	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	1.432	-1.269	0.03	-0.192	-1.613	-0.238	-0.037	-0.265	-0.905	-0.471	-1.403	-1.47	-2.115	-2.002	-1.284	0.677	0.507	1.404	1.099	-0.132	-2.109	-1.282	-2.23	-1.918	1.117	-0.997	-2.288	-1.852	-2.438	-1.199	-1.908	-2.998	0.931	0.639	0.462	-2.785	-3.365	-2.852	-2.02	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105	-0.901	-2.273	-2.553	-2.223	-1.942	2.252
"YNL178W"	-1.947	-2.425	-2.285	-3.467	NaN	1.181	1.102	1.301	-1.826	-2.761	-2.578	-2.086	1.969	-1.489	-1.635	-1.122	-0.811	-0.362	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-6.62	-2.371	-1.624	-0.726	-3.239	-3.307	-3.272	-3.183	-1.098	0.445	-0.884	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	2.094	-1.96	-0.026	-0.503	-2.079	-0.519	-0.397	-0.546	-0.447	-0.187	-2.137	-1.885	-2.259	-2.693	-0.856	0.86	0.579	1.616	1.258	-0.469	-1.991	-0.422	-1.803	-1.852	0.859	-0.658	-2.233	-2.479	-3.866	-2.566	-2.416	-3.459	1.295	0.744	0.795	-2.15	-2.804	-2.248	-2.739	-2.898	-2.059	-1.999	-2.548	-2.616	-2.364	-2.764	-1.799	-2.344	-3.881	-2.957	-2.772	2.061
"YNL301C"	-1.447	-1.715	-1.685	-2.335	-3.036	1.125	1.063	1.048	-1.64	-1.652	-1.273	-1.87	2.223	-1.068	-1.128	-1.044	-0.866	-0.619	-2.992	-2.551	-2.514	-2.036	-1.241	-3.266	-5.123	-6.272	-2.514	-1.521	-0.505	-2.943	-3.585	-3.098	-2.59	-0.711	0.559	-0.689	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	2.767	-1.424	0.17	-0.049	-1.96	-0.146	-0.341	-0.307	-0.517	-0.246	-1.9	-1.604	-2.024	-2.558	-0.982	0.98	0.412	1.856	1.381	0.018	-1.892	-1.098	-1.944	-2.088	0.977	-0.938	-1.909	-2.232	-3.479	-2.389	-2.619	-2.136	0.774	0.918	0.875	-2.966	-3.652	-2.327	-2.144	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-3.161	-1.771	-2.864	-3.527	-3.041	-2.51	2.72
"YOR234C"	-1.963	-1.677	-1.574	-2.03	-2.616	1.227	1.076	0.633	-0.932	-1.644	-0.983	-0.911	1.488	-1.198	-1.207	-0.863	-0.681	-0.488	-4.006	-3.3605	-2.805	-2.6575	-2.058	-1.908	-2.8745	-4.019	-2.302	-0.869	-0.234	-2.7115	-2.657	-2.407	-2.3945	-0.85	0.838	-0.937	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	1.926	-1.048	0.13	-0.169	-1.516	0.17	0.229	-0.606	-0.298	-0.284	-1.178	-1.704	-1.749	-2.452	-1.287	1.056	0.904	1.472	1.252	0.094	-1.878	-1.111	-1.811	-1.663	1.178	-0.9825	-1.7745	-1.288	-2.267	-1.148	-1.689	-1.745	0.8	0.339	0.686	-0.885	-1.177	-1.301	-2.108	-3.604	-2.922	-2.425	-4.032	-3.302	-2.445	-3.127	-1.635	-2.168	-2.764	-1.985	-2.318	2.017
"YOR293W"	-2.282	-2.435	-2.205	-3.618	-3.854	1.033	0.782	0.753	-1.054	-2.307	-1.6	-1.438	1.855	-1.283	-1.323	-0.998	-0.943	-0.707	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-2.907	-1.2955	-0.454	-3.442	-3.1085	-3.0195	-2.64	-0.949	0.626	-1.197	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	1.931	-1.529	0.108	-0.114	-1.836	-0.097	-0.063	-0.507	-0.746	-0.259	-1.418	-1.714	-2.098	-2.261	-1.394	0.682	0.758	1.364	1.228	-0.233	-2.613	-1.397	-2.238	-2.131	0.8495	-1.0805	-2.6075	-1.85	-3.078	-1.92	-2.091	-3.151	0.998	0.372	0.704	-2.037	-2.991	-2.655	-3.047	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-3.271	-1.762	-2.145	-2.695	-3.004	-2.477	2.111
"YOR312C"	-2.426	-2.612	-1.995	-2.723	-3.7	1.374	1.167	0.9475	-1.432	-2.417	-1.633	-1.346	1.659	-1.423	-1.361	-1.05	-0.952	-0.504	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-1.33	-0.336	-2.99	-3.177	-3.0	-2.5975	-0.784	1.04	-0.959	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	1.892	-1.468	0.363	-0.107	-1.663	0.087	0.016	-0.592	-0.45	-0.253	-1.871	-1.51	-1.763	-2.046	-1.207	1.109	0.925	1.709	1.432	-0.168	-2.549	-1.545	-2.5	-2.243	1.4125	-1.0205	-2.1775	-1.883	-2.684	-1.929	-1.994	-2.873	0.456	0.769	0.619	-1.538	-1.439	-1.399	-3.057	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-2.886	-1.564	-1.836	-2.74	-2.092	-2.281	2.117
"YOR369C"	-1.398	-2.084	-2.312	-2.946	-2.962	1.029	1.207	0.9225	-1.683	-2.175	-2.11	-2.127	2.138	-1.055	-1.413	-1.288	-0.974	-0.685	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-6.5475	-2.346	-1.6065	-0.538	-3.0405	-3.6415	-3.752	-3.809	-1.055	0.649	-0.987	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	1.967	-1.806	0.086	-0.172	-2.02	-0.287	-0.366	-0.648	-1.107	-0.544	-1.941	-1.93	-1.797	-2.294	-0.859	0.786	0.266	1.617	1.483	-0.591	-2.104	-1.053	-1.97	-2.181	1.046	-0.7605	-2.1875	-2.309	-3.251	-2.35	-2.25	-2.806	1.115	0.859	1.004	-2.874	-3.601	-3.469	-2.698	-3.362	-2.395	-1.842	-3.032	-3.003	-2.641	-3.203	-2.121	-2.977	-4.066	-3.194	-3.296	2.194
"YPL079W"	-2.261	-2.597	-2.277	-3.115	-3.828	0.688	1.126	0.917	-1.437	-2.516	-2.168	-1.792	2.125	-1.237	-1.193	-0.924	-0.726	-0.596	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-2.527	-1.563	-0.717	-3.085	-3.172	-3.0255	-3.112	-1.163	0.672	-0.269	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	1.834	-1.537	0.462	-0.182	-1.394	-0.011	0.022	-0.287	-0.533	-0.187	-1.713	-1.29	-2.19	-1.564	-1.109	1.127	0.718	1.576	1.318	0.068	-2.574	-1.758	-2.209	-2.429	0.9955	-0.893	-2.1725	-1.673	-3.141	-2.001	-2.132	-3.135	0.858	0.393	0.582	-1.336	-2.037	-1.665	-1.936	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	-1.449	-2.289	-2.489	-2.116	-2.983	2.494
"YPL081W"	-2.088	-2.158	-1.543	-2.931	-3.841	0.427	0.779	0.714	-0.734	-1.35	-0.98	-1.27	2.658	-1.065	-0.8	-0.646	-0.588	-0.324	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-1.497	-0.895	-0.208	-2.5355	-2.916	-2.428	-2.3315	-0.591	0.633	-0.213	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	2.276	-0.823	0.177	0.191	-0.787	0.162	0.033	0.075	0.053	-0.088	-0.736	-1.145	-2.064	-1.266	-1.488	0.725	0.105	0.691	0.791	-0.19	-2.576	-2.106	-2.383	-2.29	1.001	-0.3725	-1.5395	-1.844	-2.373	-1.895	-1.819	-2.52	0.638	0.15	0.445	-1.366	-1.142	-2.146	-1.967	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-1.902	-2.468	-2.936	-2.468	-2.32	1.537
"YPL090C"	-2.294	-2.09	-2.497	-3.529	-3.965	0.955	0.871	0.9415	-1.691	-2.823	-2.737	-1.765	1.925	-1.202	-1.4	-0.979	-0.996	-0.735	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-2.01	-1.263	-0.49	-3.398	-3.223	-3.3795	-3.2385	-0.836	0.491	-0.86	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	2.457	-1.851	0.212	-0.186	-1.264	-0.113	-0.095	-0.467	-0.717	-0.376	-1.907	-0.905	-1.712	-1.976	-0.845	0.958	0.445	1.588	1.336	0.147	-2.805	-1.131	-1.985	-1.805	1.158	-1.1235	-2.16	-2.061	-3.271	-2.127	-2.178	-3.272	0.8	0.784	0.601	-2.087	-1.911	-2.026	-2.536	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-1.747	-2.426	-2.941	-2.515	-2.573	2.518
"YPL142C"	-1.892	-1.932	-2.625	-2.913	-3.225	1.023	1.2695	1.009	-1.361	-2.066	-1.527	-1.341	1.8475	-0.87	-0.9545	-0.7835	-0.6675	-0.4035	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-1.525	-0.481	-2.825	-3.3035	-2.8235	-2.16	-0.55	0.55	-0.543	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	1.267	-1.527	0.384	0.046	-1.466	0.24	0.055	-0.328	-0.293	-0.332	-1.793	-1.324	-1.416	-1.579	-0.981	1.079	0.812	1.735	1.594	0.392	-1.852	-0.847	-1.839	-2.009	1.161	-0.7625	-1.7865	-2.011	-2.534	-1.836	-2.226	-3.034	1.046	0.745	0.778	-2.606	-3.138	-2.604	-2.333	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35	-1.359	-2.78	-3.379	-2.674	-2.419	1.708
"YPL143W"	3.0	3.907	NaN	-1.077	NaN	1.024	0.917	1.0005	NaN	-2.019	-1.485	-1.035	1.6155	-0.971	-1.005	-0.728	-0.673	-0.4695	-4.4445	-3.3605	-3.232	-3.2955	-2.5465	-2.7845	-3.35	-5.0395	-2.716	-1.482	-0.5885	-3.0685	-3.1305	-2.7815	-2.7985	-0.807	0.558	-0.459	-4.372	-2.232	-2.155	-2.195	-1.391	-1.972	-2.941	1.645	-1.231	-0.059	-0.044	-1.478	0.002	0.106	-0.416	-0.503	-0.367	NaN	-1.474	-1.831	-2.42	-1.249	0.86	0.789	1.482	1.22	-0.071	-1.826	-1.473	-1.99	-2.186	0.984	-0.808	-2.0015	-2.07	-2.863	-1.324	-1.9	-0.986	0.936	0.825	0.831	-2.347	-2.197	-2.864	-2.108	-2.893	-2.234	-1.996	-3.13	-2.792	-2.506	-2.952	-1.325	-2.214	-3.102	-2.663	-2.528	1.375
"YPL198W"	-1.974	-1.747	-2.023	-3.084	-3.342	1.284	0.94	0.968	-1.187	-2.129	-1.589	-1.605	2.2845	-1.312	-1.127	-0.9245	-0.693	-0.513	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-2.7345	-1.2855	-0.287	-3.4825	-3.3185	-3.022	-2.766	-0.838	0.533	-0.727	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	2.698	-1.223	0.043	-0.103	-1.784	-0.02	-0.062	-0.745	-0.382	-0.26	-1.506	-2.11	-2.305	-2.454	-1.119	1.033	0.727	1.57	1.437	-0.283	-2.043	-1.242	-1.951	-2.099	1.0615	-0.934	-2.012	-1.633	-2.847	-2.16	-1.73	-2.581	0.573	0.224	0.617	-1.063	-1.438	-1.405	-2.3655	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	-3.5	-2.0715	-2.5865	-3.028	-2.2705	-2.635	1.8335
