	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2555.Hypo-osmotic shock -30 minutes"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38154.03II01 batch p10"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YLR270W"	1.09	2.619	2.816	NaN	2.659	2.141	1.375	2.515	2.627	2.718	-1.191	-0.138	-0.362	-0.535	-1.215	-1.155	1.123	-0.297	-0.754	-0.222	1.442	2.388	2.215	2.423	3.652	2.309	2.746	2.685	2.31	2.688	1.834	1.707	2.081	1.738	-0.774	3.081	2.673	2.833	3.002	-1.294	3.312	1.948	-1.335	1.61	3.5	1.533	2.06	-1.16	-1.803	-1.637	-1.805	-1.073	3.169	3.79	3.879	2.633	3.417	3.865	-0.467	-0.527	1.272	1.845	2.019	-0.658	3.272	2.562	-0.456	-1.45	2.949	3.768	3.171	4.17	-0.413	-1.433	2.439	2.407	1.611	2.518	2.699	2.67	2.398	3.716	2.802	1.955	2.213	1.888	2.484	3.198	-2.341	-1.339	-3.499	-1.447	-1.937	-1.653	-2.793	-1.35	-1.273	-1.308	-1.056
"YLR327C"	5.783	6.488	5.954	5.645	5.778	3.412	4.371	5.125	5.199	5.112	-5.299	-5.062	-4.501	-2.967	-5.491	-2.038	1.814	-1.791	-0.936	-1.634	4.599	4.386	4.02	3.803	4.027	4.45	2.868	4.348	3.613	1.507	2.772	4.706	5.562	5.219	-0.515	3.561	3.106	3.253	3.422	0.097	3.568	3.116	-0.943	2.834	3.316	3.353	2.518	-1.578	-1.86	-1.853	-1.24	-2.232	3.569	3.895	3.191	2.478	2.683	3.199	-0.695	-2.151	1.757	5.457	2.06	0.532	6.244	4.713	-1.524	-2.001	5.694	3.76	4.459	3.768	-2.825	-2.808	4.578	4.915	4.035	2.679	6.94	6.324	5.267	4.86	5.963	5.223	5.412	2.361	2.527	2.944	-1.616	-1.956	-3.958	0.424	0.142	-2.435	-0.682	-2.623	-0.902	-0.805	-1.669
"YLR345W"	1.107	5.322	NaN	3.123	NaN	NaN	NaN	NaN	NaN	NaN	-1.555	-1.0	-0.862	-0.48	-1.311	-1.152	0.916	-0.736	-0.344	-0.647	1.588	1.594	1.581	1.468	3.284	2.557	2.973	2.201	2.879	2.964	1.64	2.564	2.391	1.773	-0.784	2.784	2.404	2.672	2.873	-0.733	2.233	2.483	-0.991	1.335	2.044	1.513	1.227	-0.541	-1.363	-1.264	-1.17	-0.834	1.481	2.064	1.826	1.203	1.932	1.928	-0.788	-1.462	1.016	2.882	-1.646	-1.172	NaN	2.52	-0.194	-0.693	2.472	2.899	1.425	1.415	-0.475	-0.233	2.555	2.676	2.345	2.212	3.184	2.929	2.177	2.961	2.519	2.651	2.696	1.981	2.368	2.072	-3.321	-1.114	-2.395	-2.623	-0.413	-1.81	-0.826	-0.55	-0.963	-1.102	-1.293
"YML100W"	5.084	5.316	6.476	6.109	6.414	4.821	3.008	5.251	6.445	7.021	-4.449	-1.722	-1.55	-1.311	-4.306	-4.677	1.813	-1.322	-1.339	-1.714	3.249	4.344	4.142	3.563	6.107	0.965	4.088	4.578	2.901	4.113	2.863	3.063	3.032	2.344	-1.292	3.917	4.132	3.925	4.015	-2.321	1.761	2.341	-1.481	3.763	4.291	2.858	2.995	-1.463	-1.402	-2.459	-2.51	-1.814	2.753	3.692	4.03	2.199	2.933	3.008	-2.198	-2.661	2.246	0.006	-2.33	-1.529	6.199	-0.313	-0.927	-2.186	0.492	-0.461	0.149	0.002	0.024	-0.379	6.107	5.901	5.052	3.944	2.766	1.304	1.959	4.68	2.566	1.707	2.578	3.794	4.254	4.281	0.072	-2.79	-4.412	-2.161	-2.794	-2.779	-2.163	-1.115	-3.472	-2.887	-7.4
"YML128C"	3.379	5.766	6.859	6.417	6.4	3.943	4.821	5.43	4.736	4.769	-4.216	-3.872	-2.888	-3.065	-4.337	-2.074	1.522	-2.002	-3.176	-3.591	3.127	4.797	5.261	5.152	4.497	4.007	4.229	5.074	4.836	3.562	3.999	4.137	4.28	4.369	-2.233	4.504	4.485	4.304	5.155	-4.099	3.828	3.824	-1.025	4.68	4.48	2.96	3.892	-2.146	-2.374	-2.126	-1.41	-1.21	3.249	3.623	4.151	2.778	3.393	3.76	-2.822	-2.843	2.646	0.407	-0.246	-1.394	5.297	1.118	-1.658	-1.59	0.6	1.151	1.049	0.24	0.557	0.794	3.674	4.573	3.359	3.179	5.111	4.729	4.503	5.91	5.407	3.945	5.151	4.994	4.05	3.891	-1.757	-1.35	-3.201	-2.49	-2.197	-4.155	-1.038	-0.75	-2.938	-2.441	-2.867
"YMR105C"	4.808	6.504	7.421	7.216	6.858	4.865	4.63	6.445	6.665	6.783	-4.77	-2.499	-2.78	-2.06	-5.01	-3.766	1.791	-2.702	-1.237	-1.572	3.283	4.095	3.845	3.192	4.909	4.43	4.356	4.635	4.095	3.333	4.172	3.838	2.982	2.866	-2.457	3.095	3.543	4.109	3.285	-1.998	3.606	3.115	-2.639	3.846	3.966	3.058	3.634	-1.291	-1.723	-1.74	-1.544	-1.351	2.888	3.652	3.607	2.154	3.361	3.627	-2.176	-2.045	1.973	3.806	-1.891	-0.864	6.837	3.052	-1.079	-1.687	3.171	4.636	2.088	3.883	-1.457	-0.952	5.78	5.764	3.906	4.753	4.164	3.912	3.617	6.583	5.468	3.536	4.665	3.679	3.947	3.825	-2.863	-1.742	-3.784	-2.255	-1.933	-3.981	-1.771	-2.481	-2.931	-2.018	-5.182
"YMR110C"	1.319	2.134	2.615	2.502	2.414	0.622	1.848	2.26	2.565	2.824	-0.955	-0.291	-0.479	0.023	-1.172	-0.793	0.902	-0.606	-0.886	-0.332	1.083	1.437	1.559	1.528	3.925	3.346	3.746	3.565	3.434	2.517	2.145	2.734	2.473	2.516	-0.511	4.042	3.217	2.995	3.422	-1.243	2.401	2.339	-0.891	1.534	1.765	1.147	1.27	-1.008	-1.397	-1.054	-1.235	-0.597	1.252	1.966	1.767	1.239	1.879	2.022	-0.351	-0.806	0.952	2.645	1.063	-2.476	2.675	2.258	-0.477	-1.204	1.888	1.948	NaN	1.709	-1.001	-1.08	2.229	2.545	1.675	1.23	3.97	4.096	2.779	3.64	3.462	2.896	2.522	2.579	2.785	2.932	1.367	-0.145	-1.254	0.008	-0.151	-0.306	-0.455	-1.623	-0.857	-0.797	-0.765
"YMR169C"	1.8365	3.194	2.717	3.7265	2.1645	4.754	1.4095	1.609	2.2055	2.4185	-1.321	0.1315	-0.3905	-0.1275	-2.0	-0.9485	1.1975	-0.761	-0.062	-0.9325	0.3835	1.001	1.3735	1.469	2.206	1.723	0.7425	1.1695	2.2665	0.7785	1.356	3.0715	2.0175	1.513	-0.176	2.454	1.7675	2.832	2.798	-2.2145	NaN	NaN	-0.844	1.5805	2.3205	1.8225	2.265	-0.162	-0.906	-0.5095	-0.3865	-0.612	2.137	2.0095	2.429	1.9655	2.175	3.141	-1.222	-1.3015	0.9445	0.996	-1.42	0.427	3.1995	2.706	-1.12	-0.079	2.6905	2.3815	4.81	3.0005	-0.198	-1.093	1.854	2.106	0.8505	0.992	3.13	2.4045	2.1065	3.5495	2.255	1.145	1.675	1.9635	2.1355	1.807	-1.1325	-0.7005	-1.4185	-0.238	-0.0485	-1.2935	-0.929	-0.552	-0.943	-0.5545	-1.2895
"YMR170C"	1.631	4.153	5.429	NaN	5.057	4.658	2.685	4.008	5.21	5.684	-2.579	-0.595	-0.469	-0.409	-2.606	-2.526	1.391	-0.828	-2.907	-1.696	0.674	1.875	3.094	3.099	6.85	2.236	0.522	3.746	1.825	2.011	1.1	3.917	3.8	2.053	-1.218	4.668	3.541	5.035	5.147	-3.199	3.806	2.736	-1.819	2.952	4.06	2.562	3.699	-1.119	-1.476	-2.107	-1.197	-1.189	3.578	4.235	4.323	2.97	3.461	4.144	-1.725	-2.065	2.755	3.427	-0.708	-0.65	6.459	5.241	-0.808	-2.022	5.187	5.091	3.697	4.67	0.276	-1.189	2.93	4.409	2.648	2.532	4.934	4.039	3.912	6.253	4.167	2.972	3.706	5.329	5.089	5.472	-3.242	-3.549	-3.137	-1.737	-1.221	-2.935	-1.791	-2.06	-1.97	-2.812	-2.271
"YMR250W"	3.291	5.161	6.007	5.745	5.491	4.651	4.027	5.246	5.448	5.563	-4.172	-2.577	-1.745	-1.654	-3.731	-3.482	1.403	-1.601	-2.413	-1.968	2.822	3.78	4.002	3.833	4.705	4.159	3.979	4.174	4.516	NaN	3.37	2.816	2.923	2.601	-1.972	5.655	5.109	4.892	4.741	-3.083	3.373	3.642	-2.919	4.064	3.727	1.888	3.14	-1.287	-2.625	-2.467	-1.887	-2.141	3.487	4.187	3.663	2.768	3.676	4.128	-1.774	-2.618	1.807	4.413	-1.465	-1.247	5.984	4.552	-1.139	-1.692	4.589	5.342	4.545	5.083	-1.288	-1.99	4.217	4.606	3.471	4.16	5.331	5.018	3.436	5.68	4.944	4.024	3.524	5.579	6.752	6.07	-0.656	-0.326	-2.797	-1.955	-0.891	-1.55	-0.513	-1.518	-2.968	-1.378	-6.404
"YMR251W"	2.286	3.083	2.943	2.5025	2.2605	1.226	2.2455	2.5805	2.659	2.6685	-2.2625	-1.4055	-1.4475	-1.431	-2.2455	-1.529	1.054	-0.8545	-1.703	-2.038	1.58	1.8815	2.286	2.3175	2.6985	2.0335	2.308	2.985	2.0525	1.7815	1.6735	1.6805	1.91	1.732	-0.4905	2.268	2.1405	2.128	2.075	-1.2685	0.422	0.484	-0.595	2.2075	2.5055	1.221	1.668	-1.012	-0.7725	-0.9555	-1.6435	-1.28	2.9555	3.333	2.9395	1.674	2.2575	2.4295	-1.8055	-1.397	1.3675	2.542	-0.249666666666667	-1.94766666666667	2.8235	3.056	-0.8915	-0.863	3.0445	1.737	1.8595	1.696	-1.37	-1.542	1.7275	1.9045	1.2215	2.6785	2.22	2.575	2.269	1.36	2.539	1.5385	2.474	1.2065	1.1895	0.3585	-0.448	-0.168	-0.306	-0.23	0.498	-0.431	-1.1	-0.535	-0.02	-0.43	-1.481
"YNL015W"	1.476	2.601	2.433	3.341	3.124	1.885	1.924	2.455	3.302	2.984	-1.648	-1.779	-1.71	-2.408	-1.704	-1.611	1.204	-0.546	-1.958	-1.966	1.591	2.177	2.881	2.052	4.235	4.867	4.844	4.633	3.952	3.875	1.889	2.852	3.342	3.085	-0.161	2.964	3.342	2.817	2.895	-1.818	3.546	2.68	-0.277	1.601	0.607	1.132	1.565	-0.635	-0.856	-1.538	-1.673	-1.685	0.247	0.907	1.077	0.216	0.532	0.588	-1.067	-0.88	1.721	2.301	-2.4315	-0.3745	3.501	2.526	-0.777	-1.406	3.328	2.624	1.933	1.92	-1.971	-2.557	2.176	2.636	1.503	1.699	2.8	3.339	2.117	2.634	3.327	3.061	2.362	1.5	1.674	1.936	0.125	0.155	-0.768	-0.754	-1.658	-0.328	-1.443	-1.13	-1.402	-0.941	-2.854
"YNL194C"	3.447	5.095	5.751	5.035	4.078	1.803	2.309	3.57	4.628	4.437	-4.215	-0.907	-1.126	-1.104	-4.632	-2.493	1.406	-3.001	-0.133	-0.612	1.248	2.799	2.945	2.106	5.233	3.747	3.657	4.22	4.536	1.713	2.151	4.334	3.832	4.294	-1.334	2.091	1.95	3.047	2.686	-1.451	4.147	3.796	-1.42	1.479	4.434	2.994	2.256	-0.878	-0.923	-1.291	-1.239	-0.703	3.28	3.68	2.673	2.008	3.187	3.576	-1.133	-0.352	0.883	3.6835	-0.483	-0.845	5.952	1.603	-1.663	-1.736	1.424	1.321	-0.197	-0.856	0.361	-0.062	3.643	3.456	1.149	1.921	4.012	4.173	4.168	4.692	4.34	3.634	3.692	3.34	4.454	1.72	-0.032	0.072	NaN	NaN	-2.389	-1.413	-0.677	-0.546	0.106	-2.362	-0.74
"YNL195C"	2.712	4.117	4.678	4.181	3.81	NaN	0.881	1.953	2.014	2.055	-2.671	-2.143	-1.743	-2.021	-2.963	-1.478	1.496	-1.847	-1.243	-1.227	1.321	2.618	2.512	1.966	4.925	4.482	3.332	4.392	5.139	4.666	3.192	4.075	4.163	4.35	-0.571	2.415	1.597	2.41	2.372	-2.194	0.859	2.791	-0.169	3.052	4.202	3.375	2.339	-0.716	-0.58	-0.463	-0.253	-0.741	3.054	4.083	3.862	1.459	3.081	3.564	-0.495	-1.17	1.175	4.8645	-0.147	0.447	3.361	3.432	-0.688	-0.275	3.773	2.866	3.277	1.981	-0.51	-0.041	2.937	2.819	0.889	1.155	4.582	5.316	4.473	4.625	5.372	4.191	4.489	3.583	5.53	3.318	-1.561	-1.352	-3.194	-1.245	-1.876	-1.971	-1.04	-2.143	-1.22	-1.085	-2.866
"YNL200C"	1.996	3.958	4.143	4.374	3.376	3.204	2.855	3.17	3.269	3.585	-1.755	-0.807	-0.715	-0.243	-2.308	-1.611	0.997	-0.818	-0.733	-0.991	1.435	1.816	2.286	2.294	4.582	3.797	3.537	4.197	4.951	2.818	1.214	2.013	2.15	2.624	-1.251	3.003	2.005	3.51	2.912	-1.288	3.953	3.0	-1.274	1.849	1.313	1.182	1.662	NaN	-2.034	-2.417	-0.85	-1.154	0.453	1.733	2.171	0.37	1.483	1.988	-1.436	-1.322	1.613	4.0445	-1.327	-1.0005	4.124	2.764	-1.558	-1.417	2.548	3.362	2.065	2.768	-1.465	-1.235	1.446	1.738	1.505	2.293	4.514	4.524	3.391	4.527	4.165	3.064	3.548	2.914	3.367	2.592	-2.414	-1.645	-1.692	-0.678	-1.256	-2.86	-1.406	-1.992	-1.135	-1.226	-1.786
"YNR001C"	1.566	3.326	4.053	0.663	3.531	2.832	2.107	3.271	3.418	4.194	-1.96	-1.753	-1.678	-1.27	-1.906	-1.887	1.124	-0.976	0.43	0.036	1.509	1.558	1.401	1.193	NaN	NaN	2.564	NaN	0.897	3.216	2.575	3.118	2.76	2.886	-0.661	4.32	4.148	3.195	3.137	0.179	2.825	3.667	-0.687	2.47	1.767	1.983	2.385	-1.511	-2.4	-3.454	-2.368	-0.456	1.293	1.904	1.759	0.722	1.368	1.658	-0.918	-1.972	1.255	3.147	-0.16	-0.676	4.186	2.132	-0.291	-1.245	1.997	3.517	2.149	2.903	-1.078	-1.794	3.276	3.6	3.071	2.848	3.999	4.438	4.352	4.341	4.752	4.818	3.971	1.449	1.686	2.307	-0.668	0.064	-0.919	-0.739	-0.379	-0.808	-1.929	-2.2	-0.672	-0.556	-1.246
"YNR002C"	1.351	3.157	3.999	3.28	1.509	0.904	1.188	2.301	2.855	2.921	-1.914	-0.834	-0.751	-0.918	-1.886	-1.4555	1.0585	-0.594	-0.348	-1.399	0.703	1.473	2.246	1.286	3.522	3.679	4.1155	3.544	3.295	4.0245	1.168	2.168	1.8715	2.342	0.035	2.865	4.327	3.175	1.676	-1.142	0.9	1.658	-1.059	0.598	3.09	0.793	0.314	-0.016	-0.516	-0.666	-0.907	-0.72	1.978	2.116	1.423	1.392	1.687	1.314	-0.236	-0.394	0.799	2.55	-1.167	-1.605	2.872	1.508	-0.609	-1.417	2.139	1.222	1.976	1.393	-1.258	0.214	2.049	2.957	1.376	2.197	3.509	4.09	2.417	2.62	3.924	2.86	4.675	2.496	3.464	1.231	-1.725	-1.185	-2.102	-2.93	-1.389	0.245	-0.555	0.146	-0.143	-0.31	-1.108
"YOL053C"	4.032	5.372	5.885	5.5755	5.308	4.1275	4.9935	5.3505	5.206	5.407	-4.5515	-2.5685	-2.921	-3.6535	-5.796	-1.63566666666667	1.53033333333333	-1.10766666666667	-3.865	-4.257	3.0595	3.686	3.9985	2.883	4.002	3.321	3.25833333333333	4.15733333333333	4.29266666666667	3.22366666666667	3.02466666666667	3.184	4.233	3.30166666666667	-1.7135	3.9015	3.6715	3.731	3.896	-3.532	2.615	2.206	-2.089	3.646	3.872	3.2685	3.3295	-1.4555	-1.9845	-1.89	-1.8585	-1.9125	3.0555	3.136	4.1155	2.668	3.193	3.2855	-2.09766666666667	-1.85366666666667	2.41866666666667	4.049	-1.127	-1.3055	6.449	2.793	-1.2935	-1.8455	2.634	3.136	4.289	3.6535	-4.2785	-4.8085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.242	-2.759	-4.552	-2.229	-2.1085	-2.3265	-1.2345	-1.644	-2.3975	-2.956	-4.5445
"YOL084W"	3.798	6.038	7.338	6.842	5.814	3.61	3.016	3.893	4.889	5.198	-4.858	-1.28	-1.524	-1.078	-4.759	-2.7935	0.8705	-1.4805	-3.035	-2.695	0.828	2.538	3.766	3.239	3.98	2.867	5.14	5.506	5.721	2.9	2.916	4.093	1.682	4.532	0.228	1.409	3.1	4.389	3.975	-3.361	1.514	2.999	0.269	NaN	4.533	2.676	3.128	-1.98	-0.298	-0.856	-1.882	-1.112	4.466	4.039	4.815	1.316	3.062	2.77	-0.503	-3.17	1.947	3.168	-0.585	-1.251	6.093	2.772	-0.854	-0.64	3.21	3.8	3.923	4.266	-1.602	-1.283	3.047	1.878	0.441	1.493	2.604	3.522	1.705	3.145	3.857	2.381	3.183	2.932	3.779	3.102	NaN	-0.608	-1.28	-3.114	-0.547	-1.79	-0.847	-0.41	-2.4	NaN	NaN
"YOR120W"	1.093	2.674	3.611	0.278	3.535	2.348	2.124	3.086	3.797	4.06	-1.663	-1.585	-1.788	-1.913	-2.142	-2.109	1.9015	-0.7155	0.067	0.212	2.467	2.94	2.947	2.802	1.576	1.5035	1.1255	2.3855	2.612	2.528	2.906	1.427	3.563	3.336	-0.857	3.214	2.785	2.804	3.439	-0.042	1.937	1.123	-0.781	2.239	1.891	1.332	2.122	-0.541	-0.196	-0.62	-0.2	-0.397	1.241	1.749	1.811	1.278	1.846	1.7	-0.6295	-0.916	1.637	2.684	-1.033	-1.156	4.078	2.08	-0.895	-2.284	2.249	2.552	2.904	2.198	-1.414	-1.157	2.119	3.207	2.666	3.005	3.606	3.258	2.529	3.403	3.666	2.452	3.058	2.678	2.993	3.542	-2.62	-0.619	-1.093	-0.676	-0.352	-1.016	-1.69	-0.875	-1.463	-1.363	-3.394
"YOR161C"	2.026	3.522	4.001	3.236	3.086	2.341	2.634	3.119	3.816	4.021	-2.377	-0.495	-0.2	-0.149	-2.336	-1.9055	1.3895	-0.823	-0.855	-1.088	2.051	2.735	2.659	2.286	2.4685	0.4165	0.3245	1.305	1.1705	0.989	2.054	1.4145	1.032	0.624	-1.784	1.753	1.443	1.331	2.717	-2.105	2.414	1.71	-1.903	2.945	3.946	1.842	1.731	-1.839	-1.375	-1.824	-0.903	-0.612	3.281	3.838	3.915	3.134	3.494	3.886	0.35	0.375	0.594	1.835	-1.147	-1.269	4.326	1.496	-1.209	-1.524	0.954	3.452	3.257	4.548	-0.101	0.622	2.778	3.637	2.295	3.248	1.615	0.898	1.382	2.792	1.126	0.17	2.276	3.565	3.491	2.735	-4.735	-7.373	NaN	-2.229	-1.354	-3.376	-3.594	-1.995	-2.135	-3.093	-4.371
"YOR220W"	1.909	2.441	2.667	0.583	2.539	1.152	0.708	2.425	2.923	2.555	-1.433	-0.032	-0.072	-0.5	-1.516	-1.631	1.1285	-0.8425	-0.872	0.018	1.351	1.615	1.493	1.357	3.7725	2.959	2.657	2.843	2.673	3.276	1.8255	3.0705	3.113	2.4945	0.241	3.838	3.019	2.692	2.751	0.134	2.358	2.028	-1.0	1.405	2.303	1.67	1.258	-0.9	-1.145	-1.079	-0.905	-0.827	3.142	3.406	3.128	1.603	2.409	2.215	-1.891	-2.0315	1.207	1.74	-0.757	0.1	2.684	4.767	-1.59	-1.521	4.737	2.818	2.455	2.777	-0.8	-0.428	2.376	2.514	1.5	1.881	2.771	2.91	2.024	2.732	3.108	2.117	2.411	2.104	2.376	1.838	-2.829	-0.811	-1.648	-1.116	-1.674	-0.596	-1.3	-0.453	-1.399	-0.988	-0.986
"YOR289W"	1.096	2.96	3.218	3.265	3.068	2.084	2.317	2.572	2.935	2.676	-1.821	-1.263	-1.183	-0.737	-2.163	-0.707	1.0725	-0.785	-2.537	-2.1	1.567	2.084	2.367	2.451	4.4405	3.0065	3.8215	3.2295	4.1875	3.0405	1.86	2.535	2.721	2.9015	-0.928	2.948	2.726	3.378	3.636	-2.465	2.399	2.164	-0.699	1.079	1.195	0.537	1.12	-0.529	-1.304	-1.494	-1.328	-1.04	1.817	2.193	2.136	0.992	1.432	1.616	-1.6235	-2.278	1.6655	3.277	-1.541	-1.831	3.401	4.496	-0.686	-1.689	4.52	4.065	2.489	2.556	-2.36	-1.553	2.535	2.723	2.032	1.83	3.785	3.484	2.364	3.745	3.176	2.549	2.774	1.982	2.557	2.062	-1.545	-1.078	-2.311	0.623	-0.322	-2.22	-1.69	-0.871	-0.85	-0.576	-0.664
"YOR374W"	3.834	5.581	6.023	5.497	5.435	4.124	2.953	4.793	5.107	5.196	-3.698	-3.265	-2.5	-2.102	-3.925	-3.651	2.2505	-1.4715	-2.109	-2.432	3.889	4.658	5.058	4.658	3.814	3.737	4.2695	4.754	3.1765	3.3555	3.959	4.1485	3.9755	3.781	-1.1	3.599	4.099	3.282	3.321	-2.305	2.652	2.88	-0.582	4.104	3.868	3.707	3.409	0.44	-0.711	-1.748	-1.74	-0.865	3.434	4.197	4.026	2.6	3.521	3.774	-0.0565	-0.3625	1.4435	3.59	-0.936	-1.607	5.624	2.298	-1.403	-1.138	2.12	2.557	0.973	2.753	-2.002	-2.001	5.419	5.156	3.911	4.813	4.248	4.075	3.07	4.363	3.921	2.721	2.469	1.477	0.866	2.19	2.153	0.128	-0.344	-1.452	-0.424	-2.067	-2.312	-1.749	-0.421	-0.738	-1.229
"YPL004C"	1.655	2.638	3.048	2.832	2.525	0.56	1.992	2.254	2.241	2.589	-0.934	-0.464	-0.365	-0.429	-1.115	-1.019	1.399	-0.7105	-0.134	0.169	1.991	2.316	2.364	2.113	2.962	1.8025	2.449	2.109	1.6325	1.689	1.954	2.034	1.4925	1.224	-0.562	3.013	2.417	1.835	2.007	-0.882	1.956	1.669	-0.766	1.297	2.453	1.919	2.064	-0.407	-0.599	-1.369	0.958	0.468	1.641	2.317	2.41	1.502	2.437	2.236	0.056	0.0035	0.386	1.961	-1.887	-0.829	2.2	1.481	-0.265	-0.895	1.565	2.447	2.673	3.8	-0.757	-2.086	3.209	3.003	2.446	2.486	2.73	2.358	1.924	3.09	2.61	1.146	0.623	2.859	2.8	3.393	0.705	-0.912	-0.583	-1.353	-0.351	-2.023	-2.358	-0.976	-0.383	-0.482	-2.072
"YPL186C"	2.382	3.577	3.741	3.288	3.149	2.144	2.35	2.445	2.982	2.824	-2.379	-2.536	-1.295	-1.678	-2.2015	-2.18	1.663	-1.466	-2.4815	-2.3905	1.778	2.2495	3.1605	2.175	4.53	4.047	3.681	4.3765	4.288	4.8665	2.518	3.224	3.634	2.8435	-0.792	1.511	1.76	2.76	2.023	-3.06	1.967	2.117	-0.577	2.301	1.779	2.073	3.102	-2.065	-2.18	-0.833	-0.315	NaN	0.251	1.293	1.83	0.418	1.595	1.175	-1.128	-1.0335	1.1275	3.577	1.0	-1.518	3.423	1.562	-0.785	-0.353	1.956	2.506	2.578	1.828	0.047	1.059	1.501	3.248	2.145	1.389	3.028	3.716	3.007	3.997	3.587	1.863	4.312	2.13	2.78	3.062	-0.772	NaN	-3.115	-2.309	-2.174	0.094	-1.011	-0.885	-1.567	-1.454	NaN
