	"49.Elutriation2:Sample2:Time0.0hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30319.usv1("	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YPL081W"	-1.094	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-1.7785	-2.5355	-2.916	-2.428	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-1.483	-1.813	0.099	-0.323	-0.043	-0.086	-0.466	-0.667	-0.496	-1.844	-0.142	0.112	-2.359	-3.939	-2.717	-2.656	-3.157	-0.207	-0.281	0.244	-0.182	-0.328	-0.132	-0.001	0.17	-0.342
"YPL090C"	-0.838	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-1.463	-3.398	-3.223	-3.3795	-3.2385	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-1.221	-1.174	-0.045	-0.082	-0.548	-0.668	-0.653	-0.734	-0.756	-2.061	-0.147	0.206	-3.265	-4.101	-3.571	-2.951	-2.658	-0.132	0.049	0.268	-0.08	-0.027	-0.193	0.173	0.196	0.054
"YPL126W"	-1.212	-4.3895	-2.102	-1.398	-2.0145	-1.832	-1.9955	-4.339	-1.7245	-2.192	-2.619	-1.835	-2.35	-3.301	-2.411	-2.497	-2.642	-3.408	-3.201	-4.126	-1.456	-1.769	-0.196	-0.507	-1.175	-0.919	-0.896	-0.983	-0.964	-1.514	-0.241	0.632	-3.644	-4.666	-2.937	-1.94	-1.561	-1.312	-0.318	-0.504	-0.455	-0.331	-0.195	-0.388	-0.326	-0.568
"YPL142C"	-1.098	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-2.088	-2.825	-3.3035	-2.8235	-2.16	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-1.553	-1.909	0.2	-0.128	-0.111	-0.392	-0.385	-0.394	-0.415	-2.011	-0.398	0.371	-3.021	-3.677	-3.278	-2.971	-3.35	0.086	-0.022	0.093	0.009	-0.021	-0.032	0.199	0.091	-0.317
"YPL143W"	-0.946	-4.4445	-3.3605	-3.232	-3.2955	-2.5465	-2.7845	-3.35	-2.2805	-3.0685	-3.1305	-2.7815	-2.7985	-4.372	-2.232	-2.155	-2.195	-1.391	-1.972	-2.941	-1.466	-0.909	0.005	-0.185	-0.469	-0.404	-0.708	-0.51	-0.619	-2.07	-0.31	0.989	-2.234	-3.13	-2.792	-2.506	-2.952	0.0	-0.191	-0.04	-0.182	-0.166	-0.241	0.223	-0.086	-0.273
"YPL186C"	1.889	4.53	4.047	3.681	4.3765	4.288	4.8665	3.9855	3.224	3.634	2.8435	3.066	2.4625	1.511	1.76	2.76	2.023	2.83	3.48	3.115	1.967	2.117	0.206	0.112	0.683	-0.028	0.928	0.347	0.577	3.577	-0.334	-0.823	3.716	3.997	3.587	1.863	4.312	-0.111	-0.505	0.171	0.618	0.213	0.358	-0.101	0.267	0.072
"YPL198W"	-0.738	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-1.632	-3.4825	-3.3185	-3.022	-2.766	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	-1.761	-1.912	-0.237	-0.16	-0.443	-0.539	-0.628	-0.643	-0.763	-1.633	-0.373	0.401	-3.528	-3.4955	-4.5575	-2.68	-3.5	0.043	0.31	0.594	0.1925	0.037	0.165	0.4225	0.468	0.213
"YPL212C"	-1.259	-3.33233333333333	-2.51233333333333	-2.52533333333333	-1.83233333333333	-2.36566666666667	-1.71933333333333	-2.28766666666667	-2.44266666666667	-1.874	-2.052	-1.01433333333333	-1.20866666666667	-2.621	-2.0305	-2.322	-2.2515	-1.386	-2.134	-0.999	-0.75	-0.691	-0.0425	0.0235	0.143	-0.037	-0.1	-0.119	-0.2245	-1.3225	0.338	0.389	-2.278	-3.1355	-2.7785	-1.994	-2.14	-0.2725	-0.0885	-0.1115	-0.102	-0.137	-0.078	-0.2225	-0.1855	-0.204
"YPL237W"	-0.205	-2.6285	-1.9335	-2.0395	-2.3465	-2.029	-2.27	-2.875	-1.3595	-1.791	-1.39	-1.8945	-2.2035	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	-0.109	-0.517	0.071	-0.002	-0.294	-0.176	-0.36	-0.268	-0.388	-1.537	-0.164	0.577	-1.966	-1.535	-1.455	-1.555	-1.695	-0.302	-0.049	0.156	-0.132	-0.187	-0.32	-0.107	-0.291	-0.369
"YPL273W"	-1.333	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-2.034	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-1.092	-1.306	0.0235	0.0565	0.484	0.5855	0.14	-0.1535	-0.3465	-2.628	0.023	0.586	-1.961	-3.012	-2.524	-2.277	-3.204	-0.37	-0.582	-0.334	-0.419	-0.316	-0.166	0.007	-0.53	-0.529
"YPL277C"	-0.319	0.6355	1.197	1.142	1.372	0.8745	0.9815	0.5515	0.1905	-0.075	0.349	0.678	0.2725	1.15	0.447	0.9	0.579	1.79	1.236	1.616	0.389	0.753	-0.523	0.171	0.113	0.149	0.285	0.497	0.404	0.266	0.169	-0.254	0.293	0.568	0.737	0.204	1.209	0.049	-0.036	-0.165	0.249	-0.064	-0.16	0.148	-0.168	0.542
"YPL278C"	-0.276	1.1095	1.545	0.834	1.1395	1.3945	1.019	0.362	0.2265	0.3565	-0.004	1.2145	0.822	0.834	0.843	0.807	0.621	1.124	1.273	1.324	-0.02	0.218	-0.142	0.04	0.165	0.057	0.26	0.344	0.344	0.549	-0.326	0.063	1.08	-0.062	0.784	0.605	0.623	0.202	-0.109	-0.257	0.117	-0.234	-0.123	-0.067	-0.202	0.246
"YPR026W"	-0.134	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	1.8575	1.9465	1.637	1.72	3.247	3.097	3.589	3.048	3.736	3.344	3.193	0.742	1.976	-0.175	0.015	0.832	0.601	0.268	0.301	0.452	1.986	-0.039	-0.662	1.758	1.9425	1.644	1.3235	2.2575	-1.1225	-0.1365	-0.247	-0.8235	-0.203	-0.245	-0.318	-0.1145	-0.1165
"YPR030W"	1.791	3.65966666666667	3.562	2.04466666666667	3.516	3.01833333333333	2.697	1.874	3.25733333333333	2.734	2.547	2.93833333333333	2.85566666666667	2.7965	2.7475	3.1415	2.585	2.9405	2.8075	2.6525	1.301	2.367	0.0245	-0.005	-0.1	-0.206	-0.197	-0.0945	-0.0615	3.653	0.27	-0.466	3.26	3.982	3.31	2.376	3.197	-0.335	-0.436	-1.778	0.097	-0.364	-0.475	-0.134	0.206	-0.12
"YPR060C"	-1.062	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-1.514	-1.7345	-1.7935	-1.8045	-2.859	-2.71	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	-0.903	-0.362	-0.092	-0.042	-0.006	-0.159	-0.338	-0.446	-0.258	-2.467	-0.329	0.228	-1.945	-2.784	-2.741	-2.38	-2.719	-0.793	-0.19	-0.257	-0.531	-0.534	-0.283	-0.528	-0.491	-0.637
"YPR074C"	-1.965	-3.2435	-2.5595	-2.0485	-2.134	-3.2975	-2.2945	-5.337	-1.4365	-3.374	-2.2005	-3.7185	-4.2955	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-1.242	-1.261	-0.227	-0.28	-0.378	-0.611	-0.634	-0.647	-0.704	-3.132	0.016	0.24	-3.729	-2.351	-3.123	-1.997	-3.18	-0.276	0.05	0.173	-0.192	0.089	0.134	0.024	-0.167	-0.011
"YPR102C"	-0.265	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-1.4375	-3.5055	-4.118	-3.673	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-1.231	-1.781	0.219	0.033	-0.34	-0.291	-0.417	-0.81	-0.675	-2.384	-0.022	0.627	-2.614	-4.015	-3.517	-2.547	-3.247	-0.344	0.058	-0.1	-0.207	-0.124	-0.015	-0.003	0.262	-0.279
"YPR129W"	0.21	-0.9005	-0.7765	-0.883	-0.8795	-1.3305	-1.0935	-1.8015	0.293	-0.2165	-0.4075	-1.057	-0.8035	-1.021	-0.966	-1.085	-1.288	-1.298	-2.61	-2.139	-0.017	-0.481	-0.391	-0.007	0.317	0.159	0.104	0.204	0.168	-0.88	0.44	-0.011	-0.44	-0.55	-0.673	-0.49	-1.509	0.234	0.368	0.272	-0.086	-0.036	-0.098	0.288	0.138	0.122
"YPR132W"	-0.911	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-1.4195	-2.5895	-3.048	-2.967	-2.8485	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	-0.913	-1.6	0.125	0.058	-0.095	-0.261	-0.3	-0.618	-0.433	-2.217	-0.251	0.683	-2.466	-2.903	-2.829	-2.063	-2.893	-0.253	-0.305	-0.072	-0.301	-0.238	-0.145	-0.065	0.202	-0.554
"YPR187W"	-0.889	-2.5615	-1.8665	-1.5675	-1.8265	-1.511	-1.4365	-3.609	-2.045	-2.283	-2.232	-2.16	-1.962	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.565	-1.32	-0.039	-0.545	-0.756	-0.675	-0.779	-0.589	-0.794	-1.604	-0.26	0.392	-2.061	-2.896	-2.213	-1.752	-2.009	0.078	0.18	0.025	0.012	-0.003	0.029	0.147	-0.036	-0.002
