	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.2H.A9GH.01A.11R.A37I.31	TCGA.L5.A8NV.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BP.4988.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U3ZH.0526.SM.3DB75	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.VQ.A8E0.01A.11R.A414.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.4191.01A.02R.1131.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.QDVJ.1426.SM.48U1Y	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
RP11-793H13.10	18.84	15.8	13.93	19.39	31.67	66.18	35.76	88.26	46.84	26.28	105.89	88.26	82.87	80.57	67.59	68.07	144.01	119.26	59.55	143.01	85.82	96.68	71.0	189.02	181.28	57.89	113.56	76.71	39.79	42.71	150.17	76.71	287.01	0.0	8.06	41.22	10.63	19.82	9.7	17.0	7.28	7.88	3.86	6.62	11.73	1.6	3.92	4.58	5.11	3.56	2.2	14.03	0.0	0.8	127.0	21.63	6.89	13.22	18.29	52.82	63.0	60.82	17.38	16.63	65.26	59.97	41.22	0.0	84.04	5.96	55.1	56.68	183.82	0.0	67.59	82.29	36.01	22.59	27.05	14.14	29.27	33.54	29.27	18.84	81.71	18.16	36.79	15.91	38.4	23.59
S100PBP	480.04	176.29	224.97	221.86	226.54	503.95	493.56	376.41	255.0	320.8	389.72	232.94	397.93	287.01	287.01	406.31	423.61	483.38	285.03	368.65	295.11	555.41	551.56	473.41	409.15	246.28	470.14	201.25	204.07	236.21	366.09	265.87	819.3	35.76	68.55	165.57	56.68	142.01	159.9	114.36	69.03	30.78	83.45	54.72	63.0	34.75	49.56	55.49	38.12	88.26	65.26	134.3	0.0	0.51	587.13	189.02	151.22	177.53	208.38	571.05	275.28	351.14	166.73	379.04	444.72	346.29	381.68	214.27	400.71	281.09	435.55	318.57	532.74	248.0	363.56	221.86	208.38	392.44	426.57	195.72	190.34	226.54	180.02	157.68	450.94	201.25	312.0	138.1	234.57	283.05
SEC31B	27.05	17.77	27.84	28.04	40.64	112.77	120.94	77.79	67.59	114.36	620.67	119.26	173.85	493.56	127.0	152.28	368.65	323.03	165.57	183.82	351.14	563.18	293.07	379.04	277.2	82.29	172.65	208.38	110.43	204.07	277.2	119.26	599.49	17.51	57.08	57.89	16.15	78.89	22.26	88.88	35.0	25.72	31.22	26.67	13.52	13.83	8.78	33.54	37.59	19.39	31.9	70.01	0.0	1.28	373.81	57.49	58.71	68.07	25.35	59.97	154.42	94.67	32.13	49.21	61.25	94.67	115.16	33.78	373.81	100.13	110.43	153.34	363.56	15.45	140.04	50.63	58.3	75.11	61.25	16.88	25.91	53.57	31.22	44.25	177.53	40.93	122.64	36.01	46.84	53.57
SGK494	19.11	13.93	24.81	40.36	41.22	34.02	35.25	119.26	124.37	63.0	131.51	90.14	78.89	206.94	242.88	551.56	208.38	497.0	336.79	567.1	346.29	204.07	256.78	400.71	358.54	166.73	309.83	223.41	132.44	206.94	248.0	195.72	412.0	0.45	14.78	14.89	8.51	44.57	8.0	24.46	8.19	3.76	14.35	11.82	9.78	0.34	3.11	21.63	8.85	12.0	5.11	5.11	0.0	1.16	281.09	29.7	38.12	21.78	82.29	239.52	114.36	143.01	43.63	54.72	220.32	93.35	100.83	29.91	251.48	61.25	199.85	173.85	353.59	37.32	220.32	206.94	73.03	131.51	209.84	73.54	28.86	58.71	36.53	64.34	128.79	41.22	189.02	40.36	66.65	88.26
SKOR1	5.82	0.61	2.43	0.56	15.0	22.26	14.67	11.64	12.0	5.77	14.03	8.32	6.01	12.36	4.82	5.19	20.56	12.45	52.82	10.24	14.56	24.46	11.55	33.3	27.05	14.67	2.73	22.59	4.94	15.34	29.91	12.36	9.27	0.0	3.32	1.91	1.03	3.44	0.88	1.83	3.89	1.68	1.23	0.66	0.71	0.96	0.0	1.93	2.86	0.87	1.41	1.97	0.0	0.14	7.11	2.18	4.24	7.82	6.67	8.06	7.75	7.82	11.21	3.96	4.21	7.75	2.58	0.87	2.97	3.35	3.92	4.28	23.08	5.32	13.03	3.03	2.73	5.59	5.54	4.17	4.28	3.86	0.97	1.22	3.92	7.46	2.27	4.78	1.46	7.06
STRADA	373.81	420.68	392.44	373.81	363.56	647.07	723.08	624.99	656.11	435.55	587.13	607.87	567.1	511.0	693.58	896.64	915.51	921.88	529.06	1051.79	684.02	665.29	764.36	684.02	368.65	429.54	624.99	432.53	529.06	497.0	629.35	571.05	1096.5	105.15	232.94	361.04	287.01	473.41	414.87	358.54	249.73	241.19	206.94	251.48	218.79	121.79	182.55	205.5	218.79	246.28	148.09	145.02	0.0	0.84	1167.14	387.02	341.51	543.96	466.88	444.72	500.46	486.75	514.56	728.11	884.29	1143.1	872.1	353.59	947.83	429.54	1051.79	647.07	656.11	400.71	579.04	500.46	470.14	483.38	358.54	808.0	587.13	514.56	507.46	325.29	988.12	493.56	514.56	323.03	536.45	599.49
STX16	423.61	660.68	376.41	583.07	476.71	981.29	878.17	1529.73	454.09	860.08	1832.01	1135.2	854.13	974.5	2193.99	1467.37	1277.29	2255.7	1331.57	1896.65	2224.63	2591.27	3235.01	2400.97	2163.77	1896.65	2104.58	2240.11	878.17	1015.93	1617.0	1250.98	2384.37	80.57	497.0	412.0	368.65	633.73	228.13	281.09	241.19	165.57	223.41	260.38	237.86	127.0	151.22	236.21	172.65	141.02	153.34	239.52	878.17	371.22	1950.0	457.25	368.65	551.56	660.68	825.0	543.96	679.29	866.07	412.0	1359.57	1216.75	1242.34	521.76	1397.83	872.1	3665.02	896.64	896.64	397.93	1111.82	1037.29	647.07	1242.34	830.75	642.59	384.34	454.09	316.37	529.06	1088.92	371.22	1119.56	463.65	521.76	493.56
STX16-NPEPL1	27.25	6.41	17.25	50.63	32.13	120.1	61.25	177.53	29.7	39.79	748.61	63.0	88.26	100.13	147.06	291.04	262.2	314.17	466.88	60.39	239.52	295.11	229.72	197.09	441.64	255.0	234.57	387.02	56.68	206.94	226.54	178.77	363.56	0.0	11.55	21.47	13.12	53.19	5.32	22.75	14.03	0.0	0.0	0.0	13.52	3.72	13.12	21.01	14.78	16.75	9.27	5.63	0.0	1.22	181.28	2.84	36.01	23.59	76.71	112.77	80.01	76.71	53.57	29.06	90.14	181.28	42.11	38.95	114.36	120.1	738.29	71.5	97.36	12.0	126.12	61.68	29.27	74.58	41.81	8.71	8.99	29.7	17.13	7.4	54.33	27.25	10.55	47.84	21.01	31.9
SUPT20H	647.07	532.74	403.5	403.5	470.14	796.86	1304.15	748.61	503.95	466.88	1104.13	1037.29	684.02	967.76	1304.15	1001.93	698.41	1001.93	915.51	1096.5	748.61	1199.98	848.22	860.08	1088.92	595.34	1037.29	1369.04	748.61	961.07	808.0	764.36	1073.91	170.25	239.52	275.28	165.57	293.07	190.34	228.13	142.01	87.65	143.01	153.34	155.5	91.41	152.28	81.71	114.36	131.51	63.45	134.3	0.0	0.73	848.22	543.96	400.71	555.41	329.84	486.75	483.38	493.56	521.76	698.41	1104.13	575.03	660.68	511.0	1242.34	995.0	848.22	1167.14	1225.22	260.38	624.99	791.35	441.64	738.29	633.73	368.65	483.38	392.44	395.18	536.45	947.83	291.04	848.22	339.14	543.96	532.74
TBCK	127.0	384.34	155.5	231.32	220.32	473.41	500.46	127.89	214.27	193.01	256.78	323.03	232.94	400.71	169.07	199.85	239.52	287.01	366.09	197.09	214.27	521.76	450.94	291.04	138.1	241.19	177.53	244.57	341.51	191.67	209.84	214.27	525.39	96.68	122.64	166.73	115.16	150.17	149.12	118.43	120.1	107.38	94.67	127.89	109.66	57.08	64.8	111.21	125.24	82.87	64.34	139.07	0.0	0.13	607.87	271.48	133.36	223.41	140.04	232.94	190.34	186.4	146.03	299.25	327.56	217.27	339.14	169.07	493.56	193.01	457.25	201.25	312.0	170.25	842.36	314.17	181.28	198.47	106.63	122.64	256.78	190.34	239.52	267.73	343.89	199.85	476.71	115.16	234.57	237.86
TIA1	525.39	463.65	376.41	295.11	457.25	2047.0	2018.8	1617.0	1250.98	599.49	2319.15	1313.23	1135.2	1583.71	1427.22	1628.26	1313.23	2502.97	1769.57	1794.29	1674.06	2240.11	2335.28	2104.58	1819.35	890.44	1477.58	1199.98	2400.97	1359.57	2075.59	896.64	2287.2	78.89	283.05	389.72	314.17	400.71	182.55	262.2	248.0	108.14	211.31	175.07	149.12	70.51	155.5	172.65	197.09	142.01	149.12	242.88	0.0	0.88	2178.83	775.05	327.56	612.11	638.15	1447.15	1183.45	872.1	371.22	842.36	1991.0	1388.16	1167.14	371.22	3190.46	1313.23	1781.89	2240.11	2895.31	514.56	1923.14	1572.76	497.0	1304.15	1709.26	293.07	830.75	703.28	825.0	738.29	1447.15	595.34	974.5	473.41	928.3	743.43
TRAK2	172.65	89.51	172.65	69.52	100.83	208.38	234.57	279.14	194.36	189.02	220.32	209.84	212.78	198.47	205.5	320.8	368.65	289.02	226.54	173.85	450.94	262.2	480.04	525.39	279.14	239.52	242.88	194.36	264.03	314.17	343.89	249.73	473.41	175.07	120.94	94.67	94.67	97.36	131.51	87.65	84.63	72.01	92.7	135.24	154.42	334.46	117.6	148.09	136.19	130.6	47.84	100.13	0.0	0.31	511.0	208.38	214.27	281.09	242.88	191.67	135.24	177.53	224.97	307.69	218.79	327.56	271.48	131.51	327.56	295.11	483.38	289.02	381.68	183.82	314.17	132.44	150.17	142.01	186.4	162.14	217.27	265.87	208.38	260.38	218.79	220.32	291.04	199.85	215.77	215.77
TRIM52	87.03	96.01	180.02	102.97	138.1	334.46	376.41	318.57	305.55	153.34	389.72	312.0	211.31	249.73	198.47	211.31	291.04	420.68	336.79	205.5	466.88	473.41	547.75	343.89	248.0	67.12	356.05	318.57	193.01	285.03	277.2	133.36	1111.82	38.12	61.68	68.55	49.91	115.16	76.17	69.52	73.54	54.72	88.26	83.45	64.8	25.91	60.82	27.84	46.18	50.27	48.52	39.79	0.0	0.78	603.67	119.26	85.82	96.68	96.68	130.6	212.78	246.28	120.94	125.24	148.09	199.85	228.13	87.65	198.47	195.72	507.46	255.0	305.55	67.12	218.79	264.03	183.82	218.79	470.14	92.05	120.94	130.6	77.79	143.01	381.68	127.89	249.73	117.6	199.85	158.79
TSSK4	6.78	9.48	23.76	31.0	25.17	36.27	58.3	42.71	8.71	12.64	46.84	41.52	27.84	32.59	40.64	28.65	50.63	53.57	40.64	56.68	81.14	95.34	67.12	118.43	52.08	21.01	72.01	58.71	29.48	51.71	57.49	32.59	102.97	0.82	5.73	0.0	10.96	4.35	4.06	9.7	0.0	3.82	6.78	1.97	4.28	2.03	0.83	3.29	24.63	5.82	0.92	1.69	0.0	0.41	50.98	17.9	28.86	40.64	26.67	53.95	23.42	62.12	30.56	28.04	56.68	46.5	29.06	4.46	105.89	14.67	65.72	50.63	53.19	11.13	50.98	84.63	16.03	37.05	44.25	21.01	11.55	21.78	15.22	17.38	47.5	25.17	29.06	40.36	39.79	56.68
TYK2	2701.35	1313.23	1950.0	1111.82	1529.73	2271.4	2303.12	2758.13	2935.74	1757.34	3146.52	3124.78	2855.44	2915.45	2367.9	2835.7	4450.27	3060.45	3742.05	2255.7	2645.74	2047.0	2682.69	2935.74	3190.46	1709.26	2609.3	2061.24	1963.57	1991.0	3081.75	2664.15	7642.41	2502.97	2367.9	1883.54	1051.79	1023.0	2104.58	2047.0	1909.85	1127.35	1135.2	1709.26	802.41	775.05	947.83	1081.39	1437.15	1015.93	1199.98	1127.35	0.0	1.35	3564.78	1151.06	1397.83	860.08	1844.76	2240.11	2739.08	2018.8	1286.18	2400.97	1340.84	2645.74	2520.38	1896.65	2502.97	1685.71	1583.71	2193.99	3515.68	1697.45	2645.74	2287.2	2319.15	2240.11	1397.83	1397.83	1709.26	1628.26	1651.0	1407.55	2796.65	1477.58	2075.59	1977.24	2287.2	1991.0
UBR5	647.07	1081.39	708.18	947.83	974.5	1051.79	1030.12	866.07	830.75	915.51	1295.13	934.76	1037.29	1487.87	2682.69	1487.87	1617.0	1662.49	2664.15	1467.37	2004.85	1540.37	2104.58	2104.58	1870.53	1662.49	1583.71	1437.15	1268.46	1407.55	1359.57	1331.57	961.07	423.61	780.44	915.51	438.59	825.0	629.35	1051.79	316.37	224.97	429.54	346.29	275.28	273.37	454.09	483.38	329.84	759.08	211.31	819.3	0.0	0.55	1359.57	1183.45	1066.48	1397.83	884.29	1088.92	1143.1	819.3	591.22	1127.35	1883.54	1066.48	718.08	497.0	1605.83	1519.15	1447.15	1331.57	1286.18	320.8	1508.65	1208.34	493.56	2434.5	1096.5	616.37	543.96	536.45	603.67	507.46	629.35	521.76	928.3	559.28	555.41	514.56
USP49	22.59	18.16	18.03	15.22	25.91	53.95	67.59	38.4	29.48	34.51	47.84	43.63	28.86	46.18	43.63	63.45	57.08	69.52	64.8	48.52	59.97	118.43	100.13	161.02	99.43	44.57	90.14	44.89	40.93	49.21	74.58	96.01	119.26	5.5	15.8	22.26	9.7	16.27	9.63	12.18	7.17	1.91	5.45	8.06	6.41	2.78	2.39	2.84	4.17	8.58	2.48	10.24	0.0	0.54	55.1	19.68	26.67	26.47	49.56	35.25	32.36	43.94	27.44	36.79	41.81	56.68	34.51	15.34	114.36	163.28	61.68	50.98	55.49	26.47	53.57	85.22	26.47	62.12	35.0	20.56	14.14	30.12	22.59	18.29	50.98	19.68	36.01	17.38	19.11	27.25
VPS36	152.28	438.59	441.64	444.72	733.19	392.44	414.87	353.59	438.59	412.0	872.1	571.05	356.05	915.51	1015.93	1081.39	463.65	785.88	612.11	808.0	769.69	1151.06	909.17	780.44	743.43	607.87	638.15	1001.93	872.1	896.64	684.02	603.67	669.92	323.03	363.56	285.03	351.14	356.05	132.44	218.79	214.27	180.02	215.77	320.8	244.57	164.42	199.85	414.87	339.14	429.54	234.57	170.25	244.57	98.73	1066.48	348.71	543.96	830.75	339.14	571.05	607.87	463.65	454.09	373.81	785.88	507.46	381.68	403.5	854.13	688.78	884.29	813.63	866.07	346.29	638.15	486.75	218.79	395.18	693.58	312.0	426.57	536.45	669.92	500.46	620.67	514.56	599.49	521.76	490.14	463.65
VPS39	432.53	392.44	543.96	529.06	693.58	1242.34	1104.13	878.17	318.57	287.01	529.06	616.37	656.11	470.14	656.11	909.17	769.69	842.36	579.04	791.35	669.92	967.76	954.43	988.12	684.02	575.03	480.04	718.08	599.49	612.11	780.44	748.61	1233.75	101.54	228.13	283.05	232.94	497.0	366.09	323.03	201.25	260.38	187.71	214.27	218.79	113.56	135.24	201.25	226.54	258.57	116.78	265.87	0.0	0.6	1467.37	555.41	728.11	738.29	529.06	656.11	511.0	595.34	551.56	624.99	808.0	748.61	684.02	450.94	872.1	571.05	954.43	854.13	974.5	406.31	796.86	679.29	518.15	775.05	450.94	473.41	674.59	660.68	426.57	540.19	1066.48	748.61	665.29	713.11	738.29	909.17
VPS54	307.69	397.93	237.86	180.02	441.64	400.71	441.64	450.94	358.54	314.17	497.0	457.25	353.59	536.45	521.76	563.18	389.72	444.72	395.18	438.59	457.25	511.0	559.28	460.44	429.54	473.41	599.49	432.53	358.54	463.65	486.75	316.37	371.22	54.33	353.59	343.89	256.78	473.41	279.14	237.86	204.07	80.57	183.82	220.32	205.5	170.25	239.52	205.5	199.85	320.8	251.48	177.53	0.0	0.74	511.0	327.56	273.37	271.48	291.04	406.31	265.87	387.02	244.57	299.25	660.68	432.53	476.71	189.02	748.61	447.82	476.71	575.03	1044.52	291.04	607.87	447.82	205.5	414.87	356.05	253.23	279.14	232.94	258.57	226.54	351.14	218.79	214.27	368.65	234.57	318.57
WDR27	167.9	100.83	114.36	339.14	363.56	872.1	441.64	490.14	387.02	599.49	1322.37	480.04	490.14	791.35	688.78	547.75	563.18	1199.98	981.29	429.54	1286.18	802.41	1037.29	1183.45	1407.55	665.29	1304.15	450.94	470.14	693.58	723.08	389.72	1119.56	8.99	113.56	147.06	61.68	120.1	62.56	89.51	90.14	63.45	52.82	53.57	37.32	33.54	29.48	37.05	83.45	28.65	40.07	63.89	0.0	1.04	438.59	164.42	51.35	151.22	403.5	591.22	299.25	136.19	138.1	153.34	525.39	343.89	279.14	143.01	275.28	490.14	381.68	368.65	624.99	267.73	373.81	551.56	123.5	420.68	314.17	275.28	154.42	189.02	126.12	116.78	540.19	136.19	500.46	181.28	159.9	171.45
WDR52	76.71	79.45	80.01	21.32	121.79	358.54	674.59	248.0	215.77	115.16	361.04	105.15	138.1	138.1	127.89	269.6	167.9	269.6	173.85	172.65	244.57	197.09	224.97	307.69	312.0	110.43	201.25	169.07	127.0	269.6	289.02	141.02	318.57	0.45	20.56	33.54	16.63	52.82	20.86	26.86	25.72	2.58	12.64	22.75	12.45	5.02	7.51	8.45	25.72	13.22	4.13	25.35	0.0	0.6	507.46	113.56	37.05	36.53	81.71	432.53	98.73	113.56	73.54	94.01	356.05	176.29	109.66	63.0	412.0	73.03	299.25	249.73	371.22	28.45	273.37	289.02	139.07	190.34	118.43	61.25	94.01	81.71	88.88	111.99	251.48	63.0	206.94	100.13	108.9	111.99
WHAMM	180.02	197.09	287.01	138.1	162.14	204.07	171.45	239.52	204.07	72.01	131.51	166.73	190.34	171.45	173.85	275.28	199.85	237.86	244.57	242.88	205.5	316.37	289.02	191.67	237.86	172.65	198.47	208.38	267.73	183.82	231.32	244.57	256.78	25.54	80.57	92.05	96.68	202.66	99.43	73.54	126.12	38.12	120.1	69.52	58.3	80.01	127.0	153.34	130.6	80.01	54.33	108.9	63.0	221.86	204.07	191.67	147.06	183.82	122.64	151.22	123.5	182.55	122.64	95.34	279.14	172.65	121.79	90.77	309.83	81.14	155.5	171.45	361.04	80.01	215.77	130.6	120.1	215.77	151.22	153.34	117.6	141.02	153.34	149.12	151.22	122.64	195.72	159.9	201.25	138.1
ZC3H7A	480.04	463.65	332.14	305.55	470.14	780.44	921.88	651.58	723.08	473.41	836.53	753.83	591.22	872.1	669.92	493.56	819.3	1030.12	358.54	470.14	559.28	934.76	1191.69	825.0	928.3	547.75	860.08	660.68	743.43	836.53	836.53	444.72	1467.37	124.37	435.55	463.65	389.72	607.87	325.29	423.61	258.57	220.32	334.46	246.28	242.88	220.32	275.28	273.37	211.31	414.87	205.5	381.68	0.0	0.69	1322.37	412.0	429.54	429.54	376.41	616.37	587.13	738.29	423.61	532.74	518.15	743.43	813.63	277.2	909.17	460.44	698.41	718.08	1044.52	371.22	591.22	633.73	397.93	679.29	612.11	336.79	414.87	301.33	450.94	381.68	796.86	343.89	529.06	417.77	511.0	470.14
ZCCHC4	88.88	108.14	87.65	69.52	145.02	99.43	190.34	77.79	131.51	132.44	161.02	126.12	121.79	129.69	102.25	105.89	100.83	149.12	136.19	102.25	128.79	142.01	105.89	123.5	98.73	70.51	139.07	107.38	86.43	113.56	114.36	87.03	183.82	92.05	48.18	83.45	65.26	93.35	88.88	50.27	46.5	36.27	42.71	43.32	45.85	40.93	73.54	39.79	47.84	87.65	31.45	48.87	0.0	0.22	205.5	68.55	127.0	122.64	72.52	197.09	69.03	83.45	127.0	69.03	182.55	161.02	111.99	73.03	209.84	112.77	387.02	129.69	226.54	64.34	176.29	108.9	96.01	136.19	144.01	54.72	84.63	81.71	77.25	74.58	98.73	84.63	57.08	91.41	74.58	95.34
ZDHHC17	60.82	110.43	162.14	68.55	186.4	384.34	514.56	197.09	162.14	139.07	379.04	273.37	214.27	195.72	353.59	175.07	403.5	490.14	314.17	271.48	356.05	194.36	555.41	470.14	301.33	156.59	379.04	171.45	232.94	187.71	463.65	178.77	872.1	23.93	75.11	85.82	53.57	85.22	47.5	41.22	67.12	34.02	70.01	96.68	89.51	68.55	45.85	63.0	77.25	163.28	37.32	87.03	0.0	0.72	674.59	120.94	161.02	206.94	105.89	218.79	170.25	136.19	190.34	228.13	314.17	356.05	172.65	115.16	381.68	106.63	193.01	289.02	283.05	163.28	232.94	133.36	104.42	264.03	241.19	90.77	143.01	148.09	91.41	121.79	221.86	105.15	223.41	114.36	137.14	150.17
ZKSCAN8	46.5	67.59	104.42	28.45	92.05	316.37	403.5	156.59	50.98	132.44	277.2	246.28	186.4	223.41	170.25	264.03	256.78	229.72	246.28	127.0	166.73	123.5	438.59	447.82	234.57	146.03	279.14	255.0	122.64	202.66	329.84	133.36	283.05	8.19	52.45	43.63	42.41	59.55	51.71	30.34	37.85	24.63	38.12	48.52	43.32	15.0	23.42	50.27	23.08	70.51	13.52	40.93	0.0	0.49	271.48	98.04	131.51	170.25	90.14	105.89	215.77	90.77	123.5	169.07	211.31	293.07	126.12	82.29	412.0	199.85	221.86	211.31	295.11	209.84	279.14	125.24	97.36	217.27	151.22	83.45	112.77	154.42	72.01	88.88	205.5	107.38	148.09	100.13	90.14	107.38
ZMYM5	127.0	149.12	156.59	329.84	198.47	295.11	291.04	122.64	155.5	141.02	417.77	220.32	157.68	267.73	392.44	226.54	193.01	318.57	229.72	228.13	193.01	228.13	348.71	234.57	314.17	111.99	232.94	293.07	289.02	279.14	226.54	205.5	253.23	108.9	63.89	102.25	59.97	103.69	50.63	84.04	66.18	25.35	77.25	50.63	73.54	52.45	53.57	54.72	55.89	100.13	49.91	61.25	0.0	0.38	329.84	171.45	126.12	211.31	66.65	113.56	140.04	212.78	139.07	138.1	223.41	162.14	131.51	80.01	170.25	237.86	156.59	271.48	176.29	121.79	161.02	193.01	105.15	127.0	112.77	94.01	113.56	181.28	147.06	89.51	181.28	119.26	180.02	106.63	105.89	159.9
ZNF182	38.12	43.94	74.06	20.86	74.06	208.38	248.0	102.25	94.01	97.36	189.02	137.14	120.1	125.24	70.51	118.43	106.63	144.01	79.45	113.56	83.45	153.34	133.36	173.85	114.36	67.12	139.07	84.04	70.01	115.97	121.79	68.55	242.88	15.68	58.71	43.02	33.06	77.79	49.21	28.86	28.45	8.71	27.64	33.78	20.11	12.55	23.42	25.91	21.01	29.06	11.13	25.17	0.0	0.39	197.09	50.27	17.25	62.56	37.59	71.5	70.01	92.7	59.55	61.25	173.85	108.14	98.04	32.59	111.99	104.42	122.64	151.22	193.01	52.45	145.02	96.01	81.14	97.36	100.83	44.25	62.56	33.54	44.89	49.91	127.89	67.59	87.65	47.84	58.71	63.45
ZNF224	72.52	128.79	212.78	61.68	130.6	356.05	591.22	142.01	212.78	162.14	536.45	198.47	318.57	325.29	358.54	438.59	384.34	638.15	420.68	435.55	417.77	351.14	559.28	529.06	389.72	157.68	329.84	264.03	241.19	236.21	460.44	297.17	1023.0	8.38	84.04	90.14	109.66	169.07	42.41	44.25	58.71	40.93	56.68	84.04	77.25	27.44	29.48	42.71	81.71	69.52	41.81	44.89	0.0	0.83	543.96	145.02	141.02	191.67	205.5	358.54	305.55	215.77	119.26	194.36	166.73	356.05	351.14	157.68	361.04	125.24	287.01	301.33	511.0	151.22	361.04	325.29	181.28	173.85	301.33	57.08	158.79	144.01	126.12	140.04	244.57	180.02	202.66	186.4	191.67	244.57
ZNF251	117.6	33.78	94.01	78.89	181.28	518.15	483.38	182.55	97.36	211.31	563.18	387.02	271.48	395.18	307.69	591.22	395.18	476.71	830.75	358.54	559.28	497.0	307.69	647.07	708.18	426.57	460.44	412.0	201.25	356.05	336.79	307.69	547.75	70.01	164.42	136.19	86.43	164.42	120.94	193.01	49.91	33.06	49.21	73.03	49.91	22.1	26.67	33.54	40.93	34.02	27.84	63.89	0.0	0.77	397.93	96.68	115.16	169.07	239.52	291.04	500.46	234.57	208.38	209.84	241.19	389.72	291.04	138.1	228.13	332.14	438.59	320.8	387.02	171.45	295.11	281.09	211.31	409.15	363.56	194.36	127.89	137.14	79.45	108.9	412.0	149.12	253.23	111.21	136.19	139.07
