	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.OHPM.0526.SM.2YUMJ
SFT2D1	748.61	1277.29	1183.45	842.36	1477.58	620.67	1794.29	753.83	2875.3	2004.85	1030.12	1639.59	2303.12	2163.77	1617.0	2178.83	444.72	890.44	1551.09	753.83	1030.12	1143.1	1096.5	1909.85	1457.23	2163.77	1015.93
SFTPA1	5809569.18	4987895.16	348.71	4495342.72	1775752.63	3028138.0	4252853.3	5791.62	3156730.23	3576208.94	100719.65	3406832.48	1432396.03	4252853.3	2599854.48	1432396.03	5403.7	2729110.67	1567462.05	1691649.38	3832885.91	3968052.37	2691538.19	1691649.38	2546350.23	1171559.48	3028138.0
SLC25A16	341.51	567.1	164.42	346.29	612.11	299.25	332.14	153.34	595.34	320.8	214.27	435.55	616.37	587.13	444.72	497.0	107.38	283.05	356.05	256.78	260.38	228.13	334.46	521.76	567.1	507.46	265.87
SLC35B3	269.6	281.09	187.71	217.27	532.74	145.02	366.09	191.67	466.88	307.69	126.12	299.25	693.58	463.65	397.93	587.13	104.42	148.09	368.65	242.88	299.25	232.94	195.72	332.14	480.04	447.82	236.21
SUPT3H	87.65	131.51	48.87	138.1	127.0	14.67	159.9	28.65	182.55	125.24	77.79	120.1	167.9	92.05	127.89	277.2	77.79	109.66	113.56	39.5	123.5	74.06	52.45	164.42	128.79	231.32	70.51
TCAIM	336.79	470.14	249.73	318.57	595.34	84.04	507.46	173.85	511.0	551.56	132.44	476.71	842.36	441.64	660.68	703.28	119.26	291.04	486.75	150.17	279.14	246.28	162.14	698.41	529.06	603.67	217.27
TDRKH	275.28	215.77	31.0	147.06	346.29	27.05	281.09	29.27	281.09	361.04	100.13	228.13	289.02	180.02	295.11	490.14	22.59	217.27	218.79	82.29	149.12	206.94	90.14	297.17	242.88	358.54	139.07
THEM4	214.27	244.57	93.35	205.5	470.14	121.79	297.17	63.89	351.14	343.89	102.97	239.52	312.0	295.11	309.83	444.72	19.53	120.1	283.05	149.12	204.07	373.81	236.21	320.8	353.59	403.5	165.57
THNSL1	38.4	33.54	14.78	45.85	70.51	6.94	69.03	17.77	57.08	75.11	17.64	38.12	53.57	44.57	69.03	120.1	12.0	19.97	30.78	18.7	37.32	43.32	22.26	64.8	63.45	68.07	41.81
THUMPD3	518.15	587.13	287.01	466.88	723.08	559.28	361.04	220.32	551.56	525.39	318.57	348.71	559.28	480.04	674.59	796.86	132.44	432.53	529.06	583.07	454.09	406.31	414.87	684.02	603.67	713.11	392.44
