	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
PLA2G4F	5.15	148.09	19.68	251.48	67.59	199.85	44.25	19.11	0.79	20.56	2.39	115.97	19.82	185.11	16.88	127.0	2.81	3.06	8.13	48.52	113.56	52.45	172.65	45.21	63.45	57.89	228.13	64.8	9.27	19.82	0.78	103.69	237.86	83.45	131.51	33.06	126.12	90.14	44.25	103.69	5.73	0.0	0.0	23.76	2075.59	3018.3	2061.24	2004.85	2303.12	1745.2	2032.85	2609.3	2627.46	1594.73	1151.06	2018.8	2163.77	2335.28	2367.9	2367.9	2555.58	1175.27	1844.76	1977.24	2335.28	3325.99	2224.63	1628.26	4388.98	2209.26	2061.24	2004.85	2209.26	2835.7	3372.43	3018.3	1639.59	1529.73	1651.0	3349.13	1268.46	2875.3	2664.15	3235.01	1216.75	1572.76	2133.97	1963.57	1322.37	1697.45	1304.15	769.69	3395.89	2915.45	2573.36	967.76	2163.77	642.59	2758.13	2485.67	934.76	3491.39	1721.16	2178.83	1857.6	2701.35	518.15	2417.67	2148.82	2303.12	1008.9	2367.9	2032.85	2335.28	2303.12	4328.55	1073.91	2351.53	1447.15	3794.3	2319.15	1369.04	2061.24	1628.26	3395.89	2520.38	2976.74	2956.17	2485.67	2591.27	2133.97	2090.03	1870.53	1477.58	2485.67	8.92	4.66	229.72	17.38	4.43	373.81
PLLP	73.54	417.77	60.39	60.82	283.05	397.93	303.44	748.61	651.58	358.54	156.59	514.56	371.22	759.08	39.22	941.27	819.3	26.1	1199.98	518.15	157.68	62.12	454.09	115.16	118.43	58.71	279.14	119.26	12.74	14.03	218.79	122.64	156.59	1001.93	33.06	258.57	187.71	81.14	1119.56	1721.16	1191.69	0.0	0.4	214.27	1950.0	6294.04	2627.46	4239.45	2468.49	1883.54	5555.65	6935.54	3190.46	5112.16	748.61	3768.09	4972.34	3955.48	2915.45	6250.56	6607.01	1233.75	2178.83	5366.37	5633.22	5255.91	3325.99	3280.18	4869.99	1769.57	4575.41	2468.49	5041.77	3081.75	3515.68	3690.52	1733.13	1909.85	2367.9	3491.39	1286.18	4937.99	5112.16	3039.3	1151.06	1519.15	3742.05	2645.74	1529.73	1721.16	4937.99	450.94	1870.53	5006.93	3168.41	2075.59	6337.83	1044.52	2133.97	5255.91	1111.82	5112.16	1628.26	3103.19	4038.61	2104.58	406.31	6037.61	4210.15	2701.35	1183.45	3257.52	4575.41	4512.4	2682.69	5954.47	2032.85	2835.7	1417.35	5255.91	4038.61	2287.2	4239.45	2555.58	3794.3	5517.27	1340.84	5479.15	3419.52	884.29	1350.18	2720.15	4181.07	1733.13	3280.18	376.41	341.51	563.18	483.38	1447.15	356.05
POLR3H	708.18	583.07	521.76	866.07	518.15	629.35	647.07	332.14	480.04	483.38	392.44	620.67	392.44	660.68	190.34	529.06	532.74	529.06	447.82	500.46	599.49	368.65	708.18	579.04	466.88	555.41	651.58	555.41	785.88	1088.92	454.09	1081.39	753.83	579.04	915.51	1001.93	743.43	651.58	603.67	579.04	603.67	0.0	0.0	665.29	1662.49	1551.09	674.59	1721.16	1844.76	718.08	1781.89	2835.7	1104.13	1733.13	1127.35	1870.53	941.27	1037.29	1233.75	1651.0	1594.73	1127.35	866.07	1059.11	1313.23	1277.29	1127.35	1111.82	1721.16	1135.2	1322.37	1519.15	1467.37	1088.92	1674.06	1733.13	1037.29	896.64	738.29	1051.79	1073.91	981.29	1216.75	674.59	1001.93	947.83	1313.23	1175.27	981.29	981.29	723.08	2119.22	1369.04	2004.85	1721.16	967.76	1369.04	669.92	1407.55	2075.59	708.18	1757.34	684.02	1044.52	1350.18	1037.29	466.88	1167.14	1225.22	1477.58	466.88	1617.0	1268.46	1304.15	1216.75	2193.99	633.73	1519.15	1127.35	2351.53	1896.65	1030.12	1477.58	1159.07	1322.37	1896.65	1225.22	1242.34	1331.57	974.5	785.88	1250.98	961.07	902.89	1477.58	473.41	981.29	941.27	353.59	616.37	848.22
PRKCZ	395.18	454.09	674.59	896.64	363.56	620.67	1104.13	540.19	483.38	500.46	314.17	420.68	432.53	497.0	224.97	447.82	629.35	320.8	242.88	414.87	251.48	595.34	281.09	454.09	423.61	346.29	341.51	412.0	480.04	358.54	285.03	412.0	327.56	314.17	503.95	638.15	159.9	414.87	642.59	507.46	647.07	0.0	0.42	395.18	3372.43	3874.05	3443.31	2384.37	2255.7	1540.37	2163.77	3103.19	1991.0	1467.37	1745.2	2537.92	2555.58	2915.45	3146.52	3146.52	3039.3	1963.57	3540.14	3742.05	2485.67	2875.3	1685.71	2224.63	2645.74	3018.3	1963.57	2400.97	2148.82	3372.43	995.0	1870.53	1487.87	2163.77	1519.15	3146.52	1617.0	2739.08	2956.17	2875.3	1594.73	967.76	2018.8	2303.12	3443.31	4836.35	2400.97	2520.38	1159.07	2451.44	2351.53	2720.15	2573.36	3395.89	1819.35	3081.75	2417.67	4358.66	1477.58	1369.04	2796.65	2032.85	1295.13	2351.53	2468.49	1923.14	1936.53	2468.49	3564.78	2609.3	2502.97	3874.05	1350.18	2895.31	1037.29	2701.35	3467.27	2976.74	1819.35	1561.89	3847.29	4802.93	1651.0	2627.46	3280.18	878.17	860.08	1709.26	1561.89	2645.74	3168.41	305.55	320.8	483.38	620.67	748.61	718.08
PRX	15.8	15.8	33.78	40.07	12.0	16.03	23.25	29.27	17.77	39.5	43.02	21.78	17.9	35.5	33.54	47.17	31.9	16.03	20.56	21.32	58.71	23.08	24.99	24.81	21.32	56.28	24.63	19.39	14.56	27.84	51.35	27.25	51.35	66.18	21.16	35.5	27.25	40.64	52.82	41.52	22.59	0.0	0.35	88.88	1427.22	521.76	738.29	514.56	599.49	587.13	514.56	2485.67	1769.57	2796.65	1119.56	591.22	1127.35	836.53	521.76	1794.29	2004.85	145.02	1447.15	796.86	1794.29	1870.53	1268.46	1498.22	3018.3	995.0	4239.45	967.76	2032.85	1909.85	595.34	551.56	339.14	1467.37	974.5	1540.37	205.5	860.08	796.86	463.65	420.68	587.13	1896.65	1037.29	214.27	417.77	1909.85	297.17	2537.92	1030.12	854.13	426.57	2664.15	356.05	961.07	1378.57	353.59	1572.76	854.13	1268.46	1923.14	642.59	197.09	1757.34	1073.91	830.75	373.81	791.35	1359.57	633.73	1561.89	2609.3	1437.15	1066.48	379.04	3325.99	497.0	1769.57	366.09	1896.65	848.22	2384.37	1119.56	3190.46	934.76	1832.01	1066.48	2384.37	1519.15	1359.57	1781.89	43.63	13.22	34.26	32.59	29.48	61.68
RAI2	22.59	30.12	18.16	17.38	8.19	60.39	23.59	6.62	9.27	486.75	8.32	25.35	7.82	264.03	60.39	73.03	19.39	29.7	173.85	44.25	127.0	15.91	138.1	6.36	5.15	98.04	167.9	25.91	4.7	12.27	60.82	20.26	112.77	90.77	6.52	76.17	152.28	117.6	366.09	107.38	26.67	0.0	0.48	55.1	830.75	1340.84	368.65	808.0	246.28	426.57	860.08	2018.8	665.29	1909.85	934.76	2148.82	1208.34	679.29	1023.0	866.07	1397.83	131.51	493.56	1242.34	1030.12	1407.55	460.44	961.07	1159.07	441.64	1909.85	476.71	2119.22	941.27	878.17	1127.35	403.5	1030.12	575.03	1216.75	351.14	703.28	1350.18	616.37	295.11	603.67	819.3	836.53	591.22	723.08	974.5	131.51	642.59	802.41	1417.35	287.01	1331.57	447.82	1697.45	1015.93	236.21	1733.13	361.04	698.41	1529.73	587.13	171.45	921.88	738.29	1183.45	432.53	1081.39	1143.1	1023.0	684.02	1096.5	660.68	995.0	473.41	1437.15	909.17	1508.65	785.88	723.08	866.07	1037.29	329.84	1088.92	551.56	1268.46	507.46	1369.04	995.0	1167.14	1519.15	80.01	40.07	117.6	97.36	75.11	583.07
RS1	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.48	0.15	0.0	0.0	2.58	87.65	122.64	88.88	218.79	97.36	49.56	116.78	146.03	163.28	68.55	14.67	161.02	73.54	149.12	81.14	100.83	100.83	35.5	81.14	62.56	131.51	123.5	175.07	81.14	159.9	146.03	71.5	108.9	122.64	66.65	83.45	142.01	66.65	92.7	52.82	147.06	43.94	116.78	186.4	68.55	135.24	64.34	115.97	88.26	32.59	138.1	63.0	29.06	81.71	147.06	64.8	204.07	171.45	75.11	78.34	67.59	78.89	166.73	66.18	68.55	137.14	101.54	39.79	146.03	96.01	77.79	64.34	193.01	205.5	199.85	107.38	106.63	31.9	97.36	38.12	167.9	55.89	152.28	293.07	92.05	140.04	251.48	82.87	178.77	193.01	34.51	38.4	92.05	142.01	118.43	72.01	0.19	0.17	1.39	0.48	0.0	0.79
RSPO2	0.0	4.1	3.0	0.33	1.13	0.0	23.93	0.0	1.43	0.35	1.19	0.85	0.32	0.0	7.57	0.0	0.33	0.61	0.0	0.28	1.89	0.0	0.97	0.3	0.0	12.27	1.51	3.5	0.0	0.0	3.38	0.31	0.93	0.0	0.0	4.86	3.0	5.15	26.1	10.63	0.0	0.0	0.12	1.16	94.67	361.04	95.34	105.89	37.32	287.01	591.22	99.43	97.36	58.3	8.99	61.25	59.13	102.25	138.1	94.01	277.2	2.81	35.25	100.83	61.25	212.78	387.02	135.24	185.11	59.97	379.04	30.78	53.57	112.77	152.28	96.01	178.77	22.92	61.25	325.29	373.81	70.01	224.97	249.73	204.07	320.8	122.64	57.49	48.52	63.0	75.11	35.25	84.63	231.32	145.02	86.43	84.63	92.7	36.79	323.03	16.15	172.65	100.13	320.8	76.71	113.56	53.19	99.43	76.17	102.97	860.08	26.28	49.91	98.04	145.02	162.14	376.41	67.59	55.89	84.63	212.78	60.82	536.45	255.0	191.67	239.52	253.23	74.58	38.4	231.32	55.49	75.64	214.27	63.89	195.72	2.12	2.29	2.16	0.8	0.0	17.13
SACM1L	291.04	242.88	209.84	356.05	239.52	373.81	217.27	334.46	389.72	603.67	412.0	447.82	327.56	457.25	423.61	195.72	366.09	361.04	358.54	285.03	412.0	149.12	397.93	275.28	161.02	332.14	384.34	191.67	164.42	149.12	204.07	262.2	514.56	291.04	111.21	397.93	483.38	253.23	389.72	293.07	297.17	0.0	0.43	325.29	651.58	941.27	1135.2	1322.37	607.87	1127.35	1167.14	896.64	1119.56	921.88	473.41	848.22	981.29	1073.91	1199.98	1199.98	1183.45	454.09	890.44	1135.2	902.89	1733.13	934.76	974.5	1096.5	738.29	1225.22	981.29	1159.07	1437.15	1350.18	1216.75	1135.2	536.45	358.54	1447.15	708.18	1191.69	1208.34	921.88	796.86	967.76	921.88	808.0	599.49	612.11	1037.29	525.39	1073.91	1605.83	769.69	656.11	1159.07	473.41	1159.07	1127.35	532.74	1304.15	665.29	1037.29	1151.06	1183.45	603.67	934.76	854.13	1551.09	1551.09	848.22	848.22	872.1	890.44	743.43	1208.34	1167.14	1023.0	1191.69	1350.18	1467.37	825.0	540.19	1096.5	941.27	981.29	1417.35	1259.69	819.3	703.28	1350.18	1540.37	514.56	620.67	312.0	334.46	287.01	291.04	215.77	353.59
SCN7A	1.27	0.64	0.31	0.0	0.57	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	3.08	1.03	2.78	0.61	0.0	0.57	2.78	3.06	0.6	4.35	0.0	0.0	2.48	6.41	3.08	0.0	0.0	0.62	0.0	1.01	1.03	0.0	1.07	2.36	6.06	143.01	58.3	1.53	0.0	0.42	8.13	1059.11	1277.29	205.5	1015.93	221.86	136.19	2090.03	2209.26	1322.37	1437.15	327.56	1127.35	928.3	406.31	780.44	563.18	1088.92	4.24	271.48	5329.3	633.73	1447.15	303.44	279.14	2935.74	409.15	3395.89	140.04	1175.27	1674.06	368.65	1651.0	181.28	289.02	249.73	1721.16	72.52	974.5	1030.12	567.1	138.1	406.31	2555.58	872.1	191.67	543.96	759.08	55.89	353.59	902.89	1286.18	177.53	1883.54	60.39	698.41	1322.37	132.44	2537.92	110.43	480.04	1529.73	389.72	102.25	555.41	1143.1	759.08	231.32	353.59	796.86	563.18	1594.73	414.87	400.71	1561.89	651.58	3190.46	444.72	1277.29	175.07	239.52	718.08	3146.52	180.02	1697.45	854.13	1250.98	366.09	1175.27	1295.13	1208.34	674.59	18.7	3.14	9.27	11.64	5.32	24.63
SCP2	2104.58	2384.37	2591.27	2758.13	3060.45	4152.18	2335.28	3794.3	3589.58	2609.3	2627.46	3540.14	2209.26	3768.09	3235.01	3039.3	2047.0	2720.15	3928.15	3540.14	1950.0	1923.14	2468.49	1769.57	1806.78	1467.37	2875.3	2240.11	1397.83	1519.15	1709.26	2090.03	2133.97	1936.53	2178.83	1081.39	2573.36	1529.73	3103.19	4512.4	2758.13	0.0	0.57	1583.71	3540.14	4298.64	2875.3	8078.22	2193.99	3168.41	4736.79	3039.3	3955.48	4181.07	2303.12	3820.7	3589.58	3690.52	4123.49	3955.48	2502.97	2609.3	2384.37	3257.52	2875.3	5403.7	5183.54	3639.7	3794.3	4328.55	3515.68	2701.35	4769.75	3690.52	3665.02	5219.6	3589.58	2720.15	2976.74	5147.73	3665.02	2627.46	3847.29	2935.74	4152.18	4937.99	5479.15	2915.45	3081.75	2555.58	3212.66	1498.22	3742.05	5633.22	2935.74	2758.13	3639.7	2417.67	2555.58	4512.4	4010.71	3614.55	3639.7	3168.41	3716.2	2664.15	4937.99	5633.22	5791.62	3564.78	5403.7	2591.27	4481.23	8247.98	3540.14	2835.7	4575.41	3103.19	11664.82	3690.52	4903.87	4239.45	8658.09	3325.99	3515.68	2915.45	3716.2	3372.43	5041.77	2956.17	2468.49	4298.64	4358.66	2956.17	3443.31	3018.3	1457.23	2627.46	2451.44	1757.34	2835.7
SDPR	22.26	57.89	36.27	8.25	53.95	82.29	16.63	11.82	13.83	1.23	32.13	7.28	8.58	38.67	27.25	45.53	4.66	5.41	11.3	234.57	34.75	15.56	113.56	10.88	13.42	353.59	121.79	59.55	5.5	17.13	29.27	529.06	45.53	45.53	23.59	713.11	138.1	43.32	258.57	127.0	60.39	0.0	0.31	67.12	2627.46	10014.87	3081.75	8658.09	1388.16	5954.47	7230.1	18304.63	4836.35	14262.1	4972.34	7857.29	3372.43	8363.13	2682.69	13123.73	10296.45	974.5	1498.22	8658.09	5594.3	4769.75	4358.66	1745.2	7857.29	5872.48	40062.48	674.59	18431.96	15285.81	7803.01	4736.79	6561.36	5791.62	27553.49	5366.37	624.99	7589.61	5112.16	2720.15	1781.89	3742.05	5791.62	4123.49	1233.75	2032.85	2627.46	1286.18	3467.27	10659.59	4639.29	4575.41	8718.32	314.17	4152.18	8718.32	4268.94	9876.98	4607.24	5183.54	8658.09	1167.14	1295.13	5479.15	6887.62	4903.87	1407.55	2739.08	7032.37	3349.13	10225.32	8191.0	3847.29	4095.0	2875.3	10440.2	4937.99	5517.27	4450.27	2319.15	3515.68	6294.04	5366.37	9606.86	4972.34	3589.58	19348.38	10154.69	9808.75	5479.15	8022.41	120.1	473.41	209.84	94.67	19.11	277.2
SECISBP2L	122.64	172.65	96.68	96.68	63.45	215.77	104.42	281.09	205.5	124.37	68.07	110.43	151.22	151.22	341.51	93.35	60.39	248.0	108.14	140.04	185.11	90.77	226.54	135.24	85.22	279.14	267.73	75.11	53.95	115.16	93.35	101.54	147.06	202.66	48.52	178.77	232.94	181.28	293.07	208.38	120.94	0.0	0.11	165.57	995.0	1304.15	2502.97	1208.34	547.75	2303.12	981.29	3257.52	733.19	1199.98	808.0	1359.57	647.07	1487.87	1832.01	1628.26	1477.58	540.19	603.67	2119.22	974.5	1721.16	1745.2	1685.71	1477.58	511.0	2335.28	1216.75	1923.14	1923.14	1857.6	1127.35	836.53	587.13	961.07	1322.37	432.53	1331.57	3325.99	1745.2	764.36	825.0	1639.59	896.64	791.35	633.73	1605.83	718.08	1208.34	6516.03	1508.65	674.59	2319.15	470.14	1832.01	3467.27	759.08	1427.22	1015.93	769.69	1167.14	1008.9	1277.29	1331.57	753.83	1685.71	2758.13	981.29	974.5	718.08	1216.75	1477.58	1208.34	1477.58	941.27	4328.55	3081.75	2720.15	447.82	575.03	947.83	860.08	2047.0	1477.58	1628.26	769.69	2720.15	1674.06	1757.34	684.02	1208.34	176.29	189.02	154.42	128.79	124.37	251.48
SFTPC	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	2.12	563.18	8.25	47.84	1.17	0.0	2.51	0.0	0.0	1.48	0.0	89.51	0.0	0.0	7.75	0.0	0.88	0.0	0.0	366.09	6935.54	878.17	64186.29	44145.15	10225.32	2.880867455E7	2.051249903E7	1.848689914E7	5.882801313E7	1.748967224E7	1.381756339E7	2.18328924E7	7.92550749E7	1.24530853E7	1.353320203E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.4225111E7	1.501602794E7	1.343972137E7	1.161913937E7	2.880867455E7	1.440433678E7	1.587221249E7	2.542950323E7	1.36273329E7	2.138357795E7	1.18632822E7	2.260282772E7	2.339991475E7	1.501602794E7	5.761735011E7	1.712973997E7	1.927195942E7	1.36273329E7	3.801327429E7	1.609378033E7	1.470700253E7	2.260282772E7	4.878722096E7	9635979.21	1.194579786E7	1.848689914E7	1.587221249E7	3.72309724E7	1.470700253E7	2.405777593E7	1.194579786E7	1.887534821E7	1.161913937E7	2.49061716E7	1.106883362E7	2.123587078E7	1.430483875E7	1.798137388E7	2.276004283E7	1.450452687E7	1.874496665E7	2.138357795E7	1.501602794E7	1.410789979E7	1.501602794E7	1.289224244E7	1.161913937E7	1.913883827E7	2.706640506E7	1.410789979E7	2.525384881E7	5.228884881E7	2.198475218E7	2.009035788E7	1.0826562323E8	1.271475112E7	1.194579786E7	1.391367215E7	1.954098596E7	2.037080884E7	2.560637942E7	1.712973997E7	1.491230465E7	3.109113511E7	1.130141336E7	6.17527469E7	2.578448588E7	9116191.76	1.325469274E7	2.009035788E7	1.66613263E7	1.391367215E7	1.835920079E7	1.391367215E7	665.29	198.47	6652.97	217.27	10.88	14262.1
SLC10A4	5.36	15.0	2.12	0.65	4.17	0.0	37.59	0.47	2.27	2.23	10.63	2.53	15.56	0.83	1.57	4.31	2.14	2.68	2.18	14.78	3.47	1.19	12.55	0.0	0.0	15.0	4.7	9.63	0.0	1.28	0.89	4.13	1.97	0.91	0.53	23.59	0.95	42.41	0.6	3.41	1.0	0.0	0.0	0.59	16.51	202.66	30.34	133.36	29.27	32.36	46.84	53.19	35.0	52.45	9.78	36.79	0.59	70.51	3.89	24.11	37.05	14.24	1.5	10.55	21.94	19.68	59.13	24.11	18.56	44.25	23.25	53.57	66.65	24.28	43.32	30.34	351.14	18.7	19.82	20.86	19.11	2.89	83.45	55.89	41.22	12.0	6.94	8.51	19.82	82.29	1.77	5.19	199.85	12.93	251.48	3.44	11.21	5.63	93.35	11.55	28.86	144.01	96.68	17.38	17.25	43.02	14.56	24.11	211.31	64.8	75.64	15.68	4.82	9.27	124.37	47.17	264.03	20.56	28.24	58.3	55.1	5.68	34.26	19.68	48.18	57.08	84.63	5.96	61.68	5.77	4.74	105.15	48.18	29.7	44.89	4.24	13.03	2.63	1.45	10.0	27.05
SLC16A12	3.17	0.33	2.71	22.26	0.29	0.96	3.44	0.48	0.25	0.28	3.06	0.25	0.27	0.82	0.0	0.55	0.55	0.27	94.01	0.0	0.51	0.83	2.05	0.49	1.2	4.7	1.58	0.89	0.83	0.51	0.49	1.25	0.87	6.94	5.77	0.91	0.53	0.85	1.0	3.92	3.44	0.0	0.21	8.71	33.06	98.04	31.22	24.28	16.39	16.03	57.89	189.02	28.45	53.57	14.24	25.54	105.89	18.7	67.59	62.56	54.72	2.32	31.22	161.02	167.9	40.07	12.0	33.78	77.25	20.26	153.34	17.25	108.14	85.82	56.28	38.67	8.06	43.02	34.51	132.44	1.48	60.39	75.11	32.82	3.66	6.46	38.4	71.0	33.78	107.38	104.42	1.77	38.95	85.82	46.5	17.9	171.45	4.94	57.49	165.57	13.22	42.71	27.25	98.73	100.83	47.84	3.14	44.89	38.67	35.0	22.59	98.04	27.05	54.33	21.94	22.26	50.27	52.82	33.3	96.68	38.12	135.24	1.71	37.32	44.57	94.67	24.28	138.1	45.85	29.27	51.71	93.35	50.27	76.17	76.71	3.56	0.57	1.38	0.59	1.71	13.22
