	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A233.01A.11R.A14Y.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.DJ.A3UX.01A.11R.A22L.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.J8.A3YD.01A.11R.A22U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.EM.A2OZ.01A.11R.A206.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2PN.01A.21R.A19O.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.EL.A3T8.01A.21R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
SEC14L2	1119.56	1216.75	1208.34	684.02	866.07	1417.35	1096.5	961.07	1135.2	1175.27	1350.18	759.08	854.13	1059.11	1259.69	525.39	441.64	961.07	1447.15	921.88	1015.93	1023.0	486.75	1059.11	1487.87	346.29	239.52	466.88	555.41	267.73	420.68	208.38	392.44	693.58	366.09	547.75	432.53	267.73	309.83	303.44	366.09	397.93	283.05	426.57	379.04	403.5	417.77	224.97	320.8	540.19	571.05	486.75	353.59	463.65	660.68	217.27	209.84	438.59	934.76	356.05	228.13	392.44	279.14
SEPT3	135.24	45.85	37.85	45.53	33.54	76.17	46.5	48.87	30.34	32.59	61.25	54.72	70.51	80.57	56.68	37.05	23.08	20.41	80.57	74.06	57.89	26.86	8.32	29.7	33.06	36.79	20.11	8.58	11.21	13.83	5.45	11.47	37.32	4.06	14.78	31.45	27.44	33.78	10.55	18.97	10.71	22.59	28.04	4.78	21.01	13.52	10.71	5.68	10.71	9.27	7.75	10.0	4.74	15.22	18.84	4.62	7.57	23.25	13.72	26.67	15.11	7.51	24.28
SH2D4A	563.18	866.07	808.0	878.17	947.83	642.59	493.56	483.38	748.61	1159.07	796.86	708.18	470.14	665.29	728.11	543.96	651.58	802.41	591.22	587.13	909.17	802.41	693.58	909.17	738.29	314.17	409.15	305.55	244.57	358.54	267.73	234.57	327.56	167.9	244.57	275.28	232.94	376.41	260.38	389.72	175.07	547.75	320.8	346.29	236.21	346.29	285.03	267.73	318.57	178.77	299.25	579.04	190.34	275.28	381.68	426.57	211.31	236.21	339.14	244.57	387.02	293.07	223.41
SHMT2	2367.9	1059.11	1359.57	4038.61	1199.98	1286.18	1369.04	1572.76	1313.23	1350.18	1183.45	2104.58	2855.44	1697.45	2417.67	921.88	995.0	1119.56	1477.58	2739.08	1127.35	1781.89	1936.53	1268.46	1088.92	693.58	511.0	493.56	1044.52	656.11	532.74	450.94	457.25	866.07	555.41	854.13	1119.56	733.19	579.04	866.07	620.67	759.08	497.0	921.88	417.77	518.15	718.08	674.59	825.0	713.11	708.18	500.46	426.57	500.46	775.05	728.11	896.64	490.14	559.28	529.06	480.04	642.59	384.34
SLC12A2	255.0	251.48	309.83	389.72	536.45	406.31	236.21	183.82	371.22	366.09	395.18	363.56	246.28	275.28	241.19	232.94	172.65	457.25	336.79	339.14	387.02	503.95	540.19	490.14	371.22	161.02	143.01	152.28	163.28	140.04	116.78	202.66	149.12	105.89	194.36	139.07	109.66	154.42	142.01	105.15	84.04	178.77	140.04	101.54	121.79	92.05	118.43	130.6	189.02	165.57	215.77	241.19	149.12	162.14	123.5	123.5	220.32	171.45	108.14	125.24	132.44	138.1	178.77
SLC3A2	7589.61	4419.52	4543.8	7382.04	4358.66	5112.16	4869.99	5366.37	4543.8	4543.8	5913.33	5872.48	7911.95	4736.79	6607.01	3614.55	3443.31	4639.29	4769.75	6840.04	4607.24	4836.35	4836.35	4704.07	4481.23	2485.67	2133.97	3515.68	8191.0	4450.27	3103.19	2627.46	2935.74	5479.15	3665.02	4152.18	3372.43	3515.68	3564.78	3190.46	4903.87	2178.83	3639.7	4671.57	3280.18	2720.15	4769.75	4066.71	3847.29	4512.4	3847.29	3280.18	3820.7	4543.8	3280.18	5791.62	3901.01	2796.65	3018.3	3081.75	2701.35	3589.58	2777.33
SLC7A4	14.45	20.11	19.39	5.87	8.06	31.9	18.7	8.78	13.22	17.77	13.72	22.43	12.36	34.02	26.28	3.56	11.82	7.63	26.67	15.45	23.08	12.83	7.28	10.79	23.42	2.25	0.1	5.73	0.0	0.47	13.42	0.0	0.43	1.27	5.02	1.27	0.09	4.17	0.91	6.78	0.43	0.0	3.06	0.49	0.99	2.43	2.61	0.1	0.46	0.89	0.52	0.46	1.16	0.0	0.0	0.0	0.49	1.58	0.78	1.19	0.09	7.51	1.62
SOGA3	32.82	40.93	61.68	33.78	46.5	66.18	27.64	35.5	19.11	57.89	52.82	27.05	31.9	65.26	31.22	24.28	18.43	31.22	43.63	33.06	73.03	40.36	9.7	84.63	39.22	6.46	3.92	4.9	6.06	3.96	17.51	6.78	8.51	7.57	3.06	11.13	6.89	7.34	4.13	11.38	5.73	10.47	4.74	4.98	2.23	4.86	6.62	0.27	1.22	12.83	13.83	15.0	2.1	5.15	0.0	10.31	4.54	2.86	5.96	4.06	17.0	9.48	0.0
SOX4	1037.29	1457.23	1457.23	1159.07	688.78	896.64	583.07	447.82	813.63	1605.83	1242.34	1073.91	753.83	1096.5	743.43	387.02	567.1	1073.91	825.0	567.1	1250.98	967.76	928.3	1151.06	1572.76	198.47	457.25	139.07	181.28	102.97	271.48	217.27	406.31	149.12	186.4	125.24	111.21	703.28	138.1	336.79	190.34	409.15	457.25	146.03	143.01	293.07	214.27	134.3	260.38	256.78	172.65	193.01	185.11	141.02	133.36	181.28	128.79	154.42	152.28	265.87	379.04	220.32	218.79
SPIRE1	470.14	343.89	366.09	571.05	236.21	334.46	279.14	279.14	323.03	293.07	361.04	356.05	460.44	314.17	521.76	167.9	258.57	166.73	371.22	595.34	384.34	583.07	403.5	387.02	181.28	155.5	223.41	260.38	170.25	248.0	138.1	246.28	100.13	97.36	158.79	201.25	163.28	209.84	202.66	142.01	136.19	258.57	101.54	205.5	265.87	128.79	232.94	166.73	220.32	283.05	285.03	201.25	74.58	423.61	110.43	132.44	291.04	202.66	152.28	150.17	90.77	224.97	214.27
SRP68	2367.9	2163.77	1963.57	2240.11	2240.11	2047.0	2104.58	2193.99	2319.15	2075.59	2271.4	2255.7	2271.4	2090.03	2148.82	1685.71	1883.54	2758.13	2303.12	2240.11	2271.4	1923.14	2720.15	1769.57	2271.4	1721.16	1529.73	1477.58	1769.57	1583.71	1477.58	1457.23	1322.37	1674.06	1806.78	1781.89	1651.0	1639.59	1477.58	1447.15	1331.57	1721.16	1605.83	1639.59	1806.78	1369.04	1561.89	1757.34	1832.01	1519.15	2032.85	1498.22	2119.22	1781.89	1583.71	1697.45	1709.26	1225.22	1551.09	1487.87	1605.83	2047.0	1467.37
SSTR3	9.06	32.36	19.97	19.68	19.82	25.35	18.84	8.71	9.63	18.43	15.8	17.9	7.75	48.18	11.64	16.75	6.01	10.0	23.42	13.12	31.67	10.08	5.59	31.45	10.63	0.0	2.56	1.48	0.53	0.55	2.46	0.0	0.0	0.0	13.83	0.0	0.0	0.0	0.0	5.54	0.0	2.63	0.53	1.5	0.0	0.49	0.0	0.0	0.0	1.5	12.64	0.0	0.0	0.58	9.34	0.0	0.0	1.35	3.5	0.0	0.0	4.06	0.0
STRADB	616.37	1066.48	638.15	872.1	1250.98	836.53	848.22	842.36	1030.12	759.08	1259.69	1088.92	825.0	529.06	934.76	693.58	1059.11	808.0	698.41	896.64	974.5	1208.34	1295.13	848.22	808.0	341.51	384.34	540.19	368.65	447.82	267.73	218.79	320.8	624.99	450.94	470.14	376.41	444.72	480.04	376.41	503.95	368.65	193.01	323.03	314.17	214.27	493.56	660.68	361.04	555.41	327.56	718.08	447.82	559.28	206.94	571.05	486.75	463.65	412.0	447.82	267.73	260.38	281.09
STX3	961.07	764.36	947.83	941.27	769.69	791.35	884.29	665.29	780.44	896.64	836.53	884.29	842.36	836.53	785.88	547.75	616.37	642.59	842.36	1037.29	947.83	1023.0	656.11	748.61	633.73	236.21	341.51	329.84	518.15	684.02	232.94	368.65	346.29	312.0	514.56	454.09	454.09	457.25	480.04	297.17	503.95	334.46	312.0	358.54	543.96	323.03	403.5	384.34	583.07	603.67	575.03	412.0	376.41	791.35	376.41	417.77	480.04	384.34	497.0	343.89	244.57	438.59	361.04
SULT2B1	255.0	244.57	131.51	163.28	90.14	231.32	249.73	129.69	281.09	293.07	194.36	204.07	128.79	229.72	241.19	62.12	236.21	79.45	111.99	139.07	122.64	253.23	397.93	80.01	65.26	31.45	46.5	26.86	42.41	0.49	54.33	30.34	22.75	55.1	81.14	94.01	19.53	46.84	28.86	18.29	92.05	26.47	273.37	21.16	48.52	76.71	8.45	78.89	4.46	214.27	8.38	6.16	32.13	37.85	32.59	43.02	9.13	15.56	76.71	25.54	81.14	27.25	21.63
TG	375901.76	84694.64	127486.83	187950.38	417089.23	322736.12	305326.92	365622.68	233003.78	72715.74	244588.0	277089.94	279017.26	207103.59	269512.87	1085552.95	535303.41	561916.97	273275.14	273275.14	215898.44	111755.56	286861.53	233003.78	290865.98	1364554.84	2068278.89	1452391.55	2247670.86	2126426.15	1751305.3	2375828.71	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1929772.37	1943195.01	1622738.51	1727194.55	2636147.11	2263304.65	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	1482909.4
TGFBR1	718.08	1127.35	1216.75	507.46	1277.29	764.36	463.65	511.0	796.86	1127.35	909.17	769.69	647.07	954.43	802.41	275.28	314.17	1175.27	974.5	954.43	1127.35	665.29	603.67	1268.46	941.27	151.22	271.48	119.26	134.3	138.1	122.64	316.37	157.68	153.34	112.77	79.45	78.89	193.01	103.69	130.6	92.7	159.9	170.25	138.1	66.18	118.43	126.12	91.41	141.02	117.6	412.0	108.9	105.15	96.01	130.6	82.87	111.99	183.82	134.3	153.34	239.52	152.28	156.59
TGIF1	1991.0	2537.92	3589.58	1674.06	1175.27	1963.57	1806.78	1685.71	2287.2	2163.77	3060.45	1709.26	1806.78	1651.0	1769.57	1044.52	1487.87	2417.67	1639.59	1322.37	2018.8	3146.52	2075.59	2240.11	3146.52	928.3	1561.89	1467.37	1127.35	902.89	1037.29	1407.55	1407.55	896.64	1001.93	1844.76	1259.69	775.05	1104.13	981.29	2018.8	1529.73	723.08	1175.27	780.44	1044.52	1529.73	934.76	1073.91	1388.16	854.13	1331.57	1008.9	1135.2	1551.09	1008.9	872.1	890.44	1104.13	1331.57	532.74	967.76	1111.82
TGM1	189.02	358.54	353.59	283.05	154.42	244.57	100.13	71.0	141.02	140.04	271.48	180.02	215.77	202.66	186.4	39.22	87.03	90.14	217.27	170.25	241.19	260.38	175.07	244.57	163.28	38.67	7.11	49.21	32.13	35.5	92.7	18.56	33.06	123.5	105.89	51.71	21.78	49.21	84.04	57.49	23.76	35.76	44.89	59.13	80.57	40.07	65.26	97.36	23.08	88.26	85.22	73.03	34.51	34.02	18.16	88.26	36.79	4.13	6.31	67.12	55.49	33.54	15.91
TMEM41A	447.82	579.04	447.82	470.14	473.41	457.25	435.55	389.72	463.65	551.56	447.82	470.14	435.55	543.96	435.55	384.34	409.15	473.41	432.53	460.44	497.0	511.0	379.04	460.44	444.72	191.67	297.17	148.09	256.78	139.07	226.54	204.07	186.4	255.0	167.9	204.07	148.09	231.32	220.32	221.86	176.29	211.31	297.17	212.78	137.14	237.86	206.94	147.06	136.19	214.27	242.88	185.11	170.25	215.77	199.85	194.36	183.82	206.94	201.25	221.86	260.38	231.32	236.21
TMEM79	279.14	656.11	384.34	146.03	470.14	412.0	314.17	156.59	343.89	607.87	356.05	312.0	217.27	414.87	323.03	176.29	339.14	301.33	483.38	234.57	567.1	346.29	316.37	289.02	420.68	73.03	85.22	75.11	62.56	65.26	66.18	54.33	148.09	126.12	78.34	85.22	50.63	76.71	74.58	172.65	67.12	132.44	118.43	35.76	86.43	106.63	40.07	68.55	90.77	48.18	33.3	50.98	54.72	74.06	82.29	65.26	50.63	118.43	57.08	140.04	69.52	91.41	117.6
TMPRSS6	409.15	1745.2	1447.15	305.55	397.93	1143.1	351.14	295.11	764.36	764.36	656.11	669.92	180.02	540.19	656.11	9.48	151.22	366.09	529.06	314.17	612.11	733.19	688.78	693.58	921.88	12.36	5.06	0.0	0.0	0.0	656.11	0.0	2.51	0.0	128.79	1.58	0.61	0.0	0.0	53.19	1.41	2.94	1.08	0.0	0.0	0.0	18.84	0.0	0.0	31.67	3.92	0.0	0.0	5.68	0.28	0.0	0.0	9.13	0.49	2.53	2.03	82.87	3.89
TNFRSF12A	11664.82	6652.97	6887.62	6121.9	6699.25	7911.95	7589.61	2627.46	7485.11	8247.98	7382.04	5076.84	5479.15	7911.95	6607.01	2434.5	4328.55	7280.4	6516.03	6652.97	5831.91	8538.88	5751.61	6471.02	5791.62	208.38	529.06	368.65	6652.97	1583.71	633.73	1008.9	191.67	237.86	1617.0	532.74	1397.83	2240.11	836.53	265.87	1519.15	198.47	1023.0	1159.07	4575.41	441.64	1977.24	2133.97	2701.35	2609.3	3540.14	1407.55	2468.49	1508.65	1167.14	387.02	759.08	674.59	1259.69	242.88	878.17	1015.93	182.55
TRAK2	674.59	1081.39	934.76	1175.27	1407.55	848.22	769.69	884.29	974.5	1427.22	1674.06	915.51	759.08	1001.93	1059.11	743.43	1081.39	1096.5	995.0	1167.14	1467.37	1685.71	1259.69	1304.15	1023.0	551.56	961.07	607.87	743.43	595.34	466.88	759.08	591.22	536.45	1015.93	447.82	361.04	764.36	414.87	591.22	629.35	651.58	599.49	599.49	743.43	620.67	674.59	473.41	607.87	551.56	759.08	674.59	314.17	941.27	441.64	603.67	656.11	483.38	1023.0	595.34	679.29	447.82	1242.34
TRPC5	81.71	48.52	49.91	63.89	289.02	102.25	18.7	50.63	78.34	34.75	150.17	40.93	10.47	135.24	53.19	40.93	36.79	253.23	129.69	147.06	142.01	22.26	28.86	145.02	80.57	1.27	0.0	0.0	1.17	1.2	3.99	0.0	8.65	1.19	0.0	0.0	0.0	0.0	4.54	1.2	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	1.17	19.53	1.31	9.41	0.0	4.66	0.0	1.2	1.25	1.08	0.0	8.71	0.0	0.0	0.0
TTL	381.68	392.44	384.34	450.94	291.04	327.56	336.79	267.73	381.68	368.65	363.56	373.81	363.56	406.31	381.68	191.67	234.57	320.8	389.72	444.72	435.55	376.41	318.57	366.09	320.8	132.44	158.79	142.01	190.34	217.27	155.5	155.5	205.5	158.79	215.77	183.82	173.85	228.13	169.07	149.12	91.41	202.66	106.63	214.27	212.78	123.5	159.9	145.02	218.79	161.02	279.14	172.65	111.99	208.38	144.01	128.79	178.77	165.57	197.09	177.53	155.5	194.36	212.78
TYRO3	202.66	161.02	220.32	172.65	281.09	249.73	170.25	182.55	228.13	97.36	171.45	146.03	134.3	289.02	166.73	267.73	147.06	339.14	190.34	186.4	190.34	130.6	119.26	180.02	258.57	39.5	49.21	27.25	43.32	35.0	32.82	34.02	69.52	21.78	67.59	38.4	43.02	76.71	33.78	57.89	21.63	42.41	27.05	38.12	36.01	41.81	24.11	44.89	59.13	28.86	50.98	19.11	24.99	37.85	70.01	31.9	18.97	34.75	49.56	40.93	17.9	52.45	98.73
UBFD1	819.3	775.05	728.11	872.1	669.92	775.05	733.19	647.07	775.05	830.75	836.53	759.08	728.11	866.07	688.78	698.41	624.99	866.07	866.07	836.53	928.3	769.69	688.78	775.05	791.35	633.73	559.28	543.96	547.75	688.78	571.05	575.03	412.0	633.73	660.68	587.13	660.68	536.45	651.58	423.61	368.65	595.34	444.72	518.15	420.68	447.82	551.56	497.0	674.59	518.15	651.58	603.67	447.82	579.04	514.56	532.74	651.58	463.65	366.09	420.68	551.56	624.99	551.56
UCP2	10368.08	5791.62	4869.99	4769.75	5872.48	9673.69	5006.93	4575.41	6121.9	5403.7	6840.04	6337.83	2855.44	6792.79	3372.43	4543.8	3018.3	9344.14	5791.62	5366.37	7642.41	4388.98	5711.87	5517.27	8305.36	3372.43	2163.77	2148.82	3257.52	2224.63	3018.3	1832.01	1313.23	3146.52	2178.83	1457.23	5403.7	2004.85	4481.23	2163.77	2224.63	5403.7	3419.52	3257.52	8479.89	3794.3	2434.5	2485.67	2816.11	1447.15	4010.71	4038.61	1208.34	5255.91	5219.6	3039.3	2224.63	2739.08	2573.36	2255.7	1991.0	3146.52	3018.3
ULBP1	165.57	11.3	78.89	74.06	36.27	14.35	24.28	18.03	6.01	21.63	45.85	133.36	133.36	32.82	90.77	10.31	33.54	14.56	50.27	55.49	6.84	54.33	65.26	21.94	13.72	5.59	6.21	2.58	15.22	10.0	0.0	6.36	2.71	1.43	16.39	1.07	5.19	4.17	1.14	1.79	1.99	13.72	6.16	10.79	3.69	5.36	3.69	10.96	11.3	10.71	10.08	4.86	3.0	11.04	9.41	3.32	7.88	2.71	1.6	2.71	4.31	3.82	5.87
VPS13D	1081.39	1313.23	1551.09	1721.16	2032.85	1551.09	1674.06	1159.07	1963.57	1572.76	1991.0	1628.26	1832.01	967.76	1378.57	1001.93	1437.15	1844.76	1508.65	1447.15	2004.85	1721.16	1963.57	1572.76	1286.18	825.0	808.0	1594.73	1561.89	1111.82	785.88	866.07	616.37	1051.79	1183.45	1313.23	813.63	848.22	902.89	896.64	759.08	620.67	775.05	1331.57	1259.69	759.08	1350.18	1191.69	1051.79	1388.16	1216.75	1745.2	1286.18	2090.03	830.75	1175.27	1175.27	743.43	974.5	791.35	753.83	1059.11	947.83
WBP2	5183.54	4268.94	4066.71	4328.55	3955.48	4736.79	4239.45	3665.02	4512.4	4419.52	4268.94	4736.79	4512.4	5076.84	4671.57	4268.94	4181.07	3982.99	5076.84	4736.79	4972.34	4095.0	3639.7	3820.7	3794.3	2537.92	2163.77	2701.35	3039.3	3039.3	2976.74	2119.22	2417.67	3443.31	2032.85	3039.3	2163.77	2485.67	2701.35	3103.19	3955.48	2816.11	3235.01	2537.92	2061.24	2997.45	3146.52	2537.92	2148.82	3847.29	2935.74	2209.26	2335.28	2816.11	2997.45	3060.45	2271.4	3081.75	2895.31	2816.11	2682.69	2609.3	2537.92
YARS	2758.13	1001.93	1059.11	2485.67	1081.39	1268.46	1313.23	1340.84	1183.45	1350.18	1183.45	2319.15	2032.85	1498.22	2075.59	1225.22	1304.15	1051.79	1417.35	2609.3	1104.13	1594.73	1250.98	1378.57	896.64	718.08	599.49	679.29	1295.13	1030.12	503.95	503.95	493.56	1233.75	733.19	669.92	854.13	684.02	780.44	536.45	591.22	669.92	514.56	1023.0	703.28	480.04	1183.45	693.58	988.12	928.3	995.0	607.87	718.08	738.29	651.58	1225.22	884.29	642.59	679.29	563.18	476.71	660.68	525.39
ZBTB33	264.03	348.71	281.09	309.83	363.56	307.69	271.48	281.09	312.0	400.71	429.54	327.56	271.48	309.83	303.44	256.78	231.32	381.68	373.81	373.81	414.87	275.28	275.28	406.31	291.04	202.66	220.32	226.54	220.32	208.38	157.68	170.25	127.89	159.9	246.28	164.42	127.0	167.9	167.9	99.43	155.5	267.73	130.6	195.72	114.36	169.07	157.68	165.57	201.25	215.77	309.83	301.33	177.53	236.21	181.28	217.27	166.73	127.0	195.72	139.07	153.34	182.55	148.09
ZCCHC16	89.51	36.01	92.7	77.79	232.94	139.07	25.35	107.38	60.82	109.66	197.09	159.9	33.06	161.02	122.64	81.14	88.88	209.84	111.21	131.51	145.02	43.02	47.17	183.82	145.02	1.85	1.73	0.58	0.0	3.38	10.47	0.54	26.67	0.0	3.29	0.0	0.0	15.34	8.51	102.97	0.0	15.34	1.73	5.68	0.66	0.0	0.0	1.75	14.56	3.47	1.89	3.29	0.0	5.87	0.56	0.0	3.5	7.28	0.0	7.34	0.0	0.0	0.0
ZNF217	420.68	785.88	536.45	629.35	454.09	529.06	376.41	346.29	551.56	555.41	728.11	497.0	379.04	480.04	444.72	314.17	371.22	540.19	511.0	503.95	854.13	555.41	547.75	497.0	651.58	208.38	215.77	255.0	229.72	224.97	120.1	220.32	172.65	209.84	217.27	307.69	226.54	229.72	127.0	123.5	181.28	224.97	87.03	241.19	246.28	248.0	234.57	154.42	142.01	476.71	297.17	253.23	198.47	199.85	153.34	258.57	267.73	170.25	236.21	162.14	92.7	251.48	155.5
ZNF430	334.46	346.29	291.04	414.87	346.29	353.59	291.04	275.28	325.29	281.09	420.68	285.03	309.83	309.83	309.83	113.56	264.03	392.44	271.48	444.72	423.61	269.6	379.04	323.03	329.84	138.1	156.59	201.25	237.86	224.97	133.36	113.56	155.5	146.03	171.45	93.35	61.68	97.36	164.42	67.59	49.21	190.34	90.14	156.59	161.02	80.01	239.52	111.99	114.36	134.3	318.57	175.07	122.64	176.29	78.34	228.13	176.29	115.16	129.69	114.36	102.25	167.9	88.88
ZNF714	575.03	409.15	211.31	624.99	234.57	305.55	400.71	323.03	532.74	395.18	470.14	620.67	205.5	343.89	457.25	85.82	178.77	376.41	379.04	703.28	351.14	423.61	463.65	400.71	260.38	198.47	127.89	246.28	88.26	191.67	45.85	89.51	119.26	198.47	161.02	152.28	104.42	327.56	273.37	38.12	145.02	194.36	163.28	148.09	197.09	83.45	106.63	123.5	251.48	181.28	194.36	323.03	67.12	231.32	36.53	152.28	316.37	96.68	59.55	190.34	34.75	167.9	156.59
