	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
ZNF236	130.6	129.69	112.77	108.14	48.52	38.95	26.1	17.64	29.91	52.08	35.0	31.67	57.89	31.9	78.89	29.06	23.93	39.5	43.02	57.89	36.79	86.43	23.93	28.86	47.84	27.44	20.11	69.52	43.32	16.15	17.9	53.19	21.94	78.34	31.45	25.72	36.27	37.59	45.53	19.39	17.64	71.0	26.28	50.63	63.89	52.45	27.44	61.68	47.84	73.03	39.22	16.15	24.99	23.59	16.39	35.25	29.06	20.86	17.77	19.82	11.73	21.47	91.41	60.39	84.63	165.57	92.05
ZNF248	283.05	299.25	309.83	289.02	53.19	57.89	33.54	63.45	59.55	74.06	75.64	68.07	115.97	108.14	201.25	108.9	56.68	85.22	78.89	63.0	49.56	169.07	44.25	56.68	90.14	50.98	62.56	123.5	110.43	32.59	46.18	71.5	31.9	234.57	62.56	37.59	84.63	105.89	127.89	44.89	59.13	125.24	37.85	109.66	205.5	127.89	89.51	77.79	110.43	149.12	69.52	22.43	28.86	36.53	21.78	46.84	37.59	31.67	46.18	55.89	19.97	54.33	232.94	215.77	295.11	381.68	323.03
ZNF354C	153.34	129.69	133.36	122.64	3.0	2.58	6.16	1.46	4.35	3.44	23.93	3.72	31.67	10.96	36.79	13.12	5.23	15.45	15.34	8.71	12.83	85.82	1.41	4.06	38.95	8.51	2.03	17.38	68.07	3.76	8.38	10.31	1.93	67.59	6.46	3.86	9.85	35.76	24.28	9.85	6.57	23.93	3.08	2.84	22.75	27.05	1.95	18.43	27.25	58.71	3.66	1.64	18.16	8.99	6.62	11.47	6.06	1.51	8.78	14.45	1.83	14.03	43.94	76.71	138.1	57.08	84.63
ZNF430	293.07	229.72	251.48	197.09	8.38	4.82	19.53	5.06	10.88	40.07	8.58	32.59	38.95	21.47	70.51	5.96	26.28	21.32	6.16	23.42	8.25	102.97	1.95	24.81	47.17	8.45	6.89	33.54	38.67	7.88	3.53	9.85	3.23	63.0	16.63	12.36	30.34	36.27	44.57	14.03	1.04	43.94	4.43	21.78	44.89	21.78	3.72	35.76	34.26	47.17	4.9	1.2	11.04	19.53	6.78	3.03	6.06	8.58	11.91	68.07	2.18	14.78	172.65	161.02	90.14	124.37	144.01
ZNF44	438.59	376.41	450.94	289.02	187.71	147.06	82.29	103.69	100.83	269.6	119.26	312.0	206.94	271.48	543.96	153.34	127.89	170.25	63.45	224.97	124.37	246.28	171.45	85.22	267.73	72.52	163.28	155.5	265.87	80.57	86.43	194.36	65.26	244.57	131.51	96.01	229.72	273.37	341.51	293.07	102.25	297.17	66.65	346.29	291.04	521.76	125.24	236.21	318.57	193.01	426.57	44.57	98.73	119.26	92.05	99.43	149.12	114.36	88.88	204.07	61.25	75.64	291.04	358.54	297.17	264.03	265.87
ZNF506	454.09	423.61	483.38	368.65	11.91	21.01	72.01	8.25	45.85	199.85	83.45	110.43	144.01	92.7	265.87	21.63	89.51	99.43	90.14	90.77	44.25	361.04	70.51	49.91	189.02	19.53	10.08	85.22	244.57	44.89	53.57	34.26	42.41	194.36	37.85	95.34	45.53	125.24	129.69	36.01	3.63	164.42	12.55	21.63	186.4	148.09	36.01	137.14	58.71	236.21	20.26	25.35	20.71	47.84	22.1	112.77	23.08	11.04	58.71	88.26	23.25	15.11	209.84	204.07	435.55	348.71	291.04
ZNF569	111.99	98.73	105.89	96.68	78.89	14.14	29.91	4.74	33.78	45.85	40.93	37.32	54.72	37.85	167.9	35.76	29.91	55.1	42.71	25.91	17.38	113.56	55.89	18.97	115.16	31.67	25.72	37.59	88.26	21.63	35.0	7.88	31.22	86.43	38.95	57.08	31.67	48.52	48.87	34.26	31.22	50.63	6.94	46.5	84.04	66.18	42.41	28.86	80.01	142.01	66.18	8.32	31.22	46.18	22.75	35.25	18.43	16.27	43.02	17.38	12.0	41.81	60.82	63.0	115.16	71.5	83.45
ZNF586	208.38	194.36	178.77	151.22	89.51	41.52	44.25	41.22	78.89	93.35	54.72	47.5	99.43	72.01	136.19	49.56	34.51	52.82	53.19	20.86	43.94	154.42	61.68	29.06	128.79	23.93	50.27	71.0	87.65	37.59	35.25	83.45	22.43	120.94	47.5	50.63	94.67	78.34	71.0	56.28	44.89	82.87	55.49	68.55	65.72	92.7	43.32	74.58	104.42	112.77	108.14	24.46	37.05	41.52	42.11	70.01	36.01	37.59	50.63	74.58	42.11	37.32	242.88	206.94	201.25	218.79	351.14
ZNF587B	152.28	232.94	163.28	178.77	75.11	102.25	44.89	77.25	83.45	199.85	70.01	125.24	122.64	122.64	248.0	97.36	62.56	88.88	49.56	85.82	149.12	229.72	70.01	25.35	271.48	99.43	119.26	98.04	120.94	50.63	42.71	204.07	26.86	201.25	77.79	91.41	206.94	134.3	231.32	139.07	57.08	176.29	115.97	126.12	194.36	157.68	115.16	136.19	86.43	285.03	148.09	43.63	72.01	127.0	87.03	42.11	53.19	39.5	36.01	62.12	19.39	28.86	187.71	197.09	62.12	187.71	172.65
ZNF649	346.29	323.03	334.46	275.28	49.56	34.26	16.88	3.66	40.93	62.12	44.89	37.85	77.25	62.12	173.85	16.88	23.76	86.43	49.91	35.5	33.78	140.04	47.5	26.28	134.3	21.78	13.42	46.84	88.88	26.67	22.26	17.38	14.56	114.36	25.91	17.77	87.65	107.38	65.26	21.63	38.67	105.89	41.81	35.25	48.52	82.29	14.45	59.55	87.65	136.19	66.18	27.64	40.93	94.01	132.44	40.36	38.95	46.5	55.89	33.78	19.53	89.51	105.89	138.1	129.69	209.84	234.57
ZNF660	47.17	36.27	68.55	31.0	5.5	0.68	2.23	1.11	1.53	4.31	1.83	1.69	14.03	7.57	35.25	2.97	1.79	4.58	1.99	8.45	3.56	11.47	0.64	6.52	1.46	2.1	1.14	8.0	6.01	2.32	0.0	4.17	1.08	19.97	1.6	5.73	3.26	10.24	5.5	1.43	1.83	7.94	1.77	2.73	10.16	21.32	1.99	6.11	1.01	9.41	9.34	1.22	1.16	2.29	2.16	8.19	1.33	0.3	5.87	7.88	3.63	3.96	48.18	20.86	94.67	78.34	59.55
ZNF70	78.34	80.57	96.01	62.56	6.41	10.47	4.46	5.87	4.82	25.17	1.31	12.36	19.68	18.7	12.09	3.96	3.96	10.88	7.63	13.12	2.34	55.1	2.81	5.82	5.45	5.41	6.57	14.24	8.78	6.01	1.68	11.38	2.39	25.54	3.53	3.82	3.44	33.78	17.38	2.25	7.06	24.63	4.31	9.93	39.5	32.59	6.26	22.1	7.34	25.35	10.24	5.82	3.72	11.13	2.51	7.34	4.82	5.19	9.78	2.48	0.0	9.27	72.52	62.56	71.0	111.99	64.34
ZNF700	277.2	275.28	281.09	264.03	111.99	105.15	100.13	99.43	126.12	190.34	121.79	180.02	194.36	164.42	379.04	173.85	114.36	164.42	61.25	132.44	156.59	353.59	208.38	61.68	177.53	60.39	206.94	175.07	189.02	92.7	77.25	199.85	79.45	341.51	126.12	139.07	93.35	293.07	438.59	191.67	90.14	161.02	95.34	164.42	381.68	283.05	84.04	180.02	220.32	305.55	307.69	37.32	108.14	115.97	152.28	102.97	133.36	64.34	46.5	120.94	77.25	47.84	260.38	316.37	206.94	218.79	231.32
ZNF708	212.78	237.86	234.57	206.94	6.21	15.22	12.93	10.47	16.51	49.56	10.31	31.22	49.91	37.32	96.68	20.26	27.84	31.45	12.64	40.36	11.3	98.04	24.63	28.86	80.01	9.34	6.84	39.22	52.08	6.26	10.79	25.17	8.32	102.97	26.1	10.16	22.75	38.12	64.34	18.7	8.19	59.97	6.26	25.54	55.49	84.04	17.64	48.18	39.79	62.56	44.25	7.34	10.79	65.72	25.54	14.24	25.17	7.0	7.69	18.97	14.14	18.84	132.44	130.6	217.27	190.34	135.24
ZNF8	72.52	63.45	61.25	75.11	2.66	16.51	6.57	10.47	22.43	18.03	14.56	17.13	10.71	6.21	66.65	17.13	6.46	28.65	12.09	36.27	31.45	6.67	32.13	1.55	25.17	11.82	16.75	30.34	26.1	20.71	14.35	17.0	7.51	68.07	0.73	7.94	36.79	36.01	36.27	17.51	18.7	42.11	22.26	24.81	79.45	48.87	21.32	35.0	41.81	56.68	15.0	7.51	14.03	7.88	10.96	16.27	0.04	5.54	12.74	7.11	5.11	8.19	86.43	61.68	29.48	190.34	76.17
