	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	TCGA.38.4625.01A.01R.1206.07	GTEX.14C5O.2826.SM.5RQI6	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.P4QT.1526.SM.3NMCT	GTEX.WH7G.1526.SM.4LVMX
LZTR1	718.08	647.07	738.29	638.15	642.59	1233.75	928.3	785.88	1233.75	1991.0	1617.0	1794.29	1477.58	1447.15	1639.59	1540.37	2178.83	1359.57	2090.03	1572.76	1662.49	2287.2	1467.37	1508.65	1605.83	1685.71	1794.29	1950.0	2004.85	1073.91	1950.0	1709.26	1508.65	1639.59	1936.53	1628.26	1498.22	2032.85	2104.58	1331.57	1685.71	1781.89	1909.85	0.0	454.09	669.92	642.59	381.68	1081.39	866.07	1151.06	1191.69	866.07	1104.13	825.0	647.07
MAFK	400.71	1721.16	656.11	2090.03	713.11	1151.06	1242.34	555.41	587.13	878.17	2224.63	1709.26	3325.99	1806.78	2645.74	2645.74	3419.52	1322.37	2835.7	3349.13	3190.46	3820.7	2133.97	2895.31	2148.82	1806.78	3325.99	2537.92	2468.49	1135.2	2367.9	1721.16	2875.3	2075.59	2224.63	2240.11	2739.08	3124.78	2682.69	2224.63	1844.76	1991.0	2148.82	0.0	1519.15	1397.83	1023.0	493.56	647.07	1832.01	1037.29	866.07	1015.93	723.08	2018.8	1617.0
MAP3K12	281.09	329.84	323.03	204.07	229.72	571.05	297.17	450.94	547.75	1407.55	988.12	2224.63	718.08	665.29	813.63	674.59	884.29	493.56	575.03	738.29	995.0	947.83	571.05	830.75	902.89	647.07	1167.14	909.17	679.29	426.57	1015.93	587.13	633.73	842.36	1015.93	1096.5	432.53	616.37	1023.0	466.88	728.11	647.07	1183.45	0.0	123.5	193.01	231.32	269.6	348.71	329.84	620.67	423.61	283.05	500.46	218.79	389.72
MKNK1	503.95	432.53	435.55	366.09	389.72	738.29	884.29	961.07	1135.2	981.29	1037.29	1104.13	738.29	1167.14	1295.13	988.12	1427.22	947.83	1350.18	1437.15	1617.0	1529.73	947.83	1322.37	1331.57	1233.75	1551.09	1340.84	1242.34	764.36	1331.57	988.12	1096.5	1208.34	1417.35	1447.15	1127.35	1378.57	1594.73	723.08	1111.82	1059.11	1685.71	603.67	305.55	316.37	480.04	379.04	1175.27	1066.48	769.69	1191.69	638.15	759.08	490.14	559.28
MSH4	1.77	2.2	2.16	1.75	3.08	2.27	4.62	5.82	1.71	5.82	1.11	4.03	13.62	2.56	13.72	4.24	8.85	6.01	8.25	9.34	5.41	13.03	7.0	6.16	4.7	6.21	11.82	11.55	6.89	1.43	8.06	4.9	15.91	11.55	10.63	7.82	10.0	9.27	3.96	4.58	8.78	5.02	3.56	0.0	1.04	1.08	1.07	0.19	2.29	4.39	1.04	5.63	1.62	2.76	0.44	1.45
MSS51	8.85	5.36	20.71	5.77	14.14	20.11	19.25	24.11	38.12	49.21	32.13	53.95	25.91	45.85	88.26	116.78	126.12	58.3	102.97	107.38	115.16	136.19	68.55	46.5	147.06	71.5	161.02	107.38	88.26	21.32	104.42	72.01	68.55	89.51	155.5	135.24	97.36	132.44	126.12	69.52	80.01	64.34	130.6	0.0	10.63	7.94	11.91	10.24	31.45	20.56	19.82	31.45	31.22	22.75	3.2	7.82
MTERFD3	312.0	381.68	363.56	343.89	307.69	214.27	371.22	470.14	387.02	551.56	417.77	595.34	660.68	559.28	769.69	733.19	1417.35	571.05	819.3	743.43	902.89	1605.83	693.58	669.92	616.37	934.76	753.83	1104.13	842.36	387.02	1073.91	703.28	1340.84	836.53	1191.69	1216.75	693.58	842.36	718.08	688.78	813.63	669.92	860.08	152.28	303.44	265.87	299.25	320.8	651.58	348.71	303.44	412.0	403.5	406.31	120.94	120.94
MUS81	775.05	660.68	780.44	514.56	884.29	819.3	954.43	1030.12	1331.57	1175.27	928.3	1304.15	1044.52	1143.1	1769.57	1991.0	1757.34	1628.26	1819.35	1950.0	2163.77	2004.85	1781.89	1519.15	1733.13	1498.22	1806.78	2061.24	2255.7	1081.39	1628.26	1457.23	1950.0	1697.45	2119.22	1909.85	1674.06	1883.54	2032.85	1594.73	1781.89	1572.76	1685.71	0.0	703.28	759.08	988.12	679.29	1044.52	981.29	713.11	947.83	1001.93	988.12	684.02	825.0
MZF1	130.6	149.12	143.01	143.01	137.14	417.77	314.17	237.86	343.89	463.65	423.61	599.49	403.5	703.28	1111.82	819.3	1639.59	603.67	1096.5	1250.98	1167.14	1896.65	698.41	842.36	842.36	947.83	1191.69	1437.15	941.27	323.03	1268.46	698.41	884.29	1030.12	1250.98	1037.29	733.19	1073.91	1183.45	620.67	981.29	665.29	1096.5	0.0	152.28	228.13	221.86	146.03	283.05	348.71	551.56	624.99	490.14	470.14	149.12	134.3
NEIL1	150.17	81.71	156.59	91.41	147.06	221.86	400.71	361.04	363.56	356.05	351.14	633.73	346.29	890.44	1508.65	995.0	1769.57	444.72	848.22	1923.14	1561.89	1950.0	1008.9	1208.34	1697.45	902.89	1950.0	1844.76	1331.57	279.14	1819.35	909.17	1304.15	1119.56	1685.71	1674.06	1388.16	1242.34	1757.34	738.29	1388.16	1088.92	1685.71	0.0	138.1	141.02	187.71	74.58	358.54	339.14	426.57	571.05	299.25	343.89	86.43	100.13
NME3	890.44	995.0	830.75	909.17	915.51	1477.58	1447.15	1467.37	1662.49	1175.27	1896.65	1605.83	1277.29	1519.15	2682.69	2915.45	3103.19	1628.26	2855.44	3820.7	4704.07	3639.7	3081.75	3212.66	3257.52	1963.57	3146.52	2664.15	2451.44	1313.23	2591.27	1697.45	2855.44	2796.65	2303.12	2645.74	2047.0	2384.37	2935.74	2468.49	2468.49	2193.99	2609.3	0.0	2384.37	1936.53	2351.53	1674.06	1191.69	1477.58	1498.22	1844.76	1662.49	1208.34	896.64	791.35
NOL3	543.96	785.88	896.64	733.19	860.08	728.11	656.11	961.07	1051.79	1407.55	1250.98	1583.71	1331.57	1277.29	1806.78	2018.8	2956.17	1529.73	1733.13	2303.12	2075.59	3303.0	1561.89	2591.27	1745.2	1369.04	2777.33	2555.58	2367.9	1030.12	2090.03	1540.37	1857.6	1781.89	2104.58	2335.28	1529.73	1674.06	2287.2	1216.75	2032.85	1529.73	2434.5	0.0	543.96	988.12	890.44	353.59	693.58	656.11	669.92	941.27	1674.06	1208.34	547.75	836.53
NPFF	25.35	18.43	24.63	16.51	27.25	53.19	40.64	17.51	72.52	14.03	36.01	117.6	37.32	0.0	246.28	147.06	269.6	29.7	68.55	186.4	429.54	447.82	78.34	85.22	107.38	90.14	181.28	198.47	94.01	0.0	139.07	43.32	108.14	143.01	169.07	56.68	71.5	72.01	109.66	105.89	172.65	99.43	246.28	0.0	2.61	30.34	12.83	8.19	19.11	74.06	0.0	23.59	21.78	11.04	32.36	13.32
NPIPA1	947.83	1250.98	1143.1	1407.55	1183.45	1757.34	1977.24	1277.29	2075.59	3614.55	4239.45	3982.99	4903.87	5711.87	6699.25	5329.3	5954.47	2855.44	5751.61	7280.4	4972.34	7382.04	3540.14	4481.23	6164.49	3768.09	5791.62	5954.47	5751.61	1617.0	5479.15	3716.2	6652.97	5751.61	7032.37	5403.7	5672.41	6079.61	4769.75	2835.7	6294.04	4575.41	6381.92	0.0	1259.69	921.88	1467.37	587.13	2502.97	2061.24	1594.73	2485.67	2090.03	1896.65	1674.06	1015.93
NPIPB6	7.88	11.47	9.93	7.88	4.86	6.67	14.56	7.51	9.93	18.97	33.3	24.81	33.54	5.5	61.68	29.91	79.45	29.06	52.45	45.53	81.71	95.34	33.54	131.51	85.82	18.56	104.42	57.08	79.45	4.82	57.89	30.78	74.58	32.59	21.78	110.43	59.55	47.17	38.95	43.02	100.83	23.76	87.03	0.0	12.45	4.06	16.39	17.9	15.91	16.27	10.79	30.56	14.03	15.34	7.11	8.99
NPR2	579.04	363.56	441.64	346.29	420.68	748.61	647.07	583.07	1286.18	830.75	785.88	1216.75	947.83	848.22	759.08	878.17	1111.82	703.28	791.35	860.08	1322.37	1242.34	967.76	748.61	1001.93	825.0	1135.2	854.13	830.75	591.22	866.07	759.08	1008.9	1008.9	1044.52	836.53	718.08	796.86	995.0	830.75	872.1	728.11	921.88	0.0	346.29	199.85	381.68	309.83	813.63	603.67	954.43	642.59	624.99	688.78	295.11	348.71
NRBP2	480.04	366.09	409.15	301.33	358.54	559.28	748.61	633.73	1268.46	1487.87	2090.03	2434.5	2417.67	1896.65	2976.74	2434.5	3564.78	1870.53	2451.44	3874.05	2816.11	3901.01	2384.37	2875.3	2997.45	1909.85	4010.71	3665.02	3257.52	1037.29	2976.74	2047.0	2520.38	2573.36	3467.27	3081.75	3540.14	3349.13	3982.99	1208.34	2875.3	2701.35	3018.3	0.0	603.67	387.02	728.11	476.71	909.17	708.18	1001.93	1242.34	1073.91	1023.0	490.14	543.96
NRN1L	4.03	7.57	10.47	13.22	21.16	15.22	10.24	10.31	19.68	33.3	5.19	24.11	23.59	21.16	67.12	66.18	120.94	41.22	49.91	138.1	45.85	99.43	21.78	54.33	101.54	20.26	73.03	93.35	98.73	17.64	86.43	31.9	96.01	47.17	79.45	82.87	70.01	68.55	54.72	64.34	51.35	35.0	76.17	0.0	49.91	15.56	25.17	14.78	14.89	17.77	34.75	8.45	20.86	13.22	9.06	19.11
OR2H2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.46	13.52	0.0	0.0	0.0	5.19	7.94	13.12	7.34	17.64	15.45	13.42	19.39	4.43	5.96	14.24	4.62	5.87	9.2	10.16	0.78	5.63	2.86	19.39	10.55	4.46	3.38	4.46	12.64	10.08	3.14	5.36	2.73	1.25	0.0	0.39	0.26	0.12	0.21	0.0	0.0	0.0	0.65	0.61	0.59	1.38	1.19
PACS2	1001.93	796.86	988.12	728.11	1023.0	1159.07	1183.45	941.27	1467.37	848.22	1447.15	1617.0	1407.55	1477.58	2468.49	2468.49	2720.15	1561.89	2193.99	2417.67	3190.46	3081.75	1909.85	1991.0	2061.24	1662.49	2434.5	2796.65	2240.11	1407.55	2224.63	1639.59	2351.53	2287.2	2178.83	2018.8	1963.57	2133.97	2224.63	1977.24	2018.8	1757.34	2351.53	0.0	733.19	660.68	884.29	490.14	995.0	1111.82	1617.0	1417.35	1359.57	1447.15	915.51	769.69
PAN2	236.21	262.2	299.25	212.78	307.69	665.29	629.35	518.15	587.13	1697.45	890.44	1096.5	470.14	1378.57	2119.22	1369.04	2434.5	1216.75	2163.77	2104.58	2367.9	2739.08	1781.89	1561.89	2335.28	1697.45	3124.78	3103.19	1936.53	642.59	2287.2	1883.54	2224.63	1769.57	2645.74	2875.3	2255.7	2255.7	2627.46	1135.2	1977.24	1697.45	2451.44	0.0	387.02	368.65	483.38	353.59	688.78	698.41	511.0	848.22	435.55	759.08	236.21	236.21
PARP6	660.68	934.76	764.36	860.08	909.17	1286.18	1167.14	830.75	1529.73	1561.89	1467.37	1313.23	1407.55	1378.57	2047.0	1781.89	2119.22	1151.06	1617.0	2520.38	3257.52	2956.17	1709.26	1857.6	1769.57	1628.26	1870.53	2758.13	1857.6	1322.37	2193.99	2193.99	1950.0	1844.76	2271.4	2255.7	1617.0	2163.77	2319.15	1397.83	2119.22	2119.22	1685.71	753.83	514.56	547.75	638.15	656.11	1127.35	1037.29	1167.14	1143.1	1143.1	1088.92	616.37	403.5
PCBP4	638.15	656.11	559.28	518.15	836.53	909.17	872.1	543.96	1183.45	647.07	638.15	860.08	915.51	743.43	1639.59	1447.15	2032.85	1216.75	2271.4	1721.16	2018.8	2255.7	1662.49	2075.59	1617.0	1313.23	1909.85	1857.6	1857.6	1175.27	1909.85	1259.69	1519.15	1519.15	1806.78	1457.23	1350.18	2090.03	1857.6	1143.1	1583.71	1605.83	1936.53	0.0	1359.57	728.11	934.76	743.43	753.83	642.59	1259.69	842.36	1088.92	1008.9	1073.91	941.27
PLXNB3	183.82	444.72	224.97	368.65	312.0	599.49	603.67	532.74	2351.53	1806.78	1081.39	785.88	954.43	802.41	1870.53	2209.26	2935.74	1529.73	1977.24	2855.44	4937.99	3742.05	1769.57	2224.63	2591.27	1242.34	3103.19	2758.13	2303.12	567.1	2451.44	1540.37	1781.89	1721.16	2485.67	1923.14	1781.89	2075.59	2319.15	780.44	1909.85	1963.57	2777.33	0.0	387.02	258.57	718.08	301.33	954.43	1030.12	808.0	748.61	629.35	532.74	392.44	281.09
PNPLA7	26.28	76.17	82.87	71.0	79.45	119.26	187.71	153.34	96.68	36.53	40.64	77.79	72.01	334.46	656.11	583.07	1023.0	151.22	583.07	1111.82	728.11	1417.35	336.79	536.45	934.76	392.44	878.17	571.05	708.18	115.97	540.19	384.34	633.73	426.57	583.07	500.46	633.73	753.83	915.51	323.03	854.13	325.29	642.59	0.0	176.29	173.85	297.17	80.57	115.97	182.55	90.14	102.25	128.79	86.43	14.67	20.11
POU6F1	231.32	221.86	307.69	194.36	303.44	348.71	336.79	283.05	708.18	441.64	674.59	1023.0	872.1	961.07	738.29	642.59	728.11	507.46	688.78	698.41	728.11	928.3	547.75	532.74	884.29	529.06	665.29	759.08	753.83	450.94	860.08	547.75	599.49	764.36	836.53	728.11	575.03	764.36	796.86	490.14	665.29	638.15	693.58	0.0	273.37	135.24	262.2	140.04	441.64	258.57	476.71	521.76	656.11	669.92	473.41	403.5
PPOX	297.17	226.54	299.25	241.19	295.11	438.59	441.64	318.57	587.13	607.87	395.18	409.15	397.93	551.56	961.07	988.12	1199.98	651.58	909.17	1216.75	1417.35	1477.58	934.76	723.08	1037.29	713.11	1359.57	1295.13	1008.9	525.39	1059.11	698.41	1008.9	995.0	780.44	1199.98	866.07	1073.91	1199.98	743.43	854.13	764.36	1096.5	0.0	305.55	264.03	406.31	277.2	511.0	361.04	547.75	599.49	426.57	400.71	159.9	197.09
PPP1R32	18.16	18.16	56.28	33.78	56.68	65.72	69.52	75.11	85.82	55.1	72.01	117.6	92.05	72.52	164.42	126.12	204.07	88.88	228.13	173.85	336.79	201.25	163.28	182.55	150.17	143.01	251.48	204.07	163.28	68.55	244.57	74.58	190.34	241.19	212.78	208.38	159.9	181.28	195.72	165.57	152.28	130.6	226.54	0.0	96.01	33.54	50.27	70.01	52.82	73.54	105.15	154.42	151.22	91.41	44.25	38.12
PPT2-EGFL8	8.06	27.05	25.35	20.26	33.54	81.71	55.1	55.1	83.45	134.3	71.5	156.59	107.38	157.68	241.19	141.02	363.56	171.45	154.42	260.38	318.57	356.05	185.11	231.32	312.0	147.06	309.83	323.03	211.31	81.71	291.04	215.77	249.73	273.37	248.0	236.21	159.9	202.66	291.04	119.26	221.86	169.07	361.04	0.0	7.82	28.45	41.81	16.63	96.01	85.22	92.05	84.63	71.5	84.04	10.0	33.06
PRAM1	2.25	29.91	10.0	8.85	4.03	89.51	19.82	35.5	32.82	85.82	38.67	36.53	30.12	31.45	52.08	34.75	98.04	10.16	28.45	41.81	82.87	92.7	46.18	36.01	53.57	26.67	50.63	45.85	33.78	6.21	49.21	23.08	33.3	40.36	82.87	59.55	35.76	39.79	49.21	35.76	41.81	32.82	69.52	0.0	17.13	27.44	12.0	7.06	36.01	32.13	34.02	37.32	12.93	15.91	25.35	31.0
PRICKLE4	96.01	58.3	90.77	30.12	78.89	256.78	255.0	183.82	244.57	283.05	232.94	420.68	189.02	318.57	400.71	334.46	854.13	358.54	412.0	438.59	651.58	854.13	368.65	368.65	432.53	444.72	563.18	651.58	507.46	211.31	540.19	490.14	316.37	454.09	743.43	529.06	341.51	503.95	713.11	395.18	684.02	423.61	708.18	0.0	123.5	175.07	204.07	74.58	182.55	164.42	199.85	194.36	138.1	253.23	88.88	77.79
PRIMPOL	356.05	241.19	287.01	224.97	291.04	271.48	323.03	426.57	363.56	567.1	264.03	303.44	279.14	368.65	642.59	708.18	995.0	363.56	356.05	796.86	769.69	1183.45	450.94	412.0	476.71	551.56	780.44	759.08	575.03	279.14	703.28	400.71	723.08	698.41	738.29	796.86	463.65	514.56	480.04	591.22	518.15	486.75	813.63	0.0	307.69	231.32	273.37	217.27	480.04	356.05	253.23	435.55	186.4	255.0	93.35	162.14
PRR14	764.36	595.34	738.29	441.64	698.41	1073.91	995.0	961.07	1313.23	1023.0	995.0	1096.5	1008.9	1044.52	1709.26	1583.71	1819.35	1175.27	1437.15	1963.57	2400.97	2384.37	1651.0	1477.58	1662.49	1225.22	1709.26	1806.78	1447.15	928.3	1508.65	1304.15	1617.0	1896.65	2018.8	1467.37	1304.15	1594.73	1628.26	1487.87	1540.37	1388.16	1685.71	0.0	708.18	753.83	808.0	723.08	780.44	796.86	1322.37	1477.58	1096.5	1096.5	860.08	819.3
PRRT1	229.72	120.1	307.69	96.01	237.86	264.03	316.37	353.59	669.92	438.59	255.0	444.72	389.72	279.14	587.13	603.67	616.37	480.04	579.04	629.35	884.29	620.67	543.96	713.11	738.29	371.22	525.39	493.56	507.46	271.48	547.75	327.56	529.06	674.59	620.67	587.13	447.82	497.0	579.04	579.04	521.76	348.71	698.41	0.0	279.14	152.28	182.55	163.28	325.29	281.09	620.67	551.56	612.11	435.55	129.69	236.21
PRRT2	88.26	123.5	129.69	144.01	161.02	115.16	164.42	176.29	279.14	312.0	279.14	466.88	540.19	490.14	884.29	599.49	1183.45	559.28	995.0	1008.9	1457.23	1088.92	612.11	915.51	941.27	414.87	1359.57	1183.45	1159.07	334.46	854.13	748.61	813.63	954.43	802.41	988.12	974.5	1044.52	1388.16	463.65	842.36	693.58	1151.06	0.0	291.04	87.03	283.05	155.5	267.73	231.32	208.38	334.46	212.78	177.53	85.82	72.01
PRSS50	0.92	2.71	3.96	0.92	2.25	5.11	12.09	11.47	12.0	16.15	22.92	31.0	12.83	32.82	102.97	38.12	82.87	39.22	63.89	198.47	152.28	237.86	49.91	78.34	132.44	30.56	129.69	78.89	75.11	4.03	96.01	32.36	118.43	76.71	106.63	105.89	74.06	60.82	85.82	23.93	111.21	68.55	118.43	0.0	12.45	8.0	9.41	3.44	13.62	6.78	4.9	15.34	11.91	10.08	7.34	1.68
RGS11	223.41	111.99	135.24	100.83	220.32	90.77	314.17	214.27	358.54	166.73	273.37	423.61	444.72	403.5	1066.48	1081.39	2351.53	409.15	1757.34	3060.45	1651.0	2537.92	1167.14	2351.53	2047.0	698.41	1304.15	2502.97	583.07	351.14	3060.45	1143.1	1572.76	1519.15	2609.3	1936.53	1304.15	2400.97	2163.77	775.05	1096.5	1529.73	1199.98	0.0	201.25	173.85	336.79	111.21	260.38	262.2	426.57	181.28	141.02	185.11	42.41	107.38
SCML2	102.97	49.56	67.59	46.5	49.56	34.26	39.22	41.81	71.0	41.22	42.71	56.28	46.18	42.71	68.55	148.09	63.0	82.87	55.89	150.17	214.27	97.36	100.13	111.21	157.68	32.82	167.9	164.42	197.09	52.82	59.97	51.71	114.36	90.77	71.0	53.19	132.44	150.17	115.16	67.12	111.21	39.22	90.14	0.0	30.78	35.76	49.21	29.27	69.52	45.21	43.32	36.27	27.25	35.0	35.0	22.43
SCNN1D	13.32	33.78	19.25	33.3	52.08	46.5	54.72	29.91	49.21	127.89	85.82	105.89	86.43	143.01	189.02	193.01	575.03	186.4	190.34	599.49	629.35	921.88	591.22	438.59	915.51	209.84	497.0	559.28	429.54	84.63	595.34	221.86	346.29	490.14	497.0	497.0	297.17	334.46	521.76	183.82	551.56	353.59	536.45	0.0	50.98	24.46	37.05	1.81	50.98	91.41	69.52	159.9	59.55	57.49	47.84	6.36
SGIP1	45.53	52.82	40.07	74.06	29.91	144.01	59.55	88.88	84.63	202.66	547.75	368.65	423.61	198.47	441.64	120.94	361.04	214.27	387.02	336.79	299.25	400.71	356.05	733.19	395.18	389.72	743.43	656.11	267.73	178.77	473.41	384.34	297.17	432.53	363.56	733.19	612.11	718.08	414.87	314.17	389.72	293.07	417.77	27.84	21.32	16.15	29.48	3.5	94.01	92.7	103.69	149.12	181.28	132.44	125.24	95.34
SGSM2	693.58	836.53	825.0	616.37	872.1	1001.93	1151.06	796.86	1268.46	1721.16	1023.0	1685.71	1617.0	1844.76	2591.27	2434.5	2609.3	1662.49	2935.74	2664.15	3395.89	3257.52	2351.53	1950.0	2796.65	1857.6	3018.3	2796.65	2417.67	1199.98	2627.46	1733.13	2335.28	2485.67	2555.58	2417.67	2351.53	3235.01	3060.45	1721.16	2335.28	1936.53	2956.17	0.0	848.22	651.58	764.36	500.46	1001.93	941.27	1259.69	1639.59	1369.04	1467.37	633.73	483.38
SH2B1	660.68	764.36	878.17	563.18	808.0	813.63	1073.91	928.3	988.12	753.83	921.88	1001.93	1096.5	1059.11	1407.55	1594.73	2303.12	1259.69	1697.45	1806.78	2133.97	2627.46	1487.87	1697.45	2047.0	1286.18	1950.0	1896.65	1697.45	1159.07	1709.26	1508.65	1457.23	1923.14	1963.57	1477.58	1259.69	1721.16	2061.24	1340.84	2018.8	1551.09	1950.0	0.0	753.83	808.0	961.07	638.15	954.43	1208.34	1001.93	764.36	995.0	1008.9	376.41	460.44
SIX5	563.18	397.93	423.61	239.52	595.34	647.07	559.28	444.72	1030.12	884.29	674.59	780.44	974.5	493.56	616.37	954.43	1135.2	878.17	802.41	974.5	1233.75	1151.06	802.41	995.0	915.51	796.86	915.51	988.12	866.07	529.06	738.29	688.78	660.68	854.13	819.3	860.08	733.19	738.29	836.53	753.83	825.0	500.46	921.88	0.0	612.11	457.25	638.15	555.41	559.28	412.0	836.53	612.11	780.44	1008.9	307.69	420.68
SLC27A3	819.3	866.07	854.13	753.83	860.08	1081.39	1051.79	1304.15	1175.27	660.68	764.36	878.17	493.56	679.29	1313.23	1477.58	1662.49	1781.89	1745.2	1096.5	2061.24	1561.89	1709.26	1175.27	1551.09	764.36	1781.89	1447.15	1216.75	1066.48	1191.69	1023.0	1572.76	1519.15	1781.89	1135.2	607.87	1208.34	2061.24	1313.23	1233.75	967.76	1794.29	0.0	281.09	387.02	1199.98	429.54	796.86	808.0	1104.13	902.89	1242.34	1088.92	583.07	426.57
SMARCD3	1096.5	941.27	915.51	848.22	1073.91	1191.69	967.76	995.0	1909.85	1015.93	902.89	1447.15	1369.04	1259.69	2271.4	2417.67	2682.69	1674.06	2777.33	2384.37	3103.19	2720.15	2271.4	2209.26	2384.37	1583.71	3303.0	2209.26	2351.53	1135.2	2224.63	1819.35	2148.82	2018.8	2255.7	2319.15	1844.76	2796.65	2875.3	1427.22	2104.58	1806.78	2758.13	0.0	379.04	1037.29	426.57	521.76	1143.1	1023.0	1407.55	1388.16	1950.0	1457.23	511.0	336.79
SORCS2	293.07	104.42	122.64	117.6	104.42	199.85	90.77	88.26	214.27	138.1	143.01	218.79	218.79	85.82	221.86	217.27	403.5	140.04	191.67	346.29	234.57	358.54	166.73	269.6	152.28	239.52	258.57	291.04	256.78	115.97	476.71	126.12	144.01	454.09	262.2	341.51	218.79	363.56	295.11	171.45	265.87	223.41	426.57	0.0	173.85	43.32	159.9	41.52	120.94	87.03	120.94	56.68	85.82	143.01	133.36	123.5
SPIN2A	11.38	4.43	2.63	1.35	7.06	7.57	16.75	10.96	21.63	24.99	15.0	13.83	16.63	15.22	32.13	26.28	60.82	26.86	42.71	25.72	69.03	60.82	18.16	37.59	47.5	25.72	44.89	37.59	38.67	19.82	40.36	20.11	40.36	47.17	52.45	24.63	20.11	44.25	49.91	21.63	34.75	32.36	55.49	0.0	4.03	4.94	7.94	5.11	20.26	12.27	30.34	16.39	9.48	16.39	2.12	6.46
STRADA	483.38	444.72	392.44	341.51	429.54	679.29	483.38	595.34	802.41	808.0	660.68	764.36	571.05	759.08	934.76	1001.93	1378.57	718.08	890.44	1111.82	1208.34	1331.57	961.07	651.58	1225.22	921.88	1437.15	1066.48	1001.93	599.49	1037.29	733.19	1037.29	1233.75	1313.23	1304.15	1073.91	1037.29	1295.13	890.44	909.17	934.76	1322.37	0.0	395.18	435.55	486.75	567.1	624.99	490.14	591.22	674.59	612.11	633.73	441.64	412.0
TAS2R5	5.73	2.71	6.94	3.56	2.68	12.55	16.03	13.22	15.22	23.93	8.85	31.67	11.21	17.77	61.25	36.53	64.34	48.52	66.65	53.95	51.35	61.68	15.91	71.5	36.79	22.75	96.01	60.39	42.71	18.43	48.52	29.48	43.02	62.12	66.65	28.65	48.18	38.67	64.8	13.93	54.33	26.1	53.19	0.0	1.5	4.98	1.97	2.53	20.11	13.22	6.57	17.38	11.82	7.82	0.0	1.3
TAZ	241.19	289.02	291.04	246.28	301.33	579.04	480.04	514.56	563.18	1119.56	780.44	583.07	473.41	684.02	1183.45	1199.98	1508.65	638.15	1135.2	1167.14	1437.15	1572.76	1037.29	884.29	1216.75	954.43	1331.57	1617.0	1225.22	500.46	1628.26	764.36	1104.13	1183.45	1447.15	1397.83	890.44	1175.27	1457.23	967.76	1143.1	988.12	1437.15	0.0	312.0	269.6	316.37	215.77	490.14	583.07	616.37	607.87	389.72	447.82	379.04	336.79
THAP3	420.68	332.14	503.95	149.12	476.71	563.18	447.82	607.87	638.15	551.56	293.07	429.54	297.17	444.72	775.05	854.13	738.29	476.71	708.18	860.08	796.86	967.76	813.63	884.29	718.08	616.37	616.37	688.78	607.87	441.64	571.05	466.88	723.08	738.29	748.61	665.29	854.13	684.02	693.58	902.89	674.59	575.03	764.36	0.0	575.03	348.71	591.22	412.0	497.0	214.27	507.46	361.04	483.38	493.56	217.27	371.22
