	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
CCDC24	112.77	249.73	22.26	80.57	104.42	120.94	135.24	130.6	237.86	379.04	503.95	703.28	392.44	283.05	191.67	536.45	493.56	236.21	575.03	265.87	921.88	612.11	403.5	447.82	232.94	511.0	371.22	457.25	521.76	305.55	379.04	414.87	309.83	708.18	228.13	684.02	529.06	607.87	651.58	591.22	305.55	432.53	723.08	559.28	511.0	708.18	287.01	387.02	232.94	575.03	293.07	432.53	336.79	567.1	647.07	529.06	258.57	314.17	426.57	591.22	218.79	237.86	262.2	392.44	921.88	703.28	633.73	246.28	567.1	368.65	269.6	780.44	511.0	540.19	486.75	361.04	463.65	607.87	693.58	743.43	540.19	486.75	854.13	242.88	346.29	316.37	232.94	450.94	460.44	327.56	189.02	514.56	384.34	511.0	532.74	277.2	249.73	309.83	289.02	607.87	698.41	426.57	753.83	612.11	255.0	353.59	242.88	339.14	239.52	836.53	305.55	796.86	457.25	438.59	289.02	896.64	406.31	318.57	503.95	1001.93	860.08	638.15	738.29	514.56	363.56	397.93	490.14	624.99	559.28	521.76	521.76	368.65	356.05	361.04	540.19	400.71	432.53	371.22	327.56
CCDC85B	133.36	76.17	110.43	172.65	68.55	27.05	66.18	237.86	351.14	208.38	195.72	1111.82	267.73	246.28	98.73	353.59	607.87	117.6	525.39	269.6	603.67	183.82	718.08	392.44	84.04	540.19	212.78	463.65	529.06	518.15	764.36	339.14	400.71	854.13	191.67	514.56	237.86	432.53	974.5	336.79	246.28	1199.98	896.64	358.54	473.41	309.83	140.04	429.54	130.6	1216.75	320.8	242.88	525.39	995.0	723.08	854.13	346.29	368.65	409.15	379.04	358.54	145.02	199.85	1199.98	583.07	1857.6	1081.39	318.57	525.39	988.12	142.01	529.06	748.61	890.44	559.28	301.33	429.54	389.72	1151.06	612.11	476.71	571.05	836.53	441.64	371.22	211.31	197.09	251.48	624.99	802.41	190.34	358.54	450.94	708.18	909.17	301.33	61.25	85.22	251.48	988.12	363.56	275.28	1044.52	215.77	220.32	289.02	258.57	412.0	336.79	890.44	373.81	532.74	825.0	708.18	125.24	236.21	334.46	616.37	1059.11	708.18	967.76	713.11	638.15	466.88	387.02	117.6	172.65	281.09	518.15	329.84	145.02	327.56	291.04	518.15	131.51	341.51	195.72	253.23	102.97
CDC34	329.84	387.02	417.77	656.11	291.04	255.0	379.04	698.41	974.5	974.5	1378.57	1857.6	1135.2	1030.12	633.73	1397.83	1369.04	698.41	1447.15	1088.92	2209.26	1233.75	1313.23	1991.0	563.18	1151.06	967.76	1030.12	1794.29	1104.13	1437.15	1111.82	1119.56	1457.23	743.43	1594.73	1096.5	1369.04	3443.31	1540.37	1135.2	1709.26	1674.06	1388.16	1143.1	1250.98	813.63	1191.69	860.08	2451.44	1199.98	947.83	1277.29	1806.78	1378.57	1350.18	1369.04	1183.45	1143.1	1151.06	1151.06	738.29	896.64	1437.15	1651.0	1697.45	2104.58	796.86	1191.69	1721.16	679.29	1286.18	1457.23	1498.22	1277.29	1135.2	1322.37	1313.23	1437.15	1745.2	1175.27	1340.84	1685.71	1233.75	947.83	703.28	947.83	1175.27	1583.71	1769.57	921.88	1331.57	1397.83	1487.87	1781.89	1066.48	733.19	708.18	909.17	1674.06	1540.37	995.0	2104.58	1008.9	679.29	1183.45	743.43	981.29	1259.69	2004.85	1088.92	1508.65	1359.57	1662.49	884.29	1233.75	1199.98	1143.1	1388.16	1583.71	1697.45	1950.0	1857.6	1551.09	1001.93	902.89	1183.45	1233.75	1242.34	1540.37	1457.23	1073.91	941.27	954.43	1023.0	1250.98	1059.11	1037.29	612.11
CEBPA	8.92	6.84	52.82	58.71	8.06	2.94	6.16	6.62	21.16	10.39	11.64	76.71	19.25	22.75	3.03	20.56	52.82	11.3	54.33	26.28	29.91	5.19	63.89	4.78	5.11	105.89	13.62	82.29	21.16	37.05	40.93	39.5	28.86	35.25	12.0	27.25	13.32	34.75	87.03	21.94	36.53	63.45	41.52	37.05	34.51	49.21	9.2	30.12	6.57	51.71	16.51	15.68	31.67	104.42	90.14	26.28	15.34	16.75	18.7	12.36	20.41	4.78	20.56	73.03	17.77	149.12	75.64	21.32	77.79	44.89	17.25	37.85	77.79	29.27	55.49	8.85	54.33	36.27	55.89	15.11	50.63	36.01	40.36	46.18	24.28	15.0	10.16	10.96	56.68	60.39	12.55	46.5	54.72	94.01	42.11	13.42	6.89	6.78	29.7	79.45	77.79	27.64	92.7	21.01	17.9	12.27	23.59	56.28	20.11	60.39	29.27	100.13	38.67	85.22	24.11	27.44	21.78	20.71	86.43	100.83	82.87	39.5	185.11	28.04	44.57	10.55	6.73	13.83	26.28	7.69	7.28	34.51	34.75	25.91	5.02	4.46	6.62	6.36	15.68
COQ4	493.56	647.07	450.94	518.15	486.75	660.68	483.38	633.73	1304.15	1350.18	1697.45	2434.5	1745.2	1519.15	1135.2	1709.26	1950.0	974.5	1870.53	1369.04	2075.59	1540.37	1709.26	1963.57	1015.93	1733.13	1216.75	1572.76	1844.76	1870.53	1583.71	1498.22	1639.59	2004.85	1104.13	2209.26	1697.45	1662.49	2319.15	1477.58	1617.0	1977.24	1950.0	1685.71	1806.78	2193.99	995.0	2032.85	1417.35	1977.24	1594.73	1437.15	1498.22	1870.53	2104.58	2319.15	1407.55	1427.22	1844.76	1977.24	1617.0	1081.39	1277.29	1936.53	2193.99	1963.57	2451.44	1159.07	1674.06	2739.08	1051.79	1844.76	1806.78	1977.24	1883.54	1685.71	1857.6	1819.35	1963.57	2591.27	1721.16	1781.89	1844.76	1733.13	1001.93	2018.8	1369.04	1662.49	2209.26	2090.03	1208.34	1870.53	2335.28	2148.82	1963.57	1923.14	1051.79	1059.11	1073.91	2178.83	1757.34	1628.26	2591.27	2032.85	1277.29	2209.26	1066.48	1572.76	1295.13	2468.49	1313.23	1844.76	1721.16	2163.77	1487.87	2895.31	1733.13	1896.65	1605.83	2193.99	2209.26	2148.82	1923.14	2032.85	1417.35	1561.89	1457.23	1745.2	1427.22	1781.89	1447.15	1268.46	1111.82	1081.39	1685.71	1651.0	1151.06	1268.46	1073.91
CORT	2.39	7.69	4.39	7.28	15.22	0.78	6.16	0.0	4.5	6.06	4.78	19.97	11.91	12.74	2.78	5.11	20.26	6.11	16.27	6.94	16.63	3.41	4.5	19.97	2.78	16.51	3.14	9.63	6.26	11.3	3.72	9.06	11.64	15.68	9.7	16.15	12.74	8.92	27.44	5.54	8.65	10.63	10.63	10.79	7.46	14.45	5.06	12.83	9.27	10.16	10.71	9.93	4.13	9.56	13.83	25.17	7.57	7.82	5.54	7.82	10.63	0.0	7.28	13.72	28.86	27.84	14.03	2.71	8.71	12.64	3.14	8.19	8.25	15.56	18.84	14.67	18.03	7.63	14.14	18.97	16.63	32.36	20.56	6.06	5.82	4.82	12.0	11.21	12.83	25.91	7.11	7.22	11.73	12.55	16.51	3.82	4.7	4.06	1.48	11.13	15.11	10.16	20.11	11.73	2.81	13.22	2.39	3.2	3.89	30.78	8.51	23.42	7.22	6.36	3.92	19.82	4.03	19.68	8.92	31.9	31.67	28.04	38.12	15.8	10.0	5.28	9.78	13.93	6.16	14.56	9.7	10.79	0.0	8.38	3.96	3.44	8.45	10.71	6.11
COX5B	1991.0	2777.33	3614.55	2915.45	2240.11	1277.29	2384.37	2351.53	3467.27	3614.55	3564.78	8718.32	4607.24	5555.65	2609.3	4481.23	5995.9	3124.78	4937.99	2627.46	6887.62	4903.87	6561.36	4388.98	2645.74	6381.92	3349.13	6337.83	6294.04	4802.93	7382.04	3589.58	3665.02	9215.48	3081.75	5995.9	4543.8	5441.3	5672.41	4152.18	4328.55	6607.01	6840.04	6207.38	5872.48	4937.99	3124.78	5366.37	3146.52	9606.86	5479.15	3874.05	4736.79	7382.04	7537.18	6699.25	5441.3	4239.45	4671.57	5479.15	4239.45	5255.91	4123.49	6887.62	7280.4	10440.2	10296.45	4181.07	6079.61	8305.36	2645.74	9279.58	4836.35	6745.86	4450.27	3874.05	11345.82	4639.29	6652.97	6887.62	5872.48	6652.97	4972.34	4066.71	3665.02	3690.52	4152.18	4210.15	6164.49	5366.37	2777.33	4671.57	5594.3	6079.61	7485.11	5403.7	3257.52	3540.14	3018.3	8363.13	5255.91	3124.78	8963.45	4937.99	3257.52	6337.83	3515.68	4481.23	3540.14	8538.88	5076.84	6745.86	4869.99	6207.38	3820.7	4607.24	4671.57	7485.11	6426.31	7331.05	8538.88	6516.03	7382.04	7032.37	5292.48	3742.05	4481.23	5183.54	5183.54	5555.65	4704.07	4181.07	4450.27	3982.99	5076.84	6079.61	3982.99	3325.99	3146.52
CTU1	19.25	13.83	12.64	20.86	10.16	8.19	11.64	20.71	34.75	66.18	42.11	170.25	41.81	67.12	34.75	52.82	76.71	42.71	81.14	39.79	88.88	52.45	76.71	65.72	33.06	66.18	43.32	63.0	60.82	90.14	114.36	51.71	72.01	113.56	44.57	88.88	25.54	82.87	127.89	54.72	63.89	85.82	126.12	54.72	80.01	80.01	27.25	57.89	45.85	115.97	84.63	46.84	74.06	108.14	104.42	78.34	65.72	53.95	63.0	70.01	45.85	43.02	53.57	162.14	100.13	151.22	144.01	47.84	76.71	76.17	39.79	88.26	57.49	73.03	72.01	72.01	99.43	88.26	130.6	67.12	91.41	76.71	125.24	69.03	50.63	42.71	44.89	48.18	86.43	164.42	38.12	67.12	158.79	94.01	96.68	67.59	32.36	44.57	52.08	146.03	98.04	57.89	145.02	57.89	28.04	77.79	33.78	67.59	58.71	109.66	66.65	100.13	89.51	96.01	64.8	82.87	53.95	76.71	107.38	139.07	111.99	99.43	150.17	108.9	38.67	36.79	32.59	28.04	34.26	55.1	26.67	38.67	42.41	35.5	34.02	46.84	37.32	23.93	35.25
DDX54	723.08	587.13	332.14	656.11	336.79	236.21	708.18	785.88	1015.93	1096.5	1143.1	2417.67	1216.75	1519.15	947.83	1331.57	1583.71	928.3	1923.14	974.5	2255.7	1119.56	1378.57	1639.59	967.76	1417.35	1001.93	1313.23	1551.09	1628.26	1477.58	1135.2	1467.37	2240.11	1081.39	1883.54	813.63	1674.06	2004.85	854.13	1295.13	1857.6	2133.97	1359.57	1529.73	1487.87	921.88	1467.37	866.07	2835.7	1583.71	1111.82	1259.69	1437.15	1769.57	1561.89	1167.14	1359.57	1313.23	1216.75	1111.82	954.43	1081.39	1963.57	2209.26	1923.14	2591.27	954.43	1685.71	1794.29	866.07	2520.38	1674.06	1909.85	1417.35	1277.29	1183.45	1583.71	3235.01	1844.76	1745.2	1447.15	2075.59	1268.46	1073.91	1199.98	961.07	1167.14	1844.76	1806.78	947.83	1709.26	1639.59	1617.0	1769.57	1066.48	860.08	854.13	825.0	2090.03	1896.65	1259.69	2835.7	1037.29	1023.0	1617.0	915.51	1143.1	1208.34	2075.59	1350.18	2193.99	1331.57	1733.13	1073.91	1697.45	1417.35	1127.35	1639.59	2287.2	1757.34	1769.57	2271.4	1977.24	769.69	728.11	785.88	1104.13	902.89	1313.23	947.83	947.83	1111.82	1037.29	974.5	1119.56	866.07	866.07	599.49
DNLZ	125.24	112.77	249.73	153.34	80.01	127.0	130.6	193.01	246.28	248.0	325.29	525.39	336.79	656.11	153.34	275.28	368.65	536.45	616.37	214.27	466.88	480.04	336.79	406.31	150.17	267.73	239.52	312.0	483.38	343.89	239.52	221.86	314.17	559.28	180.02	934.76	283.05	316.37	511.0	381.68	307.69	420.68	493.56	351.14	435.55	460.44	234.57	295.11	389.72	420.68	363.56	211.31	409.15	299.25	376.41	289.02	314.17	348.71	409.15	351.14	198.47	289.02	246.28	473.41	540.19	426.57	872.1	170.25	291.04	348.71	206.94	656.11	444.72	503.95	379.04	271.48	674.59	361.04	620.67	503.95	379.04	392.44	457.25	371.22	246.28	358.54	211.31	258.57	423.61	341.51	244.57	376.41	397.93	329.84	381.68	320.8	332.14	185.11	291.04	379.04	293.07	551.56	1322.37	348.71	232.94	379.04	185.11	232.94	163.28	1233.75	318.57	1096.5	412.0	397.93	242.88	808.0	389.72	633.73	669.92	379.04	624.99	373.81	555.41	373.81	265.87	182.55	241.19	211.31	353.59	486.75	297.17	212.78	197.09	265.87	291.04	332.14	236.21	262.2	176.29
DOHH	76.17	36.53	45.85	102.25	22.26	17.64	90.77	100.13	193.01	147.06	368.65	417.77	285.03	320.8	136.19	387.02	316.37	115.97	343.89	204.07	480.04	249.73	373.81	368.65	92.05	348.71	279.14	239.52	429.54	363.56	309.83	258.57	275.28	525.39	165.57	384.34	232.94	348.71	376.41	323.03	271.48	341.51	438.59	351.14	400.71	336.79	132.44	320.8	144.01	373.81	220.32	204.07	395.18	389.72	295.11	314.17	279.14	283.05	348.71	208.38	180.02	158.79	171.45	438.59	397.93	450.94	543.96	191.67	376.41	332.14	138.1	353.59	381.68	536.45	371.22	253.23	305.55	301.33	435.55	395.18	323.03	381.68	361.04	285.03	253.23	186.4	182.55	242.88	397.93	366.09	242.88	309.83	299.25	403.5	384.34	167.9	102.97	149.12	226.54	435.55	379.04	251.48	529.06	234.57	185.11	231.32	143.01	336.79	285.03	444.72	303.44	387.02	267.73	406.31	166.73	339.14	242.88	351.14	417.77	420.68	353.59	358.54	343.89	358.54	181.28	146.03	127.89	277.2	175.07	368.65	180.02	231.32	195.72	264.03	162.14	215.77	194.36	198.47	165.57
DPM2	1242.34	647.07	490.14	406.31	728.11	356.05	540.19	748.61	1191.69	1143.1	1331.57	2090.03	1051.79	1233.75	1183.45	1268.46	1551.09	748.61	1331.57	1044.52	2090.03	1605.83	1540.37	1806.78	665.29	1350.18	872.1	1127.35	1551.09	1397.83	1242.34	1175.27	1477.58	1745.2	860.08	2148.82	1295.13	1594.73	2224.63	1685.71	1605.83	1628.26	1477.58	1551.09	1073.91	1191.69	896.64	1427.22	1331.57	1617.0	1540.37	1088.92	1268.46	1437.15	1551.09	1628.26	941.27	1250.98	1225.22	1277.29	1697.45	1023.0	1127.35	1896.65	2004.85	2468.49	1721.16	848.22	1143.1	2104.58	785.88	1697.45	1594.73	1674.06	1508.65	1135.2	1322.37	1721.16	1617.0	1605.83	1477.58	1551.09	1721.16	1605.83	1073.91	1183.45	1304.15	1233.75	1572.76	1286.18	941.27	1167.14	1757.34	2133.97	1397.83	1242.34	902.89	902.89	1030.12	1628.26	1331.57	1030.12	2451.44	1313.23	854.13	1540.37	738.29	1369.04	1208.34	2163.77	1159.07	1519.15	1896.65	1936.53	1295.13	1870.53	1378.57	1457.23	1199.98	1313.23	1561.89	1662.49	1561.89	1331.57	890.44	1127.35	1304.15	1359.57	1023.0	1477.58	1397.83	981.29	1023.0	866.07	1498.22	1583.71	941.27	928.3	1044.52
E4F1	119.26	115.97	87.65	140.04	71.0	63.45	94.67	209.84	420.68	323.03	507.46	559.28	497.0	447.82	323.03	457.25	518.15	264.03	679.29	529.06	830.75	536.45	599.49	536.45	191.67	647.07	438.59	497.0	813.63	529.06	567.1	536.45	490.14	854.13	343.89	684.02	642.59	703.28	1159.07	647.07	559.28	612.11	830.75	490.14	624.99	629.35	285.03	497.0	417.77	854.13	368.65	579.04	559.28	780.44	723.08	728.11	514.56	493.56	507.46	607.87	490.14	332.14	336.79	753.83	825.0	660.68	785.88	432.53	651.58	532.74	336.79	836.53	651.58	620.67	860.08	536.45	698.41	563.18	603.67	738.29	567.1	836.53	830.75	470.14	423.61	299.25	532.74	444.72	543.96	825.0	432.53	591.22	954.43	693.58	607.87	339.14	237.86	269.6	409.15	764.36	802.41	500.46	830.75	583.07	277.2	403.5	228.13	470.14	563.18	802.41	567.1	802.41	769.69	547.75	432.53	780.44	447.82	591.22	571.05	738.29	684.02	759.08	1030.12	620.67	503.95	435.55	463.65	679.29	483.38	486.75	466.88	429.54	447.82	389.72	493.56	381.68	420.68	414.87	273.37
ENDOG	141.02	121.79	130.6	108.9	100.13	24.99	105.89	142.01	358.54	379.04	400.71	1104.13	490.14	429.54	189.02	543.96	718.08	217.27	647.07	346.29	1143.1	660.68	497.0	571.05	201.25	540.19	334.46	466.88	713.11	341.51	480.04	195.72	376.41	540.19	281.09	669.92	329.84	647.07	915.51	500.46	629.35	599.49	599.49	624.99	698.41	414.87	178.77	438.59	194.36	559.28	480.04	381.68	412.0	660.68	521.76	555.41	476.71	397.93	473.41	607.87	563.18	420.68	563.18	748.61	743.43	780.44	785.88	220.32	575.03	748.61	189.02	651.58	336.79	796.86	842.36	412.0	669.92	343.89	470.14	819.3	426.57	476.71	420.68	688.78	486.75	414.87	403.5	529.06	612.11	607.87	323.03	400.71	387.02	665.29	713.11	368.65	173.85	358.54	376.41	769.69	518.15	373.81	708.18	303.44	312.0	595.34	178.77	684.02	289.02	890.44	320.8	450.94	409.15	591.22	412.0	603.67	775.05	660.68	703.28	708.18	460.44	563.18	536.45	559.28	432.53	460.44	511.0	395.18	476.71	802.41	356.05	529.06	373.81	460.44	265.87	503.95	412.0	366.09	371.22
FAAH	89.51	279.14	130.6	198.47	162.14	75.64	193.01	339.14	2104.58	3443.31	3874.05	5441.3	2193.99	2720.15	2104.58	2555.58	4181.07	1757.34	4543.8	1870.53	4543.8	2485.67	4298.64	5954.47	1477.58	3168.41	2855.44	2956.17	5006.93	4152.18	3639.7	3190.46	1697.45	4607.24	1896.65	4210.15	3146.52	4298.64	7911.95	2935.74	6471.02	4450.27	4972.34	4328.55	3982.99	5403.7	2502.97	1844.76	1457.23	5219.6	4095.0	3257.52	4671.57	4937.99	3639.7	7485.11	2855.44	2417.67	5366.37	3491.39	3372.43	2032.85	3820.7	4450.27	7695.57	6207.38	3124.78	2224.63	4736.79	7081.29	2777.33	5219.6	5006.93	2816.11	2451.44	5403.7	4836.35	3280.18	2075.59	3589.58	3564.78	3874.05	5292.48	1651.0	1883.54	2255.7	2417.67	2400.97	6607.01	6426.31	1487.87	3589.58	5183.54	4512.4	3190.46	3325.99	1015.93	2701.35	2178.83	6207.38	6561.36	3190.46	7695.57	3303.0	1467.37	3515.68	2090.03	2976.74	2682.69	6607.01	3060.45	5329.3	2701.35	5329.3	5041.77	5831.91	4769.75	1674.06	3928.15	5183.54	7032.37	6471.02	8078.22	4575.41	2555.58	4736.79	4704.07	3372.43	2627.46	2720.15	5555.65	3515.68	3257.52	1233.75	3716.2	4671.57	1397.83	1561.89	2004.85
FAM173A	197.09	170.25	149.12	111.21	55.1	32.13	228.13	214.27	379.04	454.09	503.95	1015.93	555.41	579.04	197.09	703.28	733.19	323.03	607.87	466.88	825.0	738.29	738.29	616.37	267.73	579.04	426.57	620.67	819.3	607.87	693.58	432.53	532.74	1111.82	325.29	866.07	555.41	723.08	878.17	688.78	633.73	703.28	775.05	785.88	607.87	616.37	264.03	785.88	368.65	708.18	624.99	480.04	551.56	860.08	848.22	808.0	493.56	718.08	733.19	616.37	454.09	285.03	397.93	1044.52	947.83	1066.48	1259.69	384.34	660.68	915.51	323.03	1111.82	679.29	813.63	713.11	555.41	708.18	775.05	878.17	1030.12	521.76	764.36	718.08	567.1	395.18	441.64	466.88	457.25	791.35	748.61	341.51	656.11	307.69	860.08	642.59	599.49	212.78	260.38	348.71	872.1	703.28	435.55	1199.98	438.59	358.54	796.86	329.84	559.28	366.09	1216.75	708.18	1044.52	915.51	848.22	353.59	836.53	656.11	974.5	780.44	961.07	1096.5	728.11	947.83	780.44	603.67	400.71	616.37	679.29	463.65	728.11	486.75	470.14	525.39	384.34	376.41	780.44	384.34	318.57	297.17
FAM195A	159.9	117.6	139.07	140.04	69.03	67.12	150.17	217.27	555.41	703.28	753.83	1909.85	571.05	679.29	371.22	674.59	974.5	450.94	941.27	674.59	2271.4	1008.9	902.89	961.07	358.54	842.36	547.75	896.64	1498.22	921.88	1104.13	450.94	1015.93	1819.35	521.76	1233.75	718.08	1066.48	2816.11	921.88	988.12	1030.12	1350.18	796.86	713.11	848.22	332.14	1088.92	753.83	1583.71	1233.75	647.07	854.13	1583.71	1250.98	1457.23	1216.75	780.44	819.3	1225.22	941.27	713.11	651.58	1286.18	2976.74	1709.26	2271.4	575.03	723.08	2224.63	441.64	1651.0	981.29	1088.92	1015.93	764.36	1757.34	954.43	1051.79	1427.22	728.11	1508.65	1628.26	1066.48	511.0	612.11	872.1	728.11	1519.15	1268.46	507.46	759.08	414.87	1183.45	1397.83	1322.37	412.0	332.14	389.72	1359.57	1159.07	629.35	2163.77	896.64	575.03	1183.45	483.38	896.64	1088.92	1857.6	819.3	995.0	1674.06	1073.91	693.58	1447.15	915.51	1331.57	796.86	1350.18	1819.35	1685.71	1745.2	1066.48	583.07	376.41	896.64	638.15	684.02	915.51	656.11	460.44	624.99	500.46	603.67	1167.14	409.15	423.61	314.17
