	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
RNF207	105.89	186.4	299.25	33.78	156.59	190.34	82.87	70.51	486.75	60.82	253.23	161.02	17.9	50.98	612.11	258.57	27.44	44.57	104.42	35.76	35.5	83.45	13.93	642.59	94.67	27.25	113.56	111.99	31.0	387.02	182.55	104.42	98.73	69.03	44.89	40.07	127.0	176.29	122.64	139.07	251.48	211.31	231.32	339.14	587.13	35.5	265.87	291.04	1268.46	22.75	50.63	20.41	32.36	12.0	43.63	30.12	37.32	59.55	105.89	17.13	11.13	154.42	73.03	15.22	33.06	660.68	129.69	514.56	215.77	483.38	603.67	466.88	98.73	368.65	291.04	441.64	101.54	412.0	420.68	723.08	303.44	432.53	363.56
RP11-192H23.4	15.22	16.39	52.82	7.11	27.05	33.54	9.48	17.13	73.03	8.32	38.95	23.42	7.0	12.83	33.78	61.25	4.7	27.64	18.16	6.94	18.29	6.01	6.78	77.25	28.86	10.96	21.47	15.91	9.85	49.56	49.56	10.16	18.16	18.84	28.24	14.24	11.3	21.32	25.54	26.67	29.7	28.45	37.59	30.56	47.84	27.05	19.11	26.47	305.55	23.42	16.03	8.92	19.53	16.51	16.88	18.84	48.52	22.26	21.63	14.56	12.74	27.64	20.11	20.41	26.47	64.34	15.91	96.01	32.36	88.26	77.79	56.28	22.1	26.1	60.82	53.57	13.93	37.59	77.79	94.01	19.53	100.13	63.0
RP11-444E17.6	0.78	0.43	0.73	0.44	0.78	1.08	0.0	0.88	2.41	0.93	1.46	2.25	0.41	0.77	2.76	1.6	1.95	1.57	0.0	0.45	0.37	1.99	0.0	5.06	0.82	1.48	2.73	1.66	0.0	1.85	0.75	1.27	1.31	0.8	0.75	0.41	0.43	3.76	1.71	0.67	1.5	1.28	2.07	3.5	4.9	1.75	1.17	1.16	2.68	0.87	0.0	0.0	0.46	0.54	0.92	0.48	0.47	0.0	0.54	0.53	0.54	0.89	1.31	0.99	0.56	6.84	0.43	3.44	1.81	6.94	4.78	2.36	1.31	2.61	15.0	0.78	0.71	0.82	2.97	3.76	0.87	0.85	4.35
RP11-5A19.5	30.56	54.33	63.0	7.57	41.81	48.52	6.06	17.64	127.0	5.82	76.71	56.28	16.03	33.3	171.45	119.26	0.0	22.92	12.45	6.89	4.35	7.69	2.43	87.03	53.19	26.86	11.3	15.91	4.28	73.03	45.53	51.71	34.26	31.45	11.82	0.0	5.68	82.87	105.89	52.82	156.59	63.0	140.04	75.11	142.01	28.45	0.0	126.12	325.29	0.0	8.99	10.31	11.38	0.0	8.99	6.67	49.56	16.88	37.59	14.56	4.54	15.91	18.56	2.81	15.91	620.67	36.01	99.43	33.54	135.24	148.09	141.02	22.75	85.22	94.67	49.56	101.54	44.25	148.09	137.14	28.86	121.79	44.57
RP11-793H13.10	29.91	52.82	31.45	12.36	44.89	66.65	9.85	24.81	79.45	12.45	98.04	35.76	8.06	32.36	84.63	111.21	0.0	30.34	38.67	12.18	14.35	12.0	10.0	91.41	18.84	11.55	50.27	39.5	23.93	100.83	21.94	28.45	32.59	38.95	5.11	15.68	28.86	102.25	43.32	50.98	83.45	135.24	114.36	102.25	141.02	96.68	24.46	91.41	119.26	11.3	19.97	2.94	8.13	0.0	22.1	11.55	25.91	13.03	49.56	11.64	6.46	42.41	24.99	2.1	5.59	194.36	47.84	110.43	73.03	119.26	136.19	134.3	50.98	46.5	97.36	41.22	26.67	53.19	75.64	140.04	28.65	145.02	32.82
RP11-87C12.2	9.7	7.28	9.85	2.2	0.0	17.13	2.58	6.21	10.16	2.43	6.31	6.52	3.2	0.85	12.36	12.93	3.26	2.46	0.0	1.41	7.22	0.0	1.31	7.4	1.73	4.21	15.22	7.94	11.82	7.94	0.85	3.47	5.77	4.86	0.0	4.78	7.94	15.11	9.93	10.0	35.5	4.94	48.87	6.41	14.14	9.56	0.0	20.41	19.25	0.0	3.26	1.64	0.0	0.78	0.74	1.19	15.8	6.78	10.63	1.77	3.79	3.0	7.06	0.0	0.0	57.49	0.0	14.67	10.08	44.89	27.05	36.27	9.85	10.16	19.97	4.86	7.63	7.4	25.54	36.27	5.77	11.47	10.55
RP13-996F3.5	1.19	3.03	2.94	0.0	2.84	5.19	0.93	0.99	0.82	0.57	0.85	4.31	1.68	1.62	5.77	9.06	0.0	5.23	0.0	0.99	0.0	2.94	0.0	4.94	6.21	4.62	0.91	1.36	0.52	9.48	8.32	4.35	2.78	0.91	0.47	2.1	0.95	7.34	4.24	6.89	14.35	5.82	9.56	9.41	16.51	3.69	0.0	7.11	20.41	0.0	1.87	1.27	0.0	0.83	0.8	0.0	5.68	1.79	1.89	2.39	0.84	4.54	0.0	0.0	3.59	6.57	0.0	13.32	11.73	24.46	5.23	8.45	2.1	7.17	14.03	10.79	7.28	8.58	12.18	12.09	2.48	7.06	9.63
RP4-583P15.15	32.59	58.3	51.35	24.99	69.52	98.73	4.54	37.59	115.16	13.12	112.77	81.14	22.43	39.79	100.83	93.35	3.11	23.93	24.28	19.11	5.23	5.68	9.78	150.17	31.45	29.06	27.25	55.49	23.25	80.57	102.25	43.63	28.86	29.06	9.06	7.17	29.06	17.51	35.25	85.22	255.0	38.95	86.43	154.42	134.3	69.03	59.55	150.17	215.77	7.11	20.11	6.52	7.63	7.57	14.56	11.13	52.45	7.17	25.54	10.88	4.78	23.93	27.44	3.76	23.25	176.29	14.67	140.04	56.68	163.28	199.85	126.12	31.9	41.52	94.01	43.63	106.63	53.19	68.07	51.35	62.56	77.79	152.28
RTEL1-TNFRSF6B	55.1	102.25	54.72	34.26	74.06	119.26	12.74	24.63	145.02	16.75	120.94	71.5	15.68	66.18	146.03	124.37	18.84	42.11	57.89	19.97	13.12	20.56	14.89	187.71	37.85	40.07	40.36	87.65	17.0	127.89	135.24	50.27	47.17	36.01	14.67	15.91	21.16	86.43	66.18	208.38	258.57	111.21	205.5	312.0	249.73	226.54	244.57	120.94	470.14	26.86	24.99	27.44	15.34	14.67	20.71	19.11	92.7	34.51	49.91	18.03	13.83	45.85	39.5	12.18	19.68	199.85	32.82	316.37	116.78	237.86	483.38	161.02	57.08	101.54	120.94	105.15	120.94	119.26	299.25	373.81	81.71	131.51	170.25
RXRB	497.0	665.29	629.35	647.07	769.69	842.36	507.46	587.13	934.76	665.29	941.27	583.07	633.73	612.11	1066.48	878.17	603.67	708.18	620.67	547.75	316.37	591.22	603.67	1427.22	616.37	607.87	620.67	693.58	507.46	1015.93	785.88	376.41	642.59	642.59	529.06	620.67	547.75	780.44	941.27	1081.39	1191.69	878.17	703.28	902.89	1191.69	819.3	463.65	961.07	947.83	470.14	493.56	387.02	441.64	303.44	414.87	665.29	830.75	698.41	679.29	679.29	651.58	563.18	514.56	341.51	665.29	1388.16	733.19	1104.13	854.13	836.53	1417.35	848.22	688.78	836.53	967.76	703.28	967.76	607.87	591.22	629.35	808.0	1233.75	860.08
SAFB2	1159.07	796.86	1340.84	587.13	1151.06	1023.0	656.11	890.44	1572.76	518.15	1498.22	759.08	616.37	603.67	1427.22	1331.57	500.46	693.58	743.43	493.56	497.0	559.28	521.76	1167.14	432.53	738.29	679.29	764.36	638.15	1167.14	1151.06	866.07	808.0	708.18	444.72	620.67	647.07	507.46	1259.69	1111.82	1447.15	896.64	854.13	1340.84	1286.18	1175.27	718.08	1388.16	1359.57	547.75	679.29	463.65	435.55	299.25	591.22	547.75	753.83	890.44	454.09	454.09	511.0	660.68	638.15	414.87	591.22	1977.24	503.95	1259.69	1159.07	1896.65	1457.23	1617.0	583.07	780.44	1242.34	764.36	825.0	660.68	802.41	928.3	896.64	1721.16	1059.11
SAP25	74.06	34.02	59.13	0.0	42.41	121.79	13.42	38.67	178.77	14.14	223.41	44.57	7.88	33.78	118.43	211.31	0.0	35.0	10.24	7.94	5.19	26.47	3.56	187.71	63.45	0.0	46.5	61.25	40.64	123.5	69.03	8.58	22.43	33.06	2.56	4.74	49.56	16.27	78.34	75.11	232.94	43.94	126.12	167.9	2468.49	135.24	153.34	66.65	191.67	0.91	12.36	6.89	0.0	7.51	26.47	3.41	25.91	0.0	62.56	2.07	0.0	74.06	44.57	9.78	25.35	332.14	80.57	551.56	273.37	493.56	466.88	275.28	49.91	65.72	277.2	92.05	35.5	23.25	19.68	83.45	114.36	244.57	209.84
SAPCD1	32.36	42.71	86.43	27.64	35.76	99.43	20.86	12.83	71.5	9.78	77.79	22.43	18.03	4.54	66.18	87.03	0.0	9.56	39.22	13.72	8.32	17.51	7.69	218.79	22.1	7.57	53.95	27.25	19.11	59.55	53.57	8.06	16.51	20.11	11.64	9.56	27.64	159.9	49.91	136.19	170.25	26.67	180.02	144.01	470.14	62.56	9.93	137.14	299.25	2.2	5.02	2.27	6.41	3.5	1.83	2.73	45.85	10.47	23.59	13.03	22.59	34.51	25.17	3.0	11.13	688.78	57.49	167.9	94.67	285.03	289.02	95.34	16.03	19.39	166.73	36.27	61.25	34.02	80.57	36.53	9.48	37.85	135.24
SEC31B	80.57	48.18	58.3	28.04	86.43	98.04	31.45	38.95	244.57	23.59	165.57	42.71	15.0	25.35	255.0	198.47	15.68	22.1	20.56	20.86	11.47	25.54	4.58	156.59	68.07	14.89	72.52	85.82	19.68	194.36	91.41	80.57	53.19	53.57	7.75	15.56	61.25	121.79	47.17	96.68	329.84	145.02	248.0	145.02	269.6	122.64	31.0	228.13	323.03	5.87	28.24	3.03	7.88	3.29	8.71	7.0	49.21	12.83	63.45	14.03	11.55	22.43	43.94	5.54	18.16	450.94	38.4	309.83	130.6	277.2	256.78	351.14	80.57	116.78	218.79	93.35	76.71	50.98	103.69	161.02	68.07	293.07	82.29
SELO	460.44	532.74	624.99	226.54	583.07	802.41	171.45	253.23	575.03	112.77	738.29	387.02	246.28	264.03	753.83	684.02	255.0	389.72	299.25	285.03	289.02	279.14	236.21	444.72	198.47	143.01	279.14	389.72	158.79	660.68	612.11	255.0	316.37	363.56	327.56	215.77	236.21	412.0	536.45	540.19	607.87	400.71	571.05	358.54	447.82	603.67	320.8	579.04	629.35	490.14	507.46	638.15	583.07	559.28	289.02	547.75	555.41	368.65	444.72	287.01	764.36	490.14	466.88	256.78	447.82	638.15	303.44	514.56	567.1	775.05	693.58	780.44	447.82	612.11	759.08	281.09	463.65	368.65	497.0	543.96	559.28	571.05	532.74
SGK494	13.83	48.52	110.43	13.32	87.03	133.36	36.01	53.19	145.02	33.54	80.01	70.01	17.64	74.06	128.79	144.01	6.36	138.1	46.84	22.43	26.28	18.29	14.56	218.79	92.7	28.65	39.22	47.5	25.72	117.6	87.65	32.59	54.33	85.82	62.56	51.71	44.89	53.95	41.81	96.68	75.11	120.94	157.68	96.68	183.82	75.11	55.89	106.63	497.0	12.36	18.43	10.88	10.08	22.59	32.36	28.04	70.01	31.22	17.77	14.89	17.64	45.85	88.26	22.1	23.25	291.04	123.5	312.0	76.71	208.38	229.72	186.4	73.03	92.05	161.02	133.36	62.56	87.65	226.54	251.48	46.18	105.15	154.42
SGSM3	921.88	1313.23	1950.0	503.95	1175.27	1745.2	674.59	878.17	1697.45	928.3	2148.82	872.1	435.55	1001.93	2935.74	1721.16	769.69	738.29	825.0	825.0	679.29	974.5	587.13	1242.34	1295.13	493.56	890.44	928.3	525.39	2178.83	4123.49	607.87	1175.27	860.08	967.76	591.22	688.78	1286.18	1378.57	2255.7	1407.55	1159.07	1457.23	854.13	2520.38	1066.48	825.0	1350.18	1407.55	728.11	1111.82	813.63	785.88	825.0	708.18	1037.29	1350.18	1199.98	1844.76	1350.18	1508.65	1183.45	909.17	483.38	878.17	1551.09	872.1	2018.8	1844.76	2255.7	1844.76	2090.03	842.36	1388.16	2061.24	1183.45	995.0	1286.18	1397.83	1639.59	1295.13	1769.57	1388.16
SKIV2L	1304.15	1008.9	1066.48	633.73	1044.52	1159.07	529.06	884.29	1572.76	616.37	1313.23	669.92	866.07	854.13	1322.37	1051.79	674.59	733.19	723.08	599.49	476.71	764.36	473.41	2119.22	928.3	848.22	1023.0	836.53	595.34	1199.98	1572.76	669.92	620.67	909.17	633.73	878.17	595.34	642.59	759.08	961.07	1628.26	836.53	1242.34	1199.98	1561.89	1135.2	759.08	1111.82	1662.49	624.99	638.15	981.29	974.5	579.04	728.11	902.89	1697.45	1857.6	967.76	1044.52	813.63	1044.52	599.49	733.19	921.88	1870.53	1066.48	1639.59	1286.18	1936.53	2591.27	1457.23	947.83	1175.27	1628.26	1208.34	1088.92	583.07	947.83	866.07	1104.13	1191.69	1697.45
SLC23A3	36.53	72.52	131.51	2.25	25.72	49.91	8.51	15.22	37.85	10.0	48.52	30.78	6.46	19.39	42.41	45.21	0.0	11.73	6.16	11.64	3.96	17.64	10.31	32.59	13.62	6.62	17.25	11.55	13.83	53.95	11.91	29.27	17.0	17.9	1.66	6.52	8.58	24.28	27.25	23.93	100.83	13.12	39.5	32.82	40.36	12.0	34.75	31.0	346.29	2.58	7.88	4.5	7.11	2.39	5.54	4.46	45.53	4.17	9.56	3.89	3.44	14.45	36.79	6.94	18.7	1651.0	31.22	116.78	45.53	260.38	165.57	150.17	34.26	64.8	31.0	31.9	30.34	16.39	42.71	39.22	36.01	67.12	63.0
SLC26A10	107.38	87.03	130.6	64.8	38.67	74.06	17.25	18.7	71.5	12.55	72.01	38.67	12.55	16.51	80.57	114.36	112.77	22.92	19.82	18.29	0.59	13.03	7.94	85.82	50.27	14.14	49.91	115.97	26.86	59.97	65.26	33.3	42.11	20.41	8.13	12.74	19.53	180.02	136.19	336.79	343.89	429.54	173.85	98.73	199.85	199.85	79.45	147.06	444.72	11.64	36.01	10.63	7.06	12.64	6.73	15.34	68.55	16.03	82.87	29.06	2.76	37.32	43.32	10.55	2.86	320.8	53.95	126.12	100.83	134.3	96.01	212.78	50.98	90.77	116.78	62.56	106.63	113.56	57.08	143.01	65.72	68.07	208.38
SLC9A5	19.25	7.34	21.78	3.96	17.0	47.5	20.26	12.45	24.81	8.99	17.51	23.25	5.63	24.46	38.95	33.54	10.47	8.06	15.68	5.45	6.67	6.62	14.14	26.47	33.3	5.41	16.75	21.32	5.92	31.67	21.32	35.25	18.16	25.91	9.85	4.5	12.64	46.5	18.16	60.39	21.32	38.12	42.11	19.53	53.95	21.47	8.99	14.24	20.71	14.14	14.03	14.67	21.94	4.82	6.84	7.06	12.27	19.11	28.65	13.52	8.85	10.63	12.09	8.32	5.06	72.01	21.01	76.17	21.94	134.3	129.69	96.68	14.03	21.01	41.52	17.25	14.03	42.41	28.24	43.63	44.89	43.63	18.43
SNAPC4	115.16	78.34	178.77	77.79	212.78	217.27	87.03	151.22	267.73	45.53	224.97	211.31	136.19	105.15	194.36	189.02	70.51	77.25	155.5	102.25	100.13	85.22	107.38	164.42	95.34	113.56	111.99	127.0	58.3	191.67	171.45	101.54	100.83	114.36	77.79	42.11	63.89	164.42	152.28	211.31	332.14	164.42	153.34	169.07	255.0	170.25	123.5	231.32	318.57	80.57	80.01	44.25	36.01	40.93	101.54	112.77	189.02	100.13	70.51	85.82	79.45	68.07	98.04	43.94	109.66	145.02	85.82	265.87	129.69	208.38	202.66	194.36	106.63	100.13	217.27	121.79	101.54	165.57	172.65	217.27	133.36	163.28	218.79
SPG7	819.3	1295.13	1350.18	698.41	928.3	974.5	507.46	896.64	1111.82	555.41	1143.1	785.88	909.17	571.05	1378.57	1457.23	454.09	575.03	759.08	567.1	463.65	743.43	769.69	1457.23	808.0	575.03	878.17	808.0	599.49	1111.82	941.27	733.19	775.05	909.17	723.08	547.75	688.78	1159.07	928.3	1059.11	1896.65	1037.29	1529.73	1540.37	2255.7	1023.0	921.88	1844.76	2351.53	579.04	708.18	435.55	728.11	303.44	620.67	507.46	1073.91	921.88	791.35	808.0	607.87	684.02	878.17	629.35	486.75	3614.55	769.69	1844.76	1208.34	2520.38	2287.2	1794.29	1073.91	921.88	1617.0	954.43	1250.98	1030.12	1208.34	1662.49	1378.57	1709.26	1159.07
SRRT	1651.0	1662.49	1963.57	928.3	1857.6	2240.11	1191.69	1467.37	2502.97	1081.39	2664.15	1733.13	1594.73	1819.35	3325.99	2148.82	1225.22	1286.18	1397.83	1151.06	1477.58	1233.75	1151.06	2119.22	1487.87	1617.0	1832.01	1487.87	1331.57	2537.92	2193.99	1806.78	1096.5	1457.23	1001.93	1388.16	1477.58	1662.49	1733.13	1977.24	3325.99	1685.71	2417.67	1991.0	1870.53	2434.5	1199.98	3257.52	3190.46	1583.71	915.51	954.43	1191.69	842.36	1191.69	1216.75	1628.26	1191.69	1359.57	1304.15	1208.34	1457.23	1457.23	872.1	1268.46	2816.11	1313.23	2855.44	1662.49	3103.19	2935.74	2976.74	1304.15	1639.59	2451.44	1950.0	1870.53	1268.46	2075.59	1909.85	1977.24	1685.71	2468.49
STK11IP	244.57	423.61	414.87	165.57	412.0	409.15	232.94	281.09	679.29	173.85	583.07	444.72	199.85	343.89	738.29	518.15	312.0	301.33	303.44	195.72	191.67	269.6	190.34	647.07	275.28	312.0	301.33	339.14	172.65	616.37	642.59	384.34	303.44	239.52	305.55	289.02	285.03	305.55	237.86	441.64	830.75	327.56	551.56	567.1	638.15	395.18	351.14	432.53	941.27	339.14	400.71	217.27	242.88	221.86	301.33	341.51	595.34	297.17	305.55	281.09	379.04	327.56	255.0	217.27	314.17	660.68	273.37	616.37	532.74	928.3	836.53	536.45	400.71	536.45	713.11	432.53	366.09	295.11	389.72	412.0	384.34	540.19	493.56
STX16-NPEPL1	9.48	33.3	36.27	12.09	68.07	86.43	9.41	18.7	154.42	15.8	111.21	52.08	16.88	16.75	220.32	148.09	0.0	8.13	29.91	10.88	5.68	11.3	3.23	178.77	88.26	8.19	63.0	30.12	32.59	90.77	76.17	59.55	19.11	18.97	16.63	10.24	18.56	40.07	5.36	78.34	450.94	52.08	119.26	186.4	332.14	115.16	18.29	55.49	314.17	7.63	5.15	8.92	0.0	0.0	13.32	0.0	52.45	2.71	16.63	0.0	8.06	22.1	21.78	0.0	6.62	414.87	34.75	191.67	150.17	130.6	194.36	181.28	26.28	56.68	264.03	77.79	144.01	36.27	70.51	124.37	23.93	150.17	115.97
TAF1C	438.59	575.03	571.05	336.79	620.67	638.15	277.2	389.72	775.05	295.11	698.41	389.72	486.75	376.41	753.83	967.76	267.73	486.75	348.71	232.94	144.01	389.72	318.57	830.75	493.56	237.86	457.25	493.56	202.66	728.11	412.0	289.02	426.57	466.88	417.77	193.01	332.14	780.44	595.34	775.05	1572.76	909.17	1111.82	921.88	1088.92	836.53	400.71	941.27	2119.22	287.01	371.22	320.8	271.48	253.23	320.8	260.38	713.11	289.02	348.71	414.87	332.14	463.65	381.68	361.04	403.5	1896.65	460.44	961.07	723.08	1216.75	1498.22	1096.5	529.06	587.13	1111.82	591.22	902.89	616.37	759.08	1051.79	647.07	1359.57	988.12
TAZ	497.0	567.1	723.08	241.19	403.5	1127.35	228.13	363.56	603.67	301.33	748.61	466.88	279.14	343.89	759.08	748.61	223.41	251.48	384.34	312.0	329.84	271.48	412.0	743.43	373.81	231.32	476.71	457.25	334.46	642.59	738.29	454.09	291.04	297.17	253.23	187.71	332.14	412.0	389.72	693.58	1397.83	633.73	961.07	1030.12	1697.45	669.92	1594.73	1044.52	1572.76	318.57	320.8	420.68	356.05	231.32	297.17	297.17	543.96	258.57	733.19	285.03	289.02	497.0	521.76	264.03	409.15	1199.98	497.0	1304.15	854.13	1437.15	928.3	878.17	563.18	748.61	1081.39	503.95	909.17	389.72	947.83	651.58	532.74	830.75	660.68
TBC1D3B	0.0	18.84	0.0	0.0	12.0	19.11	3.79	1.39	5.32	1.95	5.96	6.16	0.0	7.57	34.02	17.9	0.0	0.0	10.55	6.21	5.19	0.0	1.69	28.65	6.16	1.58	9.93	1.33	2.94	25.17	0.0	3.47	8.0	4.06	0.0	0.0	6.31	1.17	2.66	7.51	14.67	17.38	3.92	0.0	24.28	15.8	0.0	10.79	23.42	0.0	0.0	0.0	0.0	0.0	0.0	1.58	7.57	2.1	2.25	0.0	16.75	3.41	6.62	0.0	9.13	43.02	6.16	70.51	8.58	33.3	21.16	33.78	0.0	8.19	12.74	11.21	12.0	10.0	8.58	11.38	7.28	17.9	0.0
TBC1D3G	40.36	108.14	57.89	16.88	101.54	105.15	35.5	37.05	170.25	13.52	71.5	72.52	54.72	20.56	111.99	214.27	4.28	25.72	34.51	26.86	23.76	10.96	8.45	183.82	55.1	37.59	89.51	62.56	13.62	130.6	109.66	37.32	63.0	17.77	12.74	22.59	22.26	36.79	56.68	93.35	142.01	43.32	68.55	65.26	262.2	114.36	85.82	133.36	412.0	18.97	25.91	1.39	2.66	8.85	12.09	8.0	158.79	11.21	45.21	2.56	15.11	33.54	61.25	4.17	35.0	285.03	44.57	400.71	87.03	332.14	223.41	361.04	96.68	115.97	169.07	85.22	63.89	30.12	155.5	164.42	29.27	152.28	88.26
TJAP1	334.46	483.38	507.46	497.0	638.15	567.1	466.88	483.38	688.78	314.17	587.13	486.75	358.54	387.02	607.87	748.61	199.85	361.04	432.53	339.14	217.27	384.34	171.45	1066.48	429.54	348.71	463.65	525.39	277.2	674.59	532.74	323.03	417.77	409.15	318.57	154.42	384.34	438.59	723.08	651.58	928.3	642.59	638.15	703.28	981.29	651.58	503.95	656.11	780.44	525.39	723.08	457.25	414.87	228.13	447.82	441.64	688.78	679.29	511.0	529.06	320.8	463.65	356.05	327.56	293.07	791.35	497.0	785.88	536.45	563.18	1268.46	669.92	507.46	633.73	647.07	629.35	660.68	651.58	607.87	769.69	559.28	738.29	769.69
TMEM151B	0.4	4.28	0.39	1.33	8.51	5.59	2.05	5.96	7.75	1.39	2.89	6.26	3.79	1.51	8.85	5.92	0.0	0.43	5.68	2.58	0.72	1.22	0.44	16.15	3.17	1.87	5.36	1.66	2.43	3.66	1.14	1.69	3.03	3.11	0.41	0.82	3.26	6.46	5.87	2.56	9.13	1.41	3.03	7.63	8.32	3.79	3.14	4.43	7.4	137.14	0.67	3.14	2.14	1.13	0.64	0.62	3.79	2.81	3.92	1.13	0.0	8.06	4.86	0.0	5.5	14.14	4.58	5.5	2.78	12.36	9.2	10.08	6.36	7.51	5.36	6.57	3.66	4.66	8.25	8.65	4.54	3.2	9.63
TNFRSF25	135.24	376.41	211.31	26.86	167.9	379.04	66.18	108.14	493.56	37.05	483.38	159.9	48.52	152.28	587.13	363.56	35.76	46.18	104.42	43.94	36.53	64.34	26.86	723.08	163.28	67.12	201.25	181.28	42.41	343.89	262.2	100.83	81.71	75.11	58.3	46.18	172.65	205.5	307.69	297.17	813.63	111.21	629.35	457.25	974.5	351.14	67.59	293.07	2777.33	138.1	223.41	108.14	53.19	93.35	171.45	143.01	624.99	55.89	181.28	128.79	170.25	334.46	303.44	104.42	151.22	759.08	273.37	1119.56	406.31	723.08	1963.57	423.61	146.03	376.41	713.11	366.09	162.14	191.67	301.33	351.14	387.02	647.07	723.08
TTLL3	733.19	629.35	941.27	175.07	503.95	830.75	186.4	262.2	934.76	197.09	708.18	368.65	204.07	241.19	791.35	1350.18	111.99	279.14	258.57	178.77	145.02	205.5	84.63	1023.0	363.56	167.9	403.5	353.59	307.69	693.58	521.76	269.6	358.54	236.21	108.9	246.28	348.71	507.46	1216.75	493.56	1250.98	473.41	860.08	679.29	1397.83	500.46	309.83	708.18	1268.46	62.56	79.45	58.3	43.02	48.52	78.89	73.54	291.04	123.5	327.56	53.19	42.11	148.09	199.85	70.51	102.25	1883.54	265.87	995.0	813.63	1268.46	878.17	1277.29	271.48	289.02	1001.93	305.55	532.74	575.03	444.72	842.36	620.67	1388.16	708.18
