	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.VUSG.0426.SM.3GIKD	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CMPK1	1340.84	1119.56	1225.22	1059.11	1304.15	1378.57	1191.69	1127.35	1350.18	1709.26	1991.0	1268.46	1295.13	1277.29	995.0	1977.24	1745.2	1819.35	1216.75	1651.0	1359.57	1467.37	1322.37	1143.1	1617.0	1407.55	1561.89	1127.35	1417.35	1313.23	1508.65	1844.76	1991.0	2485.67	3103.19	1457.23	1697.45	2335.28	2255.7	1844.76	1628.26	1757.34	2502.97	1639.59	1651.0	1605.83	3419.52	2400.97	2319.15	3235.01	1757.34	1883.54	2209.26	1883.54	1639.59	1745.2	2224.63	1832.01	1721.16	1572.76	2935.74	1909.85	1819.35	1674.06	1857.6	2193.99	2384.37	2133.97	2224.63	1909.85	2417.67	1709.26	1832.01	1896.65	3190.46	2451.44	1781.89	1540.37	2075.59	1781.89	1745.2	3190.46	1685.71	1662.49	1572.76	2895.31	2018.8	1806.78	1806.78	1697.45	1936.53	1769.57	1551.09	1991.0	2434.5	1628.26	1909.85	1857.6	1639.59	1950.0	1721.16	1617.0	2682.69	1844.76	1709.26	1870.53	2682.69	2573.36	1870.53	2485.67	2148.82	2609.3
COG6	221.86	147.06	170.25	150.17	181.28	264.03	136.19	239.52	187.71	236.21	255.0	248.0	239.52	175.07	124.37	258.57	273.37	239.52	202.66	249.73	224.97	255.0	242.88	181.28	223.41	173.85	94.67	166.73	206.94	180.02	224.97	329.84	373.81	346.29	490.14	193.01	283.05	346.29	312.0	348.71	206.94	353.59	368.65	356.05	228.13	277.2	444.72	395.18	381.68	511.0	202.66	329.84	301.33	277.2	258.57	297.17	403.5	301.33	348.71	406.31	361.04	339.14	246.28	366.09	251.48	269.6	197.09	265.87	373.81	432.53	318.57	295.11	327.56	351.14	603.67	426.57	279.14	242.88	287.01	301.33	224.97	323.03	412.0	291.04	307.69	497.0	366.09	466.88	334.46	299.25	295.11	403.5	258.57	320.8	406.31	373.81	314.17	312.0	403.5	305.55	285.03	258.57	521.76	412.0	264.03	339.14	285.03	223.41	314.17	414.87	356.05	387.02
CPEB3	46.5	39.79	35.0	26.28	48.87	40.64	27.25	42.71	45.21	48.18	67.59	46.84	45.85	36.27	27.25	51.35	48.18	59.97	42.41	57.49	47.5	52.45	54.72	51.35	38.67	44.89	36.01	31.0	50.63	34.75	47.17	80.57	87.03	108.14	163.28	45.53	83.45	127.0	75.64	193.01	102.97	131.51	117.6	172.65	87.65	90.77	108.9	194.36	124.37	143.01	64.34	149.12	105.15	75.11	120.1	136.19	167.9	67.12	77.25	103.69	96.68	147.06	86.43	77.25	78.89	84.04	43.94	150.17	85.82	59.13	73.03	65.26	88.88	275.28	223.41	137.14	98.04	106.63	96.01	111.21	86.43	99.43	142.01	65.72	157.68	140.04	72.52	127.0	171.45	95.34	62.12	138.1	86.43	88.88	100.83	96.01	47.17	141.02	111.99	84.04	82.29	83.45	102.97	100.13	104.42	147.06	77.25	37.05	98.73	124.37	105.89	112.77
CWC27	327.56	363.56	332.14	361.04	283.05	289.02	353.59	341.51	231.32	289.02	283.05	309.83	366.09	371.22	299.25	256.78	283.05	329.84	316.37	291.04	291.04	420.68	323.03	325.29	329.84	293.07	336.79	361.04	251.48	384.34	265.87	277.2	358.54	414.87	414.87	249.73	323.03	351.14	353.59	387.02	318.57	329.84	486.75	363.56	376.41	351.14	447.82	511.0	457.25	460.44	339.14	395.18	373.81	314.17	307.69	301.33	470.14	341.51	289.02	395.18	447.82	363.56	312.0	366.09	363.56	346.29	301.33	287.01	381.68	325.29	432.53	320.8	384.34	373.81	559.28	438.59	307.69	412.0	373.81	406.31	348.71	373.81	334.46	400.71	356.05	457.25	341.51	351.14	341.51	346.29	327.56	384.34	285.03	339.14	323.03	325.29	348.71	289.02	368.65	343.89	312.0	234.57	397.93	339.14	346.29	371.22	320.8	339.14	400.71	447.82	392.44	395.18
CYP39A1	118.43	134.3	95.34	165.57	81.71	150.17	83.45	159.9	81.71	75.64	130.6	110.43	186.4	117.6	107.38	187.71	74.06	133.36	120.1	154.42	48.87	149.12	156.59	94.67	214.27	111.99	271.48	57.08	124.37	190.34	197.09	209.84	265.87	373.81	414.87	59.55	117.6	195.72	295.11	273.37	170.25	163.28	224.97	221.86	201.25	64.34	403.5	397.93	158.79	866.07	106.63	253.23	169.07	138.1	64.8	150.17	146.03	133.36	343.89	153.34	253.23	148.09	173.85	318.57	106.63	144.01	161.02	82.87	397.93	190.34	173.85	138.1	231.32	165.57	289.02	476.71	150.17	126.12	228.13	195.72	182.55	353.59	135.24	82.29	128.79	567.1	470.14	253.23	167.9	228.13	236.21	138.1	69.03	150.17	444.72	138.1	287.01	249.73	226.54	193.01	470.14	171.45	429.54	325.29	303.44	124.37	241.19	126.12	132.44	249.73	193.01	316.37
DFNA5	327.56	158.79	381.68	309.83	194.36	500.46	279.14	356.05	366.09	363.56	483.38	423.61	314.17	353.59	269.6	307.69	323.03	339.14	185.11	400.71	269.6	229.72	293.07	397.93	486.75	275.28	406.31	244.57	301.33	271.48	669.92	591.22	599.49	607.87	764.36	258.57	571.05	463.65	258.57	497.0	295.11	409.15	669.92	536.45	432.53	239.52	836.53	420.68	559.28	759.08	470.14	381.68	323.03	363.56	323.03	198.47	547.75	400.71	579.04	665.29	518.15	769.69	624.99	514.56	368.65	412.0	329.84	220.32	543.96	314.17	473.41	208.38	642.59	500.46	921.88	753.83	336.79	271.48	616.37	397.93	555.41	607.87	423.61	389.72	229.72	583.07	759.08	460.44	373.81	351.14	466.88	785.88	303.44	381.68	753.83	303.44	397.93	379.04	470.14	351.14	351.14	255.0	884.29	633.73	480.04	387.02	389.72	325.29	587.13	514.56	429.54	718.08
DHX29	307.69	229.72	228.13	248.0	236.21	273.37	209.84	265.87	236.21	281.09	320.8	269.6	320.8	258.57	239.52	264.03	318.57	260.38	279.14	323.03	253.23	251.48	228.13	265.87	291.04	260.38	267.73	202.66	264.03	195.72	312.0	480.04	647.07	571.05	500.46	334.46	353.59	457.25	314.17	480.04	435.55	414.87	403.5	389.72	480.04	441.64	540.19	698.41	500.46	591.22	389.72	395.18	379.04	429.54	395.18	447.82	543.96	363.56	483.38	571.05	511.0	397.93	444.72	500.46	567.1	356.05	271.48	376.41	420.68	555.41	348.71	392.44	473.41	429.54	759.08	808.0	295.11	395.18	438.59	325.29	417.77	429.54	571.05	466.88	457.25	579.04	358.54	536.45	343.89	435.55	381.68	376.41	432.53	514.56	536.45	620.67	444.72	476.71	514.56	483.38	483.38	329.84	454.09	490.14	343.89	389.72	540.19	277.2	368.65	555.41	638.15	651.58
DNAJC13	332.14	248.0	226.54	232.94	373.81	285.03	248.0	265.87	368.65	301.33	397.93	234.57	242.88	194.36	279.14	271.48	199.85	361.04	271.48	293.07	307.69	281.09	262.2	329.84	264.03	248.0	262.2	258.57	229.72	234.57	246.28	305.55	412.0	341.51	356.05	314.17	400.71	318.57	318.57	470.14	289.02	353.59	329.84	607.87	316.37	529.06	336.79	551.56	323.03	532.74	356.05	412.0	473.41	441.64	384.34	339.14	490.14	244.57	332.14	336.79	432.53	334.46	295.11	389.72	356.05	460.44	406.31	532.74	406.31	348.71	323.03	332.14	316.37	291.04	435.55	379.04	279.14	403.5	414.87	395.18	341.51	314.17	435.55	303.44	438.59	480.04	301.33	361.04	633.73	318.57	325.29	432.53	339.14	318.57	414.87	258.57	205.5	307.69	454.09	312.0	417.77	379.04	595.34	371.22	525.39	551.56	305.55	348.71	293.07	384.34	371.22	387.02
DSTN	5995.9	6121.9	4298.64	6250.56	6561.36	5329.3	5633.22	5329.3	6079.61	6037.61	10014.87	6164.49	5872.48	5479.15	8658.09	7857.29	8778.97	7433.4	6561.36	6426.31	5751.61	7180.15	6607.01	5292.48	5219.6	5329.3	5292.48	7911.95	5751.61	7966.99	5995.9	8247.98	10512.82	14561.8	15934.98	9215.48	9409.14	12329.98	12244.81	10959.3	11584.24	10959.3	14262.1	9215.48	9876.98	8421.31	17558.94	13872.08	14867.79	16960.78	11827.67	10154.69	12076.21	9945.68	11112.3	8538.88	14561.8	10585.95	10512.82	8901.53	15285.81	11504.21	11584.24	10659.59	10808.41	11189.6	11424.74	10733.74	9279.58	8022.41	11189.6	9876.98	12160.22	9474.59	13872.08	13681.08	10959.3	9673.69	14461.21	10225.32	10014.87	14867.79	7130.55	8658.09	10585.95	14163.58	11992.79	10084.54	9606.86	9409.14	13492.72	10585.95	6381.92	8963.45	13776.25	7589.61	12415.75	12589.08	8421.31	12502.12	13033.07	6792.79	10225.32	9088.59	10512.82	12853.63	14867.79	10014.87	10440.2	12589.08	11909.94	15392.14
DTWD2	71.0	26.86	35.25	24.28	43.94	59.97	19.82	46.84	42.11	50.98	80.01	47.17	38.4	37.32	19.68	59.97	57.89	73.54	36.79	58.3	58.71	53.95	48.52	37.32	52.82	33.3	32.82	26.47	45.21	35.25	50.63	66.65	152.28	89.51	183.82	49.91	80.57	123.5	78.89	167.9	95.34	155.5	100.13	108.14	113.56	105.15	133.36	130.6	113.56	242.88	51.35	139.07	96.68	90.14	82.87	113.56	171.45	76.71	119.26	127.89	119.26	99.43	74.58	115.97	64.34	50.98	37.32	68.55	164.42	115.16	106.63	96.01	87.03	178.77	277.2	140.04	70.01	97.36	147.06	113.56	114.36	74.58	224.97	131.51	115.16	156.59	175.07	144.01	148.09	72.52	62.12	156.59	92.7	113.56	141.02	152.28	106.63	109.66	121.79	82.87	137.14	77.25	155.5	137.14	75.64	136.19	47.84	46.5	100.13	138.1	158.79	127.0
EBAG9	813.63	791.35	669.92	860.08	575.03	836.53	638.15	890.44	647.07	571.05	759.08	723.08	872.1	921.88	928.3	633.73	974.5	808.0	872.1	802.41	607.87	819.3	830.75	796.86	688.78	819.3	620.67	587.13	819.3	713.11	656.11	1059.11	1594.73	1467.37	2271.4	995.0	1313.23	1407.55	1407.55	1437.15	1583.71	1277.29	1519.15	1159.07	1295.13	1259.69	1769.57	1794.29	1457.23	1991.0	1268.46	1388.16	1322.37	1044.52	915.51	1051.79	1605.83	1088.92	1199.98	1096.5	1605.83	1277.29	1208.34	1111.82	1268.46	1233.75	1175.27	1250.98	1583.71	1397.83	2303.12	1268.46	1417.35	1322.37	2224.63	1832.01	1096.5	1059.11	1437.15	1111.82	1268.46	1844.76	1191.69	1242.34	1340.84	1819.35	1498.22	1572.76	1111.82	1313.23	1225.22	1322.37	759.08	1437.15	1662.49	1359.57	1175.27	1605.83	1143.1	1540.37	1295.13	651.58	1498.22	1175.27	1242.34	1437.15	1397.83	1519.15	1457.23	2119.22	1662.49	1819.35
EIF3M	5147.73	4607.24	4152.18	5041.77	4358.66	4181.07	4903.87	4298.64	4010.71	5183.54	4869.99	4481.23	4358.66	4512.4	5006.93	5041.77	4298.64	5329.3	5041.77	4239.45	4388.98	5479.15	4123.49	4181.07	4543.8	4607.24	4152.18	4575.41	3325.99	4972.34	4481.23	4388.98	5112.16	6121.9	7911.95	4358.66	5441.3	5112.16	6079.61	4419.52	4972.34	4298.64	6037.61	3716.2	5555.65	4239.45	7589.61	7803.01	6840.04	5517.27	5594.3	5076.84	5006.93	4210.15	4181.07	4358.66	5517.27	4268.94	5041.77	5751.61	5633.22	4607.24	5751.61	5112.16	6337.83	5517.27	6699.25	4038.61	5594.3	5403.7	6561.36	5711.87	5594.3	4152.18	7130.55	7180.15	5633.22	4543.8	6207.38	4010.71	5555.65	7032.37	5366.37	5711.87	5366.37	5791.62	5112.16	5751.61	4836.35	4937.99	5831.91	4298.64	5292.48	6652.97	5329.3	5441.3	4836.35	5831.91	6079.61	7180.15	4543.8	4543.8	6561.36	4836.35	3395.89	4736.79	6652.97	5403.7	5041.77	5672.41	4769.75	5255.91
ELMOD2	283.05	187.71	223.41	172.65	226.54	260.38	166.73	249.73	175.07	273.37	283.05	232.94	232.94	206.94	167.9	234.57	248.0	253.23	212.78	217.27	242.88	228.13	217.27	212.78	218.79	226.54	193.01	170.25	220.32	156.59	253.23	323.03	303.44	273.37	327.56	206.94	239.52	339.14	232.94	351.14	246.28	301.33	293.07	332.14	295.11	325.29	316.37	500.46	275.28	493.56	242.88	332.14	303.44	264.03	305.55	269.6	325.29	241.19	273.37	334.46	258.57	348.71	249.73	318.57	309.83	239.52	237.86	289.02	301.33	332.14	309.83	299.25	312.0	435.55	583.07	406.31	239.52	285.03	285.03	228.13	262.2	309.83	287.01	283.05	371.22	332.14	293.07	429.54	332.14	253.23	277.2	295.11	251.48	283.05	409.15	332.14	220.32	361.04	325.29	260.38	258.57	309.83	532.74	336.79	297.17	305.55	228.13	241.19	236.21	329.84	295.11	329.84
ERLIN2	480.04	444.72	366.09	525.39	395.18	571.05	358.54	698.41	612.11	529.06	587.13	486.75	595.34	379.04	341.51	555.41	679.29	532.74	665.29	567.1	591.22	616.37	507.46	620.67	551.56	480.04	441.64	332.14	620.67	470.14	476.71	1295.13	1369.04	1388.16	1583.71	620.67	961.07	981.29	1199.98	1143.1	1044.52	1066.48	1572.76	1059.11	1259.69	723.08	1359.57	1639.59	854.13	1304.15	1030.12	1167.14	1051.79	769.69	848.22	915.51	1015.93	693.58	1008.9	909.17	1369.04	1322.37	1088.92	909.17	1096.5	1088.92	896.64	759.08	1191.69	733.19	1407.55	890.44	1044.52	954.43	1832.01	1378.57	896.64	802.41	1467.37	688.78	921.88	1369.04	1199.98	854.13	1001.93	854.13	896.64	1183.45	1001.93	860.08	954.43	974.5	665.29	1081.39	1313.23	785.88	693.58	1030.12	860.08	947.83	1277.29	525.39	1044.52	988.12	1127.35	954.43	860.08	743.43	934.76	1651.0	1037.29	1030.12
ERMP1	559.28	229.72	325.29	363.56	713.11	511.0	447.82	713.11	583.07	575.03	665.29	642.59	246.28	277.2	269.6	836.53	603.67	842.36	660.68	713.11	599.49	579.04	476.71	412.0	336.79	486.75	305.55	444.72	361.04	361.04	591.22	599.49	1159.07	780.44	830.75	271.48	753.83	947.83	1322.37	830.75	497.0	595.34	785.88	808.0	1066.48	759.08	967.76	1268.46	567.1	1857.6	417.77	651.58	684.02	525.39	599.49	647.07	1030.12	429.54	974.5	638.15	708.18	896.64	567.1	679.29	480.04	547.75	563.18	775.05	848.22	500.46	995.0	483.38	514.56	848.22	1242.34	1030.12	460.44	679.29	785.88	525.39	934.76	988.12	441.64	511.0	785.88	780.44	854.13	813.63	743.43	511.0	633.73	684.02	221.86	733.19	1159.07	579.04	665.29	842.36	733.19	480.04	802.41	521.76	1378.57	1183.45	836.53	559.28	647.07	536.45	629.35	1066.48	688.78	753.83
FAIM	450.94	400.71	409.15	371.22	457.25	476.71	366.09	373.81	395.18	343.89	409.15	591.22	450.94	476.71	395.18	473.41	559.28	525.39	400.71	438.59	381.68	490.14	460.44	426.57	356.05	473.41	684.02	381.68	356.05	476.71	373.81	444.72	595.34	785.88	872.1	255.0	466.88	500.46	525.39	819.3	665.29	563.18	624.99	599.49	603.67	620.67	791.35	854.13	587.13	961.07	693.58	708.18	656.11	497.0	551.56	450.94	703.28	555.41	426.57	543.96	583.07	854.13	599.49	620.67	791.35	638.15	470.14	423.61	620.67	493.56	703.28	575.03	563.18	759.08	836.53	967.76	483.38	703.28	796.86	540.19	647.07	769.69	669.92	507.46	583.07	775.05	713.11	723.08	651.58	620.67	518.15	571.05	325.29	620.67	540.19	567.1	532.74	842.36	607.87	679.29	669.92	389.72	684.02	563.18	684.02	532.74	441.64	693.58	532.74	633.73	575.03	748.61
FAM169A	99.43	66.18	53.95	48.18	56.68	88.88	38.95	99.43	53.19	92.7	113.56	66.18	98.73	52.08	49.21	96.01	100.83	67.12	45.53	79.45	72.52	126.12	112.77	87.65	111.21	71.5	94.01	39.79	84.04	62.56	71.0	195.72	231.32	149.12	229.72	161.02	102.25	146.03	103.69	237.86	154.42	105.15	151.22	146.03	120.94	107.38	191.67	305.55	173.85	305.55	107.38	126.12	103.69	84.63	87.65	102.25	212.78	94.67	98.04	120.1	156.59	185.11	156.59	109.66	108.9	71.0	106.63	75.11	126.12	138.1	177.53	105.15	115.16	158.79	441.64	297.17	149.12	104.42	173.85	99.43	156.59	125.24	176.29	170.25	111.99	209.84	130.6	151.22	123.5	125.24	123.5	185.11	94.67	232.94	214.27	165.57	99.43	150.17	137.14	53.95	115.97	87.65	242.88	158.79	134.3	96.68	120.94	36.01	141.02	211.31	114.36	206.94
FAM187A	26.86	32.59	20.71	64.8	32.36	24.63	24.28	52.82	38.95	18.03	55.89	28.65	26.28	34.02	30.78	38.12	33.06	49.56	36.79	30.78	27.25	29.27	15.0	26.47	28.65	21.47	45.21	20.11	42.11	33.3	28.04	59.55	57.49	85.82	89.51	17.13	47.84	54.72	58.3	55.89	42.71	53.57	74.58	56.28	69.03	28.65	43.63	45.21	72.52	85.82	34.75	67.12	36.79	36.79	28.86	42.41	55.49	40.93	69.52	57.08	67.59	82.87	46.5	43.02	58.71	56.28	32.82	52.08	45.85	45.21	85.22	26.67	50.27	71.5	54.33	84.63	51.35	42.11	65.72	47.5	52.45	75.64	58.71	48.87	41.81	78.34	96.68	41.22	53.95	51.71	49.56	50.27	28.65	40.93	43.32	55.49	44.89	74.06	36.53	39.22	43.63	49.91	111.21	49.91	58.71	46.84	49.91	40.36	70.01	52.08	41.81	48.87
FAM63A	480.04	271.48	392.44	555.41	483.38	470.14	379.04	514.56	540.19	423.61	607.87	463.65	307.69	361.04	571.05	435.55	536.45	525.39	713.11	723.08	500.46	503.95	368.65	543.96	507.46	521.76	591.22	403.5	647.07	486.75	483.38	1662.49	1378.57	1605.83	1651.0	547.75	1417.35	1350.18	1697.45	1617.0	1508.65	1745.2	1950.0	1923.14	1551.09	1096.5	1286.18	2047.0	1295.13	1794.29	1427.22	1023.0	1322.37	1242.34	1457.23	1259.69	1208.34	1135.2	1709.26	1605.83	1359.57	1199.98	1388.16	1277.29	1340.84	1359.57	1135.2	1286.18	1350.18	1225.22	1143.1	1037.29	1498.22	1709.26	1369.04	1369.04	1857.6	1369.04	1709.26	1233.75	1769.57	1216.75	1508.65	1088.92	1397.83	941.27	1199.98	1407.55	1498.22	1427.22	1561.89	1977.24	1183.45	1127.35	1407.55	967.76	1295.13	1844.76	1167.14	1322.37	1769.57	967.76	1008.9	1674.06	1870.53	1096.5	1304.15	693.58	1331.57	1286.18	1143.1	1628.26
FAM63B	138.1	81.14	88.26	55.49	79.45	118.43	46.18	109.66	77.25	132.44	141.02	93.35	89.51	67.59	77.79	122.64	132.44	98.73	91.41	129.69	111.21	170.25	124.37	106.63	86.43	85.82	86.43	57.89	107.38	101.54	99.43	197.09	181.28	194.36	295.11	106.63	158.79	195.72	198.47	182.55	123.5	166.73	244.57	195.72	141.02	135.24	336.79	299.25	214.27	329.84	115.16	183.82	201.25	127.89	140.04	155.5	228.13	133.36	131.51	101.54	242.88	186.4	140.04	130.6	124.37	194.36	166.73	182.55	180.02	148.09	229.72	138.1	129.69	218.79	316.37	229.72	140.04	120.1	143.01	193.01	133.36	255.0	176.29	133.36	195.72	299.25	145.02	127.89	229.72	148.09	133.36	190.34	140.04	158.79	147.06	151.22	120.94	172.65	105.89	100.13	176.29	150.17	211.31	152.28	204.07	206.94	183.82	204.07	157.68	242.88	141.02	220.32
FARS2	417.77	336.79	262.2	543.96	285.03	212.78	353.59	295.11	256.78	291.04	414.87	237.86	307.69	329.84	363.56	293.07	316.37	275.28	316.37	314.17	277.2	339.14	269.6	289.02	366.09	334.46	295.11	283.05	305.55	371.22	327.56	460.44	591.22	599.49	397.93	264.03	551.56	503.95	567.1	563.18	603.67	567.1	507.46	432.53	674.59	361.04	444.72	595.34	403.5	684.02	575.03	450.94	463.65	529.06	511.0	457.25	595.34	435.55	599.49	633.73	460.44	656.11	514.56	571.05	575.03	447.82	366.09	381.68	514.56	493.56	490.14	420.68	616.37	392.44	540.19	738.29	567.1	543.96	819.3	423.61	587.13	463.65	529.06	579.04	366.09	417.77	571.05	525.39	432.53	579.04	536.45	473.41	457.25	525.39	579.04	473.41	633.73	473.41	476.71	679.29	591.22	329.84	480.04	620.67	532.74	486.75	507.46	373.81	503.95	450.94	599.49	457.25
FBXL17	269.6	172.65	151.22	165.57	208.38	223.41	142.01	228.13	194.36	236.21	281.09	208.38	244.57	197.09	159.9	249.73	260.38	258.57	206.94	205.5	217.27	255.0	224.97	202.66	202.66	191.67	170.25	141.02	209.84	249.73	194.36	497.0	395.18	403.5	703.28	381.68	234.57	503.95	381.68	723.08	329.84	395.18	493.56	368.65	389.72	307.69	629.35	518.15	500.46	607.87	371.22	384.34	361.04	309.83	336.79	336.79	447.82	283.05	379.04	346.29	540.19	363.56	351.14	373.81	325.29	339.14	371.22	470.14	417.77	384.34	429.54	314.17	353.59	389.72	934.76	503.95	318.57	336.79	693.58	336.79	351.14	435.55	414.87	368.65	361.04	656.11	358.54	395.18	392.44	595.34	486.75	514.56	251.48	511.0	463.65	277.2	325.29	466.88	351.14	341.51	309.83	256.78	579.04	417.77	409.15	351.14	351.14	221.86	348.71	529.06	356.05	540.19
FBXL5	1111.82	1001.93	941.27	1081.39	1030.12	1167.14	902.89	981.29	974.5	1183.45	1519.15	1073.91	1208.34	1073.91	1104.13	1135.2	1427.22	1119.56	1096.5	1286.18	915.51	1175.27	928.3	974.5	1322.37	1322.37	1208.34	808.0	1199.98	878.17	1313.23	2032.85	3081.75	2520.38	3257.52	1437.15	1963.57	2758.13	1936.53	1896.65	2075.59	2032.85	2367.9	1883.54	2351.53	2018.8	3443.31	3443.31	2032.85	3212.66	2163.77	2061.24	1508.65	2119.22	2004.85	1721.16	2417.67	1857.6	2434.5	2148.82	2119.22	2209.26	2451.44	2224.63	1977.24	1709.26	1397.83	1322.37	2384.37	2417.67	2351.53	1721.16	2537.92	1628.26	3325.99	3955.48	1685.71	1977.24	2240.11	1519.15	2777.33	2485.67	2502.97	2537.92	2032.85	2997.45	2555.58	2537.92	1427.22	1909.85	1896.65	1977.24	1583.71	2682.69	2895.31	2240.11	2163.77	2178.83	1605.83	2816.11	2400.97	1199.98	2816.11	2502.97	2224.63	2047.0	1819.35	1081.39	2061.24	2739.08	2645.74	2816.11
