	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.AR.A1AK.01A.21R.A12P.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0W3.01A.11R.A109.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.C8.A12M.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.C8.A273.01A.11R.A16F.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.FU.A3TX.01A.11R.A22U.07	TCGA.F4.6459.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.7197.01A.11R.2203.13
FUK	1008.9	262.2	387.02	231.32	483.38	403.5	162.14	497.0	265.87	309.83	909.17	165.57	204.07	212.78	279.14	403.5	371.22	320.8	285.03	186.4	244.57	607.87	224.97	175.07	214.27	190.34	239.52	136.19	148.09	190.34	403.5	155.5	320.8	191.67	521.76	336.79	470.14	255.0	170.25	412.0	157.68	176.29	363.56	180.02	397.93	141.02	177.53	161.02	307.69	543.96	387.02	229.72	246.28	264.03	153.34	316.37	332.14	669.92	529.06	246.28	169.07	435.55	173.85	73.54	346.29	373.81	511.0	500.46	214.27	133.36	277.2	305.55	299.25	185.11	346.29	185.11	183.82	149.12	713.11	303.44	208.38	176.29	155.5	287.01	248.0	181.28	559.28	223.41	152.28	325.29	836.53	507.46	540.19	178.77	358.54	305.55	334.46	211.31	98.04	967.76	0.0	1051.79
GAS8	860.08	444.72	665.29	493.56	1073.91	860.08	232.94	500.46	934.76	473.41	1127.35	150.17	289.02	397.93	295.11	703.28	759.08	808.0	336.79	366.09	529.06	503.95	947.83	246.28	279.14	351.14	334.46	395.18	299.25	426.57	555.41	264.03	426.57	339.14	309.83	813.63	536.45	423.61	320.8	708.18	242.88	420.68	470.14	373.81	1073.91	387.02	271.48	356.05	988.12	295.11	665.29	486.75	361.04	575.03	239.52	633.73	420.68	1175.27	947.83	161.02	262.2	540.19	314.17	127.0	802.41	529.06	1119.56	559.28	571.05	202.66	555.41	363.56	1081.39	376.41	547.75	258.57	559.28	253.23	246.28	486.75	441.64	283.05	332.14	830.75	211.31	307.69	738.29	480.04	507.46	813.63	995.0	1208.34	603.67	361.04	896.64	518.15	348.71	426.57	108.9	575.03	0.0	651.58
GFOD2	1519.15	351.14	441.64	476.71	551.56	438.59	363.56	450.94	381.68	387.02	514.56	180.02	343.89	403.5	267.73	454.09	647.07	616.37	403.5	202.66	713.11	493.56	397.93	251.48	228.13	297.17	236.21	353.59	309.83	262.2	476.71	381.68	579.04	373.81	316.37	320.8	511.0	316.37	358.54	603.67	262.2	429.54	379.04	258.57	511.0	271.48	339.14	346.29	575.03	297.17	603.67	303.44	373.81	273.37	420.68	241.19	559.28	775.05	444.72	397.93	295.11	490.14	264.03	348.71	651.58	371.22	624.99	351.14	379.04	316.37	293.07	366.09	473.41	361.04	406.31	309.83	256.78	271.48	423.61	376.41	295.11	318.57	339.14	420.68	234.57	187.71	457.25	264.03	389.72	547.75	1059.11	540.19	457.25	220.32	587.13	454.09	397.93	293.07	503.95	483.38	0.0	603.67
GSE1	395.18	583.07	1242.34	928.3	2209.26	2119.22	525.39	688.78	2591.27	902.89	1397.83	470.14	1073.91	563.18	1135.2	483.38	1088.92	1781.89	669.92	551.56	2193.99	2004.85	2319.15	738.29	599.49	647.07	713.11	511.0	309.83	808.0	1127.35	688.78	1104.13	563.18	713.11	1447.15	872.1	470.14	500.46	3060.45	473.41	813.63	1551.09	624.99	2976.74	620.67	612.11	435.55	2468.49	733.19	1250.98	791.35	988.12	728.11	612.11	1183.45	954.43	2163.77	988.12	287.01	1175.27	1498.22	518.15	967.76	1950.0	1498.22	1397.83	928.3	1508.65	414.87	693.58	728.11	2061.24	1721.16	693.58	454.09	679.29	327.56	579.04	1378.57	441.64	684.02	376.41	1216.75	417.77	656.11	1437.15	718.08	603.67	1909.85	1508.65	1617.0	1529.73	954.43	1331.57	1167.14	551.56	738.29	287.01	1745.2	0.0	1519.15
IST1	6699.25	2224.63	3639.7	3614.55	4328.55	3395.89	2163.77	1991.0	3303.0	1963.57	5292.48	1977.24	3212.66	2335.28	2061.24	3060.45	3716.2	3372.43	3443.31	2163.77	3491.39	4512.4	3349.13	2047.0	1963.57	2335.28	1781.89	2287.2	1781.89	4450.27	5403.7	2434.5	3124.78	2367.9	2351.53	4123.49	3491.39	2255.7	2119.22	4419.52	2178.83	1896.65	4268.94	2485.67	3820.7	2090.03	2090.03	1936.53	3372.43	2417.67	3847.29	2193.99	2417.67	2855.44	2319.15	2193.99	4450.27	3168.41	4328.55	2193.99	1936.53	3564.78	2061.24	2537.92	3742.05	3847.29	4671.57	3081.75	3372.43	2351.53	2163.77	2451.44	3820.7	3235.01	2739.08	2591.27	2287.2	1909.85	2193.99	2627.46	2004.85	2271.4	1896.65	3103.19	2104.58	1950.0	3124.78	2075.59	2032.85	3589.58	5112.16	5041.77	4152.18	2004.85	3349.13	2335.28	1857.6	2032.85	1191.69	5219.6	0.0	4239.45
KARS	5366.37	1268.46	2485.67	3018.3	2720.15	2664.15	1259.69	1709.26	3018.3	1073.91	3168.41	1447.15	1407.55	1242.34	1359.57	2468.49	2335.28	1651.0	1909.85	1498.22	2271.4	2537.92	2319.15	1583.71	1457.23	1447.15	1437.15	1551.09	1477.58	1498.22	2209.26	2047.0	2240.11	1561.89	2090.03	2178.83	3928.15	1457.23	1467.37	2758.13	1286.18	1088.92	3372.43	1216.75	2609.3	1350.18	1369.04	1359.57	2520.38	1572.76	2645.74	1044.52	1119.56	1639.59	1896.65	1487.87	3491.39	2004.85	2255.7	2061.24	1498.22	2555.58	1059.11	1498.22	2271.4	2976.74	3349.13	2075.59	2739.08	1529.73	1819.35	1685.71	2335.28	2956.17	1477.58	1572.76	1167.14	1369.04	2997.45	1268.46	1331.57	2163.77	1477.58	2502.97	1331.57	1369.04	1561.89	1250.98	1073.91	3564.78	3395.89	2485.67	2434.5	1359.57	2758.13	1639.59	1081.39	1639.59	1104.13	4388.98	0.0	3540.14
KATNB1	878.17	291.04	403.5	476.71	497.0	414.87	181.28	336.79	361.04	351.14	674.59	141.02	171.45	170.25	209.84	336.79	486.75	595.34	301.33	206.94	384.34	460.44	397.93	176.29	159.9	149.12	187.71	202.66	151.22	229.72	435.55	166.73	423.61	221.86	327.56	473.41	441.64	265.87	162.14	463.65	178.77	226.54	575.03	185.11	559.28	115.16	181.28	237.86	429.54	256.78	295.11	441.64	241.19	234.57	289.02	299.25	395.18	928.3	244.57	297.17	167.9	486.75	182.55	82.87	392.44	529.06	583.07	334.46	381.68	126.12	301.33	256.78	379.04	291.04	264.03	170.25	206.94	165.57	314.17	483.38	186.4	454.09	204.07	341.51	206.94	232.94	559.28	191.67	217.27	432.53	665.29	400.71	466.88	251.48	361.04	483.38	299.25	260.38	142.01	414.87	0.0	507.46
KLHDC4	647.07	318.57	373.81	381.68	463.65	567.1	199.85	441.64	525.39	289.02	775.05	155.5	279.14	239.52	127.0	567.1	567.1	339.14	293.07	162.14	447.82	406.31	591.22	320.8	170.25	217.27	279.14	299.25	260.38	379.04	236.21	346.29	429.54	275.28	500.46	387.02	775.05	305.55	199.85	363.56	78.34	246.28	438.59	228.13	327.56	237.86	271.48	281.09	500.46	457.25	429.54	353.59	256.78	334.46	220.32	232.94	281.09	483.38	373.81	209.84	287.01	366.09	301.33	43.63	371.22	392.44	555.41	454.09	283.05	226.54	334.46	293.07	540.19	341.51	281.09	217.27	336.79	318.57	339.14	295.11	339.14	231.32	279.14	387.02	167.9	358.54	525.39	217.27	167.9	909.17	591.22	656.11	412.0	206.94	480.04	503.95	406.31	241.19	175.07	1073.91	0.0	796.86
MLYCD	381.68	123.5	145.02	223.41	139.07	199.85	106.63	105.15	176.29	72.52	291.04	97.36	151.22	105.15	108.9	253.23	353.59	226.54	129.69	138.1	215.77	186.4	246.28	110.43	117.6	120.1	102.25	117.6	106.63	115.16	291.04	121.79	201.25	123.5	189.02	208.38	239.52	123.5	95.34	256.78	123.5	113.56	303.44	129.69	258.57	132.44	148.09	117.6	169.07	103.69	170.25	96.01	100.83	218.79	158.79	155.5	253.23	275.28	143.01	119.26	82.29	320.8	157.68	59.55	314.17	194.36	329.84	256.78	136.19	98.04	134.3	167.9	297.17	212.78	177.53	99.43	117.6	137.14	167.9	165.57	127.89	84.63	135.24	242.88	111.21	124.37	265.87	90.77	98.04	246.28	476.71	269.6	241.19	81.14	246.28	121.79	156.59	180.02	57.08	486.75	0.0	334.46
MON1B	1151.06	234.57	493.56	466.88	555.41	287.01	277.2	167.9	447.82	191.67	511.0	183.82	236.21	223.41	283.05	480.04	438.59	466.88	325.29	226.54	242.88	432.53	447.82	323.03	514.56	1662.49	151.22	271.48	228.13	197.09	483.38	241.19	547.75	329.84	283.05	400.71	470.14	339.14	187.71	412.0	221.86	432.53	587.13	249.73	429.54	224.97	232.94	660.68	511.0	281.09	363.56	182.55	289.02	559.28	314.17	293.07	403.5	583.07	381.68	258.57	183.82	575.03	281.09	212.78	392.44	480.04	915.51	447.82	299.25	140.04	279.14	397.93	518.15	305.55	395.18	221.86	202.66	150.17	563.18	348.71	246.28	201.25	246.28	358.54	285.03	159.9	514.56	182.55	253.23	518.15	947.83	743.43	665.29	1662.49	299.25	202.66	285.03	239.52	133.36	1277.29	320.8	1127.35
MTHFSD	559.28	142.01	244.57	246.28	343.89	353.59	110.43	255.0	412.0	237.86	476.71	144.01	183.82	193.01	193.01	406.31	260.38	275.28	239.52	187.71	258.57	339.14	206.94	206.94	140.04	217.27	148.09	249.73	154.42	232.94	260.38	204.07	334.46	173.85	199.85	323.03	334.46	242.88	208.38	277.2	103.69	149.12	329.84	171.45	289.02	120.94	180.02	142.01	262.2	185.11	373.81	197.09	194.36	226.54	139.07	205.5	198.47	529.06	183.82	163.28	194.36	400.71	182.55	138.1	242.88	361.04	291.04	264.03	242.88	126.12	228.13	155.5	295.11	195.72	269.6	146.03	218.79	189.02	163.28	293.07	133.36	140.04	117.6	325.29	120.94	149.12	297.17	218.79	131.51	312.0	595.34	384.34	376.41	157.68	341.51	217.27	205.5	236.21	110.43	555.41	0.0	642.59
MVD	988.12	412.0	698.41	620.67	1104.13	688.78	217.27	660.68	371.22	547.75	1322.37	159.9	237.86	277.2	307.69	1540.37	441.64	713.11	271.48	269.6	536.45	395.18	723.08	287.01	173.85	279.14	599.49	361.04	253.23	264.03	381.68	353.59	660.68	279.14	395.18	848.22	791.35	305.55	248.0	514.56	157.68	202.66	703.28	194.36	603.67	221.86	305.55	256.78	361.04	490.14	780.44	358.54	361.04	325.29	209.84	429.54	529.06	830.75	334.46	211.31	264.03	414.87	246.28	59.97	521.76	412.0	343.89	902.89	285.03	237.86	518.15	392.44	249.73	1199.98	486.75	277.2	246.28	363.56	366.09	529.06	323.03	237.86	271.48	591.22	251.48	226.54	1088.92	397.93	177.53	1216.75	647.07	575.03	825.0	368.65	305.55	460.44	351.14	363.56	336.79	1923.14	0.0	1685.71
NAE1	2573.36	872.1	921.88	1175.27	1417.35	1119.56	563.18	571.05	1757.34	571.05	1529.73	483.38	753.83	656.11	665.29	1127.35	974.5	934.76	1216.75	656.11	974.5	1119.56	791.35	764.36	796.86	612.11	559.28	842.36	473.41	387.02	1008.9	775.05	947.83	708.18	1015.93	723.08	2119.22	669.92	620.67	1697.45	567.1	660.68	1208.34	497.0	1286.18	532.74	547.75	583.07	1104.13	679.29	1268.46	674.59	497.0	595.34	629.35	665.29	1135.2	1359.57	1088.92	571.05	688.78	1135.2	514.56	733.19	1295.13	1104.13	1757.34	1143.1	1023.0	638.15	723.08	591.22	1073.91	1088.92	656.11	656.11	759.08	647.07	764.36	575.03	379.04	1233.75	521.76	848.22	642.59	567.1	1015.93	703.28	638.15	1304.15	1991.0	1015.93	1127.35	579.04	1159.07	1143.1	435.55	679.29	463.65	1651.0	0.0	1781.89
NFATC3	466.88	303.44	332.14	381.68	332.14	309.83	177.53	96.01	327.56	93.35	426.57	109.66	309.83	183.82	189.02	146.03	246.28	226.54	521.76	229.72	264.03	400.71	320.8	242.88	173.85	182.55	172.65	127.0	152.28	110.43	426.57	211.31	334.46	265.87	220.32	260.38	420.68	279.14	189.02	283.05	183.82	191.67	353.59	195.72	320.8	198.47	177.53	215.77	299.25	237.86	417.77	147.06	229.72	255.0	316.37	195.72	435.55	262.2	287.01	189.02	103.69	417.77	182.55	198.47	287.01	281.09	559.28	255.0	414.87	194.36	193.01	211.31	417.77	289.02	181.28	248.0	171.45	258.57	251.48	138.1	88.88	253.23	161.02	242.88	172.65	224.97	185.11	134.3	181.28	316.37	713.11	441.64	406.31	183.82	223.41	194.36	90.77	155.5	82.29	379.04	0.0	713.11
OGFOD1	1008.9	854.13	1066.48	1081.39	1519.15	842.36	575.03	314.17	1001.93	373.81	1769.57	426.57	447.82	343.89	571.05	836.53	674.59	759.08	1059.11	514.56	860.08	878.17	1044.52	583.07	579.04	470.14	547.75	629.35	348.71	981.29	928.3	543.96	595.34	563.18	890.44	723.08	1191.69	540.19	967.76	759.08	426.57	529.06	1159.07	447.82	785.88	507.46	463.65	567.1	688.78	521.76	1081.39	743.43	591.22	633.73	738.29	540.19	954.43	842.36	1331.57	480.04	343.89	1135.2	563.18	638.15	1096.5	967.76	1183.45	1159.07	1135.2	435.55	486.75	420.68	1111.82	743.43	476.71	713.11	420.68	532.74	934.76	540.19	441.64	543.96	567.1	884.29	507.46	543.96	775.05	529.06	521.76	854.13	1191.69	1277.29	854.13	490.14	669.92	525.39	486.75	490.14	267.73	1259.69	693.58	1081.39
PDP2	127.89	83.45	114.36	108.14	186.4	53.57	55.89	20.26	161.02	23.42	154.42	29.7	59.13	76.17	54.33	36.53	97.36	99.43	151.22	80.57	57.89	107.38	93.35	63.45	51.71	59.97	38.95	108.14	22.59	61.68	119.26	24.99	90.77	71.5	105.89	88.26	130.6	87.65	23.93	84.04	53.57	87.65	170.25	67.59	78.34	90.14	63.89	71.0	100.13	50.63	123.5	59.13	62.56	142.01	98.73	94.01	72.52	158.79	142.01	40.07	43.02	120.1	67.12	100.83	175.07	63.45	246.28	94.01	147.06	13.32	76.17	61.68	206.94	99.43	72.52	63.89	40.93	31.45	84.63	37.32	38.95	38.4	56.68	75.11	45.85	40.07	61.68	43.02	113.56	100.83	256.78	176.29	199.85	70.01	94.01	60.39	39.79	40.93	19.68	128.79	0.0	218.79
POLR2C	2119.22	802.41	1175.27	1923.14	1407.55	1561.89	684.02	921.88	1369.04	802.41	2485.67	1008.9	1008.9	981.29	1015.93	1225.22	1477.58	1583.71	1225.22	733.19	1519.15	2104.58	1407.55	775.05	854.13	713.11	607.87	884.29	808.0	1073.91	1628.26	733.19	1250.98	928.3	995.0	1183.45	1806.78	928.3	775.05	1540.37	902.89	775.05	2163.77	808.0	1427.22	764.36	693.58	819.3	1519.15	902.89	2047.0	1594.73	638.15	981.29	934.76	819.3	1233.75	1277.29	1519.15	1066.48	775.05	1331.57	656.11	866.07	1407.55	2018.8	1844.76	1340.84	1551.09	748.61	884.29	1030.12	1295.13	1437.15	836.53	921.88	872.1	967.76	1096.5	1167.14	872.1	1199.98	647.07	1388.16	1037.29	954.43	1259.69	860.08	624.99	1561.89	1909.85	1806.78	1963.57	890.44	1639.59	1167.14	733.19	1023.0	525.39	2178.83	0.0	2047.0
PRMT7	7280.4	1051.79	848.22	1159.07	928.3	1167.14	607.87	988.12	728.11	753.83	1745.2	381.68	688.78	567.1	748.61	1359.57	1322.37	1023.0	802.41	698.41	1119.56	1159.07	842.36	567.1	785.88	665.29	620.67	813.63	514.56	708.18	934.76	575.03	934.76	571.05	836.53	1088.92	1388.16	733.19	698.41	988.12	738.29	703.28	1477.58	647.07	1096.5	470.14	743.43	674.59	974.5	1127.35	825.0	759.08	583.07	633.73	842.36	764.36	1216.75	1950.0	1030.12	819.3	713.11	1437.15	718.08	376.41	1331.57	836.53	2075.59	1143.1	1066.48	713.11	909.17	848.22	1111.82	896.64	921.88	698.41	629.35	884.29	748.61	830.75	1001.93	748.61	703.28	1088.92	620.67	612.11	909.17	698.41	500.46	1359.57	1617.0	1427.22	1030.12	748.61	1233.75	928.3	764.36	769.69	379.04	1417.35	0.0	1639.59
PSKH1	1088.92	232.94	417.77	236.21	480.04	353.59	460.44	206.94	371.22	256.78	209.84	159.9	327.56	348.71	258.57	323.03	444.72	607.87	363.56	242.88	381.68	366.09	371.22	320.8	228.13	264.03	172.65	299.25	186.4	255.0	353.59	267.73	403.5	283.05	224.97	457.25	480.04	246.28	229.72	529.06	127.0	301.33	414.87	239.52	463.65	193.01	279.14	226.54	511.0	363.56	500.46	237.86	387.02	406.31	236.21	314.17	483.38	616.37	379.04	320.8	220.32	366.09	121.79	154.42	595.34	551.56	417.77	165.57	435.55	253.23	341.51	348.71	529.06	262.2	332.14	173.85	231.32	159.9	197.09	480.04	229.72	271.48	246.28	567.1	325.29	150.17	543.96	265.87	287.01	293.07	848.22	748.61	514.56	258.57	483.38	169.07	242.88	197.09	116.78	525.39	0.0	967.76
RANBP10	476.71	208.38	279.14	239.52	305.55	214.27	217.27	176.29	283.05	182.55	339.14	113.56	269.6	156.59	178.77	212.78	236.21	325.29	303.44	120.94	212.78	316.37	267.73	142.01	163.28	249.73	121.79	133.36	135.24	136.19	320.8	194.36	285.03	205.5	165.57	258.57	336.79	215.77	144.01	267.73	140.04	234.57	287.01	220.32	242.88	156.59	150.17	190.34	358.54	193.01	307.69	166.73	221.86	193.01	183.82	175.07	287.01	379.04	323.03	187.71	167.9	358.54	150.17	119.26	368.65	199.85	361.04	202.66	438.59	127.89	178.77	190.34	307.69	226.54	218.79	170.25	246.28	130.6	153.34	218.79	164.42	141.02	178.77	246.28	128.79	126.12	256.78	163.28	191.67	262.2	529.06	563.18	373.81	186.4	334.46	170.25	283.05	131.51	128.79	473.41	0.0	511.0
RBL2	1191.69	1127.35	1447.15	1378.57	934.76	713.11	525.39	438.59	1331.57	361.04	1250.98	620.67	961.07	507.46	638.15	341.51	808.0	780.44	1322.37	669.92	748.61	1369.04	830.75	1037.29	555.41	583.07	412.0	444.72	334.46	791.35	1216.75	473.41	629.35	684.02	796.86	813.63	1143.1	780.44	417.77	866.07	353.59	587.13	981.29	567.1	1143.1	490.14	490.14	708.18	1417.35	559.28	1242.34	915.51	563.18	679.29	612.11	587.13	403.5	928.3	947.83	483.38	476.71	1388.16	444.72	733.19	1081.39	753.83	1498.22	836.53	656.11	599.49	674.59	595.34	1127.35	684.02	620.67	633.73	591.22	473.41	866.07	967.76	796.86	563.18	521.76	629.35	595.34	486.75	961.07	579.04	540.19	684.02	1870.53	1721.16	1127.35	571.05	884.29	607.87	813.63	620.67	228.13	1081.39	0.0	1059.11
RFWD3	890.44	223.41	341.51	656.11	660.68	358.54	205.5	220.32	543.96	153.34	791.35	137.14	307.69	138.1	205.5	269.6	209.84	264.03	555.41	172.65	271.48	470.14	444.72	285.03	181.28	239.52	162.14	176.29	101.54	206.94	309.83	136.19	447.82	195.72	403.5	295.11	361.04	260.38	132.44	395.18	99.43	323.03	543.96	195.72	379.04	152.28	169.07	189.02	463.65	246.28	432.53	117.6	291.04	275.28	293.07	234.57	466.88	417.77	412.0	198.47	127.0	575.03	264.03	348.71	256.78	325.29	473.41	429.54	392.44	143.01	295.11	234.57	483.38	417.77	215.77	205.5	327.56	156.59	507.46	239.52	137.14	166.73	138.1	248.0	156.59	232.94	253.23	177.53	229.72	571.05	791.35	633.73	665.29	336.79	211.31	232.94	120.1	229.72	221.86	633.73	299.25	674.59
RSPRY1	595.34	336.79	587.13	854.13	507.46	332.14	332.14	244.57	507.46	224.97	947.83	267.73	316.37	285.03	271.48	373.81	395.18	551.56	595.34	241.19	490.14	688.78	476.71	373.81	373.81	381.68	381.68	476.71	293.07	320.8	733.19	389.72	551.56	356.05	414.87	392.44	669.92	332.14	346.29	536.45	271.48	346.29	591.22	423.61	567.1	507.46	334.46	420.68	825.0	336.79	647.07	503.95	281.09	511.0	389.72	307.69	543.96	595.34	409.15	332.14	283.05	830.75	287.01	426.57	447.82	457.25	743.43	397.93	660.68	314.17	271.48	316.37	466.88	389.72	444.72	395.18	339.14	293.07	387.02	305.55	206.94	339.14	246.28	444.72	361.04	289.02	371.22	224.97	287.01	490.14	1388.16	624.99	656.11	299.25	497.0	417.77	267.73	387.02	155.5	624.99	271.48	759.08
SETD6	921.88	346.29	295.11	447.82	543.96	438.59	120.94	323.03	470.14	343.89	583.07	170.25	212.78	211.31	329.84	529.06	392.44	412.0	358.54	258.57	384.34	514.56	476.71	237.86	190.34	182.55	185.11	194.36	224.97	275.28	381.68	191.67	167.9	258.57	275.28	299.25	669.92	293.07	234.57	743.43	190.34	165.57	356.05	156.59	392.44	217.27	206.94	185.11	493.56	318.57	500.46	529.06	244.57	204.07	232.94	244.57	211.31	633.73	265.87	332.14	253.23	336.79	267.73	182.55	457.25	493.56	607.87	334.46	406.31	215.77	384.34	202.66	392.44	363.56	301.33	204.07	473.41	133.36	320.8	281.09	190.34	316.37	166.73	395.18	141.02	248.0	366.09	269.6	312.0	669.92	507.46	555.41	381.68	198.47	460.44	343.89	260.38	244.57	212.78	638.15	0.0	854.13
SLC7A6OS	860.08	198.47	244.57	246.28	444.72	189.02	141.02	165.57	318.57	100.83	356.05	96.01	131.51	107.38	147.06	251.48	223.41	194.36	249.73	115.16	167.9	356.05	231.32	194.36	115.16	129.69	119.26	177.53	115.97	162.14	221.86	172.65	246.28	172.65	150.17	190.34	279.14	172.65	143.01	314.17	92.7	138.1	249.73	145.02	183.82	151.22	182.55	131.51	283.05	157.68	358.54	142.01	123.5	189.02	153.34	159.9	221.86	249.73	226.54	177.53	159.9	231.32	144.01	117.6	201.25	214.27	334.46	170.25	265.87	127.89	171.45	138.1	262.2	171.45	147.06	163.28	135.24	125.24	150.17	172.65	124.37	159.9	121.79	209.84	116.78	155.5	224.97	140.04	140.04	204.07	387.02	332.14	323.03	130.6	226.54	154.42	134.3	141.02	84.63	476.71	0.0	497.0
SPG7	2485.67	708.18	1051.79	921.88	1096.5	1127.35	571.05	981.29	896.64	802.41	1388.16	423.61	981.29	642.59	616.37	1191.69	1059.11	1397.83	612.11	460.44	1088.92	842.36	1191.69	575.03	551.56	638.15	612.11	603.67	511.0	708.18	1030.12	647.07	890.44	583.07	961.07	981.29	1216.75	674.59	679.29	1388.16	497.0	575.03	928.3	607.87	1268.46	493.56	656.11	612.11	1015.93	688.78	1674.06	733.19	693.58	599.49	493.56	665.29	769.69	1991.0	693.58	500.46	688.78	1030.12	656.11	420.68	1135.2	988.12	1322.37	878.17	981.29	575.03	785.88	743.43	878.17	791.35	825.0	583.07	743.43	525.39	679.29	825.0	660.68	480.04	514.56	866.07	473.41	490.14	1233.75	728.11	603.67	1378.57	1388.16	1457.23	1191.69	444.72	1015.93	764.36	759.08	612.11	327.56	2178.83	0.0	2178.83
