	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
KLK5	703.28	214.27	0.0	1.79	0.0	0.0	0.0	3.32	11.73	2.92	1.04	2.78	3.59	2.73	2.53	2.51	0.0	1.39	10.88	1.04	3.72	7.17	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	19.82	0.0	10.0	0.41	0.0	0.0	3.06	41.81	36.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	902.89	13.03	0.77	2.66	3.2	0.0	2.56	0.82	0.72	1.14	0.0	0.0	2.29	2.27	1.01	4.5	0.0	1.73	8.92	0.0	2.68	2.29	2.18	0.0
KMT2A	325.29	540.19	138.1	157.68	334.46	273.37	371.22	295.11	373.81	332.14	246.28	287.01	325.29	363.56	258.57	291.04	297.17	301.33	269.6	314.17	249.73	363.56	122.64	187.71	232.94	161.02	88.88	59.13	100.13	99.43	135.24	148.09	150.17	234.57	137.14	178.77	138.1	157.68	150.17	137.14	220.32	141.02	190.34	130.6	170.25	109.66	223.41	128.79	329.84	12.45	79.45	162.14	256.78	279.14	138.1	64.8	105.15	59.55	80.01	126.12	141.02	56.28	90.14	87.65	88.26	73.54	116.78	80.01	99.43	66.18	94.01	547.75	314.17	688.78	693.58	279.14	316.37	397.93	591.22	511.0	555.41	323.03	318.57	191.67	144.01	173.85	297.17	312.0	165.57	314.17	100.83	218.79	170.25	88.88	303.44
KMT2E	759.08	791.35	669.92	559.28	780.44	490.14	1111.82	928.3	753.83	902.89	638.15	775.05	813.63	928.3	728.11	909.17	808.0	813.63	728.11	599.49	579.04	896.64	223.41	199.85	242.88	320.8	197.09	186.4	148.09	228.13	323.03	258.57	281.09	253.23	215.77	318.57	220.32	454.09	297.17	253.23	195.72	267.73	279.14	348.71	406.31	202.66	583.07	256.78	759.08	33.3	59.55	376.41	473.41	470.14	426.57	107.38	157.68	177.53	79.45	205.5	217.27	98.04	158.79	135.24	201.25	204.07	197.09	182.55	351.14	122.64	217.27	1359.57	866.07	1151.06	1268.46	688.78	660.68	1191.69	1242.34	1044.52	1096.5	684.02	1135.2	429.54	205.5	480.04	753.83	665.29	384.34	450.94	289.02	540.19	429.54	265.87	599.49
KRT73	0.0	2.84	1.51	1.85	3.06	0.0	0.0	0.71	2.27	5.59	0.0	1.75	0.0	1.0	1.45	1.81	1.51	3.69	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	1.39	1.66	3.63	0.0	3.96	0.0	0.43	0.0	1.04	0.48	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.83	3.35	9.06	0.53	4.62	1.99	2.29	0.0	0.0	0.31	2.1	5.11	2.48	0.0	3.89	0.0	1.64	1.58	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.39
LATS1	387.02	314.17	96.68	114.36	161.02	236.21	295.11	223.41	273.37	295.11	244.57	312.0	287.01	351.14	221.86	258.57	198.47	297.17	209.84	285.03	151.22	171.45	82.87	94.67	101.54	84.63	55.1	57.08	51.71	73.54	85.22	94.01	82.87	111.21	73.54	80.01	63.0	139.07	66.18	94.01	92.7	66.18	62.12	118.43	205.5	151.22	251.48	67.59	236.21	24.63	59.55	125.24	217.27	212.78	74.06	74.06	93.35	73.54	60.82	100.13	131.51	62.56	92.7	64.8	73.54	106.63	68.55	98.73	64.34	65.72	97.36	363.56	339.14	336.79	305.55	217.27	218.79	155.5	363.56	381.68	341.51	170.25	457.25	142.01	94.67	139.07	215.77	239.52	145.02	173.85	119.26	148.09	170.25	105.15	236.21
LDLRAD2	651.58	1340.84	127.89	190.34	249.73	540.19	466.88	555.41	981.29	743.43	500.46	830.75	713.11	555.41	842.36	607.87	525.39	780.44	587.13	660.68	532.74	1167.14	275.28	86.43	90.14	199.85	154.42	171.45	329.84	85.82	62.12	228.13	205.5	47.5	237.86	111.99	171.45	21.47	89.51	125.24	99.43	175.07	158.79	66.18	64.34	616.37	187.71	182.55	842.36	87.65	69.52	114.36	260.38	190.34	90.77	54.72	108.14	182.55	63.0	417.77	88.88	118.43	14.03	23.59	126.12	208.38	55.49	176.29	76.71	457.25	1037.29	1037.29	287.01	253.23	518.15	154.42	551.56	698.41	518.15	718.08	703.28	236.21	607.87	147.06	202.66	152.28	232.94	258.57	303.44	157.68	480.04	713.11	234.57	511.0	285.03
LRP2BP	35.0	25.72	12.45	19.11	17.51	80.01	124.37	163.28	64.8	108.9	88.88	82.29	94.67	84.63	204.07	65.26	139.07	97.36	105.89	117.6	89.51	101.54	24.46	15.0	42.71	26.28	40.93	25.91	20.56	24.63	35.76	31.45	18.7	23.76	22.43	22.92	16.15	34.02	26.47	31.0	17.25	12.64	28.04	20.11	15.91	13.93	68.07	38.4	110.43	12.93	13.62	53.19	41.52	18.29	22.92	16.15	5.54	14.24	12.55	10.39	21.63	6.46	23.76	11.91	20.26	16.03	12.64	20.56	14.24	8.25	21.63	138.1	138.1	43.02	54.72	27.84	21.47	21.01	95.34	32.13	43.63	12.0	57.89	7.75	11.04	17.0	25.17	35.5	16.27	23.25	33.54	27.84	55.1	15.8	62.12
MAP3K4	373.81	339.14	297.17	312.0	281.09	379.04	463.65	503.95	540.19	514.56	373.81	595.34	503.95	423.61	253.23	450.94	540.19	429.54	403.5	470.14	351.14	361.04	190.34	162.14	152.28	190.34	158.79	165.57	156.59	201.25	153.34	195.72	201.25	164.42	255.0	217.27	189.02	199.85	275.28	199.85	199.85	158.79	181.28	151.22	197.09	177.53	366.09	165.57	329.84	21.16	130.6	255.0	312.0	269.6	178.77	119.26	130.6	94.01	102.25	251.48	153.34	117.6	164.42	128.79	170.25	138.1	183.82	166.73	164.42	161.02	187.71	547.75	796.86	567.1	420.68	256.78	323.03	224.97	403.5	343.89	285.03	232.94	674.59	206.94	169.07	271.48	309.83	334.46	166.73	279.14	275.28	214.27	218.79	248.0	463.65
MAP7D1	2627.46	2075.59	748.61	1199.98	1991.0	4123.49	2224.63	2796.65	2178.83	3235.01	4066.71	3018.3	4298.64	3212.66	3794.3	2591.27	2835.7	3690.52	3847.29	3491.39	3768.09	3325.99	2367.9	551.56	2133.97	830.75	1135.2	684.02	1417.35	791.35	607.87	1119.56	759.08	1883.54	2875.3	878.17	934.76	603.67	825.0	669.92	733.19	3372.43	854.13	529.06	616.37	693.58	1073.91	802.41	2090.03	197.09	1208.34	769.69	1015.93	967.76	825.0	708.18	698.41	915.51	1151.06	1407.55	642.59	1617.0	748.61	848.22	1277.29	1540.37	1427.22	1340.84	395.18	414.87	1119.56	4481.23	1883.54	1583.71	3515.68	934.76	1059.11	1651.0	4639.29	2720.15	3639.7	1059.11	2351.53	1073.91	1015.93	1295.13	1832.01	2682.69	1268.46	1250.98	1950.0	1832.01	1733.13	1447.15	1709.26
MFSD11	587.13	674.59	423.61	447.82	454.09	417.77	507.46	551.56	532.74	507.46	454.09	529.06	483.38	620.67	329.84	571.05	414.87	358.54	595.34	379.04	366.09	466.88	202.66	178.77	486.75	198.47	258.57	134.3	206.94	161.02	183.82	193.01	212.78	217.27	186.4	241.19	214.27	144.01	185.11	241.19	262.2	162.14	181.28	165.57	320.8	346.29	291.04	176.29	460.44	101.54	400.71	195.72	316.37	336.79	226.54	432.53	256.78	199.85	318.57	336.79	248.0	514.56	211.31	273.37	423.61	287.01	221.86	403.5	291.04	708.18	239.52	1096.5	764.36	559.28	376.41	417.77	358.54	397.93	366.09	559.28	497.0	366.09	703.28	470.14	507.46	397.93	389.72	536.45	473.41	466.88	264.03	500.46	693.58	226.54	595.34
MGAT5B	7.06	85.82	7.82	13.52	7.34	16.63	47.5	23.59	37.32	8.92	7.22	19.11	11.47	25.35	9.34	46.84	26.28	34.26	11.13	20.56	59.97	28.86	1.39	0.8	1.35	1.64	1.5	3.32	8.58	1.64	1.31	2.51	2.89	1.19	1.79	2.07	5.41	2.89	0.83	2.01	2.03	1.66	1.95	5.41	56.28	17.51	0.55	2.48	15.45	2.76	0.88	3.17	7.63	14.45	1.23	1.69	0.42	3.59	1.58	6.89	5.19	1.87	2.56	0.78	0.43	1.85	0.39	1.0	1.03	2.46	25.91	80.57	25.54	16.39	18.16	2.76	21.32	5.54	17.77	15.68	26.1	1.71	78.34	1.64	0.75	11.21	2.68	14.35	33.06	8.13	18.97	3.96	14.03	15.8	16.75
MLKL	397.93	684.02	480.04	384.34	334.46	301.33	753.83	860.08	607.87	620.67	214.27	368.65	269.6	323.03	612.11	679.29	866.07	353.59	329.84	303.44	420.68	532.74	107.38	61.68	25.35	120.1	86.43	27.05	132.44	40.64	30.78	120.1	159.9	34.26	65.26	134.3	66.18	54.72	31.0	91.41	56.28	37.59	56.68	34.51	106.63	91.41	813.63	95.34	651.58	23.76	118.43	105.15	109.66	157.68	293.07	61.68	197.09	138.1	175.07	356.05	171.45	191.67	205.5	141.02	366.09	138.1	101.54	239.52	91.41	103.69	612.11	1508.65	567.1	540.19	571.05	583.07	438.59	591.22	242.88	384.34	236.21	583.07	616.37	228.13	253.23	358.54	665.29	325.29	202.66	303.44	197.09	258.57	248.0	236.21	334.46
MON2	511.0	457.25	441.64	444.72	366.09	808.0	1199.98	1051.79	995.0	1088.92	642.59	1023.0	842.36	1073.91	1044.52	1001.93	872.1	842.36	647.07	1073.91	507.46	769.69	181.28	327.56	289.02	356.05	206.94	271.48	180.02	325.29	366.09	329.84	373.81	346.29	242.88	361.04	287.01	371.22	307.69	346.29	312.0	281.09	303.44	463.65	454.09	248.0	260.38	373.81	743.43	66.65	246.28	476.71	363.56	262.2	273.37	127.89	267.73	182.55	119.26	217.27	141.02	135.24	150.17	128.79	127.89	99.43	241.19	201.25	291.04	346.29	351.14	785.88	872.1	836.53	647.07	638.15	392.44	384.34	559.28	532.74	679.29	395.18	688.78	406.31	209.84	473.41	647.07	395.18	363.56	392.44	251.48	267.73	457.25	248.0	808.0
MORC3	450.94	480.04	269.6	224.97	281.09	423.61	607.87	587.13	497.0	633.73	454.09	620.67	551.56	890.44	381.68	629.35	511.0	518.15	417.77	583.07	361.04	400.71	242.88	177.53	275.28	307.69	157.68	120.1	170.25	141.02	134.3	190.34	161.02	297.17	273.37	191.67	190.34	384.34	145.02	291.04	155.5	117.6	96.01	307.69	279.14	159.9	358.54	161.02	480.04	78.89	77.79	256.78	237.86	253.23	114.36	97.36	129.69	72.01	72.01	181.28	170.25	94.67	101.54	100.13	120.1	120.94	143.01	126.12	117.6	217.27	164.42	688.78	743.43	665.29	599.49	244.57	420.68	260.38	486.75	403.5	412.0	186.4	733.19	346.29	175.07	283.05	490.14	353.59	215.77	341.51	223.41	299.25	234.57	204.07	497.0
MSRB3	2032.85	2451.44	143.01	441.64	1167.14	1832.01	1233.75	1651.0	967.76	974.5	1870.53	1242.34	1295.13	1175.27	1151.06	854.13	1340.84	1697.45	1540.37	1819.35	1340.84	1304.15	56.68	26.86	111.21	94.01	30.56	16.75	60.39	38.12	17.9	140.04	89.51	23.25	61.68	19.53	44.25	82.87	31.67	71.0	112.77	194.36	47.17	60.82	262.2	262.2	518.15	214.27	1519.15	15.22	57.49	221.86	387.02	371.22	30.34	40.07	51.35	82.29	41.81	293.07	56.68	164.42	15.22	11.21	65.26	164.42	40.07	31.45	39.22	41.81	303.44	1857.6	769.69	351.14	1540.37	111.21	507.46	665.29	3395.89	1923.14	3395.89	75.11	1340.84	138.1	69.52	334.46	1151.06	1407.55	583.07	384.34	107.38	629.35	165.57	143.01	341.51
MT-CO3	1238359.56	1336472.68	2581895.97	2945333.38	2493947.08	2068278.89	2442622.37	1916442.45	2186208.16	2493947.08	2216726.5	1535204.12	2564061.5	1462493.73	2279047.19	2392353.91	1890058.21	1679964.3	2805836.45	2068278.89	1715263.94	2528761.3	2263304.65	1997825.68	3007221.12	2156109.97	3754006.24	2476720.12	2476720.12	2294899.22	2359417.65	1970321.01	2636147.11	2924988.47	1715263.94	1800541.22	2476720.12	2247670.86	1788103.97	1838374.44	1929772.37	1956711.0	1472666.19	1916442.45	3091765.64	2845004.48	3478417.29	3601083.44	1452391.55	2476720.12	3336720.86	2672946.37	3007221.12	2392353.91	2232145.06	2126426.15	1383603.33	3313672.43	2729110.67	1851161.35	1903204.61	3383299.76	2171106.91	1703415.74	2141216.62	2442622.37	1462493.73	4165330.83	3049200.37	2216726.5	3223059.86	606436.73	875652.15	1763486.6	1589343.01	2141216.62	2011721.67	2546350.23	1308968.45	1100706.72	1383603.33	2786455.11	1452391.55	2126426.15	2786455.11	2279047.19	1788103.97	3028138.0	3806410.22	2805836.45	3178687.03	3049200.37	2294899.22	2767207.65	1679964.3
MYH2	6.16	0.25	1.22	6.62	5.06	1.99	0.0	6.41	14.78	1.97	1.68	2.76	10.55	5.77	6.62	4.94	0.35	41.81	11.47	6.21	7.69	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11	41.22	9.78	0.0	7.75	0.0	0.0	0.0	12.36	2.18	11.82	0.0	5.28	1.43	3.59	0.55	3.35	3.32	2.14	2.86	0.0	2.07	0.0	0.0	0.09
NEK7	2004.85	947.83	303.44	366.09	624.99	638.15	928.3	733.19	878.17	947.83	915.51	860.08	718.08	1030.12	748.61	878.17	753.83	884.29	941.27	1225.22	656.11	860.08	305.55	409.15	403.5	305.55	316.37	202.66	248.0	305.55	283.05	406.31	265.87	493.56	297.17	371.22	241.19	559.28	229.72	320.8	341.51	312.0	241.19	303.44	1030.12	638.15	591.22	249.73	860.08	406.31	217.27	423.61	866.07	890.44	397.93	208.38	264.03	151.22	178.77	353.59	309.83	202.66	193.01	146.03	172.65	417.77	173.85	228.13	438.59	214.27	351.14	1397.83	1685.71	819.3	769.69	336.79	651.58	591.22	1167.14	921.88	1127.35	363.56	1963.57	540.19	312.0	395.18	872.1	974.5	587.13	536.45	343.89	376.41	339.14	403.5	612.11
NFATC3	555.41	366.09	98.04	104.42	186.4	214.27	186.4	194.36	185.11	249.73	176.29	244.57	172.65	283.05	169.07	217.27	182.55	221.86	234.57	228.13	223.41	273.37	91.41	103.69	125.24	98.04	102.97	76.17	74.06	97.36	146.03	122.64	75.64	110.43	92.05	93.35	80.57	215.77	110.43	116.78	110.43	41.81	107.38	204.07	215.77	153.34	145.02	130.6	189.02	10.47	102.25	208.38	351.14	361.04	197.09	141.02	71.5	76.71	129.69	183.82	147.06	120.1	223.41	145.02	107.38	170.25	94.01	146.03	190.34	105.89	134.3	511.0	493.56	480.04	567.1	273.37	297.17	283.05	379.04	429.54	329.84	318.57	356.05	150.17	163.28	176.29	218.79	215.77	164.42	155.5	186.4	149.12	295.11	84.63	212.78
NOTCH1	277.2	563.18	490.14	620.67	713.11	551.56	379.04	329.84	299.25	397.93	429.54	314.17	466.88	426.57	629.35	387.02	373.81	320.8	361.04	476.71	559.28	368.65	181.28	53.19	98.04	191.67	137.14	71.5	106.63	85.22	104.42	217.27	105.15	65.26	194.36	181.28	71.5	100.13	95.34	193.01	111.99	67.12	81.14	144.01	127.89	78.89	738.29	141.02	483.38	18.56	55.49	95.34	150.17	191.67	86.43	82.29	76.17	48.87	59.13	183.82	50.27	100.13	84.63	45.21	60.39	78.34	151.22	94.67	104.42	65.26	325.29	718.08	320.8	620.67	587.13	323.03	473.41	429.54	563.18	473.41	819.3	466.88	457.25	147.06	104.42	155.5	237.86	384.34	269.6	334.46	185.11	251.48	285.03	202.66	348.71
NPAT	236.21	183.82	91.41	135.24	87.03	96.01	129.69	102.25	113.56	113.56	108.14	136.19	109.66	158.79	111.21	116.78	86.43	130.6	82.87	126.12	95.34	114.36	77.79	120.1	126.12	131.51	73.54	43.32	74.58	38.4	50.27	151.22	125.24	150.17	98.73	108.9	92.7	87.03	50.63	117.6	133.36	71.0	126.12	87.65	141.02	61.25	104.42	80.57	154.42	49.91	25.72	71.0	152.28	147.06	78.34	38.12	56.28	55.49	42.71	82.87	75.11	32.82	79.45	77.79	68.07	64.8	66.65	71.0	105.15	48.87	87.03	312.0	229.72	320.8	236.21	176.29	164.42	120.1	158.79	159.9	211.31	152.28	258.57	105.89	54.33	96.01	172.65	124.37	115.97	211.31	84.04	194.36	85.22	71.5	145.02
NTF3	131.51	384.34	39.22	39.5	50.27	27.84	18.03	37.85	74.58	32.82	8.0	31.0	166.73	87.65	27.84	115.16	24.81	47.84	25.54	44.89	25.72	42.71	5.87	4.62	13.03	9.27	1.48	2.89	10.39	0.0	1.3	9.06	13.32	5.82	5.73	2.05	7.0	5.32	3.23	5.54	13.93	29.27	9.06	5.02	11.73	26.47	39.79	28.04	244.57	1.19	10.88	40.07	87.65	68.55	4.03	8.25	6.31	7.57	1.97	4.98	1.75	14.56	4.24	5.19	0.43	31.9	1.87	9.2	1.68	9.7	64.34	454.09	62.56	8.25	114.36	18.16	50.27	209.84	39.5	29.27	81.71	12.83	429.54	18.97	25.17	52.08	97.36	171.45	189.02	65.72	5.11	27.25	23.93	8.99	18.7
NUP153	616.37	435.55	198.47	206.94	273.37	218.79	287.01	341.51	267.73	295.11	212.78	312.0	215.77	376.41	314.17	299.25	264.03	325.29	173.85	262.2	262.2	312.0	128.79	191.67	145.02	170.25	78.34	120.94	109.66	166.73	204.07	180.02	147.06	209.84	129.69	150.17	156.59	236.21	171.45	151.22	202.66	108.14	150.17	228.13	237.86	143.01	368.65	144.01	291.04	25.54	223.41	218.79	305.55	376.41	120.1	141.02	199.85	125.24	140.04	125.24	177.53	166.73	185.11	173.85	148.09	148.09	204.07	187.71	599.49	81.14	175.07	555.41	432.53	536.45	423.61	303.44	480.04	193.01	412.0	432.53	476.71	358.54	366.09	234.57	134.3	260.38	264.03	253.23	208.38	214.27	201.25	214.27	271.48	197.09	262.2
NUP160	373.81	417.77	246.28	289.02	301.33	289.02	454.09	447.82	483.38	397.93	305.55	403.5	336.79	454.09	273.37	403.5	346.29	307.69	260.38	339.14	223.41	320.8	177.53	353.59	392.44	366.09	176.29	102.97	215.77	241.19	154.42	318.57	318.57	409.15	195.72	343.89	262.2	221.86	215.77	239.52	351.14	166.73	301.33	212.78	283.05	241.19	368.65	295.11	381.68	144.01	262.2	265.87	303.44	346.29	218.79	211.31	297.17	279.14	152.28	287.01	343.89	181.28	265.87	237.86	217.27	159.9	220.32	262.2	271.48	109.66	239.52	896.64	1167.14	718.08	551.56	363.56	417.77	457.25	389.72	521.76	457.25	341.51	447.82	242.88	137.14	220.32	323.03	205.5	232.94	244.57	297.17	234.57	211.31	215.77	447.82
NUP54	1191.69	529.06	532.74	647.07	595.34	473.41	698.41	656.11	651.58	563.18	551.56	633.73	620.67	693.58	802.41	536.45	432.53	785.88	463.65	607.87	379.04	457.25	356.05	358.54	301.33	320.8	366.09	244.57	323.03	314.17	285.03	297.17	339.14	412.0	334.46	412.0	295.11	571.05	343.89	361.04	316.37	251.48	217.27	379.04	373.81	384.34	351.14	435.55	551.56	381.68	187.71	540.19	400.71	412.0	368.65	120.94	204.07	149.12	121.79	368.65	251.48	165.57	269.6	291.04	264.03	189.02	237.86	212.78	466.88	299.25	339.14	1096.5	974.5	674.59	753.83	450.94	651.58	532.74	540.19	651.58	723.08	329.84	1015.93	460.44	226.54	327.56	346.29	470.14	438.59	486.75	341.51	684.02	444.72	287.01	679.29
NXN	476.71	796.86	114.36	297.17	830.75	1242.34	796.86	1427.22	748.61	1008.9	1733.13	1167.14	1331.57	808.0	486.75	2119.22	1844.76	791.35	1340.84	775.05	1388.16	808.0	96.01	29.06	57.49	111.99	41.22	27.84	80.57	17.9	26.28	111.21	129.69	30.12	82.29	41.52	34.26	40.07	47.5	101.54	60.82	94.01	84.04	55.1	162.14	137.14	409.15	120.94	376.41	31.45	88.26	144.01	264.03	224.97	587.13	251.48	47.17	40.07	122.64	341.51	1135.2	209.84	139.07	387.02	620.67	127.0	156.59	466.88	599.49	52.08	414.87	6792.79	848.22	483.38	1159.07	540.19	470.14	603.67	1508.65	1733.13	974.5	246.28	612.11	217.27	438.59	381.68	785.88	1529.73	426.57	629.35	325.29	1233.75	177.53	285.03	921.88
OSR1	454.09	457.25	90.77	209.84	248.0	1030.12	674.59	463.65	1923.14	1639.59	708.18	1870.53	208.38	1529.73	813.63	854.13	536.45	1477.58	1286.18	1322.37	738.29	571.05	1.39	5.82	7.88	11.73	2.97	5.77	18.16	2.05	9.85	17.38	12.45	0.42	1.36	4.5	17.77	21.32	4.46	3.63	6.06	14.24	23.93	2.34	7.57	8.51	20.56	10.88	77.25	0.42	15.68	25.54	23.25	25.54	209.84	32.13	23.25	38.95	28.86	17.25	93.35	72.52	40.07	83.45	65.26	77.25	78.34	46.18	43.02	1.89	48.87	2047.0	466.88	185.11	197.09	21.16	43.02	91.41	75.64	287.01	60.39	18.7	612.11	27.84	47.5	62.12	53.95	123.5	82.87	105.15	2.78	98.73	9.93	3.08	170.25
PBRM1	447.82	511.0	206.94	212.78	426.57	251.48	244.57	301.33	242.88	229.72	264.03	281.09	244.57	295.11	139.07	217.27	269.6	262.2	258.57	287.01	186.4	223.41	134.3	209.84	194.36	151.22	94.67	115.16	100.83	175.07	166.73	217.27	177.53	220.32	140.04	140.04	138.1	181.28	144.01	182.55	178.77	153.34	154.42	297.17	246.28	100.13	215.77	136.19	262.2	29.27	120.1	262.2	244.57	309.83	138.1	146.03	27.64	30.12	92.7	128.79	121.79	77.79	131.51	142.01	94.67	108.9	53.19	154.42	172.65	117.6	142.01	497.0	555.41	547.75	432.53	392.44	289.02	269.6	669.92	460.44	521.76	334.46	400.71	267.73	150.17	289.02	414.87	389.72	215.77	339.14	187.71	264.03	438.59	195.72	281.09
PCM1	2319.15	1832.01	780.44	890.44	1447.15	1313.23	1963.57	2148.82	2271.4	2400.97	1794.29	2287.2	2032.85	2351.53	2303.12	1950.0	2061.24	1909.85	1639.59	2133.97	1477.58	1909.85	1001.93	616.37	1066.48	1167.14	1008.9	1073.91	559.28	1030.12	974.5	866.07	1674.06	1001.93	941.27	860.08	941.27	954.43	1216.75	1023.0	1023.0	1397.83	656.11	909.17	1369.04	1104.13	2209.26	1159.07	1605.83	791.35	224.97	1407.55	1304.15	1313.23	738.29	395.18	651.58	698.41	403.5	1417.35	1208.34	518.15	708.18	764.36	872.1	1208.34	872.1	796.86	866.07	981.29	1757.34	4066.71	7180.15	2335.28	1909.85	1159.07	2434.5	1378.57	1651.0	1437.15	1551.09	928.3	2384.37	954.43	1417.35	848.22	759.08	1104.13	1498.22	981.29	1794.29	2384.37	1277.29	974.5	2104.58
