	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.13YAN.0926.SM.5O9C3	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.14C38.0826.SM.5S2U8	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
TMEM232	12.83	3.89	4.03	17.0	6.46	8.78	12.27	3.47	0.62	7.82	3.72	0.32	12.09	15.45	4.98	18.7	18.7	10.88	10.39	20.86	127.89	182.55	102.25	127.89	579.04	76.71	138.1	106.63	318.57	113.56	63.45	119.26	150.17	156.59	108.9	93.35	115.97	130.6	150.17	162.14	133.36	111.99	163.28	116.78	151.22	130.6	146.03	143.01	113.56	119.26	132.44	111.21	123.5	88.26	90.14	102.25	129.69	94.01	124.37	111.21	118.43	87.65	128.79	103.69	110.43	93.35	126.12	86.43	127.0	118.43	143.01	8.85	0.0	84.63	79.45	51.71	145.02	109.66	61.25	127.89	149.12	131.51	99.43	73.54	36.79	40.36	142.01
TMEM245	295.11	231.32	251.48	201.25	287.01	226.54	220.32	180.02	540.19	221.86	299.25	287.01	273.37	607.87	403.5	275.28	244.57	220.32	295.11	603.67	995.0	698.41	1008.9	848.22	693.58	669.92	1709.26	1159.07	1519.15	1923.14	1159.07	363.56	954.43	1286.18	1059.11	1066.48	1191.69	1008.9	1096.5	1250.98	1030.12	995.0	1350.18	753.83	1697.45	1304.15	1313.23	1286.18	1159.07	981.29	941.27	1216.75	1081.39	947.83	1066.48	1191.69	1104.13	563.18	941.27	866.07	878.17	860.08	995.0	909.17	1059.11	961.07	1127.35	902.89	872.1	961.07	915.51	201.25	287.01	954.43	1059.11	1388.16	1857.6	1350.18	1159.07	2591.27	1127.35	1477.58	1073.91	1583.71	1685.71	785.88	1832.01
TNIP1	928.3	1883.54	1519.15	2119.22	921.88	866.07	1350.18	1498.22	1605.83	1639.59	1322.37	674.59	1909.85	1844.76	1529.73	836.53	1923.14	915.51	1437.15	1551.09	2720.15	2240.11	2895.31	2627.46	4268.94	1950.0	3280.18	3395.89	2976.74	1844.76	2090.03	8901.53	2855.44	2935.74	2367.9	2351.53	2537.92	2384.37	2796.65	2609.3	3212.66	2609.3	2682.69	2720.15	2255.7	3039.3	2485.67	2915.45	2591.27	2537.92	2645.74	2835.7	1977.24	2627.46	2133.97	2163.77	2609.3	2720.15	2682.69	2875.3	2627.46	3190.46	3212.66	2682.69	3190.46	2720.15	2573.36	2855.44	2739.08	2417.67	2645.74	3018.3	0.0	1991.0	1781.89	2004.85	1191.69	1286.18	1806.78	1407.55	1331.57	1447.15	1936.53	1447.15	1111.82	1685.71	1331.57
TRIM55	1.71	0.0	0.32	5.32	1.71	0.38	0.0	0.0	0.31	3.44	0.75	0.89	0.0	0.0	2.34	1.19	2.39	0.95	0.0	3.59	111.99	279.14	106.63	204.07	1417.35	27.84	94.67	88.88	176.29	163.28	99.43	497.0	93.35	156.59	57.08	130.6	117.6	38.67	173.85	208.38	181.28	173.85	166.73	214.27	177.53	105.89	151.22	165.57	149.12	120.94	183.82	175.07	144.01	89.51	64.8	111.99	190.34	151.22	167.9	88.88	181.28	128.79	165.57	89.51	181.28	143.01	124.37	146.03	50.98	70.01	161.02	26.1	0.0	6.36	5.06	6.57	6.94	8.19	3.14	2.81	12.09	4.7	25.54	3.79	7.34	4.43	12.83
TRPM3	0.0	0.0	0.0	0.0	0.34	0.0	0.37	0.0	0.0	0.62	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	1.33	12.55	229.72	218.79	215.77	190.34	679.29	111.99	241.19	239.52	143.01	305.55	624.99	27.44	343.89	368.65	251.48	271.48	244.57	187.71	283.05	384.34	289.02	215.77	339.14	239.52	500.46	318.57	356.05	327.56	262.2	361.04	406.31	346.29	171.45	208.38	128.79	204.07	312.0	162.14	234.57	242.88	231.32	295.11	295.11	327.56	320.8	281.09	384.34	303.44	172.65	309.83	323.03	1.41	1.16	20.71	6.31	7.57	29.91	44.57	1.75	36.53	85.82	10.16	23.42	5.73	5.28	10.63	5.28
UFSP2	397.93	237.86	327.56	327.56	366.09	295.11	291.04	483.38	246.28	221.86	305.55	356.05	181.28	567.1	251.48	343.89	480.04	285.03	473.41	620.67	1037.29	884.29	1037.29	825.0	1447.15	836.53	1015.93	775.05	928.3	1183.45	1304.15	1088.92	1008.9	1037.29	947.83	1096.5	954.43	961.07	1175.27	1037.29	1199.98	1331.57	1044.52	1088.92	1277.29	1259.69	1051.79	1369.04	1037.29	1008.9	1051.79	1081.39	988.12	1008.9	1044.52	988.12	1059.11	1159.07	928.3	698.41	981.29	884.29	1044.52	974.5	860.08	813.63	1250.98	647.07	775.05	884.29	1073.91	327.56	0.0	836.53	718.08	884.29	981.29	954.43	791.35	1001.93	830.75	934.76	1081.39	1066.48	872.1	796.86	921.88
UGT8	0.0	0.0	25.17	9.48	37.59	0.77	2.58	1.17	0.0	24.99	1.51	0.62	25.35	1.03	28.45	7.46	0.38	0.34	0.71	6.01	708.18	376.41	414.87	450.94	178.77	909.17	961.07	571.05	2451.44	941.27	902.89	41.22	353.59	656.11	595.34	521.76	733.19	444.72	397.93	1051.79	616.37	629.35	967.76	435.55	547.75	688.78	825.0	921.88	563.18	514.56	587.13	819.3	348.71	559.28	384.34	603.67	463.65	567.1	547.75	312.0	358.54	718.08	896.64	587.13	373.81	351.14	450.94	503.95	450.94	312.0	429.54	0.0	0.0	85.22	41.81	35.5	13.93	206.94	118.43	76.17	149.12	85.22	128.79	86.43	28.86	50.27	37.85
UNC119B	194.36	193.01	373.81	127.0	171.45	52.82	457.25	226.54	253.23	143.01	173.85	255.0	123.5	171.45	242.88	103.69	162.14	62.56	86.43	579.04	802.41	435.55	656.11	567.1	941.27	656.11	995.0	1388.16	1159.07	1313.23	961.07	1030.12	679.29	921.88	791.35	791.35	836.53	759.08	723.08	866.07	848.22	708.18	954.43	571.05	1023.0	909.17	934.76	860.08	872.1	660.68	708.18	836.53	616.37	738.29	571.05	775.05	902.89	521.76	674.59	633.73	708.18	708.18	796.86	836.53	759.08	718.08	819.3	713.11	693.58	890.44	808.0	86.43	0.0	802.41	808.0	638.15	872.1	988.12	743.43	1008.9	988.12	842.36	1119.56	753.83	854.13	476.71	1081.39
UNC13B	209.84	226.54	121.79	163.28	211.31	287.01	205.5	189.02	234.57	181.28	163.28	206.94	244.57	463.65	194.36	353.59	169.07	173.85	106.63	291.04	638.15	312.0	547.75	376.41	656.11	532.74	941.27	599.49	587.13	961.07	642.59	316.37	543.96	669.92	591.22	688.78	638.15	514.56	684.02	769.69	693.58	595.34	698.41	514.56	884.29	728.11	703.28	733.19	743.43	633.73	483.38	738.29	532.74	559.28	514.56	559.28	743.43	363.56	599.49	587.13	703.28	633.73	633.73	780.44	733.19	629.35	802.41	656.11	718.08	599.49	738.29	237.86	0.0	318.57	221.86	180.02	244.57	271.48	255.0	387.02	332.14	316.37	316.37	305.55	444.72	190.34	307.69
WRB	432.53	320.8	438.59	271.48	341.51	277.2	444.72	400.71	466.88	346.29	348.71	791.35	521.76	571.05	356.05	575.03	466.88	420.68	242.88	417.77	909.17	1119.56	802.41	954.43	1088.92	698.41	1242.34	1111.82	1397.83	1437.15	825.0	1216.75	866.07	836.53	974.5	854.13	1015.93	947.83	954.43	802.41	854.13	896.64	813.63	1051.79	1001.93	872.1	941.27	848.22	785.88	981.29	1037.29	759.08	1304.15	872.1	842.36	1340.84	909.17	1073.91	921.88	764.36	1059.11	688.78	941.27	769.69	928.3	981.29	902.89	791.35	802.41	836.53	934.76	460.44	0.0	616.37	595.34	493.56	808.0	802.41	764.36	698.41	559.28	543.96	688.78	620.67	603.67	624.99	571.05
WWC2	92.7	64.8	88.26	36.79	60.82	16.39	73.03	55.49	16.88	81.71	63.89	35.0	57.49	108.9	47.17	101.54	20.41	4.82	78.89	314.17	703.28	287.01	438.59	376.41	480.04	435.55	287.01	571.05	642.59	587.13	460.44	343.89	409.15	616.37	463.65	483.38	525.39	567.1	473.41	718.08	525.39	441.64	651.58	376.41	688.78	679.29	583.07	674.59	599.49	511.0	466.88	612.11	356.05	483.38	483.38	454.09	563.18	305.55	493.56	480.04	417.77	447.82	616.37	444.72	555.41	447.82	579.04	493.56	511.0	486.75	480.04	98.04	77.25	264.03	503.95	130.6	503.95	373.81	323.03	718.08	400.71	567.1	214.27	376.41	759.08	483.38	796.86
ZBED3	15.8	6.57	128.79	17.25	67.59	12.64	33.06	120.94	12.27	23.59	33.3	92.7	43.94	57.89	59.13	47.84	31.0	165.57	14.24	110.43	297.17	129.69	346.29	175.07	275.28	147.06	808.0	368.65	420.68	551.56	305.55	159.9	334.46	351.14	248.0	293.07	287.01	309.83	265.87	318.57	361.04	220.32	343.89	237.86	334.46	316.37	325.29	303.44	329.84	271.48	208.38	277.2	165.57	271.48	264.03	232.94	269.6	143.01	242.88	277.2	275.28	285.03	267.73	301.33	312.0	246.28	281.09	279.14	260.38	244.57	299.25	135.24	0.0	332.14	260.38	229.72	218.79	379.04	204.07	571.05	417.77	457.25	307.69	435.55	273.37	202.66	334.46
ZHX3	242.88	58.3	53.95	66.18	178.77	153.34	142.01	95.34	112.77	132.44	376.41	138.1	161.02	105.89	121.79	67.12	66.65	25.17	97.36	954.43	665.29	373.81	532.74	426.57	583.07	373.81	813.63	981.29	1104.13	808.0	785.88	647.07	638.15	890.44	463.65	629.35	470.14	521.76	723.08	1088.92	934.76	567.1	995.0	507.46	988.12	836.53	785.88	1030.12	738.29	616.37	587.13	651.58	325.29	669.92	551.56	529.06	738.29	332.14	620.67	525.39	703.28	819.3	647.07	642.59	728.11	567.1	703.28	559.28	753.83	595.34	660.68	435.55	0.0	409.15	314.17	262.2	460.44	551.56	314.17	579.04	406.31	486.75	309.83	633.73	633.73	265.87	490.14
