	TCGA.KM.8639.01A.11R.2403.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	GTEX.YB5E.0326.SM.5IFHU
MAGI1	287.01	785.88	287.01	175.07	85.82	139.07	438.59	366.09	587.13	551.56	511.0	476.71	438.59	221.86	195.72	162.14	116.78	120.1	329.84	181.28	178.77	256.78	44.57	145.02	229.72	139.07	171.45	81.71	105.89	66.65	153.34	148.09	146.03	115.16	189.02	115.97	152.28	81.71	170.25	150.17	191.67	260.38	177.53	173.85	162.14	297.17	231.32	271.48	88.88	182.55	78.34	368.65	125.24	178.77	256.78	172.65	135.24	255.0	217.27	137.14	199.85	150.17	143.01	96.01	205.5	181.28	325.29	109.66	223.41	58.71	209.84	444.72	127.89	88.26	100.83	120.94	137.14	99.43	145.02
MAN1A2	212.78	713.11	353.59	169.07	253.23	159.9	463.65	346.29	387.02	400.71	915.51	314.17	575.03	221.86	187.71	105.89	154.42	140.04	450.94	198.47	180.02	387.02	72.01	146.03	336.79	155.5	265.87	151.22	84.04	123.5	223.41	182.55	236.21	231.32	289.02	147.06	295.11	91.41	169.07	329.84	236.21	387.02	400.71	180.02	101.54	368.65	255.0	283.05	153.34	223.41	135.24	414.87	237.86	189.02	420.68	231.32	141.02	318.57	258.57	146.03	190.34	251.48	164.42	167.9	217.27	234.57	323.03	156.59	356.05	81.14	246.28	356.05	138.1	87.03	116.78	122.64	131.51	98.73	206.94
MED13	190.34	620.67	265.87	234.57	275.28	218.79	473.41	438.59	412.0	387.02	764.36	373.81	532.74	264.03	194.36	152.28	231.32	146.03	595.34	162.14	232.94	429.54	175.07	228.13	389.72	260.38	327.56	145.02	176.29	132.44	229.72	132.44	198.47	267.73	336.79	78.89	314.17	130.6	172.65	381.68	241.19	381.68	307.69	191.67	224.97	500.46	312.0	269.6	208.38	299.25	186.4	389.72	161.02	201.25	503.95	312.0	157.68	406.31	358.54	211.31	178.77	343.89	170.25	121.79	256.78	251.48	212.78	148.09	327.56	79.45	242.88	353.59	112.77	72.52	98.73	102.97	110.43	107.38	115.97
MEF2A	543.96	1963.57	921.88	403.5	591.22	551.56	981.29	872.1	1104.13	902.89	1250.98	669.92	1127.35	547.75	397.93	211.31	400.71	368.65	866.07	420.68	435.55	291.04	228.13	312.0	674.59	409.15	629.35	209.84	318.57	214.27	463.65	397.93	559.28	476.71	447.82	195.72	733.19	150.17	518.15	361.04	470.14	620.67	656.11	470.14	432.53	961.07	660.68	397.93	341.51	429.54	303.44	603.67	297.17	316.37	660.68	507.46	253.23	825.0	819.3	334.46	429.54	616.37	289.02	221.86	397.93	612.11	346.29	194.36	583.07	175.07	486.75	743.43	305.55	183.82	142.01	186.4	221.86	236.21	187.71
MEX3C	406.31	684.02	279.14	303.44	249.73	193.01	540.19	591.22	400.71	514.56	633.73	438.59	603.67	283.05	343.89	169.07	258.57	172.65	567.1	239.52	265.87	656.11	109.66	255.0	551.56	312.0	361.04	75.11	148.09	152.28	353.59	185.11	249.73	283.05	262.2	120.1	334.46	176.29	353.59	571.05	327.56	336.79	353.59	234.57	173.85	633.73	400.71	466.88	267.73	277.2	208.38	454.09	127.0	248.0	503.95	237.86	277.2	381.68	435.55	253.23	224.97	305.55	170.25	178.77	299.25	353.59	312.0	139.07	409.15	163.28	327.56	403.5	199.85	110.43	42.11	99.43	153.34	76.71	170.25
MIB1	417.77	616.37	208.38	112.77	153.34	102.97	358.54	348.71	435.55	376.41	688.78	275.28	403.5	95.34	122.64	52.08	143.01	82.29	348.71	115.97	116.78	267.73	39.5	112.77	201.25	113.56	180.02	38.4	73.54	56.28	146.03	84.04	127.0	155.5	171.45	58.71	171.45	49.21	128.79	277.2	149.12	204.07	167.9	105.15	60.82	318.57	208.38	249.73	107.38	143.01	72.52	262.2	61.25	115.97	248.0	132.44	80.01	214.27	224.97	112.77	137.14	100.13	98.73	80.01	138.1	150.17	173.85	46.5	241.19	71.0	198.47	285.03	97.36	68.55	49.56	77.79	68.07	53.95	98.04
MICAL2	65.26	547.75	353.59	454.09	242.88	191.67	848.22	559.28	406.31	483.38	674.59	511.0	967.76	633.73	76.17	109.66	325.29	138.1	466.88	159.9	258.57	559.28	36.79	232.94	567.1	218.79	299.25	54.72	85.82	145.02	363.56	96.01	177.53	409.15	417.77	72.52	307.69	14.35	591.22	318.57	212.78	329.84	403.5	246.28	181.28	1037.29	209.84	435.55	153.34	387.02	83.45	368.65	153.34	206.94	583.07	118.43	197.09	217.27	400.71	366.09	85.22	269.6	173.85	170.25	255.0	454.09	185.11	153.34	718.08	113.56	153.34	353.59	336.79	172.65	356.05	175.07	209.84	260.38	346.29
MTF1	72.01	193.01	101.54	63.45	45.53	77.25	150.17	159.9	149.12	158.79	253.23	138.1	173.85	100.83	35.25	59.55	59.55	54.33	120.94	63.0	55.49	271.48	21.01	82.29	121.79	59.55	74.06	25.54	32.36	49.56	90.77	54.33	73.03	57.89	93.35	29.91	119.26	38.4	90.77	119.26	76.71	111.21	110.43	72.52	45.53	139.07	122.64	83.45	52.45	82.87	51.71	122.64	69.52	67.59	148.09	81.71	67.12	105.15	92.7	49.21	68.07	117.6	49.56	40.93	74.58	84.04	96.01	45.85	146.03	20.56	98.73	107.38	46.5	28.04	28.45	21.94	38.67	27.84	60.39
MYOF	540.19	941.27	1135.2	825.0	579.04	1119.56	1286.18	1111.82	1008.9	1015.93	2935.74	872.1	1769.57	1081.39	366.09	381.68	480.04	974.5	1733.13	808.0	1030.12	2178.83	457.25	1030.12	1015.93	599.49	1081.39	486.75	743.43	728.11	921.88	780.44	890.44	769.69	890.44	409.15	1540.37	638.15	1191.69	1369.04	1159.07	1331.57	1487.87	830.75	651.58	1304.15	981.29	1359.57	366.09	1044.52	480.04	1819.35	273.37	928.3	1037.29	1135.2	890.44	1066.48	860.08	595.34	813.63	629.35	733.19	679.29	1008.9	1135.2	2032.85	753.83	1191.69	476.71	995.0	1066.48	212.78	82.87	20.41	45.53	79.45	52.08	65.26
NEDD1	111.21	348.71	224.97	115.16	151.22	175.07	309.83	314.17	279.14	264.03	507.46	246.28	327.56	134.3	131.51	117.6	115.16	120.94	221.86	121.79	217.27	256.78	125.24	91.41	173.85	209.84	171.45	84.04	156.59	66.18	202.66	112.77	178.77	120.94	169.07	100.83	214.27	114.36	150.17	198.47	142.01	172.65	285.03	195.72	120.94	231.32	187.71	199.85	112.77	241.19	148.09	201.25	145.02	148.09	191.67	153.34	100.83	187.71	158.79	99.43	145.02	206.94	93.35	127.89	142.01	115.97	151.22	105.15	156.59	65.26	146.03	289.02	87.03	53.57	29.91	56.28	47.84	30.56	150.17
NHLRC2	91.41	289.02	98.73	50.98	73.03	88.26	133.36	148.09	162.14	146.03	339.14	118.43	152.28	96.01	35.5	27.44	44.89	37.85	158.79	52.08	53.19	98.04	43.32	39.5	110.43	68.07	101.54	33.06	54.33	24.46	86.43	37.05	87.03	50.98	78.34	35.76	85.82	31.67	68.55	74.06	61.25	100.13	114.36	50.98	40.07	126.12	127.89	90.14	36.01	67.12	31.22	145.02	52.08	54.72	131.51	76.17	41.52	116.78	116.78	40.36	83.45	142.01	40.93	37.05	45.85	70.51	100.83	22.43	105.89	25.72	99.43	110.43	43.63	19.39	25.91	31.22	27.64	19.11	64.8
NID2	70.01	728.11	571.05	109.66	423.61	256.78	665.29	555.41	361.04	476.71	733.19	316.37	629.35	158.79	336.79	71.0	228.13	212.78	463.65	267.73	44.25	356.05	10.47	43.94	170.25	251.48	457.25	44.89	195.72	83.45	279.14	289.02	223.41	137.14	332.14	29.27	92.05	29.91	202.66	339.14	135.24	72.52	77.25	127.0	80.57	500.46	277.2	748.61	249.73	361.04	61.68	145.02	165.57	50.98	575.03	85.22	26.67	536.45	651.58	115.16	39.22	143.01	46.5	42.71	97.36	186.4	180.02	90.77	1051.79	173.85	156.59	395.18	104.42	66.18	31.22	52.08	88.26	110.43	164.42
NSUN4	295.11	503.95	363.56	323.03	684.02	194.36	432.53	521.76	406.31	373.81	307.69	432.53	435.55	486.75	218.79	318.57	232.94	267.73	583.07	353.59	423.61	285.03	180.02	341.51	587.13	395.18	414.87	126.12	217.27	358.54	384.34	358.54	327.56	376.41	532.74	371.22	371.22	163.28	420.68	361.04	256.78	532.74	454.09	403.5	217.27	555.41	463.65	638.15	301.33	395.18	872.1	397.93	414.87	373.81	476.71	314.17	327.56	409.15	363.56	551.56	312.0	403.5	351.14	258.57	447.82	406.31	373.81	406.31	540.19	111.99	403.5	490.14	157.68	183.82	212.78	118.43	186.4	185.11	339.14
OSBPL8	389.72	1295.13	718.08	265.87	384.34	363.56	884.29	728.11	684.02	674.59	1242.34	651.58	890.44	320.8	473.41	199.85	159.9	271.48	511.0	309.83	366.09	764.36	153.34	258.57	463.65	403.5	361.04	217.27	307.69	108.14	366.09	204.07	384.34	314.17	351.14	107.38	587.13	392.44	293.07	297.17	221.86	638.15	612.11	423.61	384.34	543.96	447.82	854.13	209.84	656.11	285.03	423.61	334.46	363.56	536.45	293.07	125.24	379.04	314.17	144.01	194.36	371.22	175.07	262.2	435.55	253.23	244.57	258.57	406.31	124.37	307.69	518.15	157.68	78.34	57.49	75.64	84.04	49.56	208.38
OTUD4	182.55	490.14	412.0	202.66	283.05	287.01	432.53	426.57	412.0	392.44	909.17	336.79	536.45	285.03	187.71	85.82	187.71	181.28	480.04	214.27	237.86	435.55	78.89	303.44	379.04	206.94	361.04	120.94	201.25	129.69	283.05	161.02	273.37	291.04	336.79	114.36	332.14	81.14	248.0	312.0	256.78	381.68	366.09	228.13	137.14	429.54	325.29	237.86	158.79	223.41	148.09	363.56	171.45	229.72	441.64	226.54	149.12	406.31	371.22	181.28	199.85	389.72	150.17	121.79	384.34	376.41	253.23	123.5	463.65	91.41	285.03	351.14	154.42	85.22	61.68	110.43	139.07	87.03	102.25
PCDH19	5.54	19.68	1.81	0.67	1.27	0.43	11.21	12.55	18.03	21.78	3.53	7.69	7.94	0.33	0.34	0.0	2.29	0.73	0.66	1.0	0.33	3.06	0.39	0.0	0.34	0.96	12.0	0.51	0.0	0.0	2.1	0.37	1.64	4.86	0.92	0.39	0.69	3.86	1.31	1.77	0.65	2.58	0.96	3.14	1.27	3.82	0.68	1.64	0.59	5.36	5.06	2.29	1.01	0.8	4.98	10.24	6.01	8.85	5.5	0.0	5.5	10.55	4.62	0.39	0.35	4.31	0.85	0.61	0.8	0.0	2.46	5.32	0.39	0.73	0.33	0.32	0.32	0.34	1.08
PDE7B	59.13	175.07	139.07	46.18	115.16	24.28	148.09	121.79	244.57	202.66	323.03	155.5	198.47	45.21	26.28	45.21	53.95	26.67	176.29	89.51	54.33	28.65	6.26	23.25	87.03	27.25	69.03	9.06	22.59	13.62	55.89	101.54	113.56	96.01	61.68	16.63	126.12	44.89	71.0	30.78	40.64	138.1	20.26	37.59	48.18	101.54	47.5	181.28	44.25	110.43	14.35	169.07	13.52	41.22	81.71	232.94	34.75	98.73	167.9	28.24	36.01	27.84	32.13	25.91	42.11	96.68	63.89	52.08	41.81	5.63	104.42	198.47	9.63	5.28	3.38	5.15	13.52	7.06	45.53
PGAP1	31.0	151.22	45.21	27.25	28.86	23.42	57.89	59.55	82.29	84.04	208.38	49.91	91.41	55.49	15.56	12.18	25.91	17.77	73.03	26.1	16.75	90.14	13.52	20.86	17.77	19.11	31.0	12.36	34.26	6.62	33.3	13.52	42.41	23.08	29.91	14.14	45.53	11.47	54.72	59.13	32.82	44.25	15.45	35.76	20.71	43.94	18.43	45.53	14.78	26.28	52.45	164.42	21.94	19.68	66.65	29.48	10.08	35.5	57.49	7.82	28.45	65.72	17.0	15.11	21.32	31.0	48.18	13.93	44.57	8.51	36.01	67.12	16.03	7.0	12.27	7.57	10.88	5.02	8.65
PHACTR4	251.48	423.61	371.22	256.78	381.68	167.9	493.56	583.07	579.04	483.38	299.25	450.94	444.72	305.55	159.9	293.07	275.28	229.72	466.88	397.93	299.25	503.95	129.69	241.19	420.68	283.05	348.71	162.14	152.28	241.19	307.69	312.0	348.71	376.41	376.41	152.28	381.68	224.97	228.13	356.05	267.73	432.53	305.55	271.48	215.77	473.41	358.54	607.87	275.28	327.56	295.11	253.23	277.2	211.31	435.55	423.61	316.37	376.41	323.03	248.0	256.78	195.72	275.28	172.65	251.48	289.02	242.88	217.27	327.56	73.54	441.64	591.22	182.55	115.97	106.63	94.67	112.77	141.02	146.03
PIAS1	312.0	1088.92	460.44	211.31	339.14	397.93	490.14	480.04	476.71	500.46	624.99	435.55	497.0	325.29	251.48	128.79	206.94	277.2	567.1	307.69	226.54	255.0	147.06	214.27	454.09	232.94	314.17	132.44	209.84	166.73	249.73	232.94	244.57	260.38	303.44	167.9	470.14	134.3	293.07	368.65	197.09	417.77	353.59	237.86	237.86	460.44	339.14	444.72	260.38	229.72	214.27	438.59	277.2	237.86	507.46	273.37	175.07	379.04	389.72	177.53	258.57	368.65	176.29	144.01	237.86	256.78	297.17	115.16	368.65	125.24	275.28	447.82	173.85	118.43	138.1	111.99	127.0	102.25	180.02
PIGN	346.29	417.77	309.83	97.36	256.78	171.45	429.54	314.17	343.89	267.73	813.63	242.88	547.75	107.38	209.84	90.77	108.9	122.64	373.81	161.02	170.25	209.84	77.25	70.51	229.72	115.97	163.28	30.12	80.01	106.63	120.1	152.28	107.38	163.28	223.41	103.69	229.72	96.68	122.64	341.51	218.79	316.37	211.31	134.3	115.97	343.89	204.07	457.25	91.41	155.5	171.45	301.33	122.64	150.17	231.32	211.31	88.26	208.38	180.02	115.16	148.09	67.12	135.24	85.82	187.71	151.22	265.87	124.37	199.85	49.21	205.5	403.5	85.22	69.52	82.29	108.9	82.29	94.01	264.03
PLSCR4	38.4	2193.99	679.29	209.84	285.03	99.43	603.67	575.03	642.59	624.99	872.1	432.53	1044.52	138.1	103.69	105.89	180.02	164.42	420.68	121.79	361.04	232.94	46.5	212.78	902.89	246.28	346.29	156.59	48.87	103.69	384.34	182.55	251.48	202.66	277.2	143.01	417.77	27.44	395.18	275.28	283.05	197.09	392.44	143.01	262.2	490.14	295.11	201.25	154.42	205.5	87.03	116.78	42.41	204.07	753.83	318.57	205.5	379.04	514.56	95.34	72.01	155.5	139.07	144.01	241.19	228.13	77.79	85.82	460.44	32.82	256.78	620.67	121.79	73.03	46.18	121.79	189.02	126.12	435.55
PRKD3	182.55	1059.11	493.56	155.5	339.14	281.09	490.14	466.88	403.5	454.09	915.51	336.79	587.13	356.05	194.36	146.03	164.42	144.01	493.56	265.87	190.34	529.06	47.84	209.84	361.04	156.59	264.03	60.82	154.42	115.16	253.23	189.02	253.23	199.85	281.09	110.43	389.72	58.71	301.33	384.34	236.21	351.14	277.2	309.83	171.45	476.71	341.51	277.2	209.84	199.85	204.07	264.03	155.5	218.79	457.25	251.48	99.43	341.51	312.0	66.18	130.6	373.81	146.03	127.0	253.23	224.97	239.52	135.24	447.82	78.89	231.32	486.75	89.51	53.57	45.85	47.5	58.3	53.95	163.28
RAB23	165.57	205.5	176.29	127.0	224.97	141.02	253.23	285.03	199.85	180.02	521.76	157.68	490.14	124.37	182.55	88.88	104.42	80.57	267.73	134.3	105.89	190.34	64.34	96.68	132.44	155.5	141.02	51.71	189.02	66.18	125.24	99.43	92.05	218.79	187.71	51.71	133.36	70.01	228.13	228.13	164.42	180.02	157.68	93.35	115.16	166.73	108.14	147.06	135.24	237.86	113.56	156.59	144.01	110.43	145.02	146.03	86.43	121.79	226.54	87.03	87.65	173.85	68.07	86.43	90.14	96.68	93.35	97.36	231.32	70.51	120.94	205.5	42.71	37.59	26.28	26.28	26.28	35.76	66.65
RBM12	336.79	1709.26	529.06	518.15	543.96	514.56	947.83	842.36	854.13	743.43	1151.06	703.28	974.5	447.82	389.72	244.57	297.17	325.29	896.64	343.89	511.0	915.51	187.71	255.0	693.58	325.29	429.54	113.56	334.46	231.32	406.31	255.0	400.71	305.55	480.04	186.4	743.43	273.37	412.0	486.75	490.14	688.78	738.29	497.0	297.17	934.76	638.15	665.29	285.03	353.59	363.56	607.87	353.59	281.09	941.27	397.93	244.57	616.37	521.76	209.84	353.59	591.22	297.17	198.47	525.39	417.77	392.44	231.32	669.92	110.43	426.57	718.08	175.07	145.02	116.78	145.02	162.14	127.89	366.09
RBMS2	223.41	551.56	473.41	143.01	301.33	248.0	503.95	432.53	409.15	389.72	532.74	457.25	476.71	295.11	253.23	165.57	164.42	195.72	476.71	199.85	265.87	381.68	116.78	258.57	473.41	334.46	289.02	143.01	248.0	147.06	336.79	223.41	438.59	193.01	241.19	246.28	432.53	116.78	214.27	339.14	202.66	381.68	454.09	316.37	171.45	444.72	379.04	547.75	164.42	438.59	246.28	441.64	185.11	273.37	536.45	267.73	177.53	392.44	295.11	85.82	229.72	318.57	136.19	293.07	152.28	251.48	318.57	178.77	356.05	119.26	303.44	351.14	38.4	33.06	29.7	20.86	30.34	38.95	61.25
RERE	872.1	2090.03	1233.75	947.83	583.07	547.75	1923.14	1605.83	1322.37	1286.18	1295.13	1487.87	1322.37	1216.75	624.99	660.68	890.44	698.41	941.27	1143.1	1119.56	1233.75	493.56	669.92	2004.85	1088.92	866.07	1225.22	400.71	791.35	1175.27	1073.91	1051.79	791.35	1023.0	1037.29	1008.9	1008.9	830.75	1350.18	525.39	1199.98	1175.27	674.59	860.08	1199.98	1427.22	1757.34	830.75	915.51	1015.93	1135.2	860.08	629.35	1551.09	1096.5	1191.69	1104.13	1096.5	954.43	1277.29	571.05	733.19	796.86	583.07	854.13	1286.18	486.75	1529.73	514.56	1268.46	1304.15	316.37	318.57	148.09	167.9	279.14	194.36	269.6
REST	231.32	559.28	231.32	159.9	173.85	189.02	379.04	334.46	332.14	307.69	651.58	334.46	387.02	320.8	171.45	120.94	158.79	131.51	312.0	183.82	205.5	366.09	60.39	155.5	376.41	209.84	195.72	84.63	178.77	84.63	209.84	147.06	194.36	164.42	197.09	77.79	287.01	95.34	170.25	202.66	177.53	249.73	316.37	195.72	120.94	334.46	248.0	277.2	142.01	239.52	96.68	271.48	165.57	180.02	332.14	201.25	140.04	229.72	208.38	166.73	198.47	265.87	108.9	132.44	152.28	185.11	224.97	135.24	287.01	79.45	212.78	363.56	85.82	59.13	43.63	64.8	75.11	47.17	94.01
RGMB	65.26	186.4	140.04	80.01	87.65	81.71	116.78	159.9	132.44	140.04	217.27	108.14	136.19	78.34	103.69	42.71	70.51	71.5	117.6	76.17	109.66	339.14	82.87	65.72	112.77	105.15	114.36	40.07	56.28	50.98	97.36	72.52	64.8	81.14	92.7	48.87	120.1	67.59	120.94	120.1	68.55	71.5	74.06	66.65	87.65	133.36	100.13	195.72	87.65	75.11	46.18	144.01	68.55	82.87	139.07	60.39	50.98	120.94	138.1	73.54	134.3	137.14	54.72	51.35	97.36	106.63	89.51	62.56	127.89	40.93	114.36	116.78	81.71	38.4	67.59	30.56	58.3	96.01	44.89
RNF138	320.8	559.28	295.11	182.55	264.03	205.5	323.03	279.14	287.01	327.56	785.88	248.0	454.09	141.02	226.54	117.6	189.02	141.02	309.83	197.09	156.59	256.78	124.37	164.42	318.57	190.34	242.88	63.0	82.29	120.94	215.77	171.45	214.27	234.57	291.04	80.57	368.65	130.6	229.72	277.2	195.72	269.6	271.48	211.31	95.34	406.31	244.57	295.11	189.02	224.97	124.37	265.87	127.0	186.4	447.82	262.2	129.69	353.59	389.72	142.01	155.5	206.94	155.5	153.34	226.54	323.03	115.16	87.03	295.11	89.51	231.32	353.59	172.65	94.01	142.01	147.06	155.5	74.58	277.2
SAV1	351.14	928.3	341.51	314.17	444.72	470.14	651.58	620.67	934.76	748.61	941.27	624.99	743.43	447.82	273.37	291.04	400.71	305.55	476.71	334.46	371.22	480.04	204.07	579.04	414.87	454.09	543.96	265.87	366.09	392.44	389.72	463.65	332.14	493.56	420.68	234.57	256.78	253.23	295.11	389.72	409.15	392.44	536.45	295.11	226.54	518.15	463.65	334.46	444.72	395.18	339.14	438.59	397.93	423.61	441.64	392.44	320.8	460.44	532.74	256.78	403.5	281.09	318.57	389.72	583.07	476.71	389.72	255.0	503.95	258.57	211.31	713.11	239.52	138.1	135.24	131.51	229.72	90.14	299.25
SBF2	346.29	713.11	406.31	327.56	363.56	563.18	518.15	595.34	551.56	571.05	356.05	366.09	507.46	381.68	387.02	228.13	275.28	253.23	551.56	373.81	334.46	647.07	221.86	460.44	476.71	320.8	514.56	221.86	466.88	323.03	329.84	470.14	351.14	384.34	414.87	279.14	332.14	214.27	400.71	426.57	460.44	493.56	400.71	341.51	265.87	547.75	483.38	529.06	295.11	389.72	376.41	532.74	205.5	318.57	511.0	503.95	323.03	518.15	571.05	289.02	366.09	368.65	358.54	199.85	327.56	490.14	497.0	209.84	376.41	346.29	339.14	493.56	170.25	82.87	88.26	102.97	155.5	155.5	124.37
SCAF8	420.68	1111.82	450.94	299.25	305.55	389.72	470.14	480.04	466.88	460.44	665.29	441.64	497.0	323.03	180.02	164.42	271.48	232.94	435.55	262.2	289.02	473.41	205.5	251.48	403.5	279.14	318.57	176.29	281.09	176.29	312.0	244.57	336.79	279.14	332.14	167.9	389.72	323.03	346.29	327.56	323.03	400.71	363.56	275.28	289.02	432.53	356.05	387.02	226.54	279.14	273.37	400.71	314.17	215.77	444.72	379.04	224.97	426.57	381.68	223.41	323.03	444.72	199.85	201.25	267.73	305.55	312.0	189.02	400.71	143.01	403.5	447.82	131.51	96.68	75.11	153.34	139.07	90.14	142.01
SEC14L1	1417.35	1427.22	1769.57	708.18	603.67	830.75	1572.76	1991.0	1950.0	2004.85	1477.58	1427.22	2485.67	1378.57	299.25	414.87	890.44	947.83	1551.09	656.11	743.43	1388.16	287.01	1104.13	1322.37	1175.27	1066.48	679.29	587.13	616.37	928.3	575.03	748.61	1066.48	1073.91	521.76	1304.15	334.46	748.61	1437.15	995.0	1467.37	791.35	813.63	866.07	1477.58	995.0	599.49	1001.93	1135.2	575.03	1066.48	529.06	1066.48	1950.0	1051.79	603.67	1350.18	1519.15	595.34	684.02	651.58	698.41	412.0	1008.9	1175.27	674.59	599.49	1369.04	275.28	981.29	1167.14	285.03	176.29	208.38	249.73	417.77	237.86	665.29
SF3A1	1519.15	3081.75	1674.06	1104.13	1127.35	759.08	1437.15	1963.57	1794.29	1950.0	1233.75	1477.58	1594.73	1950.0	718.08	708.18	802.41	1030.12	2104.58	1572.76	1583.71	1745.2	718.08	1183.45	2119.22	1662.49	1508.65	599.49	674.59	1073.91	1208.34	1561.89	1119.56	780.44	1350.18	947.83	1950.0	1359.57	1286.18	1540.37	802.41	1745.2	1397.83	1096.5	1167.14	2468.49	1832.01	1977.24	1268.46	1467.37	780.44	1594.73	1313.23	1030.12	2485.67	2047.0	1023.0	2133.97	1685.71	947.83	1407.55	1259.69	981.29	791.35	1135.2	1605.83	1225.22	698.41	1794.29	633.73	1295.13	1477.58	688.78	400.71	490.14	414.87	579.04	791.35	842.36
SIN3A	242.88	928.3	507.46	303.44	323.03	363.56	647.07	629.35	532.74	616.37	514.56	567.1	703.28	483.38	301.33	232.94	312.0	277.2	497.0	275.28	301.33	403.5	146.03	339.14	514.56	325.29	412.0	169.07	273.37	218.79	381.68	314.17	356.05	299.25	341.51	159.9	444.72	198.47	414.87	435.55	307.69	400.71	366.09	353.59	325.29	587.13	409.15	665.29	295.11	384.34	343.89	463.65	246.28	283.05	624.99	376.41	251.48	490.14	518.15	279.14	353.59	470.14	253.23	189.02	293.07	493.56	387.02	199.85	514.56	154.42	379.04	595.34	187.71	129.69	204.07	181.28	191.67	186.4	198.47
SIRT1	131.51	665.29	307.69	157.68	229.72	248.0	279.14	314.17	279.14	379.04	579.04	267.73	363.56	190.34	88.26	102.25	206.94	170.25	224.97	147.06	153.34	248.0	143.01	185.11	220.32	147.06	205.5	115.97	167.9	111.99	215.77	155.5	172.65	204.07	178.77	106.63	204.07	205.5	165.57	273.37	153.34	185.11	186.4	136.19	158.79	275.28	205.5	206.94	154.42	154.42	134.3	277.2	182.55	170.25	224.97	176.29	115.16	246.28	248.0	120.1	195.72	279.14	156.59	148.09	191.67	246.28	189.02	71.5	279.14	76.17	239.52	283.05	96.68	58.71	68.55	61.68	99.43	70.51	126.12
