	GTEX.117YW.1826.SM.5PNY5	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11O72.1326.SM.5BC5A	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
CUEDC2	595.34	454.09	563.18	775.05	483.38	616.37	616.37	775.05	392.44	738.29	679.29	447.82	595.34	830.75	647.07	473.41	1662.49	1769.57	1757.34	1617.0	1594.73	1540.37	1757.34	1477.58	1295.13	1794.29	1304.15	1757.34	2075.59	1651.0	961.07	1561.89	1963.57	1508.65	1583.71	1259.69	1594.73	1628.26	1529.73	1781.89	1225.22	1540.37	1208.34	1685.71	1159.07	1331.57	1183.45	1277.29	1286.18	1378.57	2004.85	1331.57	1628.26	1304.15	1417.35	981.29	1709.26	1870.53	1628.26	1447.15	1662.49	1498.22	1617.0	1936.53	1781.89	1709.26	1757.34	1073.91	1605.83	1628.26	1909.85	1870.53	1417.35	1674.06	1233.75	1733.13	1119.56	1583.71	2032.85	1427.22	1870.53	1447.15	1225.22	1674.06	1388.16	1199.98	1388.16	1340.84	1242.34	1183.45	1857.6	1378.57	1909.85	1313.23	1388.16	1540.37	1191.69	1883.54	1119.56	1388.16	1709.26	1617.0	1662.49	1709.26	1508.65	1769.57	1721.16
DCP1B	138.1	109.66	33.3	82.29	111.21	137.14	144.01	134.3	49.91	120.1	132.44	100.13	154.42	242.88	119.26	100.13	341.51	371.22	518.15	409.15	376.41	159.9	314.17	368.65	221.86	307.69	190.34	353.59	329.84	291.04	164.42	325.29	327.56	273.37	283.05	287.01	212.78	191.67	299.25	295.11	251.48	343.89	256.78	236.21	246.28	285.03	164.42	269.6	356.05	164.42	392.44	297.17	381.68	312.0	371.22	139.07	287.01	353.59	412.0	295.11	241.19	336.79	363.56	327.56	305.55	218.79	273.37	289.02	329.84	248.0	336.79	361.04	275.28	265.87	325.29	351.14	228.13	281.09	314.17	329.84	320.8	376.41	343.89	285.03	334.46	236.21	303.44	305.55	236.21	265.87	295.11	295.11	309.83	211.31	271.48	316.37	206.94	269.6	237.86	287.01	255.0	289.02	267.73	336.79	312.0	389.72	414.87
DEXI	343.89	559.28	447.82	884.29	743.43	981.29	733.19	660.68	791.35	728.11	358.54	189.02	403.5	480.04	403.5	473.41	1059.11	1127.35	1721.16	1044.52	1216.75	651.58	1081.39	981.29	693.58	947.83	620.67	1242.34	1143.1	825.0	813.63	902.89	1498.22	909.17	738.29	819.3	780.44	728.11	890.44	915.51	532.74	753.83	624.99	802.41	738.29	688.78	785.88	748.61	651.58	769.69	1081.39	733.19	842.36	842.36	854.13	896.64	1030.12	1015.93	981.29	808.0	836.53	890.44	1001.93	1044.52	1030.12	708.18	1051.79	748.61	1066.48	995.0	848.22	1104.13	713.11	954.43	616.37	941.27	842.36	599.49	836.53	854.13	890.44	878.17	599.49	1037.29	764.36	738.29	698.41	842.36	743.43	813.63	808.0	698.41	1119.56	490.14	1119.56	733.19	872.1	1030.12	860.08	884.29	995.0	1023.0	915.51	1167.14	884.29	1096.5	854.13
DNAJB2	1697.45	518.15	842.36	579.04	995.0	1487.87	1250.98	1183.45	1073.91	1073.91	808.0	307.69	791.35	713.11	1143.1	1268.46	3325.99	4010.71	2178.83	3955.48	3124.78	3190.46	2976.74	3280.18	2255.7	3235.01	2434.5	3325.99	3257.52	2855.44	1781.89	2485.67	3794.3	3690.52	2720.15	3124.78	3564.78	2935.74	2502.97	3257.52	2520.38	2915.45	2502.97	2835.7	2956.17	2875.3	3419.52	3039.3	2627.46	3081.75	2777.33	2502.97	3257.52	2997.45	3564.78	1923.14	2758.13	2701.35	3820.7	2956.17	2720.15	2537.92	3847.29	3491.39	3235.01	2835.7	2997.45	2627.46	3168.41	2627.46	3235.01	3146.52	2976.74	2682.69	2451.44	3039.3	1977.24	2796.65	3124.78	2997.45	3039.3	2796.65	2664.15	2645.74	3395.89	3039.3	3515.68	3146.52	2664.15	2664.15	2645.74	3103.19	2915.45	2119.22	2682.69	2502.97	2287.2	3564.78	1936.53	2573.36	3955.48	3303.0	3124.78	3325.99	3303.0	3081.75	2935.74
ELOF1	915.51	780.44	878.17	1059.11	612.11	1015.93	780.44	733.19	753.83	713.11	1059.11	269.6	708.18	866.07	1051.79	748.61	1977.24	1977.24	1617.0	1794.29	1794.29	1662.49	1745.2	1572.76	1250.98	1583.71	1259.69	1651.0	1794.29	1674.06	1143.1	1175.27	1991.0	1407.55	1397.83	1359.57	1639.59	1883.54	1250.98	1685.71	1295.13	1250.98	1369.04	1529.73	1096.5	1407.55	1605.83	1242.34	1199.98	1313.23	1883.54	1183.45	1651.0	1369.04	1322.37	1225.22	1397.83	1781.89	1519.15	1199.98	1832.01	1242.34	1769.57	2367.9	1819.35	1685.71	1662.49	1369.04	1697.45	1662.49	1870.53	1781.89	1350.18	1388.16	1427.22	1950.0	1199.98	1572.76	1819.35	1250.98	1721.16	1498.22	1259.69	1819.35	1529.73	1397.83	1397.83	1259.69	1437.15	1250.98	1674.06	1437.15	1721.16	909.17	1268.46	1572.76	1340.84	1697.45	1369.04	1662.49	2163.77	1806.78	1883.54	1340.84	1277.29	2133.97	1685.71
ELP6	277.2	194.36	204.07	299.25	223.41	241.19	316.37	265.87	206.94	291.04	260.38	126.12	287.01	255.0	275.28	206.94	796.86	872.1	866.07	896.64	909.17	656.11	872.1	743.43	638.15	878.17	529.06	947.83	890.44	896.64	327.56	791.35	764.36	825.0	723.08	808.0	718.08	656.11	854.13	802.41	718.08	842.36	819.3	693.58	444.72	759.08	441.64	688.78	638.15	620.67	759.08	753.83	981.29	819.3	896.64	414.87	928.3	775.05	921.88	698.41	651.58	791.35	808.0	764.36	728.11	674.59	808.0	543.96	842.36	1023.0	872.1	866.07	785.88	915.51	688.78	603.67	490.14	825.0	713.11	909.17	642.59	941.27	796.86	909.17	743.43	1015.93	703.28	591.22	759.08	688.78	954.43	842.36	941.27	361.04	961.07	860.08	343.89	642.59	529.06	583.07	607.87	775.05	780.44	785.88	878.17	819.3	848.22
FAM127B	255.0	518.15	1119.56	896.64	708.18	1073.91	738.29	1674.06	785.88	954.43	890.44	1051.79	426.57	1561.89	674.59	860.08	2434.5	2090.03	1883.54	1883.54	2400.97	1781.89	2119.22	2119.22	1407.55	1991.0	1617.0	1662.49	2119.22	2004.85	2061.24	1594.73	2193.99	2240.11	1551.09	1963.57	1936.53	2240.11	2209.26	2209.26	1651.0	1781.89	1561.89	2018.8	1709.26	1519.15	1697.45	2645.74	2047.0	2119.22	2224.63	1977.24	2018.8	1832.01	1605.83	1417.35	1991.0	2255.7	2119.22	1870.53	1594.73	1832.01	2193.99	2032.85	1757.34	2777.33	2032.85	2287.2	1844.76	1936.53	1857.6	2061.24	1909.85	2400.97	1628.26	2485.67	1639.59	3081.75	2075.59	2335.28	2209.26	1350.18	2032.85	2720.15	1991.0	1733.13	2148.82	2335.28	1674.06	1529.73	2434.5	2434.5	2451.44	1322.37	1605.83	1757.34	1857.6	2520.38	1936.53	1896.65	2777.33	2591.27	1745.2	1950.0	2075.59	2004.85	1923.14
FAM200A	6.01	33.3	24.99	54.33	38.4	95.34	34.75	46.84	41.81	27.25	47.5	9.56	13.12	30.78	27.25	21.01	175.07	136.19	262.2	120.94	113.56	80.01	139.07	124.37	109.66	166.73	84.63	161.02	194.36	241.19	102.25	139.07	239.52	147.06	111.21	106.63	119.26	128.79	127.89	162.14	100.13	161.02	159.9	130.6	77.25	95.34	111.99	111.99	152.28	94.67	185.11	127.89	181.28	144.01	112.77	89.51	111.21	182.55	148.09	114.36	119.26	140.04	206.94	178.77	178.77	137.14	129.69	104.42	198.47	170.25	151.22	220.32	147.06	128.79	120.1	181.28	87.03	107.38	236.21	125.24	231.32	180.02	157.68	141.02	103.69	126.12	165.57	120.94	101.54	146.03	105.15	152.28	128.79	67.59	120.1	128.79	110.43	159.9	76.71	124.37	159.9	187.71	134.3	140.04	131.51	212.78	211.31
FAM203A	149.12	66.18	66.18	110.43	21.78	98.73	75.64	112.77	91.41	76.17	228.13	53.19	105.15	197.09	91.41	206.94	674.59	633.73	463.65	624.99	612.11	281.09	571.05	518.15	303.44	563.18	172.65	791.35	599.49	426.57	341.51	441.64	583.07	466.88	366.09	420.68	336.79	429.54	450.94	476.71	368.65	371.22	532.74	256.78	153.34	299.25	258.57	197.09	75.11	231.32	473.41	303.44	660.68	583.07	460.44	50.63	612.11	483.38	595.34	447.82	387.02	583.07	583.07	507.46	507.46	285.03	414.87	285.03	708.18	743.43	412.0	642.59	563.18	476.71	507.46	220.32	295.11	647.07	571.05	414.87	532.74	540.19	575.03	624.99	353.59	559.28	414.87	293.07	346.29	397.93	660.68	518.15	551.56	146.03	395.18	450.94	204.07	607.87	189.02	371.22	361.04	466.88	483.38	529.06	540.19	511.0	579.04
FAM86A	97.36	111.21	82.87	167.9	59.97	89.51	87.65	83.45	96.68	59.13	144.01	63.0	118.43	105.89	150.17	94.67	265.87	285.03	339.14	249.73	267.73	167.9	309.83	287.01	185.11	229.72	140.04	277.2	316.37	236.21	73.03	206.94	346.29	256.78	195.72	251.48	176.29	144.01	248.0	215.77	175.07	177.53	281.09	201.25	121.79	182.55	138.1	194.36	173.85	149.12	242.88	171.45	249.73	260.38	234.57	101.54	281.09	327.56	237.86	226.54	218.79	228.13	226.54	211.31	204.07	150.17	206.94	149.12	346.29	323.03	191.67	242.88	237.86	249.73	226.54	159.9	105.89	248.0	260.38	195.72	198.47	392.44	232.94	283.05	164.42	309.83	223.41	186.4	186.4	228.13	275.28	164.42	251.48	169.07	285.03	195.72	158.79	201.25	182.55	108.14	223.41	246.28	249.73	275.28	277.2	223.41	255.0
FAM86C1	33.78	36.27	22.1	43.63	27.05	42.11	33.06	36.27	44.57	37.85	52.82	32.13	49.56	58.3	58.71	37.05	251.48	162.14	285.03	199.85	202.66	80.57	220.32	185.11	148.09	234.57	127.0	202.66	307.69	249.73	43.32	194.36	253.23	191.67	176.29	185.11	153.34	126.12	185.11	197.09	152.28	182.55	198.47	194.36	120.1	171.45	87.03	187.71	154.42	140.04	217.27	208.38	193.01	189.02	224.97	81.14	205.5	223.41	244.57	166.73	151.22	214.27	236.21	220.32	180.02	100.13	183.82	147.06	242.88	248.0	161.02	164.42	175.07	206.94	208.38	139.07	98.04	236.21	209.84	209.84	221.86	201.25	139.07	199.85	140.04	212.78	162.14	194.36	161.02	129.69	232.94	180.02	226.54	106.63	209.84	149.12	133.36	144.01	139.07	107.38	161.02	218.79	224.97	212.78	217.27	256.78	221.86
FANCF	60.82	69.52	17.9	33.3	20.71	35.5	27.44	30.56	55.89	46.18	78.89	32.59	62.56	47.17	82.29	60.39	111.21	149.12	144.01	114.36	127.89	59.13	190.34	131.51	88.88	146.03	57.08	175.07	144.01	167.9	58.71	133.36	147.06	127.0	105.15	141.02	68.07	57.08	141.02	119.26	109.66	127.89	111.99	108.14	76.17	119.26	61.25	92.05	124.37	96.01	133.36	115.97	120.1	181.28	113.56	53.19	123.5	106.63	154.42	109.66	80.01	128.79	181.28	120.94	157.68	112.77	70.01	127.89	186.4	156.59	125.24	199.85	108.14	139.07	140.04	129.69	78.34	120.94	133.36	124.37	190.34	149.12	125.24	158.79	117.6	173.85	133.36	136.19	91.41	94.01	138.1	170.25	149.12	53.95	100.83	127.0	99.43	134.3	53.19	83.45	126.12	147.06	121.79	151.22	142.01	169.07	151.22
FIBP	842.36	780.44	808.0	1023.0	674.59	1127.35	802.41	733.19	490.14	607.87	1051.79	934.76	808.0	934.76	1127.35	1175.27	1936.53	2090.03	1617.0	1923.14	1909.85	1417.35	2148.82	1832.01	1233.75	1594.73	1191.69	1883.54	2178.83	1769.57	967.76	1350.18	1923.14	1769.57	1794.29	1628.26	1617.0	1572.76	1628.26	1781.89	1183.45	1304.15	1745.2	1617.0	902.89	1819.35	1096.5	1417.35	934.76	1322.37	2104.58	1467.37	1457.23	1781.89	1437.15	961.07	2004.85	2240.11	1857.6	1304.15	1721.16	1551.09	1605.83	1685.71	1923.14	1594.73	2047.0	1498.22	1844.76	1977.24	1832.01	1467.37	1277.29	1781.89	1709.26	1617.0	780.44	2104.58	1991.0	1369.04	1857.6	2148.82	1388.16	1909.85	1519.15	2193.99	1477.58	1268.46	1685.71	1388.16	2018.8	1417.35	1870.53	995.0	1745.2	1572.76	1233.75	1639.59	1119.56	1208.34	1685.71	1977.24	1697.45	1572.76	1697.45	1896.65	1950.0
FRAT1	44.25	72.01	46.18	40.07	28.24	30.78	25.17	26.47	80.01	43.94	63.0	24.28	85.22	52.82	32.82	52.08	130.6	65.72	92.05	87.03	67.12	40.64	74.06	91.41	48.52	77.79	34.75	82.29	74.06	69.52	37.59	87.03	83.45	66.65	48.87	71.0	26.67	42.41	87.03	48.52	52.82	90.14	67.59	54.33	64.8	60.82	41.52	56.68	73.54	35.5	76.71	55.49	76.17	66.18	102.97	32.82	64.8	69.52	54.33	61.25	45.85	73.54	93.35	82.87	98.73	52.45	56.28	85.22	95.34	81.14	53.57	108.9	53.57	80.57	67.12	88.88	52.08	48.18	83.45	79.45	72.52	56.68	53.19	89.51	53.95	74.58	53.95	71.5	61.68	58.71	76.71	80.57	121.79	57.49	68.07	52.45	34.26	66.65	70.01	40.07	68.07	78.34	35.0	84.04	84.04	94.67	75.64
FTSJ2	85.22	205.5	120.1	260.38	165.57	215.77	158.79	231.32	262.2	208.38	226.54	85.22	142.01	198.47	146.03	136.19	463.65	511.0	1051.79	521.76	447.82	303.44	543.96	511.0	417.77	497.0	269.6	551.56	620.67	525.39	301.33	470.14	583.07	532.74	336.79	480.04	339.14	348.71	540.19	429.54	312.0	536.45	441.64	403.5	318.57	470.14	287.01	450.94	457.25	334.46	435.55	361.04	525.39	514.56	547.75	255.0	473.41	503.95	567.1	521.76	336.79	500.46	612.11	480.04	435.55	339.14	339.14	291.04	587.13	518.15	466.88	660.68	486.75	559.28	371.22	483.38	358.54	476.71	514.56	470.14	493.56	529.06	473.41	547.75	307.69	540.19	339.14	500.46	289.02	460.44	583.07	536.45	599.49	356.05	511.0	403.5	339.14	387.02	314.17	334.46	417.77	497.0	444.72	518.15	483.38	555.41	511.0
GEMIN6	43.63	71.0	64.8	111.21	31.67	91.41	92.05	65.72	68.55	73.03	113.56	35.0	84.63	115.16	88.88	148.09	189.02	185.11	358.54	198.47	262.2	112.77	229.72	234.57	159.9	232.94	128.79	293.07	275.28	229.72	84.63	176.29	234.57	186.4	134.3	139.07	101.54	156.59	242.88	223.41	118.43	239.52	190.34	215.77	136.19	153.34	234.57	166.73	161.02	167.9	212.78	134.3	204.07	237.86	166.73	129.69	212.78	176.29	249.73	159.9	155.5	223.41	241.19	237.86	204.07	172.65	190.34	142.01	303.44	267.73	198.47	258.57	138.1	236.21	209.84	265.87	166.73	244.57	175.07	175.07	262.2	221.86	206.94	242.88	206.94	295.11	164.42	176.29	150.17	194.36	182.55	197.09	242.88	50.98	231.32	180.02	171.45	170.25	145.02	244.57	275.28	189.02	166.73	237.86	199.85	221.86	260.38
GHDC	301.33	155.5	327.56	231.32	133.36	283.05	532.74	301.33	232.94	301.33	264.03	102.25	202.66	316.37	329.84	293.07	1896.65	1605.83	1844.76	1259.69	1583.71	902.89	1304.15	1295.13	802.41	1073.91	896.64	2240.11	1685.71	988.12	460.44	1066.48	1794.29	1268.46	1322.37	802.41	981.29	1081.39	915.51	988.12	842.36	1096.5	384.34	1286.18	1936.53	1066.48	825.0	587.13	555.41	921.88	896.64	629.35	1529.73	967.76	1268.46	656.11	890.44	1397.83	1870.53	878.17	1081.39	1331.57	1369.04	2240.11	2018.8	1191.69	1023.0	836.53	1151.06	1073.91	1896.65	1259.69	791.35	819.3	1498.22	1477.58	688.78	688.78	1111.82	1143.1	1044.52	1096.5	848.22	981.29	1015.93	915.51	1378.57	954.43	1001.93	802.41	1073.91	872.1	1259.69	599.49	842.36	1388.16	802.41	1896.65	571.05	802.41	1313.23	1498.22	1417.35	802.41	1359.57	1277.29	1191.69
GPER1	23.42	34.51	14.35	33.78	49.56	307.69	40.64	43.32	31.45	68.55	967.76	30.34	199.85	130.6	1551.09	198.47	299.25	318.57	872.1	299.25	215.77	162.14	473.41	525.39	169.07	271.48	165.57	353.59	529.06	507.46	48.18	307.69	563.18	133.36	253.23	376.41	269.6	320.8	255.0	312.0	318.57	115.97	149.12	309.83	500.46	403.5	89.51	153.34	167.9	351.14	872.1	221.86	339.14	503.95	301.33	161.02	153.34	559.28	521.76	171.45	189.02	283.05	555.41	656.11	532.74	406.31	295.11	120.1	563.18	384.34	226.54	432.53	83.45	193.01	246.28	127.89	151.22	346.29	563.18	234.57	503.95	444.72	114.36	669.92	242.88	429.54	571.05	161.02	258.57	86.43	417.77	234.57	358.54	48.18	341.51	309.83	65.26	409.15	52.08	251.48	277.2	813.63	521.76	237.86	258.57	454.09	420.68
HARS2	483.38	211.31	202.66	202.66	228.13	341.51	417.77	223.41	212.78	197.09	246.28	358.54	343.89	334.46	218.79	273.37	547.75	612.11	1015.93	571.05	563.18	384.34	551.56	536.45	521.76	607.87	341.51	423.61	429.54	466.88	543.96	463.65	518.15	547.75	518.15	514.56	420.68	414.87	454.09	457.25	543.96	497.0	607.87	353.59	466.88	500.46	381.68	426.57	540.19	473.41	656.11	532.74	507.46	457.25	536.45	447.82	476.71	493.56	511.0	420.68	480.04	514.56	551.56	587.13	669.92	525.39	447.82	543.96	525.39	473.41	368.65	507.46	529.06	414.87	633.73	426.57	432.53	466.88	511.0	490.14	612.11	629.35	571.05	417.77	595.34	555.41	620.67	493.56	486.75	417.77	316.37	490.14	403.5	432.53	511.0	583.07	323.03	463.65	447.82	368.65	450.94	669.92	381.68	511.0	579.04	595.34	708.18
HDDC3	387.02	220.32	293.07	209.84	198.47	212.78	193.01	223.41	224.97	236.21	358.54	226.54	236.21	234.57	417.77	363.56	808.0	651.58	921.88	651.58	679.29	532.74	738.29	693.58	525.39	743.43	397.93	708.18	974.5	769.69	244.57	525.39	684.02	497.0	571.05	551.56	457.25	669.92	486.75	775.05	466.88	612.11	665.29	688.78	329.84	555.41	316.37	444.72	457.25	438.59	934.76	660.68	796.86	748.61	518.15	237.86	743.43	688.78	665.29	409.15	497.0	567.1	769.69	684.02	733.19	679.29	684.02	624.99	842.36	620.67	884.29	791.35	503.95	620.67	743.43	785.88	307.69	684.02	759.08	591.22	743.43	551.56	500.46	733.19	555.41	607.87	543.96	543.96	521.76	473.41	743.43	466.88	860.08	287.01	460.44	571.05	429.54	796.86	351.14	521.76	941.27	830.75	660.68	624.99	620.67	1015.93	825.0
HIRIP3	126.12	154.42	262.2	158.79	148.09	256.78	318.57	305.55	248.0	148.09	154.42	51.35	90.14	147.06	114.36	124.37	409.15	435.55	775.05	457.25	379.04	384.34	567.1	493.56	371.22	521.76	301.33	547.75	591.22	514.56	187.71	490.14	616.37	403.5	460.44	473.41	483.38	414.87	483.38	571.05	426.57	473.41	363.56	466.88	234.57	409.15	332.14	389.72	373.81	403.5	529.06	476.71	612.11	473.41	400.71	140.04	384.34	555.41	563.18	373.81	507.46	514.56	583.07	555.41	620.67	435.55	514.56	320.8	575.03	616.37	579.04	563.18	450.94	497.0	426.57	438.59	260.38	521.76	529.06	417.77	457.25	603.67	460.44	536.45	493.56	297.17	497.0	400.71	450.94	356.05	450.94	518.15	525.39	244.57	454.09	536.45	186.4	435.55	285.03	363.56	368.65	669.92	470.14	490.14	503.95	693.58	642.59
HSPA1L	21.01	17.51	11.73	14.56	31.0	49.21	26.67	20.41	53.19	29.48	10.08	6.26	27.64	11.47	15.0	17.38	116.78	78.89	51.71	105.89	51.71	50.98	80.01	94.67	52.45	93.35	41.22	100.13	81.71	103.69	40.93	77.25	95.34	77.25	68.07	103.69	61.25	41.81	60.39	87.03	64.34	82.29	74.58	65.72	27.84	71.0	50.27	80.57	56.68	50.63	110.43	50.27	90.14	88.26	67.12	19.82	73.54	74.06	129.69	75.64	54.33	82.29	127.89	83.45	91.41	49.21	59.97	43.02	115.16	90.14	71.5	144.01	85.82	111.99	62.56	64.34	37.85	70.51	112.77	68.07	79.45	115.97	71.5	87.03	74.06	76.17	63.89	63.0	116.78	79.45	76.71	80.01	109.66	38.12	63.89	66.18	33.06	80.57	32.13	49.21	73.54	122.64	74.06	67.59	84.04	102.97	118.43
KANSL2	148.09	209.84	209.84	327.56	195.72	397.93	177.53	283.05	351.14	275.28	181.28	258.57	381.68	234.57	145.02	113.56	497.0	616.37	718.08	571.05	435.55	450.94	536.45	486.75	567.1	555.41	389.72	473.41	486.75	518.15	343.89	728.11	521.76	441.64	454.09	490.14	397.93	403.5	438.59	305.55	361.04	480.04	426.57	435.55	414.87	325.29	339.14	500.46	674.59	371.22	486.75	563.18	536.45	507.46	563.18	341.51	450.94	450.94	503.95	490.14	432.53	521.76	540.19	525.39	551.56	511.0	389.72	457.25	435.55	579.04	532.74	511.0	599.49	514.56	339.14	579.04	426.57	403.5	500.46	536.45	612.11	503.95	483.38	518.15	460.44	441.64	441.64	656.11	417.77	587.13	587.13	384.34	470.14	708.18	483.38	454.09	373.81	497.0	466.88	363.56	514.56	503.95	414.87	551.56	521.76	507.46	583.07
KBTBD6	12.64	29.06	23.76	16.75	12.09	30.34	29.91	15.22	32.82	20.11	48.18	7.46	11.13	24.99	32.13	31.45	77.25	110.43	80.01	100.83	118.43	31.9	118.43	115.16	90.14	105.89	46.5	166.73	130.6	165.57	34.75	111.99	162.14	98.04	97.36	85.22	56.68	57.08	126.12	90.14	74.58	93.35	112.77	92.7	61.68	77.25	62.56	57.49	81.14	77.25	98.04	80.57	98.04	126.12	99.43	42.41	80.01	115.97	138.1	92.7	55.1	110.43	157.68	105.15	123.5	63.89	78.89	92.7	167.9	143.01	98.04	164.42	82.29	96.01	100.13	72.01	47.84	88.88	121.79	78.34	151.22	158.79	105.89	120.1	100.13	111.99	90.14	77.79	54.72	85.82	76.71	114.36	98.04	35.0	112.77	87.03	59.13	98.04	26.1	67.59	63.89	126.12	111.99	124.37	111.21	132.44	115.16
KBTBD7	9.06	20.86	38.95	20.71	20.56	37.32	24.99	24.46	41.52	24.28	55.49	10.79	10.96	25.54	92.7	50.27	89.51	112.77	102.97	98.04	129.69	34.02	140.04	124.37	83.45	132.44	56.68	217.27	130.6	194.36	27.44	148.09	197.09	116.78	102.97	126.12	68.07	69.52	157.68	119.26	127.89	125.24	132.44	123.5	81.14	96.68	69.03	77.25	117.6	74.58	132.44	88.88	119.26	176.29	155.5	49.21	95.34	136.19	159.9	92.05	60.82	141.02	231.32	134.3	139.07	82.87	71.5	98.73	218.79	220.32	110.43	201.25	106.63	130.6	120.94	97.36	55.49	108.9	149.12	116.78	155.5	197.09	125.24	176.29	108.14	161.02	116.78	97.36	88.26	96.01	108.9	157.68	135.24	38.95	140.04	103.69	41.52	94.01	30.56	69.03	67.59	159.9	124.37	147.06	140.04	146.03	156.59
