	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.A7UZ.01A.12R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
TMEM30A	665.29	967.76	1651.0	1397.83	909.17	1551.09	1397.83	1183.45	981.29	1322.37	1388.16	1794.29	1950.0	2555.58	2018.8	2777.33	1127.35	1350.18	947.83	1167.14	1508.65	769.69	1331.57	1639.59	2032.85	1819.35	2075.59	1662.49	1870.53	2090.03	2032.85	1583.71	1923.14	1594.73	1721.16	1832.01	1350.18	1923.14	2627.46	1769.57	1936.53	1896.65	1819.35	1508.65	1295.13	2061.24	1709.26	2209.26	1844.76	2148.82	2209.26	2061.24	1781.89	684.02	934.76	934.76	819.3	791.35	909.17	688.78	928.3	521.76	579.04	603.67	1540.37	1295.13	1081.39	988.12	536.45	909.17	1073.91	1447.15	1340.84	1561.89	1397.83	1427.22	1605.83	1397.83	1417.35	1369.04	1388.16	1498.22	1208.34	1407.55	1340.84	1594.73	669.92	941.27	748.61	872.1	1594.73	1540.37	1721.16	1286.18	1359.57	1286.18	2119.22	1378.57	2004.85	1331.57
TNPO1	226.54	281.09	808.0	612.11	532.74	647.07	529.06	669.92	759.08	387.02	417.77	718.08	961.07	1233.75	848.22	703.28	283.05	466.88	307.69	289.02	629.35	392.44	813.63	1066.48	941.27	791.35	1001.93	674.59	909.17	884.29	947.83	791.35	1051.79	854.13	656.11	909.17	733.19	1127.35	941.27	802.41	848.22	854.13	896.64	728.11	723.08	915.51	842.36	1059.11	848.22	775.05	909.17	842.36	825.0	212.78	457.25	285.03	194.36	125.24	381.68	366.09	198.47	177.53	193.01	158.79	743.43	223.41	264.03	237.86	158.79	139.07	275.28	409.15	587.13	651.58	684.02	587.13	620.67	688.78	633.73	728.11	647.07	775.05	624.99	896.64	591.22	660.68	205.5	169.07	206.94	164.42	802.41	723.08	981.29	915.51	748.61	397.93	1617.0	595.34	1427.22	842.36
TOPORS	148.09	85.22	265.87	224.97	151.22	232.94	239.52	155.5	141.02	204.07	371.22	289.02	297.17	400.71	379.04	291.04	154.42	126.12	201.25	204.07	161.02	87.65	215.77	343.89	312.0	287.01	376.41	287.01	316.37	339.14	339.14	287.01	341.51	305.55	305.55	379.04	226.54	353.59	356.05	283.05	329.84	307.69	334.46	307.69	199.85	327.56	301.33	241.19	215.77	253.23	371.22	435.55	346.29	156.59	96.01	132.44	119.26	108.9	48.87	53.95	220.32	124.37	23.93	120.94	66.18	133.36	111.99	126.12	32.82	76.71	94.01	223.41	291.04	283.05	229.72	234.57	281.09	241.19	251.48	193.01	244.57	307.69	236.21	275.28	264.03	281.09	92.7	159.9	116.78	65.72	309.83	332.14	309.83	363.56	264.03	277.2	392.44	277.2	351.14	356.05
TRAPPC8	221.86	229.72	579.04	460.44	525.39	450.94	423.61	450.94	638.15	511.0	351.14	698.41	423.61	620.67	791.35	563.18	299.25	316.37	473.41	493.56	493.56	269.6	486.75	591.22	559.28	486.75	665.29	525.39	563.18	665.29	591.22	503.95	599.49	567.1	540.19	679.29	567.1	713.11	679.29	540.19	607.87	507.46	603.67	563.18	575.03	571.05	536.45	612.11	540.19	490.14	620.67	633.73	642.59	441.64	373.81	397.93	312.0	236.21	297.17	281.09	346.29	314.17	43.94	392.44	182.55	332.14	384.34	358.54	182.55	303.44	579.04	514.56	444.72	529.06	543.96	454.09	518.15	466.88	429.54	493.56	500.46	612.11	514.56	525.39	454.09	529.06	327.56	406.31	563.18	414.87	563.18	473.41	473.41	500.46	486.75	363.56	638.15	547.75	529.06	532.74
TTC33	50.27	63.89	301.33	283.05	316.37	246.28	241.19	273.37	189.02	127.0	242.88	228.13	275.28	607.87	379.04	299.25	149.12	241.19	140.04	157.68	293.07	130.6	291.04	409.15	358.54	307.69	395.18	297.17	395.18	483.38	361.04	291.04	348.71	343.89	297.17	417.77	343.89	400.71	521.76	318.57	353.59	381.68	343.89	332.14	351.14	403.5	361.04	500.46	295.11	312.0	403.5	429.54	320.8	94.67	83.45	121.79	97.36	57.49	103.69	111.99	114.36	84.63	45.85	65.26	123.5	124.37	100.83	108.9	76.71	51.35	129.69	224.97	246.28	224.97	224.97	234.57	277.2	255.0	229.72	215.77	239.52	275.28	229.72	253.23	248.0	239.52	84.63	87.03	106.63	155.5	312.0	255.0	346.29	262.2	277.2	165.57	199.85	232.94	389.72	336.79
UBE3A	314.17	269.6	595.34	511.0	400.71	595.34	536.45	476.71	708.18	426.57	441.64	620.67	607.87	1008.9	796.86	587.13	381.68	426.57	567.1	379.04	629.35	420.68	575.03	780.44	785.88	718.08	819.3	674.59	718.08	796.86	723.08	616.37	836.53	679.29	629.35	808.0	642.59	866.07	830.75	703.28	728.11	718.08	753.83	660.68	525.39	791.35	723.08	688.78	679.29	599.49	769.69	796.86	708.18	384.34	305.55	414.87	293.07	309.83	232.94	237.86	470.14	343.89	76.71	318.57	143.01	392.44	293.07	373.81	147.06	277.2	353.59	497.0	497.0	571.05	579.04	500.46	599.49	555.41	532.74	511.0	629.35	651.58	529.06	607.87	521.76	599.49	341.51	346.29	231.32	325.29	791.35	698.41	759.08	698.41	825.0	555.41	1208.34	679.29	866.07	785.88
UBR1	72.01	48.18	218.79	151.22	82.87	165.57	171.45	111.99	120.1	127.89	112.77	162.14	185.11	295.11	217.27	186.4	88.26	119.26	100.83	100.13	214.27	70.51	170.25	201.25	223.41	187.71	289.02	178.77	194.36	241.19	201.25	185.11	248.0	177.53	157.68	204.07	125.24	244.57	303.44	206.94	223.41	198.47	228.13	180.02	167.9	262.2	209.84	194.36	175.07	206.94	211.31	258.57	229.72	62.12	90.14	114.36	80.57	45.85	77.25	79.45	99.43	71.5	23.93	69.52	71.0	100.13	72.52	95.34	50.27	48.52	96.68	106.63	150.17	185.11	151.22	143.01	186.4	158.79	152.28	154.42	157.68	198.47	152.28	206.94	148.09	177.53	69.03	51.71	68.55	77.79	228.13	195.72	189.02	182.55	209.84	161.02	341.51	242.88	277.2	198.47
USP33	438.59	387.02	708.18	607.87	651.58	603.67	651.58	718.08	612.11	563.18	665.29	791.35	703.28	1104.13	981.29	379.04	320.8	497.0	607.87	620.67	444.72	559.28	656.11	753.83	802.41	738.29	836.53	669.92	728.11	878.17	780.44	642.59	796.86	743.43	684.02	842.36	748.61	878.17	961.07	703.28	785.88	708.18	743.43	743.43	775.05	769.69	703.28	902.89	708.18	674.59	836.53	791.35	769.69	567.1	332.14	698.41	444.72	361.04	336.79	334.46	518.15	587.13	134.3	371.22	279.14	543.96	400.71	540.19	303.44	379.04	426.57	591.22	591.22	669.92	607.87	473.41	660.68	575.03	567.1	563.18	612.11	723.08	616.37	607.87	591.22	620.67	289.02	323.03	249.73	173.85	830.75	764.36	848.22	698.41	753.83	500.46	896.64	753.83	872.1	603.67
USP46	88.88	78.34	293.07	299.25	162.14	295.11	215.77	193.01	529.06	162.14	131.51	599.49	384.34	223.41	346.29	166.73	74.58	90.14	69.03	127.89	137.14	65.72	251.48	420.68	406.31	358.54	373.81	409.15	397.93	323.03	412.0	242.88	420.68	397.93	291.04	438.59	275.28	395.18	454.09	323.03	336.79	426.57	426.57	312.0	237.86	395.18	363.56	305.55	329.84	363.56	412.0	314.17	420.68	31.45	155.5	74.58	48.18	55.1	67.59	85.22	52.08	24.99	57.49	40.64	109.66	64.34	71.5	46.84	51.71	75.11	71.0	170.25	295.11	295.11	289.02	279.14	303.44	381.68	299.25	279.14	318.57	309.83	273.37	273.37	249.73	283.05	23.76	19.97	56.28	16.39	201.25	212.78	325.29	237.86	371.22	248.0	271.48	175.07	231.32	264.03
WDFY2	57.49	71.0	143.01	149.12	96.01	94.67	131.51	94.01	65.72	76.71	108.9	82.29	154.42	500.46	148.09	100.83	46.18	45.85	36.27	40.07	59.55	45.53	117.6	199.85	162.14	167.9	187.71	221.86	137.14	223.41	111.21	136.19	199.85	189.02	131.51	198.47	121.79	182.55	169.07	161.02	182.55	209.84	151.22	134.3	122.64	195.72	163.28	120.1	143.01	133.36	104.42	167.9	145.02	34.75	63.89	32.59	53.57	31.0	40.64	51.35	27.05	36.27	70.01	34.02	114.36	49.56	40.93	31.67	37.05	33.06	38.4	92.7	164.42	113.56	127.0	173.85	155.5	197.09	178.77	130.6	104.42	116.78	142.01	157.68	124.37	141.02	73.54	111.21	113.56	148.09	239.52	177.53	191.67	182.55	152.28	139.07	193.01	177.53	198.47	156.59
ZFR	476.71	403.5	961.07	848.22	679.29	813.63	813.63	796.86	902.89	587.13	902.89	1088.92	941.27	1477.58	1143.1	915.51	547.75	775.05	616.37	521.76	902.89	819.3	872.1	974.5	981.29	995.0	1135.2	934.76	1051.79	1331.57	1051.79	915.51	1096.5	902.89	842.36	1135.2	909.17	1135.2	1199.98	961.07	961.07	1008.9	1030.12	941.27	954.43	1143.1	1030.12	1001.93	819.3	967.76	967.76	1794.29	1015.93	460.44	429.54	656.11	426.57	417.77	343.89	346.29	547.75	409.15	124.37	323.03	381.68	555.41	389.72	447.82	237.86	426.57	366.09	660.68	759.08	836.53	764.36	764.36	928.3	872.1	780.44	819.3	808.0	921.88	753.83	915.51	796.86	802.41	303.44	312.0	387.02	312.0	909.17	921.88	915.51	947.83	1191.69	896.64	1457.23	890.44	1304.15	1199.98
ZFYVE9	194.36	125.24	307.69	289.02	165.57	314.17	242.88	212.78	764.36	142.01	199.85	234.57	343.89	320.8	426.57	159.9	166.73	111.21	164.42	255.0	231.32	90.14	271.48	457.25	454.09	379.04	397.93	392.44	414.87	409.15	351.14	334.46	463.65	387.02	341.51	409.15	267.73	503.95	429.54	384.34	406.31	400.71	435.55	334.46	262.2	414.87	414.87	297.17	341.51	366.09	368.65	423.61	429.54	56.68	113.56	120.1	77.25	70.01	78.34	115.97	90.77	75.64	93.35	81.14	86.43	85.82	91.41	107.38	82.29	53.95	71.0	201.25	291.04	297.17	343.89	305.55	339.14	351.14	320.8	329.84	363.56	371.22	273.37	289.02	329.84	389.72	77.25	87.03	102.25	67.12	198.47	361.04	447.82	366.09	476.71	329.84	555.41	260.38	470.14	412.0
ZNF148	76.17	108.14	314.17	229.72	171.45	239.52	201.25	193.01	265.87	142.01	157.68	226.54	287.01	759.08	470.14	297.17	68.07	218.79	153.34	140.04	214.27	124.37	262.2	376.41	366.09	301.33	460.44	305.55	368.65	470.14	406.31	293.07	417.77	271.48	248.0	381.68	289.02	400.71	409.15	389.72	368.65	417.77	358.54	341.51	307.69	395.18	348.71	423.61	332.14	297.17	353.59	395.18	379.04	158.79	122.64	140.04	109.66	82.29	90.14	79.45	130.6	126.12	29.27	102.97	90.77	146.03	119.26	190.34	61.25	87.65	108.9	146.03	253.23	289.02	208.38	231.32	281.09	271.48	249.73	239.52	221.86	299.25	251.48	361.04	241.19	264.03	61.25	67.12	68.55	65.26	285.03	384.34	373.81	567.1	435.55	262.2	1119.56	332.14	607.87	518.15
ZNF484	23.42	26.47	62.12	42.71	49.91	42.11	48.18	54.33	51.71	27.84	42.41	58.3	40.64	56.28	75.11	50.63	29.27	31.45	39.22	30.34	36.79	25.35	44.25	65.26	72.01	48.87	75.64	62.56	54.72	74.06	65.26	46.5	76.71	46.84	37.32	60.39	66.65	57.08	92.05	47.17	55.89	55.89	62.12	64.8	64.8	69.52	49.21	72.52	47.5	53.19	64.8	87.65	62.12	16.15	9.41	27.64	21.78	20.41	14.56	15.8	22.43	30.12	6.62	13.93	16.39	27.25	23.42	20.71	9.7	18.97	19.11	38.12	41.52	40.07	34.75	42.41	46.5	45.53	40.93	31.9	40.07	51.35	49.56	50.98	37.32	42.41	25.72	20.71	23.42	51.35	86.43	82.29	81.14	78.34	61.68	48.87	98.73	48.87	88.26	37.85
ZNF641	101.54	92.05	204.07	158.79	114.36	166.73	173.85	169.07	127.89	141.02	118.43	194.36	271.48	406.31	316.37	211.31	92.7	142.01	98.73	162.14	181.28	198.47	159.9	244.57	215.77	159.9	265.87	271.48	178.77	205.5	215.77	228.13	212.78	220.32	155.5	223.41	173.85	262.2	202.66	167.9	181.28	246.28	237.86	197.09	246.28	220.32	185.11	206.94	163.28	193.01	209.84	190.34	258.57	115.16	86.43	92.7	87.03	52.08	80.01	108.9	70.51	138.1	125.24	94.01	153.34	129.69	80.57	121.79	135.24	68.07	166.73	120.94	169.07	202.66	127.0	158.79	171.45	237.86	163.28	182.55	162.14	209.84	202.66	169.07	220.32	172.65	120.94	66.65	102.25	93.35	457.25	295.11	327.56	409.15	251.48	176.29	348.71	269.6	329.84	346.29
