	TCGA.B8.5164.01A.01R.1420.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B3.8121.01A.21R.2404.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.B9.5156.01A.01R.1592.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A0ZA.01A.11R.A10U.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A420.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.S4Z8.0326.SM.3K2AU	GTEX.1399R.0126.SM.5IFEV	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.V955.0426.SM.3GAEL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.13CF3.0926.SM.5LZZC	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
KIF3B	1191.69	1331.57	866.07	902.89	1417.35	915.51	633.73	684.02	620.67	423.61	246.28	728.11	279.14	395.18	346.29	253.23	334.46	312.0	262.2	237.86	255.0	256.78	587.13	336.79	376.41	232.94	353.59	366.09	392.44	285.03	264.03	379.04	348.71	417.77	379.04	248.0	373.81	486.75	607.87	281.09	518.15	271.48	341.51	387.02	189.02	507.46	363.56	358.54	423.61	226.54	323.03	211.31	293.07	403.5	392.44	253.23	332.14	500.46	244.57	262.2	336.79	518.15	486.75	283.05	346.29	412.0	234.57	309.83	511.0	249.73	493.56	289.02	197.09	260.38	307.69	381.68	316.37	325.29	305.55	287.01	283.05	414.87	236.21	395.18	332.14	466.88	226.54	283.05	348.71	307.69	265.87	293.07	466.88	490.14	529.06	426.57	540.19	493.56	555.41	551.56	426.57	438.59	447.82	423.61
MBD5	559.28	327.56	312.0	316.37	486.75	348.71	229.72	540.19	403.5	205.5	137.14	140.04	161.02	204.07	191.67	144.01	181.28	147.06	133.36	149.12	100.83	120.94	110.43	187.71	194.36	158.79	231.32	197.09	204.07	144.01	177.53	223.41	162.14	166.73	218.79	146.03	201.25	248.0	167.9	217.27	136.19	114.36	135.24	215.77	96.01	244.57	198.47	214.27	152.28	143.01	241.19	130.6	169.07	206.94	199.85	169.07	217.27	251.48	139.07	125.24	212.78	224.97	114.36	146.03	151.22	159.9	117.6	159.9	151.22	161.02	258.57	151.22	115.97	142.01	177.53	234.57	121.79	217.27	177.53	131.51	175.07	169.07	138.1	226.54	199.85	198.47	167.9	211.31	169.07	112.77	153.34	156.59	381.68	273.37	206.94	305.55	336.79	246.28	392.44	214.27	305.55	249.73	339.14	244.57
MED13L	540.19	599.49	476.71	753.83	420.68	497.0	316.37	457.25	353.59	323.03	191.67	381.68	223.41	417.77	271.48	125.24	246.28	187.71	215.77	206.94	120.1	87.65	441.64	208.38	244.57	141.02	275.28	303.44	312.0	209.84	244.57	285.03	199.85	293.07	244.57	136.19	285.03	420.68	371.22	289.02	237.86	157.68	197.09	248.0	105.15	356.05	273.37	368.65	149.12	214.27	215.77	134.3	212.78	246.28	346.29	199.85	312.0	384.34	189.02	187.71	318.57	387.02	368.65	183.82	251.48	253.23	172.65	256.78	441.64	206.94	409.15	223.41	178.77	175.07	191.67	271.48	194.36	215.77	215.77	223.41	237.86	341.51	152.28	289.02	275.28	343.89	197.09	204.07	241.19	191.67	162.14	185.11	688.78	521.76	688.78	547.75	441.64	665.29	656.11	599.49	647.07	718.08	525.39	457.25
MFAP3	660.68	412.0	612.11	503.95	567.1	426.57	173.85	412.0	450.94	231.32	186.4	307.69	187.71	334.46	297.17	172.65	287.01	205.5	175.07	165.57	157.68	89.51	307.69	162.14	258.57	130.6	255.0	260.38	325.29	158.79	190.34	237.86	231.32	314.17	236.21	178.77	215.77	444.72	417.77	329.84	208.38	180.02	221.86	206.94	105.89	320.8	287.01	299.25	169.07	163.28	236.21	100.13	189.02	223.41	327.56	206.94	258.57	320.8	169.07	149.12	262.2	305.55	253.23	156.59	214.27	271.48	141.02	279.14	379.04	183.82	454.09	165.57	127.0	178.77	211.31	231.32	239.52	180.02	199.85	167.9	255.0	297.17	181.28	289.02	351.14	361.04	164.42	206.94	231.32	189.02	212.78	177.53	368.65	318.57	1044.52	400.71	339.14	325.29	571.05	271.48	305.55	420.68	392.44	323.03
MON1B	532.74	753.83	486.75	947.83	1096.5	934.76	559.28	934.76	620.67	397.93	303.44	476.71	361.04	612.11	392.44	241.19	376.41	332.14	275.28	312.0	309.83	307.69	346.29	366.09	454.09	256.78	373.81	447.82	525.39	323.03	381.68	603.67	414.87	400.71	353.59	297.17	353.59	595.34	429.54	414.87	363.56	316.37	457.25	454.09	289.02	486.75	397.93	438.59	356.05	281.09	363.56	215.77	341.51	358.54	466.88	297.17	463.65	718.08	351.14	289.02	346.29	529.06	417.77	348.71	384.34	423.61	264.03	358.54	620.67	363.56	511.0	320.8	277.2	295.11	397.93	463.65	291.04	343.89	323.03	361.04	366.09	476.71	281.09	543.96	366.09	409.15	305.55	320.8	356.05	351.14	303.44	287.01	507.46	698.41	473.41	555.41	529.06	620.67	571.05	536.45	633.73	616.37	669.92	555.41
MTPN	2434.5	2758.13	2468.49	2133.97	2627.46	1977.24	1350.18	2520.38	3103.19	1015.93	620.67	1508.65	748.61	1175.27	988.12	567.1	848.22	769.69	738.29	571.05	529.06	503.95	2400.97	981.29	896.64	543.96	1037.29	941.27	1059.11	507.46	587.13	967.76	878.17	1059.11	961.07	392.44	967.76	1286.18	1304.15	884.29	819.3	624.99	921.88	1199.98	400.71	1277.29	1059.11	854.13	764.36	460.44	813.63	486.75	713.11	1037.29	961.07	723.08	890.44	1350.18	503.95	559.28	947.83	1467.37	1250.98	656.11	764.36	1044.52	486.75	921.88	2018.8	551.56	1242.34	624.99	532.74	638.15	988.12	1023.0	988.12	1088.92	780.44	633.73	791.35	1044.52	457.25	1437.15	1015.93	1295.13	429.54	753.83	769.69	909.17	819.3	684.02	1378.57	1540.37	1709.26	1561.89	1936.53	1359.57	2664.15	1498.22	1088.92	1151.06	1437.15	1159.07
NCOA4	6887.62	3540.14	5255.91	6652.97	4095.0	3060.45	2777.33	3874.05	5006.93	1487.87	1277.29	2591.27	1781.89	1605.83	1561.89	1437.15	1870.53	1561.89	1313.23	1378.57	1233.75	1167.14	1857.6	1639.59	1628.26	1119.56	2090.03	1757.34	2018.8	1104.13	1331.57	1844.76	1457.23	1769.57	1457.23	1001.93	1844.76	1697.45	2319.15	1963.57	1651.0	1388.16	1583.71	2047.0	842.36	2335.28	1628.26	1806.78	1477.58	1304.15	1819.35	1073.91	1378.57	1651.0	1757.34	1378.57	1651.0	1857.6	967.76	1242.34	1651.0	1950.0	1639.59	1242.34	1605.83	1832.01	1023.0	1769.57	2075.59	1498.22	2047.0	1427.22	1143.1	1183.45	2287.2	1697.45	1551.09	1508.65	1340.84	1340.84	1519.15	1617.0	1044.52	1313.23	1733.13	1963.57	1127.35	1519.15	1407.55	1397.83	1369.04	1769.57	1685.71	2224.63	1662.49	2434.5	2555.58	2224.63	2682.69	2591.27	2004.85	1806.78	2148.82	1819.35
NCR3LG1	118.43	97.36	78.89	49.56	150.17	75.11	12.0	78.89	202.66	45.21	14.45	75.64	9.41	29.91	18.03	3.26	15.0	9.27	10.88	10.63	4.5	3.76	32.59	27.44	10.63	10.71	15.56	33.06	17.0	5.82	26.86	10.55	6.21	32.13	14.56	4.39	13.52	19.39	43.63	46.84	21.63	10.31	10.96	11.91	2.48	32.13	34.26	18.56	11.38	10.08	42.11	5.41	7.17	15.34	17.9	12.64	9.93	21.16	5.96	10.71	19.11	49.56	29.06	7.57	13.42	23.42	4.35	16.88	28.65	8.51	19.11	8.51	4.78	6.41	9.13	17.38	10.08	18.16	16.03	6.46	12.45	18.56	11.38	27.64	11.73	25.17	10.71	17.77	17.77	16.27	14.67	12.74	37.59	13.32	24.28	31.45	18.43	54.72	33.54	21.32	30.78	59.55	22.1	29.91
NUP153	583.07	265.87	387.02	336.79	341.51	368.65	279.14	343.89	414.87	236.21	197.09	332.14	220.32	251.48	229.72	145.02	275.28	190.34	177.53	185.11	124.37	127.0	232.94	178.77	229.72	128.79	269.6	190.34	253.23	191.67	158.79	260.38	208.38	205.5	237.86	134.3	258.57	264.03	218.79	234.57	167.9	148.09	195.72	262.2	122.64	281.09	217.27	287.01	147.06	165.57	209.84	125.24	187.71	236.21	255.0	214.27	260.38	273.37	128.79	170.25	251.48	262.2	209.84	178.77	211.31	239.52	141.02	226.54	271.48	186.4	264.03	186.4	139.07	149.12	208.38	265.87	212.78	218.79	208.38	180.02	226.54	215.77	135.24	244.57	229.72	307.69	163.28	191.67	182.55	198.47	197.09	202.66	361.04	318.57	463.65	361.04	334.46	336.79	341.51	379.04	400.71	473.41	316.37	336.79
OSBPL8	842.36	684.02	902.89	872.1	638.15	483.38	633.73	1015.93	567.1	205.5	228.13	242.88	275.28	241.19	327.56	178.77	320.8	214.27	229.72	211.31	163.28	92.7	267.73	171.45	232.94	143.01	301.33	218.79	314.17	177.53	159.9	301.33	269.6	234.57	185.11	125.24	332.14	305.55	224.97	256.78	170.25	154.42	167.9	336.79	163.28	323.03	217.27	312.0	155.5	153.34	229.72	180.02	206.94	301.33	289.02	229.72	285.03	269.6	144.01	185.11	287.01	265.87	223.41	198.47	239.52	336.79	186.4	224.97	256.78	194.36	363.56	226.54	221.86	181.28	327.56	239.52	351.14	277.2	195.72	172.65	287.01	314.17	140.04	208.38	305.55	381.68	167.9	215.77	167.9	241.19	190.34	241.19	325.29	199.85	269.6	287.01	211.31	287.01	420.68	246.28	218.79	412.0	265.87	159.9
PAPD5	191.67	231.32	183.82	217.27	248.0	281.09	246.28	256.78	229.72	129.69	120.1	195.72	129.69	131.51	152.28	100.13	166.73	124.37	126.12	111.99	75.11	39.5	191.67	100.13	105.89	117.6	140.04	130.6	150.17	98.73	97.36	117.6	100.13	150.17	165.57	85.82	117.6	180.02	147.06	121.79	110.43	108.14	74.58	119.26	75.64	138.1	147.06	141.02	97.36	108.14	127.89	84.04	137.14	128.79	150.17	120.1	141.02	130.6	116.78	104.42	152.28	139.07	173.85	140.04	131.51	136.19	96.01	144.01	229.72	106.63	175.07	123.5	93.35	118.43	126.12	126.12	122.64	125.24	100.13	86.43	149.12	124.37	75.64	107.38	136.19	163.28	113.56	119.26	110.43	99.43	142.01	133.36	267.73	193.01	169.07	198.47	218.79	185.11	239.52	214.27	130.6	154.42	178.77	149.12
PAXIP1-AS2	232.94	323.03	114.36	265.87	318.57	241.19	148.09	309.83	265.87	102.25	88.88	127.89	68.55	116.78	80.57	50.27	96.68	92.05	91.41	74.06	49.91	52.82	70.51	96.01	82.87	74.06	109.66	80.57	121.79	72.01	77.79	95.34	85.22	59.13	98.04	65.26	65.26	150.17	72.01	102.25	69.03	37.59	76.71	81.71	33.54	120.1	64.8	112.77	50.63	59.97	104.42	64.8	92.7	69.52	121.79	103.69	67.59	110.43	38.12	37.32	94.67	66.18	49.21	65.26	59.97	96.68	51.71	111.99	63.0	82.29	155.5	43.94	53.57	68.55	79.45	106.63	79.45	63.0	98.73	68.55	92.05	82.87	80.01	67.12	101.54	99.43	84.63	77.79	71.5	73.54	76.17	73.03	170.25	87.03	43.94	125.24	118.43	115.16	171.45	72.01	85.22	80.01	120.1	111.21
PDPR	450.94	595.34	368.65	429.54	603.67	603.67	551.56	543.96	287.01	218.79	102.25	162.14	72.01	309.83	98.04	50.27	154.42	157.68	190.34	60.82	69.52	42.11	199.85	115.97	99.43	75.64	170.25	148.09	279.14	98.04	144.01	232.94	111.99	112.77	170.25	132.44	112.77	414.87	123.5	173.85	107.38	86.43	118.43	151.22	55.49	251.48	147.06	275.28	92.05	80.57	115.97	40.36	119.26	98.04	218.79	147.06	166.73	417.77	73.54	82.87	145.02	201.25	167.9	153.34	135.24	195.72	37.05	158.79	417.77	90.77	309.83	132.44	54.72	53.19	100.13	201.25	83.45	177.53	127.89	137.14	131.51	152.28	63.45	139.07	173.85	112.77	67.12	171.45	143.01	116.78	124.37	102.97	320.8	147.06	341.51	373.81	269.6	457.25	277.2	525.39	339.14	314.17	185.11	177.53
PDZD8	483.38	780.44	406.31	559.28	518.15	246.28	420.68	551.56	753.83	167.9	114.36	271.48	151.22	195.72	167.9	118.43	159.9	132.44	134.3	115.97	104.42	93.35	221.86	131.51	171.45	87.03	159.9	159.9	173.85	100.13	115.16	154.42	120.94	224.97	211.31	96.01	162.14	305.55	194.36	125.24	157.68	109.66	133.36	194.36	79.45	239.52	164.42	143.01	149.12	104.42	175.07	99.43	131.51	191.67	181.28	110.43	164.42	194.36	108.14	102.97	165.57	237.86	177.53	128.79	185.11	173.85	91.41	138.1	299.25	96.01	293.07	113.56	95.34	123.5	162.14	135.24	191.67	155.5	135.24	100.83	150.17	199.85	95.34	175.07	181.28	241.19	82.87	120.1	144.01	115.97	127.89	117.6	193.01	195.72	256.78	253.23	205.5	190.34	277.2	224.97	208.38	212.78	215.77	189.02
PEX12	253.23	211.31	175.07	177.53	323.03	287.01	106.63	241.19	150.17	88.88	100.83	191.67	111.21	152.28	102.97	84.04	111.21	114.36	93.35	88.88	96.01	60.39	88.26	72.01	104.42	67.12	111.21	99.43	116.78	75.64	81.71	100.13	92.7	127.89	131.51	102.97	97.36	201.25	151.22	108.14	100.83	94.01	116.78	95.34	69.03	118.43	100.83	134.3	62.56	87.65	127.0	73.03	96.01	97.36	130.6	95.34	146.03	214.27	82.87	83.45	141.02	117.6	122.64	78.89	149.12	133.36	67.12	116.78	201.25	92.7	137.14	96.01	63.89	94.67	85.82	102.97	90.77	67.59	117.6	97.36	116.78	108.9	84.63	283.05	94.67	93.35	88.88	76.71	96.68	76.17	88.88	106.63	205.5	218.79	88.88	217.27	291.04	215.77	325.29	269.6	157.68	154.42	242.88	195.72
PIGK	698.41	872.1	860.08	708.18	738.29	629.35	629.35	575.03	579.04	305.55	291.04	441.64	420.68	473.41	400.71	260.38	507.46	438.59	417.77	336.79	264.03	265.87	447.82	412.0	389.72	314.17	432.53	397.93	351.14	221.86	295.11	187.71	307.69	376.41	392.44	170.25	312.0	392.44	529.06	409.15	457.25	305.55	397.93	271.48	220.32	379.04	346.29	376.41	356.05	387.02	525.39	277.2	265.87	301.33	368.65	332.14	323.03	423.61	287.01	353.59	373.81	579.04	314.17	303.44	444.72	417.77	248.0	493.56	389.72	267.73	595.34	325.29	343.89	429.54	432.53	325.29	384.34	299.25	409.15	327.56	332.14	336.79	327.56	397.93	314.17	423.61	265.87	334.46	297.17	262.2	353.59	392.44	366.09	547.75	348.71	679.29	713.11	599.49	753.83	738.29	441.64	414.87	532.74	575.03
PIGN	514.56	175.07	323.03	325.29	316.37	339.14	123.5	348.71	470.14	144.01	100.13	146.03	104.42	185.11	161.02	78.89	154.42	141.02	111.99	86.43	77.25	51.35	183.82	148.09	148.09	57.89	150.17	189.02	159.9	98.04	115.97	135.24	119.26	159.9	113.56	57.49	158.79	195.72	189.02	226.54	150.17	83.45	127.0	199.85	67.12	178.77	139.07	140.04	113.56	84.04	141.02	63.0	87.03	149.12	152.28	97.36	111.21	226.54	93.35	80.01	102.25	190.34	108.9	85.22	137.14	166.73	57.08	148.09	189.02	90.14	155.5	90.77	61.68	68.07	121.79	158.79	105.15	115.97	124.37	93.35	115.16	153.34	77.79	139.07	140.04	217.27	90.77	104.42	105.15	84.04	98.04	102.97	231.32	316.37	176.29	571.05	255.0	291.04	444.72	463.65	237.86	332.14	239.52	232.94
PLBD2	669.92	1135.2	1008.9	1757.34	684.02	872.1	1001.93	1322.37	1651.0	426.57	323.03	373.81	457.25	503.95	511.0	253.23	363.56	332.14	318.57	299.25	295.11	316.37	334.46	341.51	486.75	236.21	497.0	279.14	493.56	320.8	361.04	507.46	429.54	460.44	466.88	327.56	476.71	567.1	376.41	325.29	543.96	356.05	521.76	497.0	283.05	665.29	551.56	406.31	379.04	236.21	293.07	242.88	395.18	457.25	450.94	395.18	466.88	587.13	297.17	301.33	373.81	463.65	397.93	343.89	470.14	435.55	223.41	289.02	426.57	356.05	579.04	379.04	239.52	293.07	389.72	457.25	271.48	376.41	341.51	429.54	339.14	490.14	229.72	351.14	490.14	447.82	251.48	332.14	332.14	397.93	334.46	336.79	518.15	514.56	426.57	753.83	423.61	575.03	713.11	358.54	454.09	656.11	454.09	490.14
PMS2	351.14	384.34	285.03	314.17	529.06	438.59	454.09	435.55	547.75	154.42	120.94	289.02	113.56	167.9	125.24	86.43	150.17	115.97	114.36	91.41	97.36	87.03	249.73	117.6	120.94	85.22	150.17	128.79	142.01	93.35	116.78	111.21	115.16	127.89	162.14	82.29	145.02	140.04	175.07	135.24	151.22	115.16	111.99	147.06	81.71	144.01	175.07	138.1	111.21	105.89	133.36	100.13	102.97	148.09	150.17	131.51	132.44	183.82	84.04	96.68	134.3	239.52	162.14	106.63	131.51	115.97	91.41	142.01	162.14	111.99	165.57	89.51	75.64	106.63	112.77	133.36	98.73	103.69	136.19	87.65	140.04	148.09	108.14	155.5	129.69	162.14	92.7	120.1	113.56	112.77	132.44	102.25	237.86	189.02	80.57	193.01	220.32	214.27	198.47	246.28	182.55	215.77	139.07	141.02
PRKD1	140.04	255.0	281.09	198.47	265.87	256.78	171.45	269.6	269.6	74.58	60.39	112.77	59.55	54.33	105.15	72.52	71.0	69.03	77.79	70.51	58.71	39.22	138.1	81.71	102.25	75.64	75.11	84.63	97.36	63.45	80.01	76.71	85.22	66.65	76.17	70.51	75.11	85.82	108.14	65.72	101.54	66.65	78.34	77.79	72.01	99.43	59.55	84.04	38.4	63.89	105.15	48.18	81.14	66.18	78.89	53.95	80.57	139.07	69.03	46.18	76.71	145.02	104.42	69.52	97.36	95.34	76.71	75.64	111.99	67.12	93.35	54.72	35.76	75.11	59.97	94.01	63.0	46.5	52.82	65.72	59.97	76.71	81.71	96.01	81.71	92.7	76.71	67.12	66.65	54.72	43.02	59.13	248.0	183.82	234.57	332.14	202.66	273.37	229.72	281.09	171.45	144.01	140.04	189.02
PTPRJ	902.89	684.02	371.22	669.92	514.56	543.96	514.56	420.68	629.35	201.25	116.78	182.55	107.38	237.86	150.17	68.55	156.59	126.12	100.83	90.14	64.8	70.51	148.09	142.01	163.28	72.52	191.67	156.59	217.27	119.26	92.05	232.94	134.3	140.04	173.85	66.65	197.09	320.8	206.94	190.34	185.11	82.29	154.42	241.19	59.55	318.57	177.53	208.38	108.9	63.45	124.37	52.08	96.01	175.07	220.32	125.24	172.65	246.28	76.17	73.03	170.25	309.83	100.13	86.43	132.44	198.47	59.55	154.42	172.65	127.89	358.54	75.11	76.17	73.03	151.22	218.79	102.97	136.19	141.02	127.89	141.02	204.07	72.01	197.09	167.9	265.87	84.63	127.89	108.14	86.43	110.43	129.69	376.41	329.84	486.75	275.28	281.09	368.65	417.77	363.56	500.46	341.51	285.03	258.57
RNF121	934.76	825.0	1081.39	698.41	909.17	769.69	791.35	890.44	567.1	575.03	571.05	497.0	503.95	718.08	629.35	656.11	493.56	547.75	603.67	473.41	629.35	450.94	486.75	624.99	703.28	551.56	633.73	599.49	748.61	463.65	483.38	638.15	656.11	579.04	753.83	669.92	603.67	836.53	521.76	607.87	599.49	521.76	679.29	571.05	406.31	775.05	507.46	651.58	543.96	334.46	624.99	420.68	447.82	633.73	674.59	543.96	693.58	693.58	629.35	420.68	551.56	607.87	432.53	536.45	620.67	665.29	511.0	693.58	389.72	493.56	780.44	559.28	412.0	447.82	547.75	684.02	567.1	518.15	616.37	507.46	647.07	693.58	532.74	718.08	587.13	651.58	463.65	591.22	525.39	514.56	559.28	583.07	669.92	698.41	587.13	733.19	813.63	651.58	713.11	769.69	791.35	802.41	848.22	660.68
RNF13	3039.3	3212.66	2682.69	3589.58	2163.77	1950.0	1794.29	2240.11	1883.54	1199.98	1037.29	1191.69	1417.35	1340.84	1135.2	866.07	1340.84	1340.84	1572.76	1119.56	988.12	638.15	1628.26	1447.15	1119.56	1030.12	1191.69	1447.15	1242.34	698.41	1594.73	791.35	796.86	1388.16	1081.39	961.07	1167.14	1457.23	1151.06	1977.24	1208.34	974.5	1151.06	796.86	748.61	1059.11	1467.37	1143.1	1369.04	1059.11	1447.15	1008.9	1015.93	1104.13	1721.16	1111.82	1268.46	934.76	1096.5	1135.2	1304.15	1369.04	1697.45	947.83	1417.35	1350.18	813.63	2148.82	1781.89	890.44	1639.59	1216.75	1111.82	1242.34	1259.69	1037.29	1313.23	1096.5	1199.98	819.3	1572.76	1088.92	1015.93	1268.46	1388.16	1437.15	878.17	1242.34	1233.75	974.5	1199.98	1051.79	1721.16	1733.13	1135.2	1583.71	1977.24	1697.45	1781.89	1870.53	1594.73	1295.13	2075.59	1350.18
RP11-159G9.5	145.02	82.29	166.73	140.04	87.03	110.43	45.53	128.79	148.09	54.33	27.64	61.68	42.71	72.52	55.1	12.64	62.12	45.21	21.94	23.42	15.34	15.56	50.27	31.45	55.89	19.68	66.18	43.63	62.56	22.92	25.17	74.58	42.41	50.63	52.45	13.72	70.51	103.69	46.18	53.57	31.0	19.68	38.67	64.34	9.56	74.58	58.3	72.52	19.11	16.51	51.35	10.24	32.59	67.12	69.03	39.22	66.65	55.89	8.58	21.78	59.13	82.29	42.71	31.67	43.94	76.71	15.68	55.1	80.57	33.78	76.17	18.7	16.15	20.71	53.57	67.59	25.91	38.12	48.18	41.81	48.87	62.12	24.63	64.34	59.55	76.71	21.32	41.81	36.53	37.05	34.26	33.78	149.12	130.6	199.85	57.89	82.87	126.12	194.36	44.89	120.1	136.19	81.14	51.71
RSPH3	297.17	214.27	199.85	348.71	361.04	297.17	231.32	356.05	358.54	121.79	102.25	193.01	129.69	149.12	136.19	82.29	134.3	145.02	113.56	97.36	90.14	92.05	172.65	107.38	145.02	94.67	121.79	130.6	149.12	79.45	95.34	144.01	103.69	139.07	175.07	85.82	119.26	223.41	161.02	121.79	136.19	87.65	108.14	116.78	93.35	175.07	125.24	122.64	92.05	84.63	118.43	102.97	101.54	130.6	143.01	105.89	126.12	182.55	95.34	81.14	134.3	177.53	115.16	112.77	129.69	147.06	90.77	113.56	158.79	98.73	214.27	121.79	82.29	122.64	110.43	127.0	127.89	117.6	112.77	82.29	129.69	177.53	85.22	125.24	125.24	172.65	84.04	114.36	97.36	120.1	104.42	85.22	215.77	218.79	102.97	167.9	186.4	205.5	248.0	181.28	209.84	176.29	194.36	133.36
SBNO1	291.04	312.0	223.41	432.53	314.17	236.21	285.03	336.79	327.56	190.34	148.09	199.85	177.53	253.23	148.09	109.66	201.25	145.02	133.36	126.12	102.25	98.04	214.27	117.6	167.9	109.66	204.07	157.68	202.66	134.3	138.1	163.28	162.14	234.57	201.25	96.68	194.36	251.48	242.88	152.28	169.07	139.07	140.04	199.85	86.43	228.13	176.29	199.85	171.45	124.37	164.42	96.68	127.89	204.07	181.28	143.01	185.11	236.21	111.99	132.44	182.55	244.57	169.07	131.51	185.11	199.85	108.9	178.77	307.69	130.6	269.6	127.89	91.41	132.44	166.73	163.28	150.17	156.59	141.02	115.97	156.59	198.47	104.42	204.07	164.42	215.77	106.63	150.17	162.14	149.12	149.12	161.02	262.2	299.25	262.2	293.07	289.02	299.25	438.59	307.69	229.72	265.87	277.2	226.54
