	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
PIAS1	277.2	169.07	316.37	167.9	156.59	120.94	228.13	181.28	171.45	173.85	173.85	142.01	143.01	171.45	130.6	121.79	414.87	144.01	118.43	111.99	158.79	82.29	260.38	148.09	325.29	155.5	175.07	161.02	170.25	256.78	141.02	283.05	102.25	262.2	242.88	129.69	277.2	246.28	167.9	159.9	146.03	198.47	281.09	231.32	180.02	229.72	113.56	137.14	98.04	183.82	173.85	89.51	159.9	156.59	218.79	198.47	224.97	447.82	460.44	171.45	373.81	642.59	753.83	368.65	389.72	1268.46	612.11	414.87	802.41	555.41	591.22	486.75	587.13	607.87	320.8	348.71	555.41	392.44	514.56	555.41	540.19	521.76	521.76	753.83	660.68	688.78	638.15	543.96	323.03	941.27	543.96	429.54	406.31	420.68	454.09	791.35	612.11	575.03	441.64	633.73	651.58	878.17	450.94	265.87	432.53	187.71
PIGA	141.02	136.19	102.25	57.49	49.56	28.65	96.68	58.71	57.89	85.82	57.89	99.43	115.16	83.45	79.45	81.71	37.05	62.12	72.52	65.26	95.34	82.29	149.12	113.56	124.37	141.02	47.5	45.21	81.14	81.71	43.63	120.1	33.78	98.04	63.89	59.55	49.21	171.45	137.14	133.36	22.26	75.64	201.25	96.68	155.5	64.34	44.89	108.14	70.01	55.89	44.57	52.45	50.98	51.35	36.79	71.0	52.08	301.33	279.14	155.5	155.5	127.0	647.07	244.57	830.75	392.44	186.4	277.2	457.25	348.71	525.39	214.27	819.3	460.44	185.11	307.69	197.09	258.57	312.0	376.41	336.79	303.44	253.23	217.27	660.68	173.85	417.77	450.94	334.46	229.72	363.56	289.02	144.01	463.65	221.86	389.72	532.74	599.49	536.45	1151.06	397.93	902.89	215.77	129.69	343.89	39.79
PIKFYVE	87.65	75.11	101.54	43.94	48.18	32.36	80.57	42.71	39.22	66.18	70.51	60.82	75.11	51.71	39.22	42.11	46.18	59.55	35.0	46.5	82.87	38.95	187.71	68.55	101.54	60.39	48.18	54.72	55.1	48.52	44.57	105.15	30.56	71.0	171.45	19.97	38.67	49.56	68.55	78.34	31.9	87.65	54.33	92.05	88.26	50.63	34.26	53.95	58.3	66.65	49.21	54.72	34.75	48.18	75.11	78.89	82.29	170.25	142.01	63.0	98.73	150.17	170.25	116.78	90.14	256.78	177.53	102.97	147.06	141.02	122.64	88.26	163.28	205.5	90.14	85.82	114.36	94.67	89.51	186.4	153.34	208.38	133.36	166.73	236.21	161.02	88.26	112.77	72.01	183.82	105.89	101.54	85.82	119.26	148.09	140.04	287.01	162.14	232.94	143.01	273.37	312.0	92.05	76.17	133.36	41.52
PKN2	214.27	167.9	120.1	125.24	101.54	33.78	94.01	136.19	102.25	234.57	172.65	127.89	229.72	98.04	123.5	98.73	150.17	89.51	79.45	115.16	178.77	91.41	279.14	167.9	181.28	154.42	98.04	105.15	95.34	98.73	144.01	258.57	70.51	151.22	426.57	111.21	119.26	100.13	209.84	178.77	101.54	193.01	244.57	143.01	206.94	164.42	102.25	141.02	109.66	159.9	148.09	152.28	88.88	63.45	150.17	140.04	105.89	387.02	253.23	299.25	229.72	392.44	540.19	231.32	248.0	921.88	361.04	258.57	429.54	293.07	275.28	198.47	379.04	476.71	351.14	198.47	271.48	361.04	258.57	291.04	406.31	473.41	323.03	409.15	299.25	429.54	381.68	237.86	211.31	921.88	318.57	363.56	332.14	289.02	297.17	470.14	490.14	381.68	607.87	463.65	595.34	400.71	373.81	242.88	251.48	112.77
PLSCR4	164.42	187.71	293.07	143.01	85.22	68.55	100.83	244.57	108.9	158.79	121.79	165.57	237.86	138.1	159.9	32.13	139.07	249.73	73.03	121.79	162.14	108.9	220.32	209.84	348.71	180.02	142.01	220.32	193.01	80.01	154.42	269.6	126.12	314.17	103.69	84.63	115.16	121.79	19.25	305.55	78.34	197.09	242.88	277.2	356.05	176.29	158.79	688.78	463.65	540.19	145.02	551.56	1143.1	361.04	1259.69	1322.37	884.29	493.56	473.41	248.0	123.5	287.01	703.28	409.15	356.05	1216.75	813.63	371.22	599.49	775.05	1498.22	507.46	878.17	1268.46	420.68	218.79	493.56	363.56	318.57	974.5	1950.0	567.1	536.45	1023.0	1617.0	1561.89	713.11	518.15	144.01	1127.35	514.56	555.41	1259.69	480.04	981.29	802.41	764.36	241.19	1250.98	348.71	995.0	759.08	684.02	202.66	575.03	8.32
PPP1R12A	241.19	251.48	208.38	85.82	101.54	38.4	75.11	129.69	85.22	120.94	187.71	147.06	176.29	124.37	119.26	96.68	122.64	139.07	106.63	98.73	242.88	75.11	336.79	128.79	260.38	139.07	124.37	114.36	130.6	129.69	105.89	246.28	73.03	244.57	246.28	56.28	99.43	178.77	169.07	221.86	68.55	135.24	85.82	256.78	162.14	158.79	102.25	111.21	117.6	122.64	186.4	117.6	73.03	68.07	117.6	265.87	67.59	435.55	420.68	432.53	299.25	665.29	633.73	312.0	323.03	884.29	866.07	454.09	381.68	753.83	497.0	470.14	503.95	642.59	414.87	366.09	529.06	346.29	423.61	525.39	591.22	476.71	397.93	660.68	915.51	890.44	483.38	379.04	269.6	1008.9	381.68	525.39	454.09	376.41	616.37	638.15	684.02	454.09	540.19	356.05	860.08	563.18	457.25	346.29	423.61	116.78
PPP4R1	463.65	532.74	567.1	463.65	409.15	297.17	503.95	463.65	463.65	409.15	373.81	368.65	470.14	351.14	426.57	395.18	432.53	336.79	329.84	363.56	587.13	366.09	532.74	363.56	529.06	503.95	403.5	406.31	325.29	329.84	273.37	316.37	366.09	490.14	348.71	295.11	189.02	316.37	514.56	406.31	327.56	379.04	507.46	444.72	397.93	483.38	329.84	305.55	226.54	215.77	314.17	123.5	181.28	289.02	239.52	318.57	264.03	1175.27	1175.27	947.83	583.07	1044.52	1199.98	961.07	1313.23	2061.24	1781.89	1369.04	775.05	1143.1	693.58	769.69	1457.23	921.88	842.36	1059.11	743.43	961.07	1457.23	1191.69	802.41	1378.57	1757.34	1225.22	1277.29	674.59	1159.07	2209.26	934.76	1369.04	1259.69	780.44	651.58	878.17	674.59	1639.59	2682.69	1268.46	1697.45	1572.76	1388.16	836.53	1359.57	1175.27	1159.07	371.22
PRDM5	30.12	15.0	25.35	15.68	33.54	17.13	10.96	23.76	17.64	1.14	6.06	3.63	1.57	1.99	1.25	38.95	3.47	4.31	3.47	3.17	23.76	1.17	12.93	1.08	0.68	2.07	3.41	0.73	3.66	0.69	3.2	11.13	3.35	6.01	4.62	0.62	1.95	1.48	13.42	6.89	1.0	2.92	1.3	7.75	52.82	3.08	6.21	11.91	1.89	0.0	3.82	0.24	1.1	3.72	2.27	8.0	0.77	87.65	88.88	127.0	53.57	75.64	124.37	105.89	70.01	190.34	154.42	61.25	88.26	116.78	48.87	75.64	208.38	138.1	117.6	49.21	198.47	29.7	97.36	152.28	144.01	77.79	115.16	199.85	119.26	63.0	92.05	112.77	20.11	309.83	80.01	147.06	89.51	104.42	78.89	105.89	297.17	92.7	110.43	58.3	92.7	120.1	343.89	99.43	96.68	2.29
PRKCH	249.73	204.07	441.64	120.94	218.79	253.23	318.57	182.55	163.28	56.28	175.07	197.09	75.64	126.12	72.52	95.34	204.07	57.89	151.22	96.68	256.78	68.07	503.95	20.11	178.77	53.95	131.51	94.01	71.5	34.26	85.82	120.1	98.73	199.85	63.45	20.11	128.79	77.25	83.45	242.88	56.68	102.25	36.53	392.44	71.5	127.0	152.28	85.22	60.82	150.17	63.0	75.11	121.79	95.34	239.52	152.28	101.54	529.06	884.29	136.19	193.01	543.96	878.17	647.07	543.96	684.02	1340.84	493.56	669.92	928.3	346.29	316.37	620.67	656.11	518.15	708.18	1001.93	1001.93	490.14	775.05	708.18	703.28	579.04	1135.2	1721.16	775.05	563.18	753.83	329.84	961.07	866.07	624.99	743.43	591.22	848.22	651.58	708.18	884.29	1378.57	684.02	1159.07	1721.16	669.92	267.73	555.41	295.11
PRPF38B	435.55	466.88	241.19	99.43	66.65	48.52	118.43	128.79	82.87	287.01	387.02	256.78	376.41	260.38	246.28	353.59	297.17	260.38	260.38	297.17	607.87	226.54	514.56	269.6	575.03	267.73	256.78	256.78	212.78	265.87	283.05	486.75	159.9	490.14	547.75	295.11	217.27	229.72	423.61	444.72	237.86	318.57	346.29	444.72	395.18	251.48	214.27	511.0	441.64	215.77	438.59	237.86	182.55	244.57	209.84	307.69	131.51	909.17	435.55	318.57	291.04	802.41	764.36	389.72	514.56	1407.55	1037.29	490.14	1044.52	684.02	473.41	406.31	872.1	256.78	830.75	529.06	718.08	759.08	403.5	525.39	633.73	759.08	329.84	775.05	796.86	698.41	563.18	473.41	400.71	1378.57	444.72	651.58	507.46	503.95	723.08	718.08	836.53	547.75	854.13	616.37	656.11	529.06	525.39	454.09	486.75	205.5
PSIP1	450.94	490.14	514.56	211.31	199.85	39.79	237.86	285.03	181.28	432.53	287.01	376.41	438.59	423.61	224.97	612.11	376.41	170.25	289.02	224.97	470.14	199.85	624.99	559.28	567.1	406.31	454.09	616.37	159.9	679.29	201.25	379.04	183.82	521.76	273.37	279.14	262.2	423.61	303.44	384.34	239.52	373.81	211.31	412.0	684.02	332.14	262.2	327.56	228.13	381.68	441.64	138.1	166.73	457.25	358.54	384.34	353.59	587.13	728.11	412.0	909.17	616.37	902.89	486.75	529.06	1183.45	1331.57	656.11	417.77	848.22	571.05	536.45	842.36	842.36	1104.13	497.0	759.08	536.45	483.38	748.61	988.12	884.29	808.0	1457.23	785.88	1594.73	848.22	371.22	376.41	1369.04	860.08	1081.39	1037.29	674.59	1096.5	1340.84	1175.27	406.31	890.44	529.06	961.07	748.61	1051.79	325.29	612.11	599.49
PTPN21	74.58	91.41	111.21	74.06	64.34	37.59	42.71	101.54	69.52	42.41	96.68	80.01	29.91	56.68	46.18	36.53	49.21	106.63	28.86	55.1	59.13	60.82	48.87	55.49	43.32	45.53	55.1	92.05	144.01	120.1	31.0	49.21	38.4	114.36	92.05	30.12	62.12	63.0	37.59	65.72	41.22	80.57	71.5	68.07	157.68	67.12	73.03	130.6	170.25	87.03	50.27	93.35	52.45	86.43	94.67	144.01	85.22	267.73	420.68	51.35	63.0	348.71	660.68	182.55	231.32	547.75	521.76	234.57	223.41	511.0	215.77	117.6	460.44	346.29	358.54	162.14	273.37	339.14	368.65	540.19	309.83	563.18	532.74	493.56	267.73	713.11	438.59	642.59	109.66	1001.93	521.76	409.15	607.87	363.56	265.87	503.95	363.56	281.09	423.61	571.05	339.14	432.53	447.82	26.67	157.68	2.97
RAB44	4.1	0.0	0.85	0.0	0.46	1.11	0.75	1.71	2.03	0.0	1.27	0.69	0.0	0.61	0.0	2.71	0.66	1.3	0.0	0.61	0.0	0.0	0.0	0.58	4.17	0.65	0.0	0.0	0.0	0.59	0.0	0.65	0.65	0.0	1.06	0.0	0.0	0.0	0.0	1.83	0.54	0.0	0.88	0.61	0.0	0.0	0.68	0.37	0.17	0.23	0.32	0.41	0.39	0.39	0.52	0.0	2.71	11.38	3.69	0.0	0.0	12.36	9.78	5.96	8.51	52.45	14.35	5.82	6.01	13.42	2.84	0.83	13.83	3.56	6.16	5.59	24.28	17.0	3.86	4.03	7.4	15.91	7.11	34.26	17.77	10.96	3.72	25.54	7.82	19.68	5.45	4.74	7.94	10.63	14.45	7.4	4.7	8.92	27.25	14.67	7.63	33.3	7.63	1.04	4.46	0.0
REST	131.51	95.34	120.94	77.79	70.01	28.45	91.41	89.51	57.08	83.45	85.82	62.12	91.41	65.72	64.34	55.89	85.22	93.35	59.13	64.8	104.42	46.84	143.01	75.64	99.43	78.34	92.7	57.89	65.72	97.36	91.41	126.12	47.17	91.41	117.6	52.08	54.72	68.07	90.77	86.43	63.45	89.51	70.01	139.07	131.51	85.22	75.11	92.05	92.7	83.45	113.56	111.99	92.7	91.41	112.77	158.79	86.43	166.73	190.34	123.5	159.9	214.27	171.45	152.28	117.6	228.13	211.31	223.41	148.09	232.94	194.36	242.88	187.71	189.02	182.55	204.07	170.25	173.85	157.68	172.65	226.54	202.66	182.55	287.01	82.29	287.01	205.5	163.28	94.01	187.71	195.72	197.09	140.04	232.94	236.21	275.28	309.83	237.86	191.67	140.04	204.07	115.16	211.31	109.66	135.24	85.82
RFX7	70.01	43.02	72.52	34.51	51.71	13.93	48.18	53.19	55.89	37.05	45.21	31.0	40.36	34.75	28.86	28.24	49.21	44.89	37.59	29.7	68.07	18.29	88.88	36.79	57.08	29.91	40.93	36.01	28.04	83.45	43.32	85.82	19.97	48.87	52.82	18.03	28.04	26.47	24.11	50.27	21.01	63.89	38.4	67.12	49.56	40.93	29.91	21.63	11.04	42.11	61.68	28.65	22.75	39.79	54.72	56.28	48.87	95.34	105.15	42.71	113.56	96.01	120.1	72.52	50.63	208.38	146.03	94.01	62.56	101.54	123.5	91.41	109.66	94.67	81.14	64.34	55.89	74.06	90.14	90.77	158.79	152.28	99.43	275.28	159.9	139.07	82.87	81.14	50.27	224.97	87.03	105.89	85.22	123.5	81.14	143.01	193.01	163.28	255.0	121.79	361.04	110.43	94.01	112.77	98.04	31.9
ROBO4	64.34	59.97	432.53	94.67	96.68	332.14	77.25	60.82	102.97	52.82	124.37	149.12	28.04	111.21	116.78	80.01	125.24	187.71	93.35	94.01	156.59	77.25	122.64	45.21	80.57	105.15	137.14	56.28	99.43	35.76	171.45	169.07	193.01	182.55	97.36	19.11	204.07	103.69	60.82	187.71	41.81	116.78	25.54	249.73	46.84	220.32	143.01	45.85	54.33	78.89	180.02	59.55	41.81	151.22	182.55	128.79	95.34	748.61	791.35	20.41	189.02	536.45	842.36	587.13	607.87	3039.3	2163.77	825.0	587.13	1427.22	90.14	693.58	575.03	961.07	1037.29	563.18	878.17	656.11	753.83	1242.34	713.11	1350.18	1127.35	1477.58	2287.2	1331.57	1225.22	599.49	63.45	1104.13	769.69	1697.45	406.31	802.41	1950.0	988.12	748.61	1583.71	748.61	529.06	1457.23	620.67	1167.14	42.41	503.95	55.1
ROCK1	146.03	161.02	144.01	50.63	44.25	14.78	38.95	66.18	32.82	94.01	163.28	155.5	177.53	137.14	132.44	85.22	139.07	186.4	101.54	108.14	185.11	107.38	295.11	120.1	242.88	211.31	104.42	150.17	127.89	94.01	98.04	141.02	79.45	197.09	215.77	68.07	93.35	112.77	152.28	150.17	91.41	146.03	132.44	224.97	167.9	154.42	94.01	120.94	170.25	121.79	107.38	92.05	124.37	117.6	119.26	215.77	204.07	329.84	363.56	199.85	194.36	493.56	500.46	237.86	291.04	896.64	532.74	265.87	295.11	400.71	392.44	273.37	264.03	698.41	273.37	242.88	269.6	232.94	271.48	429.54	470.14	316.37	336.79	470.14	928.3	412.0	412.0	412.0	217.27	896.64	334.46	269.6	309.83	256.78	366.09	389.72	679.29	450.94	384.34	371.22	780.44	974.5	305.55	239.52	277.2	93.35
RP11-690P14.4	0.0	2.41	0.85	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	1.16	0.93	0.0	3.56	1.04	1.03	2.39	6.21	6.57	2.16	1.2	2.48	0.57	1.77	1.83	0.92	1.69	0.8	3.29	2.48	1.69	0.95	2.12	1.66	1.58	5.63	2.16	2.89	3.17	2.32	3.08	3.35	3.82	2.29	2.76	0.54	0.8	3.08	0.69	1.14	4.28	5.28	3.69	3.17	5.5	0.0	5.73	0.0
RPS6KA2	387.02	343.89	547.75	307.69	251.48	463.65	312.0	253.23	339.14	102.97	94.67	132.44	26.47	62.12	68.55	30.78	66.65	34.75	69.03	89.51	132.44	111.21	157.68	35.0	46.5	69.03	82.87	43.32	95.34	23.59	78.34	232.94	60.82	132.44	46.18	16.51	76.71	96.68	15.68	146.03	71.0	100.83	16.03	231.32	105.15	162.14	105.89	85.82	39.79	84.04	169.07	115.16	64.34	85.82	139.07	150.17	121.79	878.17	988.12	66.65	281.09	1216.75	1159.07	791.35	995.0	1081.39	1159.07	1388.16	193.01	2976.74	808.0	190.34	2485.67	884.29	412.0	1081.39	890.44	2520.38	947.83	3690.52	536.45	2682.69	4038.61	1340.84	567.1	1183.45	890.44	3443.31	878.17	540.19	2758.13	921.88	361.04	4937.99	497.0	1806.78	1674.06	7642.41	2875.3	2573.36	1950.0	1286.18	713.11	34.26	802.41	100.83
RPS6KA5	27.84	19.53	26.86	15.22	10.79	7.28	38.4	16.03	15.91	5.06	10.96	9.85	7.22	10.71	5.68	7.46	21.47	7.4	7.06	7.11	14.35	2.18	28.65	12.55	14.89	17.77	6.52	11.91	5.15	7.22	5.41	13.62	4.58	31.0	44.57	2.61	11.04	15.68	8.32	16.03	5.77	19.53	6.84	29.7	6.36	20.56	9.2	25.17	23.93	12.64	9.93	24.81	14.35	13.22	17.38	15.34	31.67	31.67	47.17	14.45	116.78	86.43	98.73	37.59	93.35	106.63	83.45	46.5	108.14	72.52	45.85	19.39	87.65	52.82	54.72	18.03	140.04	102.25	57.08	67.12	102.25	76.17	73.54	142.01	94.01	135.24	103.69	63.45	24.28	142.01	77.79	51.71	70.01	80.01	60.39	176.29	43.02	84.63	73.54	88.88	69.03	81.14	77.79	70.51	39.5	23.59
RXFP1	5.54	23.42	47.84	3.5	6.78	3.69	1.13	12.74	1.36	1.93	0.69	0.67	3.26	1.95	1.16	1.35	5.02	0.71	3.08	2.34	28.65	1.08	8.0	2.63	3.44	5.36	5.63	1.07	1.51	1.85	1.71	10.16	2.03	1.13	13.93	1.2	4.06	2.23	2.43	5.36	2.01	2.48	0.51	8.99	7.11	6.16	5.68	7.51	19.39	6.89	5.23	6.89	14.89	10.08	5.54	6.78	7.51	40.07	73.03	2.01	1.5	35.5	77.25	58.3	55.49	166.73	100.13	39.5	9.93	96.68	4.39	22.1	66.18	62.56	87.03	60.82	206.94	127.89	45.53	70.01	25.72	87.65	50.98	118.43	40.36	193.01	194.36	22.26	18.43	76.17	109.66	157.68	67.59	62.56	117.6	87.03	35.5	75.64	59.97	79.45	88.88	78.34	148.09	1.38	60.82	4.5
SCARF1	133.36	92.7	249.73	36.79	53.19	102.25	100.83	70.01	71.5	61.25	178.77	165.57	73.03	103.69	70.01	72.01	105.15	127.89	132.44	120.1	172.65	85.22	209.84	57.08	156.59	79.45	115.97	144.01	150.17	48.87	127.0	149.12	120.1	209.84	74.06	23.93	115.97	118.43	52.45	220.32	55.89	115.16	77.25	309.83	96.68	151.22	125.24	111.21	121.79	137.14	264.03	81.14	162.14	83.45	121.79	169.07	102.97	567.1	356.05	53.95	88.26	329.84	346.29	316.37	305.55	718.08	713.11	162.14	329.84	244.57	262.2	301.33	325.29	212.78	447.82	327.56	500.46	267.73	253.23	379.04	218.79	397.93	217.27	473.41	273.37	896.64	547.75	119.26	152.28	866.07	281.09	728.11	490.14	291.04	497.0	395.18	149.12	332.14	688.78	409.15	412.0	191.67	591.22	53.95	435.55	41.22
SDPR	318.57	314.17	267.73	49.56	85.82	77.25	19.82	94.67	43.02	60.39	56.68	82.29	12.45	115.97	38.4	65.72	660.68	262.2	52.82	77.79	61.68	31.22	72.52	35.0	39.5	32.36	90.77	780.44	108.14	50.98	96.68	154.42	53.19	96.01	1167.14	37.32	157.68	830.75	1617.0	148.09	125.24	170.25	368.65	145.02	22.92	420.68	90.77	41.81	76.71	379.04	397.93	78.89	58.3	137.14	444.72	339.14	291.04	764.36	1572.76	35.5	348.71	1322.37	3303.0	2255.7	1963.57	4639.29	2956.17	2400.97	633.73	4038.61	476.71	229.72	2682.69	5751.61	1407.55	1313.23	1159.07	1745.2	1295.13	5751.61	1639.59	4066.71	4869.99	4388.98	20170.07	6207.38	4388.98	2384.37	269.6	1819.35	5479.15	2739.08	2915.45	4268.94	5329.3	3212.66	2875.3	8963.45	4937.99	3515.68	3589.58	19348.38	1896.65	187.71	1286.18	10.96
SENP6	403.5	480.04	379.04	132.44	145.02	53.19	113.56	183.82	108.9	409.15	463.65	384.34	423.61	327.56	295.11	293.07	239.52	547.75	255.0	417.77	441.64	303.44	567.1	381.68	688.78	420.68	432.53	563.18	204.07	441.64	217.27	620.67	414.87	665.29	638.15	414.87	186.4	307.69	417.77	441.64	256.78	629.35	389.72	518.15	493.56	423.61	267.73	403.5	454.09	403.5	387.02	339.14	299.25	191.67	255.0	279.14	244.57	819.3	679.29	507.46	559.28	738.29	902.89	579.04	587.13	2485.67	921.88	529.06	842.36	624.99	802.41	500.46	591.22	718.08	921.88	426.57	684.02	708.18	567.1	603.67	854.13	665.29	647.07	1167.14	808.0	555.41	884.29	728.11	387.02	1340.84	525.39	759.08	529.06	669.92	587.13	669.92	2303.12	836.53	1225.22	633.73	1175.27	1066.48	728.11	334.46	753.83	366.09
SF1	2224.63	2451.44	2133.97	1427.22	1628.26	2061.24	2573.36	1769.57	2193.99	1806.78	2004.85	1331.57	1832.01	2163.77	1551.09	2104.58	2133.97	2075.59	1617.0	1781.89	2335.28	1427.22	2367.9	2240.11	2739.08	1572.76	1950.0	1769.57	1781.89	2335.28	1378.57	2451.44	1721.16	2915.45	2875.3	1819.35	1427.22	2434.5	1950.0	1832.01	1674.06	2061.24	1769.57	1950.0	2047.0	2451.44	1733.13	2384.37	2434.5	2255.7	1857.6	1583.71	1304.15	1844.76	1572.76	1769.57	1359.57	3665.02	2758.13	2434.5	2645.74	2875.3	3235.01	2133.97	2915.45	4937.99	4066.71	2701.35	3124.78	2875.3	2209.26	2720.15	3742.05	2701.35	2682.69	2400.97	3280.18	2875.3	2400.97	2303.12	2319.15	3235.01	2367.9	4607.24	4575.41	4038.61	3235.01	3901.01	2468.49	4152.18	1963.57	3081.75	1991.0	3212.66	3901.01	3168.41	3349.13	1769.57	3146.52	3419.52	5555.65	5219.6	3039.3	1745.2	2485.67	1923.14
SIN3A	277.2	177.53	316.37	159.9	164.42	141.02	249.73	271.48	256.78	198.47	187.71	145.02	120.1	201.25	152.28	150.17	283.05	158.79	129.69	181.28	187.71	94.01	384.34	211.31	265.87	205.5	211.31	173.85	234.57	343.89	151.22	221.86	186.4	283.05	511.0	84.63	133.36	289.02	299.25	169.07	165.57	214.27	293.07	189.02	231.32	215.77	177.53	358.54	395.18	147.06	122.64	120.1	140.04	162.14	236.21	214.27	152.28	346.29	454.09	251.48	547.75	379.04	511.0	287.01	267.73	571.05	583.07	283.05	420.68	466.88	457.25	348.71	457.25	406.31	299.25	348.71	414.87	339.14	285.03	521.76	379.04	356.05	447.82	595.34	808.0	426.57	320.8	438.59	392.44	651.58	417.77	348.71	251.48	490.14	323.03	480.04	423.61	423.61	444.72	341.51	830.75	674.59	395.18	327.56	356.05	277.2
