	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
RHOBTB2	229.72	74.06	79.45	115.16	50.27	208.38	291.04	102.97	115.16	120.94	190.34	121.79	198.47	211.31	206.94	189.02	126.12	163.28	236.21	169.07	193.01	70.51	52.45	139.07	122.64	94.67	164.42	163.28	101.54	142.01	125.24	143.01	85.22	102.25	197.09	169.07	189.02	232.94	267.73	49.56	119.26	142.01	104.42	156.59	137.14	96.01	130.6	157.68	87.65	60.82	180.02	194.36	132.44	190.34	71.0	65.72	215.77	285.03	111.21	116.78	155.5	153.34	115.97	73.54	206.94	134.3	191.67	138.1	190.34	120.1	297.17	92.05	260.38	144.01	224.97	137.14	104.42	90.77	117.6	157.68	253.23	146.03	314.17	269.6	267.73	226.54	236.21	262.2	186.4	305.55	176.29	264.03	204.07	217.27	242.88	269.6	215.77	163.28	325.29	217.27
RND2	68.55	43.32	21.01	89.51	19.25	143.01	170.25	6.21	2.03	90.14	105.15	83.45	75.11	98.04	48.18	67.12	34.75	17.77	114.36	167.9	78.89	12.64	15.34	60.82	38.67	31.0	41.81	76.71	30.56	49.21	29.27	75.64	0.61	77.25	111.99	36.79	53.19	193.01	229.72	3.17	13.83	50.27	61.25	96.01	88.26	31.0	39.79	67.12	20.11	1.95	95.34	38.4	11.21	48.52	20.56	10.55	100.13	102.97	32.82	73.03	38.4	28.86	11.13	20.86	120.1	57.49	110.43	31.45	76.71	15.11	109.66	11.21	50.27	71.5	145.02	17.64	69.03	12.55	34.75	36.53	194.36	99.43	314.17	180.02	141.02	208.38	273.37	231.32	289.02	215.77	190.34	146.03	206.94	121.79	151.22	214.27	150.17	152.28	206.94	265.87
RP11-122A3.2	146.03	106.63	16.03	151.22	30.34	181.28	149.12	5.41	13.32	167.9	162.14	114.36	133.36	201.25	69.03	92.7	52.45	20.56	131.51	224.97	198.47	8.38	25.17	64.8	60.82	33.78	99.43	71.0	34.26	44.57	92.7	142.01	4.28	74.58	148.09	74.06	37.85	253.23	281.09	7.75	13.12	85.22	45.21	133.36	109.66	36.53	91.41	97.36	28.45	4.35	241.19	31.67	21.47	72.01	26.28	19.68	320.8	186.4	25.72	86.43	33.06	85.82	11.47	14.35	183.82	94.67	186.4	13.83	46.5	18.03	217.27	6.21	19.68	111.21	291.04	27.64	76.71	14.78	57.89	57.89	253.23	224.97	547.75	305.55	293.07	327.56	674.59	221.86	547.75	371.22	417.77	267.73	363.56	291.04	212.78	503.95	346.29	158.79	460.44	426.57
SCARA3	312.0	152.28	56.28	387.02	80.01	450.94	476.71	27.64	19.53	303.44	384.34	309.83	353.59	438.59	214.27	297.17	123.5	84.63	571.05	651.58	339.14	54.33	62.56	159.9	128.79	112.77	103.69	307.69	145.02	114.36	201.25	244.57	22.26	287.01	314.17	175.07	169.07	713.11	669.92	15.45	59.97	199.85	145.02	289.02	373.81	88.88	171.45	295.11	87.65	17.13	429.54	130.6	82.29	189.02	53.57	21.94	275.28	525.39	88.88	205.5	143.01	175.07	231.32	72.01	532.74	221.86	400.71	82.29	205.5	59.97	674.59	32.59	217.27	283.05	633.73	115.97	277.2	66.18	136.19	156.59	540.19	256.78	872.1	651.58	521.76	718.08	775.05	642.59	974.5	802.41	802.41	559.28	579.04	387.02	665.29	1340.84	476.71	406.31	896.64	915.51
SPATA18	105.89	43.02	15.0	112.77	11.55	80.01	132.44	6.73	5.59	65.72	69.52	71.5	21.32	94.67	45.21	35.0	14.56	21.47	52.08	106.63	78.89	18.29	6.36	17.13	91.41	16.03	58.71	91.41	74.58	102.25	111.99	42.11	0.82	23.25	111.21	8.06	12.18	106.63	64.34	8.06	30.12	30.34	15.34	53.57	92.7	73.54	52.08	124.37	3.89	2.86	122.64	18.84	10.47	46.5	40.07	21.63	96.01	117.6	63.0	72.52	14.45	11.13	4.24	27.05	78.34	27.84	132.44	98.04	43.94	76.71	137.14	4.13	20.11	31.67	134.3	64.8	33.3	39.22	32.59	31.67	159.9	109.66	190.34	171.45	239.52	137.14	169.07	115.16	180.02	187.71	106.63	105.15	112.77	108.14	129.69	208.38	94.01	96.68	186.4	177.53
SPNS3	9.34	4.9	3.08	8.85	1.83	12.27	14.45	2.63	0.59	4.17	9.56	5.87	13.72	11.55	9.34	10.63	5.15	3.59	14.67	8.25	8.51	2.81	3.66	2.61	3.17	2.27	3.66	10.63	11.55	3.56	3.17	4.54	1.17	9.27	8.51	9.41	9.41	16.27	10.39	2.18	1.83	5.68	4.31	12.09	13.93	8.45	7.82	4.28	2.61	1.41	4.82	6.62	7.06	9.63	3.53	1.97	6.16	8.85	5.41	8.13	9.41	3.86	1.27	2.48	10.39	4.03	10.0	3.2	13.62	4.03	13.62	3.14	6.78	3.03	13.42	16.88	13.32	0.27	11.73	4.54	13.03	6.62	17.64	10.71	18.7	7.82	13.52	15.11	15.45	16.88	9.27	12.83	9.56	6.62	14.67	8.78	14.78	11.64	15.68	22.1
STOX2	38.12	7.11	1.95	22.92	7.75	38.67	40.93	3.86	4.82	13.62	20.41	11.21	22.26	41.52	11.82	19.97	15.22	3.47	21.47	36.79	22.59	9.2	5.77	6.89	8.0	5.19	6.36	29.06	9.06	11.82	5.19	15.56	2.2	8.13	26.67	7.22	6.84	39.79	29.06	2.66	4.24	14.45	6.67	19.68	12.36	14.78	12.55	11.73	1.85	1.83	26.86	6.62	16.75	8.58	7.82	6.67	33.06	50.63	7.75	10.55	3.79	15.56	16.15	2.66	19.82	23.42	21.94	31.0	14.78	3.99	37.85	3.08	8.58	7.82	44.89	5.5	11.47	4.94	10.47	6.26	40.36	49.21	68.55	69.52	66.18	47.5	46.84	49.56	28.65	63.89	29.27	38.12	43.94	28.86	46.18	59.55	33.06	20.26	59.97	59.97
TCF7L1	205.5	91.41	80.01	156.59	43.63	323.03	307.69	43.94	31.22	166.73	193.01	157.68	170.25	218.79	158.79	185.11	151.22	61.25	253.23	334.46	153.34	56.28	75.11	102.97	100.13	90.14	81.14	161.02	98.73	79.45	71.5	126.12	33.54	149.12	180.02	172.65	93.35	412.0	287.01	14.45	52.45	150.17	178.77	157.68	158.79	75.11	123.5	94.01	59.97	31.67	169.07	80.01	60.39	94.01	34.02	26.86	199.85	265.87	86.43	120.1	85.22	72.52	28.86	67.12	246.28	110.43	256.78	86.43	190.34	64.34	351.14	63.0	66.65	177.53	299.25	105.89	154.42	43.02	89.51	82.87	265.87	161.02	463.65	379.04	281.09	273.37	366.09	314.17	299.25	395.18	371.22	291.04	480.04	246.28	323.03	361.04	316.37	217.27	309.83	438.59
TMEM106A	50.98	22.75	8.85	39.22	15.91	53.19	78.89	8.71	6.06	25.54	44.89	36.27	35.25	54.72	28.65	47.84	18.56	16.15	37.85	88.26	52.45	12.64	10.0	13.83	21.63	12.74	18.56	36.53	23.93	22.75	15.56	21.01	4.31	13.93	56.28	16.27	17.38	49.21	49.56	6.94	16.15	29.48	29.7	34.51	33.3	16.75	35.76	25.17	10.88	12.0	40.64	15.0	21.32	15.68	8.85	10.0	62.12	81.14	14.89	41.81	18.16	12.93	6.36	4.5	34.75	37.59	45.85	19.68	40.64	15.45	48.87	7.28	25.17	15.68	80.01	20.71	27.64	6.41	22.75	16.15	70.51	74.06	106.63	95.34	87.65	55.49	78.34	69.03	90.14	88.88	51.71	57.49	59.55	67.59	85.82	76.17	72.01	24.99	88.88	99.43
TMEM237	325.29	269.6	134.3	283.05	205.5	497.0	447.82	255.0	127.0	334.46	307.69	258.57	242.88	400.71	198.47	232.94	220.32	190.34	301.33	392.44	351.14	135.24	144.01	201.25	255.0	164.42	204.07	299.25	205.5	320.8	138.1	242.88	152.28	208.38	346.29	153.34	226.54	463.65	351.14	121.79	131.51	381.68	208.38	264.03	198.47	218.79	387.02	239.52	187.71	136.19	323.03	166.73	199.85	161.02	237.86	178.77	575.03	409.15	248.0	291.04	204.07	218.79	204.07	159.9	348.71	241.19	389.72	221.86	346.29	211.31	395.18	193.01	172.65	139.07	595.34	165.57	262.2	199.85	251.48	297.17	543.96	559.28	529.06	633.73	642.59	591.22	642.59	629.35	656.11	669.92	536.45	423.61	476.71	426.57	400.71	476.71	563.18	379.04	575.03	497.0
TMLHE	115.16	49.21	17.13	57.89	15.11	105.89	108.14	9.63	7.0	57.89	95.34	50.98	55.49	80.57	33.54	73.54	31.67	26.1	66.65	129.69	68.07	19.82	10.31	30.34	23.25	23.93	34.26	55.1	29.91	31.22	30.78	140.04	5.02	41.22	59.97	55.89	30.34	114.36	93.35	4.98	12.64	38.4	35.25	54.33	68.07	22.59	49.21	47.84	8.25	8.92	89.51	20.71	15.45	32.13	14.89	7.82	96.68	112.77	20.41	39.22	60.39	29.48	5.73	12.27	96.68	64.34	74.58	25.72	46.5	22.92	128.79	7.57	32.59	47.5	127.0	53.57	45.53	7.63	28.65	24.28	145.02	139.07	228.13	158.79	211.31	150.17	260.38	187.71	220.32	189.02	119.26	102.25	154.42	149.12	141.02	205.5	130.6	85.82	232.94	258.57
TSHZ3	149.12	87.65	27.44	165.57	40.64	232.94	208.38	79.45	21.63	108.9	176.29	134.3	108.9	255.0	108.9	117.6	79.45	108.14	156.59	202.66	135.24	43.02	58.71	60.82	79.45	96.01	83.45	122.64	77.79	64.34	61.25	199.85	13.83	74.06	140.04	50.27	50.27	327.56	255.0	22.1	54.72	93.35	133.36	132.44	171.45	60.82	74.06	152.28	32.13	31.45	113.56	87.65	76.17	68.55	55.89	81.14	223.41	271.48	55.49	112.77	48.18	84.04	38.12	52.45	265.87	134.3	220.32	65.72	118.43	62.12	267.73	21.01	69.03	132.44	215.77	206.94	105.15	27.44	69.03	60.82	262.2	275.28	414.87	395.18	307.69	251.48	277.2	194.36	209.84	287.01	217.27	204.07	260.38	341.51	267.73	307.69	281.09	124.37	277.2	297.17
ZNF516	161.02	90.14	35.0	126.12	29.27	165.57	246.28	22.59	14.24	80.01	128.79	89.51	171.45	253.23	61.25	81.14	67.12	28.86	176.29	214.27	128.79	40.07	40.93	44.57	55.49	57.89	60.82	148.09	88.88	69.52	53.57	81.71	6.31	67.12	120.1	46.84	50.63	258.57	176.29	7.06	20.26	83.45	58.71	141.02	66.18	121.79	85.82	93.35	20.86	11.91	164.42	46.84	21.94	67.12	133.36	22.26	156.59	246.28	36.01	107.38	34.26	55.1	27.05	127.0	183.82	82.87	153.34	43.02	56.68	13.52	220.32	36.79	37.32	77.25	215.77	39.22	96.68	52.08	98.73	120.1	177.53	97.36	429.54	299.25	271.48	220.32	253.23	186.4	172.65	241.19	193.01	159.9	239.52	147.06	297.17	320.8	173.85	91.41	244.57	248.0
ZNF711	40.93	21.32	4.9	20.41	5.19	42.11	46.18	5.59	1.69	21.32	34.75	19.25	13.62	57.89	15.22	20.26	8.99	5.54	31.0	25.17	37.85	14.24	7.4	3.69	13.03	20.56	16.88	19.68	11.04	17.13	9.06	34.75	0.0	6.84	46.5	7.63	7.28	91.41	27.84	1.38	8.25	18.29	15.68	24.28	49.56	9.41	35.25	37.32	10.47	1.11	24.81	6.31	8.99	19.82	14.24	5.19	44.89	38.95	12.36	19.82	6.94	19.39	5.06	3.53	40.36	21.16	41.81	14.56	37.59	8.38	39.79	4.24	12.83	15.56	66.65	15.0	20.86	3.29	11.13	11.21	63.89	64.8	75.11	82.29	75.11	51.35	80.57	68.55	107.38	88.88	34.51	42.11	54.72	45.53	68.55	64.34	82.29	21.01	73.03	66.18
