	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.ET.A39S.01A.11R.A19O.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.QV44.0826.SM.2S1RG	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
MTERFD3	152.28	371.22	353.59	198.47	395.18	514.56	532.74	559.28	412.0	214.27	323.03	400.71	343.89	275.28	368.65	473.41	454.09	1051.79	490.14	830.75	426.57	463.65	660.68	540.19	595.34	1030.12	854.13	808.0	303.44	543.96	490.14	559.28	624.99	633.73	848.22	656.11	571.05	551.56	579.04	490.14	460.44	444.72	738.29	503.95	444.72	698.41	723.08	371.22	633.73	612.11	1350.18	476.71	587.13	579.04	723.08	476.71	669.92
NEK10	0.0	5.28	0.87	0.88	2.43	4.66	4.17	0.48	3.38	2.01	3.06	3.63	6.84	4.17	3.44	1.68	3.44	57.08	21.78	18.03	5.87	10.79	21.78	7.88	26.28	23.08	15.45	7.46	9.27	22.26	11.3	15.68	18.03	13.22	0.84	38.67	9.27	6.67	20.86	8.99	10.0	13.52	19.82	5.96	10.63	17.9	59.97	4.17	5.92	17.13	21.78	10.63	6.21	16.88	16.27	21.63	16.03
NUDT6	0.0	144.01	173.85	103.69	130.6	205.5	183.82	144.01	154.42	119.26	155.5	115.16	145.02	97.36	149.12	117.6	148.09	234.57	237.86	320.8	205.5	178.77	249.73	125.24	246.28	299.25	307.69	249.73	197.09	258.57	316.37	291.04	248.0	249.73	186.4	242.88	212.78	267.73	301.33	215.77	215.77	206.94	269.6	363.56	194.36	223.41	193.01	142.01	343.89	201.25	314.17	295.11	172.65	106.63	373.81	275.28	291.04
OR2T8	0.0	0.0	6.52	0.99	11.3	2.03	5.77	3.92	2.14	0.64	4.35	5.41	3.06	0.0	0.0	12.27	2.01	21.32	27.05	21.78	29.7	93.35	26.28	41.52	9.06	40.36	35.25	6.73	24.63	11.3	21.47	31.0	27.64	25.72	10.88	38.4	9.63	34.26	10.55	38.4	55.49	12.55	29.27	21.47	44.25	21.01	43.63	18.03	17.51	43.02	49.21	26.47	12.83	1.33	44.25	5.68	24.99
PARP8	197.09	460.44	273.37	283.05	444.72	583.07	555.41	536.45	447.82	384.34	540.19	450.94	397.93	435.55	476.71	591.22	547.75	941.27	909.17	1322.37	1135.2	1477.58	1427.22	872.1	1111.82	1397.83	974.5	934.76	866.07	665.29	1313.23	1044.52	1030.12	1051.79	780.44	890.44	1059.11	1313.23	684.02	909.17	1104.13	1015.93	1037.29	974.5	1651.0	909.17	842.36	866.07	616.37	1216.75	1417.35	1088.92	1001.93	934.76	854.13	934.76	1151.06
PBX1	514.56	551.56	536.45	426.57	791.35	961.07	376.41	791.35	713.11	518.15	733.19	830.75	373.81	395.18	902.89	679.29	764.36	1769.57	1417.35	1295.13	961.07	1066.48	1322.37	463.65	1073.91	1233.75	878.17	872.1	651.58	1225.22	1183.45	860.08	764.36	703.28	551.56	1359.57	1015.93	954.43	1088.92	1191.69	718.08	785.88	1119.56	620.67	693.58	1135.2	1175.27	854.13	620.67	759.08	1417.35	921.88	902.89	854.13	967.76	1081.39	1242.34
PCNXL4	0.0	301.33	356.05	228.13	356.05	397.93	353.59	353.59	307.69	327.56	323.03	348.71	255.0	291.04	289.02	320.8	312.0	830.75	629.35	583.07	414.87	363.56	403.5	563.18	476.71	575.03	624.99	457.25	361.04	555.41	483.38	500.46	616.37	575.03	532.74	490.14	511.0	457.25	599.49	392.44	384.34	555.41	651.58	368.65	403.5	366.09	540.19	417.77	343.89	450.94	599.49	441.64	332.14	438.59	547.75	567.1	595.34
PDE6B	0.0	148.09	231.32	251.48	159.9	273.37	221.86	244.57	234.57	202.66	260.38	287.01	166.73	237.86	256.78	134.3	191.67	679.29	466.88	567.1	454.09	497.0	780.44	291.04	356.05	642.59	532.74	551.56	420.68	403.5	599.49	476.71	575.03	571.05	575.03	511.0	381.68	563.18	387.02	444.72	336.79	403.5	314.17	384.34	403.5	521.76	480.04	409.15	332.14	470.14	389.72	438.59	285.03	332.14	555.41	493.56	291.04
PHF14	0.0	332.14	307.69	209.84	376.41	299.25	316.37	336.79	339.14	137.14	301.33	341.51	279.14	309.83	289.02	307.69	392.44	423.61	435.55	480.04	256.78	307.69	363.56	358.54	476.71	521.76	417.77	303.44	343.89	420.68	483.38	314.17	429.54	341.51	387.02	387.02	381.68	463.65	441.64	325.29	341.51	503.95	371.22	309.83	336.79	273.37	409.15	353.59	289.02	301.33	514.56	314.17	366.09	490.14	373.81	400.71	480.04
PHF21B	0.0	7.63	1.77	11.73	22.92	27.05	27.05	7.06	9.27	3.17	14.35	8.13	1.83	22.75	10.31	3.92	15.68	115.97	59.13	163.28	59.13	8.71	194.36	42.11	42.11	46.84	114.36	126.12	45.53	126.12	30.56	24.46	145.02	76.71	126.12	146.03	13.42	90.77	36.01	12.55	5.15	15.68	62.56	11.47	17.25	20.41	111.99	46.5	9.7	17.38	138.1	21.78	54.33	35.5	124.37	43.32	87.65
PLCD4	0.0	22.26	12.36	13.12	29.91	47.17	42.11	28.65	19.82	19.39	20.56	39.5	19.11	24.81	22.1	46.18	38.67	123.5	137.14	334.46	35.5	47.84	52.82	305.55	56.28	239.52	144.01	47.5	46.18	80.01	66.18	84.63	126.12	166.73	60.82	170.25	220.32	134.3	156.59	15.68	183.82	169.07	63.45	37.59	91.41	22.43	202.66	39.79	40.07	80.57	387.02	73.03	48.52	31.0	44.57	93.35	166.73
PLCH1	0.0	26.67	2.66	2.43	9.13	3.06	18.29	1.39	11.3	13.62	12.55	13.72	2.53	13.03	12.55	67.12	17.9	483.38	170.25	211.31	232.94	151.22	76.71	27.84	92.7	353.59	80.57	103.69	231.32	169.07	241.19	122.64	54.72	111.99	81.14	105.89	218.79	122.64	147.06	187.71	153.34	98.04	214.27	138.1	389.72	251.48	264.03	186.4	145.02	77.79	409.15	186.4	89.51	13.93	154.42	129.69	187.71
PNMA3	0.0	2.43	2.63	4.78	11.13	19.97	13.83	43.32	12.36	7.0	17.51	32.36	6.73	10.55	8.13	2.89	29.06	137.14	80.01	146.03	17.0	13.12	62.56	8.19	31.45	117.6	104.42	32.82	31.9	102.97	113.56	22.75	126.12	75.64	176.29	52.45	11.47	73.54	45.53	21.16	11.38	60.39	28.24	14.89	17.13	19.39	85.22	33.78	26.47	16.51	19.53	56.68	29.91	9.48	271.48	53.95	39.5
PRKCQ	0.0	102.25	75.64	88.26	118.43	150.17	130.6	146.03	127.89	93.35	169.07	97.36	83.45	116.78	151.22	83.45	191.67	351.14	961.07	638.15	363.56	414.87	503.95	279.14	473.41	447.82	738.29	486.75	301.33	775.05	473.41	351.14	679.29	518.15	423.61	493.56	743.43	638.15	642.59	429.54	265.87	633.73	559.28	341.51	363.56	511.0	387.02	409.15	447.82	432.53	339.14	334.46	780.44	438.59	743.43	656.11	563.18
PRMT10	0.0	164.42	145.02	94.67	234.57	166.73	170.25	193.01	193.01	144.01	191.67	190.34	145.02	116.78	147.06	182.55	224.97	373.81	361.04	423.61	265.87	277.2	353.59	329.84	346.29	507.46	454.09	429.54	264.03	275.28	303.44	341.51	295.11	273.37	323.03	299.25	356.05	309.83	307.69	285.03	363.56	287.01	301.33	420.68	325.29	246.28	299.25	384.34	384.34	420.68	521.76	264.03	361.04	253.23	283.05	320.8	371.22
PSTK	0.0	70.01	127.0	79.45	101.54	141.02	147.06	129.69	100.13	80.01	93.35	114.36	73.54	73.03	92.7	77.79	98.73	163.28	144.01	198.47	103.69	108.9	122.64	136.19	130.6	167.9	149.12	98.04	134.3	136.19	130.6	151.22	159.9	144.01	140.04	156.59	140.04	127.89	185.11	121.79	81.14	167.9	171.45	152.28	163.28	113.56	176.29	110.43	99.43	127.89	175.07	122.64	77.79	120.1	114.36	127.89	165.57
PTCH2	0.0	39.79	5.5	5.15	21.63	20.41	19.68	14.24	21.32	13.12	9.78	20.26	11.47	8.06	10.47	29.7	30.78	81.71	232.94	149.12	24.99	31.0	39.79	12.18	94.67	70.01	167.9	34.02	22.75	220.32	44.89	29.06	301.33	202.66	73.54	260.38	99.43	189.02	351.14	24.11	20.86	255.0	130.6	35.0	24.46	24.63	92.7	38.12	15.11	21.01	138.1	29.91	49.21	42.41	186.4	109.66	87.65
PTPLAD2	0.0	92.05	74.58	110.43	45.53	63.89	154.42	54.33	111.99	111.21	104.42	94.01	100.13	111.21	112.77	80.01	97.36	223.41	146.03	124.37	112.77	102.97	137.14	115.97	147.06	241.19	148.09	129.69	100.13	154.42	178.77	112.77	171.45	153.34	124.37	155.5	170.25	248.0	228.13	122.64	119.26	148.09	144.01	132.44	100.13	120.94	153.34	105.15	99.43	108.14	182.55	89.51	135.24	107.38	132.44	155.5	157.68
QDPR	0.0	638.15	358.54	426.57	234.57	579.04	417.77	406.31	395.18	460.44	511.0	441.64	314.17	497.0	281.09	693.58	466.88	872.1	1051.79	1066.48	698.41	928.3	764.36	723.08	1183.45	1208.34	1059.11	941.27	909.17	1096.5	1096.5	954.43	884.29	954.43	890.44	1143.1	1331.57	1286.18	1250.98	1127.35	947.83	1151.06	1073.91	1183.45	961.07	921.88	934.76	819.3	934.76	665.29	921.88	974.5	988.12	780.44	1030.12	1023.0	1111.82
RANBP10	0.0	119.26	66.65	53.95	157.68	119.26	108.14	108.9	117.6	105.89	108.9	127.89	71.0	114.36	135.24	139.07	158.79	373.81	248.0	351.14	205.5	153.34	363.56	228.13	208.38	275.28	305.55	255.0	189.02	262.2	161.02	249.73	281.09	384.34	244.57	256.78	303.44	279.14	339.14	132.44	189.02	251.48	293.07	113.56	148.09	127.0	536.45	182.55	88.88	265.87	591.22	167.9	147.06	242.88	318.57	279.14	281.09
RAVER2	0.0	66.65	41.52	47.17	66.65	61.68	91.41	70.51	77.25	57.89	77.79	55.49	56.28	52.82	73.03	59.13	82.87	226.54	228.13	212.78	77.79	109.66	104.42	108.9	193.01	246.28	234.57	89.51	108.9	277.2	173.85	117.6	185.11	197.09	162.14	224.97	167.9	201.25	202.66	101.54	115.16	198.47	395.18	116.78	107.38	98.04	144.01	110.43	113.56	98.04	279.14	144.01	145.02	82.29	211.31	208.38	173.85
RCBTB2	0.0	409.15	248.0	191.67	353.59	353.59	420.68	232.94	329.84	264.03	341.51	307.69	305.55	202.66	309.83	255.0	376.41	825.0	934.76	733.19	525.39	603.67	684.02	638.15	688.78	954.43	896.64	493.56	305.55	738.29	669.92	612.11	669.92	836.53	583.07	684.02	738.29	703.28	860.08	518.15	486.75	753.83	830.75	669.92	612.11	420.68	723.08	543.96	473.41	633.73	733.19	583.07	466.88	346.29	961.07	684.02	866.07
RP11-12J10.3	0.0	10.71	0.82	1.87	7.28	8.92	5.02	10.79	5.11	3.14	10.88	8.38	3.69	1.83	6.78	8.85	12.27	48.18	44.89	53.57	25.91	32.59	27.25	19.68	28.04	52.45	55.1	43.94	26.1	32.36	35.25	31.9	39.5	48.18	43.32	53.95	43.94	35.0	57.49	22.92	20.26	45.53	37.32	25.17	45.21	20.71	48.87	16.39	15.68	23.08	70.51	30.78	17.38	23.42	55.89	37.05	52.08
RP11-192H23.4	0.0	29.48	11.82	18.56	30.78	16.75	45.21	26.47	41.81	15.68	23.25	36.53	21.01	25.54	26.86	40.93	48.18	73.54	115.97	220.32	66.18	76.71	135.24	248.0	148.09	206.94	234.57	202.66	76.71	147.06	128.79	72.52	178.77	400.71	470.14	202.66	361.04	429.54	183.82	64.8	115.16	161.02	67.12	82.87	90.14	141.02	205.5	60.39	81.71	125.24	336.79	58.71	112.77	159.9	137.14	341.51	234.57
RPA3-AS1	356.05	470.14	463.65	325.29	543.96	511.0	426.57	432.53	575.03	497.0	543.96	511.0	409.15	444.72	642.59	389.72	540.19	825.0	1437.15	1250.98	796.86	785.88	808.0	579.04	1191.69	878.17	902.89	775.05	497.0	1216.75	753.83	612.11	872.1	813.63	791.35	842.36	693.58	1359.57	718.08	796.86	603.67	1073.91	1023.0	854.13	703.28	759.08	674.59	733.19	624.99	759.08	698.41	651.58	902.89	1081.39	733.19	1259.69	988.12
RS1	0.0	2.53	1.64	3.72	9.34	1.57	2.56	1.71	4.86	9.7	5.36	2.2	2.39	2.05	4.03	2.1	5.82	5.36	12.09	23.76	12.83	12.18	8.58	6.06	12.18	8.45	9.78	8.92	9.13	7.0	12.36	3.69	8.51	9.93	3.82	8.32	10.0	17.51	5.92	21.63	12.27	11.04	17.0	6.67	7.94	15.22	11.38	10.31	9.63	11.73	10.0	10.16	4.13	4.58	14.14	14.89	14.24
RYR2	0.0	8.25	2.46	2.78	10.47	2.36	7.75	7.63	4.78	3.69	17.51	6.06	1.28	7.69	8.06	21.78	30.12	1359.57	941.27	559.28	70.01	120.94	132.44	22.43	353.59	514.56	1369.04	109.66	64.34	708.18	334.46	98.73	1540.37	1135.2	599.49	1059.11	258.57	521.76	476.71	195.72	84.04	603.67	802.41	146.03	177.53	41.52	624.99	78.34	32.59	78.89	265.87	262.2	142.01	70.51	819.3	529.06	1250.98
SIRT5	0.0	341.51	316.37	232.94	303.44	414.87	341.51	277.2	332.14	262.2	371.22	334.46	320.8	226.54	334.46	348.71	397.93	463.65	406.31	497.0	303.44	376.41	387.02	490.14	409.15	435.55	507.46	417.77	275.28	429.54	473.41	295.11	409.15	387.02	358.54	351.14	343.89	432.53	412.0	406.31	409.15	409.15	429.54	400.71	450.94	366.09	325.29	351.14	246.28	379.04	493.56	381.68	351.14	507.46	429.54	417.77	412.0
SLC16A2	0.0	177.53	77.25	85.82	139.07	76.71	195.72	103.69	100.13	108.9	108.14	108.9	61.25	96.68	134.3	241.19	190.34	921.88	1674.06	503.95	1111.82	414.87	633.73	299.25	1143.1	503.95	518.15	299.25	336.79	1832.01	1397.83	514.56	836.53	642.59	289.02	1794.29	1096.5	872.1	866.07	379.04	363.56	854.13	1295.13	289.02	1378.57	325.29	728.11	866.07	587.13	249.73	860.08	595.34	384.34	353.59	780.44	1304.15	796.86
SLC35A1	0.0	381.68	417.77	251.48	389.72	343.89	384.34	269.6	351.14	334.46	403.5	332.14	303.44	305.55	226.54	356.05	397.93	507.46	536.45	486.75	341.51	346.29	356.05	368.65	551.56	547.75	536.45	454.09	305.55	591.22	432.53	387.02	633.73	490.14	400.71	521.76	423.61	447.82	583.07	406.31	329.84	493.56	688.78	412.0	358.54	301.33	397.93	356.05	351.14	457.25	521.76	325.29	460.44	412.0	567.1	529.06	547.75
SLC35D2	0.0	470.14	476.71	575.03	540.19	432.53	684.02	633.73	583.07	476.71	656.11	633.73	525.39	669.92	466.88	325.29	738.29	1001.93	1250.98	1199.98	928.3	1051.79	967.76	764.36	1427.22	921.88	1721.16	753.83	642.59	1119.56	1044.52	836.53	1437.15	1233.75	1447.15	1225.22	1127.35	1119.56	1250.98	713.11	1001.93	1191.69	1225.22	854.13	796.86	1044.52	1268.46	669.92	819.3	909.17	1167.14	753.83	1088.92	1183.45	1417.35	1066.48	1605.83
SLC35F4	0.0	0.87	1.99	0.97	0.96	0.0	2.29	0.0	0.62	5.87	0.0	2.32	0.0	0.0	2.41	0.0	1.22	34.51	61.25	27.84	6.67	18.03	22.1	4.46	7.51	70.51	18.97	4.98	14.24	61.68	26.28	4.43	65.72	12.0	23.59	5.59	11.38	42.41	18.7	11.21	38.95	21.01	90.14	32.13	15.8	7.94	39.22	51.35	15.91	9.27	183.82	5.87	483.38	18.84	26.28	8.92	55.89
SMYD2	0.0	511.0	825.0	521.76	400.71	403.5	796.86	466.88	651.58	854.13	718.08	555.41	647.07	656.11	473.41	599.49	454.09	1388.16	1286.18	928.3	718.08	848.22	647.07	647.07	1519.15	947.83	1175.27	665.29	642.59	1151.06	1008.9	651.58	1167.14	921.88	1044.52	1135.2	854.13	1322.37	1313.23	825.0	748.61	1350.18	1183.45	872.1	896.64	607.87	941.27	764.36	775.05	769.69	1159.07	830.75	954.43	1081.39	1119.56	1030.12	1143.1
SOX6	0.0	27.25	22.43	15.45	28.45	44.25	23.93	42.11	55.1	24.46	45.85	47.84	22.59	15.8	62.12	34.02	29.48	135.24	53.57	150.17	29.27	45.85	115.16	52.82	47.5	81.14	56.68	54.72	42.41	63.45	77.25	48.87	53.19	43.02	28.24	39.79	74.58	59.97	102.97	74.58	41.22	48.18	45.21	50.63	43.32	55.49	93.35	43.02	28.04	57.89	115.16	75.11	28.65	16.51	54.33	65.72	57.89
SPAG5	0.0	65.26	73.03	41.22	78.89	58.3	206.94	59.55	124.37	56.68	65.26	133.36	84.04	166.73	75.64	75.11	109.66	256.78	258.57	669.92	87.03	146.03	201.25	860.08	206.94	447.82	603.67	450.94	171.45	299.25	314.17	218.79	379.04	679.29	830.75	265.87	947.83	842.36	444.72	91.41	518.15	299.25	295.11	186.4	142.01	307.69	473.41	140.04	301.33	368.65	1191.69	126.12	325.29	432.53	412.0	607.87	575.03
SPEF2	0.0	127.0	59.13	46.5	92.7	126.12	151.22	80.57	137.14	105.15	102.97	126.12	86.43	67.59	124.37	138.1	176.29	559.28	329.84	426.57	187.71	218.79	260.38	151.22	368.65	563.18	379.04	341.51	182.55	285.03	332.14	271.48	392.44	423.61	353.59	339.14	248.0	368.65	403.5	206.94	123.5	253.23	373.81	165.57	180.02	248.0	457.25	146.03	127.0	295.11	567.1	242.88	229.72	248.0	318.57	273.37	432.53
SPIN1	0.0	848.22	647.07	497.0	1015.93	866.07	688.78	819.3	872.1	769.69	928.3	1001.93	718.08	616.37	967.76	934.76	796.86	1685.71	1605.83	1498.22	896.64	819.3	1127.35	974.5	1572.76	1639.59	1457.23	1015.93	647.07	1378.57	1250.98	753.83	1313.23	1388.16	1191.69	1191.69	1135.2	1286.18	1427.22	860.08	738.29	1304.15	1583.71	796.86	796.86	872.1	1191.69	928.3	511.0	780.44	1697.45	884.29	915.51	1073.91	1359.57	1617.0	1508.65
SPIN4	0.0	41.22	18.56	9.34	31.22	51.71	33.3	28.65	49.56	25.35	43.94	47.17	32.59	27.25	46.5	45.53	32.13	80.57	68.07	98.04	34.26	42.71	45.21	27.84	47.84	59.55	65.72	38.12	34.75	59.55	38.4	43.32	44.25	75.11	42.41	53.95	45.21	50.27	49.91	34.51	24.99	53.57	48.18	43.63	37.59	38.95	57.08	37.59	31.9	40.36	88.88	54.72	30.78	29.7	48.18	75.11	57.89
ST7L	0.0	260.38	348.71	264.03	395.18	358.54	320.8	361.04	318.57	262.2	341.51	305.55	265.87	218.79	236.21	277.2	314.17	409.15	389.72	457.25	400.71	312.0	426.57	457.25	466.88	514.56	460.44	325.29	295.11	454.09	358.54	301.33	336.79	363.56	423.61	397.93	371.22	438.59	473.41	406.31	432.53	409.15	432.53	366.09	351.14	376.41	366.09	358.54	316.37	341.51	514.56	289.02	493.56	429.54	417.77	356.05	441.64
STOX2	0.0	37.32	26.86	33.78	49.56	27.84	28.24	28.45	47.17	29.7	35.5	45.21	23.42	31.22	32.13	38.4	42.71	154.42	101.54	98.73	61.25	136.19	72.01	85.82	74.58	172.65	112.77	98.73	85.82	88.26	94.01	117.6	91.41	108.14	64.8	86.43	129.69	108.9	129.69	89.51	77.25	73.54	130.6	76.17	220.32	47.17	108.14	122.64	71.0	124.37	171.45	88.26	55.49	37.59	114.36	79.45	104.42
SUV39H2	0.0	45.85	62.12	33.78	73.54	61.68	56.28	49.56	63.89	40.07	66.18	76.17	61.25	53.95	76.71	53.95	67.12	90.77	146.03	132.44	76.17	74.58	92.7	85.22	121.79	172.65	134.3	65.26	113.56	100.13	80.57	98.73	68.07	62.56	72.52	94.67	109.66	84.63	94.01	104.42	86.43	143.01	120.1	119.26	147.06	108.9	95.34	132.44	103.69	115.16	133.36	104.42	91.41	75.64	101.54	92.7	93.35
SYNE1	0.0	420.68	163.28	208.38	457.25	351.14	536.45	285.03	336.79	299.25	429.54	403.5	165.57	417.77	384.34	660.68	559.28	1674.06	2351.53	3039.3	1697.45	1242.34	2335.28	3467.27	2090.03	1697.45	2502.97	1268.46	1096.5	2271.4	1909.85	896.64	4298.64	1896.65	2573.36	2855.44	1037.29	3419.52	1467.37	1304.15	2468.49	5913.33	5633.22	1340.84	2835.7	1674.06	1991.0	1322.37	915.51	1651.0	2555.58	1806.78	8479.89	4450.27	1963.57	1870.53	2133.97
SYP	0.0	29.27	14.78	11.91	22.75	17.64	18.97	16.03	22.26	20.11	19.11	18.03	13.93	15.91	22.92	34.51	29.91	48.87	88.88	131.51	69.03	51.35	86.43	57.49	57.08	72.01	80.01	108.9	43.63	122.64	85.22	67.59	148.09	103.69	63.45	119.26	87.65	85.22	116.78	52.08	67.59	84.04	79.45	37.85	65.72	53.95	106.63	44.57	45.53	45.21	98.73	59.97	43.94	55.1	106.63	90.14	110.43
TBPL1	0.0	470.14	392.44	325.29	346.29	483.38	514.56	457.25	444.72	339.14	392.44	392.44	387.02	403.5	275.28	543.96	490.14	559.28	813.63	842.36	521.76	438.59	616.37	521.76	866.07	759.08	733.19	473.41	417.77	633.73	511.0	575.03	638.15	669.92	620.67	563.18	603.67	651.58	633.73	571.05	463.65	866.07	759.08	563.18	529.06	511.0	629.35	543.96	629.35	521.76	665.29	532.74	796.86	848.22	679.29	633.73	764.36
TCEAL1	0.0	703.28	708.18	540.19	785.88	947.83	674.59	954.43	748.61	638.15	698.41	688.78	665.29	457.25	599.49	679.29	848.22	825.0	1127.35	1001.93	1030.12	872.1	1008.9	791.35	974.5	995.0	1015.93	825.0	860.08	1044.52	785.88	860.08	860.08	854.13	1096.5	825.0	769.69	974.5	1051.79	878.17	884.29	981.29	1135.2	1143.1	1059.11	728.11	1051.79	674.59	909.17	896.64	854.13	1175.27	1216.75	1030.12	974.5	836.53	1135.2
TCTN1	0.0	1119.56	988.12	1096.5	842.36	1159.07	1498.22	854.13	967.76	848.22	1015.93	909.17	915.51	981.29	915.51	1175.27	981.29	1963.57	1991.0	2090.03	1322.37	1111.82	1529.73	1044.52	1950.0	2209.26	1651.0	1447.15	928.3	2119.22	1950.0	1295.13	2090.03	1437.15	1819.35	1721.16	1143.1	2434.5	2271.4	1295.13	1096.5	1757.34	1685.71	2520.38	830.75	1175.27	1883.54	1268.46	1709.26	1721.16	1883.54	1551.09	1397.83	1015.93	1936.53	1857.6	1709.26
TEFM	0.0	143.01	152.28	98.73	135.24	131.51	153.34	162.14	151.22	143.01	139.07	143.01	121.79	135.24	127.89	193.01	187.71	463.65	271.48	244.57	211.31	217.27	198.47	281.09	218.79	325.29	275.28	220.32	201.25	218.79	224.97	232.94	260.38	291.04	198.47	186.4	237.86	241.19	348.71	185.11	178.77	255.0	253.23	229.72	275.28	177.53	190.34	211.31	173.85	218.79	287.01	212.78	204.07	237.86	271.48	228.13	285.03
TG	0.0	402881.61	125731.67	52497.92	381149.17	569761.05	531605.79	524287.0	233003.78	117311.73	277089.94	207103.59	197294.7	96616.71	273275.14	220434.95	485798.0	1264380.15	2068278.89	509950.32	2247670.86	2126426.15	1273174.62	1503610.06	2375828.71	496005.67	1622738.51	1739208.14	1997825.68	1535204.12	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1318073.06	1929772.37	1943195.01	1622738.51	1589343.01	2636147.11	2263304.65	2111737.85	1691649.38	1668359.93	3178687.03	3886391.01	558035.51	2263304.65	2672946.37	1567462.05	1864037.21	1634025.56	1482909.4
TIMM21	0.0	381.68	358.54	255.0	312.0	206.94	486.75	307.69	392.44	299.25	432.53	327.56	271.48	327.56	343.89	423.61	392.44	521.76	633.73	312.0	591.22	603.67	447.82	551.56	612.11	616.37	743.43	603.67	629.35	688.78	536.45	579.04	599.49	698.41	447.82	532.74	460.44	583.07	679.29	651.58	698.41	679.29	674.59	674.59	759.08	400.71	454.09	450.94	559.28	674.59	651.58	616.37	525.39	483.38	796.86	567.1	866.07
TMEM120B	262.2	135.24	127.0	96.01	144.01	89.51	223.41	109.66	142.01	83.45	90.14	113.56	189.02	142.01	98.04	197.09	125.24	325.29	291.04	435.55	165.57	212.78	150.17	154.42	265.87	246.28	441.64	297.17	148.09	194.36	285.03	241.19	454.09	435.55	466.88	297.17	241.19	303.44	341.51	187.71	211.31	387.02	264.03	289.02	249.73	234.57	329.84	172.65	303.44	193.01	647.07	206.94	255.0	218.79	316.37	260.38	336.79
TMEM178A	0.0	68.07	35.76	25.91	81.71	36.01	103.69	56.68	81.71	48.18	52.08	47.17	96.01	31.45	46.18	52.08	114.36	1127.35	420.68	555.41	130.6	67.12	204.07	105.89	567.1	381.68	514.56	183.82	55.89	258.57	249.73	182.55	612.11	412.0	563.18	400.71	111.21	432.53	429.54	189.02	50.63	395.18	275.28	124.37	110.43	106.63	551.56	169.07	117.6	112.77	603.67	275.28	214.27	389.72	728.11	353.59	438.59
TMEM232	0.0	17.9	27.05	11.82	23.25	17.25	27.44	18.84	18.56	21.32	31.22	20.11	7.75	32.82	39.22	15.8	41.81	152.28	180.02	281.09	80.01	90.77	191.67	96.68	191.67	166.73	180.02	100.13	63.89	141.02	128.79	115.16	110.43	105.15	97.36	172.65	79.45	146.03	96.68	87.03	48.52	162.14	96.68	107.38	76.71	90.14	155.5	76.17	50.63	113.56	127.0	127.0	87.03	84.04	144.01	187.71	107.38
