	TCGA.BL.A13I.01A.11R.A277.07	TCGA.BL.A13I.01A.11R.A13Y.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.14C38.2626.SM.5RQI4	TCGA.CN.6019.01A.11R.1686.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.60.2709.01A.21R.1820.07	TCGA.18.3411.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.43.6773.01A.41R.1949.07	TCGA.77.8007.11A.01R.2187.07	TCGA.34.7107.11A.01R.1949.07
RAB31	2018.8	1295.13	1529.73	1561.89	1923.14	1819.35	2855.44	2090.03	780.44	633.73	1081.39	384.34	559.28	27.44	73.54	228.13	138.1	199.85	165.57	60.82	100.13	85.82	23.76	69.52	115.16	40.93	44.25	20.86	201.25	22.75	18.29	124.37	71.0	28.45	75.11	19.11	351.14	94.01	107.38	13.03	84.04	157.68	42.11	20.86	58.71	28.65	30.56	45.85	39.22	61.25	37.32	94.67	249.73	51.71	26.28	536.45	83.45	149.12	68.55	49.56	155.5	30.12	99.43	46.18	138.1	127.89	57.49	1519.15	1674.06	214.27	2104.58	1923.14	7180.15	1883.54	1135.2	1111.82	1844.76	1806.78	2627.46	2997.45	1259.69	1191.69	1088.92	3928.15	1322.37	1001.93	1268.46	1191.69	1605.83	1331.57
RGS10	1923.14	3639.7	1923.14	2777.33	2502.97	2468.49	1963.57	2935.74	1909.85	1268.46	2520.38	764.36	1151.06	120.94	64.8	679.29	248.0	167.9	483.38	214.27	343.89	429.54	129.69	297.17	389.72	19.68	74.06	43.32	775.05	31.22	22.26	215.77	265.87	87.03	205.5	199.85	665.29	228.13	368.65	21.94	63.89	679.29	35.25	44.25	341.51	166.73	78.89	312.0	157.68	281.09	76.17	217.27	555.41	155.5	231.32	1359.57	51.71	269.6	82.29	82.87	248.0	195.72	158.79	123.5	221.86	145.02	96.68	1896.65	1540.37	353.59	2004.85	1059.11	3395.89	2193.99	309.83	1572.76	2682.69	780.44	3716.2	674.59	1037.29	791.35	1651.0	1745.2	1487.87	1119.56	1447.15	1073.91	1757.34	1225.22
RNASE1	30785.28	73730.83	17927.91	14663.09	31215.04	1794.29	13492.72	8658.09	7966.99	13586.57	4543.8	4802.93	10959.3	1135.2	314.17	2816.11	2835.7	4038.61	2319.15	633.73	2133.97	796.86	529.06	4769.75	1051.79	921.88	698.41	486.75	1250.98	356.05	387.02	915.51	376.41	503.95	2758.13	551.56	1819.35	1697.45	5954.47	351.14	438.59	6337.83	309.83	890.44	629.35	3928.15	1268.46	830.75	547.75	2271.4	314.17	2351.53	4937.99	1583.71	764.36	3955.48	389.72	1896.65	346.29	444.72	3901.01	318.57	497.0	1322.37	1936.53	836.53	1721.16	13872.08	32092.64	30151.71	27553.49	195931.88	35118.87	48982.22	15934.98	18689.27	104996.83	29327.18	41188.81	15607.02	41188.81	50709.61	133825.1	24660.96	18431.96	5183.54	8022.41	13586.57	41475.31	22850.48
S1PR3	1104.13	947.83	417.77	476.71	244.57	1225.22	295.11	1015.93	100.83	153.34	206.94	48.87	131.51	22.92	25.17	103.69	123.5	228.13	99.43	11.47	70.51	21.63	31.9	72.01	24.63	27.25	29.7	50.63	82.87	10.16	12.18	253.23	26.67	21.94	72.01	6.46	242.88	81.14	48.87	13.32	19.68	260.38	195.72	8.32	117.6	17.51	12.64	21.32	29.48	260.38	16.39	191.67	170.25	39.79	8.13	271.48	29.27	283.05	9.34	205.5	21.63	25.35	35.5	25.72	51.71	34.51	80.01	205.5	82.87	129.69	94.67	376.41	139.07	115.16	208.38	190.34	77.79	426.57	148.09	232.94	212.78	40.07	39.79	19.97	289.02	234.57	251.48	327.56	156.59	265.87
SACS	511.0	341.51	166.73	140.04	148.09	193.01	86.43	127.89	76.71	115.16	83.45	35.76	23.08	17.25	17.51	70.51	20.56	47.5	61.68	16.27	38.67	96.68	30.78	55.89	71.5	36.01	28.45	36.27	47.5	5.11	47.17	50.98	49.21	13.52	16.15	35.5	74.58	71.0	20.71	10.88	31.45	75.64	73.03	10.31	72.52	32.36	31.0	21.16	14.35	108.14	33.3	351.14	62.56	45.85	19.97	53.57	97.36	78.89	47.17	7.34	66.18	6.06	24.99	29.48	15.68	81.14	16.15	127.89	90.14	58.3	46.18	76.17	51.71	136.19	71.5	93.35	30.78	60.39	70.01	96.01	47.17	36.01	30.12	21.47	87.03	83.45	93.35	63.45	74.58	98.04
SIGLEC12	329.84	279.14	77.79	1.51	13.42	105.89	5.59	57.08	17.77	11.73	27.84	0.93	110.43	4.66	15.11	3.5	0.88	1.5	3.32	1.68	0.43	31.0	8.78	9.2	1.17	3.35	4.9	3.03	5.59	1.08	1.39	20.86	0.0	5.19	0.4	5.96	3.32	64.8	1.58	1.06	29.27	7.46	12.36	1.87	6.16	17.25	1.81	12.83	0.45	24.81	1.53	28.24	22.26	3.08	4.54	6.41	1.13	6.94	0.97	2.03	10.63	1.58	3.59	0.0	0.0	11.55	9.63	48.87	4.39	2.51	10.31	239.52	22.43	70.51	5.02	17.64	56.68	363.56	26.86	118.43	11.91	48.18	173.85	15.0	73.54	96.68	8.51	16.39	62.12	7.82
SIX2	1250.98	1883.54	108.9	24.81	16.75	16.03	57.89	12.64	264.03	2.39	2.07	40.64	8.71	0.99	0.0	0.0	0.0	5.68	0.61	4.39	4.66	2.43	0.0	0.0	12.27	3.59	3.35	23.42	1.08	0.96	4.03	1.04	1.17	3.29	0.61	3.82	0.0	1.46	0.64	1.31	6.26	1.07	1.35	1.01	3.56	21.32	0.6	0.6	2.46	1.31	0.0	1.87	2.03	0.0	1.73	0.6	0.6	2.07	0.0	2.18	1.75	0.0	0.49	0.0	0.0	0.0	0.0	46.18	3.32	5.5	2.43	74.06	2.89	0.0	1.45	40.36	0.0	65.72	5.23	0.92	5.19	0.92	16.51	0.41	149.12	142.01	318.57	120.1	2.36	8.19
SLC10A4	123.5	273.37	53.19	3.72	0.78	4.7	1.83	1.68	0.39	1.73	0.43	0.47	0.0	0.64	1.87	0.0	1.22	21.63	0.0	0.0	0.69	1.68	1.83	1.51	0.66	0.71	0.0	3.82	0.69	0.0	2.25	0.67	0.74	0.0	20.86	1.93	0.71	1.16	0.0	0.0	0.71	1.66	0.64	0.0	3.72	0.56	2.34	0.0	1.25	0.61	1.11	145.02	1.77	1.13	96.01	0.0	0.65	0.64	0.01	0.77	0.0	2.39	1.75	0.78	0.13	4.39	0.0	29.91	35.76	2.78	9.56	22.75	6.16	12.45	6.73	13.52	24.11	12.55	9.48	2.46	21.78	18.84	48.18	4.74	4.9	6.01	13.12	37.59	6.01	6.78
SLC14A1	2520.38	2758.13	384.34	28.86	25.35	18.97	16.27	131.51	35.25	31.9	54.33	32.13	34.75	8.0	15.22	19.25	17.13	4.9	11.64	24.46	19.25	3.82	14.03	8.71	9.48	14.24	10.96	4.39	10.39	6.06	1.0	5.92	4.5	3.06	4.21	5.82	26.1	16.03	3.96	19.11	15.56	29.48	55.49	2.25	6.36	1.2	5.45	13.32	9.85	7.94	3.47	2.29	12.64	11.73	2.73	26.86	2.61	36.01	24.63	3.56	15.11	3.08	28.65	18.03	47.84	32.36	24.11	9.78	39.22	19.97	43.63	264.03	45.21	127.0	53.57	39.79	223.41	14.03	43.02	15.11	69.52	69.03	194.36	144.01	6.11	1143.1	25.91	6.67	111.21	40.07
SLC9A9	1111.82	651.58	287.01	198.47	251.48	86.43	595.34	325.29	642.59	314.17	293.07	99.43	172.65	22.75	12.74	55.1	53.19	78.34	44.25	15.0	50.27	46.18	22.43	35.25	39.5	12.27	15.91	8.85	120.1	5.96	4.58	43.63	33.54	10.0	25.91	17.13	102.97	45.85	55.1	5.5	9.93	76.17	13.83	6.26	44.89	12.0	9.27	28.45	32.36	30.34	10.71	40.64	88.26	17.64	34.51	127.89	17.38	59.13	22.43	64.8	129.69	37.59	47.84	53.95	242.88	16.27	98.73	189.02	115.16	29.91	312.0	246.28	813.63	264.03	507.46	162.14	95.34	406.31	603.67	237.86	50.63	88.26	181.28	152.28	275.28	239.52	309.83	202.66	264.03	220.32
SNAI2	1119.56	2591.27	1096.5	713.11	1096.5	2502.97	633.73	503.95	32.59	27.64	129.69	46.18	85.82	148.09	312.0	567.1	166.73	54.72	221.86	392.44	450.94	33.54	39.79	387.02	148.09	126.12	223.41	40.64	125.24	12.45	48.52	423.61	1073.91	61.68	101.54	361.04	297.17	158.79	175.07	215.77	941.27	62.12	275.28	105.15	62.12	15.45	112.77	1044.52	32.13	450.94	97.36	563.18	497.0	289.02	65.72	234.57	107.38	153.34	18.29	77.25	155.5	46.84	111.21	59.13	348.71	237.86	104.42	426.57	181.28	102.97	110.43	346.29	555.41	1225.22	165.57	651.58	87.03	941.27	616.37	211.31	76.71	525.39	392.44	708.18	536.45	1225.22	1081.39	555.41	329.84	397.93
SNCB	299.25	435.55	6.94	9.7	2.27	3.29	37.32	3.35	3.35	0.0	23.42	0.0	1.5	0.0	0.0	0.0	0.67	0.0	0.0	1.16	2.58	2.73	0.0	1.03	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	2.32	0.0	2.41	1.03	5.68	1.11	3.44	0.58	0.0	0.0	0.0	0.0	1.35	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	1.48	4.43	0.36	1.58	4.86	0.0	1.79	0.14	4.74	0.3	0.38	7.88	1.11	0.0	3.96	0.0	3.14	63.89	1.0	9.78	0.0	1.89	0.0	3.96	1.5	3.66	1.66	8.65	14.56	5.77	8.0	3.38	3.86	4.54
SOST	6207.38	6792.79	0.75	0.36	0.0	0.83	107.38	0.39	0.72	1.69	4.58	1.79	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.35	0.0	0.0	0.0	0.0	5.23	0.41	265.87	0.71	58.71	0.83	2.94	3.35	0.62	143.01	0.0	11.64	1.6	0.0	0.0	0.74	10.63	490.14	1216.75	1662.49	1781.89	0.0	0.0
SPOCK3	2148.82	1639.59	32.13	2.03	25.35	0.0	47.84	0.4	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.66	2.68	2.34	0.0	0.96	0.6	0.0	0.0	0.22	0.0	0.0	0.0	2.76	0.26	0.0	0.0	0.0	0.0	0.55	0.24	0.0	1.64	7.0	0.0	0.0	0.0	0.59	1.1	0.0	0.0	0.0	11.04	0.0	0.28	0.0	0.0	1.73	0.0	0.0	26.86	2.01	0.0	1.1	0.0	3.66	6.31	0.0	0.0	0.79	43.02	0.69	0.0	18.7	1.91	0.0	2.76	89.51	14.67	111.99	4.17	10.31	15.45	33.06	0.0	29.06	0.0	18.29	16.75	10.08	38.12	376.41	173.85	49.21	6.84	1.43
STAB1	30785.28	22692.63	5329.3	2240.11	4972.34	400.71	2178.83	3614.55	3690.52	1059.11	4512.4	1127.35	4575.41	536.45	208.38	2090.03	988.12	1477.58	688.78	753.83	1250.98	713.11	346.29	1561.89	381.68	167.9	1151.06	289.02	1059.11	126.12	486.75	995.0	607.87	363.56	1233.75	277.2	1757.34	813.63	2303.12	164.42	195.72	2351.53	195.72	320.8	759.08	909.17	400.71	591.22	376.41	1745.2	403.5	743.43	2645.74	941.27	764.36	2384.37	177.53	954.43	872.1	1340.84	4358.66	1159.07	693.58	3742.05	3060.45	1304.15	1605.83	4419.52	5112.16	423.61	2915.45	4512.4	1498.22	5403.7	2133.97	3325.99	1331.57	2271.4	4607.24	1662.49	1023.0	4575.41	1617.0	974.5	1030.12	1104.13	1651.0	2434.5	7589.61	3060.45
STEAP1B	387.02	738.29	267.73	23.59	64.8	11.64	20.11	16.27	2.58	3.08	8.71	4.06	6.57	5.32	2.14	10.08	10.88	86.43	9.56	1.31	7.06	10.47	3.59	6.36	5.59	2.94	10.55	2.23	7.82	2.16	1.1	8.65	0.97	4.82	5.19	1.5	1.73	5.41	2.39	1.45	2.92	16.15	3.89	0.82	7.0	11.04	0.0	4.94	0.93	5.73	0.0	14.45	11.91	9.56	56.68	9.41	0.8	6.57	0.0	0.0	0.0	0.0	0.0	2.51	1.45	5.41	0.0	41.81	15.34	22.26	19.82	104.42	46.18	48.18	36.53	45.53	14.45	116.78	44.89	31.67	2.97	13.32	14.03	8.45	36.53	392.44	279.14	26.1	40.64	17.64
SYK	733.19	423.61	473.41	693.58	738.29	1023.0	633.73	651.58	656.11	358.54	830.75	327.56	389.72	12.27	12.45	106.63	54.33	47.5	82.87	39.79	66.18	65.72	21.94	38.4	124.37	7.4	13.62	6.36	221.86	5.59	5.82	58.71	35.0	13.03	39.22	24.99	127.89	57.08	52.82	6.16	23.93	135.24	14.67	6.26	16.63	26.67	8.78	33.54	34.26	43.02	10.96	37.05	79.45	20.71	24.63	423.61	14.03	49.56	22.26	22.75	110.43	17.0	41.52	49.91	162.14	34.02	63.45	579.04	679.29	186.4	529.06	1037.29	579.04	961.07	229.72	651.58	1437.15	525.39	713.11	279.14	651.58	1001.93	1183.45	575.03	607.87	334.46	435.55	941.27	551.56	665.29
SYT11	698.41	201.25	253.23	180.02	269.6	236.21	205.5	406.31	90.14	110.43	246.28	57.89	60.39	9.7	5.28	53.95	52.82	19.39	36.01	13.93	34.51	27.64	8.51	21.47	27.05	15.56	17.25	15.34	103.69	4.24	6.57	20.86	25.35	11.91	35.25	12.45	67.12	53.19	25.54	6.89	14.56	71.0	21.78	8.19	12.09	6.21	8.58	21.94	14.89	17.77	12.64	19.39	73.54	20.26	8.38	125.24	16.88	45.85	9.06	17.25	26.28	5.92	23.42	9.56	38.12	11.21	23.42	228.13	157.68	90.14	204.07	255.0	209.84	346.29	878.17	148.09	206.94	295.11	312.0	387.02	92.7	112.77	156.59	78.34	158.79	199.85	131.51	164.42	191.67	234.57
TAC1	733.19	1832.01	10.63	12.0	4.13	934.76	7.28	2.94	2.97	24.63	0.0	19.97	24.63	0.0	0.0	0.0	0.0	3.53	1.58	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.75	0.0	0.0	1.22	2.41	1.16	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	1.03	0.0	0.0	0.0	0.0	1.19	2.66	1.46	1.89	1.01	0.0	1.5	3.69	6.11	0.0	0.0	2.03	0.0	13.52	13.52	2.27	0.78	6.36	3.82	0.6	2.34	1.16	4.13	22.75	5.82	4.17	0.26	0.0	1023.0	5.87	34.26	8.65	7.94	3.08
TBX2	3395.89	2018.8	529.06	117.6	242.88	283.05	189.02	718.08	60.82	96.01	320.8	176.29	199.85	122.64	18.43	285.03	177.53	108.14	173.85	72.52	193.01	185.11	195.72	88.26	85.22	127.89	218.79	58.71	90.77	149.12	94.01	212.78	75.11	79.45	86.43	42.11	220.32	157.68	175.07	38.67	59.13	281.09	106.63	82.87	211.31	155.5	61.25	118.43	34.26	141.02	53.57	67.12	392.44	161.02	52.45	346.29	136.19	180.02	53.57	161.02	62.56	46.18	77.25	43.32	71.5	33.54	39.5	848.22	1151.06	166.73	381.68	988.12	490.14	753.83	1295.13	1519.15	842.36	583.07	1477.58	607.87	743.43	397.93	551.56	854.13	579.04	93.35	291.04	361.04	808.0	1059.11
TGFB2	713.11	1073.91	163.28	141.02	82.87	113.56	195.72	136.19	46.84	43.32	121.79	15.45	13.32	36.53	4.78	33.3	40.36	41.52	65.72	9.48	27.05	10.0	2.53	10.39	15.0	8.0	13.03	8.32	18.03	3.41	8.32	39.5	11.82	3.63	17.13	11.21	145.02	55.1	24.81	4.7	23.76	47.5	11.13	12.0	107.38	33.3	18.29	105.89	9.48	151.22	5.11	59.97	37.32	20.26	19.25	75.11	16.03	45.21	15.22	8.06	12.64	21.16	11.73	1.51	18.7	7.4	13.83	84.04	162.14	14.03	113.56	241.19	53.95	486.75	23.59	96.01	46.5	343.89	141.02	363.56	193.01	77.25	146.03	53.57	73.54	81.71	135.24	23.25	118.43	176.29
TIMP4	397.93	529.06	129.69	53.57	100.13	25.91	29.06	44.57	21.01	11.38	57.49	7.28	99.43	3.14	25.72	4.28	3.66	34.51	5.36	2.14	25.17	3.41	2.81	4.82	3.32	27.84	3.32	4.24	3.5	41.22	1.39	33.06	4.9	4.98	6.31	4.35	4.06	7.06	1.55	23.42	106.63	7.63	12.09	2.36	28.86	14.56	6.41	8.51	0.0	6.94	22.1	12.93	5.73	3.79	8.19	18.16	4.03	12.45	3.99	16.27	10.88	2.29	7.51	4.78	3.06	8.92	3.56	31.22	25.72	0.0	226.54	91.41	98.04	19.97	42.11	27.64	93.35	54.33	31.45	6.16	77.79	53.95	73.54	33.06	30.56	262.2	46.5	49.56	123.5	40.93
TMEM158	1617.0	3467.27	493.56	180.02	208.38	264.03	486.75	58.71	18.03	92.05	82.87	27.44	52.45	6.01	0.85	12.55	15.45	41.22	9.13	2.63	8.45	8.71	2.84	9.27	11.04	51.71	8.71	3.96	14.03	0.49	4.46	9.56	7.34	5.87	6.94	11.91	19.25	11.73	6.06	1.19	4.17	21.32	2.27	2.73	32.13	3.29	3.99	7.57	18.97	3.2	5.23	6.46	22.92	3.56	1.6	35.5	4.06	9.7	17.51	12.83	21.01	2.81	4.54	8.85	27.64	20.56	0.49	231.32	43.02	49.56	180.02	52.45	102.97	363.56	70.01	587.13	12.36	104.42	115.16	33.78	14.24	53.95	20.11	3.86	480.04	1183.45	466.88	361.04	129.69	92.05
TMEM173	1467.37	1551.09	1781.89	1250.98	1857.6	1295.13	1844.76	2271.4	503.95	579.04	1447.15	444.72	1001.93	149.12	51.35	447.82	450.94	119.26	435.55	170.25	285.03	182.55	74.58	291.04	169.07	178.77	190.34	128.79	490.14	44.57	58.3	289.02	228.13	110.43	223.41	116.78	775.05	289.02	325.29	48.87	121.79	612.11	102.25	78.34	130.6	59.97	82.87	220.32	214.27	166.73	89.51	100.83	819.3	205.5	65.72	1023.0	67.59	336.79	172.65	239.52	356.05	148.09	226.54	134.3	279.14	87.65	182.55	1883.54	2434.5	476.71	2090.03	2351.53	3614.55	981.29	1225.22	1073.91	2271.4	1639.59	2835.7	6887.62	2335.28	1721.16	2664.15	1313.23	1487.87	854.13	1331.57	1832.01	2627.46	3146.52
TMEM236	103.69	35.76	9.93	1.95	1.91	74.58	0.0	0.83	2.58	3.76	1.68	2.71	0.38	0.99	0.56	4.24	2.61	4.86	1.01	0.0	1.57	0.0	0.0	0.57	1.48	2.58	1.93	0.0	2.97	0.0	0.0	0.0	0.67	0.59	0.0	0.0	0.64	1.99	0.6	0.55	1.11	1.55	1.39	0.0	0.0	0.83	0.99	0.99	1.16	2.94	0.0	4.54	1.16	1.04	3.5	5.23	0.0	1.39	2.25	0.0	1.83	0.52	0.0	1.28	0.0	0.0	0.0	5.23	5.77	0.0	8.92	24.81	1.81	13.52	18.29	0.54	22.59	31.45	34.02	19.39	15.34	5.82	26.67	6.89	4.58	1.48	6.26	3.92	6.84	25.91
TPSD1	246.28	389.72	13.72	163.28	76.71	102.97	1.57	32.82	30.12	10.71	23.59	7.75	2.25	0.89	0.0	0.0	1.97	0.0	1.73	0.0	0.0	1.79	17.38	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	3.86	7.69	1.48	0.96	3.56	1.23	3.32	0.0	10.88	0.0	0.0	0.73	0.88	0.0	1.04	0.0	0.0	0.0	25.54	5.73	0.0	18.56	0.0	0.0	1.13	0.0	0.0	0.0	7.11	2.14	19.25	2.14	0.0	115.97	169.07	0.0	155.5	17.13	66.18	34.51	28.65	10.63	441.64	153.34	110.43	325.29	40.64	297.17	813.63	206.94	69.52	36.01	10.79	96.68	4.54	329.84
TRPA1	1250.98	1159.07	94.67	49.56	56.28	201.25	81.71	75.11	32.82	53.19	43.32	26.86	44.25	1.43	0.0	125.24	2.07	75.11	51.35	78.34	12.45	6.01	0.0	13.42	0.4	2.43	7.11	3.72	23.42	0.0	8.58	28.24	35.76	1.85	38.95	0.0	55.49	59.13	1.53	0.37	0.0	13.12	25.54	0.0	4.7	0.6	2.76	0.0	0.0	0.37	0.0	54.72	88.26	2.63	2.51	60.82	4.5	74.06	6.41	0.0	2.01	0.0	2.94	1.04	0.57	0.39	6.67	101.54	0.0	1.99	8.06	22.43	22.26	48.52	57.89	3.47	0.0	64.8	49.56	6.16	8.25	32.82	1.07	1.51	71.5	223.41	140.04	151.22	14.56	7.94
TSHZ3	123.5	77.25	159.9	163.28	181.28	102.25	224.97	144.01	19.97	19.25	84.63	15.11	37.59	10.16	3.86	22.1	22.75	10.0	15.0	6.31	12.55	8.45	3.89	8.32	7.88	5.92	9.13	4.7	20.86	1.91	2.66	13.83	8.19	4.54	8.19	3.14	63.45	26.67	11.73	1.07	3.59	24.46	7.75	1.57	10.08	3.29	5.92	8.25	4.7	10.47	7.4	5.59	39.22	10.0	3.23	49.21	11.82	19.11	7.34	9.78	14.89	14.56	9.27	9.85	14.35	9.27	9.7	212.78	77.79	23.08	59.13	52.08	173.85	119.26	122.64	112.77	28.24	162.14	175.07	255.0	47.17	60.39	26.1	56.28	130.6	33.3	165.57	108.14	93.35	176.29
VCL	5995.9	1721.16	1977.24	1159.07	1745.2	2319.15	1467.37	2018.8	327.56	738.29	1143.1	629.35	693.58	157.68	171.45	316.37	387.02	379.04	303.44	194.36	149.12	297.17	255.0	223.41	187.71	204.07	166.73	189.02	236.21	102.25	143.01	400.71	221.86	291.04	291.04	187.71	684.02	429.54	217.27	129.69	320.8	361.04	392.44	171.45	269.6	141.02	139.07	193.01	221.86	199.85	178.77	283.05	529.06	169.07	159.9	599.49	289.02	202.66	193.01	381.68	251.48	178.77	167.9	218.79	221.86	153.34	271.48	1487.87	909.17	392.44	759.08	1757.34	1096.5	1111.82	1073.91	612.11	764.36	1119.56	1159.07	2720.15	2319.15	595.34	1417.35	1605.83	1350.18	579.04	1572.76	1250.98	928.3	1883.54
WISP1	3847.29	2224.63	271.48	172.65	217.27	14.03	738.29	373.81	33.54	43.02	181.28	64.34	77.25	6.94	0.0	31.67	30.78	15.22	33.3	5.73	18.29	6.31	5.19	9.27	3.2	11.55	5.73	4.1	13.72	1.0	1.77	14.03	6.62	2.73	6.84	1.01	158.79	31.9	16.03	1.38	7.46	48.18	4.94	4.74	9.2	3.14	2.23	5.77	1.68	3.66	9.2	2.68	45.53	5.36	0.53	90.77	3.08	35.76	3.26	8.65	11.38	11.73	3.38	10.31	8.51	9.85	6.26	769.69	61.25	89.51	31.45	28.24	205.5	146.03	43.94	142.01	7.0	154.42	91.41	64.8	52.82	127.0	12.09	9.34	493.56	158.79	432.53	473.41	251.48	289.02
WLS	8421.31	4095.0	1407.55	902.89	872.1	967.76	1151.06	748.61	514.56	674.59	591.22	1277.29	961.07	325.29	563.18	559.28	109.66	460.44	103.69	1127.35	599.49	35.76	40.64	141.02	28.65	713.11	218.79	651.58	119.26	20.11	226.54	187.71	305.55	35.76	555.41	15.22	389.72	1628.26	463.65	13.12	698.41	281.09	25.72	733.19	414.87	848.22	647.07	108.14	21.01	159.9	14.24	61.25	339.14	775.05	896.64	269.6	599.49	182.55	525.39	1745.2	1794.29	277.2	397.93	361.04	567.1	642.59	921.88	941.27	896.64	89.51	1250.98	981.29	2319.15	1183.45	1437.15	660.68	624.99	1963.57	1870.53	2004.85	884.29	334.46	1199.98	878.17	785.88	1242.34	988.12	961.07	1199.98	1304.15
