	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
SLC4A8	13.42	4.24	6.67	7.06	18.84	0.75	0.0	4.1	4.78	14.89	8.19	10.31	21.16	5.59	5.73	8.78	7.46	4.43	7.57	6.67	6.52	7.17	3.03	1.6	12.0	9.85	3.5	12.93	5.92	12.18	7.94	4.78	5.15	11.73	8.92	9.41	3.41	9.41	16.88	13.32	10.88	10.96	10.71	11.55	8.19	7.63	17.51	5.32	12.93	13.83	22.1	4.13	6.67	2.66	9.34	9.13	21.32	27.25	2.29	6.41	1.68	3.53	8.38	5.19	4.24	28.24	23.76	19.97	14.03	8.92	28.86	31.67	10.08	24.46	26.67	6.31	12.36	18.56	74.58
SMARCC2	1183.45	961.07	435.55	947.83	1529.73	684.02	878.17	698.41	808.0	928.3	684.02	967.76	1295.13	764.36	915.51	1216.75	1044.52	830.75	860.08	1127.35	866.07	441.64	718.08	733.19	819.3	928.3	575.03	1119.56	872.1	743.43	947.83	1397.83	447.82	967.76	551.56	1259.69	567.1	1001.93	830.75	909.17	1250.98	587.13	954.43	1015.93	819.3	1127.35	1467.37	813.63	1081.39	1159.07	1277.29	1008.9	536.45	961.07	1008.9	669.92	1037.29	1225.22	854.13	974.5	785.88	595.34	1044.52	587.13	738.29	1407.55	1277.29	1088.92	1111.82	954.43	1242.34	896.64	1001.93	1159.07	1286.18	551.56	1001.93	1111.82	1417.35
SMARCE1	2335.28	2047.0	1467.37	2739.08	2935.74	2193.99	1697.45	2193.99	1896.65	2758.13	1794.29	2555.58	2835.7	2104.58	2319.15	2468.49	3146.52	2148.82	1757.34	2287.2	2090.03	1769.57	1639.59	2400.97	1857.6	2061.24	1417.35	2997.45	2163.77	2573.36	2319.15	1674.06	1781.89	2047.0	1896.65	3212.66	1977.24	2209.26	2468.49	2384.37	2777.33	2573.36	2224.63	2627.46	1721.16	1896.65	2287.2	1709.26	2468.49	2537.92	2701.35	1529.73	1745.2	2758.13	2758.13	2796.65	3039.3	2915.45	2701.35	2240.11	1832.01	1909.85	2090.03	1950.0	2119.22	3018.3	2915.45	2400.97	2796.65	2148.82	3372.43	2090.03	2319.15	3325.99	3395.89	1844.76	3081.75	2537.92	4836.35
SNRK	406.31	218.79	139.07	327.56	525.39	112.77	145.02	167.9	205.5	511.0	251.48	205.5	381.68	220.32	256.78	283.05	232.94	301.33	127.0	172.65	204.07	175.07	127.89	239.52	273.37	155.5	139.07	336.79	190.34	332.14	224.97	124.37	120.1	163.28	205.5	336.79	166.73	265.87	307.69	220.32	450.94	273.37	277.2	229.72	159.9	189.02	301.33	180.02	334.46	269.6	414.87	224.97	107.38	215.77	327.56	171.45	371.22	312.0	182.55	379.04	236.21	119.26	285.03	205.5	177.53	525.39	473.41	265.87	368.65	172.65	438.59	234.57	249.73	423.61	679.29	189.02	400.71	441.64	325.29
SNX27	346.29	181.28	198.47	271.48	358.54	175.07	201.25	253.23	206.94	316.37	182.55	246.28	316.37	232.94	244.57	305.55	314.17	248.0	202.66	253.23	303.44	208.38	215.77	256.78	221.86	229.72	172.65	248.0	293.07	271.48	325.29	133.36	182.55	239.52	171.45	368.65	182.55	231.32	223.41	226.54	297.17	242.88	307.69	285.03	202.66	218.79	336.79	201.25	301.33	275.28	381.68	249.73	198.47	220.32	339.14	249.73	353.59	457.25	231.32	289.02	271.48	239.52	273.37	170.25	202.66	403.5	351.14	323.03	309.83	269.6	450.94	279.14	314.17	358.54	325.29	194.36	267.73	277.2	438.59
SNX9	836.53	836.53	432.53	947.83	813.63	684.02	583.07	759.08	728.11	974.5	567.1	703.28	934.76	796.86	733.19	866.07	780.44	718.08	540.19	638.15	791.35	665.29	633.73	651.58	684.02	660.68	563.18	848.22	693.58	775.05	684.02	432.53	493.56	830.75	624.99	967.76	633.73	490.14	830.75	660.68	921.88	624.99	854.13	819.3	612.11	511.0	802.41	532.74	860.08	785.88	896.64	624.99	563.18	713.11	830.75	708.18	848.22	813.63	688.78	480.04	679.29	713.11	403.5	651.58	555.41	928.3	909.17	819.3	890.44	780.44	1151.06	698.41	902.89	967.76	947.83	638.15	947.83	884.29	1378.57
SPPL3	808.0	620.67	579.04	684.02	884.29	575.03	633.73	493.56	575.03	896.64	830.75	708.18	723.08	583.07	679.29	733.19	733.19	718.08	583.07	620.67	848.22	483.38	688.78	703.28	728.11	532.74	493.56	1199.98	599.49	769.69	941.27	412.0	551.56	665.29	466.88	934.76	759.08	947.83	974.5	497.0	860.08	764.36	775.05	780.44	703.28	624.99	878.17	511.0	738.29	529.06	819.3	579.04	387.02	493.56	819.3	529.06	1015.93	1175.27	551.56	679.29	866.07	500.46	651.58	718.08	426.57	947.83	796.86	909.17	988.12	808.0	1001.93	791.35	791.35	902.89	1008.9	638.15	743.43	866.07	1119.56
STIM1	1135.2	665.29	665.29	884.29	872.1	470.14	785.88	808.0	651.58	1143.1	723.08	759.08	1111.82	866.07	830.75	759.08	656.11	902.89	507.46	1119.56	896.64	669.92	341.51	612.11	743.43	802.41	511.0	825.0	769.69	780.44	1073.91	384.34	563.18	780.44	802.41	902.89	954.43	854.13	769.69	575.03	1617.0	603.67	693.58	791.35	909.17	665.29	616.37	1096.5	1216.75	651.58	1457.23	860.08	808.0	688.78	967.76	583.07	1037.29	728.11	529.06	934.76	1268.46	665.29	941.27	529.06	603.67	1096.5	1407.55	915.51	1015.93	808.0	1277.29	791.35	915.51	1066.48	1051.79	733.19	961.07	1096.5	1250.98
STON1-GTF2A1L	34.02	11.73	0.0	37.59	55.89	8.38	6.41	54.33	3.79	86.43	0.0	0.25	44.57	3.2	4.31	10.16	10.88	1.51	0.96	2.53	36.53	0.84	0.0	0.88	24.63	0.88	9.2	0.58	35.5	19.53	0.24	0.21	3.47	3.89	0.0	1.23	1.19	0.91	8.45	22.43	1.64	0.88	29.06	37.05	13.72	4.35	1.55	4.62	14.14	11.91	100.13	0.0	1.53	0.55	2.34	6.26	42.11	9.34	3.47	2.18	2.63	33.78	14.14	0.0	15.0	28.86	46.5	25.17	0.85	12.83	62.12	15.34	16.39	27.05	34.02	24.63	28.86	40.93	21.47
SUPT6H	934.76	1044.52	688.78	928.3	902.89	490.14	665.29	665.29	995.0	884.29	583.07	769.69	1008.9	698.41	802.41	1088.92	796.86	769.69	753.83	915.51	884.29	698.41	684.02	759.08	915.51	753.83	599.49	872.1	738.29	769.69	764.36	587.13	669.92	878.17	612.11	878.17	629.35	890.44	813.63	866.07	961.07	551.56	884.29	909.17	723.08	802.41	1104.13	796.86	995.0	860.08	947.83	872.1	713.11	759.08	718.08	599.49	878.17	1001.93	728.11	884.29	723.08	642.59	723.08	651.58	693.58	981.29	1104.13	1088.92	878.17	1037.29	1059.11	947.83	791.35	1023.0	1066.48	599.49	1066.48	1023.0	941.27
TMEM127	813.63	684.02	490.14	775.05	915.51	463.65	575.03	733.19	638.15	759.08	463.65	688.78	813.63	759.08	651.58	764.36	629.35	764.36	551.56	684.02	921.88	638.15	457.25	753.83	878.17	599.49	454.09	928.3	603.67	674.59	728.11	376.41	616.37	769.69	426.57	688.78	603.67	825.0	819.3	665.29	981.29	674.59	743.43	674.59	616.37	595.34	808.0	620.67	915.51	674.59	1037.29	660.68	529.06	555.41	748.61	567.1	1008.9	780.44	665.29	656.11	708.18	660.68	651.58	616.37	559.28	1135.2	1001.93	836.53	896.64	775.05	1127.35	915.51	796.86	1081.39	1081.39	813.63	842.36	872.1	1304.15
TMEM184C	607.87	287.01	256.78	500.46	954.43	267.73	361.04	395.18	325.29	688.78	299.25	392.44	743.43	325.29	447.82	595.34	540.19	392.44	256.78	373.81	368.65	318.57	214.27	466.88	426.57	409.15	223.41	638.15	376.41	414.87	392.44	163.28	246.28	420.68	271.48	674.59	336.79	444.72	309.83	327.56	521.76	483.38	514.56	486.75	426.57	444.72	651.58	277.2	555.41	429.54	638.15	423.61	190.34	426.57	647.07	583.07	629.35	575.03	295.11	325.29	551.56	301.33	295.11	297.17	329.84	603.67	587.13	507.46	616.37	403.5	543.96	543.96	529.06	532.74	718.08	332.14	587.13	514.56	1001.93
TMOD2	81.14	25.72	29.06	50.63	92.7	13.03	15.68	28.45	25.54	103.69	15.45	39.79	78.34	40.64	43.94	65.72	48.18	64.34	23.42	22.75	34.51	23.42	28.04	27.84	37.59	32.82	24.28	32.13	52.82	31.0	46.84	11.82	19.82	53.95	18.03	76.17	17.25	64.8	48.18	34.51	75.64	32.82	56.28	56.28	20.86	20.26	60.82	21.32	64.8	24.11	88.88	43.63	24.81	32.82	51.71	24.81	75.11	72.01	21.01	53.95	39.79	37.32	36.27	33.78	23.76	102.97	75.11	52.45	75.11	49.21	121.79	82.87	54.72	85.82	87.65	30.78	92.05	63.89	66.65
TMTC1	151.22	43.94	33.06	82.87	176.29	17.25	12.18	55.89	39.5	358.54	36.01	54.72	138.1	39.5	105.15	145.02	111.99	127.0	38.67	36.53	80.57	35.5	36.79	44.57	71.0	69.03	46.5	75.64	38.67	107.38	50.98	18.56	29.06	37.05	84.04	87.65	34.75	66.65	70.51	62.12	128.79	61.25	109.66	103.69	36.79	43.94	66.18	77.79	157.68	55.49	199.85	55.89	23.08	50.27	167.9	30.56	287.01	151.22	45.53	124.37	53.19	41.52	35.0	78.89	28.24	346.29	283.05	167.9	177.53	110.43	283.05	92.7	120.94	223.41	336.79	50.63	183.82	180.02	289.02
TNFSF4	31.67	18.84	20.56	77.79	60.82	8.58	21.01	27.84	16.51	82.29	20.11	55.89	48.87	26.67	37.05	59.97	62.56	71.5	15.68	24.63	50.27	7.94	21.16	38.67	24.63	26.28	32.59	54.72	32.59	49.56	52.45	20.26	30.12	59.55	32.82	74.06	57.49	21.63	29.48	42.11	33.06	39.5	49.91	78.34	24.99	39.79	28.86	26.28	31.45	41.81	45.21	34.51	20.71	26.28	46.5	35.5	60.39	125.24	25.35	21.32	22.59	27.05	32.82	36.53	33.78	26.47	44.57	63.89	57.08	70.01	34.75	21.16	60.39	32.82	57.49	29.06	59.97	40.07	26.86
TNPO3	447.82	305.55	167.9	376.41	518.15	242.88	255.0	320.8	353.59	450.94	211.31	351.14	473.41	291.04	366.09	438.59	368.65	320.8	351.14	327.56	373.81	236.21	217.27	320.8	353.59	275.28	189.02	384.34	371.22	363.56	381.68	144.01	195.72	379.04	204.07	480.04	232.94	323.03	265.87	287.01	366.09	307.69	403.5	406.31	309.83	279.14	392.44	260.38	490.14	277.2	500.46	351.14	189.02	316.37	457.25	260.38	470.14	409.15	239.52	389.72	299.25	279.14	186.4	262.2	242.88	507.46	500.46	450.94	454.09	379.04	591.22	412.0	432.53	493.56	529.06	281.09	450.94	503.95	769.69
TOX	53.95	32.59	6.36	23.08	65.26	1.66	0.82	60.82	17.0	206.94	16.03	26.28	46.5	13.62	29.27	47.17	22.26	10.88	4.7	14.03	46.18	16.39	4.1	19.82	9.48	8.71	9.56	43.32	13.62	39.5	18.03	0.47	15.68	36.27	22.92	39.22	5.68	5.5	24.11	35.5	43.63	17.9	20.11	58.3	8.13	19.82	7.11	13.42	33.54	7.88	63.45	15.56	8.38	27.84	55.89	21.32	91.41	14.35	8.58	14.24	8.38	20.11	6.01	22.26	13.62	82.29	73.03	27.44	64.8	33.78	151.22	14.89	41.52	64.8	125.24	20.11	36.27	76.71	69.03
TRIP12	1806.78	854.13	607.87	1191.69	1936.53	796.86	753.83	688.78	1001.93	2133.97	884.29	1119.56	2004.85	616.37	941.27	1457.23	1407.55	988.12	780.44	1051.79	1199.98	669.92	587.13	967.76	1378.57	785.88	656.11	1437.15	1191.69	1096.5	1369.04	483.38	753.83	1572.76	764.36	2018.8	728.11	1295.13	1008.9	808.0	2163.77	890.44	1183.45	1304.15	1008.9	909.17	2255.7	830.75	1977.24	1295.13	1923.14	1111.82	713.11	866.07	1733.13	866.07	1733.13	1350.18	813.63	1059.11	1359.57	688.78	698.41	780.44	769.69	1733.13	2104.58	1794.29	1936.53	1304.15	1806.78	1639.59	1594.73	1909.85	2240.11	808.0	1437.15	1697.45	2255.7
TSPAN5	146.03	116.78	44.25	187.71	162.14	271.48	40.93	122.64	220.32	316.37	37.59	82.29	256.78	89.51	88.26	123.5	118.43	223.41	123.5	62.56	117.6	150.17	34.26	81.14	120.1	44.25	96.68	146.03	52.45	97.36	80.57	84.04	120.94	119.26	76.71	262.2	54.72	287.01	91.41	136.19	187.71	85.82	136.19	163.28	91.41	94.01	172.65	100.83	228.13	187.71	177.53	101.54	85.82	145.02	166.73	147.06	182.55	87.03	65.26	88.26	226.54	103.69	109.66	100.13	76.71	183.82	229.72	211.31	198.47	129.69	214.27	165.57	134.3	162.14	204.07	209.84	185.11	208.38	234.57
TTC28	205.5	44.89	33.3	70.51	195.72	12.93	28.45	60.39	57.08	161.02	28.24	60.39	137.14	62.56	76.71	119.26	76.17	84.04	52.08	34.26	110.43	43.94	32.36	46.18	53.95	37.05	43.63	87.03	49.56	102.97	85.22	4.46	37.85	75.11	43.32	105.89	26.1	72.52	66.18	58.3	157.68	53.19	127.0	112.77	59.97	49.91	120.94	75.64	218.79	57.89	223.41	84.63	18.29	43.94	150.17	43.63	172.65	105.89	24.11	83.45	71.0	38.67	41.22	38.67	34.75	312.0	371.22	198.47	178.77	96.01	406.31	141.02	158.79	260.38	348.71	50.98	171.45	281.09	379.04
TUBGCP4	363.56	224.97	185.11	194.36	358.54	165.57	231.32	255.0	221.86	325.29	221.86	295.11	341.51	187.71	269.6	285.03	201.25	236.21	232.94	271.48	251.48	181.28	173.85	209.84	242.88	234.57	267.73	231.32	269.6	217.27	329.84	265.87	166.73	248.0	291.04	289.02	199.85	295.11	214.27	258.57	312.0	209.84	279.14	234.57	232.94	301.33	346.29	320.8	334.46	287.01	329.84	277.2	258.57	279.14	361.04	234.57	325.29	312.0	220.32	351.14	221.86	189.02	258.57	193.01	221.86	381.68	358.54	351.14	339.14	289.02	460.44	237.86	253.23	327.56	371.22	204.07	269.6	305.55	400.71
TXNRD1	1388.16	629.35	518.15	796.86	1059.11	236.21	738.29	532.74	723.08	1191.69	497.0	802.41	1159.07	591.22	961.07	825.0	866.07	543.96	376.41	575.03	525.39	579.04	1159.07	808.0	563.18	423.61	387.02	1350.18	679.29	1369.04	954.43	224.97	432.53	555.41	511.0	1199.98	281.09	450.94	1268.46	738.29	738.29	836.53	1259.69	599.49	559.28	595.34	796.86	320.8	915.51	529.06	1331.57	651.58	480.04	813.63	1030.12	708.18	1127.35	2075.59	220.32	563.18	497.0	490.14	283.05	525.39	718.08	1059.11	2520.38	921.88	808.0	629.35	2573.36	651.58	934.76	1721.16	1662.49	454.09	1127.35	1159.07	2664.15
UBE3B	532.74	420.68	271.48	457.25	629.35	361.04	376.41	381.68	441.64	450.94	387.02	454.09	540.19	403.5	486.75	507.46	450.94	406.31	341.51	473.41	490.14	271.48	518.15	381.68	470.14	435.55	305.55	579.04	432.53	406.31	463.65	234.57	273.37	624.99	283.05	616.37	281.09	423.61	490.14	387.02	450.94	305.55	532.74	532.74	403.5	447.82	693.58	400.71	540.19	480.04	543.96	403.5	316.37	397.93	493.56	339.14	543.96	612.11	400.71	486.75	426.57	384.34	412.0	366.09	346.29	571.05	579.04	638.15	669.92	490.14	599.49	595.34	638.15	551.56	567.1	384.34	616.37	563.18	450.94
UNC119B	332.14	244.57	236.21	450.94	703.28	234.57	234.57	303.44	279.14	325.29	368.65	373.81	595.34	358.54	409.15	363.56	454.09	351.14	295.11	197.09	329.84	178.77	236.21	412.0	674.59	154.42	258.57	612.11	363.56	295.11	547.75	295.11	226.54	293.07	186.4	563.18	353.59	547.75	543.96	177.53	642.59	320.8	420.68	414.87	366.09	480.04	466.88	251.48	483.38	438.59	708.18	301.33	211.31	316.37	571.05	301.33	599.49	802.41	289.02	358.54	507.46	147.06	273.37	441.64	318.57	567.1	583.07	406.31	525.39	412.0	764.36	429.54	518.15	426.57	587.13	301.33	447.82	473.41	450.94
USP30	242.88	155.5	264.03	214.27	281.09	258.57	226.54	211.31	191.67	279.14	301.33	251.48	255.0	275.28	190.34	251.48	226.54	234.57	206.94	218.79	242.88	232.94	255.0	164.42	189.02	218.79	285.03	334.46	226.54	249.73	305.55	157.68	135.24	269.6	228.13	275.28	316.37	253.23	358.54	150.17	271.48	275.28	267.73	228.13	246.28	224.97	327.56	236.21	289.02	223.41	295.11	220.32	180.02	201.25	234.57	156.59	256.78	412.0	215.77	209.84	242.88	218.79	215.77	229.72	217.27	305.55	283.05	281.09	291.04	244.57	287.01	209.84	267.73	236.21	307.69	273.37	251.48	267.73	334.46
USP9X	656.11	303.44	167.9	366.09	656.11	215.77	262.2	262.2	348.71	698.41	255.0	287.01	595.34	246.28	336.79	470.14	435.55	341.51	237.86	291.04	332.14	239.52	204.07	221.86	348.71	285.03	221.86	423.61	325.29	435.55	432.53	193.01	204.07	341.51	212.78	656.11	205.5	389.72	291.04	262.2	563.18	389.72	417.77	392.44	258.57	269.6	551.56	249.73	493.56	271.48	629.35	325.29	251.48	291.04	555.41	301.33	629.35	529.06	262.2	353.59	384.34	228.13	265.87	260.38	248.0	633.73	647.07	483.38	536.45	363.56	764.36	466.88	457.25	624.99	651.58	239.52	454.09	559.28	878.17
UTP20	131.51	88.88	48.52	87.65	169.07	76.17	81.14	63.45	98.73	139.07	81.71	78.34	139.07	56.68	57.89	115.16	94.01	84.63	94.01	104.42	73.03	87.65	85.82	61.25	93.35	89.51	69.52	133.36	110.43	97.36	124.37	77.79	46.18	77.79	69.03	149.12	60.39	97.36	96.01	82.87	116.78	81.71	122.64	82.29	81.14	63.89	182.55	78.34	122.64	101.54	135.24	95.34	55.49	99.43	126.12	58.71	125.24	228.13	66.65	88.26	77.25	56.28	67.12	58.71	73.54	172.65	153.34	130.6	152.28	111.21	149.12	110.43	110.43	153.34	171.45	69.52	117.6	144.01	119.26
VANGL1	148.09	73.54	53.95	141.02	204.07	84.04	74.58	107.38	70.51	229.72	90.77	126.12	283.05	88.88	113.56	139.07	156.59	101.54	75.64	131.51	97.36	62.56	54.72	102.25	127.0	116.78	63.45	236.21	116.78	106.63	154.42	76.17	65.72	91.41	52.45	228.13	60.39	130.6	69.03	77.79	217.27	115.97	154.42	125.24	98.73	139.07	180.02	87.03	176.29	101.54	231.32	117.6	68.07	122.64	208.38	91.41	189.02	176.29	103.69	82.87	136.19	71.0	95.34	84.04	92.7	224.97	158.79	156.59	215.77	87.65	187.71	134.3	172.65	175.07	214.27	100.83	106.63	119.26	236.21
WWC2	187.71	87.65	47.5	120.1	236.21	15.68	46.84	85.22	118.43	229.72	104.42	76.17	260.38	68.55	149.12	158.79	120.1	71.5	40.36	50.63	89.51	49.56	33.78	71.5	105.15	37.32	49.21	120.1	91.41	103.69	148.09	15.22	36.79	189.02	36.79	211.31	58.3	86.43	60.82	81.71	165.57	77.79	136.19	145.02	39.79	91.41	175.07	78.34	187.71	81.71	309.83	120.1	53.19	92.7	189.02	74.06	237.86	373.81	84.63	88.26	88.88	27.25	38.12	82.87	67.59	303.44	299.25	169.07	239.52	161.02	293.07	169.07	236.21	287.01	267.73	53.95	217.27	201.25	642.59
XYLT1	75.64	39.5	29.48	76.71	255.0	3.56	23.25	56.68	52.08	85.22	24.28	52.82	156.59	46.5	45.53	79.45	52.82	63.0	33.06	40.07	55.1	29.7	23.76	43.63	35.0	24.99	13.83	101.54	33.54	38.4	42.11	25.54	20.56	45.21	31.9	111.99	22.1	111.99	33.3	37.32	133.36	38.4	48.52	63.0	35.25	61.68	87.03	11.38	85.82	89.51	54.33	43.32	41.81	59.55	96.01	63.0	100.13	88.88	34.51	31.45	93.35	19.25	52.82	57.89	44.89	121.79	120.1	75.11	100.83	74.58	115.16	47.5	98.04	77.25	87.03	44.57	73.54	68.55	251.48
YLPM1	836.53	813.63	450.94	651.58	902.89	633.73	651.58	536.45	836.53	791.35	629.35	656.11	836.53	591.22	688.78	921.88	511.0	780.44	713.11	830.75	642.59	571.05	514.56	591.22	713.11	669.92	669.92	633.73	651.58	679.29	759.08	518.15	281.09	728.11	518.15	872.1	497.0	796.86	555.41	651.58	854.13	507.46	669.92	688.78	728.11	743.43	1008.9	791.35	819.3	703.28	836.53	684.02	480.04	656.11	813.63	543.96	796.86	866.07	603.67	713.11	638.15	417.77	669.92	540.19	674.59	842.36	854.13	866.07	738.29	684.02	808.0	708.18	688.78	802.41	813.63	507.46	723.08	796.86	866.07
ZBTB39	74.06	59.97	33.78	68.07	128.79	59.13	57.89	64.34	58.71	78.89	49.56	49.56	101.54	51.71	75.11	75.11	78.89	52.45	76.17	57.49	54.33	45.21	34.51	73.03	55.49	50.98	44.57	115.97	77.25	53.57	75.11	23.08	39.79	51.35	52.08	103.69	43.63	70.01	53.57	50.98	61.68	63.89	84.63	80.01	57.89	63.0	75.11	37.85	74.58	75.11	127.89	90.14	34.51	91.41	94.67	59.97	93.35	98.04	47.5	70.01	56.68	47.84	74.58	58.71	57.08	80.01	61.68	71.0	74.06	58.71	72.52	76.17	61.68	66.18	77.79	52.08	75.11	67.12	87.65
ZBTB8B	0.69	0.61	0.0	0.33	4.1	0.0	0.0	0.96	0.32	0.69	0.91	0.35	0.34	0.33	0.67	0.35	0.33	1.6	0.36	0.0	1.07	0.0	0.74	0.0	3.14	0.0	0.0	0.35	0.33	0.0	0.67	0.0	0.32	0.66	0.0	0.67	0.33	0.67	0.67	0.67	0.0	0.99	0.33	2.73	0.33	0.34	0.33	0.0	1.01	0.96	6.01	0.66	0.0	0.65	0.69	0.31	0.71	2.92	2.56	1.13	0.68	0.34	0.33	0.33	1.68	1.03	1.73	2.41	1.69	2.63	1.46	0.68	1.33	1.41	1.38	0.99	2.66	2.05	0.72
ZMYND11	1487.87	872.1	579.04	1151.06	1417.35	743.43	848.22	921.88	759.08	1369.04	808.0	961.07	1388.16	896.64	1051.79	1242.34	1104.13	921.88	547.75	753.83	967.76	718.08	647.07	842.36	934.76	743.43	775.05	1081.39	981.29	1175.27	1233.75	356.05	532.74	1037.29	551.56	1583.71	595.34	995.0	909.17	947.83	1225.22	813.63	1191.69	1143.1	718.08	669.92	1487.87	638.15	1199.98	928.3	1572.76	915.51	547.75	896.64	1286.18	878.17	1498.22	1250.98	785.88	842.36	819.3	819.3	559.28	723.08	743.43	1529.73	1781.89	1322.37	1407.55	1135.2	2090.03	1111.82	1250.98	1561.89	1697.45	947.83	1407.55	1529.73	2609.3
ZNF322	447.82	220.32	93.35	301.33	579.04	224.97	171.45	185.11	173.85	279.14	170.25	173.85	476.71	177.53	264.03	305.55	323.03	251.48	155.5	224.97	237.86	94.67	106.63	194.36	228.13	215.77	112.77	674.59	253.23	241.19	341.51	112.77	143.01	226.54	103.69	497.0	126.12	332.14	229.72	181.28	325.29	221.86	299.25	325.29	155.5	171.45	412.0	145.02	323.03	217.27	518.15	271.48	100.83	316.37	341.51	182.55	368.65	379.04	127.89	221.86	208.38	135.24	158.79	166.73	141.02	348.71	376.41	412.0	314.17	242.88	299.25	264.03	291.04	397.93	441.64	183.82	320.8	429.54	878.17
ZNF45	197.09	113.56	87.65	140.04	232.94	55.49	166.73	96.68	132.44	155.5	118.43	155.5	191.67	96.68	142.01	177.53	163.28	138.1	147.06	147.06	153.34	85.82	80.57	127.89	147.06	146.03	114.36	162.14	147.06	139.07	175.07	73.54	80.57	159.9	94.01	189.02	85.82	171.45	115.97	119.26	172.65	124.37	180.02	173.85	133.36	151.22	226.54	146.03	199.85	156.59	205.5	124.37	80.01	157.68	169.07	89.51	163.28	208.38	132.44	114.36	136.19	86.43	112.77	94.01	114.36	217.27	186.4	197.09	193.01	156.59	198.47	164.42	170.25	206.94	271.48	111.99	202.66	193.01	246.28
