	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
TUBE1	429.54	135.24	129.69	198.47	107.38	361.04	159.9	88.26	88.26	170.25	120.1	450.94	88.88	529.06	117.6	209.84	187.71	279.14	221.86	177.53	379.04	287.01	141.02	100.83	218.79	497.0	161.02	197.09	142.01	220.32	161.02	137.14	127.0	127.89	87.03	231.32	368.65	162.14	215.77	329.84	438.59	309.83	571.05	466.88	387.02	423.61	529.06	371.22	358.54	297.17	447.82	351.14	612.11	314.17	497.0	511.0	277.2	264.03	215.77	353.59	242.88	267.73	293.07	285.03	480.04	309.83	327.56	409.15	277.2	376.41	743.43	463.65	674.59
TVP23C	199.85	139.07	46.5	81.14	38.67	49.56	31.67	50.27	85.22	94.01	58.3	69.03	44.25	167.9	44.57	58.71	38.95	66.65	53.19	145.02	162.14	143.01	177.53	137.14	37.32	146.03	29.7	139.07	85.82	117.6	108.14	130.6	107.38	48.18	60.39	45.85	116.78	98.04	89.51	95.34	166.73	171.45	121.79	147.06	104.42	150.17	123.5	148.09	198.47	145.02	156.59	212.78	167.9	77.25	136.19	189.02	125.24	150.17	135.24	159.9	178.77	167.9	182.55	215.77	198.47	171.45	159.9	81.14	127.0	248.0	264.03	291.04	291.04
UPF3A	1508.65	743.43	417.77	483.38	293.07	1104.13	503.95	348.71	518.15	395.18	466.88	764.36	441.64	1066.48	470.14	638.15	764.36	1044.52	332.14	674.59	1066.48	902.89	567.1	571.05	1015.93	1417.35	693.58	698.41	348.71	503.95	759.08	603.67	563.18	507.46	733.19	595.34	808.0	518.15	579.04	848.22	1857.6	1896.65	2193.99	1819.35	967.76	2271.4	1340.84	511.0	1457.23	2271.4	1806.78	2240.11	1508.65	1594.73	1540.37	1540.37	921.88	1540.37	1594.73	1286.18	1651.0	1340.84	1794.29	1467.37	2104.58	1651.0	1322.37	1183.45	1950.0	1806.78	2119.22	1844.76	2701.35
VPS45	669.92	318.57	303.44	536.45	371.22	1015.93	336.79	267.73	392.44	497.0	249.73	830.75	361.04	775.05	603.67	571.05	368.65	555.41	470.14	521.76	718.08	679.29	624.99	466.88	559.28	819.3	723.08	595.34	603.67	547.75	559.28	514.56	703.28	457.25	551.56	463.65	607.87	551.56	718.08	698.41	775.05	633.73	878.17	1023.0	563.18	890.44	708.18	708.18	866.07	684.02	813.63	961.07	1015.93	896.64	813.63	1073.91	872.1	825.0	1127.35	642.59	656.11	612.11	743.43	830.75	796.86	915.51	1066.48	688.78	854.13	1023.0	842.36	974.5	1096.5
VPS52	1259.69	629.35	559.28	860.08	473.41	1151.06	698.41	688.78	629.35	587.13	529.06	842.36	591.22	836.53	902.89	947.83	753.83	703.28	587.13	802.41	1369.04	1088.92	1119.56	775.05	842.36	1487.87	995.0	1001.93	947.83	743.43	915.51	825.0	1081.39	796.86	753.83	988.12	1008.9	890.44	1015.93	854.13	1359.57	988.12	1819.35	1583.71	878.17	1551.09	1819.35	1127.35	1583.71	1508.65	1551.09	1427.22	1991.0	1369.04	1417.35	1896.65	1388.16	1519.15	934.76	1183.45	1551.09	1037.29	1304.15	1551.09	1963.57	1745.2	1639.59	1008.9	1697.45	1628.26	1583.71	1467.37	1977.24
WDR73	555.41	166.73	180.02	141.02	165.57	309.83	299.25	186.4	239.52	251.48	214.27	262.2	262.2	307.69	392.44	376.41	312.0	312.0	176.29	353.59	629.35	490.14	414.87	218.79	466.88	703.28	273.37	275.28	454.09	403.5	301.33	339.14	403.5	376.41	256.78	392.44	423.61	379.04	387.02	753.83	633.73	397.93	599.49	575.03	249.73	603.67	629.35	457.25	559.28	366.09	665.29	532.74	698.41	470.14	493.56	647.07	591.22	733.19	366.09	603.67	525.39	381.68	486.75	669.92	902.89	642.59	470.14	248.0	595.34	860.08	872.1	819.3	1081.39
WHAMM	153.34	111.21	143.01	118.43	117.6	111.99	223.41	170.25	140.04	185.11	171.45	117.6	209.84	125.24	138.1	89.51	170.25	71.0	48.87	154.42	279.14	145.02	126.12	127.89	145.02	255.0	151.22	158.79	104.42	204.07	161.02	176.29	226.54	187.71	136.19	206.94	110.43	176.29	132.44	229.72	217.27	171.45	177.53	175.07	102.97	271.48	253.23	116.78	182.55	113.56	202.66	180.02	234.57	186.4	215.77	246.28	198.47	211.31	142.01	180.02	182.55	194.36	199.85	249.73	220.32	178.77	205.5	143.01	234.57	212.78	208.38	218.79	246.28
XPA	336.79	279.14	341.51	267.73	305.55	476.71	343.89	208.38	376.41	480.04	406.31	536.45	395.18	435.55	258.57	334.46	444.72	397.93	173.85	157.68	348.71	414.87	171.45	127.0	285.03	217.27	138.1	271.48	120.1	150.17	229.72	197.09	256.78	173.85	232.94	204.07	295.11	228.13	470.14	307.69	397.93	420.68	341.51	403.5	521.76	642.59	417.77	287.01	457.25	412.0	414.87	476.71	507.46	476.71	518.15	684.02	403.5	575.03	514.56	403.5	414.87	329.84	423.61	457.25	674.59	435.55	529.06	368.65	543.96	1199.98	708.18	896.64	708.18
ZBTB2	194.36	195.72	102.97	116.78	94.67	198.47	60.39	50.27	119.26	104.42	84.04	307.69	64.8	201.25	81.71	91.41	88.88	92.7	237.86	111.21	195.72	173.85	82.87	60.82	112.77	88.26	110.43	92.7	88.26	124.37	109.66	90.77	115.16	84.04	103.69	139.07	128.79	98.73	121.79	197.09	332.14	173.85	323.03	323.03	165.57	351.14	215.77	220.32	206.94	395.18	256.78	249.73	348.71	341.51	490.14	397.93	299.25	285.03	249.73	236.21	343.89	145.02	371.22	246.28	283.05	246.28	426.57	165.57	376.41	429.54	395.18	384.34	638.15
ZCCHC11	791.35	209.84	291.04	293.07	279.14	444.72	226.54	295.11	305.55	285.03	258.57	351.14	253.23	420.68	441.64	277.2	283.05	155.5	334.46	353.59	297.17	525.39	400.71	287.01	624.99	743.43	389.72	387.02	147.06	395.18	480.04	376.41	412.0	397.93	249.73	400.71	392.44	285.03	332.14	371.22	1044.52	457.25	884.29	493.56	279.14	753.83	587.13	473.41	723.08	656.11	878.17	607.87	974.5	490.14	764.36	647.07	764.36	808.0	728.11	684.02	679.29	426.57	674.59	1001.93	1066.48	1216.75	703.28	514.56	713.11	921.88	1447.15	836.53	1250.98
ZNF133	256.78	56.28	161.02	83.45	122.64	312.0	189.02	159.9	138.1	215.77	128.79	155.5	206.94	220.32	130.6	103.69	246.28	236.21	73.03	167.9	229.72	217.27	153.34	162.14	143.01	507.46	57.49	271.48	115.16	186.4	136.19	141.02	151.22	124.37	102.25	249.73	181.28	87.03	198.47	183.82	279.14	140.04	361.04	400.71	194.36	316.37	293.07	228.13	297.17	336.79	361.04	297.17	353.59	229.72	251.48	432.53	283.05	426.57	231.32	309.83	307.69	228.13	248.0	309.83	450.94	406.31	265.87	251.48	242.88	435.55	483.38	476.71	651.58
ZNF160	325.29	289.02	267.73	316.37	162.14	229.72	224.97	149.12	299.25	289.02	329.84	221.86	190.34	327.56	129.69	137.14	420.68	218.79	165.57	325.29	629.35	414.87	163.28	71.5	89.51	896.64	84.63	217.27	90.14	228.13	228.13	176.29	327.56	131.51	120.94	177.53	260.38	197.09	129.69	190.34	493.56	358.54	490.14	698.41	151.22	454.09	295.11	234.57	493.56	366.09	536.45	303.44	476.71	341.51	353.59	460.44	412.0	483.38	295.11	514.56	281.09	236.21	348.71	718.08	884.29	571.05	332.14	277.2	348.71	620.67	698.41	559.28	981.29
ZNF266	497.0	191.67	283.05	205.5	124.37	281.09	253.23	255.0	314.17	260.38	212.78	221.86	299.25	218.79	150.17	69.52	525.39	185.11	194.36	209.84	406.31	392.44	151.22	89.51	16.51	679.29	26.47	175.07	105.89	144.01	103.69	116.78	185.11	121.79	102.97	194.36	307.69	297.17	493.56	323.03	928.3	389.72	503.95	934.76	133.36	412.0	241.19	199.85	435.55	620.67	521.76	325.29	500.46	320.8	316.37	872.1	444.72	928.3	267.73	466.88	189.02	336.79	460.44	454.09	1183.45	665.29	204.07	287.01	414.87	595.34	890.44	642.59	878.17
ZNF30	76.17	11.38	12.55	13.42	12.55	71.0	8.51	23.93	13.83	21.32	20.86	40.64	19.25	94.01	36.79	62.56	23.25	45.53	11.47	28.65	57.08	66.65	22.59	20.11	19.25	36.53	4.54	19.68	23.93	25.54	40.07	32.59	24.63	32.36	24.81	37.32	40.93	16.39	57.89	90.14	77.79	53.19	63.89	128.79	55.49	63.0	70.51	87.03	43.63	97.36	56.28	48.18	71.5	64.8	48.87	59.97	59.97	42.41	64.8	48.52	38.4	66.65	59.13	40.93	63.45	56.68	55.89	96.68	94.01	50.98	96.01	87.03	74.58
ZNF354B	309.83	67.59	46.5	70.51	62.12	147.06	51.35	67.59	72.52	116.78	34.51	107.38	52.08	144.01	81.14	33.3	142.01	111.99	123.5	76.71	206.94	185.11	46.84	48.87	127.89	318.57	44.25	78.34	15.91	92.05	120.1	50.98	104.42	55.49	47.84	129.69	88.88	70.01	153.34	152.28	239.52	164.42	229.72	395.18	64.34	271.48	150.17	109.66	195.72	214.27	309.83	156.59	256.78	171.45	152.28	255.0	159.9	260.38	189.02	189.02	173.85	186.4	176.29	251.48	368.65	265.87	133.36	127.0	212.78	237.86	403.5	277.2	429.54
ZNF514	316.37	126.12	127.0	220.32	138.1	363.56	122.64	211.31	137.14	124.37	119.26	186.4	131.51	248.0	85.22	123.5	161.02	204.07	93.35	147.06	384.34	221.86	154.42	74.58	182.55	463.65	96.68	218.79	101.54	149.12	127.0	178.77	150.17	97.36	102.97	181.28	162.14	178.77	208.38	201.25	255.0	226.54	231.32	228.13	140.04	314.17	166.73	262.2	341.51	215.77	638.15	299.25	334.46	329.84	236.21	392.44	329.84	514.56	133.36	353.59	220.32	180.02	329.84	583.07	791.35	518.15	244.57	169.07	241.19	417.77	543.96	373.81	688.78
ZNF75D	150.17	260.38	209.84	99.43	133.36	100.83	204.07	244.57	159.9	208.38	205.5	143.01	212.78	120.1	115.97	108.9	228.13	78.89	105.15	108.14	234.57	165.57	113.56	119.26	132.44	172.65	71.0	94.01	57.08	195.72	130.6	128.79	92.05	158.79	94.67	173.85	129.69	94.67	193.01	176.29	336.79	146.03	96.68	273.37	82.87	429.54	214.27	125.24	186.4	307.69	267.73	277.2	353.59	281.09	356.05	339.14	177.53	299.25	178.77	191.67	267.73	191.67	242.88	249.73	258.57	316.37	248.0	197.09	231.32	220.32	318.57	273.37	348.71
ZNF83	1250.98	223.41	366.09	236.21	314.17	400.71	339.14	236.21	503.95	532.74	403.5	417.77	327.56	432.53	246.28	236.21	830.75	1030.12	361.04	728.11	2875.3	915.51	764.36	356.05	547.75	3955.48	397.93	426.57	201.25	796.86	267.73	616.37	808.0	480.04	353.59	688.78	620.67	629.35	228.13	412.0	1208.34	836.53	819.3	819.3	232.94	1081.39	656.11	426.57	1794.29	1015.93	2367.9	718.08	1313.23	733.19	559.28	1369.04	961.07	2061.24	896.64	1594.73	503.95	1159.07	848.22	2148.82	3614.55	1963.57	503.95	493.56	836.53	954.43	2240.11	1331.57	2240.11
ZRANB2	1561.89	507.46	348.71	486.75	339.14	361.04	336.79	217.27	435.55	536.45	307.69	400.71	295.11	503.95	366.09	327.56	559.28	486.75	543.96	303.44	665.29	775.05	312.0	220.32	441.64	1044.52	244.57	316.37	193.01	312.0	392.44	269.6	417.77	226.54	262.2	316.37	603.67	329.84	915.51	1051.79	2178.83	1199.98	1304.15	1819.35	536.45	1268.46	769.69	579.04	1304.15	1216.75	1857.6	1519.15	1883.54	934.76	1088.92	1697.45	1127.35	1583.71	780.44	1508.65	738.29	954.43	988.12	1561.89	2104.58	1572.76	1037.29	660.68	1268.46	1467.37	2271.4	1096.5	2178.83
ZRSR2	356.05	265.87	291.04	239.52	273.37	309.83	320.8	587.13	305.55	441.64	242.88	320.8	346.29	287.01	127.89	141.02	343.89	215.77	107.38	146.03	358.54	236.21	234.57	127.89	220.32	236.21	163.28	206.94	151.22	237.86	189.02	155.5	256.78	162.14	237.86	221.86	334.46	223.41	297.17	271.48	769.69	503.95	536.45	679.29	237.86	813.63	406.31	260.38	583.07	381.68	647.07	460.44	612.11	373.81	571.05	486.75	332.14	497.0	743.43	339.14	281.09	279.14	363.56	612.11	454.09	723.08	536.45	283.05	583.07	460.44	571.05	878.17	403.5
ZSCAN30	137.14	229.72	117.6	126.12	120.94	172.65	69.03	58.71	119.26	164.42	143.01	147.06	167.9	204.07	133.36	157.68	189.02	137.14	99.43	100.83	176.29	264.03	63.89	62.56	120.94	237.86	38.12	104.42	71.0	114.36	101.54	122.64	70.01	70.51	63.45	122.64	169.07	73.03	120.94	119.26	325.29	187.71	92.7	241.19	112.77	353.59	214.27	125.24	277.2	239.52	291.04	208.38	305.55	255.0	273.37	293.07	269.6	271.48	199.85	260.38	202.66	125.24	220.32	287.01	397.93	305.55	198.47	151.22	269.6	323.03	536.45	466.88	457.25
