	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.WQUQ.1926.SM.4OOSA	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.WHSB.0326.SM.5FQSD	GTEX.13NYS.1626.SM.5J2MU	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.ZYY3.0926.SM.5E454	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.13O3P.1026.SM.5N9E7	GTEX.11EI6.0826.SM.5985V	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.N7MT.0126.SM.2D7VT	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.1477Z.0626.SM.5NQB7	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.146FH.1226.SM.5NQB6	GTEX.11DZ1.0426.SM.5H11A	GTEX.NPJ8.0326.SM.2D7VV	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q
RGMB	115.97	40.36	248.0	69.52	52.08	316.37	7.4	44.25	47.5	136.19	139.07	75.64	94.67	70.01	249.73	64.34	36.01	125.24	91.41	53.95	89.51	287.01	96.68	46.18	108.9	59.55	98.04	62.12	73.54	61.25	65.26	438.59	82.87	339.14	120.94	58.71	58.3	84.63	54.33	41.81	125.24	72.01	72.52	244.57	389.72	118.43	125.24	256.78	241.19	226.54	175.07	289.02	224.97	242.88	143.01	199.85	295.11	336.79	389.72	309.83	376.41	114.36	134.3	194.36	205.5	490.14	275.28	265.87	305.55	336.79	444.72	447.82	130.6	212.78	236.21	283.05	170.25	161.02	287.01	193.01	165.57	89.51	334.46	134.3	226.54	237.86	151.22	135.24	150.17	327.56
RNF38	85.82	100.83	100.83	119.26	291.04	146.03	229.72	108.9	105.89	100.83	116.78	170.25	145.02	72.01	193.01	129.69	117.6	105.15	138.1	84.04	109.66	73.54	194.36	218.79	144.01	55.1	83.45	76.71	63.0	90.77	146.03	157.68	157.68	127.0	102.97	154.42	151.22	187.71	101.54	140.04	45.85	98.04	98.73	521.76	480.04	343.89	547.75	373.81	256.78	432.53	363.56	190.34	426.57	303.44	376.41	269.6	1304.15	567.1	660.68	825.0	902.89	329.84	323.03	1081.39	884.29	825.0	473.41	412.0	463.65	307.69	514.56	808.0	237.86	329.84	329.84	536.45	291.04	361.04	507.46	332.14	540.19	221.86	603.67	251.48	273.37	389.72	583.07	185.11	808.0	420.68
ROCK1	124.37	98.04	98.73	158.79	209.84	128.79	202.66	119.26	94.67	31.0	162.14	145.02	208.38	113.56	223.41	127.0	127.89	197.09	161.02	185.11	325.29	157.68	185.11	199.85	223.41	122.64	92.05	126.12	92.7	117.6	202.66	132.44	149.12	167.9	119.26	215.77	171.45	171.45	59.55	150.17	119.26	143.01	153.34	373.81	384.34	392.44	555.41	497.0	435.55	698.41	540.19	341.51	563.18	373.81	470.14	693.58	764.36	444.72	738.29	480.04	728.11	316.37	336.79	866.07	642.59	547.75	633.73	521.76	633.73	540.19	551.56	500.46	291.04	521.76	507.46	521.76	334.46	669.92	633.73	708.18	902.89	371.22	854.13	571.05	417.77	371.22	514.56	260.38	713.11	392.44
ROR1	3.06	4.98	0.92	6.52	1.31	17.64	31.9	2.81	7.17	1.83	2.51	2.63	7.28	3.96	4.9	3.03	0.48	9.7	4.03	3.59	1.75	14.78	5.23	24.46	10.24	0.0	0.0	0.0	0.0	0.67	7.51	5.32	7.75	17.9	3.35	11.13	2.16	12.45	0.38	3.44	2.16	6.41	3.72	503.95	59.13	127.0	136.19	49.91	193.01	88.88	511.0	36.27	61.25	223.41	223.41	96.68	521.76	318.57	65.72	167.9	361.04	170.25	251.48	32.82	98.73	139.07	77.25	30.56	136.19	195.72	187.71	182.55	45.21	218.79	30.12	318.57	65.72	71.5	231.32	76.17	44.89	155.5	190.34	112.77	202.66	98.04	154.42	38.4	9.7	27.05
SASH1	57.49	71.0	48.18	103.69	44.89	163.28	42.71	53.95	41.22	42.71	55.49	78.34	105.89	62.56	114.36	66.65	56.68	73.54	44.25	128.79	186.4	81.14	135.24	134.3	80.57	36.79	45.85	59.97	79.45	98.73	107.38	96.01	108.9	159.9	42.11	115.16	65.26	92.05	44.57	136.19	68.07	117.6	151.22	669.92	647.07	118.43	616.37	490.14	503.95	1030.12	612.11	928.3	540.19	361.04	248.0	514.56	1191.69	1208.34	928.3	629.35	780.44	297.17	500.46	808.0	348.71	1135.2	713.11	616.37	665.29	373.81	529.06	813.63	473.41	575.03	1088.92	728.11	348.71	521.76	718.08	444.72	753.83	323.03	500.46	323.03	559.28	629.35	703.28	220.32	665.29	417.77
SEC22C	397.93	234.57	420.68	473.41	305.55	555.41	346.29	400.71	368.65	267.73	387.02	332.14	361.04	239.52	361.04	275.28	277.2	536.45	366.09	339.14	356.05	339.14	454.09	329.84	223.41	318.57	220.32	525.39	289.02	301.33	356.05	271.48	256.78	323.03	262.2	316.37	323.03	387.02	363.56	307.69	151.22	414.87	273.37	1331.57	967.76	915.51	961.07	536.45	718.08	915.51	1044.52	830.75	743.43	941.27	1030.12	1008.9	1662.49	1051.79	1191.69	1322.37	1183.45	1191.69	974.5	1519.15	1044.52	1819.35	1477.58	890.44	1167.14	878.17	1286.18	1628.26	1096.5	808.0	909.17	1427.22	1119.56	934.76	1216.75	688.78	748.61	884.29	1015.93	915.51	1008.9	884.29	1572.76	507.46	1963.57	1183.45
SEMA5A	11.13	36.27	36.79	60.82	30.12	24.81	6.16	7.34	7.69	26.47	43.32	71.0	74.58	33.78	49.91	67.12	27.05	19.97	25.72	27.05	40.07	27.05	169.07	73.03	131.51	9.56	46.18	9.34	20.71	11.73	45.85	31.0	36.01	125.24	136.19	102.97	21.01	26.47	31.0	49.21	67.59	31.9	23.93	679.29	117.6	63.0	785.88	59.13	400.71	206.94	190.34	99.43	387.02	764.36	543.96	412.0	4419.52	961.07	229.72	1340.84	733.19	518.15	540.19	872.1	320.8	723.08	1015.93	318.57	363.56	198.47	529.06	563.18	271.48	189.02	351.14	371.22	127.0	246.28	314.17	764.36	363.56	514.56	297.17	293.07	124.37	466.88	738.29	141.02	493.56	1963.57
SEPT10	269.6	275.28	1008.9	403.5	934.76	583.07	620.67	366.09	202.66	224.97	447.82	607.87	647.07	540.19	583.07	543.96	1191.69	934.76	497.0	974.5	1208.34	698.41	647.07	656.11	567.1	273.37	511.0	967.76	389.72	220.32	591.22	896.64	426.57	466.88	356.05	438.59	435.55	954.43	285.03	571.05	836.53	493.56	281.09	2032.85	1151.06	743.43	2018.8	1519.15	1295.13	1143.1	1331.57	1143.1	1159.07	1477.58	1304.15	1447.15	5219.6	1709.26	1963.57	3060.45	2875.3	1175.27	1286.18	2417.67	1572.76	2645.74	2720.15	1561.89	1551.09	1467.37	2664.15	2555.58	1059.11	1745.2	1407.55	2148.82	1819.35	1844.76	1685.71	2816.11	2193.99	1457.23	2417.67	1127.35	1216.75	1437.15	2319.15	314.17	3168.41	2178.83
SH3BP5	157.68	339.14	209.84	208.38	426.57	444.72	249.73	115.97	75.11	197.09	271.48	173.85	351.14	249.73	297.17	246.28	426.57	409.15	563.18	759.08	543.96	559.28	733.19	301.33	271.48	161.02	201.25	255.0	373.81	503.95	241.19	185.11	81.71	775.05	285.03	414.87	151.22	417.77	183.82	376.41	733.19	490.14	303.44	3146.52	1769.57	884.29	2502.97	412.0	890.44	4210.15	1950.0	3982.99	660.68	866.07	915.51	1331.57	6381.92	5555.65	3257.52	3212.66	5041.77	1498.22	2032.85	2434.5	571.05	3060.45	1583.71	669.92	2816.11	3491.39	4836.35	1639.59	698.41	1870.53	1870.53	3665.02	1183.45	1015.93	4836.35	409.15	4181.07	1769.57	2303.12	2384.37	1081.39	3060.45	1697.45	1551.09	2591.27	2240.11
SLK	121.79	137.14	125.24	157.68	332.14	208.38	189.02	172.65	150.17	56.68	143.01	151.22	185.11	125.24	202.66	131.51	260.38	287.01	143.01	215.77	351.14	137.14	262.2	253.23	208.38	56.28	142.01	150.17	92.05	154.42	220.32	211.31	193.01	177.53	105.89	125.24	145.02	141.02	111.99	149.12	114.36	181.28	155.5	525.39	514.56	241.19	563.18	890.44	934.76	890.44	651.58	486.75	651.58	426.57	384.34	698.41	1073.91	961.07	616.37	660.68	633.73	395.18	607.87	728.11	633.73	587.13	723.08	967.76	884.29	493.56	575.03	665.29	579.04	441.64	669.92	660.68	426.57	753.83	532.74	1051.79	928.3	343.89	591.22	529.06	476.71	457.25	660.68	246.28	633.73	579.04
SMAD7	123.5	211.31	54.33	171.45	295.11	187.71	228.13	104.42	46.84	104.42	316.37	208.38	215.77	208.38	193.01	96.68	92.7	229.72	106.63	80.57	84.04	96.68	718.08	180.02	220.32	111.21	102.97	69.03	239.52	84.04	143.01	63.89	151.22	660.68	392.44	275.28	204.07	97.36	206.94	262.2	175.07	88.88	253.23	813.63	660.68	638.15	1242.34	1059.11	624.99	638.15	1127.35	336.79	651.58	473.41	583.07	575.03	2451.44	291.04	674.59	1794.29	1304.15	872.1	1008.9	624.99	921.88	1216.75	902.89	525.39	607.87	1977.24	2417.67	1617.0	620.67	848.22	825.0	1008.9	878.17	825.0	1639.59	813.63	2255.7	579.04	4066.71	1605.83	547.75	1950.0	353.59	1183.45	909.17	271.48
SOGA3	1.35	0.43	0.45	1.33	0.44	5.68	0.44	2.76	0.42	0.47	0.44	4.21	0.0	0.0	1.43	0.0	0.0	3.69	1.28	4.21	0.59	0.0	12.18	4.7	0.0	0.0	0.0	0.0	1.1	0.55	0.0	0.0	0.52	0.0	2.61	8.32	0.0	0.0	0.0	0.0	3.14	1.19	1.2	65.26	31.67	21.63	41.22	22.59	52.08	46.5	100.83	14.35	28.65	26.67	17.38	13.52	77.79	36.27	25.72	63.89	37.85	16.15	53.95	21.16	5.11	13.62	38.67	5.82	20.11	14.24	41.22	19.11	15.34	34.51	21.63	99.43	27.05	20.26	21.01	25.72	29.06	38.4	48.52	16.88	46.84	58.3	24.99	21.32	16.51	28.65
SOS2	82.29	90.14	110.43	89.51	214.27	102.97	165.57	96.68	163.28	63.45	98.73	133.36	170.25	111.21	159.9	107.38	137.14	167.9	98.04	181.28	228.13	98.04	197.09	139.07	201.25	91.41	78.89	158.79	71.5	83.45	180.02	171.45	122.64	140.04	84.63	129.69	75.64	208.38	67.12	214.27	92.05	156.59	97.36	271.48	277.2	226.54	444.72	275.28	376.41	400.71	387.02	262.2	218.79	307.69	256.78	218.79	500.46	647.07	218.79	603.67	555.41	361.04	389.72	693.58	698.41	616.37	497.0	332.14	293.07	327.56	426.57	329.84	264.03	283.05	329.84	406.31	234.57	351.14	406.31	253.23	366.09	320.8	363.56	237.86	234.57	353.59	511.0	295.11	928.3	301.33
SOSTDC1	0.97	15.68	4.31	4.54	1.3	0.56	0.91	0.0	0.48	0.0	0.42	0.0	0.0	1.93	2.16	0.99	0.0	0.0	0.0	2.34	2.78	0.0	1.55	0.0	0.0	0.0	0.0	4.86	2.14	0.77	0.0	0.0	0.0	2.05	3.17	2.25	0.0	0.0	0.0	0.69	2.1	0.0	0.0	42.71	42.41	0.0	11424.74	8.71	1378.57	74.58	384.34	3124.78	1322.37	239.52	6.16	343.89	15499.21	1977.24	181.28	28525.2	260.38	656.11	1331.57	1127.35	718.08	15180.22	4639.29	134.3	4512.4	180.02	320.8	457.25	591.22	26.67	4419.52	4268.94	88.26	173.85	444.72	140.04	656.11	3.56	6426.31	6.67	185.11	10883.59	409.15	17.25	3847.29	1674.06
SOX13	248.0	341.51	195.72	616.37	1001.93	518.15	728.11	684.02	480.04	279.14	251.48	412.0	339.14	232.94	323.03	348.71	301.33	299.25	237.86	208.38	127.89	169.07	406.31	339.14	336.79	265.87	231.32	121.79	193.01	206.94	249.73	412.0	514.56	258.57	241.19	275.28	341.51	205.5	587.13	327.56	115.16	289.02	180.02	684.02	915.51	226.54	547.75	191.67	1199.98	500.46	693.58	842.36	1159.07	507.46	460.44	941.27	688.78	1781.89	2224.63	1030.12	1001.93	366.09	346.29	1030.12	733.19	1963.57	1540.37	1529.73	1350.18	728.11	1143.1	2485.67	1183.45	480.04	2400.97	1135.2	511.0	708.18	1350.18	1233.75	603.67	148.09	995.0	723.08	764.36	848.22	813.63	878.17	902.89	1208.34
SSFA2	669.92	518.15	780.44	967.76	1950.0	684.02	3419.52	638.15	503.95	607.87	842.36	1096.5	1208.34	802.41	1417.35	954.43	1233.75	629.35	1331.57	961.07	2417.67	785.88	988.12	1896.65	1159.07	651.58	1030.12	518.15	595.34	1059.11	1159.07	1498.22	1127.35	1225.22	941.27	947.83	1051.79	1407.55	884.29	1208.34	620.67	836.53	575.03	2061.24	3060.45	507.46	1617.0	2351.53	4903.87	2319.15	2777.33	2271.4	2400.97	1340.84	1378.57	1950.0	3103.19	5076.84	1991.0	2209.26	1369.04	1322.37	1896.65	2148.82	2303.12	2555.58	1583.71	2520.38	1936.53	1417.35	2573.36	2520.38	1427.22	1322.37	3168.41	2367.9	1709.26	3419.52	2271.4	3257.52	2835.7	1977.24	2018.8	1583.71	1572.76	1628.26	1757.34	728.11	2032.85	1781.89
STAG2	187.71	256.78	346.29	212.78	463.65	255.0	420.68	532.74	183.82	94.67	209.84	277.2	361.04	199.85	368.65	256.78	301.33	403.5	273.37	381.68	493.56	264.03	587.13	400.71	271.48	182.55	293.07	269.6	165.57	151.22	395.18	387.02	223.41	514.56	241.19	361.04	379.04	483.38	153.34	285.03	248.0	265.87	316.37	647.07	890.44	599.49	830.75	713.11	651.58	896.64	493.56	583.07	890.44	684.02	629.35	543.96	1111.82	813.63	921.88	796.86	1427.22	536.45	620.67	1216.75	759.08	830.75	738.29	902.89	1030.12	733.19	688.78	780.44	497.0	633.73	825.0	674.59	532.74	890.44	674.59	934.76	1143.1	379.04	947.83	599.49	567.1	555.41	819.3	435.55	1104.13	748.61
STARD9	14.89	9.93	2.92	14.78	18.16	34.02	9.06	15.8	12.27	2.46	12.64	10.88	12.18	4.9	14.56	7.06	4.43	9.27	14.45	11.04	4.24	7.22	47.84	19.39	11.21	7.34	6.94	1.66	6.26	4.46	8.78	5.19	12.64	22.43	10.31	15.56	3.69	13.42	8.25	7.22	12.09	5.06	7.46	101.54	124.37	41.22	351.14	135.24	119.26	137.14	145.02	151.22	287.01	66.65	109.66	106.63	361.04	172.65	171.45	432.53	483.38	124.37	75.11	183.82	384.34	237.86	239.52	384.34	684.02	143.01	297.17	193.01	157.68	91.41	642.59	175.07	109.66	244.57	159.9	236.21	172.65	41.22	320.8	161.02	142.01	173.85	149.12	89.51	166.73	182.55
STRN	47.84	46.5	38.4	62.56	80.01	55.1	136.19	59.55	43.63	29.06	66.65	82.29	78.89	49.21	91.41	57.89	90.77	68.07	40.07	77.79	82.87	59.13	116.78	106.63	90.14	29.7	68.55	45.53	35.25	35.76	66.18	69.52	70.01	94.01	57.49	73.03	70.01	48.18	50.63	50.63	113.56	57.08	75.64	141.02	251.48	158.79	217.27	141.02	139.07	277.2	190.34	141.02	215.77	186.4	176.29	152.28	318.57	432.53	186.4	285.03	353.59	136.19	183.82	353.59	273.37	277.2	185.11	195.72	202.66	161.02	176.29	246.28	132.44	166.73	193.01	204.07	130.6	277.2	193.01	185.11	218.79	151.22	244.57	212.78	171.45	185.11	217.27	87.65	320.8	155.5
SYNE2	878.17	435.55	269.6	366.09	389.72	896.64	1191.69	336.79	466.88	255.0	376.41	616.37	764.36	1073.91	438.59	244.57	854.13	988.12	387.02	629.35	555.41	303.44	836.53	438.59	403.5	1175.27	291.04	848.22	1096.5	536.45	1268.46	713.11	1250.98	571.05	215.77	551.56	748.61	738.29	463.65	785.88	890.44	343.89	2133.97	1685.71	2090.03	679.29	1950.0	1551.09	1594.73	1350.18	1151.06	1685.71	2384.37	785.88	728.11	447.82	2451.44	1857.6	1407.55	2537.92	1896.65	1143.1	1088.92	848.22	1359.57	2434.5	1322.37	1159.07	1909.85	1674.06	1769.57	2796.65	1259.69	1313.23	2682.69	1832.01	1378.57	1572.76	1457.23	2451.44	1295.13	579.04	4095.0	1437.15	2627.46	1340.84	688.78	1397.83	934.76	1628.26
TCF4	37.85	143.01	46.18	118.43	113.56	269.6	53.95	40.36	27.25	11.47	54.33	42.11	149.12	43.32	100.83	62.56	29.06	80.57	53.95	68.07	154.42	56.28	346.29	110.43	95.34	18.97	30.78	34.02	49.91	55.89	62.12	30.56	75.11	229.72	81.14	182.55	30.56	100.13	32.36	101.54	57.89	68.07	59.13	703.28	902.89	651.58	1268.46	1104.13	723.08	1051.79	400.71	830.75	808.0	872.1	1242.34	1030.12	2104.58	1159.07	1340.84	1096.5	1709.26	348.71	563.18	1617.0	718.08	947.83	1259.69	2224.63	2271.4	591.22	638.15	1286.18	890.44	791.35	1605.83	703.28	679.29	1340.84	1561.89	1923.14	1359.57	559.28	915.51	603.67	543.96	866.07	1216.75	325.29	1023.0	738.29
TEAD1	102.97	74.06	189.02	153.34	186.4	217.27	144.01	56.68	67.12	59.55	120.94	141.02	181.28	69.03	181.28	111.99	228.13	256.78	189.02	275.28	325.29	199.85	169.07	153.34	102.25	191.67	116.78	193.01	55.1	285.03	117.6	199.85	122.64	118.43	84.04	195.72	97.36	260.38	92.7	110.43	423.61	231.32	96.01	708.18	339.14	242.88	312.0	376.41	301.33	346.29	575.03	181.28	346.29	343.89	305.55	253.23	836.53	379.04	368.65	447.82	647.07	265.87	529.06	379.04	312.0	403.5	454.09	579.04	679.29	234.57	361.04	595.34	291.04	642.59	607.87	642.59	194.36	387.02	518.15	1073.91	713.11	343.89	529.06	400.71	371.22	248.0	343.89	127.0	423.61	172.65
TEK	22.26	78.34	60.82	71.0	47.5	178.77	24.81	15.56	5.23	45.85	53.19	55.1	91.41	47.5	105.15	71.0	33.3	155.5	106.63	299.25	232.94	172.65	131.51	228.13	43.32	56.28	21.78	37.05	98.73	70.51	137.14	87.03	39.22	215.77	34.75	116.78	17.9	206.94	98.73	220.32	84.63	120.1	67.12	785.88	791.35	76.17	1151.06	454.09	1498.22	733.19	764.36	1407.55	395.18	490.14	295.11	332.14	3847.29	620.67	890.44	1268.46	567.1	435.55	551.56	1159.07	497.0	1151.06	490.14	1159.07	1135.2	836.53	1233.75	1277.29	503.95	234.57	417.77	1388.16	884.29	934.76	2032.85	967.76	688.78	273.37	1674.06	603.67	141.02	1304.15	435.55	529.06	988.12	1540.37
TJP1	236.21	412.0	199.85	397.93	583.07	414.87	271.48	275.28	246.28	163.28	381.68	242.88	371.22	206.94	358.54	152.28	242.88	703.28	426.57	497.0	281.09	297.17	473.41	470.14	438.59	166.73	140.04	334.46	189.02	397.93	460.44	463.65	381.68	323.03	165.57	723.08	327.56	579.04	381.68	312.0	642.59	368.65	363.56	1457.23	995.0	373.81	2047.0	854.13	915.51	1127.35	1159.07	759.08	915.51	1143.1	748.61	780.44	3325.99	2104.58	1044.52	2537.92	2555.58	941.27	1001.93	1143.1	1963.57	1896.65	1199.98	1015.93	1369.04	1313.23	1662.49	1447.15	769.69	1081.39	1709.26	1662.49	532.74	1111.82	1350.18	934.76	915.51	656.11	1313.23	928.3	825.0	1208.34	947.83	688.78	890.44	872.1
TNR	0.0	0.0	0.0	0.0	4.21	0.29	0.0	0.0	0.89	3.17	1.87	8.19	32.13	0.42	1.23	9.2	13.62	0.0	2.41	1.2	1.31	0.0	5.5	6.62	2.32	2.14	3.23	0.0	0.0	1.23	1.3	3.56	0.0	5.41	1.0	2.18	1.69	0.0	1.89	8.58	0.0	1.2	0.0	2.68	4.5	5.23	16.27	2.68	38.12	2.66	5.36	3.82	24.28	3.92	4.62	6.94	76.17	31.45	8.65	11.91	6.21	2.63	10.55	12.45	3.92	19.97	5.06	7.0	12.0	20.11	27.84	9.56	14.45	7.63	14.35	10.79	3.26	10.24	12.93	6.06	12.09	15.34	18.43	9.13	5.92	13.93	9.48	3.2	6.46	4.43
TRAK1	149.12	183.82	134.3	172.65	339.14	231.32	90.77	143.01	186.4	217.27	182.55	172.65	212.78	152.28	204.07	153.34	153.34	182.55	151.22	134.3	115.97	152.28	220.32	117.6	137.14	151.22	173.85	115.16	96.01	318.57	105.89	151.22	161.02	132.44	198.47	153.34	105.15	128.79	164.42	133.36	140.04	126.12	103.69	612.11	483.38	379.04	665.29	314.17	497.0	599.49	507.46	486.75	1001.93	483.38	376.41	486.75	1111.82	536.45	493.56	1487.87	587.13	490.14	525.39	339.14	753.83	842.36	507.46	1388.16	1844.76	466.88	780.44	575.03	1111.82	366.09	708.18	532.74	423.61	995.0	703.28	1313.23	423.61	307.69	988.12	403.5	688.78	688.78	368.65	441.64	325.29	403.5
UBL3	289.02	248.0	540.19	234.57	555.41	303.44	397.93	258.57	193.01	260.38	314.17	547.75	423.61	379.04	432.53	529.06	579.04	497.0	392.44	457.25	1104.13	423.61	532.74	543.96	514.56	201.25	555.41	299.25	269.6	373.81	470.14	540.19	435.55	373.81	256.78	642.59	988.12	476.71	191.67	438.59	432.53	529.06	320.8	1467.37	1447.15	836.53	723.08	947.83	1359.57	603.67	819.3	435.55	830.75	642.59	733.19	447.82	2417.67	1883.54	878.17	1674.06	1001.93	738.29	1066.48	1242.34	1001.93	1857.6	669.92	679.29	860.08	368.65	1081.39	1572.76	500.46	426.57	660.68	1015.93	830.75	563.18	567.1	1001.93	819.3	336.79	890.44	353.59	1331.57	759.08	1936.53	376.41	1295.13	902.89
UTRN	85.82	104.42	107.38	198.47	381.68	307.69	599.49	150.17	127.0	53.95	108.9	125.24	271.48	95.34	249.73	144.01	76.17	253.23	141.02	220.32	320.8	195.72	339.14	381.68	198.47	92.7	108.9	447.82	178.77	103.69	224.97	89.51	115.97	118.43	197.09	279.14	41.22	403.5	116.78	132.44	111.21	260.38	397.93	2956.17	1015.93	514.56	2240.11	713.11	532.74	1551.09	1037.29	441.64	941.27	1175.27	1001.93	599.49	2875.3	1313.23	1963.57	2047.0	5112.16	1030.12	1519.15	1844.76	1127.35	1551.09	860.08	1066.48	1781.89	988.12	1322.37	1936.53	514.56	1639.59	836.53	1674.06	1051.79	825.0	1508.65	1135.2	1340.84	457.25	1781.89	836.53	785.88	748.61	2255.7	703.28	1651.0	941.27
UVRAG	117.6	139.07	98.04	144.01	139.07	143.01	159.9	212.78	118.43	87.03	162.14	145.02	164.42	98.04	177.53	105.15	137.14	170.25	163.28	132.44	138.1	143.01	151.22	132.44	231.32	118.43	120.94	81.14	108.9	90.77	157.68	89.51	140.04	194.36	121.79	110.43	98.73	108.9	167.9	115.16	81.71	156.59	176.29	348.71	265.87	320.8	723.08	206.94	194.36	518.15	241.19	283.05	346.29	316.37	256.78	559.28	941.27	518.15	460.44	483.38	490.14	267.73	204.07	1023.0	373.81	363.56	521.76	470.14	543.96	293.07	262.2	503.95	255.0	571.05	802.41	332.14	242.88	547.75	503.95	356.05	376.41	249.73	447.82	242.88	244.57	197.09	633.73	150.17	211.31	301.33
VEZF1	100.13	173.85	223.41	180.02	368.65	208.38	423.61	256.78	169.07	72.01	244.57	218.79	273.37	164.42	271.48	197.09	206.94	536.45	212.78	339.14	571.05	226.54	406.31	373.81	229.72	145.02	124.37	170.25	297.17	189.02	358.54	189.02	299.25	205.5	193.01	543.96	277.2	177.53	133.36	234.57	175.07	171.45	312.0	1015.93	723.08	366.09	915.51	1175.27	651.58	934.76	769.69	473.41	679.29	780.44	551.56	551.56	1369.04	1233.75	1008.9	1183.45	1199.98	764.36	1119.56	1104.13	1225.22	974.5	796.86	743.43	1096.5	616.37	909.17	974.5	651.58	947.83	813.63	1119.56	708.18	813.63	981.29	1167.14	1268.46	414.87	1167.14	447.82	616.37	954.43	921.88	559.28	872.1	493.56
WWC2	120.1	63.0	190.34	138.1	211.31	173.85	108.9	107.38	157.68	60.39	190.34	220.32	299.25	155.5	204.07	181.28	253.23	217.27	166.73	211.31	429.54	358.54	165.57	348.71	144.01	159.9	116.78	193.01	85.82	262.2	318.57	400.71	218.79	153.34	120.1	429.54	141.02	351.14	62.56	283.05	93.35	339.14	295.11	1628.26	305.55	145.02	785.88	551.56	1088.92	896.64	1447.15	366.09	753.83	559.28	441.64	336.79	2417.67	2351.53	329.84	1059.11	1096.5	616.37	1519.15	363.56	647.07	791.35	389.72	277.2	444.72	518.15	1119.56	713.11	204.07	1001.93	796.86	1340.84	490.14	599.49	733.19	854.13	1001.93	336.79	1059.11	371.22	480.04	836.53	507.46	267.73	493.56	277.2
