	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
TMEM232	58.71	19.97	7.57	1.3	2.51	4.39	12.64	7.88	3.35	8.99	15.11	8.32	20.56	10.88	30.78	55.89	135.24	14.78	115.16	18.03	62.12	60.39	49.91	58.3	96.01	33.06	26.47	62.56	121.79	31.67	114.36	72.01	76.71	96.01	48.52	63.45	135.24	73.54	146.03	74.06	63.45	63.89	60.39	29.48	63.0	21.01	77.79	70.51	114.36	164.42	40.36	34.75	61.68	128.79	121.79	67.59	123.5	135.24	130.6	46.18	137.14	59.97	42.41	102.25	55.49	25.72	93.35	87.03	101.54	77.79	60.82	78.34	30.78	26.47	66.18	57.89	140.04	54.72	5.11	37.32	4.03	66.18	57.08	62.12	84.04	32.82	116.78	101.54	48.87	131.51	92.7	49.56	122.64	65.72	69.52	6.11	71.0	48.87	49.91	40.07	38.95	129.69	58.71	24.46	39.5	90.14	48.18	57.08	109.66	0.0	0.0	3.47	10.79	8.85	11.64	15.8	8.51	11.91	2.94	9.06	6.89	0.62	3.72	10.47	5.63	13.83	281.09
TNFSF12	915.51	2193.99	214.27	189.02	343.89	218.79	785.88	125.24	198.47	660.68	353.59	138.1	1096.5	429.54	387.02	1208.34	1685.71	1183.45	1096.5	674.59	1104.13	2956.17	2018.8	4038.61	825.0	1540.37	909.17	848.22	1819.35	1806.78	2537.92	1551.09	2434.5	2193.99	1331.57	251.48	1909.85	1685.71	2061.24	2104.58	4066.71	281.09	1733.13	242.88	2367.9	1794.29	1001.93	2104.58	2720.15	2591.27	1417.35	2047.0	1191.69	1477.58	1268.46	2367.9	1769.57	825.0	2032.85	1757.34	2240.11	2835.7	1467.37	2739.08	1447.15	1340.84	1781.89	3257.52	1832.01	2178.83	1551.09	974.5	1183.45	1628.26	1883.54	2119.22	1225.22	2119.22	2178.83	518.15	1378.57	1437.15	1487.87	1313.23	4010.71	2163.77	1896.65	2468.49	1651.0	2119.22	2255.7	1551.09	2271.4	1709.26	1857.6	1044.52	2664.15	1781.89	1388.16	1135.2	1030.12	1369.04	2485.67	1883.54	1769.57	1923.14	1359.57	1073.91	2976.74	0.0	0.67	242.88	376.41	642.59	995.0	713.11	379.04	208.38	860.08	208.38	674.59	866.07	567.1	2004.85	172.65	656.11	819.3
TNFSF13	241.19	201.25	406.31	214.27	312.0	450.94	423.61	90.77	244.57	638.15	198.47	144.01	1832.01	872.1	1259.69	3768.09	4575.41	974.5	3690.52	466.88	4639.29	5711.87	4512.4	6471.02	503.95	3982.99	1923.14	2777.33	6337.83	3820.7	7642.41	4038.61	7230.1	3146.52	4358.66	316.37	5219.6	6381.92	4802.93	6471.02	5183.54	258.57	7537.18	236.21	5633.22	4152.18	2178.83	7749.1	7803.01	6516.03	2915.45	5954.47	3280.18	3039.3	4181.07	2816.11	8479.89	796.86	4152.18	4769.75	5183.54	7032.37	4123.49	7537.18	2434.5	1757.34	4095.0	6887.62	4010.71	4181.07	4512.4	2018.8	1639.59	5219.6	3665.02	3349.13	4937.99	3768.09	2319.15	1259.69	825.0	3212.66	1135.2	3018.3	6699.25	5711.87	5594.3	4268.94	4543.8	4769.75	5292.48	3665.02	6983.79	4481.23	2895.31	1233.75	6516.03	3303.0	2875.3	2555.58	1950.0	1977.24	5292.48	6079.61	3168.41	3372.43	1819.35	3467.27	5831.91	0.0	0.37	141.02	129.69	312.0	540.19	253.23	2224.63	1167.14	323.03	2400.97	3665.02	1819.35	1896.65	718.08	738.29	466.88	1350.18
TRO	111.99	211.31	53.19	52.82	22.92	18.16	93.35	6.89	15.8	113.56	72.01	30.78	91.41	7.06	17.13	69.52	232.94	125.24	183.82	136.19	33.3	423.61	201.25	186.4	629.35	299.25	97.36	18.84	463.65	171.45	325.29	256.78	182.55	785.88	555.41	29.48	271.48	299.25	260.38	476.71	1359.57	6.16	463.65	17.64	173.85	90.77	253.23	624.99	101.54	177.53	348.71	205.5	31.0	285.03	212.78	221.86	281.09	134.3	591.22	339.14	237.86	323.03	351.14	289.02	104.42	171.45	142.01	309.83	540.19	7.0	281.09	88.26	348.71	267.73	780.44	267.73	303.44	189.02	37.59	32.82	629.35	106.63	90.77	412.0	279.14	312.0	191.67	116.78	148.09	361.04	470.14	246.28	571.05	417.77	688.78	105.89	417.77	136.19	281.09	255.0	75.11	351.14	260.38	316.37	39.5	848.22	106.63	197.09	457.25	0.0	0.78	142.01	122.64	241.19	346.29	171.45	43.94	11.64	77.25	11.55	96.01	51.35	17.13	164.42	21.78	69.52	954.43
TRPC1	36.01	80.01	14.14	12.64	10.55	3.72	26.67	1.2	6.46	34.51	15.91	5.19	43.94	85.82	9.27	24.11	115.97	83.45	105.89	43.02	42.41	85.82	78.34	107.38	35.76	85.22	43.02	123.5	170.25	69.52	115.16	68.55	123.5	198.47	157.68	115.16	92.05	87.65	279.14	79.45	327.56	50.63	108.14	45.21	60.82	30.12	139.07	103.69	135.24	54.33	97.36	122.64	42.71	143.01	103.69	113.56	131.51	106.63	161.02	109.66	118.43	307.69	112.77	248.0	64.8	32.59	70.51	132.44	96.01	5.45	123.5	96.01	103.69	73.54	195.72	156.59	144.01	114.36	9.27	44.57	88.26	68.07	43.32	147.06	59.97	74.06	119.26	199.85	127.89	201.25	70.51	67.12	190.34	135.24	161.02	71.5	161.02	140.04	66.65	119.26	33.3	128.79	75.11	75.64	35.76	228.13	75.64	68.55	172.65	0.0	0.47	49.21	27.25	35.5	59.97	103.69	11.3	4.43	25.35	3.47	18.7	9.56	3.32	47.17	7.4	31.22	175.07
TSGA10	171.45	165.57	42.71	34.26	11.04	17.77	53.95	21.32	38.95	27.05	60.82	62.12	102.97	108.9	79.45	109.66	137.14	115.16	341.51	68.07	267.73	204.07	169.07	197.09	395.18	403.5	97.36	144.01	205.5	124.37	301.33	204.07	172.65	194.36	143.01	234.57	262.2	223.41	271.48	246.28	503.95	206.94	305.55	63.89	165.57	87.03	208.38	265.87	138.1	190.34	277.2	229.72	65.26	137.14	175.07	220.32	239.52	193.01	197.09	95.34	176.29	295.11	183.82	253.23	281.09	144.01	164.42	208.38	223.41	199.85	139.07	163.28	249.73	142.01	214.27	87.65	260.38	151.22	131.51	138.1	74.06	159.9	163.28	166.73	172.65	187.71	155.5	169.07	171.45	236.21	178.77	166.73	226.54	251.48	198.47	66.65	312.0	303.44	106.63	159.9	293.07	115.97	205.5	202.66	318.57	285.03	54.33	189.02	241.19	0.0	0.0	100.83	108.14	74.58	37.05	137.14	92.7	105.15	158.79	35.76	75.64	98.04	63.0	94.01	177.53	87.65	409.15
TSNAXIP1	34.51	23.59	5.73	3.17	7.4	2.71	6.21	1.06	1.38	9.78	3.38	3.82	6.57	4.5	9.13	53.19	81.71	25.91	128.79	6.26	72.52	175.07	53.19	166.73	100.83	241.19	29.27	102.97	275.28	55.49	255.0	105.15	70.51	450.94	358.54	23.76	293.07	167.9	162.14	366.09	500.46	35.5	242.88	39.22	149.12	72.01	96.01	139.07	135.24	67.59	91.41	167.9	28.45	264.03	158.79	71.5	159.9	16.39	218.79	92.05	249.73	265.87	173.85	236.21	21.01	25.91	77.25	325.29	99.43	78.34	142.01	32.13	19.53	33.78	457.25	80.01	267.73	135.24	18.16	15.11	21.63	73.03	37.59	125.24	224.97	70.51	103.69	108.14	111.99	171.45	285.03	85.82	215.77	389.72	237.86	10.88	283.05	287.01	19.82	44.89	29.48	76.17	88.26	127.89	69.52	490.14	38.95	59.13	244.57	0.0	0.06	3.86	39.79	15.34	15.34	18.29	12.45	4.35	8.65	3.99	10.79	5.41	7.63	29.06	9.78	4.74	102.97
TTC12	142.01	142.01	73.03	135.24	119.26	120.94	135.24	139.07	113.56	141.02	87.03	183.82	182.55	95.34	100.83	244.57	325.29	167.9	525.39	194.36	423.61	373.81	126.12	224.97	392.44	329.84	157.68	109.66	603.67	343.89	293.07	351.14	291.04	295.11	283.05	320.8	400.71	334.46	389.72	567.1	417.77	275.28	281.09	100.83	249.73	242.88	267.73	251.48	287.01	307.69	146.03	232.94	172.65	406.31	297.17	409.15	403.5	334.46	450.94	281.09	438.59	303.44	301.33	273.37	255.0	164.42	301.33	334.46	351.14	325.29	293.07	204.07	299.25	94.67	470.14	170.25	426.57	267.73	77.79	271.48	71.0	305.55	211.31	190.34	285.03	265.87	271.48	289.02	249.73	409.15	299.25	371.22	470.14	466.88	256.78	77.79	368.65	275.28	116.78	114.36	239.52	329.84	251.48	237.86	251.48	234.57	248.0	154.42	480.04	0.0	0.19	220.32	109.66	241.19	91.41	124.37	63.89	260.38	255.0	112.77	189.02	125.24	48.87	124.37	309.83	14.67	638.15
TTC18	33.54	73.03	2.81	2.23	4.62	7.06	2.73	10.55	1.62	5.45	11.38	10.08	7.46	4.98	26.28	63.45	48.87	48.52	151.22	14.78	60.39	177.53	105.15	183.82	239.52	205.5	32.13	74.58	327.56	107.38	463.65	204.07	48.87	323.03	476.71	23.76	305.55	239.52	55.1	214.27	693.58	54.33	159.9	46.5	58.3	45.53	116.78	149.12	47.17	44.57	98.04	246.28	16.63	140.04	198.47	63.45	148.09	42.11	236.21	73.54	123.5	438.59	289.02	665.29	40.36	27.64	96.01	595.34	48.52	25.17	78.89	42.41	60.82	42.41	470.14	120.94	155.5	175.07	9.85	34.02	17.77	149.12	22.1	189.02	29.7	59.97	85.22	69.03	83.45	353.59	343.89	61.25	145.02	239.52	215.77	20.41	289.02	260.38	23.59	45.21	129.69	21.32	204.07	237.86	17.64	620.67	43.02	53.19	343.89	0.0	0.22	5.82	14.03	5.15	8.32	18.29	8.06	22.59	18.29	3.17	14.56	3.66	8.19	7.22	13.72	7.69	547.75
TTC21A	53.95	79.45	20.71	11.04	19.97	30.12	34.51	8.38	10.16	7.69	14.89	17.25	31.0	35.25	33.06	46.5	110.43	46.5	197.09	23.76	59.97	226.54	111.21	323.03	55.49	231.32	54.72	65.72	327.56	104.42	339.14	138.1	162.14	473.41	334.46	57.89	299.25	141.02	90.77	301.33	624.99	90.14	239.52	75.11	129.69	80.01	101.54	232.94	91.41	59.97	146.03	332.14	59.13	107.38	211.31	57.89	82.29	37.32	307.69	114.36	127.0	400.71	314.17	429.54	43.32	78.34	82.29	312.0	100.83	50.98	264.03	117.6	50.98	114.36	400.71	90.14	182.55	126.12	41.22	67.12	34.02	126.12	52.45	221.86	133.36	88.26	167.9	100.83	97.36	258.57	264.03	155.5	325.29	301.33	232.94	45.85	356.05	343.89	48.18	124.37	31.22	35.76	148.09	212.78	52.82	642.59	55.89	162.14	208.38	0.0	0.43	16.75	46.84	37.05	55.1	47.84	37.85	77.79	38.4	45.21	77.25	17.0	46.5	38.67	57.89	72.52	248.0
TTC26	76.17	55.89	56.68	47.5	39.22	38.4	63.45	76.71	64.34	93.35	35.25	50.98	34.75	39.5	43.02	85.82	224.97	171.45	166.73	139.07	176.29	132.44	208.38	178.77	167.9	181.28	87.65	115.16	287.01	143.01	241.19	180.02	142.01	226.54	197.09	109.66	275.28	142.01	211.31	215.77	242.88	66.18	327.56	100.13	258.57	198.47	98.04	260.38	265.87	314.17	221.86	148.09	111.21	165.57	209.84	136.19	236.21	195.72	299.25	265.87	616.37	170.25	154.42	147.06	209.84	139.07	336.79	283.05	198.47	64.34	403.5	186.4	138.1	211.31	173.85	86.43	173.85	115.97	59.13	102.25	221.86	148.09	170.25	181.28	112.77	129.69	221.86	348.71	363.56	211.31	307.69	165.57	244.57	232.94	181.28	122.64	244.57	242.88	185.11	190.34	83.45	209.84	246.28	255.0	76.71	215.77	110.43	165.57	281.09	88.26	77.79	73.03	48.87	57.08	47.84	40.36	82.87	85.22	164.42	169.07	94.01	55.49	76.71	53.19	115.97	15.45	122.64
TTC40	3.03	2.25	1.77	5.06	0.31	0.0	20.71	2.36	3.41	5.19	92.7	28.45	80.01	47.84	115.16	99.43	87.03	45.21	67.59	11.38	74.58	73.54	25.91	101.54	50.98	112.77	37.05	25.54	151.22	78.34	169.07	80.01	63.45	107.38	110.43	63.45	119.26	142.01	103.69	177.53	118.43	26.86	53.19	10.08	77.25	35.25	129.69	64.34	85.22	92.7	44.57	59.55	62.12	178.77	106.63	78.89	127.89	87.03	100.83	81.71	146.03	66.18	70.01	104.42	62.12	48.87	69.52	131.51	78.34	178.77	64.8	27.44	49.91	34.02	98.04	76.71	180.02	64.34	30.78	41.22	7.22	65.72	132.44	31.45	178.77	88.88	86.43	125.24	65.26	147.06	121.79	123.5	99.43	154.42	63.45	26.47	70.01	58.71	65.26	77.25	87.65	23.93	88.88	35.76	108.9	100.13	80.01	52.82	133.36	0.0	0.0	1.45	143.01	170.25	66.65	543.96	4.86	26.67	5.32	19.68	0.99	8.32	5.87	15.22	1.31	5.28	218.79
TUBG2	251.48	450.94	221.86	104.42	94.67	314.17	163.28	127.0	170.25	218.79	123.5	78.34	267.73	420.68	269.6	493.56	420.68	281.09	351.14	521.76	500.46	633.73	591.22	438.59	371.22	476.71	967.76	293.07	688.78	387.02	785.88	406.31	426.57	866.07	612.11	389.72	647.07	543.96	503.95	536.45	1304.15	343.89	651.58	995.0	387.02	463.65	389.72	438.59	346.29	379.04	909.17	507.46	307.69	878.17	441.64	854.13	511.0	327.56	842.36	656.11	620.67	878.17	551.56	748.61	595.34	518.15	759.08	860.08	483.38	307.69	791.35	470.14	603.67	511.0	878.17	435.55	343.89	371.22	228.13	277.2	444.72	738.29	303.44	470.14	371.22	555.41	400.71	447.82	713.11	738.29	567.1	525.39	620.67	808.0	796.86	373.81	444.72	460.44	603.67	312.0	563.18	376.41	669.92	543.96	525.39	665.29	698.41	483.38	616.37	0.0	0.51	346.29	194.36	232.94	220.32	209.84	166.73	58.3	366.09	149.12	217.27	162.14	249.73	423.61	228.13	118.43	836.53
WDR19	454.09	373.81	81.71	68.07	61.68	148.09	193.01	74.58	91.41	131.51	58.3	60.82	159.9	80.57	113.56	283.05	473.41	457.25	665.29	258.57	486.75	748.61	363.56	559.28	624.99	915.51	231.32	420.68	1199.98	723.08	1183.45	642.59	457.25	878.17	412.0	466.88	808.0	708.18	389.72	665.29	1277.29	423.61	603.67	500.46	493.56	361.04	473.41	595.34	397.93	651.58	500.46	651.58	211.31	967.76	651.58	587.13	412.0	599.49	638.15	497.0	603.67	836.53	708.18	1023.0	432.53	301.33	500.46	1030.12	579.04	211.31	660.68	412.0	480.04	289.02	1015.93	624.99	753.83	759.08	226.54	368.65	246.28	642.59	409.15	703.28	567.1	351.14	616.37	536.45	595.34	1096.5	738.29	642.59	896.64	825.0	651.58	305.55	708.18	947.83	336.79	406.31	466.88	435.55	511.0	567.1	493.56	1135.2	387.02	587.13	902.89	0.0	0.74	153.34	143.01	242.88	211.31	110.43	159.9	115.97	255.0	186.4	237.86	145.02	140.04	318.57	76.17	138.1	941.27
WDR54	234.57	220.32	486.75	525.39	325.29	743.43	647.07	307.69	361.04	563.18	54.33	126.12	172.65	82.29	64.8	77.25	890.44	579.04	703.28	79.45	1417.35	1051.79	698.41	620.67	764.36	1733.13	423.61	148.09	872.1	312.0	1286.18	981.29	884.29	1674.06	1111.82	301.33	1104.13	1059.11	981.29	1277.29	1963.57	69.52	1378.57	551.56	1023.0	1378.57	947.83	1508.65	1250.98	890.44	1369.04	819.3	718.08	1769.57	854.13	1304.15	1151.06	540.19	1225.22	902.89	1268.46	1331.57	909.17	825.0	579.04	723.08	902.89	785.88	915.51	420.68	921.88	500.46	1051.79	1487.87	1135.2	830.75	866.07	825.0	361.04	376.41	329.84	819.3	575.03	796.86	743.43	830.75	599.49	1199.98	1066.48	921.88	928.3	633.73	759.08	1519.15	1088.92	341.51	1605.83	934.76	209.84	503.95	934.76	642.59	796.86	2148.82	395.18	1427.22	988.12	733.19	1159.07	0.0	0.23	607.87	193.01	215.77	205.5	124.37	616.37	217.27	450.94	480.04	414.87	234.57	497.0	633.73	281.09	65.72	543.96
WDR63	3.2	5.68	1.71	3.32	14.78	7.57	5.41	3.66	2.41	5.82	4.58	7.34	16.63	22.26	9.13	44.57	28.65	4.06	12.45	4.66	36.27	24.46	73.03	10.96	3.17	38.4	17.38	11.82	43.63	29.7	51.71	13.52	17.51	23.59	34.26	9.2	24.28	24.11	19.82	53.19	82.87	5.77	73.03	15.34	26.47	4.17	5.5	37.59	23.76	24.81	29.91	12.36	9.56	74.58	23.42	70.01	16.39	27.25	37.05	61.25	109.66	20.26	6.31	18.84	14.45	17.38	20.26	50.63	27.25	21.32	31.22	25.17	44.57	22.92	36.79	28.04	8.51	10.24	4.39	17.77	15.8	38.12	18.16	27.84	29.91	28.24	25.91	27.64	31.67	25.91	23.76	45.53	9.2	47.5	27.44	10.0	34.02	70.51	35.5	10.24	20.56	14.67	28.45	47.5	30.78	26.86	23.25	14.24	27.64	0.0	0.0	2.2	2.78	15.11	5.15	15.34	0.65	1.31	3.92	1.1	4.24	1.1	4.62	2.27	2.56	6.31	17.77
WDR78	21.32	27.25	11.3	10.16	6.62	5.23	74.06	10.88	2.36	17.9	9.56	8.92	30.78	7.69	17.25	35.5	123.5	85.22	72.52	19.25	124.37	87.65	109.66	189.02	134.3	111.21	60.82	134.3	258.57	86.43	218.79	169.07	92.7	123.5	172.65	39.5	156.59	118.43	96.68	202.66	232.94	65.26	176.29	149.12	71.5	125.24	48.87	92.7	137.14	131.51	91.41	113.56	142.01	158.79	191.67	87.65	143.01	194.36	176.29	98.04	208.38	89.51	178.77	193.01	133.36	58.71	165.57	149.12	88.88	66.18	129.69	123.5	82.87	90.77	214.27	64.8	151.22	108.14	17.9	98.73	7.17	135.24	154.42	128.79	185.11	47.84	176.29	164.42	144.01	161.02	246.28	87.65	152.28	183.82	95.34	91.41	175.07	218.79	61.25	96.68	81.14	56.68	138.1	124.37	76.71	169.07	53.95	123.5	164.42	0.0	0.0	14.03	18.29	14.45	44.57	82.29	31.9	70.51	29.7	20.26	11.55	3.41	6.06	56.28	22.43	6.46	185.11
WDR83	201.25	129.69	169.07	124.37	189.02	206.94	228.13	110.43	157.68	153.34	126.12	162.14	231.32	193.01	177.53	262.2	299.25	281.09	303.44	275.28	241.19	543.96	339.14	476.71	368.65	403.5	229.72	314.17	532.74	406.31	703.28	376.41	470.14	583.07	432.53	271.48	480.04	450.94	571.05	376.41	327.56	521.76	371.22	603.67	454.09	490.14	277.2	279.14	356.05	438.59	389.72	511.0	348.71	432.53	400.71	332.14	457.25	271.48	387.02	343.89	381.68	748.61	490.14	647.07	260.38	260.38	387.02	483.38	358.54	267.73	314.17	327.56	332.14	309.83	616.37	389.72	497.0	356.05	327.56	343.89	187.71	518.15	441.64	432.53	497.0	381.68	403.5	371.22	406.31	435.55	629.35	373.81	466.88	450.94	403.5	208.38	454.09	470.14	264.03	211.31	417.77	356.05	426.57	358.54	466.88	647.07	320.8	361.04	529.06	0.0	0.51	271.48	181.28	193.01	215.77	117.6	246.28	291.04	175.07	246.28	236.21	220.32	190.34	202.66	309.83	209.84	376.41
WDR91	139.07	186.4	447.82	332.14	819.3	353.59	353.59	417.77	514.56	381.68	229.72	507.46	177.53	139.07	579.04	1407.55	819.3	967.76	1066.48	825.0	802.41	1508.65	1059.11	1697.45	769.69	1427.22	587.13	669.92	2609.3	796.86	1427.22	1977.24	842.36	2090.03	1781.89	866.07	2319.15	819.3	2018.8	941.27	4419.52	325.29	2758.13	684.02	1572.76	896.64	1015.93	1819.35	967.76	1529.73	1259.69	1073.91	624.99	780.44	1697.45	802.41	1745.2	603.67	1745.2	1183.45	1583.71	2209.26	1529.73	3665.02	571.05	503.95	1104.13	3060.45	638.15	748.61	1417.35	723.08	361.04	1304.15	1883.54	748.61	1561.89	830.75	483.38	466.88	796.86	688.78	514.56	1487.87	1183.45	395.18	1498.22	2075.59	1583.71	1832.01	2855.44	934.76	2720.15	1088.92	1721.16	896.64	1540.37	954.43	1322.37	638.15	629.35	915.51	1745.2	1844.76	769.69	1407.55	860.08	642.59	2335.28	0.0	0.83	208.38	309.83	265.87	273.37	220.32	81.14	104.42	187.71	150.17	275.28	91.41	84.63	191.67	122.64	41.52	202.66
WDR93	14.89	13.22	1.95	0.55	0.97	0.48	1.39	0.55	0.0	1.5	0.0	0.0	0.77	0.99	3.66	6.06	39.79	10.47	61.25	6.73	80.57	39.5	26.47	57.49	35.76	80.01	30.12	0.0	64.8	27.84	78.89	28.04	32.82	63.45	46.84	9.27	47.5	32.13	16.03	75.11	104.42	18.97	68.55	30.34	43.63	31.67	16.15	31.45	40.07	39.22	29.48	36.01	20.41	63.0	63.45	24.11	50.63	13.12	59.97	29.91	80.57	27.64	52.82	74.06	12.45	9.48	41.52	59.55	52.08	13.32	57.08	26.67	13.52	37.05	81.71	22.26	30.78	0.67	3.72	15.8	7.17	23.08	20.26	44.25	58.3	34.02	48.18	37.59	43.63	56.68	88.88	32.36	59.55	50.27	24.46	1.48	59.97	63.0	5.68	16.88	8.78	34.75	32.36	49.91	30.12	89.51	10.47	18.7	63.45	0.0	0.0	2.1	0.0	1.48	2.25	0.38	9.63	3.66	4.43	9.56	4.94	2.05	2.43	1.73	6.16	4.03	71.5
