	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CH.5765.01A.11R.1580.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31
PKD2	54.33	115.97	231.32	59.97	49.91	107.38	34.51	100.13	152.28	54.33	101.54	78.34	178.77	70.01	226.54	61.68	41.22	85.22	66.65	79.45	148.09	146.03	67.12	75.11	84.63	92.05	65.72	195.72	138.1	58.3	88.88	195.72	53.19	115.97	119.26	96.68	113.56	59.97	108.14	31.22	71.5	158.79	57.89	71.0	48.52	171.45	88.88	100.83	76.17	18.97	73.54	69.03	32.36	83.45	158.79	260.38	371.22	521.76	341.51	521.76	480.04	483.38	325.29	189.02	287.01	215.77	118.43	400.71	189.02	423.61	285.03	312.0	599.49	198.47	400.71	275.28	236.21	500.46	480.04	371.22	258.57	343.89	279.14	214.27	336.79	129.69	209.84	218.79	132.44	387.02
PRPF4B	212.78	368.65	381.68	223.41	85.22	295.11	293.07	320.8	327.56	208.38	412.0	334.46	368.65	181.28	379.04	223.41	237.86	223.41	379.04	128.79	503.95	287.01	368.65	181.28	316.37	336.79	285.03	301.33	289.02	194.36	273.37	490.14	206.94	339.14	262.2	395.18	314.17	253.23	368.65	387.02	194.36	647.07	264.03	237.86	612.11	312.0	231.32	186.4	205.5	137.14	244.57	253.23	285.03	271.48	242.88	753.83	836.53	1030.12	713.11	764.36	830.75	836.53	665.29	819.3	974.5	540.19	521.76	825.0	583.07	872.1	669.92	759.08	796.86	1143.1	974.5	808.0	802.41	819.3	909.17	775.05	547.75	490.14	733.19	612.11	620.67	587.13	684.02	738.29	395.18	909.17
PRRT3	4.7	7.51	8.25	3.53	5.96	9.56	6.21	5.23	10.96	6.73	6.46	9.34	13.93	4.28	8.58	5.92	5.59	9.93	5.45	9.85	2.89	4.39	6.36	3.96	1.83	8.32	11.13	5.87	4.86	5.59	4.7	12.64	4.9	11.55	12.45	6.52	3.59	2.81	5.73	5.41	11.64	29.7	1.51	0.85	5.87	6.21	7.06	4.43	6.52	4.5	6.84	3.26	10.47	9.13	5.59	191.67	473.41	195.72	204.07	279.14	237.86	234.57	155.5	155.5	151.22	269.6	81.14	693.58	115.16	199.85	130.6	224.97	107.38	90.77	198.47	101.54	98.73	221.86	89.51	239.52	267.73	105.89	112.77	154.42	137.14	146.03	126.12	134.3	55.89	77.79
PUM1	339.14	426.57	500.46	244.57	228.13	368.65	293.07	387.02	507.46	289.02	361.04	381.68	463.65	275.28	318.57	299.25	334.46	287.01	567.1	277.2	591.22	351.14	346.29	251.48	493.56	242.88	262.2	591.22	223.41	336.79	217.27	529.06	334.46	224.97	429.54	414.87	368.65	540.19	346.29	277.2	371.22	511.0	255.0	457.25	450.94	358.54	314.17	262.2	318.57	285.03	389.72	305.55	281.09	389.72	389.72	1111.82	836.53	1605.83	1250.98	1295.13	1331.57	1540.37	802.41	934.76	1286.18	703.28	638.15	1936.53	599.49	1015.93	842.36	708.18	1088.92	1268.46	1242.34	872.1	733.19	1104.13	1583.71	934.76	718.08	759.08	775.05	974.5	1030.12	583.07	796.86	890.44	392.44	1304.15
QTRTD1	63.0	103.69	112.77	69.03	52.82	117.6	100.83	111.99	98.73	75.11	171.45	85.82	107.38	79.45	193.01	129.69	91.41	154.42	72.01	115.97	199.85	130.6	81.71	111.21	193.01	84.04	91.41	73.03	158.79	51.35	115.16	118.43	228.13	79.45	106.63	111.21	117.6	103.69	156.59	127.0	147.06	217.27	89.51	102.25	77.25	120.94	85.82	214.27	71.0	31.9	75.64	60.82	78.89	97.36	87.03	234.57	251.48	303.44	325.29	283.05	303.44	329.84	224.97	316.37	309.83	218.79	228.13	327.56	144.01	201.25	246.28	221.86	283.05	599.49	279.14	264.03	241.19	320.8	269.6	289.02	217.27	151.22	189.02	236.21	229.72	130.6	244.57	190.34	161.02	441.64
RALGAPB	97.36	133.36	156.59	69.52	63.45	94.01	100.13	111.99	141.02	87.65	176.29	105.15	152.28	55.89	187.71	104.42	108.9	108.9	162.14	73.03	185.11	126.12	141.02	99.43	166.73	144.01	115.97	104.42	149.12	76.71	93.35	161.02	120.1	100.13	87.65	135.24	111.99	84.63	186.4	100.13	118.43	199.85	76.71	80.57	139.07	85.82	149.12	138.1	84.04	37.32	153.34	137.14	116.78	101.54	73.54	514.56	583.07	660.68	603.67	713.11	728.11	684.02	497.0	450.94	769.69	532.74	376.41	579.04	486.75	500.46	466.88	514.56	679.29	595.34	738.29	463.65	603.67	583.07	836.53	483.38	665.29	389.72	395.18	587.13	575.03	400.71	470.14	579.04	293.07	1250.98
RBM12B	42.71	34.51	81.14	22.43	17.25	52.82	17.77	40.36	71.0	17.13	50.98	24.46	106.63	18.03	69.03	18.16	19.68	10.71	88.88	16.88	61.25	25.54	42.71	18.03	19.39	24.46	22.26	56.68	17.25	49.56	25.72	65.72	22.43	44.57	28.45	32.59	30.78	23.42	29.48	57.49	23.59	122.64	20.71	29.06	53.95	50.63	33.54	50.98	43.63	19.82	25.17	40.36	42.71	6.57	49.21	228.13	246.28	339.14	264.03	332.14	323.03	281.09	169.07	381.68	318.57	187.71	159.9	279.14	131.51	285.03	159.9	221.86	293.07	575.03	267.73	183.82	327.56	312.0	316.37	171.45	138.1	136.19	165.57	191.67	169.07	143.01	171.45	142.01	55.89	361.04
RBM48	92.7	106.63	134.3	97.36	54.72	114.36	83.45	119.26	126.12	85.22	101.54	115.97	139.07	102.97	98.73	87.65	57.08	73.54	156.59	66.65	116.78	96.68	151.22	60.82	100.13	106.63	127.0	98.04	69.52	154.42	128.79	129.69	77.25	106.63	131.51	69.52	90.77	97.36	119.26	70.01	65.72	187.71	93.35	120.1	141.02	89.51	124.37	71.0	127.89	56.28	103.69	167.9	95.34	177.53	120.1	271.48	218.79	249.73	303.44	255.0	244.57	208.38	195.72	226.54	242.88	143.01	169.07	366.09	151.22	253.23	178.77	182.55	262.2	246.28	251.48	197.09	236.21	246.28	241.19	253.23	152.28	166.73	236.21	273.37	217.27	199.85	178.77	169.07	211.31	220.32
RGS9BP	0.58	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.47	1.43	1.77	0.0	0.0	0.57	0.0	0.69	0.0	0.61	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	1.89	0.0	0.67	0.0	0.0	0.56	0.6	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	6.21	5.73	7.46	3.82	5.87	5.92	7.17	3.17	5.06	6.06	9.93	2.01	21.01	3.66	4.94	3.92	11.73	2.23	16.88	8.92	4.9	9.85	6.94	9.06	3.96	6.52	7.94	13.22	4.46	6.01	33.54	5.5	8.19	2.92	4.86
RLF	52.45	87.03	110.43	64.34	20.56	66.18	85.82	85.82	91.41	62.56	117.6	78.34	70.01	42.11	72.52	53.57	50.98	66.18	61.68	45.21	87.65	76.17	66.65	53.19	85.82	107.38	56.68	53.95	78.89	59.97	71.0	62.12	66.65	69.52	76.17	55.49	45.85	52.08	56.28	47.17	70.51	212.78	93.35	58.3	101.54	61.25	128.79	50.63	55.49	59.97	59.55	67.59	49.21	135.24	58.71	147.06	182.55	206.94	149.12	186.4	211.31	190.34	131.51	209.84	169.07	94.67	79.45	269.6	116.78	145.02	127.0	128.79	177.53	303.44	194.36	163.28	175.07	205.5	170.25	181.28	102.25	128.79	117.6	119.26	145.02	127.0	110.43	113.56	98.73	234.57
SCAF8	149.12	208.38	248.0	117.6	101.54	181.28	164.42	199.85	223.41	117.6	209.84	181.28	316.37	98.73	253.23	151.22	136.19	145.02	295.11	229.72	409.15	205.5	201.25	148.09	307.69	146.03	113.56	229.72	115.16	108.9	138.1	172.65	142.01	118.43	163.28	212.78	189.02	169.07	111.99	223.41	253.23	214.27	135.24	195.72	180.02	248.0	224.97	148.09	107.38	84.04	182.55	157.68	165.57	148.09	141.02	480.04	551.56	703.28	555.41	638.15	616.37	612.11	423.61	536.45	612.11	429.54	397.93	356.05	366.09	490.14	457.25	486.75	603.67	656.11	559.28	480.04	493.56	497.0	607.87	503.95	511.0	381.68	429.54	466.88	490.14	323.03	435.55	583.07	336.79	490.14
SETD2	195.72	293.07	341.51	183.82	60.82	220.32	205.5	248.0	314.17	181.28	303.44	204.07	356.05	130.6	205.5	224.97	273.37	187.71	231.32	180.02	444.72	236.21	265.87	256.78	303.44	287.01	182.55	318.57	187.71	161.02	241.19	295.11	214.27	223.41	303.44	277.2	226.54	262.2	255.0	171.45	283.05	307.69	239.52	305.55	373.81	327.56	193.01	172.65	166.73	165.57	271.48	260.38	320.8	318.57	220.32	647.07	638.15	796.86	587.13	633.73	595.34	665.29	463.65	514.56	529.06	466.88	400.71	718.08	400.71	490.14	379.04	525.39	718.08	688.78	669.92	450.94	483.38	780.44	723.08	620.67	432.53	392.44	500.46	500.46	603.67	343.89	395.18	447.82	351.14	616.37
SETD5	327.56	291.04	521.76	246.28	135.24	363.56	271.48	351.14	525.39	246.28	429.54	258.57	559.28	138.1	454.09	267.73	334.46	316.37	669.92	256.78	500.46	384.34	392.44	275.28	295.11	540.19	376.41	275.28	486.75	166.73	305.55	540.19	514.56	629.35	371.22	450.94	438.59	356.05	441.64	435.55	490.14	785.88	182.55	412.0	490.14	395.18	281.09	363.56	351.14	86.43	387.02	366.09	463.65	493.56	397.93	1096.5	1088.92	1519.15	1059.11	1159.07	848.22	1322.37	842.36	928.3	1015.93	802.41	607.87	2224.63	708.18	780.44	529.06	830.75	1088.92	1313.23	1030.12	842.36	866.07	1662.49	1159.07	1216.75	612.11	660.68	748.61	759.08	928.3	406.31	647.07	753.83	406.31	1950.0
SMARCC1	146.03	291.04	314.17	139.07	145.02	246.28	164.42	239.52	285.03	187.71	334.46	206.94	341.51	181.28	420.68	208.38	256.78	205.5	224.97	172.65	447.82	271.48	258.57	209.84	376.41	189.02	180.02	387.02	341.51	163.28	201.25	480.04	212.78	253.23	291.04	363.56	279.14	178.77	255.0	162.14	246.28	287.01	113.56	314.17	187.71	255.0	152.28	258.57	171.45	135.24	232.94	163.28	248.0	348.71	249.73	1331.57	1066.48	1508.65	1487.87	1268.46	1250.98	1572.76	808.0	1340.84	1104.13	1088.92	1167.14	1674.06	698.41	813.63	1216.75	928.3	1030.12	1721.16	1277.29	1111.82	1151.06	1059.11	1295.13	1286.18	954.43	909.17	651.58	967.76	1037.29	723.08	728.11	651.58	616.37	1111.82
SPECC1	22.75	16.03	52.82	14.78	16.15	29.48	18.43	22.59	59.13	25.72	14.03	28.65	130.6	25.91	234.57	11.82	312.0	3.66	25.17	22.92	9.56	11.82	13.32	27.05	20.26	9.7	12.93	40.07	13.83	9.85	75.64	23.08	14.67	4.31	25.54	194.36	1.07	17.64	16.75	23.59	5.32	186.4	52.82	12.45	16.88	24.28	441.64	5.11	5.92	9.27	33.06	21.32	28.45	39.22	19.11	248.0	293.07	358.54	450.94	376.41	381.68	273.37	466.88	426.57	295.11	540.19	356.05	2335.28	603.67	579.04	444.72	1359.57	665.29	540.19	543.96	309.83	368.65	532.74	392.44	651.58	497.0	435.55	536.45	447.82	397.93	518.15	183.82	323.03	470.14	339.14
STK4	83.45	129.69	148.09	82.29	61.68	121.79	100.13	126.12	152.28	80.01	177.53	119.26	195.72	83.45	177.53	83.45	114.36	103.69	139.07	51.35	129.69	170.25	113.56	107.38	115.97	121.79	82.29	128.79	106.63	100.13	130.6	175.07	112.77	84.63	162.14	125.24	90.77	105.89	106.63	70.01	161.02	361.04	95.34	105.15	103.69	100.13	141.02	118.43	81.71	85.22	102.25	116.78	98.73	87.03	105.15	162.14	214.27	264.03	305.55	277.2	285.03	246.28	151.22	279.14	249.73	142.01	151.22	289.02	102.97	202.66	201.25	191.67	289.02	463.65	273.37	198.47	178.77	303.44	249.73	172.65	183.82	190.34	167.9	224.97	177.53	98.73	133.36	157.68	102.97	713.11
STX3	53.19	119.26	100.13	63.89	89.51	94.01	277.2	120.1	122.64	88.88	244.57	99.43	236.21	143.01	279.14	78.89	159.9	163.28	73.54	88.88	112.77	153.34	94.01	195.72	106.63	147.06	52.82	88.26	170.25	83.45	275.28	244.57	137.14	149.12	56.68	218.79	90.77	100.83	131.51	195.72	141.02	1259.69	98.73	40.36	105.89	117.6	186.4	95.34	43.32	73.03	180.02	126.12	135.24	118.43	53.95	547.75	660.68	493.56	583.07	579.04	616.37	486.75	457.25	591.22	450.94	457.25	279.14	1059.11	583.07	480.04	473.41	679.29	483.38	819.3	575.03	397.93	507.46	674.59	511.0	551.56	532.74	358.54	454.09	397.93	334.46	540.19	438.59	460.44	629.35	1388.16
STXBP1	27.25	47.5	55.89	15.11	55.49	72.52	41.81	45.21	53.19	40.36	50.98	54.33	153.34	26.67	214.27	75.64	54.33	59.97	50.27	33.3	98.73	41.22	36.53	53.95	88.26	33.54	23.93	34.75	13.52	17.13	89.51	198.47	30.34	27.44	88.26	60.39	37.05	52.82	107.38	43.02	31.67	293.07	46.18	15.68	64.34	33.78	111.21	48.87	21.94	20.71	50.98	48.87	45.85	82.29	27.84	674.59	376.41	234.57	348.71	275.28	381.68	780.44	295.11	366.09	314.17	228.13	123.5	693.58	237.86	381.68	295.11	148.09	339.14	220.32	543.96	532.74	432.53	603.67	540.19	273.37	387.02	336.79	256.78	353.59	406.31	121.79	170.25	163.28	136.19	483.38
SUN1	454.09	540.19	693.58	435.55	708.18	612.11	688.78	698.41	698.41	483.38	587.13	444.72	775.05	379.04	529.06	490.14	470.14	476.71	738.29	599.49	395.18	423.61	470.14	579.04	412.0	813.63	389.72	532.74	660.68	473.41	301.33	551.56	595.34	532.74	457.25	854.13	466.88	420.68	476.71	607.87	620.67	575.03	353.59	591.22	713.11	684.02	633.73	507.46	351.14	403.5	567.1	497.0	536.45	551.56	397.93	1508.65	1617.0	2209.26	1781.89	1757.34	1583.71	1832.01	1295.13	1498.22	1498.22	1322.37	884.29	2255.7	1199.98	1662.49	909.17	1340.84	2209.26	2451.44	1540.37	1388.16	1745.2	2193.99	1870.53	1651.0	1119.56	1191.69	1369.04	1304.15	1369.04	941.27	1407.55	1529.73	769.69	1733.13
SUV420H1	260.38	356.05	412.0	232.94	111.99	309.83	297.17	392.44	323.03	204.07	356.05	269.6	301.33	239.52	316.37	295.11	241.19	241.19	297.17	293.07	579.04	327.56	307.69	229.72	647.07	138.1	236.21	316.37	177.53	128.79	121.79	358.54	295.11	152.28	191.67	316.37	242.88	166.73	241.19	229.72	363.56	366.09	215.77	258.57	400.71	323.03	343.89	277.2	253.23	124.37	197.09	244.57	267.73	146.03	161.02	884.29	775.05	860.08	878.17	1008.9	825.0	830.75	583.07	1208.34	934.76	507.46	514.56	2682.69	603.67	669.92	543.96	620.67	785.88	2351.53	884.29	753.83	642.59	848.22	848.22	688.78	665.29	490.14	753.83	785.88	769.69	733.19	656.11	684.02	842.36	769.69
TAOK1	62.12	117.6	137.14	48.18	28.65	76.71	79.45	101.54	115.97	59.97	155.5	82.29	109.66	69.03	166.73	111.99	73.03	80.57	105.89	71.0	194.36	104.42	153.34	54.72	281.09	58.71	54.33	92.7	94.67	71.5	45.85	128.79	65.72	64.34	111.21	120.94	91.41	75.64	78.34	105.15	124.37	151.22	66.18	54.72	76.17	127.0	92.7	81.14	49.91	46.18	65.26	81.71	80.57	82.87	70.01	332.14	438.59	397.93	341.51	356.05	547.75	358.54	180.02	327.56	392.44	218.79	153.34	265.87	145.02	285.03	251.48	299.25	497.0	493.56	441.64	229.72	312.0	432.53	420.68	332.14	220.32	204.07	211.31	236.21	260.38	127.0	224.97	264.03	129.69	248.0
TBL1XR1	214.27	343.89	368.65	211.31	128.79	303.44	234.57	283.05	346.29	229.72	420.68	279.14	309.83	189.02	356.05	262.2	199.85	281.09	470.14	211.31	429.54	226.54	368.65	242.88	567.1	279.14	198.47	277.2	295.11	220.32	223.41	486.75	303.44	138.1	343.89	265.87	260.38	215.77	351.14	226.54	206.94	237.86	209.84	289.02	395.18	293.07	297.17	166.73	255.0	226.54	339.14	271.48	208.38	291.04	138.1	457.25	1417.35	1340.84	1769.57	1143.1	1685.71	1127.35	842.36	1081.39	1674.06	1111.82	902.89	7130.55	1208.34	2555.58	872.1	2351.53	1322.37	1883.54	1498.22	928.3	836.53	1685.71	1295.13	1369.04	780.44	656.11	1044.52	1662.49	1175.27	607.87	567.1	974.5	974.5	1268.46
THRAP3	575.03	1015.93	1001.93	599.49	571.05	941.27	785.88	896.64	896.64	595.34	796.86	748.61	988.12	563.18	1151.06	587.13	684.02	748.61	947.83	603.67	1216.75	813.63	579.04	607.87	1037.29	1030.12	825.0	693.58	599.49	603.67	872.1	1286.18	796.86	713.11	909.17	981.29	848.22	688.78	713.11	493.56	1051.79	1216.75	529.06	934.76	1191.69	860.08	603.67	698.41	651.58	466.88	934.76	785.88	896.64	981.29	713.11	1923.14	2061.24	2682.69	2255.7	2720.15	2271.4	2485.67	1819.35	2047.0	2591.27	1697.45	1896.65	1870.53	1594.73	2178.83	1963.57	1427.22	2133.97	2335.28	2193.99	2119.22	1883.54	2976.74	2935.74	1745.2	1832.01	1498.22	1757.34	2119.22	2148.82	1551.09	1651.0	2075.59	1487.87	1417.35
TMEM248	848.22	1001.93	1135.2	764.36	728.11	896.64	802.41	825.0	896.64	728.11	1037.29	791.35	902.89	967.76	1378.57	1295.13	802.41	961.07	915.51	738.29	1191.69	1175.27	1008.9	753.83	1331.57	679.29	753.83	1175.27	1143.1	780.44	884.29	1242.34	995.0	813.63	1059.11	941.27	921.88	947.83	1051.79	679.29	1059.11	1350.18	718.08	974.5	1037.29	961.07	928.3	954.43	791.35	878.17	896.64	1143.1	934.76	1073.91	1242.34	1540.37	1561.89	1519.15	2018.8	2004.85	1806.78	1757.34	1508.65	1457.23	1674.06	1769.57	1388.16	2609.3	1340.84	1447.15	1508.65	1447.15	1605.83	1572.76	1651.0	1437.15	1662.49	1991.0	1639.59	2163.77	1427.22	1313.23	1369.04	1498.22	1685.71	1044.52	1427.22	1286.18	813.63	2935.74
TMPPE	4.28	9.63	9.34	2.68	3.56	4.98	7.11	8.25	8.58	2.39	10.47	3.89	12.83	7.34	10.16	7.34	5.73	4.24	13.42	10.88	10.0	9.7	9.63	5.02	8.65	7.75	7.0	13.62	4.39	4.66	2.07	17.0	12.64	10.31	8.99	10.96	9.7	7.75	3.32	8.38	13.52	37.32	1.83	7.34	1.73	11.55	4.31	10.79	7.06	4.31	16.51	2.18	8.65	2.81	6.11	17.9	23.59	29.91	22.59	24.81	18.7	21.32	10.47	18.97	22.75	11.82	17.25	42.41	14.14	28.65	12.83	14.67	27.64	43.32	17.51	23.93	18.43	24.11	25.17	25.54	8.65	13.83	8.78	17.0	17.0	6.36	18.56	15.45	20.86	55.1
UBP1	303.44	420.68	591.22	312.0	255.0	633.73	327.56	642.59	500.46	327.56	441.64	379.04	536.45	532.74	688.78	555.41	616.37	403.5	463.65	575.03	693.58	563.18	466.88	543.96	733.19	363.56	325.29	642.59	366.09	297.17	432.53	616.37	665.29	656.11	346.29	813.63	511.0	624.99	620.67	525.39	775.05	529.06	303.44	332.14	463.65	633.73	341.51	466.88	312.0	149.12	497.0	447.82	571.05	466.88	483.38	718.08	988.12	941.27	866.07	941.27	921.88	791.35	791.35	896.64	830.75	748.61	612.11	1359.57	551.56	921.88	753.83	633.73	988.12	1111.82	860.08	688.78	599.49	921.88	848.22	1051.79	583.07	775.05	854.13	703.28	866.07	521.76	769.69	884.29	728.11	1066.48
VHL	159.9	197.09	336.79	166.73	115.97	264.03	215.77	246.28	269.6	148.09	303.44	167.9	249.73	144.01	334.46	267.73	113.56	137.14	343.89	143.01	262.2	301.33	303.44	172.65	397.93	150.17	180.02	316.37	139.07	169.07	269.6	563.18	173.85	146.03	251.48	332.14	214.27	232.94	228.13	242.88	251.48	490.14	116.78	170.25	299.25	231.32	199.85	248.0	199.85	77.25	194.36	241.19	229.72	256.78	223.41	785.88	728.11	819.3	536.45	743.43	559.28	579.04	457.25	748.61	775.05	567.1	432.53	1583.71	483.38	483.38	318.57	497.0	708.18	1096.5	872.1	698.41	575.03	848.22	507.46	743.43	493.56	343.89	579.04	587.13	633.73	366.09	450.94	381.68	463.65	753.83
VPS41	131.51	441.64	332.14	141.02	201.25	251.48	231.32	327.56	454.09	234.57	363.56	289.02	400.71	309.83	363.56	295.11	305.55	423.61	429.54	265.87	429.54	197.09	426.57	215.77	214.27	239.52	135.24	339.14	138.1	161.02	275.28	334.46	206.94	417.77	579.04	273.37	409.15	279.14	262.2	59.13	185.11	316.37	253.23	351.14	242.88	412.0	289.02	366.09	161.02	137.14	387.02	273.37	325.29	232.94	486.75	878.17	813.63	928.3	1242.34	878.17	1023.0	909.17	607.87	743.43	878.17	575.03	567.1	1487.87	454.09	884.29	656.11	909.17	947.83	1111.82	1111.82	780.44	854.13	808.0	723.08	909.17	603.67	607.87	503.95	775.05	743.43	669.92	532.74	665.29	563.18	638.15
WBSCR17	3.14	7.94	3.14	0.68	4.06	12.83	2.07	6.73	9.56	6.21	5.41	7.46	21.16	0.65	55.49	3.23	13.12	6.11	2.71	1.41	11.55	4.13	5.32	7.69	0.95	1.2	0.84	1.68	1.48	1.6	10.31	26.86	7.88	0.0	7.0	8.25	4.46	11.21	1.46	0.82	1.85	15.56	4.98	0.57	1.38	0.71	6.62	2.03	3.35	1.73	3.17	4.03	8.19	2.53	1.17	256.78	281.09	159.9	684.02	241.19	387.02	299.25	441.64	248.0	334.46	679.29	607.87	1721.16	373.81	178.77	395.18	384.34	397.93	12.27	389.72	384.34	532.74	88.26	320.8	260.38	698.41	532.74	438.59	480.04	587.13	159.9	204.07	473.41	435.55	58.71
ZNF101	72.52	66.65	65.26	46.18	31.45	104.42	56.68	70.01	110.43	55.89	96.01	82.87	61.68	77.79	96.01	53.95	116.78	59.55	63.45	53.19	64.34	77.25	67.12	48.87	77.25	50.63	90.77	98.04	33.54	60.82	70.01	154.42	46.18	49.91	62.12	57.49	46.18	116.78	98.73	63.89	62.56	100.13	70.01	124.37	202.66	80.57	114.36	62.56	74.58	47.84	72.52	83.45	56.28	38.4	57.08	104.42	161.02	140.04	112.77	170.25	131.51	115.16	105.15	211.31	145.02	109.66	130.6	167.9	123.5	118.43	111.99	134.3	142.01	376.41	158.79	195.72	140.04	115.16	117.6	153.34	90.14	87.03	139.07	132.44	121.79	120.1	101.54	72.01	183.82	231.32
ZNF138	52.08	50.98	74.06	41.22	16.27	55.89	35.76	69.03	56.28	45.53	50.98	64.8	46.18	90.77	47.17	60.82	62.56	69.52	99.43	76.17	115.16	43.32	75.11	98.73	58.3	29.91	30.12	63.89	24.99	63.89	38.12	49.56	50.63	54.33	40.36	51.35	59.13	42.11	48.18	50.63	70.01	52.45	40.93	47.84	73.54	81.71	85.22	73.54	47.17	79.45	65.72	60.82	39.79	24.28	46.84	194.36	244.57	155.5	239.52	205.5	204.07	190.34	127.0	242.88	181.28	148.09	96.68	285.03	152.28	202.66	163.28	195.72	186.4	381.68	211.31	183.82	130.6	183.82	126.12	152.28	144.01	81.14	108.14	153.34	136.19	152.28	115.16	144.01	185.11	400.71
ZNF148	82.87	126.12	186.4	67.59	34.26	87.65	64.8	113.56	127.89	57.89	122.64	81.71	85.82	71.5	81.14	102.97	63.89	57.89	176.29	63.89	171.45	145.02	78.89	66.65	178.77	40.07	48.18	120.1	49.21	85.22	50.63	133.36	70.51	63.89	90.77	119.26	123.5	105.89	70.01	76.71	112.77	141.02	60.82	83.45	121.79	105.89	125.24	115.97	53.57	36.79	51.71	82.29	77.25	110.43	162.14	366.09	353.59	454.09	447.82	454.09	559.28	441.64	214.27	271.48	423.61	212.78	180.02	246.28	145.02	303.44	289.02	285.03	441.64	441.64	423.61	249.73	269.6	318.57	486.75	325.29	185.11	229.72	218.79	314.17	309.83	129.69	164.42	228.13	211.31	323.03
