	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
HECW2	2.63	31.22	11.21	13.62	7.06	14.67	4.43	31.9	40.93	9.27	31.45	19.11	13.72	22.92	21.78	6.84	28.24	15.56	4.58	10.55	19.97	7.57	12.36	15.91	39.5	14.24	19.82	29.7	12.83	2.43	7.63	15.22	3.86	78.34	19.68	25.54	66.18	25.17	18.16	10.24	23.25	28.04	40.36	76.71	68.07	107.38	21.78	56.28	71.0	417.77	57.89	88.26	291.04	166.73	69.52	173.85	94.01	205.5	78.89	195.72	231.32	72.52	189.02	312.0	20.71	234.57	185.11	39.5	336.79	119.26	371.22	295.11	91.41	297.17	316.37	110.43
HEG1	165.57	454.09	158.79	211.31	450.94	265.87	96.68	128.79	249.73	258.57	130.6	87.65	124.37	158.79	51.71	53.19	81.14	175.07	44.89	127.0	127.89	84.04	92.7	33.78	153.34	52.82	84.63	96.01	75.11	23.76	54.72	88.26	22.1	312.0	42.71	41.81	161.02	38.67	38.12	63.89	87.03	139.07	112.77	791.35	651.58	599.49	193.01	444.72	490.14	3146.52	785.88	2537.92	2061.24	988.12	1233.75	1304.15	490.14	665.29	543.96	1561.89	848.22	1191.69	2384.37	1119.56	236.21	1397.83	961.07	387.02	1806.78	995.0	3168.41	1467.37	848.22	212.78	1551.09	693.58
HEYL	59.55	358.54	28.04	83.45	265.87	50.27	46.18	273.37	229.72	81.14	223.41	23.93	32.36	59.97	35.5	25.35	80.57	75.64	21.63	40.36	193.01	39.22	162.14	49.91	248.0	39.79	118.43	59.55	87.03	49.56	43.02	67.12	35.25	450.94	5.82	85.82	36.27	35.76	40.07	19.11	79.45	84.63	10.47	343.89	397.93	299.25	194.36	244.57	232.94	567.1	457.25	283.05	353.59	638.15	660.68	373.81	543.96	299.25	896.64	147.06	529.06	426.57	323.03	454.09	262.2	414.87	258.57	262.2	866.07	273.37	529.06	293.07	244.57	387.02	432.53	221.86
HSPA12B	36.53	198.47	25.35	31.9	181.28	33.3	33.78	94.67	117.6	8.0	64.8	31.22	39.22	49.91	100.83	44.25	59.13	70.51	36.79	14.78	58.3	24.11	44.57	24.99	56.28	35.76	59.97	37.59	54.72	12.64	77.79	58.71	9.85	151.22	10.0	19.11	62.12	10.47	12.18	15.34	32.82	33.06	18.97	202.66	127.89	271.48	72.01	162.14	312.0	961.07	299.25	587.13	902.89	224.97	511.0	796.86	633.73	708.18	466.88	500.46	450.94	463.65	830.75	651.58	128.79	934.76	567.1	536.45	674.59	575.03	1508.65	281.09	320.8	178.77	866.07	181.28
IL10RB	1104.13	1277.29	450.94	563.18	651.58	808.0	947.83	679.29	642.59	780.44	547.75	400.71	514.56	603.67	346.29	1191.69	447.82	780.44	547.75	1199.98	483.38	947.83	435.55	343.89	395.18	473.41	669.92	409.15	403.5	616.37	435.55	620.67	1397.83	954.43	529.06	463.65	607.87	684.02	567.1	551.56	684.02	1096.5	607.87	1001.93	1322.37	1183.45	441.64	1685.71	1551.09	1340.84	2468.49	1923.14	1498.22	1233.75	1407.55	995.0	1467.37	1104.13	1551.09	1487.87	1250.98	1508.65	1936.53	1023.0	1519.15	1313.23	1044.52	1417.35	1104.13	1378.57	2240.11	1551.09	1073.91	909.17	1651.0	1295.13
IL12RB1	93.35	198.47	50.98	67.12	167.9	158.79	99.43	57.08	42.11	62.12	57.89	32.82	71.5	9.85	72.01	23.08	35.25	137.14	7.06	82.87	50.98	11.73	11.73	13.72	29.06	19.97	35.0	14.24	13.03	9.2	26.67	25.17	9.63	153.34	19.68	18.97	66.65	71.5	42.11	34.51	56.68	49.21	12.83	190.34	109.66	140.04	13.83	180.02	231.32	397.93	218.79	190.34	490.14	400.71	161.02	12.36	507.46	713.11	514.56	356.05	293.07	171.45	191.67	198.47	255.0	130.6	237.86	341.51	142.01	151.22	231.32	309.83	332.14	285.03	231.32	142.01
IRF1	579.04	1175.27	277.2	438.59	507.46	1322.37	656.11	1015.93	1001.93	1044.52	1208.34	902.89	854.13	1073.91	1159.07	679.29	575.03	2351.53	1819.35	1191.69	1605.83	603.67	332.14	490.14	819.3	295.11	872.1	603.67	543.96	624.99	651.58	693.58	665.29	1529.73	1757.34	1175.27	819.3	327.56	1250.98	928.3	669.92	921.88	1044.52	1639.59	1662.49	1628.26	287.01	2004.85	3212.66	2627.46	1369.04	1508.65	2520.38	1721.16	1467.37	4152.18	2004.85	2434.5	1733.13	1977.24	3982.99	1286.18	2451.44	1977.24	1340.84	1397.83	2075.59	2335.28	2720.15	3280.18	3303.0	1175.27	934.76	2090.03	1832.01	2271.4
IRF9	1963.57	2163.77	1407.55	1051.79	1605.83	2701.35	2384.37	2609.3	1594.73	1008.9	1572.76	974.5	1685.71	1030.12	1498.22	2664.15	1313.23	2255.7	967.76	1487.87	791.35	1015.93	1388.16	854.13	1697.45	591.22	1572.76	2133.97	934.76	669.92	1225.22	2777.33	1059.11	1583.71	1437.15	1936.53	1388.16	909.17	3928.15	1572.76	860.08	1104.13	753.83	1870.53	2758.13	2468.49	1008.9	2609.3	2287.2	2627.46	1519.15	2645.74	3690.52	4481.23	2835.7	2018.8	3794.3	6471.02	3081.75	2520.38	1662.49	1857.6	5183.54	4575.41	3060.45	1806.78	3212.66	4328.55	5751.61	3847.29	4328.55	2875.3	1225.22	1605.83	4937.99	2104.58
ITPR1	144.01	246.28	242.88	116.78	62.56	104.42	41.52	114.36	134.3	147.06	82.29	34.02	21.63	85.82	42.71	20.26	56.68	100.13	79.45	67.12	64.34	28.04	38.12	36.79	102.97	116.78	47.84	138.1	28.86	20.26	28.45	85.22	18.43	186.4	66.18	66.65	32.13	16.88	65.72	26.86	348.71	56.28	58.3	312.0	346.29	314.17	77.25	514.56	303.44	1583.71	236.21	909.17	348.71	299.25	633.73	432.53	128.79	381.68	195.72	348.71	497.0	336.79	723.08	239.52	80.57	239.52	242.88	309.83	441.64	376.41	450.94	351.14	476.71	571.05	305.55	373.81
JAM2	42.41	209.84	18.03	82.29	92.05	47.17	54.72	148.09	131.51	8.45	98.73	22.1	39.22	98.04	37.85	38.95	53.57	38.12	21.78	15.34	63.0	57.49	37.59	14.03	107.38	25.17	64.8	28.45	60.82	13.22	38.12	65.72	13.62	246.28	41.22	28.24	75.64	24.99	65.26	43.02	100.83	66.65	71.0	273.37	182.55	334.46	99.43	460.44	277.2	651.58	368.65	995.0	575.03	397.93	2303.12	928.3	612.11	1745.2	1322.37	256.78	638.15	503.95	1388.16	842.36	371.22	575.03	1096.5	733.19	860.08	995.0	1104.13	139.07	312.0	379.04	733.19	470.14
KAL1	93.35	133.36	40.93	70.01	62.56	89.51	82.29	13.52	16.88	5.63	13.03	3.06	14.35	6.36	6.84	0.0	8.0	32.59	0.67	5.19	6.62	1.43	3.79	6.26	10.63	1.81	3.23	0.36	4.78	0.84	50.98	6.52	1.36	65.26	1.08	2.66	7.22	0.51	2.63	7.4	2.27	18.16	5.28	193.01	285.03	297.17	17.64	297.17	490.14	1388.16	665.29	2664.15	2609.3	258.57	193.01	187.71	463.65	327.56	463.65	703.28	397.93	351.14	1008.9	2855.44	791.35	1295.13	647.07	1781.89	94.67	2148.82	2367.9	1674.06	1225.22	241.19	1268.46	409.15
KAT5	872.1	1225.22	947.83	1135.2	1183.45	1037.29	1225.22	738.29	665.29	483.38	1104.13	555.41	507.46	791.35	624.99	909.17	769.69	759.08	872.1	607.87	607.87	748.61	836.53	547.75	660.68	463.65	866.07	511.0	583.07	1044.52	759.08	660.68	974.5	738.29	514.56	629.35	656.11	417.77	325.29	389.72	884.29	420.68	316.37	733.19	928.3	1096.5	854.13	1001.93	1304.15	1259.69	1183.45	1457.23	1540.37	909.17	1088.92	1369.04	1407.55	1617.0	1605.83	1250.98	860.08	1529.73	1151.06	1407.55	988.12	1340.84	1467.37	1127.35	1259.69	1369.04	1331.57	1529.73	1605.83	713.11	1119.56	947.83
KCNS3	169.07	316.37	291.04	106.63	170.25	204.07	150.17	55.1	68.55	92.05	55.1	9.93	12.27	231.32	14.03	4.17	38.67	32.13	81.14	2.86	106.63	5.73	128.79	24.46	113.56	22.26	45.53	8.19	275.28	12.27	7.94	26.47	7.4	115.97	17.64	33.06	32.36	27.05	9.34	13.93	14.35	26.1	170.25	414.87	514.56	529.06	896.64	808.0	432.53	1769.57	312.0	473.41	1023.0	616.37	1322.37	295.11	928.3	438.59	723.08	460.44	503.95	629.35	961.07	1733.13	236.21	1030.12	660.68	872.1	830.75	753.83	1806.78	264.03	878.17	232.94	1685.71	480.04
KCTD12	1135.2	1151.06	381.68	435.55	318.57	769.69	1030.12	185.11	132.44	47.17	122.64	68.07	104.42	103.69	72.52	27.64	75.11	224.97	16.75	202.66	74.06	25.72	41.22	27.44	147.06	70.51	53.19	39.79	58.3	27.84	63.89	67.12	33.78	607.87	46.5	33.3	175.07	45.85	80.57	53.19	84.63	202.66	80.57	860.08	896.64	1015.93	158.79	1250.98	1096.5	1745.2	2090.03	1487.87	1639.59	1135.2	1572.76	708.18	1819.35	1819.35	1001.93	718.08	1977.24	1159.07	3716.2	1844.76	366.09	1540.37	1295.13	2335.28	2520.38	1417.35	2047.0	981.29	708.18	1073.91	2537.92	1135.2
KIAA1462	84.04	665.29	29.48	137.14	173.85	45.85	140.04	205.5	228.13	54.72	170.25	128.79	102.25	134.3	194.36	211.31	128.79	120.94	61.68	60.39	193.01	72.01	99.43	152.28	141.02	133.36	218.79	87.65	178.77	36.79	114.36	142.01	31.45	316.37	25.17	14.24	81.71	13.12	24.81	48.87	71.0	46.18	76.71	480.04	334.46	540.19	161.02	480.04	450.94	2739.08	796.86	1119.56	1685.71	336.79	3146.52	848.22	642.59	2645.74	1781.89	185.11	738.29	1277.29	1359.57	1757.34	262.2	915.51	1037.29	1457.23	1519.15	1259.69	1216.75	543.96	353.59	764.36	1225.22	532.74
KIF17	56.28	82.87	61.68	82.87	107.38	72.52	70.51	64.34	50.27	406.31	57.08	25.72	460.44	18.56	33.54	21.01	51.71	44.57	11.38	40.93	150.17	13.12	29.06	12.64	54.33	26.67	59.55	17.0	29.06	8.58	20.41	26.28	63.45	96.68	17.25	67.12	76.17	27.64	15.22	16.03	66.18	59.13	45.85	115.97	63.89	86.43	22.92	94.67	123.5	320.8	120.94	312.0	271.48	94.67	133.36	239.52	126.12	503.95	167.9	109.66	118.43	258.57	201.25	197.09	58.71	129.69	285.03	146.03	234.57	187.71	400.71	110.43	123.5	124.37	208.38	118.43
KIF26A	5.45	36.27	1.93	5.41	24.28	4.03	2.36	16.15	24.46	2.78	6.78	4.74	2.18	16.88	5.82	8.19	9.06	10.88	4.66	2.25	20.11	4.7	7.57	1.95	11.3	9.56	11.13	4.1	7.0	0.74	2.94	8.13	1.03	34.02	2.39	11.3	17.13	3.69	6.52	11.38	15.0	32.13	23.25	59.13	33.06	40.93	10.39	40.36	18.29	172.65	25.35	37.85	66.18	11.38	36.53	53.57	32.36	96.01	102.97	12.27	53.19	72.01	95.34	33.54	18.16	22.1	61.68	101.54	57.89	48.52	92.05	26.1	55.1	25.72	70.51	35.76
KIR3DL2	2.56	7.06	5.36	3.14	7.28	2.56	2.34	0.41	0.84	0.0	1.48	0.39	3.66	1.58	6.62	1.81	0.0	5.96	0.32	9.78	0.37	2.27	0.74	1.39	2.39	0.0	0.77	3.96	0.64	0.27	0.0	0.75	0.56	2.2	1.48	4.86	1.39	4.66	4.43	1.53	3.96	1.28	0.0	29.7	10.47	5.45	0.71	13.72	10.16	67.12	7.75	0.12	28.65	1.57	5.68	0.75	3.06	13.03	6.16	25.54	3.29	13.22	33.06	0.75	1.13	5.02	17.25	21.32	31.45	11.47	3.72	3.2	7.0	19.39	14.89	20.71
KLF17	0.37	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	1.57	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.39	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	4.39	3.11	2.29	0.54	0.48	0.88	3.35	17.38	4.94	3.14	5.63	4.94	12.36	0.96	4.21	6.67	4.54	2.68	5.19	4.28	4.13	2.81	3.11	0.93	3.32	5.28	20.86	3.38	13.03	3.76	5.19	2.94	5.77	5.06
KLHL42	148.09	110.43	56.68	86.43	59.55	84.63	54.33	125.24	63.0	80.01	67.59	68.55	152.28	105.15	40.07	120.94	89.51	197.09	76.17	163.28	89.51	75.11	66.18	119.26	115.16	57.08	61.68	94.01	124.37	56.28	53.95	73.54	146.03	108.14	75.11	49.91	83.45	63.45	38.67	156.59	63.0	76.17	124.37	183.82	181.28	197.09	96.68	147.06	105.15	460.44	205.5	183.82	164.42	74.06	163.28	457.25	181.28	178.77	108.14	139.07	214.27	237.86	358.54	190.34	67.12	165.57	248.0	161.02	368.65	237.86	353.59	144.01	143.01	145.02	220.32	154.42
KLRC4-KLRK1	9.13	26.47	0.0	27.25	1.46	2.2	6.36	0.0	3.14	0.0	7.11	4.54	0.0	0.0	21.16	3.35	2.27	26.1	0.0	2.56	2.92	0.0	1.03	0.0	4.35	0.0	0.0	6.01	0.0	0.0	0.0	3.32	0.48	4.43	7.94	23.76	4.86	0.0	5.36	0.0	7.22	10.47	3.32	25.54	18.16	20.71	0.56	32.36	9.63	95.34	7.22	29.48	28.45	3.96	66.65	0.57	12.74	98.04	3.5	34.26	69.52	14.45	32.13	18.03	8.19	29.27	14.03	43.32	54.33	54.33	16.39	5.77	37.32	34.26	17.9	55.89
KLRD1	61.25	77.79	23.08	24.28	16.88	30.78	56.68	18.03	13.42	8.51	15.68	6.67	44.25	19.39	64.34	4.03	22.75	57.08	4.54	69.52	7.88	15.56	10.88	9.13	36.53	39.5	7.46	15.45	14.35	3.59	10.63	10.39	11.55	21.16	21.16	107.38	60.39	39.79	49.21	23.59	17.25	39.79	83.45	147.06	42.41	65.72	24.46	281.09	108.14	460.44	31.9	92.7	291.04	217.27	287.01	15.68	44.89	392.44	79.45	147.06	303.44	86.43	155.5	127.89	42.41	171.45	175.07	387.02	265.87	172.65	231.32	59.97	109.66	66.18	46.84	115.16
KREMEN1	87.03	74.06	169.07	164.42	88.26	194.36	55.89	32.13	55.89	110.43	59.55	31.67	106.63	66.65	27.64	80.57	60.82	52.45	82.29	8.85	171.45	24.63	27.44	127.89	41.81	31.67	45.53	172.65	28.65	19.39	43.02	108.14	39.22	67.12	12.74	26.1	98.73	61.25	9.93	37.59	67.12	59.97	47.84	409.15	258.57	176.29	114.36	150.17	169.07	830.75	283.05	111.21	121.79	85.82	229.72	269.6	237.86	152.28	183.82	253.23	260.38	486.75	178.77	101.54	180.02	224.97	172.65	307.69	279.14	223.41	162.14	102.97	162.14	76.71	264.03	236.21
LAYN	81.14	132.44	25.91	22.75	20.71	31.22	170.25	37.85	45.85	17.13	29.48	11.47	26.28	31.22	51.35	19.82	21.63	50.63	8.92	42.71	13.93	28.45	10.79	15.22	24.28	21.94	19.82	12.36	21.63	8.45	27.44	15.22	10.63	103.69	3.99	30.12	17.77	3.92	26.47	26.86	26.86	14.14	6.21	251.48	228.13	202.66	58.3	171.45	208.38	612.11	155.5	151.22	358.54	126.12	309.83	148.09	363.56	96.01	106.63	105.15	273.37	100.13	244.57	102.97	41.22	177.53	125.24	209.84	387.02	232.94	511.0	61.25	105.89	135.24	307.69	318.57
LBH	536.45	1340.84	244.57	457.25	1191.69	579.04	368.65	287.01	363.56	126.12	387.02	126.12	116.78	115.16	249.73	105.15	164.42	423.61	77.79	231.32	198.47	55.1	154.42	223.41	255.0	77.25	289.02	140.04	114.36	51.71	108.14	122.64	44.25	780.44	113.56	117.6	97.36	136.19	206.94	119.26	175.07	144.01	115.97	2956.17	1896.65	2193.99	698.41	1397.83	1199.98	5751.61	2573.36	2335.28	4450.27	2591.27	6887.62	802.41	4836.35	4298.64	1769.57	748.61	5517.27	11189.6	3190.46	5112.16	728.11	3665.02	3146.52	8022.41	4607.24	4210.15	2520.38	4607.24	1936.53	2956.17	5479.15	2816.11
LDHAL6B	1.48	1.69	0.39	0.46	1.11	0.38	0.35	4.17	1.87	2.12	0.71	0.77	1.07	2.27	0.0	0.0	0.0	3.5	1.11	0.0	2.23	0.72	0.0	0.0	2.76	0.84	1.23	1.6	0.0	0.0	0.0	0.0	0.6	1.64	0.37	0.6	1.38	0.22	0.0	0.4	10.08	1.3	0.0	2.92	3.41	3.86	0.0	24.46	2.53	3.41	1.46	1.23	0.29	8.51	1.36	9.7	6.78	2.92	1.38	1.53	6.46	1.68	2.61	2.48	0.83	1.95	3.69	0.72	4.7	2.43	1.11	2.89	2.18	3.38	5.59	17.51
LMOD3	2.2	1.27	0.78	0.46	0.0	0.0	0.35	2.23	1.13	1.43	3.23	0.0	14.35	1.06	0.59	0.65	1.41	0.99	0.53	0.92	0.58	0.56	0.0	0.53	0.0	2.41	0.58	1.38	0.51	0.46	0.93	0.57	0.45	4.5	1.2	2.18	0.0	0.0	0.27	0.0	1.69	0.39	0.27	2.92	7.69	8.92	0.65	6.36	2.92	13.72	6.11	23.59	8.13	18.43	9.48	9.34	6.94	23.42	14.24	4.66	12.83	20.41	16.75	23.59	7.69	9.13	13.62	21.01	14.24	9.85	21.47	4.46	6.57	2.81	21.63	7.63
LRRN3	2.56	7.88	0.77	4.03	0.73	2.56	0.34	2.51	3.26	0.27	0.27	0.0	1.2	12.64	1.1	1.23	1.33	2.05	0.25	1.57	2.97	1.75	2.48	3.69	4.58	1.79	2.97	0.95	0.56	0.48	0.0	2.18	0.47	2.76	7.57	4.17	10.24	16.15	13.62	6.84	6.16	24.28	19.11	25.35	20.86	55.89	2.03	70.51	63.89	169.07	41.81	126.12	195.72	33.06	112.77	13.72	71.5	232.94	66.18	29.27	136.19	248.0	341.51	193.01	14.56	191.67	182.55	132.44	201.25	149.12	211.31	79.45	189.02	50.98	299.25	57.89
LY6G5C	54.33	107.38	21.47	52.08	57.49	24.11	90.14	57.49	65.72	45.85	147.06	21.47	52.45	56.28	124.37	12.0	61.68	52.82	71.0	32.59	53.95	62.56	50.63	87.65	54.72	63.0	82.29	61.68	21.63	149.12	43.02	95.34	73.03	78.89	21.16	10.0	16.39	23.93	94.67	75.64	60.39	59.55	47.5	152.28	105.89	125.24	74.58	84.04	163.28	120.94	108.14	105.15	224.97	74.06	177.53	96.01	144.01	246.28	150.17	72.01	138.1	81.71	189.02	224.97	127.0	91.41	130.6	146.03	327.56	190.34	189.02	64.8	104.42	55.1	187.71	129.69
MACROD2	115.97	45.85	19.11	16.63	17.9	25.91	33.3	31.67	27.64	45.85	19.39	7.51	22.43	6.78	28.04	27.44	21.16	30.34	81.14	68.55	24.81	23.08	59.97	53.57	50.63	38.4	23.08	18.29	83.45	42.11	24.11	39.5	76.71	24.99	22.26	2.76	26.47	8.19	41.22	42.71	15.91	31.67	38.95	234.57	231.32	438.59	43.32	234.57	197.09	57.08	688.78	669.92	246.28	283.05	287.01	444.72	660.68	234.57	571.05	1216.75	323.03	432.53	226.54	587.13	361.04	1175.27	1277.29	229.72	392.44	909.17	71.5	2434.5	1015.93	267.73	142.01	454.09
MFNG	529.06	854.13	214.27	339.14	629.35	417.77	500.46	205.5	154.42	62.56	167.9	94.67	178.77	99.43	161.02	178.77	124.37	303.44	51.35	162.14	80.57	83.45	96.01	351.14	115.97	88.26	148.09	57.89	62.56	37.59	111.21	112.77	63.45	587.13	63.89	62.56	265.87	49.56	102.97	143.01	232.94	246.28	186.4	708.18	490.14	703.28	120.1	651.58	1066.48	1757.34	1008.9	1498.22	1268.46	866.07	1844.76	785.88	1508.65	2400.97	2061.24	836.53	723.08	1037.29	2271.4	1844.76	1001.93	1572.76	1594.73	1427.22	2224.63	1073.91	1745.2	961.07	1697.45	348.71	1359.57	753.83
MLKL	348.71	316.37	175.07	191.67	121.79	226.54	138.1	161.02	198.47	149.12	197.09	98.73	129.69	120.94	138.1	76.17	103.69	353.59	37.85	139.07	134.3	93.35	104.42	46.84	307.69	53.57	114.36	51.35	197.09	106.63	127.0	159.9	151.22	318.57	104.42	395.18	106.63	55.89	120.94	81.71	121.79	59.97	71.0	476.71	490.14	521.76	87.65	327.56	547.75	447.82	287.01	237.86	336.79	441.64	620.67	420.68	579.04	775.05	457.25	336.79	384.34	325.29	486.75	665.29	728.11	244.57	381.68	708.18	669.92	307.69	480.04	327.56	438.59	583.07	764.36	423.61
MRGPRF	12.93	277.2	2.78	98.73	38.12	18.43	47.17	30.12	40.07	38.95	156.59	25.17	137.14	65.72	30.12	3.41	16.63	36.53	33.54	50.63	173.85	36.79	244.57	8.71	237.86	135.24	26.86	8.45	36.53	53.57	1.91	114.36	27.44	204.07	9.7	37.32	20.26	215.77	389.72	38.12	22.92	660.68	27.44	493.56	180.02	133.36	29.48	107.38	231.32	591.22	320.8	293.07	171.45	267.73	551.56	69.52	486.75	231.32	258.57	125.24	241.19	429.54	769.69	221.86	119.26	201.25	444.72	571.05	275.28	343.89	532.74	40.64	98.04	49.21	117.6	224.97
MSANTD4	134.3	178.77	77.25	142.01	39.22	145.02	80.57	62.12	59.55	84.63	53.57	29.27	89.51	61.68	58.71	77.25	64.34	87.03	18.16	49.91	9.06	37.59	79.45	52.08	121.79	110.43	18.16	110.43	84.04	15.34	115.16	69.03	54.33	108.14	98.04	46.18	166.73	26.1	68.07	67.59	102.97	156.59	108.14	149.12	228.13	150.17	198.47	177.53	177.53	186.4	217.27	237.86	220.32	206.94	209.84	260.38	206.94	214.27	155.5	242.88	220.32	231.32	329.84	241.19	123.5	253.23	204.07	152.28	217.27	291.04	186.4	258.57	170.25	92.7	163.28	194.36
MSRB3	133.36	476.71	41.81	164.42	118.43	97.36	132.44	70.51	98.73	182.55	66.18	27.05	94.01	67.12	70.51	63.45	34.02	113.56	12.45	23.93	72.52	42.41	43.94	17.25	99.43	33.78	46.84	39.5	325.29	54.72	22.43	36.01	258.57	202.66	25.91	58.71	18.7	25.54	27.64	17.51	29.91	25.17	21.78	417.77	265.87	267.73	137.14	334.46	351.14	1457.23	723.08	1119.56	551.56	368.65	1721.16	791.35	395.18	511.0	291.04	156.59	642.59	423.61	1498.22	500.46	50.98	490.14	540.19	947.83	728.11	432.53	1183.45	271.48	248.0	150.17	540.19	463.65
MVB12B	104.42	194.36	50.63	100.13	175.07	108.9	159.9	139.07	130.6	69.03	152.28	269.6	251.48	133.36	114.36	258.57	145.02	177.53	148.09	157.68	112.77	211.31	69.03	88.88	98.73	133.36	141.02	120.1	48.52	105.15	161.02	124.37	102.25	180.02	54.72	23.76	127.89	127.89	104.42	127.89	58.71	136.19	145.02	135.24	201.25	202.66	376.41	182.55	239.52	595.34	356.05	500.46	1819.35	234.57	206.94	246.28	325.29	381.68	616.37	241.19	285.03	620.67	921.88	603.67	303.44	1037.29	688.78	525.39	571.05	830.75	603.67	583.07	813.63	339.14	583.07	186.4
MYZAP	15.45	66.18	11.73	5.77	5.41	32.82	3.32	8.13	7.51	14.89	5.87	3.66	9.56	3.14	15.91	5.96	12.74	23.93	2.71	19.11	13.03	5.32	30.34	88.88	11.47	20.86	5.5	1.2	8.45	2.03	7.88	2.71	2.78	0.0	10.16	0.0	51.35	11.82	14.89	24.81	29.7	59.55	36.53	72.52	190.34	441.64	16.39	215.77	532.74	1832.01	356.05	392.44	1991.0	260.38	343.89	1304.15	409.15	1191.69	703.28	343.89	595.34	669.92	2895.31	3443.31	60.39	1674.06	1950.0	651.58	1806.78	796.86	1259.69	232.94	775.05	848.22	1233.75	341.51
NCR1	12.0	4.17	4.24	2.25	6.57	13.52	5.36	4.39	6.06	2.89	6.06	2.36	3.66	0.96	14.35	3.03	0.0	26.47	0.84	19.97	1.38	2.14	0.0	1.23	6.46	8.32	0.52	4.7	1.17	0.41	1.97	0.0	0.0	0.0	5.15	16.27	8.85	0.87	5.32	9.27	3.47	13.83	3.92	25.91	7.51	6.46	0.0	21.01	12.09	102.25	15.34	7.11	37.59	11.73	36.27	1.51	10.88	44.25	12.0	33.78	18.03	25.72	29.91	8.32	12.93	3.35	35.76	27.05	77.79	20.56	38.4	8.19	8.0	12.0	14.45	11.73
