	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
LMTK2	148.09	134.3	161.02	90.14	82.87	91.41	63.89	153.34	265.87	100.83	248.0	173.85	206.94	221.86	285.03	264.03	198.47	239.52	165.57	244.57	146.03	323.03	262.2	125.24	141.02	172.65	244.57	283.05	283.05	193.01	246.28	141.02	117.6	115.16	277.2	269.6	197.09	140.04	236.21	137.14	163.28	145.02	177.53	202.66	152.28	97.36	55.1	136.19	139.07	134.3	195.72	183.82	167.9	115.16	143.01	193.01	204.07	171.45	297.17	134.3	173.85	248.0	126.12	102.97	127.0	99.43	68.07
MAPK1IP1L	483.38	890.44	656.11	563.18	612.11	684.02	432.53	947.83	748.61	703.28	1397.83	941.27	1397.83	988.12	1674.06	1508.65	1313.23	1088.92	961.07	1175.27	915.51	1304.15	1295.13	1044.52	1135.2	808.0	1242.34	2739.08	1044.52	902.89	2018.8	813.63	651.58	444.72	1685.71	1183.45	1467.37	921.88	1331.57	921.88	703.28	713.11	878.17	1340.84	1135.2	638.15	679.29	896.64	1225.22	1044.52	1350.18	1662.49	1617.0	769.69	723.08	974.5	1378.57	1304.15	1674.06	1127.35	2287.2	1781.89	1159.07	624.99	1143.1	426.57	1175.27
MARS2	38.95	54.33	35.25	29.7	27.84	25.72	90.14	164.42	50.63	44.57	94.01	75.64	103.69	94.67	104.42	85.22	181.28	96.68	55.1	46.84	72.01	139.07	88.88	59.13	60.39	64.34	100.13	109.66	116.78	70.51	96.01	72.01	88.88	43.94	109.66	111.21	115.16	68.07	289.02	63.89	46.18	100.13	44.57	72.52	59.97	33.3	32.59	67.59	67.12	36.79	49.21	42.41	67.12	36.27	48.18	65.26	103.69	68.07	84.63	43.32	60.39	56.68	54.72	37.05	57.89	24.99	19.97
MARVELD2	29.06	36.53	28.04	5.63	6.01	9.85	161.02	202.66	353.59	94.67	595.34	273.37	297.17	283.05	500.46	473.41	341.51	429.54	177.53	209.84	191.67	444.72	555.41	139.07	185.11	220.32	470.14	232.94	575.03	376.41	334.46	314.17	186.4	161.02	559.28	447.82	473.41	164.42	438.59	190.34	178.77	185.11	189.02	325.29	260.38	83.45	186.4	215.77	262.2	173.85	309.83	152.28	265.87	115.16	175.07	289.02	327.56	341.51	435.55	239.52	329.84	281.09	305.55	244.57	287.01	186.4	6.01
MCTP2	88.26	87.65	48.87	67.59	28.24	81.14	25.35	226.54	629.35	178.77	466.88	283.05	651.58	392.44	559.28	423.61	447.82	423.61	303.44	327.56	140.04	403.5	503.95	242.88	138.1	248.0	476.71	974.5	381.68	397.93	267.73	236.21	181.28	103.69	703.28	529.06	346.29	183.82	297.17	214.27	221.86	232.94	301.33	334.46	251.48	71.5	215.77	107.38	291.04	226.54	316.37	297.17	248.0	206.94	217.27	325.29	336.79	244.57	258.57	327.56	201.25	256.78	277.2	141.02	139.07	246.28	80.57
MED13	134.3	117.6	176.29	138.1	109.66	151.22	62.56	194.36	412.0	149.12	551.56	194.36	432.53	220.32	403.5	343.89	305.55	420.68	194.36	195.72	163.28	470.14	417.77	199.85	142.01	255.0	361.04	409.15	426.57	376.41	329.84	195.72	164.42	131.51	336.79	366.09	373.81	171.45	423.61	172.65	209.84	173.85	132.44	346.29	228.13	182.55	138.1	178.77	237.86	197.09	271.48	215.77	295.11	189.02	251.48	237.86	287.01	275.28	269.6	134.3	198.47	368.65	215.77	140.04	183.82	299.25	112.77
MFSD1	406.31	579.04	555.41	616.37	387.02	450.94	718.08	878.17	1519.15	802.41	1519.15	1037.29	1551.09	1378.57	1233.75	1369.04	1721.16	1427.22	1199.98	1104.13	1111.82	1277.29	1340.84	1191.69	921.88	1119.56	1242.34	1397.83	1295.13	1628.26	1583.71	1286.18	1096.5	1008.9	1051.79	1508.65	1268.46	1030.12	1331.57	1151.06	1313.23	1119.56	947.83	1781.89	1199.98	607.87	981.29	1143.1	1268.46	1127.35	1378.57	1304.15	1467.37	1143.1	1191.69	1225.22	1378.57	1322.37	1639.59	830.75	1388.16	1359.57	1143.1	866.07	1561.89	836.53	599.49
MIER3	253.23	224.97	323.03	134.3	94.01	94.01	49.56	180.02	275.28	148.09	379.04	201.25	460.44	156.59	318.57	307.69	208.38	361.04	186.4	167.9	178.77	368.65	441.64	182.55	127.89	198.47	279.14	348.71	339.14	312.0	271.48	161.02	131.51	111.21	336.79	289.02	332.14	176.29	307.69	178.77	159.9	167.9	175.07	253.23	204.07	135.24	221.86	162.14	275.28	167.9	228.13	171.45	195.72	162.14	204.07	229.72	267.73	244.57	206.94	116.78	186.4	316.37	159.9	68.07	147.06	75.64	73.03
MOCS3	69.03	71.5	46.84	55.49	35.5	53.19	88.88	133.36	108.14	98.04	143.01	129.69	164.42	129.69	151.22	120.1	136.19	165.57	111.99	139.07	94.01	156.59	146.03	101.54	133.36	132.44	176.29	123.5	138.1	136.19	131.51	164.42	79.45	113.56	165.57	167.9	134.3	102.25	244.57	118.43	136.19	142.01	87.65	151.22	145.02	104.42	123.5	123.5	181.28	69.03	147.06	131.51	78.89	97.36	140.04	147.06	156.59	156.59	158.79	90.77	152.28	151.22	98.04	106.63	167.9	81.71	52.08
MSMB	0.92	0.0	0.0	0.0	5.28	0.0	0.0	800198.39	228208.61	282912.21	151608.43	894051.48	299043.36	602247.76	121448.75	509950.32	159145.95	211455.3	783730.52	569761.05	558035.51	59063.35	267651.2	509950.32	711250.37	1019901.63	92680.9	71714.63	102125.66	811368.76	778316.89	691801.16	706337.4	659036.03	128373.58	282912.21	292889.12	456418.21	69271.73	554180.87	845824.19	453265.5	1212874.47	554180.87	778316.89	88905.42	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	581732.96	958220.73	479109.86	577714.63	919186.72	565825.41	417089.23	550352.86	1645391.11	894051.48	619179.28	762299.34	573724.06	3.0	13.83
MTMR12	262.2	289.02	291.04	361.04	358.54	336.79	164.42	379.04	483.38	248.0	563.18	329.84	579.04	397.93	575.03	466.88	540.19	616.37	289.02	392.44	387.02	599.49	525.39	397.93	384.34	409.15	480.04	575.03	547.75	624.99	599.49	343.89	325.29	267.73	476.71	607.87	583.07	397.93	612.11	346.29	406.31	341.51	273.37	555.41	507.46	314.17	435.55	307.69	503.95	403.5	575.03	429.54	454.09	392.44	356.05	521.76	684.02	518.15	529.06	400.71	503.95	909.17	457.25	332.14	412.0	172.65	387.02
MTPAP	115.16	112.77	106.63	89.51	86.43	108.9	88.88	241.19	307.69	119.26	251.48	176.29	281.09	231.32	242.88	289.02	275.28	295.11	158.79	195.72	169.07	258.57	277.2	183.82	141.02	151.22	318.57	258.57	353.59	251.48	236.21	136.19	136.19	151.22	220.32	260.38	260.38	151.22	361.04	178.77	151.22	191.67	191.67	231.32	215.77	113.56	156.59	144.01	189.02	137.14	172.65	150.17	199.85	120.1	190.34	181.28	183.82	223.41	220.32	111.21	139.07	226.54	152.28	108.9	134.3	94.67	87.03
MYO10	181.28	143.01	165.57	123.5	99.43	100.13	62.56	229.72	381.68	115.97	332.14	169.07	271.48	265.87	403.5	450.94	384.34	356.05	237.86	258.57	152.28	493.56	361.04	181.28	146.03	301.33	275.28	420.68	435.55	212.78	241.19	173.85	201.25	141.02	397.93	356.05	314.17	197.09	358.54	183.82	223.41	180.02	187.71	217.27	183.82	140.04	64.8	183.82	100.83	145.02	194.36	251.48	199.85	165.57	309.83	314.17	269.6	237.86	299.25	178.77	195.72	305.55	175.07	193.01	267.73	163.28	108.14
N4BP2	15.91	24.81	22.26	24.81	20.41	16.03	10.39	39.5	152.28	40.07	163.28	53.95	138.1	92.05	146.03	89.51	88.88	153.34	77.25	88.26	56.28	132.44	166.73	72.01	43.63	89.51	127.89	120.94	167.9	126.12	137.14	57.89	43.94	38.95	126.12	157.68	131.51	56.28	126.12	57.08	72.01	52.82	71.0	125.24	71.0	44.57	66.65	37.05	105.89	55.1	88.88	88.88	85.22	69.03	69.03	87.65	71.0	109.66	92.05	55.89	96.01	141.02	64.34	57.89	54.72	15.11	30.56
NDFIP2	318.57	387.02	389.72	176.29	105.89	150.17	309.83	454.09	848.22	217.27	723.08	497.0	665.29	567.1	718.08	988.12	796.86	842.36	563.18	511.0	429.54	493.56	848.22	454.09	379.04	381.68	514.56	669.92	813.63	759.08	842.36	473.41	379.04	371.22	656.11	909.17	848.22	432.53	571.05	447.82	532.74	454.09	463.65	884.29	830.75	246.28	1119.56	447.82	1175.27	450.94	728.11	679.29	915.51	529.06	441.64	738.29	866.07	688.78	934.76	583.07	921.88	842.36	813.63	273.37	603.67	236.21	65.72
NIP7	198.47	199.85	170.25	159.9	146.03	131.51	166.73	277.2	301.33	239.52	291.04	279.14	397.93	454.09	285.03	197.09	514.56	529.06	244.57	271.48	307.69	232.94	305.55	371.22	291.04	307.69	392.44	348.71	406.31	281.09	497.0	299.25	435.55	220.32	339.14	476.71	297.17	293.07	507.46	256.78	269.6	255.0	239.52	301.33	237.86	208.38	341.51	232.94	463.65	198.47	231.32	226.54	414.87	232.94	223.41	223.41	392.44	327.56	353.59	204.07	305.55	275.28	275.28	150.17	318.57	183.82	141.02
NIPAL1	16.51	34.02	18.56	3.72	3.99	3.47	30.34	100.83	113.56	28.86	122.64	65.26	108.9	119.26	137.14	134.3	120.94	100.83	60.39	57.89	50.98	100.13	108.9	73.03	53.57	69.03	57.89	131.51	109.66	96.68	88.26	63.0	34.02	34.75	110.43	124.37	167.9	49.91	127.0	64.8	51.71	80.57	76.17	104.42	135.24	18.03	98.73	56.68	153.34	58.3	105.89	63.45	127.89	76.71	91.41	71.0	115.97	101.54	123.5	81.71	80.57	106.63	65.26	39.79	67.12	14.56	3.08
NOLC1	438.59	493.56	500.46	476.71	490.14	493.56	371.22	2004.85	1594.73	902.89	1437.15	1313.23	1322.37	1313.23	1594.73	1857.6	2047.0	1909.85	1313.23	1259.69	1175.27	1498.22	1651.0	1008.9	1037.29	1242.34	1628.26	2240.11	1073.91	1508.65	1733.13	1467.37	1529.73	1111.82	1662.49	1572.76	1498.22	1183.45	2104.58	1233.75	1111.82	1388.16	1044.52	1277.29	1127.35	825.0	633.73	1096.5	947.83	1183.45	1183.45	1268.46	1498.22	1225.22	802.41	995.0	1498.22	1183.45	1397.83	961.07	1378.57	1143.1	1111.82	836.53	1199.98	438.59	423.61
NT5DC1	329.84	307.69	435.55	239.52	348.71	239.52	500.46	884.29	1340.84	507.46	1359.57	591.22	1477.58	1199.98	1467.37	1208.34	915.51	1225.22	1051.79	1135.2	753.83	1407.55	1477.58	587.13	647.07	860.08	1572.76	1477.58	1216.75	995.0	1023.0	1044.52	819.3	665.29	1639.59	1331.57	1208.34	764.36	813.63	791.35	713.11	647.07	981.29	1135.2	941.27	412.0	1167.14	397.93	1295.13	713.11	1208.34	1127.35	775.05	836.53	1322.37	1427.22	1295.13	1498.22	1572.76	1233.75	1605.83	1143.1	1159.07	679.29	718.08	325.29	114.36
NUFIP2	198.47	193.01	232.94	239.52	226.54	256.78	107.38	267.73	414.87	206.94	638.15	214.27	480.04	256.78	503.95	629.35	432.53	444.72	260.38	229.72	237.86	493.56	470.14	262.2	154.42	301.33	329.84	536.45	540.19	363.56	457.25	224.97	226.54	181.28	547.75	409.15	476.71	224.97	507.46	198.47	214.27	232.94	191.67	381.68	208.38	186.4	137.14	193.01	255.0	221.86	256.78	353.59	503.95	211.31	175.07	271.48	307.69	255.0	325.29	202.66	208.38	316.37	217.27	166.73	185.11	145.02	358.54
OSBP	384.34	327.56	389.72	348.71	312.0	323.03	583.07	612.11	988.12	435.55	941.27	486.75	961.07	713.11	896.64	808.0	1059.11	974.5	629.35	647.07	587.13	791.35	934.76	612.11	500.46	591.22	830.75	1096.5	961.07	884.29	848.22	723.08	536.45	567.1	878.17	836.53	830.75	583.07	884.29	703.28	638.15	563.18	551.56	842.36	688.78	466.88	403.5	543.96	525.39	571.05	819.3	703.28	698.41	612.11	638.15	703.28	813.63	775.05	1037.29	575.03	708.18	825.0	579.04	551.56	669.92	376.41	339.14
OTUD6B	74.06	108.9	85.82	86.43	60.82	115.16	17.51	147.06	211.31	90.14	180.02	79.45	180.02	130.6	138.1	119.26	146.03	170.25	124.37	118.43	115.16	150.17	195.72	139.07	69.03	159.9	141.02	130.6	152.28	185.11	183.82	92.05	198.47	84.63	143.01	165.57	159.9	110.43	253.23	107.38	120.94	110.43	108.9	155.5	109.66	74.06	112.77	90.77	155.5	82.87	131.51	92.7	145.02	126.12	90.77	98.04	205.5	124.37	128.79	77.79	127.89	132.44	65.26	43.32	85.82	59.97	45.21
PAICS	379.04	457.25	423.61	299.25	332.14	307.69	1088.92	1991.0	1447.15	860.08	1819.35	1313.23	1923.14	1594.73	1697.45	1794.29	2520.38	2335.28	1135.2	1304.15	954.43	1487.87	2075.59	915.51	1104.13	1594.73	2224.63	1540.37	2209.26	1286.18	1088.92	1685.71	1340.84	1096.5	1883.54	1963.57	1674.06	1250.98	2400.97	947.83	921.88	1388.16	988.12	981.29	1259.69	866.07	836.53	854.13	808.0	718.08	1008.9	830.75	1030.12	890.44	733.19	860.08	1304.15	988.12	1477.58	854.13	1208.34	1104.13	1081.39	480.04	1111.82	395.18	642.59
PARP1	1242.34	961.07	1359.57	728.11	902.89	718.08	587.13	1191.69	1662.49	1268.46	1733.13	995.0	1594.73	1477.58	1733.13	1844.76	1781.89	1745.2	1286.18	1359.57	1331.57	1844.76	1697.45	1216.75	1199.98	1104.13	1594.73	1651.0	1757.34	1628.26	1685.71	1447.15	981.29	1037.29	1572.76	1572.76	1617.0	1322.37	1769.57	1119.56	1397.83	718.08	915.51	1540.37	1135.2	1143.1	753.83	1119.56	915.51	1407.55	1407.55	1540.37	1250.98	1457.23	1037.29	1208.34	1651.0	1127.35	1617.0	1023.0	1697.45	1044.52	1199.98	1023.0	1407.55	616.37	476.71
PDE12	85.22	110.43	100.13	96.68	69.03	68.07	98.73	178.77	205.5	115.97	244.57	162.14	291.04	195.72	277.2	253.23	242.88	226.54	147.06	162.14	155.5	295.11	242.88	164.42	137.14	149.12	217.27	291.04	241.19	237.86	297.17	143.01	126.12	110.43	214.27	318.57	255.0	154.42	271.48	131.51	159.9	127.89	133.36	241.19	186.4	108.14	143.01	148.09	208.38	156.59	206.94	190.34	180.02	138.1	157.68	182.55	277.2	197.09	234.57	141.02	265.87	221.86	197.09	88.88	201.25	61.68	56.68
PGGT1B	175.07	178.77	193.01	146.03	88.26	133.36	129.69	273.37	441.64	172.65	363.56	262.2	429.54	291.04	395.18	358.54	351.14	389.72	237.86	299.25	218.79	392.44	392.44	242.88	209.84	251.48	420.68	432.53	447.82	351.14	334.46	256.78	199.85	226.54	373.81	397.93	341.51	226.54	384.34	237.86	224.97	229.72	237.86	358.54	255.0	167.9	223.41	231.32	371.22	205.5	323.03	267.73	301.33	241.19	195.72	244.57	262.2	368.65	356.05	267.73	287.01	332.14	221.86	173.85	224.97	62.56	66.65
PHF20L1	162.14	204.07	248.0	205.5	155.5	334.46	34.26	241.19	633.73	211.31	514.56	194.36	423.61	343.89	406.31	325.29	287.01	476.71	346.29	277.2	244.57	420.68	483.38	275.28	171.45	303.44	373.81	356.05	480.04	409.15	400.71	208.38	285.03	169.07	373.81	379.04	371.22	246.28	591.22	248.0	285.03	201.25	275.28	389.72	273.37	214.27	236.21	194.36	368.65	214.27	314.17	323.03	339.14	287.01	320.8	299.25	400.71	316.37	327.56	170.25	251.48	384.34	162.14	129.69	193.01	166.73	122.64
PI4K2B	241.19	262.2	258.57	176.29	117.6	185.11	476.71	483.38	540.19	248.0	575.03	371.22	743.43	395.18	521.76	438.59	642.59	563.18	423.61	454.09	346.29	500.46	759.08	336.79	389.72	514.56	595.34	379.04	830.75	624.99	616.37	518.15	269.6	444.72	500.46	656.11	466.88	414.87	665.29	353.59	353.59	414.87	532.74	543.96	438.59	258.57	507.46	351.14	567.1	395.18	507.46	454.09	353.59	507.46	450.94	450.94	684.02	406.31	660.68	384.34	486.75	547.75	397.93	318.57	384.34	212.78	87.65
PIGM	58.3	102.97	52.08	56.68	38.4	73.03	55.49	229.72	295.11	91.41	356.05	262.2	341.51	251.48	358.54	273.37	409.15	361.04	221.86	232.94	195.72	264.03	384.34	173.85	220.32	223.41	358.54	409.15	403.5	395.18	356.05	351.14	133.36	187.71	312.0	389.72	339.14	208.38	426.57	234.57	195.72	301.33	226.54	256.78	237.86	198.47	212.78	199.85	269.6	190.34	312.0	212.78	231.32	198.47	170.25	297.17	269.6	260.38	351.14	217.27	295.11	277.2	234.57	237.86	271.48	84.63	29.91
POLR1B	97.36	64.8	67.59	84.63	52.82	68.55	125.24	204.07	231.32	135.24	353.59	151.22	293.07	204.07	293.07	271.48	327.56	356.05	202.66	141.02	162.14	373.81	309.83	149.12	116.78	164.42	325.29	318.57	447.82	156.59	209.84	215.77	152.28	115.16	346.29	289.02	262.2	125.24	397.93	124.37	187.71	120.94	103.69	226.54	202.66	99.43	113.56	127.0	151.22	90.14	187.71	191.67	194.36	115.97	126.12	157.68	176.29	105.89	182.55	156.59	152.28	165.57	186.4	120.94	148.09	130.6	25.91
POLR2D	220.32	255.0	190.34	180.02	181.28	110.43	191.67	356.05	454.09	223.41	412.0	293.07	412.0	356.05	441.64	417.77	460.44	395.18	281.09	299.25	339.14	426.57	457.25	312.0	242.88	316.37	395.18	480.04	486.75	316.37	420.68	351.14	353.59	277.2	450.94	409.15	412.0	285.03	595.34	309.83	249.73	293.07	220.32	353.59	356.05	205.5	320.8	258.57	379.04	229.72	334.46	265.87	339.14	293.07	253.23	202.66	325.29	287.01	316.37	221.86	285.03	251.48	285.03	202.66	299.25	128.79	99.43
POM121	395.18	332.14	293.07	412.0	320.8	353.59	371.22	470.14	490.14	366.09	559.28	346.29	438.59	493.56	669.92	733.19	567.1	624.99	420.68	595.34	414.87	902.89	579.04	432.53	423.61	503.95	583.07	860.08	642.59	497.0	595.34	395.18	361.04	271.48	819.3	591.22	571.05	412.0	713.11	438.59	426.57	332.14	376.41	507.46	403.5	336.79	153.34	384.34	329.84	400.71	460.44	483.38	532.74	253.23	420.68	579.04	500.46	429.54	633.73	470.14	444.72	633.73	409.15	429.54	264.03	189.02	100.83
POMK	15.11	13.83	13.32	12.27	5.82	3.79	3.32	19.97	56.28	15.8	81.14	29.7	95.34	45.21	111.21	73.54	59.13	109.66	55.49	50.98	19.11	128.79	139.07	22.92	21.16	46.18	125.24	145.02	91.41	80.57	111.21	20.56	19.53	10.39	92.7	101.54	92.05	26.47	111.21	23.08	40.64	21.47	9.7	97.36	49.91	7.63	27.05	16.15	69.52	28.45	94.67	93.35	40.93	40.64	18.7	41.22	39.22	69.52	123.5	44.89	73.54	148.09	41.22	51.35	81.71	4.5	2.01
PPAT	65.72	65.72	43.32	66.18	41.52	59.97	38.95	211.31	187.71	62.56	249.73	91.41	221.86	159.9	209.84	170.25	303.44	232.94	120.1	102.97	85.82	212.78	237.86	93.35	68.55	165.57	217.27	148.09	277.2	138.1	108.9	150.17	135.24	94.01	190.34	208.38	163.28	108.14	316.37	92.05	78.89	133.36	57.89	113.56	130.6	51.71	92.7	60.39	88.26	56.28	96.68	76.17	99.43	75.64	47.84	98.73	134.3	81.14	116.78	66.65	70.01	95.34	104.42	40.64	82.29	44.25	21.32
PPP2CA	1030.12	1104.13	1508.65	780.44	1119.56	1096.5	638.15	1378.57	1896.65	1378.57	2434.5	1191.69	2287.2	1407.55	1519.15	1923.14	1781.89	1685.71	1397.83	1819.35	1369.04	1806.78	2163.77	1447.15	1477.58	1369.04	1909.85	1977.24	2384.37	1685.71	2555.58	1467.37	1104.13	1437.15	1572.76	2018.8	2287.2	1628.26	2271.4	928.3	1427.22	1322.37	1617.0	1794.29	1167.14	1216.75	1674.06	1191.69	2032.85	1242.34	1572.76	1551.09	1561.89	1498.22	1331.57	1721.16	2075.59	1697.45	1832.01	1159.07	2119.22	1457.23	1508.65	813.63	1819.35	1088.92	1127.35
PPP2R1B	141.02	206.94	190.34	95.34	137.14	190.34	583.07	246.28	307.69	159.9	281.09	212.78	450.94	281.09	441.64	473.41	366.09	356.05	264.03	336.79	211.31	397.93	417.77	237.86	177.53	281.09	376.41	518.15	503.95	318.57	447.82	201.25	214.27	145.02	339.14	420.68	353.59	267.73	381.68	232.94	231.32	223.41	283.05	264.03	228.13	100.13	181.28	161.02	283.05	205.5	273.37	273.37	329.84	251.48	198.47	269.6	387.02	217.27	429.54	145.02	206.94	248.0	208.38	127.89	211.31	113.56	183.82
PPP6R3	693.58	466.88	785.88	684.02	688.78	656.11	187.71	780.44	1340.84	660.68	1216.75	723.08	1295.13	928.3	1167.14	1119.56	909.17	1350.18	1030.12	884.29	866.07	1135.2	1242.34	890.44	769.69	1081.39	967.76	1183.45	1277.29	1135.2	1081.39	718.08	642.59	764.36	1111.82	1088.92	1175.27	825.0	1199.98	890.44	1008.9	848.22	825.0	1127.35	866.07	698.41	728.11	684.02	896.64	808.0	1023.0	1015.93	967.76	947.83	878.17	1081.39	1030.12	928.3	1044.52	656.11	878.17	1594.73	759.08	713.11	669.92	497.0	674.59
PRRC1	420.68	435.55	358.54	356.05	316.37	366.09	366.09	733.19	1159.07	490.14	1199.98	669.92	1447.15	743.43	1216.75	1088.92	1081.39	1159.07	665.29	769.69	607.87	1066.48	1250.98	591.22	503.95	759.08	1208.34	1388.16	1447.15	872.1	974.5	723.08	612.11	633.73	1340.84	1216.75	1104.13	620.67	1159.07	547.75	583.07	808.0	718.08	872.1	693.58	555.41	579.04	536.45	703.28	503.95	934.76	780.44	620.67	599.49	429.54	688.78	660.68	748.61	1059.11	884.29	842.36	733.19	633.73	392.44	860.08	373.81	336.79
PSMD12	409.15	397.93	444.72	429.54	409.15	403.5	285.03	633.73	718.08	392.44	848.22	511.0	915.51	514.56	718.08	607.87	651.58	656.11	507.46	607.87	473.41	842.36	813.63	457.25	376.41	518.15	693.58	708.18	848.22	733.19	769.69	466.88	400.71	441.64	525.39	753.83	703.28	473.41	791.35	366.09	473.41	441.64	536.45	638.15	532.74	441.64	444.72	457.25	642.59	400.71	525.39	480.04	547.75	420.68	543.96	536.45	607.87	551.56	540.19	376.41	532.74	591.22	583.07	368.65	507.46	309.83	316.37
PSME3	669.92	995.0	848.22	733.19	723.08	708.18	728.11	1359.57	1378.57	848.22	1896.65	1127.35	1498.22	988.12	1883.54	1551.09	1819.35	1605.83	1143.1	1313.23	1135.2	1844.76	1819.35	1119.56	1037.29	915.51	1498.22	2178.83	1674.06	1457.23	1685.71	1225.22	1073.91	915.51	1551.09	1594.73	1745.2	1081.39	1781.89	1111.82	1159.07	1081.39	780.44	1397.83	1359.57	934.76	1015.93	1088.92	1322.37	1008.9	1529.73	1378.57	1340.84	1073.91	915.51	1151.06	1883.54	1259.69	1769.57	967.76	1447.15	1216.75	1277.29	769.69	1519.15	638.15	466.88
PTPRJ	90.77	134.3	99.43	28.04	26.1	63.89	72.01	79.45	323.03	38.12	450.94	89.51	314.17	287.01	571.05	381.68	314.17	303.44	149.12	158.79	107.38	567.1	432.53	88.88	94.67	109.66	417.77	387.02	441.64	351.14	329.84	130.6	85.82	66.65	490.14	400.71	327.56	102.25	320.8	136.19	143.01	81.14	88.88	239.52	215.77	37.85	81.14	77.25	212.78	111.21	295.11	206.94	182.55	89.51	189.02	395.18	277.2	348.71	376.41	135.24	305.55	366.09	161.02	104.42	162.14	63.45	46.18
PUS7	52.45	98.73	77.25	50.27	102.97	68.07	34.26	211.31	150.17	120.94	172.65	107.38	139.07	198.47	199.85	151.22	249.73	217.27	170.25	116.78	124.37	371.22	237.86	110.43	84.04	149.12	244.57	173.85	297.17	156.59	146.03	154.42	129.69	121.79	221.86	199.85	172.65	149.12	318.57	92.7	148.09	140.04	87.03	170.25	148.09	94.01	95.34	94.01	127.0	64.34	128.79	110.43	161.02	90.14	136.19	130.6	164.42	88.88	139.07	115.97	110.43	109.66	95.34	124.37	120.1	61.68	100.13
QTRTD1	125.24	107.38	107.38	101.54	76.71	78.34	52.82	248.0	277.2	158.79	303.44	163.28	293.07	251.48	251.48	185.11	275.28	309.83	224.97	191.67	193.01	283.05	279.14	226.54	145.02	228.13	262.2	289.02	307.69	221.86	265.87	202.66	139.07	151.22	277.2	295.11	258.57	171.45	339.14	155.5	189.02	153.34	176.29	236.21	191.67	122.64	113.56	147.06	169.07	158.79	197.09	183.82	223.41	206.94	195.72	202.66	234.57	241.19	237.86	140.04	251.48	251.48	147.06	127.89	146.03	88.26	63.89
