	TCGA.BC.A110.01A.11R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
NOTCH2	132.44	85.22	134.3	1023.0	1023.0	281.09	417.77	1313.23	1191.69	441.64	995.0	435.55	796.86	1088.92	264.03	638.15	457.25	1208.34	612.11	444.72	1216.75	358.54	532.74	638.15	1135.2	260.38	785.88	974.5	1008.9	603.67	450.94	403.5	457.25	890.44	660.68	438.59	423.61	567.1	967.76	260.38	466.88	511.0	447.82	748.61	713.11	323.03	872.1	591.22	1127.35	358.54	301.33	599.49	660.68	197.09	237.86	1191.69	813.63	287.01	647.07	1030.12	376.41	460.44	607.87	547.75	211.31	305.55	301.33	540.19	293.07	1030.12	934.76	872.1	921.88	583.07	429.54	780.44	842.36	743.43	521.76	563.18	1096.5	674.59	403.5	358.54	543.96	353.59	884.29	336.79	536.45	1331.57	547.75	896.64	320.8	713.11	1037.29	414.87	503.95	417.77	764.36	796.86	316.37	403.5	830.75	693.58	764.36	723.08	303.44	961.07	283.05	412.0	379.04	447.82	318.57	346.29	356.05	595.34	346.29	180.02	511.0	460.44	460.44
NSD1	58.3	73.54	70.01	314.17	289.02	98.04	152.28	571.05	444.72	173.85	389.72	173.85	426.57	400.71	149.12	234.57	136.19	429.54	199.85	231.32	507.46	167.9	251.48	260.38	460.44	167.9	316.37	363.56	460.44	231.32	202.66	158.79	226.54	356.05	197.09	164.42	172.65	182.55	234.57	142.01	206.94	163.28	136.19	540.19	249.73	134.3	563.18	182.55	320.8	144.01	127.0	202.66	299.25	159.9	115.97	511.0	309.83	100.13	204.07	417.77	164.42	164.42	253.23	234.57	124.37	145.02	148.09	241.19	155.5	309.83	389.72	309.83	351.14	275.28	214.27	285.03	483.38	273.37	198.47	214.27	403.5	363.56	176.29	161.02	228.13	117.6	387.02	164.42	249.73	551.56	214.27	387.02	150.17	234.57	341.51	229.72	260.38	176.29	283.05	392.44	152.28	175.07	297.17	255.0	267.73	239.52	117.6	341.51	148.09	197.09	164.42	189.02	154.42	164.42	189.02	232.94	191.67	95.34	202.66	180.02	159.9
NUP210	101.54	231.32	162.14	769.69	351.14	202.66	283.05	679.29	612.11	336.79	332.14	332.14	483.38	395.18	105.15	334.46	309.83	842.36	351.14	267.73	616.37	208.38	511.0	432.53	954.43	305.55	571.05	607.87	466.88	309.83	255.0	295.11	460.44	575.03	253.23	303.44	373.81	155.5	351.14	269.6	432.53	376.41	291.04	802.41	368.65	241.19	571.05	279.14	490.14	191.67	156.59	224.97	275.28	305.55	392.44	507.46	728.11	155.5	293.07	392.44	532.74	303.44	346.29	327.56	155.5	178.77	356.05	336.79	320.8	420.68	518.15	356.05	679.29	698.41	466.88	353.59	384.34	305.55	265.87	486.75	295.11	633.73	275.28	348.71	260.38	348.71	493.56	253.23	366.09	703.28	486.75	674.59	206.94	693.58	674.59	318.57	490.14	215.77	341.51	392.44	201.25	226.54	607.87	251.48	314.17	248.0	170.25	473.41	279.14	341.51	301.33	301.33	116.78	529.06	500.46	190.34	111.99	52.82	153.34	124.37	182.55
OTUD7A	2.53	3.03	1.95	12.09	40.93	7.28	18.03	28.65	36.53	19.25	30.34	19.25	18.56	34.51	27.05	19.82	13.03	39.5	11.64	17.38	24.28	13.93	18.43	10.63	47.5	13.42	14.78	32.59	26.28	11.21	37.32	18.97	18.03	18.29	10.16	28.24	10.08	10.71	34.26	23.76	15.0	15.0	26.47	39.79	34.02	12.45	16.27	16.03	22.43	18.29	11.73	13.62	25.54	11.04	15.68	16.03	29.91	10.39	32.59	21.94	21.78	18.29	19.97	29.27	8.78	40.07	13.52	20.26	9.93	26.1	19.11	12.09	32.59	24.81	16.75	26.67	33.78	12.55	18.56	15.11	21.01	23.76	21.94	21.78	28.45	10.0	21.94	9.78	35.76	32.59	19.68	33.78	25.17	23.25	17.0	26.47	17.64	12.55	20.71	25.35	11.82	10.71	21.94	20.86	19.39	29.48	6.21	26.1	11.55	17.9	18.29	15.8	12.45	12.45	12.64	13.03	14.67	3.69	11.38	11.47	10.0
PBRM1	101.54	72.01	104.42	473.41	633.73	135.24	229.72	796.86	599.49	215.77	532.74	221.86	638.15	521.76	152.28	283.05	262.2	808.0	249.73	279.14	708.18	218.79	343.89	366.09	785.88	195.72	423.61	713.11	723.08	314.17	277.2	236.21	221.86	497.0	327.56	265.87	217.27	267.73	346.29	178.77	260.38	283.05	258.57	738.29	435.55	217.27	684.02	312.0	483.38	273.37	208.38	289.02	224.97	120.94	133.36	642.59	341.51	157.68	265.87	703.28	215.77	201.25	275.28	269.6	195.72	212.78	189.02	334.46	218.79	387.02	532.74	397.93	551.56	435.55	323.03	435.55	525.39	332.14	228.13	249.73	703.28	476.71	249.73	204.07	297.17	283.05	733.19	186.4	299.25	825.0	353.59	633.73	140.04	299.25	591.22	271.48	285.03	255.0	460.44	525.39	180.02	258.57	400.71	283.05	406.31	277.2	176.29	463.65	202.66	253.23	194.36	283.05	186.4	231.32	236.21	389.72	312.0	228.13	332.14	297.17	239.52
PCYT1A	346.29	447.82	341.51	583.07	669.92	332.14	543.96	567.1	674.59	417.77	684.02	463.65	587.13	738.29	256.78	514.56	426.57	679.29	392.44	536.45	633.73	387.02	486.75	579.04	571.05	389.72	363.56	607.87	616.37	514.56	466.88	480.04	460.44	429.54	429.54	543.96	387.02	376.41	525.39	389.72	447.82	500.46	454.09	620.67	775.05	426.57	860.08	454.09	599.49	429.54	329.84	409.15	511.0	287.01	348.71	679.29	518.15	373.81	490.14	587.13	336.79	366.09	723.08	507.46	226.54	447.82	301.33	507.46	470.14	486.75	503.95	507.46	563.18	325.29	454.09	656.11	486.75	392.44	435.55	441.64	708.18	555.41	529.06	376.41	457.25	265.87	567.1	353.59	432.53	780.44	470.14	660.68	332.14	493.56	426.57	417.77	289.02	555.41	656.11	603.67	395.18	423.61	555.41	518.15	473.41	514.56	373.81	638.15	423.61	417.77	395.18	473.41	320.8	406.31	348.71	521.76	540.19	429.54	473.41	518.15	397.93
PDXDC1	1044.52	1359.57	1733.13	4095.0	4123.49	2875.3	2451.44	3716.2	3665.02	2573.36	3491.39	3235.01	3303.0	2451.44	2271.4	2739.08	3039.3	3928.15	3103.19	3349.13	3515.68	2451.44	2664.15	3280.18	3491.39	2627.46	3103.19	2976.74	2915.45	3235.01	3349.13	2664.15	2935.74	4328.55	2895.31	2287.2	1733.13	2502.97	3515.68	2240.11	2701.35	3168.41	3467.27	3103.19	3257.52	2720.15	3901.01	3372.43	2645.74	2032.85	1369.04	4010.71	3039.3	1794.29	2209.26	3639.7	3146.52	2502.97	2935.74	3716.2	2148.82	2758.13	2627.46	3794.3	2434.5	2485.67	2061.24	3901.01	3146.52	3395.89	3955.48	2895.31	2875.3	3419.52	2935.74	4152.18	3614.55	3280.18	3039.3	2796.65	5112.16	2720.15	2178.83	3235.01	2224.63	3564.78	3467.27	2240.11	4419.52	4903.87	3515.68	4038.61	2193.99	3955.48	2915.45	3018.3	2915.45	2520.38	3325.99	4388.98	1832.01	2739.08	3955.48	3257.52	3614.55	3589.58	3103.19	3103.19	2335.28	2485.67	2682.69	2287.2	3060.45	2555.58	2502.97	2520.38	1857.6	1662.49	2119.22	2935.74	2163.77
PEX26	140.04	155.5	146.03	366.09	371.22	170.25	239.52	323.03	384.34	218.79	483.38	256.78	244.57	353.59	260.38	229.72	269.6	409.15	423.61	329.84	403.5	241.19	293.07	307.69	406.31	246.28	329.84	325.29	381.68	293.07	291.04	275.28	241.19	384.34	346.29	293.07	255.0	293.07	295.11	236.21	277.2	285.03	275.28	389.72	387.02	214.27	381.68	283.05	318.57	269.6	201.25	142.01	285.03	155.5	163.28	432.53	447.82	147.06	323.03	348.71	215.77	232.94	361.04	309.83	231.32	204.07	231.32	323.03	281.09	334.46	366.09	346.29	351.14	341.51	301.33	414.87	312.0	267.73	285.03	303.44	262.2	323.03	271.48	218.79	269.6	208.38	368.65	206.94	299.25	420.68	348.71	435.55	241.19	269.6	356.05	314.17	260.38	275.28	381.68	363.56	178.77	283.05	327.56	336.79	463.65	289.02	239.52	403.5	214.27	171.45	258.57	309.83	224.97	215.77	162.14	309.83	262.2	209.84	273.37	305.55	221.86
PLAA	251.48	217.27	186.4	447.82	486.75	229.72	256.78	420.68	518.15	242.88	476.71	325.29	441.64	255.0	320.8	329.84	318.57	400.71	309.83	279.14	460.44	287.01	366.09	389.72	555.41	251.48	334.46	511.0	412.0	281.09	341.51	269.6	211.31	353.59	258.57	273.37	248.0	232.94	332.14	229.72	271.48	301.33	275.28	476.71	435.55	228.13	514.56	279.14	423.61	264.03	255.0	239.52	376.41	121.79	208.38	387.02	397.93	262.2	271.48	497.0	277.2	190.34	343.89	327.56	279.14	356.05	211.31	332.14	265.87	432.53	323.03	316.37	514.56	412.0	271.48	395.18	656.11	329.84	267.73	224.97	417.77	217.27	251.48	249.73	301.33	255.0	490.14	246.28	285.03	406.31	307.69	392.44	264.03	289.02	400.71	432.53	339.14	301.33	351.14	363.56	204.07	199.85	353.59	267.73	371.22	244.57	211.31	356.05	291.04	206.94	267.73	265.87	264.03	303.44	271.48	273.37	251.48	205.5	239.52	258.57	209.84
POM121	202.66	144.01	175.07	647.07	511.0	223.41	476.71	753.83	633.73	397.93	679.29	536.45	559.28	536.45	356.05	518.15	575.03	830.75	325.29	403.5	669.92	373.81	559.28	607.87	764.36	336.79	563.18	1151.06	624.99	420.68	591.22	373.81	591.22	633.73	543.96	392.44	341.51	412.0	476.71	334.46	497.0	551.56	373.81	791.35	423.61	307.69	514.56	432.53	457.25	450.94	287.01	493.56	536.45	279.14	303.44	748.61	854.13	224.97	351.14	579.04	463.65	239.52	525.39	463.65	194.36	387.02	373.81	426.57	460.44	547.75	607.87	507.46	583.07	684.02	587.13	583.07	703.28	406.31	368.65	571.05	860.08	669.92	397.93	332.14	454.09	447.82	642.59	271.48	547.75	713.11	607.87	819.3	242.88	406.31	591.22	620.67	1023.0	412.0	579.04	642.59	312.0	438.59	493.56	426.57	543.96	363.56	271.48	656.11	336.79	463.65	332.14	536.45	376.41	429.54	476.71	403.5	249.73	153.34	400.71	253.23	329.84
POM121C	353.59	170.25	214.27	796.86	567.1	323.03	656.11	830.75	902.89	400.71	660.68	503.95	703.28	579.04	400.71	563.18	591.22	909.17	361.04	409.15	718.08	392.44	647.07	660.68	872.1	420.68	624.99	1208.34	693.58	500.46	583.07	414.87	540.19	743.43	551.56	384.34	420.68	476.71	511.0	373.81	500.46	529.06	400.71	866.07	429.54	348.71	532.74	466.88	536.45	447.82	371.22	587.13	575.03	463.65	426.57	733.19	836.53	323.03	384.34	733.19	483.38	334.46	551.56	473.41	339.14	444.72	435.55	463.65	470.14	525.39	698.41	591.22	616.37	733.19	591.22	679.29	796.86	521.76	395.18	603.67	928.3	693.58	486.75	371.22	514.56	460.44	808.0	381.68	521.76	825.0	665.29	902.89	291.04	483.38	753.83	679.29	954.43	473.41	647.07	733.19	473.41	457.25	579.04	450.94	579.04	423.61	327.56	738.29	384.34	536.45	363.56	624.99	454.09	497.0	555.41	507.46	325.29	205.5	476.71	329.84	409.15
PRR14L	80.57	94.01	98.73	269.6	253.23	161.02	175.07	323.03	301.33	195.72	241.19	229.72	287.01	293.07	147.06	199.85	201.25	320.8	208.38	223.41	312.0	187.71	206.94	265.87	295.11	178.77	239.52	314.17	309.83	189.02	205.5	199.85	198.47	267.73	265.87	187.71	189.02	157.68	212.78	161.02	211.31	224.97	236.21	343.89	199.85	189.02	312.0	215.77	295.11	183.82	146.03	194.36	208.38	202.66	153.34	348.71	265.87	125.24	201.25	329.84	204.07	162.14	215.77	212.78	175.07	198.47	182.55	237.86	217.27	255.0	312.0	234.57	277.2	271.48	209.84	273.37	305.55	202.66	215.77	256.78	346.29	323.03	221.86	181.28	205.5	163.28	291.04	194.36	273.37	323.03	202.66	309.83	175.07	206.94	273.37	212.78	242.88	199.85	262.2	271.48	176.29	175.07	293.07	206.94	229.72	246.28	159.9	264.03	202.66	255.0	197.09	228.13	156.59	201.25	208.38	178.77	110.43	64.8	145.02	167.9	175.07
PTPRJ	41.22	65.72	46.84	486.75	279.14	28.24	82.87	470.14	532.74	94.01	381.68	120.94	450.94	329.84	40.07	255.0	121.79	299.25	78.34	132.44	571.05	64.34	248.0	244.57	624.99	65.72	279.14	341.51	303.44	149.12	98.73	51.35	121.79	303.44	209.84	113.56	73.54	104.42	211.31	68.55	126.12	121.79	145.02	525.39	258.57	106.63	199.85	158.79	229.72	63.45	28.65	141.02	128.79	40.07	48.18	497.0	158.79	47.84	114.36	432.53	102.25	42.41	205.5	116.78	44.89	65.72	63.89	161.02	76.17	241.19	447.82	217.27	417.77	379.04	159.9	234.57	163.28	217.27	120.1	223.41	387.02	327.56	140.04	107.38	71.5	148.09	441.64	66.65	202.66	507.46	239.52	490.14	44.89	193.01	400.71	154.42	122.64	102.25	271.48	854.13	52.08	136.19	346.29	169.07	267.73	163.28	70.01	356.05	78.34	128.79	81.14	156.59	88.88	118.43	108.14	215.77	115.97	81.14	111.21	89.51	78.89
RAPGEF2	171.45	101.54	169.07	536.45	703.28	141.02	194.36	738.29	669.92	232.94	514.56	325.29	567.1	571.05	202.66	395.18	400.71	629.35	260.38	271.48	620.67	220.32	417.77	414.87	909.17	202.66	429.54	599.49	607.87	305.55	447.82	224.97	231.32	400.71	376.41	358.54	287.01	258.57	417.77	256.78	287.01	301.33	363.56	591.22	511.0	183.82	825.0	248.0	460.44	209.84	161.02	417.77	363.56	131.51	98.04	684.02	379.04	167.9	351.14	521.76	221.86	163.28	384.34	409.15	134.3	414.87	146.03	387.02	253.23	567.1	536.45	441.64	466.88	454.09	269.6	540.19	624.99	336.79	289.02	312.0	624.99	514.56	277.2	180.02	339.14	183.82	656.11	116.78	450.94	842.36	381.68	612.11	163.28	353.59	579.04	384.34	429.54	275.28	511.0	633.73	175.07	258.57	486.75	332.14	536.45	389.72	172.65	607.87	206.94	275.28	260.38	283.05	181.28	223.41	209.84	376.41	242.88	142.01	251.48	267.73	142.01
RERE	309.83	211.31	246.28	3190.46	2609.3	1819.35	1733.13	3982.99	2875.3	1529.73	2720.15	1806.78	2739.08	2502.97	1896.65	1977.24	1832.01	4181.07	1870.53	2303.12	3794.3	1909.85	1781.89	2664.15	4481.23	1417.35	3395.89	3060.45	2609.3	1883.54	1963.57	1487.87	2004.85	2537.92	1757.34	1662.49	1857.6	2004.85	2739.08	1437.15	1896.65	2163.77	1936.53	3589.58	1745.2	1331.57	2935.74	2537.92	2351.53	1519.15	1322.37	2627.46	1721.16	2520.38	1081.39	3280.18	2720.15	2163.77	2875.3	3146.52	2835.7	2224.63	2119.22	2720.15	563.18	1781.89	1697.45	2573.36	1745.2	2758.13	4210.15	3018.3	2976.74	3190.46	2119.22	2351.53	2417.67	3955.48	2835.7	2645.74	3443.31	3820.7	1950.0	1378.57	2758.13	1844.76	2976.74	1651.0	3212.66	3716.2	2777.33	4095.0	1733.13	2367.9	3235.01	2090.03	2935.74	1896.65	2434.5	3060.45	1883.54	1909.85	2287.2	1896.65	2520.38	2255.7	1277.29	2835.7	1594.73	2739.08	1378.57	2351.53	2255.7	2367.9	2664.15	1733.13	1250.98	708.18	1721.16	1427.22	1233.75
RNF168	127.89	46.84	98.04	154.42	185.11	90.77	97.36	175.07	163.28	129.69	153.34	126.12	158.79	175.07	48.18	148.09	111.21	172.65	120.1	119.26	172.65	123.5	123.5	157.68	138.1	127.0	72.01	150.17	158.79	110.43	113.56	134.3	114.36	142.01	114.36	130.6	119.26	132.44	132.44	101.54	141.02	145.02	115.97	170.25	169.07	137.14	136.19	104.42	157.68	100.83	120.94	146.03	122.64	68.55	90.77	165.57	115.16	88.26	87.65	185.11	102.25	90.14	136.19	88.88	67.12	100.13	110.43	153.34	132.44	120.94	187.71	144.01	165.57	100.13	125.24	156.59	130.6	94.01	104.42	122.64	143.01	145.02	115.16	105.89	107.38	91.41	143.01	111.21	115.16	181.28	127.0	169.07	99.43	102.97	117.6	109.66	68.55	138.1	158.79	195.72	104.42	117.6	139.07	112.77	131.51	112.77	108.9	141.02	111.21	126.12	95.34	127.89	87.65	124.37	89.51	109.66	82.29	55.49	146.03	114.36	102.25
RPL36A-HNRNPH2	6.84	6.21	0.0	106.63	39.79	0.0	43.63	156.59	43.32	0.0	56.28	6.94	89.51	95.34	3.86	13.93	34.26	111.21	0.0	47.17	27.44	2.39	15.45	35.25	64.8	40.36	40.93	72.52	17.38	38.95	22.1	6.73	57.89	59.97	32.13	32.36	7.82	4.31	33.3	10.39	26.1	34.26	17.38	162.14	0.0	2.97	69.03	29.06	59.55	18.7	3.72	18.16	31.0	21.47	10.24	80.57	17.13	26.47	45.21	77.79	28.24	5.15	21.78	5.87	0.0	12.0	3.14	47.84	21.16	20.86	75.11	47.5	102.25	13.93	50.27	20.71	82.29	57.89	42.71	33.06	34.02	55.1	18.29	18.97	19.53	30.12	5.23	36.79	37.85	74.58	0.0	54.33	29.7	5.11	70.51	65.72	38.12	7.82	36.79	62.56	14.03	21.94	46.84	2.1	115.97	47.17	2.23	54.72	61.68	8.0	23.08	8.32	7.69	9.13	15.34	7.69	18.03	26.47	11.73	5.45	8.99
RPRD2	80.01	132.44	137.14	529.06	486.75	170.25	256.78	669.92	563.18	244.57	540.19	249.73	555.41	511.0	140.04	239.52	229.72	591.22	189.02	325.29	511.0	267.73	329.84	329.84	532.74	248.0	361.04	616.37	543.96	262.2	244.57	251.48	237.86	444.72	361.04	265.87	242.88	406.31	397.93	163.28	336.79	279.14	269.6	551.56	371.22	208.38	392.44	318.57	426.57	187.71	202.66	297.17	441.64	122.64	153.34	559.28	409.15	187.71	287.01	450.94	297.17	195.72	275.28	287.01	136.19	218.79	201.25	339.14	242.88	392.44	476.71	409.15	444.72	397.93	305.55	356.05	409.15	376.41	271.48	316.37	514.56	417.77	256.78	187.71	242.88	226.54	497.0	199.85	305.55	587.13	332.14	466.88	194.36	277.2	463.65	429.54	301.33	275.28	441.64	518.15	208.38	267.73	435.55	279.14	366.09	329.84	198.47	457.25	217.27	264.03	187.71	329.84	231.32	215.77	271.48	387.02	239.52	171.45	356.05	242.88	275.28
RRP1B	165.57	120.1	166.73	316.37	265.87	169.07	236.21	336.79	376.41	236.21	353.59	234.57	334.46	329.84	185.11	253.23	265.87	353.59	197.09	264.03	224.97	220.32	256.78	295.11	353.59	220.32	291.04	348.71	368.65	214.27	205.5	221.86	251.48	343.89	241.19	211.31	208.38	251.48	275.28	159.9	301.33	218.79	220.32	412.0	195.72	186.4	343.89	214.27	318.57	193.01	183.82	199.85	312.0	152.28	122.64	316.37	271.48	189.02	218.79	327.56	180.02	166.73	301.33	218.79	105.89	173.85	242.88	218.79	215.77	281.09	275.28	316.37	323.03	299.25	269.6	299.25	307.69	215.77	242.88	242.88	301.33	260.38	231.32	186.4	236.21	209.84	339.14	221.86	224.97	346.29	273.37	312.0	178.77	211.31	329.84	307.69	212.78	223.41	277.2	332.14	211.31	229.72	299.25	218.79	256.78	197.09	175.07	299.25	204.07	228.13	231.32	215.77	197.09	220.32	155.5	251.48	166.73	105.15	255.0	189.02	241.19
SELRC1	205.5	107.38	75.64	199.85	231.32	134.3	129.69	198.47	279.14	148.09	334.46	209.84	187.71	186.4	128.79	139.07	153.34	223.41	106.63	145.02	202.66	122.64	223.41	202.66	260.38	164.42	201.25	197.09	190.34	128.79	139.07	166.73	152.28	211.31	166.73	150.17	120.94	93.35	177.53	113.56	170.25	163.28	167.9	351.14	109.66	101.54	309.83	186.4	171.45	121.79	90.77	143.01	161.02	108.14	102.25	371.22	202.66	104.42	152.28	180.02	69.03	102.97	215.77	145.02	90.77	111.21	83.45	130.6	141.02	320.8	147.06	132.44	195.72	194.36	175.07	287.01	249.73	248.0	157.68	181.28	193.01	172.65	133.36	126.12	173.85	134.3	234.57	105.89	162.14	189.02	139.07	221.86	99.43	171.45	206.94	156.59	127.0	120.94	208.38	316.37	110.43	105.15	224.97	140.04	161.02	164.42	103.69	158.79	149.12	72.01	148.09	140.04	69.52	151.22	146.03	157.68	120.1	120.1	86.43	141.02	137.14
SENP2	197.09	115.16	151.22	444.72	476.71	178.77	285.03	525.39	470.14	287.01	438.59	348.71	457.25	579.04	141.02	483.38	293.07	599.49	363.56	356.05	503.95	295.11	406.31	343.89	406.31	231.32	373.81	507.46	463.65	387.02	353.59	314.17	336.79	414.87	323.03	332.14	255.0	339.14	384.34	229.72	293.07	312.0	267.73	339.14	674.59	285.03	486.75	318.57	403.5	334.46	253.23	267.73	334.46	151.22	178.77	525.39	277.2	218.79	323.03	441.64	260.38	267.73	444.72	318.57	269.6	242.88	231.32	363.56	295.11	376.41	366.09	457.25	463.65	248.0	303.44	444.72	356.05	329.84	273.37	299.25	547.75	412.0	299.25	277.2	463.65	285.03	293.07	239.52	320.8	563.18	366.09	400.71	241.19	273.37	620.67	343.89	285.03	320.8	450.94	540.19	258.57	329.84	476.71	363.56	420.68	325.29	212.78	409.15	237.86	281.09	242.88	368.65	208.38	295.11	264.03	426.57	339.14	303.44	329.84	339.14	281.09
SEPHS1	638.15	1111.82	830.75	1088.92	1259.69	723.08	813.63	1151.06	1151.06	830.75	642.59	902.89	1066.48	1111.82	915.51	830.75	764.36	1295.13	872.1	915.51	1199.98	830.75	961.07	1183.45	974.5	688.78	921.88	1242.34	1135.2	896.64	1030.12	830.75	759.08	1051.79	928.3	796.86	780.44	830.75	1051.79	813.63	961.07	854.13	947.83	1388.16	1044.52	748.61	954.43	1044.52	981.29	808.0	638.15	915.51	947.83	723.08	785.88	1143.1	1073.91	825.0	1044.52	1167.14	878.17	669.92	896.64	941.27	941.27	660.68	660.68	1073.91	780.44	1183.45	848.22	1030.12	1066.48	1096.5	974.5	1066.48	629.35	909.17	872.1	981.29	1030.12	1159.07	733.19	780.44	1143.1	1037.29	1259.69	651.58	988.12	1143.1	1001.93	1008.9	842.36	974.5	1081.39	1119.56	547.75	769.69	1088.92	1051.79	703.28	813.63	981.29	961.07	902.89	981.29	780.44	988.12	647.07	872.1	866.07	842.36	830.75	842.36	981.29	1199.98	1044.52	836.53	612.11	825.0	866.07
