	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.5084.01A.01R.1334.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A896.01A.11R.A36F.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.ZG.A9M4.01A.11R.A41O.07	TCGA.F5.6812.01A.11R.1830.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.KP.A3W1.01A.11R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07
NABP2	1369.04	842.36	1175.27	1268.46	1508.65	1870.53	1088.92	808.0	616.37	884.29	988.12	563.18	941.27	1208.34	1628.26	988.12	713.11	1051.79	860.08	1437.15	928.3	842.36	848.22	967.76	371.22	229.72	373.81	387.02	371.22	241.19	358.54	275.28	417.77	363.56	297.17	264.03	432.53	242.88	447.82	221.86	473.41	438.59	309.83	368.65	287.01	279.14	332.14	381.68	351.14	412.0	241.19	351.14	253.23	260.38	223.41	373.81	334.46	329.84	228.13	273.37	309.83	211.31	325.29	141.02	269.6	291.04	638.15	974.5	1015.93	708.18	563.18
NCSTN	2895.31	5329.3	3349.13	3212.66	5147.73	2573.36	2777.33	2645.74	2956.17	1977.24	1572.76	2255.7	2520.38	2875.3	2816.11	2796.65	2816.11	3372.43	3168.41	1936.53	2367.9	2609.3	1662.49	1909.85	1044.52	836.53	1427.22	759.08	842.36	941.27	825.0	928.3	674.59	921.88	1037.29	1015.93	928.3	764.36	961.07	1044.52	1081.39	1081.39	961.07	1143.1	947.83	1037.29	698.41	1151.06	921.88	1143.1	769.69	1388.16	1044.52	1081.39	785.88	1242.34	967.76	1051.79	1066.48	1277.29	1208.34	753.83	947.83	688.78	921.88	532.74	1950.0	2271.4	1757.34	4181.07	1617.0
NDUFS5	13492.72	15934.98	10368.08	18431.96	10014.87	23820.89	14262.1	16843.62	12160.22	13033.07	16960.78	13306.94	12764.83	12676.65	19618.49	12502.12	14361.31	18178.19	11992.79	10808.41	21919.61	18304.63	16157.44	16383.0	5751.61	11424.74	12589.08	10883.59	4836.35	6079.61	4543.8	8191.0	7589.61	4869.99	8022.41	6381.92	9606.86	8247.98	6983.79	5751.61	14065.74	8191.0	7280.4	12329.98	5791.62	7433.4	8134.41	12676.65	7032.37	8778.97	6983.79	9740.98	5006.93	9151.82	5255.91	10512.82	5954.47	7433.4	7130.55	9876.98	9540.5	12076.21	4639.29	7589.61	6792.79	7180.15	12943.04	13776.25	18689.27	8078.22	13681.08
NFKBIE	409.15	595.34	759.08	591.22	555.41	2032.85	1044.52	1806.78	954.43	1044.52	1498.22	1111.82	909.17	1111.82	1991.0	1167.14	842.36	1159.07	1322.37	738.29	529.06	2119.22	693.58	819.3	470.14	271.48	429.54	486.75	164.42	218.79	224.97	361.04	186.4	293.07	58.3	193.01	159.9	279.14	191.67	177.53	165.57	214.27	76.71	236.21	65.26	44.25	115.16	511.0	118.43	116.78	191.67	122.64	237.86	381.68	206.94	603.67	145.02	124.37	154.42	381.68	116.78	215.77	127.89	258.57	303.44	98.04	503.95	381.68	813.63	1233.75	432.53
NOL12	738.29	1286.18	642.59	656.11	1073.91	529.06	571.05	532.74	447.82	392.44	551.56	483.38	638.15	435.55	688.78	525.39	403.5	748.61	612.11	480.04	480.04	567.1	525.39	291.04	251.48	190.34	251.48	279.14	195.72	176.29	215.77	262.2	226.54	336.79	277.2	248.0	195.72	299.25	275.28	236.21	171.45	241.19	115.97	228.13	202.66	271.48	371.22	139.07	194.36	351.14	318.57	281.09	371.22	303.44	260.38	341.51	223.41	277.2	231.32	218.79	301.33	124.37	183.82	119.26	248.0	182.55	629.35	363.56	995.0	660.68	595.34
NOMO3	3928.15	4802.93	1208.34	3303.0	2367.9	3540.14	2835.7	1242.34	1721.16	921.88	1242.34	1242.34	2915.45	2287.2	2701.35	3146.52	1051.79	2303.12	947.83	2976.74	2701.35	2119.22	2104.58	1417.35	808.0	412.0	860.08	607.87	780.44	432.53	480.04	567.1	819.3	842.36	848.22	426.57	470.14	356.05	902.89	518.15	974.5	808.0	941.27	1143.1	603.67	518.15	599.49	642.59	660.68	1111.82	775.05	759.08	1322.37	599.49	423.61	332.14	909.17	603.67	688.78	825.0	587.13	262.2	718.08	441.64	551.56	559.28	1286.18	1561.89	1286.18	2720.15	1143.1
ORMDL2	3018.3	1721.16	1088.92	2271.4	2032.85	3467.27	2400.97	1417.35	1447.15	1175.27	1378.57	1059.11	1977.24	1674.06	2417.67	1331.57	1008.9	1733.13	1639.59	1519.15	1331.57	1529.73	1467.37	1561.89	703.28	785.88	902.89	1167.14	454.09	785.88	551.56	647.07	583.07	642.59	764.36	536.45	836.53	476.71	753.83	575.03	1183.45	791.35	748.61	1051.79	713.11	551.56	860.08	1216.75	703.28	878.17	547.75	718.08	830.75	733.19	426.57	1023.0	660.68	780.44	723.08	860.08	785.88	1008.9	728.11	651.58	665.29	703.28	1175.27	780.44	1769.57	2855.44	2485.67
PA2G4	4010.71	2468.49	2148.82	3168.41	4123.49	3235.01	2271.4	2682.69	1628.26	2178.83	2739.08	1551.09	2720.15	2384.37	2720.15	1769.57	2104.58	2875.3	2400.97	3081.75	2400.97	2240.11	1769.57	1594.73	878.17	909.17	1183.45	878.17	909.17	698.41	941.27	921.88	866.07	825.0	1242.34	878.17	981.29	808.0	974.5	665.29	1073.91	1037.29	1051.79	947.83	748.61	896.64	848.22	1127.35	1051.79	909.17	961.07	1135.2	890.44	878.17	1066.48	947.83	928.3	934.76	1127.35	1111.82	1015.93	890.44	884.29	1127.35	941.27	808.0	2047.0	2400.97	3820.7	2796.65	1529.73
PAGR1	1674.06	1733.13	353.59	743.43	1119.56	802.41	633.73	1119.56	616.37	748.61	909.17	808.0	941.27	836.53	981.29	1135.2	1127.35	1066.48	860.08	555.41	785.88	769.69	854.13	723.08	412.0	420.68	406.31	466.88	400.71	486.75	540.19	511.0	536.45	567.1	785.88	555.41	346.29	429.54	490.14	381.68	329.84	575.03	351.14	532.74	438.59	521.76	713.11	346.29	373.81	490.14	591.22	363.56	454.09	379.04	441.64	336.79	486.75	332.14	366.09	287.01	500.46	208.38	244.57	353.59	480.04	358.54	1081.39	595.34	2119.22	974.5	1015.93
PARL	2417.67	3081.75	1259.69	2133.97	2537.92	3235.01	2209.26	2520.38	2367.9	1733.13	1397.83	1781.89	2502.97	2148.82	2537.92	2417.67	2090.03	2061.24	2178.83	1508.65	2997.45	1950.0	1883.54	1359.57	884.29	1104.13	1277.29	921.88	1096.5	842.36	1081.39	1225.22	1096.5	988.12	1417.35	1233.75	1127.35	1015.93	1208.34	1331.57	1369.04	1096.5	764.36	808.0	1059.11	1119.56	902.89	1151.06	872.1	988.12	1388.16	854.13	848.22	1001.93	1467.37	1167.14	836.53	1051.79	1208.34	1331.57	866.07	884.29	1001.93	872.1	941.27	981.29	1806.78	1359.57	1540.37	1709.26	1427.22
PDCD5	8363.13	5711.87	2468.49	5006.93	10084.54	5183.54	4210.15	3690.52	2400.97	2997.45	3257.52	2319.15	2997.45	3081.75	3955.48	3372.43	3614.55	3515.68	3168.41	3372.43	2701.35	3614.55	1674.06	2835.7	1331.57	1639.59	2287.2	2485.67	1322.37	764.36	780.44	2047.0	1388.16	1605.83	2367.9	1721.16	1519.15	1313.23	1447.15	1051.79	2018.8	1896.65	2224.63	2075.59	1551.09	1936.53	1059.11	1605.83	1508.65	2032.85	1870.53	1583.71	1151.06	1359.57	1757.34	2915.45	1709.26	1487.87	1832.01	2209.26	1733.13	1295.13	1794.29	1304.15	1977.24	1709.26	1388.16	4575.41	5479.15	6471.02	2451.44
PDCL3	981.29	1639.59	693.58	954.43	890.44	1268.46	1015.93	620.67	543.96	708.18	693.58	497.0	764.36	708.18	629.35	483.38	381.68	1135.2	603.67	791.35	866.07	567.1	638.15	429.54	180.02	221.86	197.09	190.34	146.03	159.9	104.42	206.94	232.94	173.85	214.27	148.09	150.17	97.36	271.48	88.26	186.4	228.13	169.07	204.07	202.66	221.86	218.79	253.23	183.82	255.0	190.34	195.72	205.5	198.47	108.14	214.27	194.36	145.02	241.19	277.2	178.77	166.73	228.13	138.1	211.31	214.27	698.41	961.07	559.28	934.76	540.19
PDZD11	2645.74	1991.0	1216.75	1977.24	3103.19	2777.33	1896.65	1540.37	1529.73	1594.73	1073.91	1250.98	2018.8	1427.22	1936.53	1909.85	1191.69	1883.54	1605.83	1286.18	1769.57	1467.37	1183.45	1757.34	392.44	633.73	684.02	660.68	249.73	441.64	307.69	633.73	500.46	583.07	457.25	518.15	624.99	551.56	563.18	368.65	753.83	511.0	341.51	748.61	555.41	612.11	435.55	450.94	470.14	713.11	642.59	819.3	409.15	647.07	403.5	718.08	457.25	454.09	480.04	825.0	808.0	493.56	409.15	373.81	392.44	371.22	1572.76	1208.34	1651.0	1733.13	1088.92
PLEKHG4	232.94	665.29	77.25	64.8	134.3	285.03	193.01	121.79	202.66	116.78	220.32	312.0	293.07	518.15	358.54	325.29	279.14	361.04	392.44	78.34	15.56	224.97	119.26	665.29	5.28	0.0	3.92	11.64	48.87	1.83	30.78	3.59	26.47	45.21	5.5	7.75	11.91	6.36	7.88	7.57	3.89	53.19	15.68	3.0	18.03	9.85	0.74	21.63	10.63	10.31	12.55	8.58	5.32	24.11	13.12	1.31	1.43	7.75	1.57	2.92	68.55	0.45	71.5	22.43	8.45	4.9	37.59	813.63	68.55	38.67	57.49
POLR2H	4704.07	4543.8	2796.65	2240.11	2720.15	3467.27	2520.38	1977.24	1977.24	1457.23	3235.01	2018.8	2163.77	2855.44	3168.41	3303.0	2485.67	2271.4	2682.69	2777.33	1757.34	1583.71	2555.58	1909.85	1529.73	1143.1	1225.22	1572.76	947.83	1259.69	1250.98	915.51	1030.12	1662.49	698.41	1286.18	1119.56	1674.06	748.61	1331.57	1001.93	1183.45	848.22	1295.13	1119.56	1066.48	1662.49	981.29	1225.22	1199.98	1001.93	1295.13	2178.83	1457.23	1794.29	718.08	1388.16	909.17	915.51	1286.18	1551.09	536.45	1304.15	1059.11	1350.18	1051.79	1794.29	2090.03	3847.29	5219.6	2720.15
POLR2J	5594.3	6699.25	2485.67	5633.22	5594.3	4903.87	3742.05	3039.3	2915.45	2609.3	4066.71	3325.99	3190.46	3820.7	8305.36	5329.3	2591.27	3419.52	3124.78	7857.29	6983.79	5872.48	6699.25	3716.2	1844.76	2777.33	3614.55	3235.01	3614.55	2047.0	3372.43	2956.17	2573.36	2193.99	2468.49	2451.44	2777.33	2555.58	3124.78	2573.36	3589.58	2758.13	5147.73	3768.09	2502.97	2976.74	2573.36	3794.3	4239.45	3768.09	3515.68	3614.55	2224.63	1963.57	2895.31	2240.11	1685.71	2032.85	2835.7	2178.83	4358.66	3168.41	2004.85	1870.53	3103.19	3639.7	2335.28	2609.3	5147.73	4450.27	3081.75
PPIB	26800.01	34158.52	12329.98	23330.64	11345.82	27938.14	31650.8	20310.37	15607.02	19482.97	21320.18	14867.79	27363.16	23492.92	30151.71	24660.96	15715.58	24660.96	22072.07	27363.16	20593.91	22850.48	13776.25	11112.3	12943.04	11584.24	14765.09	12943.04	7230.1	10084.54	10368.08	9673.69	10368.08	10808.41	13215.02	8247.98	10014.87	8305.36	16269.83	8901.53	18950.18	13586.57	11424.74	20881.4	8963.45	9409.14	13492.72	11424.74	8840.04	17197.56	9740.98	12764.83	14065.74	9606.86	6516.03	18689.27	12589.08	15180.22	14561.8	12244.81	10084.54	12329.98	12076.21	8901.53	10585.95	8901.53	11745.96	7382.04	24153.43	27363.16	29736.59
PPM1G	4328.55	3901.01	2335.28	2061.24	3515.68	2224.63	2061.24	1709.26	1540.37	1651.0	1794.29	1286.18	1991.0	1745.2	1561.89	1583.71	1167.14	2018.8	1628.26	1457.23	1794.29	2032.85	1923.14	1639.59	660.68	647.07	775.05	688.78	748.61	616.37	669.92	684.02	802.41	703.28	1037.29	638.15	703.28	543.96	764.36	575.03	813.63	909.17	860.08	728.11	647.07	679.29	860.08	669.92	674.59	872.1	674.59	679.29	780.44	595.34	571.05	738.29	759.08	775.05	909.17	698.41	583.07	854.13	473.41	1135.2	802.41	656.11	1572.76	2319.15	2573.36	3768.09	1883.54
PPP1R13L	2047.0	5255.91	967.76	2032.85	1135.2	1225.22	1295.13	1870.53	1769.57	1286.18	1519.15	1950.0	1572.76	1407.55	1857.6	1977.24	3665.02	1225.22	921.88	3349.13	1175.27	796.86	1111.82	1857.6	120.1	438.59	125.24	293.07	166.73	281.09	279.14	144.01	123.5	176.29	444.72	265.87	82.87	249.73	199.85	283.05	97.36	129.69	88.88	264.03	241.19	129.69	341.51	299.25	154.42	417.77	81.14	204.07	186.4	262.2	134.3	406.31	232.94	201.25	170.25	182.55	229.72	98.04	170.25	312.0	291.04	167.9	967.76	1037.29	1674.06	1844.76	559.28
PSMB4	14561.8	15285.81	11345.82	10659.59	14765.09	17197.56	11745.96	8134.41	5517.27	8191.0	7230.1	7032.37	9088.59	8538.88	11992.79	9279.58	7857.29	12764.83	8718.32	8305.36	8247.98	10225.32	6207.38	8840.04	4836.35	5751.61	7280.4	6516.03	5403.7	4543.8	4419.52	6699.25	5366.37	3639.7	8191.0	5831.91	7803.01	4972.34	6079.61	6294.04	6561.36	5555.65	5147.73	9215.48	5594.3	5183.54	5183.54	8778.97	4802.93	4972.34	6607.01	6699.25	3540.14	6207.38	4802.93	11827.67	4481.23	8479.89	8901.53	5366.37	7081.29	4869.99	4481.23	7032.37	5954.47	4419.52	9151.82	8598.28	10959.3	11035.54	7695.57
PSMC2	1781.89	1583.71	1487.87	2240.11	1447.15	4298.64	3146.52	1605.83	1304.15	1697.45	2075.59	1487.87	1991.0	2090.03	2400.97	1757.34	1487.87	1950.0	1857.6	3060.45	2047.0	1794.29	1457.23	2400.97	1175.27	1388.16	1628.26	1331.57	947.83	1119.56	909.17	1304.15	1519.15	1001.93	2075.59	1015.93	1277.29	947.83	1769.57	928.3	1508.65	1583.71	1259.69	1769.57	1191.69	1119.56	1119.56	1268.46	1369.04	1477.58	1304.15	1295.13	1066.48	1304.15	961.07	1733.13	1242.34	1369.04	1674.06	1733.13	1487.87	1350.18	1407.55	1437.15	1151.06	1369.04	1794.29	2104.58	1674.06	2555.58	1304.15
PSMD13	3349.13	3742.05	4298.64	2645.74	2032.85	5255.91	3847.29	2758.13	2777.33	2627.46	2701.35	3060.45	2682.69	3349.13	3639.7	3874.05	2701.35	3124.78	3325.99	2777.33	2090.03	4010.71	2090.03	2400.97	1487.87	1561.89	1721.16	1936.53	1857.6	1883.54	2004.85	1397.83	1870.53	1709.26	2682.69	2367.9	1628.26	1977.24	1388.16	2004.85	1685.71	1594.73	1733.13	1819.35	1529.73	1662.49	1250.98	1870.53	1745.2	1540.37	1594.73	1769.57	2240.11	1883.54	2075.59	1806.78	2032.85	2075.59	2104.58	1447.15	1832.01	1151.06	1498.22	2255.7	1519.15	1417.35	4769.75	3349.13	3874.05	3874.05	2739.08
PTGFRN	693.58	3124.78	1073.91	1286.18	2645.74	1991.0	1733.13	759.08	796.86	1340.84	884.29	688.78	2075.59	3018.3	1923.14	3018.3	718.08	967.76	1088.92	684.02	4298.64	2400.97	4607.24	2032.85	412.0	409.15	165.57	293.07	51.35	283.05	262.2	166.73	301.33	620.67	262.2	186.4	110.43	241.19	241.19	48.52	141.02	264.03	38.67	579.04	133.36	144.01	791.35	72.52	141.02	214.27	400.71	232.94	555.41	275.28	157.68	231.32	289.02	77.79	145.02	320.8	140.04	84.04	291.04	348.71	249.73	170.25	723.08	2720.15	2133.97	915.51	2018.8
PTTG1	3103.19	1923.14	647.07	567.1	1674.06	2855.44	1250.98	412.0	325.29	567.1	212.78	376.41	679.29	400.71	830.75	379.04	363.56	1030.12	915.51	194.36	241.19	896.64	186.4	444.72	39.79	42.41	63.0	158.79	9.06	6.84	20.56	54.33	43.94	42.11	66.18	41.81	21.94	16.63	51.71	22.1	44.57	36.79	22.43	33.54	13.12	30.78	21.16	135.24	13.32	73.54	99.43	19.25	0.0	59.55	17.51	81.14	4.82	41.81	29.27	49.91	56.28	35.25	31.67	36.01	48.52	36.01	189.02	808.0	3168.41	1277.29	490.14
RAN	5711.87	8134.41	9673.69	10659.59	12853.63	16496.96	9540.5	5517.27	5183.54	6471.02	7433.4	3928.15	8421.31	8479.89	9808.75	5711.87	5441.3	10154.69	7537.18	6840.04	6983.79	7433.4	5183.54	6079.61	2090.03	2004.85	2855.44	2645.74	2664.15	1781.89	2384.37	2075.59	2133.97	1769.57	2935.74	1757.34	2119.22	1331.57	2739.08	1397.83	3212.66	2502.97	3690.52	2627.46	1447.15	1923.14	2255.7	3235.01	2468.49	2609.3	2384.37	1857.6	1991.0	1662.49	1721.16	2178.83	2178.83	2075.59	2400.97	2384.37	2240.11	2400.97	2018.8	2591.27	1936.53	2209.26	4210.15	9025.81	8598.28	9151.82	4268.94
RBCK1	3372.43	1963.57	3515.68	3639.7	7280.4	7130.55	6887.62	2591.27	2384.37	2816.11	5366.37	3212.66	4358.66	5329.3	6607.01	5112.16	2855.44	5479.15	4903.87	4419.52	2451.44	3103.19	2915.45	2384.37	2367.9	2148.82	1331.57	2609.3	2075.59	1467.37	4010.71	2451.44	2047.0	2319.15	1844.76	1923.14	1216.75	2004.85	1508.65	1242.34	1662.49	1745.2	2119.22	1769.57	1674.06	1250.98	3235.01	1044.52	2417.67	2485.67	2090.03	1159.07	2400.97	1883.54	1896.65	2875.3	2075.59	1583.71	1819.35	1250.98	2720.15	1073.91	2255.7	1572.76	1508.65	1268.46	2555.58	5329.3	2468.49	4298.64	1844.76
RBX1	2163.77	1977.24	1487.87	2627.46	2645.74	2682.69	2895.31	1697.45	1936.53	1583.71	1662.49	1639.59	2645.74	1977.24	2664.15	1551.09	1605.83	2335.28	2193.99	1359.57	1417.35	1963.57	1250.98	1081.39	579.04	728.11	1081.39	1159.07	511.0	679.29	525.39	733.19	703.28	780.44	872.1	587.13	733.19	642.59	830.75	595.34	902.89	941.27	536.45	860.08	551.56	607.87	813.63	713.11	688.78	854.13	947.83	647.07	836.53	780.44	441.64	1151.06	703.28	693.58	743.43	796.86	1111.82	684.02	802.41	457.25	713.11	607.87	1104.13	1037.29	2664.15	3018.3	1909.85
RCN1	6745.86	5711.87	2400.97	2645.74	2193.99	7911.95	4972.34	1733.13	1487.87	2682.69	2178.83	1519.15	2875.3	3589.58	2915.45	2537.92	2335.28	2178.83	3349.13	3325.99	1498.22	6792.79	2520.38	1883.54	1340.84	507.46	1674.06	842.36	1832.01	866.07	1030.12	1030.12	981.29	2485.67	759.08	896.64	1233.75	1073.91	1745.2	1295.13	1286.18	1259.69	1437.15	1216.75	738.29	921.88	642.59	1561.89	878.17	961.07	1143.1	1104.13	1191.69	718.08	579.04	941.27	547.75	1369.04	961.07	1757.34	759.08	967.76	1304.15	728.11	1427.22	1175.27	1037.29	2875.3	3515.68	2875.3	2915.45
RFC2	1286.18	708.18	796.86	1059.11	995.0	1066.48	713.11	616.37	616.37	651.58	791.35	426.57	660.68	890.44	988.12	679.29	896.64	848.22	896.64	1191.69	830.75	703.28	728.11	813.63	384.34	432.53	297.17	318.57	255.0	255.0	173.85	277.2	373.81	381.68	450.94	224.97	343.89	334.46	397.93	358.54	473.41	429.54	194.36	242.88	334.46	218.79	269.6	251.48	239.52	371.22	202.66	397.93	307.69	327.56	397.93	285.03	363.56	341.51	406.31	466.88	242.88	708.18	273.37	703.28	262.2	283.05	571.05	521.76	1175.27	1350.18	341.51
RIC8A	1331.57	1277.29	2935.74	2148.82	1259.69	2351.53	2061.24	1467.37	1674.06	1685.71	1857.6	1508.65	1909.85	1991.0	1651.0	1721.16	1844.76	2573.36	1896.65	1870.53	1745.2	1936.53	1268.46	1508.65	660.68	587.13	521.76	718.08	674.59	607.87	1340.84	884.29	693.58	884.29	723.08	660.68	624.99	599.49	518.15	587.13	435.55	674.59	583.07	579.04	674.59	791.35	728.11	551.56	660.68	607.87	915.51	669.92	802.41	718.08	974.5	483.38	830.75	503.95	426.57	688.78	603.67	473.41	638.15	698.41	624.99	603.67	1923.14	1540.37	1529.73	1350.18	1208.34
RNASEH2A	1909.85	2573.36	698.41	521.76	2701.35	934.76	764.36	409.15	341.51	563.18	567.1	287.01	620.67	371.22	417.77	414.87	490.14	753.83	679.29	395.18	351.14	543.96	389.72	660.68	56.68	130.6	166.73	220.32	126.12	130.6	56.68	148.09	99.43	125.24	195.72	157.68	115.97	98.04	215.77	111.21	348.71	147.06	91.41	147.06	146.03	182.55	116.78	189.02	153.34	256.78	150.17	183.82	60.39	172.65	144.01	373.81	81.71	206.94	123.5	173.85	197.09	89.51	94.01	141.02	149.12	102.25	460.44	733.19	1628.26	1359.57	529.06
RNF113A	486.75	890.44	403.5	547.75	497.0	595.34	486.75	429.54	423.61	454.09	412.0	366.09	511.0	426.57	376.41	447.82	381.68	432.53	493.56	339.14	285.03	358.54	256.78	346.29	299.25	229.72	237.86	172.65	253.23	157.68	208.38	214.27	189.02	185.11	327.56	231.32	226.54	172.65	253.23	161.02	221.86	226.54	246.28	329.84	211.31	226.54	215.77	229.72	187.71	297.17	214.27	242.88	258.57	195.72	223.41	208.38	201.25	194.36	299.25	224.97	175.07	387.02	162.14	197.09	228.13	162.14	409.15	473.41	366.09	417.77	387.02
RNF7	3540.14	5219.6	2133.97	2451.44	4639.29	5041.77	3589.58	2609.3	2573.36	3060.45	2796.65	2255.7	3874.05	3060.45	3768.09	3820.7	3540.14	3540.14	3716.2	2976.74	3168.41	3614.55	3820.7	2555.58	1617.0	1605.83	1639.59	2047.0	1832.01	1498.22	1639.59	1697.45	2468.49	1781.89	1605.83	1397.83	1697.45	1268.46	1721.16	1304.15	1781.89	1977.24	1721.16	1551.09	1369.04	1498.22	2384.37	1151.06	1733.13	1745.2	1819.35	1628.26	1088.92	1757.34	1447.15	1806.78	1167.14	1378.57	967.76	1721.16	1350.18	1216.75	1651.0	947.83	1151.06	2075.59	2485.67	2193.99	3716.2	3168.41	2758.13
RUVBL2	2682.69	2739.08	1662.49	3018.3	1896.65	2485.67	2209.26	2018.8	2148.82	1709.26	1896.65	1388.16	2591.27	1594.73	2240.11	2047.0	2271.4	2555.58	1963.57	2367.9	2133.97	2417.67	1883.54	1844.76	780.44	878.17	1001.93	1015.93	1015.93	660.68	947.83	974.5	872.1	764.36	1015.93	974.5	1015.93	660.68	1104.13	1119.56	1295.13	1119.56	1127.35	1096.5	974.5	909.17	1104.13	1111.82	954.43	1051.79	934.76	1225.22	802.41	738.29	830.75	1417.35	928.3	1427.22	1191.69	759.08	961.07	1059.11	571.05	934.76	1073.91	698.41	1216.75	1745.2	3280.18	4639.29	6561.36
SART1	2591.27	2047.0	1023.0	1167.14	1242.34	1183.45	1467.37	2004.85	1322.37	1001.93	1572.76	1487.87	1794.29	825.0	1023.0	1923.14	1617.0	1457.23	1167.14	1572.76	1295.13	3103.19	1561.89	1498.22	733.19	728.11	748.61	1447.15	1378.57	1066.48	988.12	1081.39	603.67	1096.5	1340.84	1268.46	860.08	1159.07	848.22	941.27	629.35	1037.29	941.27	1143.1	1322.37	928.3	1191.69	780.44	872.1	780.44	1081.39	728.11	830.75	909.17	1051.79	1073.91	961.07	878.17	1183.45	638.15	981.29	575.03	693.58	1268.46	1135.2	915.51	1685.71	1540.37	2573.36	2047.0	1963.57
SH3BGRL3	8479.89	20737.16	3146.52	10659.59	5403.7	13033.07	15285.81	7032.37	6607.01	7230.1	5183.54	9673.69	7485.11	6935.54	9474.59	7749.1	3018.3	9876.98	10225.32	6037.61	6516.03	15499.21	3443.31	13123.73	1151.06	1628.26	1721.16	1407.55	974.5	974.5	928.3	808.0	607.87	2255.7	808.0	967.76	1259.69	934.76	961.07	738.29	813.63	1467.37	567.1	1508.65	884.29	1023.0	2835.7	1059.11	825.0	1447.15	896.64	1008.9	1467.37	967.76	733.19	1340.84	1044.52	941.27	1331.57	1073.91	1540.37	1313.23	647.07	2209.26	872.1	616.37	3039.3	5366.37	11664.82	17558.94	4903.87
SHFM1	26431.04	18431.96	6983.79	11584.24	12943.04	13776.25	11189.6	8022.41	6792.79	6164.49	8598.28	7803.01	9876.98	8538.88	11664.82	12502.12	5672.41	9808.75	4903.87	13399.51	10440.2	7433.4	7032.37	11112.3	3257.52	5831.91	8598.28	5672.41	5594.3	5292.48	3395.89	7331.05	5441.3	3081.75	6652.97	4736.79	11992.79	3768.09	5517.27	5006.93	9673.69	6745.86	5006.93	7230.1	3235.01	4639.29	3257.52	8718.32	7589.61	6745.86	5831.91	8778.97	3794.3	5913.33	5366.37	6381.92	5517.27	7966.99	7642.41	7642.41	9808.75	7857.29	4010.71	3742.05	7642.41	5791.62	5711.87	7537.18	12676.65	13399.51	13681.08
