	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
PJA2	525.39	647.07	423.61	656.11	1199.98	460.44	547.75	988.12	1199.98	1104.13	1111.82	1295.13	1059.11	954.43	1167.14	1015.93	1250.98	1051.79	1340.84	1051.79	961.07	603.67	518.15	389.72	376.41	802.41	1073.91	1268.46	1111.82	1819.35	1088.92	688.78	1487.87	1572.76	785.88	836.53	1250.98	1175.27	1331.57	1295.13	1883.54	902.89	1183.45	693.58	860.08	708.18	1059.11	1175.27	1477.58	1721.16	532.74	511.0	1104.13	769.69	1447.15	444.72	738.29	518.15	748.61	647.07	738.29	529.06	540.19	723.08	476.71	759.08	780.44	629.35	387.02	656.11	915.51	1023.0	444.72	1066.48	1030.12	497.0	624.99	497.0	1088.92	583.07	656.11	403.5	559.28	599.49	395.18	612.11	368.65	693.58	947.83	400.71	616.37	299.25	351.14	599.49	361.04	543.96	1119.56	884.29	669.92	713.11	825.0	1923.14	607.87
PKIA	1.85	13.93	9.93	28.65	30.78	8.38	3.72	40.64	87.65	112.77	98.04	51.71	134.3	89.51	59.55	78.34	122.64	37.85	1191.69	1617.0	1605.83	470.14	1135.2	435.55	1397.83	89.51	1151.06	981.29	2351.53	2335.28	1551.09	1313.23	3212.66	224.97	796.86	1143.1	2133.97	1651.0	1832.01	211.31	616.37	540.19	146.03	2032.85	2997.45	2193.99	642.59	1073.91	190.34	166.73	164.42	12.83	25.35	59.97	2664.15	70.51	66.18	106.63	4.86	0.71	6.57	2.32	1.95	8.38	1.16	11.64	3.26	11.64	4.24	9.27	10.47	0.42	3.32	2.01	24.46	12.93	1.75	0.02	0.06	0.42	14.89	6.41	3.72	6.89	0.4	0.13	0.0	12.64	0.46	15.22	51.35	6.01	13.22	49.21	20.56	24.99	180.02	88.26	46.5	35.76	363.56	305.55	368.65
POLK	89.51	79.45	98.04	121.79	124.37	80.01	47.17	194.36	363.56	327.56	303.44	279.14	275.28	283.05	309.83	244.57	277.2	186.4	373.81	156.59	158.79	121.79	76.17	51.35	40.64	98.04	193.01	218.79	218.79	277.2	197.09	56.68	256.78	316.37	119.26	130.6	153.34	166.73	260.38	358.54	521.76	122.64	279.14	123.5	146.03	148.09	42.71	262.2	269.6	323.03	102.97	90.14	94.67	49.21	297.17	88.26	118.43	72.52	195.72	115.16	162.14	67.12	84.04	93.35	18.29	110.43	115.97	152.28	53.95	105.89	115.16	59.55	92.05	90.14	153.34	166.73	194.36	138.1	94.67	48.52	131.51	131.51	111.21	104.42	105.15	32.13	58.71	84.63	163.28	108.9	170.25	108.9	107.38	158.79	64.8	144.01	303.44	145.02	129.69	169.07	204.07	329.84	177.53
POLR2M	209.84	285.03	264.03	262.2	314.17	234.57	156.59	336.79	616.37	575.03	493.56	435.55	417.77	363.56	543.96	507.46	547.75	429.54	669.92	769.69	563.18	432.53	454.09	356.05	361.04	665.29	743.43	1008.9	571.05	848.22	651.58	500.46	872.1	1313.23	607.87	470.14	587.13	884.29	808.0	703.28	633.73	480.04	713.11	563.18	1250.98	728.11	1651.0	583.07	723.08	638.15	232.94	253.23	208.38	281.09	802.41	301.33	429.54	289.02	285.03	186.4	368.65	217.27	176.29	228.13	112.77	231.32	242.88	232.94	153.34	223.41	343.89	325.29	115.16	211.31	373.81	231.32	265.87	163.28	217.27	138.1	305.55	106.63	215.77	265.87	155.5	279.14	158.79	226.54	228.13	384.34	483.38	525.39	191.67	384.34	273.37	231.32	529.06	376.41	406.31	463.65	463.65	403.5	314.17
PTPN21	128.79	314.17	295.11	253.23	314.17	305.55	242.88	269.6	444.72	432.53	529.06	334.46	529.06	182.55	314.17	351.14	603.67	450.94	587.13	384.34	297.17	339.14	205.5	420.68	490.14	629.35	1030.12	429.54	307.69	511.0	525.39	412.0	525.39	358.54	387.02	559.28	679.29	293.07	540.19	314.17	483.38	341.51	169.07	299.25	679.29	43.63	223.41	607.87	325.29	325.29	91.41	81.71	74.06	64.34	521.76	108.9	63.89	88.26	113.56	70.01	87.03	150.17	71.0	130.6	48.52	138.1	76.17	88.88	50.27	96.68	127.0	109.66	125.24	106.63	169.07	127.0	183.82	113.56	175.07	116.78	169.07	171.45	169.07	136.19	65.72	82.87	56.68	198.47	100.83	82.87	221.86	141.02	105.15	279.14	158.79	229.72	307.69	120.94	301.33	307.69	206.94	320.8	157.68
PXK	146.03	226.54	262.2	309.83	327.56	205.5	162.14	518.15	785.88	872.1	825.0	511.0	536.45	587.13	551.56	371.22	669.92	698.41	3589.58	8479.89	2133.97	1950.0	3235.01	679.29	1883.54	3349.13	2104.58	3168.41	1529.73	7180.15	1936.53	1295.13	2682.69	1909.85	1183.45	3018.3	2434.5	3103.19	2875.3	642.59	1529.73	890.44	221.86	3146.52	3060.45	2434.5	974.5	2739.08	665.29	660.68	301.33	100.83	665.29	176.29	3349.13	226.54	185.11	490.14	189.02	169.07	169.07	170.25	105.89	152.28	52.45	145.02	153.34	236.21	139.07	197.09	305.55	172.65	111.99	145.02	215.77	113.56	133.36	61.68	115.16	71.0	157.68	135.24	253.23	88.88	125.24	92.05	53.95	104.42	126.12	226.54	299.25	351.14	195.72	454.09	303.44	283.05	620.67	366.09	412.0	665.29	656.11	902.89	412.0
RAB3B	0.72	18.97	20.41	24.46	12.18	24.28	10.71	0.0	0.0	4.46	0.0	0.0	1.58	0.96	2.92	1.03	8.13	3.11	78.89	42.71	14.14	403.5	13.52	6.52	32.36	162.14	75.11	16.39	3.76	43.63	74.58	59.55	26.1	26.47	6.26	115.97	15.11	73.54	155.5	12.27	29.91	65.26	86.43	13.32	55.89	0.78	13.93	25.54	27.05	29.06	2.43	2.48	1.93	18.56	15.56	5.15	10.24	23.93	42.41	128.79	4.62	50.98	0.75	0.74	0.0	5.68	0.0	0.01	0.0	0.0	3.11	1.89	0.04	0.0	0.05	0.05	0.0	0.0	0.0	0.04	0.06	0.75	0.0	0.05	0.0	0.0	1.45	0.0	0.04	10.55	1.95	36.79	8.92	19.11	9.13	10.16	33.78	0.02	15.0	0.0	1.04	0.48	0.59
RAD17	234.57	348.71	299.25	281.09	384.34	316.37	277.2	293.07	249.73	283.05	307.69	289.02	395.18	187.71	206.94	220.32	332.14	165.57	684.02	490.14	384.34	417.77	316.37	253.23	172.65	339.14	441.64	387.02	406.31	579.04	389.72	409.15	511.0	738.29	368.65	384.34	493.56	441.64	500.46	638.15	444.72	463.65	371.22	414.87	397.93	226.54	303.44	486.75	457.25	454.09	295.11	205.5	318.57	366.09	473.41	351.14	316.37	275.28	159.9	334.46	231.32	242.88	182.55	267.73	131.51	226.54	197.09	368.65	229.72	260.38	267.73	229.72	318.57	341.51	309.83	438.59	234.57	209.84	327.56	291.04	246.28	271.48	246.28	169.07	251.48	155.5	131.51	285.03	262.2	381.68	285.03	267.73	211.31	389.72	392.44	343.89	220.32	279.14	332.14	353.59	368.65	591.22	343.89
RASGRP1	4.06	39.22	31.0	27.64	11.47	15.11	16.27	6.01	5.77	8.99	9.27	2.56	4.9	4.98	1.99	8.06	5.54	5.23	457.25	52.08	143.01	26.28	32.82	150.17	65.72	211.31	176.29	31.9	198.47	76.71	371.22	108.9	57.08	106.63	83.45	115.97	37.32	343.89	435.55	211.31	173.85	159.9	125.24	11.64	194.36	2.34	96.68	309.83	123.5	121.79	45.53	4.54	11.91	18.84	138.1	16.63	35.76	76.17	16.88	2.58	30.12	3.26	4.31	15.68	8.25	10.39	15.0	17.77	27.84	24.99	15.11	2.36	18.43	6.73	14.78	7.11	17.51	18.16	8.0	5.54	20.26	16.75	13.72	3.59	13.72	6.06	15.45	8.85	13.72	16.51	17.77	39.22	14.67	104.42	34.75	39.5	59.13	33.06	84.04	7.75	30.34	12.83	16.63
RCAN2	43.02	356.05	395.18	409.15	476.71	351.14	199.85	1059.11	490.14	902.89	830.75	2209.26	429.54	283.05	1167.14	796.86	669.92	830.75	2796.65	4736.79	2133.97	2384.37	2485.67	1844.76	2468.49	4671.57	4543.8	2303.12	2004.85	3768.09	3372.43	2384.37	4704.07	4736.79	2417.67	2287.2	3467.27	3639.7	6079.61	1508.65	4358.66	3018.3	642.59	3540.14	4210.15	1561.89	3874.05	2895.31	1639.59	1605.83	109.66	163.28	1225.22	620.67	3190.46	267.73	728.11	108.14	52.08	35.25	366.09	26.1	115.97	35.25	55.1	138.1	83.45	63.89	41.22	26.86	381.68	53.19	44.89	38.12	191.67	144.01	57.89	94.67	57.49	58.71	218.79	69.03	12.0	119.26	25.35	21.63	16.03	108.14	49.91	599.49	1551.09	232.94	327.56	303.44	287.01	928.3	2816.11	1427.22	575.03	146.03	392.44	679.29	1127.35
RILPL1	107.38	48.52	50.98	75.64	133.36	36.53	38.95	571.05	406.31	320.8	473.41	759.08	748.61	532.74	463.65	723.08	633.73	460.44	128.79	389.72	289.02	363.56	346.29	493.56	264.03	246.28	229.72	229.72	224.97	206.94	332.14	275.28	223.41	551.56	320.8	201.25	215.77	176.29	248.0	145.02	208.38	158.79	182.55	289.02	224.97	61.68	220.32	291.04	162.14	180.02	281.09	295.11	178.77	273.37	211.31	414.87	341.51	447.82	137.14	217.27	325.29	194.36	76.71	80.57	61.68	109.66	76.71	101.54	68.55	55.89	84.04	97.36	136.19	74.58	146.03	100.13	165.57	105.89	127.0	124.37	133.36	153.34	126.12	132.44	134.3	40.07	75.11	189.02	88.26	151.22	253.23	43.94	51.71	88.26	85.22	115.16	198.47	131.51	127.0	414.87	339.14	483.38	521.76
RIMS1	0.0	1.53	1.6	2.56	0.49	1.19	1.45	83.45	33.06	7.57	4.82	10.96	11.21	29.27	1.71	19.97	30.12	67.12	785.88	6.36	7.46	1.43	20.56	0.93	57.89	2.07	13.72	2.41	500.46	169.07	62.56	11.55	1151.06	2.01	376.41	59.97	156.59	52.82	483.38	0.0	1.36	2.94	0.0	90.14	11.04	11.3	12.64	320.8	0.49	0.0	0.0	0.0	0.0	0.0	27.05	0.0	0.44	0.0	0.55	0.56	0.58	0.0	0.0	0.0	0.0	0.67	0.71	0.0	1.73	0.0	1.07	0.21	0.21	0.0	0.0	0.0	2.61	0.0	0.23	1.46	0.68	0.0	0.0	0.23	0.0	0.0	0.0	0.27	0.0	14.24	76.71	10.08	11.64	21.78	8.06	20.26	32.13	8.51	44.25	0.0	0.66	1.53	1.91
RIMS2	0.0	0.82	1.25	1.79	1.28	3.99	1.85	0.0	0.93	35.0	11.47	13.83	4.13	40.93	9.7	5.15	6.31	7.0	2.97	80.57	149.12	45.21	61.25	2.36	61.68	2.1	138.1	232.94	4.7	127.0	14.45	8.51	638.15	34.51	51.35	5.45	158.79	150.17	18.43	0.0	5.96	0.96	0.09	75.64	20.56	8.78	155.5	35.5	5.45	7.34	34.51	0.52	13.32	8.06	140.04	14.56	1.81	51.35	0.57	0.0	0.6	0.0	0.62	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.26	0.97	0.25	0.0	5.36	5.36	0.0	8.0	0.0	0.0	0.29	0.0	0.0	5.41	0.23	2.25	0.0	0.0	1.89	29.48	39.22	11.91	0.0	8.25	2.34	5.54	36.27	13.93	16.03	1.06	63.45	76.71	3.2
RNF180	40.36	8.32	8.25	17.9	34.26	4.62	3.5	86.43	93.35	94.67	120.94	105.89	100.13	109.66	77.25	86.43	162.14	83.45	149.12	125.24	124.37	111.21	126.12	59.97	55.89	97.36	182.55	264.03	167.9	301.33	189.02	77.79	189.02	397.93	86.43	124.37	178.77	197.09	191.67	351.14	256.78	232.94	80.57	141.02	163.28	267.73	57.49	181.28	202.66	202.66	121.79	4.54	113.56	151.22	165.57	27.64	301.33	65.72	45.85	14.03	45.21	10.47	45.53	34.51	16.51	76.17	47.5	82.87	12.09	44.57	202.66	67.59	63.89	74.06	105.15	53.57	127.89	26.47	59.55	40.93	84.04	101.54	34.26	54.33	59.97	42.11	15.34	49.56	127.89	27.05	60.39	7.17	20.11	24.28	7.69	69.03	103.69	58.71	33.78	108.14	94.67	176.29	91.41
RORB	0.56	0.79	0.43	2.39	0.83	1.51	0.4	6.94	12.83	14.24	19.53	6.46	10.63	7.94	9.06	2.39	21.16	7.34	93.35	0.41	36.79	4.21	0.79	1.38	0.0	1.64	26.47	1.19	8.71	0.0	29.91	1.99	16.63	0.79	13.03	206.94	0.77	12.09	58.3	13.62	5.32	3.29	1.04	1.41	0.0	0.0	5.68	119.26	9.78	12.64	0.39	185.11	0.38	0.43	4.66	0.39	0.43	0.0	0.0	0.0	0.99	0.0	1.17	1.14	0.49	4.5	0.62	0.4	0.0	0.0	6.57	0.96	2.01	0.0	1.0	1.0	0.49	0.45	0.47	0.44	1.03	1.48	0.48	1.55	0.43	0.0	0.0	0.53	0.0	1.48	6.36	1.43	3.63	5.06	1.23	2.56	7.4	9.34	2.68	0.65	32.36	0.6	0.0
SAMD12	23.76	99.43	136.19	82.87	55.1	119.26	94.67	17.38	19.25	18.7	28.45	9.85	11.55	13.93	39.22	15.91	22.43	10.79	285.03	132.44	173.85	180.02	152.28	57.49	117.6	202.66	185.11	256.78	202.66	155.5	277.2	176.29	236.21	44.25	126.12	262.2	139.07	307.69	332.14	130.6	221.86	115.16	51.35	236.21	181.28	65.72	80.57	334.46	118.43	132.44	64.8	79.45	58.71	105.89	249.73	138.1	97.36	101.54	0.92	0.93	2.66	2.73	26.28	10.47	21.01	37.05	47.84	61.25	6.67	18.7	9.41	54.72	92.7	84.63	107.38	33.3	40.07	2.01	12.0	6.84	29.48	49.21	37.32	61.68	12.55	14.24	18.16	8.99	57.89	258.57	96.01	155.5	53.19	105.15	108.14	164.42	75.64	64.8	105.89	62.12	115.97	129.69	101.54
SCAMP1	154.42	251.48	177.53	220.32	265.87	234.57	165.57	314.17	379.04	336.79	353.59	403.5	395.18	251.48	327.56	334.46	423.61	299.25	2224.63	1685.71	1191.69	490.14	688.78	281.09	384.34	988.12	684.02	1857.6	1551.09	1208.34	1199.98	872.1	1487.87	1819.35	1015.93	1709.26	1286.18	1037.29	1936.53	743.43	1023.0	571.05	309.83	1183.45	981.29	1268.46	1143.1	1397.83	642.59	728.11	265.87	246.28	397.93	379.04	1806.78	244.57	314.17	253.23	307.69	265.87	323.03	175.07	138.1	194.36	73.54	134.3	221.86	186.4	109.66	127.0	157.68	146.03	85.82	128.79	191.67	121.79	246.28	136.19	173.85	172.65	152.28	72.01	120.94	201.25	105.15	255.0	90.77	145.02	194.36	299.25	366.09	255.0	183.82	334.46	295.11	334.46	423.61	325.29	406.31	346.29	303.44	698.41	371.22
SCRN1	21.32	116.78	122.64	202.66	450.94	98.04	44.25	629.35	603.67	463.65	612.11	718.08	423.61	507.46	473.41	420.68	603.67	791.35	1639.59	1519.15	1350.18	890.44	884.29	1519.15	1551.09	1963.57	2384.37	1225.22	1350.18	1605.83	1794.29	1359.57	1617.0	1066.48	1498.22	1331.57	1857.6	1936.53	1605.83	441.64	1733.13	647.07	406.31	1096.5	2875.3	265.87	1819.35	1437.15	836.53	902.89	525.39	514.56	688.78	575.03	2855.44	1066.48	836.53	1183.45	32.36	15.68	122.64	8.58	22.1	39.5	22.1	49.91	31.0	30.12	26.1	22.43	239.52	44.57	17.64	10.71	101.54	152.28	77.79	12.83	46.18	12.74	64.8	40.64	10.96	24.11	15.45	4.13	4.28	90.77	18.43	376.41	733.19	281.09	82.87	185.11	124.37	215.77	624.99	332.14	447.82	728.11	361.04	269.6	281.09
SH3BGRL	497.0	1143.1	1023.0	1844.76	2758.13	967.76	748.61	3419.52	3081.75	3443.31	3039.3	3690.52	3589.58	2004.85	2664.15	3168.41	3349.13	3018.3	2664.15	3168.41	5751.61	1819.35	3419.52	3103.19	1923.14	3515.68	2796.65	5791.62	9808.75	3665.02	4010.71	2895.31	6745.86	4671.57	4358.66	6887.62	4419.52	4937.99	4736.79	4268.94	4038.61	3847.29	2520.38	6207.38	7485.11	9151.82	3280.18	9025.81	3081.75	3419.52	1250.98	1651.0	1991.0	1745.2	7485.11	1388.16	2502.97	1639.59	297.17	339.14	1551.09	157.68	429.54	591.22	325.29	583.07	764.36	967.76	273.37	403.5	2255.7	403.5	463.65	591.22	1304.15	733.19	708.18	279.14	684.02	373.81	1081.39	409.15	476.71	470.14	366.09	563.18	217.27	669.92	551.56	1662.49	2796.65	1151.06	1628.26	1963.57	1508.65	2018.8	5954.47	3372.43	2520.38	1111.82	3325.99	1651.0	2178.83
SLC22A15	4.82	48.18	71.0	51.35	15.8	31.22	10.0	57.08	102.25	72.52	109.66	71.0	55.1	78.89	67.12	33.3	85.82	115.97	120.1	159.9	120.94	320.8	105.15	60.82	68.55	111.99	152.28	100.83	103.69	214.27	164.42	83.45	146.03	297.17	81.14	122.64	130.6	142.01	162.14	70.01	229.72	83.45	62.56	142.01	291.04	123.5	95.34	137.14	105.89	98.73	40.93	11.55	22.26	49.91	140.04	26.67	53.95	42.41	1.55	24.46	34.02	1.03	5.77	8.85	7.0	32.36	10.79	2.41	2.05	3.11	27.44	3.99	1.33	3.03	4.24	1.71	6.52	1.68	9.63	2.43	2.12	8.45	0.39	3.59	1.57	2.36	4.43	3.06	0.0	65.26	10.0	22.43	13.93	85.22	58.71	67.12	49.91	45.85	70.51	49.56	32.59	17.38	80.01
SLC25A36	40.07	633.73	607.87	547.75	490.14	890.44	318.57	878.17	1250.98	878.17	1199.98	928.3	830.75	1359.57	941.27	819.3	1051.79	665.29	1001.93	1111.82	718.08	363.56	518.15	173.85	463.65	848.22	503.95	988.12	808.0	1233.75	860.08	493.56	1467.37	808.0	567.1	703.28	753.83	1008.9	1467.37	1044.52	1037.29	769.69	334.46	1023.0	728.11	366.09	915.51	1073.91	1388.16	1135.2	638.15	312.0	406.31	249.73	1561.89	358.54	371.22	624.99	38.67	41.81	204.07	13.12	32.13	52.08	8.71	56.68	66.18	103.69	28.86	16.63	236.21	31.22	16.27	6.16	78.34	81.71	111.21	38.4	60.39	22.1	69.52	38.95	19.53	19.11	18.43	7.94	35.25	50.98	27.64	633.73	642.59	493.56	293.07	1135.2	480.04	785.88	521.76	629.35	743.43	450.94	483.38	909.17	466.88
SLC25A46	320.8	563.18	406.31	392.44	518.15	511.0	551.56	256.78	301.33	351.14	334.46	239.52	251.48	264.03	239.52	241.19	318.57	226.54	599.49	473.41	414.87	353.59	260.38	142.01	100.83	371.22	529.06	651.58	547.75	599.49	603.67	242.88	808.0	780.44	271.48	420.68	389.72	679.29	884.29	651.58	642.59	518.15	329.84	529.06	454.09	521.76	379.04	733.19	693.58	698.41	493.56	206.94	432.53	450.94	780.44	299.25	392.44	309.83	368.65	320.8	381.68	387.02	232.94	361.04	124.37	348.71	301.33	295.11	158.79	208.38	351.14	329.84	224.97	339.14	289.02	223.41	224.97	209.84	361.04	229.72	271.48	226.54	223.41	228.13	201.25	273.37	166.73	236.21	307.69	269.6	336.79	346.29	332.14	493.56	223.41	341.51	353.59	211.31	316.37	291.04	334.46	599.49	379.04
SMAD7	175.07	674.59	532.74	314.17	651.58	466.88	620.67	624.99	688.78	620.67	543.96	674.59	312.0	616.37	473.41	802.41	514.56	409.15	780.44	595.34	723.08	1369.04	368.65	379.04	567.1	909.17	575.03	547.75	312.0	890.44	612.11	1208.34	341.51	796.86	521.76	612.11	660.68	674.59	551.56	738.29	1498.22	511.0	366.09	718.08	656.11	97.36	291.04	297.17	521.76	567.1	110.43	108.14	108.14	241.19	651.58	135.24	264.03	146.03	239.52	106.63	190.34	136.19	126.12	231.32	104.42	269.6	248.0	473.41	435.55	397.93	325.29	206.94	291.04	387.02	444.72	295.11	373.81	486.75	273.37	217.27	307.69	260.38	381.68	95.34	205.5	58.3	38.4	392.44	232.94	161.02	209.84	117.6	309.83	392.44	228.13	301.33	287.01	457.25	346.29	785.88	426.57	698.41	476.71
SNAPC3	150.17	301.33	454.09	379.04	316.37	361.04	187.71	305.55	387.02	417.77	397.93	376.41	320.8	249.73	329.84	239.52	376.41	242.88	463.65	297.17	320.8	332.14	277.2	105.89	88.88	454.09	507.46	269.6	454.09	463.65	438.59	205.5	400.71	400.71	236.21	320.8	332.14	429.54	595.34	540.19	400.71	381.68	215.77	329.84	536.45	256.78	316.37	591.22	412.0	341.51	325.29	234.57	217.27	223.41	660.68	169.07	293.07	224.97	269.6	204.07	387.02	189.02	117.6	149.12	105.15	176.29	189.02	144.01	114.36	124.37	251.48	190.34	146.03	139.07	156.59	158.79	143.01	139.07	175.07	107.38	112.77	133.36	127.89	94.67	127.0	57.08	94.01	142.01	178.77	204.07	371.22	190.34	178.77	346.29	208.38	343.89	457.25	400.71	559.28	361.04	275.28	373.81	426.57
SNX13	130.6	463.65	329.84	269.6	314.17	307.69	346.29	242.88	363.56	287.01	299.25	287.01	239.52	312.0	295.11	249.73	332.14	236.21	1066.48	954.43	802.41	273.37	587.13	426.57	748.61	587.13	981.29	318.57	713.11	1259.69	738.29	591.22	1745.2	1096.5	1001.93	679.29	836.53	995.0	1977.24	493.56	723.08	285.03	406.31	532.74	902.89	297.17	307.69	1498.22	348.71	409.15	164.42	119.26	117.6	137.14	1268.46	211.31	178.77	189.02	169.07	187.71	139.07	309.83	91.41	151.22	54.33	167.9	144.01	124.37	77.79	91.41	154.42	123.5	78.34	205.5	141.02	98.04	127.89	133.36	171.45	92.7	135.24	80.57	62.56	113.56	101.54	107.38	55.1	98.04	137.14	234.57	277.2	269.6	190.34	289.02	217.27	206.94	371.22	271.48	242.88	269.6	273.37	457.25	287.01
SOCS4	41.81	100.13	117.6	110.43	136.19	92.7	107.38	132.44	162.14	119.26	166.73	132.44	101.54	215.77	176.29	157.68	181.28	178.77	267.73	172.65	131.51	155.5	109.66	81.71	110.43	158.79	205.5	267.73	176.29	208.38	204.07	122.64	212.78	202.66	136.19	138.1	176.29	173.85	293.07	187.71	320.8	106.63	429.54	144.01	264.03	114.36	102.97	316.37	221.86	265.87	80.01	47.84	81.71	76.71	215.77	73.54	100.83	93.35	82.29	68.55	100.13	53.57	39.79	35.76	13.83	38.4	49.21	47.17	33.78	38.95	73.54	105.15	29.27	69.52	85.82	38.4	50.27	29.27	82.29	28.04	27.84	54.33	35.5	39.79	72.01	28.24	76.17	33.3	60.82	136.19	151.22	138.1	146.03	99.43	70.51	157.68	117.6	120.1	116.78	131.51	120.94	223.41	111.99
SOS2	127.89	414.87	244.57	283.05	361.04	323.03	387.02	253.23	381.68	281.09	303.44	281.09	246.28	291.04	267.73	248.0	318.57	312.0	540.19	642.59	500.46	460.44	460.44	336.79	476.71	521.76	656.11	555.41	381.68	775.05	476.71	351.14	759.08	1073.91	409.15	511.0	633.73	583.07	525.39	612.11	620.67	366.09	387.02	507.46	902.89	299.25	316.37	693.58	559.28	633.73	236.21	312.0	167.9	156.59	674.59	248.0	279.14	248.0	163.28	140.04	141.02	138.1	102.97	121.79	63.45	155.5	131.51	105.89	66.65	127.0	228.13	81.14	145.02	190.34	171.45	127.0	155.5	173.85	199.85	78.89	134.3	128.79	115.16	74.58	107.38	57.89	87.03	193.01	166.73	273.37	273.37	232.94	224.97	339.14	271.48	281.09	291.04	307.69	256.78	366.09	299.25	536.45	312.0
