	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.N7MT.0126.SM.2D7VT	TCGA.BJ.A0ZC.01A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.117YW.0126.SM.5EGGN	GTEX.139YR.1226.SM.5IFEU	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD
PIKFYVE	81.14	40.36	78.34	60.39	67.59	46.5	52.45	63.89	59.13	336.79	356.05	309.83	201.25	87.65	158.79	94.01	159.9	99.43	145.02	112.77	153.34	186.4	164.42	293.07	246.28	75.64	126.12	12.45	182.55	70.01	60.39	199.85	237.86	239.52	187.71	221.86	205.5	198.47	191.67	279.14	212.78	150.17	271.48	155.5	318.57	217.27	201.25	229.72	228.13	189.02	173.85	211.31	176.29	185.11	185.11	206.94	251.48	80.01	94.01	68.55	32.36	126.12	80.57	163.28	84.04	93.35	145.02	204.07	171.45	135.24	181.28	172.65	198.47	178.77	237.86	163.28	239.52	189.02	178.77	55.1	35.0	48.18	33.06	35.25	49.56	19.97	31.9	28.86	38.4	44.57	264.03	175.07	158.79	309.83	253.23	190.34	248.0	206.94	173.85	229.72	214.27	275.28	197.09	202.66	221.86	279.14	194.36	269.6
PTPN21	130.6	72.01	127.0	169.07	161.02	110.43	167.9	220.32	70.51	417.77	432.53	392.44	293.07	115.97	312.0	153.34	132.44	130.6	202.66	228.13	381.68	205.5	218.79	229.72	248.0	68.55	113.56	43.63	55.89	43.02	73.54	201.25	341.51	381.68	293.07	325.29	325.29	318.57	220.32	285.03	334.46	287.01	303.44	223.41	336.79	299.25	271.48	314.17	371.22	287.01	186.4	283.05	167.9	214.27	246.28	271.48	348.71	91.41	138.1	172.65	37.59	58.71	42.71	141.02	165.57	142.01	255.0	299.25	183.82	258.57	253.23	341.51	264.03	226.54	299.25	289.02	249.73	267.73	273.37	94.67	28.86	55.1	33.06	97.36	58.3	30.12	41.22	48.52	75.64	34.75	624.99	769.69	447.82	679.29	583.07	473.41	860.08	660.68	603.67	2178.83	395.18	536.45	713.11	728.11	559.28	693.58	483.38	587.13
PTPRA	1127.35	583.07	1313.23	607.87	974.5	1104.13	775.05	947.83	728.11	1757.34	1529.73	1883.54	1216.75	599.49	1104.13	808.0	1111.82	884.29	848.22	866.07	796.86	1250.98	884.29	1044.52	1225.22	836.53	1208.34	301.33	1143.1	620.67	890.44	796.86	1127.35	1175.27	1104.13	1088.92	1151.06	1111.82	1037.29	1313.23	1111.82	1104.13	1191.69	785.88	1199.98	1127.35	1191.69	1216.75	1151.06	1119.56	941.27	1119.56	954.43	1088.92	1216.75	1277.29	1250.98	896.64	1008.9	866.07	802.41	802.41	1143.1	490.14	896.64	713.11	967.76	1268.46	934.76	896.64	1073.91	1096.5	928.3	928.3	1044.52	995.0	1111.82	947.83	1073.91	277.2	432.53	473.41	376.41	256.78	403.5	242.88	167.9	334.46	460.44	318.57	1806.78	1508.65	1127.35	1757.34	1477.58	1487.87	1447.15	1359.57	1757.34	1259.69	1857.6	1832.01	1397.83	1340.84	1233.75	1572.76	1407.55	1487.87
RAPGEF6	56.28	39.79	52.08	60.39	46.5	31.9	37.85	59.13	40.07	253.23	204.07	185.11	91.41	44.25	79.45	50.27	384.34	50.98	47.5	59.97	94.01	76.71	74.58	80.01	85.22	88.88	47.17	48.18	199.85	86.43	63.45	59.55	91.41	106.63	94.01	94.01	101.54	103.69	69.03	103.69	83.45	76.71	98.73	71.0	115.97	89.51	98.73	102.97	201.25	90.14	63.0	94.67	91.41	87.03	90.14	102.25	119.26	163.28	49.91	42.71	11.04	90.14	60.39	56.28	43.32	45.85	66.18	121.79	55.49	57.89	71.5	77.79	64.34	66.65	76.71	71.0	228.13	68.07	69.03	20.26	25.54	28.45	32.13	18.7	38.95	35.0	47.17	14.14	56.28	52.82	376.41	80.57	73.54	208.38	175.07	100.83	96.68	150.17	98.04	138.1	95.34	124.37	96.01	122.64	92.7	132.44	98.73	110.43
RBM27	98.04	84.63	73.03	108.14	115.16	98.73	91.41	142.01	100.83	412.0	327.56	334.46	208.38	124.37	185.11	138.1	249.73	98.04	125.24	165.57	191.67	164.42	197.09	224.97	209.84	142.01	115.16	75.64	334.46	211.31	120.94	182.55	251.48	237.86	256.78	226.54	249.73	273.37	204.07	251.48	206.94	193.01	283.05	186.4	277.2	262.2	241.19	267.73	260.38	214.27	164.42	237.86	231.32	214.27	221.86	251.48	260.38	71.5	122.64	149.12	16.15	161.02	56.68	151.22	98.73	106.63	178.77	218.79	166.73	173.85	189.02	189.02	176.29	176.29	211.31	159.9	248.0	177.53	190.34	96.01	63.89	82.87	58.3	56.28	80.01	90.14	82.29	22.26	85.22	47.84	361.04	189.02	229.72	346.29	218.79	246.28	242.88	231.32	229.72	145.02	325.29	341.51	204.07	260.38	186.4	264.03	264.03	244.57
RFC1	277.2	180.02	183.82	251.48	255.0	214.27	412.0	612.11	432.53	915.51	872.1	896.64	642.59	291.04	536.45	397.93	521.76	312.0	403.5	470.14	555.41	563.18	638.15	775.05	785.88	612.11	638.15	90.77	836.53	346.29	269.6	409.15	708.18	651.58	629.35	647.07	607.87	647.07	575.03	656.11	665.29	543.96	764.36	312.0	728.11	703.28	624.99	638.15	651.58	567.1	503.95	638.15	423.61	529.06	490.14	612.11	738.29	305.55	339.14	253.23	60.39	473.41	113.56	389.72	293.07	543.96	417.77	603.67	555.41	490.14	607.87	476.71	563.18	595.34	679.29	438.59	493.56	559.28	532.74	318.57	279.14	426.57	363.56	193.01	486.75	420.68	409.15	127.89	297.17	348.71	1119.56	620.67	638.15	896.64	842.36	674.59	728.11	764.36	536.45	791.35	819.3	967.76	575.03	616.37	507.46	825.0	665.29	638.15
RFX3	42.41	19.97	29.06	25.54	22.59	10.24	16.63	55.49	20.56	105.15	105.89	87.03	52.45	27.25	43.32	31.0	39.5	18.97	46.84	31.67	42.71	45.85	30.78	46.84	40.93	44.57	29.7	13.03	32.36	64.8	19.39	42.71	72.01	73.54	50.27	64.8	64.8	67.59	43.32	59.55	44.25	31.9	72.52	46.5	70.01	59.55	49.21	67.12	62.56	53.19	44.57	60.82	46.18	55.89	62.12	52.45	65.26	19.97	38.12	31.45	12.45	23.76	20.86	30.12	29.48	31.45	40.64	34.02	35.5	44.57	38.67	39.79	32.82	33.3	49.21	52.82	49.91	33.54	34.02	11.64	11.04	7.75	9.41	8.13	13.83	11.55	10.47	6.52	7.34	17.51	115.97	64.34	48.52	103.69	115.97	81.14	100.13	71.0	92.05	68.07	73.03	82.29	52.45	62.12	75.11	80.01	57.49	96.68
RNF38	158.79	157.68	260.38	113.56	128.79	123.5	127.0	327.56	147.06	896.64	915.51	738.29	532.74	204.07	466.88	256.78	633.73	223.41	256.78	403.5	356.05	447.82	400.71	624.99	651.58	269.6	217.27	120.94	226.54	236.21	163.28	426.57	708.18	708.18	529.06	629.35	703.28	669.92	486.75	638.15	559.28	529.06	669.92	363.56	708.18	629.35	612.11	651.58	620.67	555.41	414.87	579.04	511.0	567.1	536.45	612.11	638.15	214.27	271.48	275.28	176.29	281.09	279.14	285.03	241.19	303.44	384.34	559.28	412.0	406.31	483.38	521.76	414.87	432.53	507.46	429.54	497.0	518.15	503.95	85.82	80.57	127.89	74.58	100.83	116.78	80.57	66.65	100.83	92.7	84.63	902.89	371.22	417.77	1208.34	728.11	713.11	896.64	629.35	591.22	429.54	769.69	624.99	591.22	536.45	616.37	599.49	583.07	665.29
RSF1	346.29	137.14	204.07	232.94	224.97	191.67	130.6	241.19	139.07	733.19	603.67	624.99	384.34	171.45	295.11	181.28	285.03	180.02	239.52	197.09	258.57	291.04	264.03	343.89	373.81	212.78	209.84	53.19	299.25	140.04	112.77	220.32	395.18	363.56	279.14	265.87	323.03	361.04	242.88	470.14	318.57	212.78	409.15	181.28	476.71	343.89	327.56	361.04	358.54	309.83	271.48	387.02	287.01	323.03	356.05	346.29	376.41	140.04	165.57	183.82	33.3	87.65	62.56	237.86	161.02	177.53	241.19	303.44	231.32	242.88	234.57	265.87	204.07	229.72	309.83	239.52	329.84	224.97	253.23	111.21	88.26	80.01	105.15	133.36	127.89	125.24	75.64	27.64	85.22	85.82	656.11	314.17	305.55	679.29	353.59	371.22	312.0	336.79	543.96	397.93	555.41	379.04	327.56	346.29	376.41	420.68	406.31	332.14
SEC24B	244.57	195.72	140.04	223.41	156.59	217.27	190.34	255.0	229.72	698.41	693.58	647.07	412.0	237.86	389.72	269.6	314.17	223.41	242.88	316.37	299.25	395.18	348.71	435.55	395.18	291.04	232.94	884.29	529.06	303.44	181.28	412.0	532.74	426.57	387.02	379.04	426.57	525.39	432.53	507.46	454.09	361.04	486.75	366.09	571.05	454.09	423.61	466.88	463.65	414.87	363.56	483.38	373.81	409.15	400.71	457.25	450.94	224.97	258.57	218.79	88.26	289.02	283.05	283.05	183.82	220.32	332.14	376.41	379.04	320.8	376.41	358.54	368.65	376.41	441.64	336.79	438.59	346.29	403.5	246.28	161.02	220.32	256.78	134.3	279.14	48.52	151.22	198.47	151.22	212.78	738.29	381.68	353.59	629.35	470.14	423.61	493.56	339.14	353.59	438.59	480.04	647.07	406.31	384.34	493.56	476.71	381.68	473.41
SECISBP2L	183.82	121.79	92.7	183.82	140.04	78.34	142.01	303.44	78.89	684.02	813.63	651.58	563.18	320.8	493.56	351.14	381.68	327.56	414.87	612.11	656.11	583.07	679.29	995.0	460.44	249.73	239.52	190.34	497.0	281.09	198.47	463.65	753.83	713.11	536.45	674.59	599.49	595.34	559.28	796.86	629.35	518.15	813.63	463.65	808.0	669.92	669.92	679.29	629.35	575.03	490.14	595.34	612.11	567.1	587.13	595.34	660.68	193.01	334.46	297.17	33.78	320.8	100.13	343.89	293.07	314.17	470.14	500.46	466.88	432.53	543.96	493.56	503.95	447.82	587.13	460.44	555.41	426.57	460.44	108.14	64.34	80.57	63.0	69.03	111.21	40.07	48.18	69.52	120.1	104.42	884.29	450.94	414.87	915.51	890.44	629.35	769.69	915.51	571.05	651.58	647.07	842.36	551.56	423.61	718.08	764.36	571.05	616.37
SEL1L	329.84	208.38	269.6	346.29	273.37	218.79	264.03	387.02	237.86	1250.98	1008.9	1104.13	842.36	412.0	764.36	500.46	423.61	503.95	785.88	723.08	603.67	941.27	934.76	1081.39	842.36	397.93	518.15	409.15	780.44	616.37	441.64	713.11	884.29	1051.79	934.76	780.44	981.29	896.64	780.44	954.43	848.22	785.88	988.12	603.67	1081.39	941.27	928.3	954.43	866.07	728.11	616.37	967.76	928.3	866.07	1143.1	981.29	934.76	368.65	400.71	356.05	253.23	514.56	660.68	476.71	409.15	444.72	698.41	753.83	638.15	669.92	830.75	733.19	708.18	647.07	836.53	669.92	1175.27	759.08	738.29	583.07	444.72	497.0	473.41	444.72	684.02	258.57	450.94	511.0	400.71	796.86	967.76	703.28	1159.07	1096.5	579.04	511.0	583.07	819.3	529.06	693.58	1498.22	1183.45	540.19	571.05	603.67	866.07	587.13	915.51
SMAD4	264.03	175.07	220.32	246.28	231.32	186.4	223.41	260.38	507.46	1923.14	1977.24	1806.78	1191.69	915.51	902.89	1044.52	1151.06	368.65	698.41	974.5	830.75	1896.65	934.76	1286.18	1059.11	417.77	547.75	332.14	954.43	339.14	320.8	1081.39	1388.16	1350.18	1023.0	1059.11	1167.14	1388.16	890.44	1304.15	1199.98	934.76	1268.46	981.29	1508.65	954.43	1268.46	1313.23	1295.13	1487.87	1369.04	1277.29	1233.75	1127.35	1111.82	1259.69	1191.69	244.57	473.41	395.18	115.97	358.54	607.87	514.56	426.57	791.35	878.17	928.3	878.17	796.86	1015.93	967.76	813.63	909.17	1066.48	1001.93	1073.91	743.43	909.17	195.72	177.53	327.56	172.65	218.79	275.28	131.51	152.28	236.21	144.01	215.77	2240.11	995.0	1167.14	2956.17	1832.01	1487.87	1498.22	2178.83	1135.2	1561.89	2032.85	1896.65	1066.48	1322.37	1216.75	1950.0	1208.34	2061.24
SMAD5	223.41	177.53	231.32	209.84	339.14	140.04	156.59	260.38	170.25	860.08	769.69	813.63	373.81	297.17	312.0	301.33	307.69	208.38	356.05	231.32	327.56	293.07	273.37	476.71	323.03	211.31	209.84	103.69	587.13	358.54	297.17	420.68	486.75	473.41	435.55	400.71	507.46	480.04	327.56	507.46	381.68	353.59	476.71	373.81	525.39	466.88	476.71	497.0	463.65	450.94	361.04	543.96	525.39	381.68	444.72	457.25	480.04	111.99	260.38	218.79	57.49	237.86	214.27	327.56	193.01	251.48	368.65	343.89	283.05	253.23	339.14	358.54	285.03	309.83	371.22	353.59	525.39	320.8	327.56	152.28	170.25	190.34	141.02	140.04	162.14	185.11	146.03	84.63	121.79	215.77	896.64	323.03	305.55	511.0	480.04	466.88	356.05	327.56	289.02	244.57	532.74	318.57	271.48	325.29	332.14	426.57	309.83	423.61
SP4	41.22	22.1	48.52	34.26	28.86	32.82	18.29	28.24	21.63	166.73	157.68	108.9	60.82	38.67	53.57	39.5	33.06	28.86	48.18	33.54	51.71	62.56	49.91	57.08	20.11	23.08	23.25	19.68	30.78	49.91	27.05	36.27	64.8	71.5	80.57	67.59	91.41	66.18	58.3	89.51	64.34	65.26	82.29	69.03	83.45	72.52	80.57	91.41	77.79	71.5	61.68	81.14	68.55	63.0	71.0	78.89	85.22	16.51	21.16	43.32	5.45	23.59	34.51	15.68	29.7	47.5	57.08	84.04	39.79	62.12	59.97	56.28	39.79	50.27	56.68	60.82	70.01	55.49	56.68	10.79	15.8	18.56	6.57	7.46	12.64	12.64	19.25	4.58	10.71	24.99	151.22	114.36	145.02	256.78	148.09	185.11	152.28	217.27	159.9	123.5	177.53	256.78	190.34	155.5	140.04	194.36	158.79	176.29
SSPN	110.43	21.01	61.68	51.71	62.56	66.65	103.69	38.12	56.28	599.49	860.08	825.0	161.02	67.59	70.51	115.97	201.25	34.26	43.02	39.79	80.57	128.79	85.22	95.34	201.25	258.57	118.43	3.03	414.87	309.83	109.66	80.57	84.04	151.22	87.65	115.97	167.9	134.3	157.68	150.17	108.9	110.43	137.14	113.56	120.1	141.02	108.9	155.5	95.34	135.24	100.83	111.21	275.28	92.7	183.82	152.28	171.45	43.94	93.35	57.08	20.56	58.71	43.63	139.07	54.33	63.0	86.43	148.09	75.11	77.79	128.79	58.3	103.69	69.52	78.34	108.9	189.02	134.3	108.9	1.2	1.81	7.28	1.39	0.69	6.01	1.31	0.0	0.0	13.12	6.26	559.28	231.32	246.28	253.23	144.01	279.14	215.77	236.21	423.61	295.11	441.64	417.77	214.27	334.46	81.14	249.73	197.09	384.34
STAG1	197.09	83.45	113.56	157.68	134.3	120.1	133.36	132.44	206.94	616.37	563.18	616.37	289.02	123.5	249.73	167.9	234.57	121.79	157.68	193.01	189.02	303.44	217.27	258.57	273.37	163.28	152.28	19.53	135.24	173.85	131.51	215.77	339.14	353.59	277.2	232.94	332.14	336.79	249.73	343.89	246.28	264.03	332.14	190.34	327.56	301.33	307.69	297.17	334.46	256.78	217.27	287.01	327.56	256.78	275.28	339.14	339.14	108.14	147.06	170.25	50.63	159.9	108.9	229.72	180.02	155.5	201.25	262.2	190.34	205.5	253.23	218.79	187.71	223.41	236.21	212.78	269.6	211.31	218.79	88.26	46.18	73.54	46.84	53.95	85.82	94.67	43.32	54.72	69.03	71.0	497.0	255.0	361.04	503.95	447.82	397.93	371.22	361.04	500.46	371.22	454.09	395.18	316.37	293.07	351.14	507.46	287.01	543.96
STAG2	642.59	473.41	279.14	603.67	521.76	432.53	258.57	607.87	389.72	1487.87	1508.65	1594.73	842.36	511.0	723.08	543.96	780.44	318.57	412.0	460.44	497.0	638.15	567.1	1081.39	603.67	466.88	384.34	343.89	503.95	358.54	395.18	656.11	1037.29	995.0	890.44	791.35	909.17	909.17	753.83	1051.79	848.22	748.61	1044.52	708.18	1175.27	1008.9	947.83	974.5	896.64	872.1	703.28	954.43	1066.48	848.22	785.88	988.12	902.89	269.6	327.56	447.82	61.68	432.53	171.45	403.5	334.46	575.03	642.59	708.18	607.87	633.73	708.18	679.29	595.34	624.99	775.05	656.11	708.18	629.35	693.58	187.71	211.31	202.66	269.6	273.37	212.78	152.28	157.68	94.67	156.59	320.8	1427.22	769.69	1023.0	1781.89	1051.79	974.5	1151.06	1015.93	1066.48	878.17	1340.84	1119.56	764.36	808.0	785.88	1143.1	1037.29	1242.34
TCF12	267.73	177.53	231.32	273.37	293.07	190.34	177.53	318.57	260.38	1135.2	1199.98	1143.1	769.69	325.29	551.56	486.75	579.04	239.52	579.04	376.41	575.03	583.07	450.94	981.29	947.83	371.22	371.22	229.72	679.29	305.55	332.14	607.87	785.88	759.08	733.19	748.61	1008.9	995.0	665.29	848.22	587.13	529.06	796.86	587.13	830.75	780.44	764.36	785.88	825.0	679.29	591.22	718.08	748.61	698.41	728.11	738.29	785.88	314.17	412.0	368.65	73.03	351.14	249.73	447.82	305.55	397.93	493.56	780.44	583.07	497.0	555.41	503.95	567.1	518.15	616.37	595.34	791.35	447.82	669.92	139.07	120.1	181.28	141.02	115.16	197.09	105.15	107.38	87.03	182.55	139.07	1216.75	551.56	647.07	1135.2	679.29	540.19	473.41	703.28	703.28	575.03	1088.92	1030.12	441.64	718.08	483.38	825.0	563.18	796.86
TM9SF3	1447.15	651.58	656.11	928.3	890.44	909.17	995.0	1437.15	624.99	2627.46	2777.33	2664.15	1628.26	708.18	1417.35	934.76	1023.0	1135.2	1313.23	1628.26	1508.65	1709.26	1529.73	1870.53	1233.75	921.88	909.17	934.76	2119.22	1191.69	836.53	1286.18	1745.2	2163.77	1819.35	1508.65	1806.78	1909.85	1529.73	2163.77	1508.65	1651.0	1806.78	1127.35	1963.57	1662.49	2061.24	1697.45	1844.76	1561.89	1183.45	1769.57	1936.53	1883.54	1745.2	2075.59	1936.53	796.86	1008.9	967.76	525.39	718.08	1143.1	1388.16	819.3	1081.39	1242.34	1378.57	1259.69	1268.46	1407.55	1487.87	1250.98	1340.84	1583.71	1159.07	1685.71	1216.75	1487.87	728.11	514.56	791.35	813.63	571.05	954.43	559.28	848.22	493.56	629.35	1135.2	1447.15	1594.73	1769.57	2255.7	1216.75	1397.83	1662.49	1295.13	1044.52	941.27	2133.97	2178.83	1498.22	1277.29	1388.16	1757.34	1388.16	1662.49
TMF1	163.28	122.64	146.03	102.97	187.71	87.65	194.36	198.47	327.56	656.11	620.67	525.39	336.79	217.27	293.07	234.57	217.27	152.28	368.65	151.22	295.11	265.87	248.0	514.56	368.65	127.89	182.55	67.12	323.03	167.9	134.3	273.37	379.04	403.5	334.46	289.02	341.51	414.87	295.11	441.64	339.14	291.04	432.53	258.57	435.55	361.04	343.89	384.34	392.44	366.09	255.0	343.89	305.55	293.07	323.03	368.65	395.18	133.36	158.79	177.53	8.85	150.17	28.45	215.77	214.27	202.66	332.14	316.37	260.38	253.23	289.02	275.28	287.01	291.04	387.02	297.17	371.22	232.94	262.2	89.51	63.0	65.26	81.71	59.13	105.89	66.18	49.91	35.76	74.06	94.67	656.11	392.44	368.65	543.96	454.09	358.54	466.88	500.46	323.03	579.04	540.19	536.45	470.14	444.72	480.04	521.76	414.87	457.25
TNPO1	299.25	226.54	255.0	301.33	157.68	281.09	400.71	339.14	189.02	1096.5	1225.22	1081.39	808.0	532.74	647.07	669.92	759.08	387.02	417.77	723.08	718.08	961.07	860.08	848.22	703.28	307.69	289.02	301.33	629.35	454.09	392.44	813.63	1066.48	941.27	791.35	674.59	909.17	947.83	791.35	1051.79	854.13	656.11	909.17	733.19	1127.35	802.41	848.22	854.13	896.64	728.11	723.08	842.36	1059.11	848.22	775.05	909.17	825.0	457.25	285.03	198.47	193.01	642.59	743.43	703.28	237.86	409.15	587.13	651.58	684.02	587.13	620.67	633.73	728.11	647.07	775.05	624.99	896.64	591.22	660.68	108.9	157.68	269.6	170.25	131.51	255.0	279.14	341.51	116.78	206.94	164.42	1295.13	872.1	825.0	1286.18	802.41	723.08	981.29	915.51	748.61	934.76	1551.09	1617.0	684.02	748.61	595.34	1427.22	842.36	1397.83
TNPO3	409.15	214.27	301.33	166.73	267.73	212.78	379.04	420.68	412.0	547.75	583.07	688.78	486.75	237.86	473.41	309.83	547.75	547.75	432.53	669.92	423.61	669.92	638.15	555.41	679.29	329.84	356.05	42.71	454.09	381.68	155.5	417.77	571.05	503.95	583.07	460.44	555.41	529.06	460.44	571.05	497.0	457.25	567.1	373.81	616.37	529.06	555.41	511.0	599.49	490.14	389.72	575.03	441.64	483.38	432.53	473.41	607.87	351.14	412.0	325.29	295.11	759.08	476.71	753.83	389.72	232.94	409.15	473.41	420.68	444.72	529.06	497.0	493.56	463.65	514.56	460.44	559.28	521.76	551.56	152.28	159.9	167.9	154.42	109.66	339.14	215.77	289.02	166.73	206.94	143.01	733.19	525.39	525.39	563.18	389.72	575.03	579.04	555.41	438.59	403.5	665.29	616.37	497.0	490.14	460.44	511.0	651.58	457.25
TRIM56	149.12	68.07	57.49	96.01	128.79	99.43	101.54	141.02	90.77	387.02	384.34	361.04	273.37	57.08	176.29	95.34	101.54	136.19	248.0	241.19	255.0	212.78	285.03	379.04	244.57	170.25	100.13	4.24	339.14	231.32	195.72	181.28	283.05	269.6	226.54	231.32	232.94	215.77	205.5	277.2	208.38	205.5	249.73	119.26	224.97	287.01	228.13	256.78	289.02	198.47	141.02	269.6	115.97	167.9	273.37	157.68	320.8	147.06	136.19	127.0	110.43	107.38	193.01	323.03	141.02	98.04	186.4	265.87	150.17	251.48	267.73	293.07	209.84	197.09	224.97	228.13	318.57	301.33	197.09	58.3	110.43	62.12	49.21	22.59	61.25	48.87	62.56	43.32	97.36	60.82	629.35	221.86	251.48	220.32	223.41	299.25	202.66	275.28	186.4	145.02	438.59	112.77	295.11	323.03	265.87	256.78	289.02	193.01
TRIP11	162.14	115.16	169.07	87.65	151.22	122.64	94.67	169.07	115.97	507.46	417.77	400.71	281.09	131.51	205.5	162.14	180.02	161.02	262.2	183.82	248.0	318.57	332.14	201.25	262.2	76.71	148.09	142.01	171.45	81.71	56.28	183.82	293.07	329.84	271.48	209.84	275.28	285.03	223.41	420.68	275.28	239.52	351.14	176.29	406.31	341.51	332.14	312.0	341.51	260.38	204.07	323.03	193.01	242.88	234.57	289.02	358.54	40.93	162.14	149.12	27.05	82.87	14.35	149.12	122.64	148.09	224.97	264.03	194.36	223.41	267.73	287.01	237.86	242.88	293.07	239.52	285.03	214.27	234.57	84.04	57.08	76.17	94.01	63.89	127.89	77.25	71.5	19.82	80.01	85.22	320.8	287.01	361.04	417.77	244.57	202.66	248.0	275.28	262.2	215.77	412.0	486.75	212.78	275.28	241.19	373.81	289.02	301.33
