	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.C5.A3HE.01A.21R.A22U.07	TCGA.DG.A2KH.01A.21R.A22U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
MSMP	0.0	0.0	0.0	0.0	0.0	0.0	1.81	3.56	0.0	0.0	0.0	6.31	3.11	1.83	0.0	2.03	24.11	4.62	25.72	12.64	16.88	0.0	0.0	35.0	70.51	6.52	4.43	12.45	0.0	13.93	22.43	0.0	21.63	23.76	12.36	0.0	11.82	105.15	41.81	4.98	7.0	45.53	52.82	15.0	17.0	6.52	25.17	37.59	16.39	23.08	0.0	6.94	17.25	19.39	25.91	9.7
MTRF1L	135.24	271.48	156.59	221.86	217.27	253.23	173.85	187.71	181.28	180.02	164.42	176.29	161.02	190.34	224.97	123.5	186.4	246.28	175.07	169.07	297.17	0.0	0.27	164.42	197.09	320.8	269.6	211.31	339.14	239.52	285.03	217.27	251.48	170.25	271.48	197.09	271.48	303.44	198.47	293.07	314.17	253.23	198.47	215.77	214.27	162.14	202.66	206.94	246.28	251.48	152.28	432.53	195.72	287.01	269.6	201.25
NAP1L3	0.89	13.32	5.11	0.97	2.56	4.24	5.82	3.47	1.81	1.1	3.92	5.77	0.89	1.5	9.2	7.88	3.56	5.02	13.72	59.55	24.81	0.0	0.13	52.08	13.12	7.94	37.05	59.97	140.04	70.51	84.04	15.22	46.5	87.03	158.79	6.84	73.54	1.13	57.49	18.29	68.07	49.21	50.63	57.08	17.38	54.33	9.7	80.57	45.53	46.18	45.85	12.27	4.5	9.78	12.27	11.47
NAP1L5	1.5	37.85	7.4	51.35	15.56	50.27	49.21	35.25	25.17	18.56	11.38	25.35	77.25	34.75	71.5	23.25	8.58	38.4	78.89	75.11	79.45	0.0	0.27	63.45	76.17	78.34	112.77	143.01	279.14	56.28	111.21	59.97	85.22	115.16	143.01	47.84	194.36	48.87	98.04	193.01	56.28	63.0	119.26	91.41	34.51	92.05	57.08	76.17	75.64	197.09	34.02	125.24	58.71	76.17	134.3	155.5
NDN	24.63	76.71	58.3	26.28	48.87	63.45	69.03	100.13	19.53	19.82	20.11	58.71	7.57	36.53	74.58	32.36	37.59	84.04	44.89	59.55	271.48	0.0	0.61	486.75	463.65	173.85	409.15	1295.13	1991.0	1617.0	2271.4	633.73	1143.1	1242.34	1674.06	264.03	1529.73	123.5	1388.16	591.22	1111.82	447.82	674.59	842.36	231.32	684.02	624.99	1359.57	718.08	1242.34	559.28	470.14	197.09	180.02	500.46	327.56
NECAB1	2.05	1.66	7.63	0.96	17.51	5.5	1.69	3.47	0.41	1.27	1.14	2.81	0.74	2.01	2.1	0.84	2.63	2.03	29.91	0.99	38.4	0.0	0.05	94.67	31.45	251.48	234.57	95.34	281.09	53.95	46.84	412.0	67.12	7.4	114.36	50.27	44.25	49.21	195.72	74.06	81.14	323.03	74.58	218.79	162.14	599.49	21.16	49.21	343.89	65.72	47.5	67.12	96.01	84.63	66.18	102.97
NEXN	30.78	265.87	66.18	521.76	463.65	277.2	215.77	312.0	19.25	229.72	112.77	144.01	5.68	73.54	45.85	27.44	61.68	142.01	16.15	21.63	334.46	124.37	1733.13	251.48	158.79	47.84	1066.48	607.87	1498.22	327.56	299.25	738.29	348.71	848.22	559.28	208.38	872.1	66.65	830.75	441.64	842.36	376.41	376.41	361.04	124.37	191.67	332.14	540.19	813.63	178.77	486.75	521.76	215.77	136.19	429.54	135.24
NHSL2	0.0	2.97	0.35	1.28	0.34	1.23	0.89	2.05	0.52	0.83	1.64	2.39	1.51	1.23	0.95	3.82	0.71	1.31	6.62	6.62	32.13	0.0	0.22	64.34	13.42	27.44	96.01	15.68	100.13	65.72	153.34	40.36	54.72	51.35	92.7	59.55	68.55	19.68	28.86	30.34	74.58	18.97	42.41	82.29	31.67	74.06	16.88	65.26	57.49	22.1	19.11	69.52	5.59	21.01	34.26	18.03
NIPAL3	201.25	220.32	171.45	543.96	157.68	297.17	211.31	246.28	226.54	143.01	376.41	205.5	356.05	117.6	242.88	348.71	127.89	277.2	532.74	429.54	503.95	256.78	507.46	587.13	536.45	500.46	575.03	283.05	540.19	447.82	438.59	748.61	291.04	525.39	532.74	438.59	305.55	279.14	543.96	246.28	463.65	934.76	536.45	500.46	563.18	733.19	334.46	583.07	1268.46	540.19	529.06	563.18	301.33	616.37	417.77	305.55
NIPSNAP3B	13.52	17.64	8.58	3.79	7.28	29.06	9.27	3.79	2.51	4.58	17.9	16.51	22.26	23.59	17.0	18.97	5.28	9.13	46.5	103.69	76.17	0.0	0.29	74.58	96.68	122.64	67.12	49.56	75.11	74.58	131.51	25.35	38.95	40.07	120.1	100.13	73.03	82.87	17.9	92.05	57.08	63.45	100.83	30.78	106.63	138.1	119.26	94.67	31.67	35.76	29.7	70.51	59.13	101.54	68.07	110.43
NLGN4X	0.0	3.63	1.95	39.5	1.93	8.06	1.75	1.91	0.3	0.31	40.07	1.91	0.88	0.92	5.82	4.03	2.97	7.22	3.63	4.43	1.08	0.0	0.09	112.77	5.96	242.88	93.35	110.43	17.9	49.91	195.72	72.52	144.01	5.68	136.19	11.64	8.13	0.23	12.45	23.76	46.84	23.59	6.84	58.3	6.52	106.63	50.27	45.85	33.78	61.68	40.07	14.24	10.16	19.53	17.25	8.13
NOV	8.38	27.05	5.45	7.88	6.06	15.11	20.11	35.25	2.73	6.73	5.28	40.93	145.02	8.06	10.39	24.11	2.78	7.57	220.32	177.53	733.19	0.0	0.02	102.97	132.44	41.22	334.46	42.71	463.65	82.29	525.39	154.42	135.24	75.64	457.25	323.03	314.17	91.41	460.44	305.55	559.28	384.34	92.7	120.1	61.25	61.25	59.55	73.03	98.04	226.54	53.57	144.01	41.81	98.04	215.77	616.37
NPY1R	0.32	0.68	0.67	0.0	5.06	9.56	0.8	2.61	0.0	0.0	0.0	4.28	4.66	0.0	5.41	84.63	0.48	0.0	69.52	32.36	426.57	0.0	0.15	35.76	2.81	22.59	63.45	2.84	547.75	20.26	55.1	73.03	14.35	97.36	113.56	19.11	70.51	6.46	28.86	28.04	204.07	18.7	40.64	47.17	1.45	14.03	13.22	34.51	44.57	72.01	39.79	93.35	43.02	20.86	14.35	22.75
NPY5R	0.0	0.66	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.47	0.0	0.0	3.63	3.79	27.44	0.0	0.0	6.52	0.0	5.11	6.21	1.41	23.25	15.22	10.96	7.46	7.94	12.45	11.38	1.35	5.92	1.31	2.73	2.94	9.93	1.77	5.36	8.19	0.0	0.0	1.31	4.66	6.73	14.45	4.5	4.43	8.45	2.32	2.18	2.94
NTF3	1.17	4.9	2.56	1.28	0.0	1.99	2.32	3.63	1.17	1.83	0.0	2.16	2.58	9.85	1.73	8.65	5.15	2.68	10.08	9.34	121.79	0.0	0.3	26.28	45.85	2.01	91.41	66.18	547.75	4.46	221.86	23.76	48.87	23.93	246.28	77.79	129.69	16.39	21.47	80.57	82.29	36.01	49.91	25.91	29.27	27.25	12.45	129.69	37.32	0.0	20.71	21.78	2.63	26.86	21.78	170.25
NTRK3	0.31	7.82	0.34	0.0	0.34	3.86	3.14	4.21	0.0	0.64	0.0	0.71	27.84	0.0	2.97	5.73	0.0	1.2	16.75	17.0	108.9	0.0	0.53	19.25	54.33	10.0	49.56	40.36	463.65	40.64	361.04	39.5	73.54	138.1	307.69	67.59	234.57	97.36	40.07	60.39	106.63	55.49	71.5	28.04	12.45	3.96	15.34	71.0	127.89	13.32	34.51	34.75	56.68	33.78	37.59	351.14
NXPH3	18.97	13.42	5.77	3.5	4.82	18.43	14.89	17.38	4.31	2.51	13.12	8.65	1.13	5.54	9.93	5.41	9.63	9.63	19.82	39.79	41.81	0.0	0.03	173.85	265.87	30.12	332.14	80.01	703.28	366.09	1119.56	135.24	275.28	173.85	559.28	164.42	684.02	52.82	115.16	134.3	332.14	540.19	412.0	190.34	40.36	80.57	132.44	587.13	126.12	70.51	124.37	114.36	297.17	93.35	108.14	277.2
OGFRL1	54.33	129.69	84.04	97.36	143.01	102.97	96.68	136.19	41.81	52.82	273.37	70.51	72.52	40.93	128.79	122.64	23.76	55.89	289.02	432.53	406.31	0.0	0.52	320.8	423.61	921.88	253.23	281.09	269.6	226.54	295.11	101.54	271.48	866.07	373.81	412.0	307.69	444.72	775.05	476.71	255.0	679.29	934.76	289.02	409.15	497.0	974.5	224.97	242.88	125.24	309.83	301.33	2271.4	432.53	620.67	334.46
OSBPL11	88.88	122.64	107.38	145.02	108.9	145.02	460.44	177.53	229.72	152.28	165.57	122.64	167.9	130.6	251.48	140.04	76.71	145.02	199.85	239.52	262.2	132.44	83.45	341.51	563.18	860.08	368.65	190.34	358.54	301.33	358.54	343.89	316.37	228.13	316.37	297.17	423.61	175.07	389.72	181.28	476.71	559.28	540.19	341.51	353.59	525.39	819.3	441.64	438.59	392.44	417.77	226.54	271.48	314.17	480.04	150.17
PABPC5	0.0	0.0	1.3	0.0	1.28	2.1	1.81	1.99	0.59	0.0	1.31	2.29	0.36	0.67	1.01	1.06	1.62	0.91	2.66	1.28	7.88	0.0	0.21	21.32	18.97	11.55	11.55	25.72	80.57	36.79	45.21	5.06	14.89	36.79	62.56	6.89	43.63	1.66	19.68	28.24	38.95	16.88	37.32	27.44	7.34	46.18	16.15	34.26	24.28	14.45	8.58	9.27	6.57	19.97	18.03	15.91
PARM1	14.67	86.43	43.02	13.12	15.11	43.63	89.51	34.51	17.9	6.41	28.24	90.14	470.14	29.06	62.12	100.83	8.06	38.4	137.14	75.11	813.63	153.34	84.04	1685.71	854.13	206.94	743.43	693.58	1457.23	466.88	414.87	5183.54	441.64	1936.53	642.59	309.83	1697.45	82.87	2591.27	620.67	915.51	4543.8	480.04	718.08	1030.12	1313.23	172.65	441.64	6037.61	1870.53	4388.98	575.03	2319.15	384.34	791.35	1183.45
PDE2A	19.53	32.82	40.93	21.78	50.98	36.53	52.82	41.81	37.05	10.79	19.82	37.85	5.32	20.56	31.45	46.84	19.11	94.01	182.55	63.0	241.19	0.0	0.4	157.68	255.0	63.45	420.68	332.14	1199.98	660.68	466.88	211.31	417.77	1519.15	470.14	409.15	1437.15	237.86	473.41	368.65	470.14	356.05	389.72	521.76	81.71	123.5	108.9	371.22	193.01	190.34	271.48	470.14	450.94	171.45	466.88	273.37
PEG3	0.32	4.28	0.99	3.79	0.35	1.75	0.91	3.11	0.3	0.0	0.36	5.96	0.33	0.34	1.27	1.31	4.62	0.95	3.32	6.31	20.26	0.0	0.26	38.12	12.64	8.38	42.41	27.44	206.94	40.64	170.25	25.91	29.06	30.12	244.57	28.65	43.94	24.46	69.52	6.89	105.89	51.35	63.0	99.43	12.83	102.97	14.56	107.38	73.54	23.76	18.43	80.01	21.01	13.83	17.9	32.82
PLCL1	1.17	12.74	7.0	4.39	9.78	4.43	22.92	17.38	3.59	2.03	4.06	2.1	0.65	4.78	14.03	7.69	3.56	16.51	66.18	28.45	80.57	0.0	0.06	59.55	71.5	57.49	202.66	65.72	346.29	164.42	144.01	77.25	66.65	87.03	438.59	64.34	161.02	36.27	70.51	92.05	117.6	209.84	95.34	108.9	50.27	97.36	50.63	150.17	98.73	65.26	69.52	121.79	37.85	77.79	69.52	305.55
PLN	0.0	32.36	6.78	18.16	9.85	3.86	4.78	38.95	8.65	0.52	1.64	11.38	3.08	2.23	18.16	7.06	27.25	8.51	49.56	88.88	988.12	0.0	0.39	50.27	242.88	10.24	1437.15	1369.04	3372.43	86.43	909.17	154.42	698.41	148.09	1331.57	607.87	1208.34	98.73	256.78	616.37	825.0	693.58	441.64	511.0	134.3	143.01	120.1	928.3	248.0	30.78	112.77	480.04	44.89	181.28	395.18	3349.13
PLXDC2	217.27	890.44	156.59	77.79	115.97	113.56	351.14	264.03	182.55	167.9	133.36	48.87	52.82	33.06	163.28	113.56	64.34	157.68	387.02	1295.13	1216.75	0.0	0.54	633.73	802.41	1242.34	1233.75	2720.15	1388.16	591.22	2075.59	368.65	651.58	414.87	1697.45	988.12	1111.82	669.92	511.0	1769.57	753.83	1030.12	1059.11	1096.5	559.28	1832.01	1733.13	947.83	587.13	1175.27	665.29	1066.48	718.08	860.08	2090.03	1340.84
PNMAL2	0.89	4.24	5.41	0.65	0.34	4.58	23.08	2.78	2.76	2.58	2.07	3.41	4.7	2.56	3.0	4.1	0.0	3.69	11.3	4.46	18.29	0.0	0.06	101.54	19.25	13.22	35.76	34.51	65.72	67.12	82.29	22.92	69.03	62.12	85.82	6.57	69.52	2.1	56.28	17.0	61.25	28.24	37.85	104.42	17.0	31.22	6.84	59.13	53.19	26.47	47.84	9.85	71.0	8.51	10.96	12.74
PRSS35	0.0	0.99	1.91	0.0	0.33	0.46	2.94	1.08	1.95	0.0	0.22	0.0	0.19	0.21	0.22	0.0	0.15	0.73	2.2	1.81	38.95	0.0	0.0	148.09	15.45	16.27	65.26	25.17	112.77	29.06	21.78	34.02	18.97	57.49	231.32	26.47	29.27	43.63	12.45	34.26	57.49	76.17	59.97	42.11	4.1	90.77	18.84	96.01	54.72	51.71	16.51	126.12	5.28	58.3	40.07	15.68
PURG	0.0	1.97	0.0	0.64	0.0	0.46	2.94	1.2	0.42	0.0	0.0	0.49	0.0	0.0	0.48	0.85	0.0	0.0	1.33	1.6	5.02	0.0	0.05	10.71	5.02	0.73	4.21	10.71	18.84	5.19	15.0	1.95	6.11	14.14	8.32	12.27	7.69	7.28	3.11	8.71	7.17	15.34	7.88	17.38	2.89	6.84	2.2	11.82	3.96	0.11	5.68	8.0	1.48	0.97	4.39	6.41
PYGM	4.06	13.03	2.25	1.58	1.6	9.13	4.78	10.0	3.38	4.66	8.38	10.63	3.41	6.11	11.64	8.06	7.69	4.62	10.88	17.77	82.29	0.0	0.39	35.5	38.4	15.11	23.08	46.84	708.18	75.64	61.25	67.59	112.77	81.71	54.72	58.3	114.36	96.68	36.01	50.98	88.26	57.08	96.68	57.89	9.2	20.26	22.75	69.03	61.25	29.27	32.59	67.12	34.02	31.9	60.39	293.07
RAB6B	107.38	171.45	9.7	7.0	25.72	15.68	10.71	24.99	14.78	5.41	13.83	26.28	43.94	22.59	7.22	18.56	13.12	25.17	58.71	187.71	211.31	0.0	0.67	135.24	100.83	47.17	52.45	41.81	1477.58	96.68	120.1	66.18	165.57	376.41	92.05	283.05	323.03	111.99	312.0	2855.44	532.74	289.02	146.03	149.12	665.29	28.04	45.85	125.24	127.89	14.89	157.68	147.06	1832.01	41.52	318.57	171.45
RCAN2	7.34	70.01	23.76	29.48	25.17	18.16	30.12	68.55	22.43	11.47	35.25	24.63	24.46	17.25	33.3	31.9	16.51	52.08	460.44	376.41	708.18	0.0	0.54	125.24	607.87	37.32	884.29	2032.85	4181.07	514.56	1143.1	536.45	525.39	669.92	679.29	753.83	1388.16	117.6	353.59	2796.65	1417.35	1909.85	660.68	466.88	182.55	187.71	389.72	1233.75	371.22	97.36	384.34	872.1	381.68	309.83	785.88	2609.3
REM1	1.48	21.78	17.13	2.56	2.25	8.71	12.0	11.21	6.06	1.11	14.03	12.74	0.0	6.31	27.84	10.24	9.13	20.41	9.7	8.06	71.0	0.0	0.0	172.65	46.5	17.13	152.28	134.3	363.56	262.2	343.89	156.59	122.64	162.14	156.59	64.34	156.59	54.72	63.89	89.51	123.5	111.21	167.9	113.56	42.11	135.24	123.5	339.14	64.34	73.03	61.68	135.24	49.91	39.22	103.69	98.73
RERGL	0.0	2.66	0.0	0.0	2.86	1.16	3.08	4.06	0.0	0.0	0.0	3.0	3.56	2.14	8.51	0.0	3.38	1.64	15.56	18.43	85.22	0.0	0.14	65.72	53.95	4.13	358.54	158.79	4152.18	36.27	409.15	28.65	866.07	93.35	80.57	59.55	44.89	15.11	21.01	29.7	438.59	62.56	42.11	395.18	2.84	26.67	35.76	819.3	14.45	22.92	49.56	18.43	12.27	65.72	62.56	115.16
RFTN2	2.63	10.16	4.82	5.96	7.57	4.13	8.19	12.83	11.47	18.97	14.14	9.27	0.74	9.41	24.11	15.91	8.0	7.46	29.7	26.67	55.89	0.0	0.0	52.08	53.19	13.03	87.03	212.78	204.07	143.01	190.34	75.64	45.53	161.02	89.51	54.33	120.94	31.45	43.63	30.34	108.14	111.21	72.01	87.65	14.45	64.34	96.01	131.51	95.34	39.79	60.39	60.82	108.14	28.65	57.89	60.82
RGS7BP	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.0	2.92	3.76	44.57	0.0	0.06	5.68	26.1	3.23	56.28	8.51	80.57	13.52	40.07	15.56	11.91	31.22	123.5	22.1	37.32	17.51	57.89	50.27	31.22	55.49	27.44	23.08	16.27	20.11	5.5	31.22	33.78	1.01	7.88	35.0	23.59	18.16	52.82	45.85
RNF180	0.0	2.97	1.31	0.34	21.63	7.11	4.28	4.06	0.95	0.42	4.54	1.48	1.03	1.38	2.39	17.77	1.39	2.94	10.63	15.22	57.49	0.0	0.26	64.34	64.8	17.64	93.35	33.54	260.38	218.79	170.25	51.35	22.43	59.13	718.08	46.84	178.77	18.16	105.15	63.89	108.9	104.42	109.66	90.14	69.52	103.69	17.9	111.21	71.0	31.67	23.76	79.45	59.13	34.26	47.5	107.38
RNF38	65.26	148.09	93.35	138.1	127.0	157.68	206.94	176.29	246.28	149.12	205.5	153.34	152.28	123.5	161.02	206.94	108.9	281.09	426.57	312.0	423.61	0.0	0.51	460.44	454.09	397.93	651.58	343.89	1023.0	909.17	967.76	473.41	403.5	642.59	1304.15	343.89	591.22	387.02	518.15	525.39	825.0	1119.56	500.46	559.28	432.53	981.29	420.68	738.29	579.04	583.07	392.44	647.07	353.59	460.44	547.75	536.45
RP1-130H16.18	3.5	23.59	0.99	0.0	0.97	14.03	8.78	11.3	9.78	16.15	4.86	0.0	5.87	0.0	18.84	2.63	2.66	6.57	23.93	16.51	11.21	0.0	0.26	21.32	6.89	0.0	19.39	11.55	29.91	2.84	9.27	34.26	12.27	29.7	19.25	21.47	27.84	16.75	26.28	12.09	18.97	31.67	4.78	4.62	2.39	2.32	10.55	21.63	52.82	5.73	36.79	23.93	80.57	11.47	18.56	7.75
SALL2	1.22	43.63	4.24	1.64	7.11	96.68	69.03	7.28	11.64	34.26	19.82	17.64	64.34	3.08	8.06	4.82	3.56	9.7	96.68	60.82	99.43	0.0	0.31	191.67	143.01	66.65	145.02	63.89	403.5	226.54	518.15	356.05	199.85	297.17	253.23	51.35	273.37	33.78	171.45	31.0	307.69	314.17	316.37	878.17	94.67	473.41	108.14	406.31	379.04	114.36	220.32	16.51	102.97	212.78	36.27	94.67
SCAF8	125.24	275.28	123.5	271.48	164.42	206.94	346.29	251.48	177.53	183.82	246.28	303.44	224.97	271.48	201.25	182.55	221.86	194.36	231.32	248.0	387.02	0.0	0.45	403.5	358.54	232.94	301.33	303.44	629.35	460.44	500.46	423.61	376.41	555.41	791.35	212.78	669.92	214.27	500.46	318.57	483.38	244.57	426.57	463.65	381.68	718.08	303.44	507.46	514.56	432.53	379.04	262.2	454.09	236.21	307.69	307.69
SCN11A	0.0	0.0	0.33	0.64	0.32	0.53	0.25	0.28	0.21	0.0	0.84	0.57	0.0	0.0	0.27	6.21	0.4	0.39	1.0	6.67	6.46	0.0	0.0	6.67	3.2	2.76	4.24	2.53	3.23	3.69	3.92	1.95	4.13	10.0	5.23	3.2	6.78	1.11	2.32	4.78	2.34	2.89	4.66	6.11	6.73	6.57	1.51	7.22	4.66	4.5	2.78	3.56	6.36	0.35	2.53	2.97
SCUBE3	0.6	1.66	0.34	0.96	0.97	3.59	0.59	2.48	0.85	1.19	0.99	2.84	1.23	1.62	2.05	1.01	1.5	1.3	4.7	1.95	84.63	7.06	50.27	8.58	10.31	1.55	52.45	11.91	55.89	5.63	45.21	15.8	58.71	57.89	98.73	28.04	178.77	2.63	10.55	31.0	45.85	24.63	44.57	55.49	1.6	17.25	1.79	29.91	22.75	1.08	9.93	57.49	1.87	4.86	10.31	79.45
SHANK1	4.31	8.13	1.28	0.0	0.0	2.16	0.82	2.39	0.72	0.0	2.03	1.79	0.53	0.0	0.0	0.91	4.46	1.58	1.71	2.61	8.0	0.0	0.08	17.51	3.86	15.45	2.53	26.47	11.47	28.04	3.44	3.23	13.12	4.24	6.06	8.0	3.63	20.41	6.41	14.03	7.94	24.11	17.13	16.88	6.89	15.68	10.71	6.57	4.31	1.1	1.79	9.63	8.78	3.66	17.9	5.41
SHC4	4.62	4.24	2.86	3.14	17.51	1.06	10.71	4.46	0.67	2.89	1.45	2.81	2.78	7.06	10.79	1.16	2.68	2.97	3.96	4.43	13.62	0.0	0.02	2.84	1.93	0.26	25.35	4.54	25.17	5.63	14.35	1.48	16.39	11.21	11.73	6.67	33.3	1.45	13.42	2.56	31.45	14.35	14.35	24.63	8.32	28.86	3.2	9.48	17.9	4.28	13.72	11.21	2.14	2.25	9.41	5.59
SLC17A7	1.75	2.63	4.78	4.06	1.28	6.46	3.11	12.45	8.58	8.58	4.39	2.63	1.0	1.75	4.39	0.71	0.41	2.53	0.68	0.33	4.03	0.0	0.36	5.45	6.21	0.0	5.19	4.03	75.64	14.35	12.74	5.63	15.45	31.45	5.19	4.06	164.42	4.35	7.75	10.24	48.18	105.15	11.64	10.47	1.27	5.02	7.69	9.06	10.16	16.03	18.43	6.31	7.22	6.01	28.24	15.68
SMARCA2	209.84	1286.18	486.75	579.04	693.58	403.5	961.07	954.43	890.44	802.41	934.76	384.34	1023.0	409.15	941.27	1008.9	226.54	1119.56	1127.35	1331.57	1477.58	595.34	231.32	1844.76	1447.15	954.43	1963.57	2018.8	6207.38	3081.75	3395.89	1617.0	1617.0	3639.7	5292.48	1313.23	2451.44	884.29	1721.16	1225.22	2777.33	2485.67	2816.11	2777.33	1250.98	2319.15	1896.65	3540.14	2335.28	2384.37	1639.59	995.0	1923.14	1397.83	2104.58	1096.5
SMOC2	13.52	180.02	46.5	31.45	19.53	65.72	62.56	66.65	15.8	5.82	24.28	64.34	9.48	21.01	58.71	77.79	52.82	44.25	60.39	12.18	521.76	0.0	0.47	112.77	297.17	1015.93	684.02	6121.9	2351.53	417.77	669.92	141.02	406.31	708.18	1216.75	647.07	1697.45	275.28	1369.04	1096.5	656.11	400.71	941.27	95.34	406.31	41.52	271.48	224.97	356.05	400.71	325.29	450.94	612.11	256.78	400.71	2032.85
SOGA3	0.88	2.94	3.82	1.27	1.28	1.83	2.81	2.01	0.47	1.08	1.95	1.27	0.0	1.19	2.27	1.28	0.89	1.71	3.69	4.5	40.93	0.0	0.0	7.94	10.31	19.25	95.34	21.63	39.5	15.68	23.42	46.5	16.39	10.55	77.79	22.75	23.76	22.59	17.13	10.47	52.82	43.94	23.08	9.85	11.82	21.63	10.08	49.21	29.7	0.0	1.28	70.51	7.06	45.53	27.25	28.86
ST6GAL2	2.32	11.04	0.0	0.33	0.97	7.63	5.92	3.44	0.67	0.95	0.0	5.36	0.23	0.78	6.26	8.99	0.46	0.0	1.99	3.79	35.25	0.0	0.01	24.28	11.73	8.25	77.79	7.69	12.55	4.21	58.3	24.81	13.52	12.74	99.43	25.72	124.37	2.01	11.47	3.92	61.25	21.78	23.59	41.52	3.14	15.91	1.14	41.22	8.78	13.72	4.74	21.01	8.65	2.89	5.11	93.35
STOX2	15.0	7.88	1.0	1.93	8.25	24.99	69.52	24.99	33.3	20.86	16.88	30.34	23.08	8.13	28.86	35.5	1.14	3.32	46.5	32.82	63.0	0.0	0.36	73.54	94.67	9.34	33.06	10.08	88.26	81.14	74.58	51.35	13.72	81.14	119.26	128.79	72.01	4.7	43.02	28.65	52.82	201.25	208.38	61.25	283.05	94.67	17.38	67.12	84.63	34.02	80.01	50.98	59.13	35.25	84.63	75.64
SUSD5	0.31	4.58	12.64	0.34	5.06	3.41	2.46	4.1	1.31	1.36	2.25	1.97	25.17	3.44	4.62	12.64	1.38	0.43	1.31	1.58	44.57	0.0	0.08	6.78	37.05	3.53	96.01	63.45	256.78	7.34	80.57	56.68	126.12	33.78	85.22	49.91	99.43	8.13	19.53	73.54	221.86	58.71	35.25	88.88	7.46	12.93	13.03	92.7	42.41	10.08	38.12	13.42	19.53	13.93	18.97	204.07
SYNPO2	1.51	16.88	5.19	14.24	3.56	17.38	26.1	31.67	6.57	2.23	14.45	21.32	8.78	5.82	30.12	37.05	19.25	23.25	68.07	37.32	1059.11	0.0	0.43	73.03	112.77	84.04	476.71	149.12	3039.3	112.77	197.09	265.87	143.01	348.71	579.04	134.3	1135.2	102.97	423.61	902.89	1059.11	143.01	642.59	152.28	293.07	148.09	156.59	540.19	473.41	55.89	108.9	693.58	64.8	220.32	1073.91	217.27
TBC1D12	60.82	43.32	69.52	71.0	75.64	72.01	76.71	60.39	80.01	147.06	83.45	92.05	104.42	105.15	122.64	77.25	202.66	53.95	120.1	211.31	163.28	0.0	0.53	187.71	156.59	260.38	117.6	169.07	159.9	175.07	218.79	95.34	169.07	120.1	197.09	99.43	106.63	60.39	127.0	120.94	111.99	204.07	169.07	202.66	161.02	204.07	358.54	157.68	76.71	115.16	183.82	80.57	149.12	113.56	224.97	161.02
