	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
RPP40	848.22	1561.89	591.22	334.46	486.75	297.17	137.14	181.28	536.45	414.87	368.65	463.65	25.17	141.02	125.24	316.37	156.59	214.27	312.0	201.25	113.56	88.26	52.45	99.43	63.45	86.43	61.25	50.98	323.03	51.71	152.28	152.28	163.28	190.34	137.14	236.21	136.19	217.27	94.67	97.36	329.84	325.29	220.32	183.82	432.53	173.85	316.37	111.99	201.25	176.29	197.09	450.94	212.78	133.36	87.03	115.16	140.04	18.29	120.94	125.24	144.01	115.16	281.09	98.04	381.68	84.04	110.43	178.77	239.52	285.03	358.54	264.03	376.41	417.77	307.69	395.18	358.54	316.37	195.72	121.79	493.56	414.87	135.24	339.14	244.57	269.6	141.02	271.48	209.84	117.6	483.38	295.11	567.1
RRP12	507.46	525.39	497.0	224.97	260.38	271.48	305.55	738.29	603.67	866.07	642.59	1233.75	89.51	244.57	305.55	633.73	312.0	220.32	400.71	361.04	358.54	305.55	237.86	346.29	329.84	220.32	406.31	387.02	1051.79	232.94	343.89	371.22	239.52	297.17	307.69	381.68	329.84	423.61	384.34	329.84	246.28	591.22	329.84	291.04	454.09	339.14	486.75	435.55	412.0	497.0	457.25	379.04	473.41	371.22	351.14	316.37	738.29	253.23	228.13	366.09	665.29	231.32	651.58	327.56	638.15	212.78	297.17	688.78	878.17	808.0	723.08	1359.57	249.73	1378.57	563.18	698.41	961.07	723.08	463.65	703.28	525.39	808.0	620.67	603.67	674.59	679.29	392.44	267.73	460.44	177.53	830.75	493.56	674.59
SAAL1	1051.79	406.31	463.65	273.37	176.29	172.65	285.03	255.0	397.93	575.03	503.95	684.02	199.85	164.42	105.89	185.11	271.48	217.27	193.01	149.12	258.57	175.07	153.34	205.5	156.59	177.53	166.73	135.24	244.57	143.01	164.42	183.82	158.79	325.29	197.09	217.27	183.82	193.01	514.56	178.77	194.36	218.79	171.45	181.28	320.8	163.28	358.54	175.07	214.27	148.09	176.29	299.25	231.32	204.07	157.68	214.27	183.82	145.02	127.89	214.27	117.6	120.1	223.41	129.69	209.84	239.52	135.24	223.41	226.54	435.55	397.93	161.02	303.44	503.95	718.08	262.2	170.25	206.94	173.85	356.05	463.65	269.6	279.14	258.57	366.09	129.69	305.55	353.59	318.57	229.72	665.29	346.29	248.0
SEH1L	1963.57	775.05	1135.2	341.51	309.83	1044.52	341.51	476.71	323.03	753.83	599.49	764.36	269.6	312.0	547.75	327.56	255.0	220.32	223.41	260.38	343.89	251.48	249.73	289.02	307.69	226.54	234.57	147.06	547.75	307.69	253.23	289.02	275.28	470.14	403.5	384.34	260.38	148.09	169.07	221.86	358.54	334.46	351.14	314.17	381.68	426.57	417.77	414.87	325.29	224.97	366.09	307.69	341.51	343.89	165.57	366.09	187.71	323.03	323.03	255.0	409.15	239.52	412.0	291.04	295.11	208.38	361.04	429.54	507.46	728.11	423.61	599.49	1088.92	909.17	679.29	890.44	669.92	486.75	872.1	728.11	1073.91	638.15	285.03	802.41	1015.93	376.41	529.06	830.75	1073.91	293.07	738.29	551.56	728.11
SF3B14	5041.77	7589.61	4802.93	2591.27	2591.27	2384.37	2758.13	3303.0	4575.41	3491.39	3395.89	7130.55	1359.57	1883.54	1857.6	2555.58	2997.45	3235.01	2645.74	1819.35	2451.44	1781.89	2032.85	1857.6	2224.63	2591.27	2287.2	2224.63	2739.08	1870.53	2335.28	2119.22	2468.49	5041.77	2701.35	2502.97	1794.29	2240.11	2537.92	2090.03	2485.67	2163.77	1617.0	1583.71	1806.78	2193.99	3303.0	2451.44	2956.17	2287.2	2777.33	2915.45	3018.3	2271.4	1819.35	2367.9	2240.11	1844.76	1447.15	2384.37	1268.46	2061.24	2976.74	1551.09	5183.54	2163.77	2367.9	3280.18	3235.01	3515.68	2835.7	4181.07	2956.17	5517.27	5329.3	2090.03	1617.0	2739.08	3690.52	1870.53	5292.48	4298.64	1540.37	3235.01	2178.83	2997.45	4298.64	3395.89	2047.0	2645.74	5872.48	3081.75	4038.61
SGOL2	329.84	242.88	118.43	59.97	52.08	30.56	74.06	81.14	163.28	80.01	198.47	287.01	5.41	26.86	14.03	29.27	21.78	21.32	24.11	9.7	16.88	19.25	10.79	15.45	11.64	24.81	6.78	12.83	36.27	15.45	19.68	4.58	21.01	123.5	32.82	32.59	26.1	35.76	32.13	7.88	29.48	4.46	23.76	21.32	44.57	26.86	24.46	26.1	17.9	2.18	13.72	69.03	8.65	12.0	16.15	33.3	15.34	22.59	16.39	23.76	29.91	12.55	6.46	16.75	8.45	14.67	17.9	29.7	63.45	85.22	78.34	52.45	74.58	214.27	220.32	22.59	33.3	34.26	81.71	48.52	146.03	189.02	151.22	94.67	53.95	115.16	84.04	109.66	88.26	30.12	205.5	115.97	64.8
SIKE1	1066.48	616.37	872.1	476.71	890.44	551.56	483.38	400.71	514.56	507.46	555.41	624.99	332.14	665.29	567.1	769.69	351.14	353.59	403.5	507.46	327.56	303.44	323.03	320.8	358.54	353.59	348.71	518.15	190.34	356.05	366.09	256.78	395.18	323.03	202.66	660.68	285.03	540.19	379.04	312.0	438.59	384.34	470.14	417.77	813.63	363.56	195.72	224.97	162.14	273.37	629.35	703.28	353.59	358.54	363.56	514.56	414.87	229.72	312.0	387.02	612.11	490.14	450.94	301.33	753.83	297.17	327.56	389.72	518.15	669.92	599.49	384.34	514.56	785.88	656.11	435.55	802.41	1175.27	460.44	334.46	1081.39	595.34	480.04	830.75	480.04	665.29	316.37	703.28	211.31	339.14	1304.15	497.0	866.07
SKP2	329.84	1008.9	981.29	208.38	228.13	114.36	206.94	99.43	329.84	358.54	373.81	547.75	38.67	60.39	65.26	154.42	67.59	52.82	72.52	39.79	94.01	59.97	59.13	49.91	53.95	88.26	53.95	57.08	125.24	65.26	60.39	38.95	68.07	293.07	77.79	56.68	75.64	105.89	96.01	43.02	83.45	48.18	72.01	57.08	59.97	47.17	71.5	88.26	58.71	32.82	59.55	120.1	50.98	55.1	63.89	100.13	59.55	104.42	63.89	63.89	143.01	80.57	55.89	63.45	24.63	71.0	75.64	177.53	125.24	299.25	242.88	199.85	753.83	384.34	447.82	134.3	256.78	143.01	248.0	409.15	269.6	536.45	307.69	258.57	409.15	371.22	180.02	293.07	264.03	98.73	368.65	289.02	193.01
SLC5A6	1023.0	2178.83	1794.29	1721.16	1066.48	1081.39	1037.29	1208.34	2796.65	1111.82	1923.14	3303.0	281.09	289.02	327.56	353.59	507.46	320.8	426.57	285.03	387.02	271.48	279.14	343.89	201.25	753.83	193.01	267.73	457.25	285.03	480.04	195.72	236.21	1111.82	297.17	363.56	341.51	417.77	316.37	221.86	397.93	309.83	463.65	303.44	934.76	514.56	287.01	309.83	295.11	381.68	253.23	647.07	316.37	244.57	232.94	307.69	218.79	305.55	307.69	246.28	476.71	202.66	543.96	318.57	299.25	262.2	409.15	723.08	743.43	836.53	587.13	928.3	466.88	3614.55	1529.73	426.57	389.72	249.73	1111.82	1059.11	2303.12	2956.17	1437.15	1286.18	1167.14	1697.45	1242.34	854.13	1427.22	212.78	1304.15	583.07	1015.93
SLMO1	435.55	138.1	148.09	80.57	46.5	31.22	53.57	170.25	187.71	234.57	172.65	287.01	13.42	5.73	11.38	69.03	27.84	29.48	27.25	15.91	22.92	14.67	33.06	29.91	27.05	77.25	12.83	13.93	114.36	17.51	7.94	20.11	23.08	130.6	65.26	44.57	18.16	25.72	23.59	18.56	64.8	29.48	36.79	21.47	56.28	8.13	64.34	40.36	30.78	46.84	12.09	55.49	37.32	48.52	23.93	42.11	36.53	59.97	13.83	13.62	74.58	41.22	63.89	48.52	50.27	18.84	32.82	120.94	116.78	76.17	69.03	148.09	239.52	198.47	307.69	13.32	46.5	10.55	26.86	186.4	64.8	150.17	83.45	68.07	58.3	51.71	37.05	63.89	190.34	61.68	110.43	59.97	39.5
SMIM13	318.57	165.57	217.27	171.45	185.11	244.57	78.34	107.38	132.44	159.9	111.99	166.73	27.44	50.27	130.6	75.11	77.79	49.91	53.19	59.55	67.59	68.07	61.25	48.52	53.95	49.56	53.19	40.93	63.0	67.59	46.5	27.84	67.59	98.73	59.55	112.77	53.95	57.08	62.12	41.81	72.01	43.32	75.64	61.68	72.52	70.51	85.22	73.03	73.03	40.36	53.95	148.09	51.35	48.52	49.56	48.52	58.3	51.35	62.56	52.82	80.01	36.53	43.32	58.71	40.93	58.71	68.55	100.83	79.45	146.03	94.01	135.24	189.02	273.37	144.01	118.43	110.43	150.17	79.45	109.66	351.14	202.66	123.5	163.28	107.38	98.04	78.34	163.28	94.01	61.68	249.73	97.36	139.07
SUV39H2	684.02	366.09	251.48	126.12	122.64	232.94	104.42	115.97	204.07	195.72	258.57	400.71	35.5	44.25	88.26	101.54	94.67	43.94	68.55	68.07	73.03	50.98	41.81	60.82	40.64	52.82	32.59	13.52	108.14	49.56	65.26	40.93	75.11	249.73	73.54	80.57	66.18	70.01	62.56	49.91	77.79	38.67	92.05	72.01	81.14	60.39	82.29	83.45	60.82	32.82	92.05	193.01	68.55	55.1	29.27	63.45	58.71	63.0	57.49	74.06	120.1	57.08	54.33	62.12	47.17	53.19	84.63	118.43	138.1	181.28	175.07	170.25	139.07	361.04	417.77	74.06	73.03	58.3	289.02	212.78	224.97	444.72	234.57	426.57	197.09	305.55	128.79	297.17	170.25	132.44	493.56	145.02	267.73
TGS1	341.51	387.02	518.15	273.37	172.65	199.85	226.54	158.79	616.37	620.67	346.29	376.41	169.07	157.68	209.84	150.17	164.42	124.37	100.83	47.17	113.56	124.37	175.07	101.54	80.01	215.77	109.66	79.45	185.11	123.5	74.06	55.49	115.16	205.5	120.94	139.07	155.5	103.69	90.77	76.71	141.02	77.25	133.36	94.01	149.12	111.21	144.01	234.57	108.9	21.63	108.9	223.41	74.58	102.25	75.11	129.69	165.57	224.97	125.24	112.77	159.9	73.03	108.14	116.78	69.03	76.17	236.21	420.68	226.54	145.02	275.28	111.99	218.79	808.0	563.18	206.94	142.01	152.28	228.13	334.46	400.71	417.77	293.07	246.28	295.11	265.87	264.03	320.8	279.14	158.79	226.54	220.32	208.38
TIPIN	563.18	343.89	314.17	242.88	301.33	162.14	201.25	189.02	237.86	303.44	426.57	287.01	97.36	143.01	71.0	153.34	151.22	134.3	99.43	75.11	140.04	88.88	71.0	85.22	69.52	84.63	62.56	96.01	120.1	100.83	121.79	76.17	151.22	291.04	102.97	126.12	110.43	152.28	46.5	59.97	115.97	64.34	126.12	87.03	146.03	84.63	70.51	52.45	57.49	62.56	126.12	182.55	95.34	70.51	46.84	121.79	104.42	110.43	82.87	88.88	111.21	81.71	150.17	73.54	113.56	98.04	271.48	117.6	291.04	130.6	150.17	105.89	314.17	307.69	371.22	150.17	137.14	142.01	205.5	201.25	518.15	305.55	525.39	255.0	267.73	273.37	142.01	234.57	444.72	265.87	343.89	181.28	175.07
TMEM52	48.87	115.16	6.94	59.13	25.17	41.81	30.78	73.54	264.03	138.1	47.5	133.36	60.39	47.5	58.3	8.25	8.32	5.32	15.91	14.03	24.11	22.43	20.41	28.86	18.7	24.46	17.77	92.05	13.93	16.51	3.2	17.0	21.01	5.63	16.03	8.25	9.27	27.44	1.6	5.5	12.18	28.04	19.68	10.96	19.53	3.35	22.1	1.03	13.32	45.85	17.38	3.79	31.45	10.0	5.63	4.82	11.3	12.36	17.51	10.71	15.8	5.45	7.0	24.99	24.63	14.67	24.99	314.17	283.05	26.28	25.91	426.57	40.07	83.45	29.27	1277.29	543.96	12764.83	476.71	371.22	1096.5	603.67	316.37	490.14	444.72	684.02	400.71	101.54	583.07	27.84	84.04	208.38	145.02
TPRKB	1757.34	2351.53	1397.83	995.0	961.07	587.13	1104.13	796.86	1340.84	947.83	1369.04	1628.26	412.0	616.37	507.46	902.89	988.12	1388.16	878.17	587.13	1159.07	567.1	860.08	967.76	723.08	1096.5	490.14	1001.93	674.59	540.19	713.11	591.22	890.44	1733.13	1183.45	1044.52	753.83	759.08	941.27	954.43	743.43	497.0	587.13	703.28	1183.45	854.13	1151.06	902.89	830.75	260.38	974.5	915.51	1015.93	748.61	447.82	884.29	529.06	563.18	620.67	1051.79	368.65	872.1	1191.69	624.99	1151.06	743.43	656.11	688.78	825.0	1417.35	1008.9	764.36	733.19	1322.37	2018.8	785.88	698.41	728.11	1225.22	642.59	2148.82	1551.09	540.19	1066.48	493.56	967.76	1639.59	1191.69	1044.52	703.28	2061.24	1175.27	872.1
UBQLN4	1529.73	1819.35	1662.49	660.68	708.18	909.17	693.58	633.73	1111.82	1001.93	1295.13	1286.18	291.04	447.82	669.92	500.46	743.43	316.37	587.13	848.22	447.82	521.76	595.34	693.58	571.05	579.04	595.34	305.55	830.75	543.96	813.63	567.1	529.06	1073.91	312.0	473.41	684.02	547.75	384.34	555.41	612.11	743.43	780.44	651.58	764.36	941.27	285.03	486.75	500.46	1081.39	718.08	660.68	575.03	397.93	503.95	454.09	629.35	379.04	974.5	842.36	579.04	679.29	466.88	647.07	872.1	921.88	463.65	1081.39	1594.73	902.89	1059.11	1259.69	1051.79	1304.15	842.36	941.27	1199.98	579.04	555.41	1417.35	1096.5	1572.76	1685.71	1088.92	1242.34	921.88	708.18	688.78	1350.18	409.15	1529.73	1059.11	1037.29
UGGT1	612.11	2796.65	429.54	412.0	866.07	260.38	460.44	389.72	536.45	514.56	579.04	490.14	193.01	265.87	366.09	532.74	289.02	473.41	279.14	267.73	183.82	262.2	231.32	241.19	193.01	228.13	194.36	223.41	248.0	275.28	412.0	185.11	170.25	511.0	218.79	301.33	242.88	255.0	262.2	133.36	525.39	248.0	373.81	373.81	212.78	500.46	226.54	327.56	293.07	275.28	242.88	802.41	206.94	215.77	265.87	267.73	406.31	309.83	438.59	327.56	743.43	281.09	279.14	226.54	106.63	229.72	281.09	343.89	307.69	718.08	447.82	251.48	387.02	507.46	536.45	246.28	309.83	246.28	521.76	460.44	860.08	748.61	518.15	633.73	379.04	463.65	444.72	769.69	679.29	177.53	723.08	358.54	642.59
URB2	183.82	258.57	211.31	129.69	150.17	186.4	84.04	89.51	134.3	161.02	161.02	253.23	30.12	73.03	70.01	62.56	57.89	34.26	45.85	29.06	32.59	49.56	35.0	43.63	23.59	35.0	40.64	24.81	72.01	56.28	36.01	34.51	16.88	121.79	25.35	34.51	51.71	35.25	27.25	39.22	46.5	59.55	75.64	66.65	42.71	86.43	29.91	23.42	30.12	53.57	44.57	97.36	28.86	31.22	25.72	60.39	66.65	21.16	78.34	35.76	94.67	31.9	38.95	53.19	20.26	23.59	62.12	104.42	178.77	201.25	187.71	156.59	120.94	214.27	182.55	134.3	96.01	74.06	98.04	162.14	206.94	204.07	171.45	177.53	141.02	112.77	92.05	140.04	162.14	34.75	102.97	91.41	76.17
UTP11L	2303.12	2468.49	1225.22	764.36	1037.29	981.29	854.13	483.38	909.17	1216.75	890.44	1277.29	236.21	454.09	426.57	808.0	507.46	583.07	441.64	255.0	651.58	412.0	325.29	423.61	343.89	395.18	384.34	417.77	329.84	417.77	387.02	332.14	412.0	1295.13	277.2	497.0	417.77	536.45	417.77	339.14	579.04	353.59	447.82	403.5	718.08	414.87	497.0	334.46	414.87	220.32	438.59	1096.5	429.54	447.82	224.97	669.92	607.87	169.07	361.04	551.56	563.18	361.04	332.14	361.04	348.71	309.83	591.22	688.78	1088.92	1191.69	921.88	1191.69	463.65	532.74	2018.8	2451.44	1313.23	2855.44	995.0	733.19	1417.35	753.83	521.76	1015.93	928.3	1096.5	961.07	866.07	1081.39	470.14	1051.79	1037.29	896.64
UTP14A	693.58	1175.27	395.18	307.69	493.56	348.71	543.96	426.57	915.51	656.11	551.56	723.08	231.32	163.28	212.78	202.66	246.28	234.57	162.14	124.37	253.23	181.28	134.3	226.54	162.14	135.24	187.71	232.94	269.6	161.02	141.02	155.5	199.85	170.25	163.28	181.28	169.07	220.32	283.05	180.02	204.07	212.78	231.32	186.4	262.2	178.77	234.57	148.09	167.9	123.5	239.52	435.55	182.55	166.73	173.85	223.41	267.73	202.66	187.71	206.94	165.57	126.12	303.44	167.9	307.69	119.26	215.77	353.59	1268.46	368.65	521.76	500.46	366.09	543.96	1286.18	444.72	392.44	339.14	579.04	490.14	603.67	723.08	571.05	406.31	466.88	503.95	381.68	329.84	1378.57	242.88	511.0	275.28	457.25
VRK1	728.11	1331.57	591.22	291.04	81.14	132.44	195.72	104.42	518.15	551.56	547.75	320.8	130.6	130.6	146.03	169.07	93.35	93.35	99.43	81.71	185.11	123.5	96.01	102.97	140.04	220.32	71.0	58.71	111.99	111.99	94.01	105.15	177.53	241.19	143.01	92.7	102.97	191.67	91.41	96.68	144.01	54.72	112.77	96.01	165.57	92.05	126.12	98.73	72.52	27.44	122.64	275.28	111.21	115.97	50.63	110.43	105.15	115.16	104.42	161.02	91.41	112.77	124.37	107.38	131.51	134.3	104.42	256.78	327.56	241.19	205.5	234.57	406.31	543.96	480.04	289.02	120.94	297.17	397.93	435.55	624.99	260.38	262.2	529.06	314.17	493.56	303.44	669.92	743.43	234.57	323.03	358.54	281.09
WDHD1	571.05	224.97	275.28	71.0	57.08	61.68	68.55	62.12	154.42	172.65	327.56	181.28	25.72	27.05	36.01	70.51	70.01	30.12	36.27	25.91	43.02	34.51	37.59	38.4	35.0	50.63	36.27	39.22	30.34	53.57	40.93	13.03	32.59	140.04	37.05	27.44	47.17	76.71	44.89	32.36	67.12	26.47	53.95	46.5	58.3	38.95	39.79	44.57	25.35	6.57	29.91	115.16	39.5	32.59	28.45	42.71	35.0	73.03	46.84	47.17	40.36	37.85	26.86	47.5	27.84	46.84	31.0	141.02	135.24	118.43	105.89	94.67	191.67	212.78	251.48	57.08	78.89	66.65	63.89	125.24	297.17	130.6	111.99	147.06	105.89	130.6	92.7	118.43	151.22	29.7	376.41	87.65	119.26
WDR43	934.76	1059.11	775.05	708.18	283.05	591.22	441.64	555.41	1233.75	660.68	1051.79	1572.76	151.22	260.38	281.09	332.14	490.14	239.52	339.14	175.07	194.36	221.86	199.85	178.77	153.34	297.17	241.19	144.01	500.46	269.6	275.28	152.28	201.25	738.29	262.2	334.46	265.87	305.55	154.42	155.5	314.17	232.94	299.25	226.54	607.87	514.56	217.27	267.73	191.67	87.65	246.28	698.41	190.34	229.72	212.78	423.61	244.57	262.2	281.09	201.25	303.44	241.19	307.69	220.32	239.52	193.01	226.54	514.56	417.77	620.67	536.45	743.43	759.08	1794.29	1359.57	753.83	348.71	348.71	473.41	848.22	1175.27	848.22	579.04	785.88	693.58	403.5	450.94	612.11	819.3	320.8	764.36	406.31	412.0
WDR74	1806.78	2032.85	1551.09	518.15	403.5	872.1	967.76	1369.04	1427.22	2119.22	1617.0	1583.71	921.88	656.11	651.58	551.56	769.69	791.35	703.28	503.95	1159.07	733.19	638.15	819.3	808.0	703.28	759.08	866.07	1487.87	536.45	656.11	679.29	612.11	836.53	647.07	493.56	607.87	738.29	1135.2	954.43	651.58	813.63	738.29	543.96	1008.9	688.78	1059.11	764.36	836.53	713.11	878.17	642.59	902.89	836.53	791.35	579.04	796.86	764.36	563.18	679.29	379.04	457.25	1407.55	743.43	1477.58	743.43	669.92	1498.22	1583.71	1151.06	1191.69	1467.37	748.61	2032.85	1447.15	1304.15	988.12	785.88	1096.5	1191.69	3540.14	1159.07	1721.16	1883.54	1745.2	2047.0	1508.65	1159.07	1781.89	738.29	1757.34	872.1	1529.73
WDR75	1769.57	854.13	775.05	447.82	412.0	483.38	638.15	503.95	1030.12	928.3	1030.12	1119.56	117.6	265.87	256.78	473.41	409.15	334.46	303.44	197.09	371.22	212.78	248.0	258.57	182.55	466.88	187.71	346.29	341.51	186.4	256.78	162.14	206.94	1119.56	209.84	329.84	242.88	242.88	327.56	269.6	466.88	223.41	297.17	228.13	878.17	389.72	332.14	237.86	239.52	66.18	307.69	693.58	249.73	249.73	128.79	291.04	205.5	231.32	211.31	392.44	285.03	161.02	559.28	201.25	260.38	262.2	279.14	470.14	620.67	476.71	511.0	620.67	825.0	1001.93	1322.37	348.71	358.54	339.14	420.68	703.28	1088.92	890.44	698.41	743.43	500.46	463.65	567.1	603.67	884.29	334.46	848.22	713.11	563.18
ZC3H15	1896.65	1407.55	3874.05	1467.37	1051.79	1037.29	1216.75	1191.69	2351.53	1268.46	1639.59	1651.0	532.74	830.75	1119.56	1909.85	1268.46	1023.0	967.76	775.05	693.58	599.49	603.67	718.08	521.76	836.53	497.0	587.13	1135.2	647.07	775.05	555.41	571.05	1685.71	1191.69	1167.14	748.61	775.05	708.18	551.56	1467.37	607.87	909.17	728.11	3491.39	1066.48	796.86	866.07	684.02	221.86	1104.13	1709.26	563.18	738.29	555.41	836.53	587.13	587.13	769.69	941.27	1088.92	836.53	981.29	665.29	819.3	483.38	866.07	890.44	1008.9	1295.13	1051.79	808.0	1819.35	1721.16	2468.49	808.0	1088.92	567.1	961.07	830.75	1322.37	1216.75	995.0	915.51	842.36	764.36	1378.57	1313.23	1407.55	1369.04	1519.15	1104.13	1008.9
ZNF280C	85.22	116.78	43.94	41.81	23.76	39.22	32.82	25.17	83.45	62.12	75.11	98.73	16.75	21.16	25.35	25.17	32.82	25.91	13.93	15.11	25.17	14.67	15.68	15.34	6.89	36.79	18.03	12.0	28.86	12.83	16.03	8.13	15.8	85.82	14.67	23.08	19.97	27.64	44.89	14.03	38.67	16.75	26.28	15.91	30.78	13.72	20.86	18.29	20.71	10.31	11.73	49.56	17.51	13.52	14.89	25.17	21.01	23.59	15.0	15.56	39.5	16.15	26.67	14.35	8.99	21.47	18.84	28.86	74.58	26.47	55.49	50.98	64.8	64.8	153.34	30.12	30.78	39.5	25.35	47.17	82.87	62.56	62.56	77.25	34.26	38.95	32.36	72.52	73.54	51.35	63.89	50.27	29.91
ZNF623	255.0	234.57	305.55	384.34	197.09	113.56	224.97	312.0	536.45	426.57	260.38	199.85	232.94	108.9	136.19	98.04	205.5	82.87	70.01	71.5	94.01	130.6	167.9	95.34	44.57	162.14	112.77	35.5	185.11	123.5	75.64	49.56	141.02	285.03	145.02	161.02	197.09	90.14	74.06	67.12	127.0	68.55	223.41	134.3	96.01	109.66	87.65	161.02	109.66	73.03	68.07	142.01	74.58	71.5	117.6	142.01	120.94	293.07	141.02	102.97	236.21	87.65	114.36	137.14	69.52	97.36	137.14	343.89	172.65	199.85	129.69	113.56	358.54	466.88	356.05	161.02	170.25	102.25	108.9	228.13	406.31	426.57	253.23	224.97	164.42	379.04	105.15	96.01	275.28	144.01	214.27	162.14	201.25
ZNF706	3395.89	4937.99	2816.11	2485.67	2682.69	1857.6	3103.19	3039.3	8022.41	5403.7	2417.67	4543.8	1883.54	1447.15	1199.98	2209.26	3235.01	1832.01	1806.78	1378.57	2591.27	1745.2	2777.33	1769.57	1794.29	2701.35	1709.26	2090.03	2384.37	1508.65	1551.09	1519.15	2573.36	5479.15	1733.13	1870.53	1870.53	1745.2	1651.0	2018.8	2004.85	2018.8	1447.15	1685.71	2287.2	1199.98	2400.97	1674.06	1936.53	1662.49	2075.59	4010.71	2255.7	3443.31	1896.65	2178.83	2502.97	1769.57	1639.59	2178.83	1216.75	1540.37	2417.67	1662.49	2004.85	1757.34	2148.82	4481.23	4038.61	1498.22	2591.27	5219.6	7130.55	6745.86	4481.23	2384.37	3372.43	4181.07	3874.05	4066.71	6935.54	4869.99	4802.93	3257.52	3716.2	4769.75	3794.3	3742.05	4481.23	3124.78	2485.67	5041.77	2855.44
