	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
KDM6A	248.0	169.07	267.73	194.36	159.9	224.97	532.74	220.32	204.07	273.37	226.54	273.37	167.9	493.56	299.25	633.73	376.41	698.41	511.0	397.93	563.18	248.0	447.82	417.77	466.88	674.59	563.18	511.0	441.64	532.74	334.46	629.35	476.71	633.73	775.05	753.83	229.72	180.02	559.28	796.86	226.54	414.87	669.92	579.04	514.56	500.46	607.87	356.05	376.41	426.57	620.67	277.2	307.69	525.39	521.76	371.22	647.07	202.66	392.44	753.83	575.03	307.69	429.54	316.37	239.52	764.36	318.57	511.0	473.41	567.1	808.0	723.08	547.75	559.28	287.01	791.35	441.64	656.11	521.76	514.56	329.84	571.05	748.61	616.37	775.05	703.28	860.08	802.41	728.11	567.1	684.02	642.59	743.43	909.17	775.05	669.92	441.64	785.88	819.3	642.59	679.29	660.68	723.08	642.59	848.22	791.35	567.1	518.15	860.08	785.88	476.71	414.87	819.3	1119.56	830.75	493.56	791.35	775.05	764.36	571.05	518.15	819.3	371.22	1023.0	733.19	559.28	693.58	842.36	591.22	551.56	819.3	896.64	616.37	1023.0	603.67	813.63	441.64	796.86	769.69	301.33	947.83	647.07	384.34	915.51	748.61	376.41	629.35	934.76	842.36	866.07	353.59	244.57	438.59	148.09	234.57	0.0	0.47	299.25	303.44	403.5	177.53	309.83	182.55	197.09	145.02	175.07	444.72	291.04	400.71	376.41	629.35	305.55	363.56	343.89	183.82
KIAA1217	180.02	157.68	277.2	198.47	92.7	500.46	239.52	82.29	93.35	236.21	137.14	133.36	81.71	1051.79	234.57	769.69	536.45	830.75	620.67	1044.52	480.04	514.56	480.04	961.07	836.53	915.51	1001.93	988.12	836.53	1015.93	450.94	329.84	1407.55	688.78	1233.75	1844.76	974.5	1457.23	796.86	607.87	423.61	723.08	780.44	567.1	665.29	603.67	1008.9	921.88	813.63	1233.75	1397.83	698.41	665.29	718.08	1304.15	665.29	1417.35	470.14	954.43	1119.56	1233.75	518.15	514.56	262.2	718.08	1697.45	387.02	723.08	825.0	1037.29	1769.57	1733.13	1111.82	1037.29	299.25	1697.45	995.0	1159.07	954.43	1073.91	483.38	1268.46	1936.53	1008.9	1561.89	1605.83	1467.37	1639.59	1781.89	1605.83	1135.2	1340.84	1417.35	2061.24	1963.57	1745.2	921.88	2018.8	1572.76	1457.23	1457.23	1709.26	1397.83	1417.35	1594.73	1199.98	1313.23	995.0	1721.16	1268.46	854.13	848.22	1277.29	1233.75	1896.65	1304.15	1088.92	1781.89	1923.14	1175.27	1088.92	1322.37	1059.11	1857.6	1191.69	1733.13	1322.37	1407.55	1870.53	1233.75	1477.58	1457.23	808.0	1369.04	1331.57	1572.76	860.08	1508.65	2255.7	423.61	1806.78	947.83	624.99	2004.85	1277.29	928.3	1225.22	1467.37	1286.18	1331.57	77.25	148.09	376.41	69.52	255.0	156.59	329.84	457.25	265.87	420.68	209.84	563.18	137.14	84.63	120.1	251.48	98.73	54.33	157.68	173.85	112.77	327.56	175.07	220.32	113.56
KIAA1456	7.17	1.89	6.62	4.58	3.03	17.0	1.27	5.77	3.17	15.11	8.32	6.21	7.11	122.64	0.74	53.57	5.73	68.07	7.75	26.67	23.59	11.47	9.78	35.0	75.64	5.68	79.45	72.52	28.86	46.5	22.92	66.65	186.4	12.55	34.26	234.57	7.51	59.13	70.01	51.71	0.75	22.26	10.96	36.27	4.66	15.22	26.86	21.32	9.06	5.63	125.24	11.38	30.78	5.28	140.04	49.91	127.0	13.62	43.32	96.01	44.57	3.26	19.11	31.67	46.84	256.78	27.64	93.35	74.06	96.68	244.57	198.47	115.97	107.38	17.9	234.57	113.56	194.36	95.34	127.0	50.63	136.19	309.83	110.43	215.77	142.01	214.27	234.57	242.88	256.78	170.25	147.06	147.06	244.57	215.77	202.66	96.01	169.07	186.4	127.89	154.42	194.36	232.94	226.54	183.82	118.43	114.36	180.02	239.52	139.07	166.73	155.5	175.07	559.28	303.44	137.14	366.09	329.84	305.55	56.28	36.79	563.18	89.51	860.08	41.81	555.41	166.73	59.13	351.14	132.44	133.36	248.0	78.89	201.25	178.77	336.79	172.65	127.89	361.04	72.52	122.64	199.85	65.26	361.04	567.1	67.59	96.68	536.45	226.54	376.41	20.11	25.91	20.11	101.54	59.13	0.0	0.46	27.84	59.55	195.72	40.93	20.11	7.11	1.07	17.38	23.59	22.75	7.28	16.39	16.27	32.36	190.34	69.52	167.9	120.1
KIAA1468	162.14	241.19	127.0	201.25	154.42	65.26	90.14	123.5	150.17	194.36	180.02	147.06	145.02	351.14	93.35	389.72	237.86	466.88	232.94	231.32	281.09	145.02	264.03	211.31	275.28	138.1	283.05	256.78	387.02	208.38	271.48	251.48	339.14	325.29	231.32	403.5	212.78	237.86	329.84	172.65	72.01	223.41	198.47	283.05	285.03	397.93	429.54	143.01	312.0	332.14	379.04	118.43	239.52	105.15	329.84	232.94	381.68	178.77	332.14	397.93	309.83	204.07	237.86	149.12	190.34	493.56	167.9	229.72	291.04	299.25	432.53	444.72	336.79	318.57	101.54	476.71	181.28	392.44	239.52	414.87	148.09	400.71	400.71	307.69	417.77	373.81	507.46	486.75	409.15	289.02	366.09	341.51	466.88	460.44	490.14	403.5	220.32	483.38	599.49	346.29	371.22	348.71	470.14	312.0	406.31	376.41	289.02	351.14	476.71	587.13	256.78	236.21	397.93	450.94	460.44	417.77	490.14	444.72	493.56	395.18	287.01	480.04	246.28	353.59	264.03	438.59	403.5	551.56	309.83	327.56	595.34	332.14	327.56	414.87	547.75	441.64	248.0	603.67	476.71	120.94	486.75	264.03	195.72	521.76	323.03	265.87	232.94	420.68	521.76	423.61	156.59	220.32	260.38	116.78	183.82	0.0	0.78	157.68	287.01	186.4	146.03	218.79	119.26	124.37	153.34	171.45	201.25	105.89	153.34	176.29	109.66	153.34	239.52	166.73	157.68
KIAA1671	381.68	194.36	808.0	587.13	153.34	71.0	162.14	293.07	438.59	470.14	559.28	447.82	679.29	460.44	85.82	441.64	277.2	412.0	307.69	1030.12	500.46	150.17	93.35	299.25	348.71	206.94	684.02	395.18	514.56	273.37	599.49	356.05	1037.29	571.05	423.61	1769.57	358.54	237.86	323.03	674.59	181.28	497.0	384.34	432.53	301.33	450.94	647.07	346.29	214.27	432.53	753.83	703.28	525.39	603.67	1127.35	371.22	780.44	351.14	854.13	599.49	214.27	199.85	723.08	387.02	392.44	1286.18	211.31	693.58	830.75	830.75	1781.89	1417.35	884.29	728.11	277.2	1233.75	785.88	928.3	830.75	1015.93	339.14	738.29	1304.15	780.44	1250.98	1685.71	1135.2	836.53	1313.23	909.17	860.08	1073.91	836.53	947.83	1437.15	1081.39	486.75	995.0	1304.15	915.51	934.76	1191.69	1175.27	988.12	1175.27	890.44	921.88	915.51	1111.82	1369.04	638.15	759.08	915.51	1388.16	1388.16	1096.5	612.11	967.76	1350.18	718.08	571.05	1540.37	825.0	941.27	860.08	802.41	1175.27	860.08	1044.52	764.36	1159.07	988.12	679.29	1059.11	941.27	1023.0	486.75	1111.82	1313.23	703.28	1167.14	785.88	567.1	1143.1	961.07	723.08	796.86	1340.84	1059.11	1268.46	162.14	148.09	381.68	137.14	267.73	154.42	37.85	120.1	309.83	165.57	264.03	269.6	543.96	457.25	283.05	486.75	262.2	171.45	224.97	258.57	97.36	256.78	191.67	139.07	146.03
KIF12	0.0	0.0	0.0	0.0	0.0	4.35	98.73	0.0	0.0	1.66	0.0	0.0	0.0	4802.93	241.19	954.43	1151.06	555.41	63.89	24.28	255.0	395.18	1397.83	872.1	3124.78	2573.36	2090.03	728.11	2090.03	995.0	96.01	2148.82	392.44	1819.35	1268.46	128.79	81.71	124.37	1295.13	624.99	22.75	65.26	161.02	2468.49	126.12	309.83	748.61	447.82	151.22	28.45	547.75	52.45	99.43	158.79	480.04	435.55	723.08	57.49	10.0	387.02	642.59	297.17	339.14	2335.28	723.08	303.44	0.34	332.14	435.55	228.13	348.71	575.03	220.32	536.45	0.34	532.74	336.79	974.5	223.41	336.79	197.09	195.72	587.13	336.79	441.64	351.14	155.5	660.68	221.86	191.67	575.03	80.57	124.37	2209.26	283.05	624.99	551.56	447.82	493.56	909.17	267.73	651.58	476.71	728.11	1111.82	547.75	309.83	265.87	332.14	108.14	1008.9	129.69	909.17	450.94	226.54	129.69	202.66	2004.85	738.29	145.02	204.07	183.82	194.36	275.28	379.04	447.82	1225.22	463.65	323.03	126.12	327.56	155.5	281.09	974.5	988.12	1096.5	166.73	591.22	348.71	483.38	363.56	420.68	234.57	460.44	813.63	842.36	94.67	947.83	113.56	246.28	3.11	0.0	10.16	0.0	0.0	0.0	0.06	110.43	12.0	53.57	8.25	5.36	2.76	0.0	1.91	17.38	3.0	2.84	41.52	55.1	34.02	14.89	19.68	10.39	4.86
KRT74	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.34	0.0	0.71	0.36	0.0	0.0	0.0	0.31	0.0	2.71	0.0	1.62	0.35	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.73	0.64	0.34	0.66	0.0	0.32	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.32	0.0	3.29	1.41	0.38	0.37	1.22	0.36	0.0	0.31	0.0	0.0	0.0	0.0	0.0	1.75	0.34	0.0	1.13	2.73	2.68	0.69	0.0	1.08	1.45	3.26	2.36	8.0	0.34	1.45	1.87	1.5	1.79	1.51	0.72	1.81	2.84	3.14	4.31	1.27	1.99	3.66	3.44	0.34	2.71	2.84	2.14	0.71	0.0	4.62	1.07	5.06	4.03	5.02	1.95	1.48	2.48	0.0	2.89	1.1	1.11	4.5	2.53	3.79	1.14	0.99	1.14	1.69	0.0	0.0	0.0	2.89	0.0	3.41	2.1	1.16	1.33	0.52	0.75	2.27	0.54	0.96	3.29	1.91	0.97	2.14	0.99	1.2	0.0	0.95	1.89	2.14	3.26	0.52	0.0	1.58	2.29	1.97	0.0	0.0	0.0	0.23	0.22	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.54
LMX1B	0.0	0.34	0.39	8.32	0.0	1.57	0.0	2.61	0.44	1.22	4.28	0.88	0.44	435.55	224.97	361.04	239.52	497.0	151.22	62.56	198.47	115.97	193.01	624.99	595.34	312.0	748.61	293.07	547.75	205.5	759.08	1561.89	327.56	1023.0	497.0	583.07	173.85	53.19	285.03	381.68	64.8	269.6	642.59	325.29	612.11	376.41	420.68	351.14	164.42	14.78	327.56	41.22	74.06	289.02	575.03	163.28	466.88	127.0	232.94	483.38	414.87	156.59	490.14	669.92	115.16	291.04	4.74	412.0	373.81	163.28	279.14	303.44	237.86	273.37	2.63	426.57	397.93	417.77	208.38	208.38	99.43	348.71	420.68	186.4	490.14	483.38	312.0	417.77	224.97	414.87	289.02	206.94	148.09	507.46	353.59	420.68	228.13	420.68	373.81	395.18	223.41	518.15	358.54	429.54	368.65	500.46	273.37	299.25	450.94	166.73	285.03	231.32	432.53	381.68	358.54	361.04	267.73	426.57	607.87	136.19	101.54	444.72	279.14	336.79	202.66	420.68	312.0	389.72	392.44	208.38	423.61	248.0	157.68	291.04	336.79	297.17	134.3	371.22	318.57	327.56	197.09	167.9	166.73	490.14	346.29	277.2	244.57	332.14	229.72	323.03	1.03	0.0	4.66	4.7	15.11	0.0	0.0	0.0	1.36	3.82	8.19	58.3	4.17	6.57	6.41	29.7	0.66	0.0	3.08	3.11	17.13	0.47	0.48	0.0	1.85
LONP2	438.59	688.78	579.04	759.08	500.46	307.69	293.07	733.19	693.58	718.08	728.11	607.87	684.02	830.75	444.72	866.07	3589.58	848.22	674.59	921.88	559.28	728.11	348.71	503.95	693.58	1457.23	941.27	441.64	909.17	808.0	759.08	2303.12	1427.22	1883.54	2061.24	1883.54	444.72	417.77	825.0	1143.1	361.04	1340.84	599.49	1286.18	808.0	981.29	3540.14	1304.15	796.86	802.41	1183.45	753.83	872.1	728.11	1286.18	624.99	1088.92	563.18	866.07	988.12	753.83	339.14	866.07	872.1	1073.91	1407.55	476.71	825.0	954.43	909.17	1225.22	1378.57	866.07	1225.22	435.55	1487.87	791.35	1175.27	836.53	961.07	514.56	954.43	1407.55	1008.9	1745.2	1159.07	1551.09	1437.15	1378.57	1135.2	2255.7	1175.27	1175.27	1447.15	1208.34	1250.98	1135.2	1498.22	1529.73	1225.22	860.08	1104.13	1572.76	1199.98	1286.18	4575.41	808.0	802.41	1769.57	890.44	1233.75	848.22	1519.15	2133.97	1583.71	1104.13	1008.9	1832.01	2240.11	1397.83	547.75	1498.22	775.05	1250.98	1233.75	2451.44	2367.9	1781.89	1781.89	2061.24	1561.89	1594.73	813.63	1909.85	1721.16	2434.5	651.58	1519.15	1794.29	346.29	1250.98	1233.75	733.19	2193.99	1923.14	1295.13	529.06	1191.69	2591.27	1151.06	521.76	525.39	473.41	287.01	884.29	1151.06	1427.22	500.46	417.77	651.58	616.37	1286.18	518.15	521.76	525.39	633.73	493.56	532.74	555.41	620.67	221.86	426.57	629.35	698.41	412.0
LRRC8D	193.01	221.86	115.97	96.68	72.52	161.02	220.32	265.87	202.66	249.73	180.02	147.06	166.73	289.02	198.47	353.59	376.41	172.65	351.14	638.15	387.02	195.72	361.04	281.09	301.33	299.25	343.89	325.29	651.58	279.14	169.07	283.05	325.29	379.04	194.36	563.18	518.15	521.76	212.78	273.37	954.43	291.04	974.5	316.37	224.97	497.0	384.34	363.56	343.89	890.44	503.95	1167.14	607.87	514.56	450.94	299.25	412.0	536.45	571.05	392.44	185.11	1015.93	258.57	318.57	283.05	426.57	189.02	476.71	460.44	348.71	536.45	454.09	318.57	307.69	111.99	466.88	332.14	429.54	366.09	444.72	285.03	307.69	490.14	397.93	447.82	571.05	543.96	429.54	432.53	575.03	392.44	511.0	441.64	432.53	587.13	466.88	256.78	395.18	656.11	371.22	457.25	490.14	387.02	444.72	480.04	447.82	269.6	363.56	420.68	490.14	384.34	309.83	490.14	575.03	603.67	571.05	373.81	620.67	629.35	412.0	189.02	529.06	285.03	309.83	291.04	723.08	547.75	389.72	334.46	457.25	483.38	497.0	256.78	366.09	353.59	412.0	327.56	547.75	417.77	511.0	660.68	307.69	172.65	403.5	414.87	392.44	406.31	429.54	480.04	660.68	297.17	293.07	277.2	109.66	126.12	0.0	0.2	204.07	135.24	108.14	242.88	275.28	126.12	125.24	132.44	150.17	223.41	301.33	120.94	83.45	255.0	320.8	283.05	172.65	209.84
LY75	35.0	32.13	27.64	17.25	21.32	50.27	47.84	14.14	17.25	105.15	22.1	10.16	7.11	220.32	23.42	195.72	28.04	185.11	193.01	305.55	116.78	113.56	21.94	164.42	138.1	32.59	164.42	127.0	111.99	356.05	108.9	38.12	466.88	159.9	143.01	764.36	161.02	19.68	191.67	133.36	199.85	271.48	18.03	149.12	151.22	156.59	171.45	426.57	158.79	244.57	406.31	67.12	83.45	104.42	480.04	120.1	438.59	202.66	1397.83	221.86	55.89	182.55	318.57	17.25	92.7	603.67	42.71	218.79	236.21	253.23	713.11	785.88	389.72	262.2	23.59	703.28	332.14	397.93	420.68	353.59	153.34	248.0	723.08	358.54	403.5	358.54	563.18	466.88	769.69	612.11	384.34	595.34	406.31	555.41	647.07	571.05	167.9	444.72	665.29	400.71	406.31	612.11	607.87	379.04	612.11	389.72	281.09	251.48	547.75	507.46	239.52	205.5	559.28	693.58	1151.06	775.05	293.07	728.11	1183.45	438.59	171.45	669.92	403.5	329.84	260.38	209.84	438.59	232.94	813.63	239.52	507.46	603.67	171.45	224.97	555.41	518.15	169.07	429.54	351.14	723.08	775.05	78.34	127.89	575.03	507.46	264.03	297.17	507.46	264.03	1397.83	28.24	47.5	157.68	22.92	19.25	0.0	0.37	206.94	202.66	187.71	30.78	60.82	17.0	27.25	16.27	65.26	28.04	22.43	62.56	41.22	12.18	88.26	14.35	22.75	224.97
MAP3K1	68.07	65.72	66.18	66.65	34.51	63.89	157.68	66.65	66.18	120.1	80.57	30.34	46.18	1015.93	182.55	500.46	633.73	435.55	289.02	220.32	379.04	204.07	144.01	244.57	397.93	376.41	878.17	693.58	559.28	1051.79	314.17	305.55	836.53	291.04	536.45	1583.71	476.71	497.0	575.03	579.04	79.45	551.56	353.59	583.07	529.06	432.53	1073.91	363.56	902.89	361.04	769.69	182.55	251.48	420.68	656.11	339.14	954.43	287.01	379.04	808.0	802.41	301.33	1059.11	127.0	316.37	1059.11	211.31	470.14	384.34	769.69	928.3	836.53	656.11	368.65	118.43	1167.14	299.25	660.68	423.61	547.75	242.88	579.04	753.83	500.46	1119.56	775.05	890.44	759.08	647.07	490.14	629.35	514.56	435.55	854.13	1030.12	463.65	140.04	854.13	1277.29	624.99	511.0	848.22	759.08	743.43	854.13	629.35	420.68	423.61	974.5	785.88	403.5	460.44	896.64	1073.91	1225.22	563.18	884.29	890.44	1277.29	447.82	249.73	603.67	412.0	738.29	633.73	1001.93	791.35	780.44	1259.69	480.04	1044.52	693.58	329.84	947.83	607.87	1331.57	400.71	896.64	1059.11	392.44	1697.45	669.92	267.73	1250.98	555.41	521.76	387.02	764.36	785.88	1037.29	150.17	58.3	555.41	41.52	115.16	111.99	111.21	119.26	228.13	490.14	73.03	279.14	46.5	32.13	61.25	190.34	185.11	99.43	258.57	171.45	147.06	223.41	158.79	299.25	217.27
MGME1	148.09	201.25	178.77	180.02	110.43	100.83	356.05	316.37	127.89	211.31	132.44	107.38	187.71	674.59	620.67	470.14	327.56	339.14	397.93	417.77	624.99	327.56	497.0	629.35	457.25	325.29	476.71	441.64	409.15	323.03	318.57	343.89	426.57	583.07	329.84	656.11	325.29	518.15	595.34	314.17	848.22	450.94	555.41	281.09	232.94	373.81	371.22	525.39	432.53	819.3	612.11	366.09	532.74	185.11	612.11	693.58	447.82	656.11	395.18	348.71	483.38	1167.14	239.52	366.09	521.76	514.56	204.07	409.15	703.28	409.15	599.49	616.37	384.34	348.71	161.02	791.35	325.29	563.18	412.0	476.71	435.55	363.56	708.18	454.09	532.74	616.37	738.29	486.75	563.18	633.73	511.0	493.56	503.95	769.69	633.73	543.96	470.14	651.58	780.44	406.31	450.94	684.02	525.39	525.39	688.78	587.13	412.0	412.0	551.56	470.14	607.87	279.14	567.1	728.11	674.59	543.96	518.15	612.11	693.58	429.54	215.77	454.09	497.0	532.74	483.38	476.71	559.28	551.56	447.82	669.92	525.39	525.39	197.09	665.29	529.06	591.22	379.04	638.15	785.88	412.0	728.11	387.02	356.05	563.18	679.29	612.11	373.81	493.56	409.15	555.41	120.1	211.31	334.46	123.5	115.16	0.0	0.44	277.2	277.2	139.07	312.0	186.4	148.09	143.01	123.5	281.09	146.03	121.79	141.02	152.28	368.65	221.86	208.38	205.5	166.73
