	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.R55C.0626.SM.2TF4Q
SF3A3	1417.35	1447.15	2163.77	743.43	769.69	813.63	748.61	796.86	866.07	825.0	813.63	693.58	934.76	674.59	665.29	1104.13	607.87	674.59	909.17	595.34	802.41	679.29	974.5	567.1	866.07	842.36	738.29	808.0	1175.27	775.05	703.28	842.36	1008.9	890.44	866.07	802.41	775.05	1008.9	629.35	612.11	536.45	595.34	693.58	890.44	813.63	934.76	591.22	909.17	866.07	1175.27	947.83	511.0	656.11	854.13	802.41	684.02	842.36	660.68	941.27	872.1	1059.11	1104.13	1081.39	974.5	738.29	669.92	669.92	842.36	941.27	961.07
SHQ1	277.2	301.33	400.71	164.42	165.57	206.94	172.65	193.01	169.07	155.5	194.36	182.55	229.72	144.01	143.01	183.82	94.67	228.13	172.65	98.73	162.14	165.57	180.02	151.22	178.77	159.9	167.9	172.65	211.31	157.68	124.37	204.07	191.67	166.73	165.57	119.26	125.24	173.85	183.82	145.02	157.68	142.01	136.19	190.34	134.3	162.14	226.54	220.32	169.07	218.79	186.4	118.43	128.79	167.9	164.42	128.79	176.29	120.94	205.5	119.26	175.07	212.78	224.97	217.27	158.79	123.5	154.42	173.85	215.77	285.03
SKI	825.0	1104.13	1001.93	629.35	514.56	336.79	612.11	603.67	616.37	373.81	521.76	507.46	703.28	457.25	376.41	769.69	599.49	287.01	591.22	403.5	612.11	336.79	507.46	460.44	759.08	525.39	397.93	651.58	780.44	389.72	336.79	389.72	656.11	642.59	718.08	395.18	406.31	607.87	638.15	329.84	514.56	403.5	409.15	674.59	660.68	540.19	400.71	599.49	507.46	665.29	656.11	525.39	460.44	457.25	466.88	583.07	429.54	490.14	723.08	629.35	693.58	723.08	583.07	688.78	450.94	536.45	400.71	438.59	547.75	529.06
SLC25A44	409.15	435.55	368.65	379.04	271.48	334.46	297.17	307.69	281.09	253.23	279.14	241.19	406.31	218.79	204.07	351.14	191.67	244.57	295.11	176.29	297.17	351.14	295.11	299.25	409.15	264.03	381.68	281.09	493.56	303.44	215.77	241.19	400.71	253.23	237.86	239.52	291.04	400.71	314.17	264.03	206.94	180.02	226.54	283.05	251.48	295.11	279.14	273.37	279.14	403.5	297.17	193.01	253.23	251.48	195.72	299.25	267.73	231.32	444.72	285.03	387.02	351.14	303.44	503.95	218.79	320.8	253.23	277.2	309.83	470.14
SLC30A6	312.0	307.69	356.05	204.07	187.71	152.28	208.38	180.02	212.78	165.57	232.94	182.55	297.17	182.55	139.07	242.88	105.15	113.56	185.11	115.16	234.57	212.78	214.27	148.09	204.07	193.01	232.94	229.72	229.72	185.11	137.14	186.4	287.01	232.94	223.41	134.3	147.06	224.97	204.07	186.4	137.14	133.36	154.42	186.4	214.27	195.72	97.36	226.54	208.38	198.47	191.67	133.36	130.6	195.72	199.85	180.02	198.47	111.21	297.17	161.02	285.03	293.07	237.86	267.73	169.07	176.29	165.57	201.25	221.86	318.57
SLC35B4	115.16	145.02	163.28	142.01	65.26	182.55	53.19	78.34	92.05	66.65	82.87	66.65	101.54	61.68	83.45	92.05	51.35	92.7	88.26	53.95	74.06	72.52	99.43	74.06	123.5	88.26	112.77	88.26	115.97	65.72	70.51	77.79	105.89	73.03	71.0	74.06	75.64	150.17	98.73	88.26	95.34	73.54	46.18	90.14	65.26	72.52	73.03	137.14	71.5	137.14	99.43	74.58	53.57	59.55	81.71	52.08	77.25	76.71	108.9	78.89	85.82	134.3	113.56	195.72	82.87	82.29	59.55	68.55	85.22	173.85
SLX4IP	56.68	63.45	75.64	25.54	12.0	27.64	17.9	15.91	13.52	8.65	27.84	24.28	42.41	12.09	7.69	28.65	9.48	35.0	22.59	16.63	29.27	13.32	23.42	19.68	29.7	25.54	19.97	28.45	40.93	24.81	5.77	22.43	36.01	28.24	25.54	8.92	3.47	44.57	26.67	16.51	6.52	11.13	16.75	29.7	29.7	20.71	15.8	35.25	22.1	49.91	26.1	10.55	10.71	17.25	13.83	15.91	15.11	14.45	41.52	21.78	24.46	30.56	34.51	41.52	11.21	21.94	11.82	22.26	58.71	35.5
SMAD5	669.92	854.13	684.02	281.09	208.38	269.6	224.97	205.5	228.13	167.9	251.48	212.78	341.51	190.34	164.42	334.46	120.94	281.09	215.77	145.02	229.72	182.55	273.37	228.13	283.05	201.25	232.94	232.94	406.31	206.94	123.5	287.01	351.14	269.6	281.09	155.5	130.6	256.78	242.88	176.29	180.02	157.68	170.25	253.23	256.78	166.73	234.57	275.28	236.21	339.14	234.57	150.17	156.59	194.36	212.78	212.78	231.32	158.79	244.57	249.73	305.55	358.54	316.37	318.57	162.14	208.38	164.42	198.47	454.09	551.56
SMCR8	323.03	346.29	389.72	85.82	34.75	115.16	44.57	70.51	80.01	15.68	70.01	57.49	138.1	31.0	17.77	112.77	13.93	80.01	84.04	22.1	76.71	59.97	111.99	46.5	121.79	53.19	50.63	87.03	139.07	75.64	12.45	87.65	141.02	95.34	98.73	33.78	14.24	153.34	82.29	33.54	11.64	8.65	32.36	70.51	75.64	60.82	66.18	96.68	71.0	163.28	57.49	15.45	17.25	69.52	23.93	61.68	71.5	22.92	132.44	98.73	112.77	113.56	101.54	78.34	19.82	49.91	36.79	49.91	157.68	104.42
SNIP1	221.86	264.03	236.21	102.97	116.78	90.77	118.43	121.79	105.89	96.68	115.16	125.24	158.79	111.21	85.82	145.02	57.49	72.52	104.42	77.79	108.9	67.59	115.16	85.82	135.24	92.7	99.43	112.77	157.68	94.01	97.36	89.51	126.12	135.24	91.41	82.29	87.03	122.64	84.04	71.5	81.14	87.65	101.54	120.1	140.04	123.5	59.13	149.12	123.5	134.3	121.79	90.77	87.03	78.89	101.54	77.79	96.68	99.43	125.24	112.77	177.53	164.42	134.3	139.07	111.21	113.56	94.67	108.14	183.82	150.17
SPRTN	159.9	176.29	265.87	78.34	65.26	110.43	72.52	66.65	72.52	62.12	82.29	71.0	75.64	75.11	42.41	86.43	28.24	79.45	60.82	35.0	82.29	69.03	75.64	69.52	81.14	68.55	87.03	65.26	96.68	87.03	45.53	80.01	105.89	52.08	53.19	52.82	70.51	96.68	86.43	68.07	71.5	45.53	50.27	64.34	67.12	47.5	100.83	87.65	63.0	95.34	61.25	50.98	52.82	54.72	53.19	58.3	83.45	46.84	88.88	66.65	115.97	103.69	68.07	122.64	53.57	68.07	64.34	63.89	100.13	150.17
SRF	1001.93	1030.12	698.41	356.05	320.8	312.0	299.25	420.68	454.09	323.03	316.37	269.6	420.68	277.2	248.0	543.96	244.57	194.36	361.04	178.77	346.29	444.72	460.44	253.23	432.53	371.22	343.89	339.14	426.57	490.14	267.73	336.79	412.0	353.59	368.65	273.37	291.04	373.81	320.8	177.53	248.0	217.27	329.84	361.04	314.17	275.28	376.41	327.56	339.14	395.18	314.17	223.41	366.09	283.05	239.52	295.11	299.25	305.55	242.88	432.53	559.28	450.94	341.51	514.56	267.73	281.09	273.37	289.02	595.34	583.07
STK4	363.56	332.14	371.22	158.79	183.82	133.36	165.57	178.77	195.72	132.44	167.9	150.17	169.07	136.19	110.43	217.27	94.67	183.82	193.01	97.36	205.5	102.97	190.34	134.3	237.86	183.82	145.02	211.31	202.66	127.89	102.25	172.65	202.66	190.34	173.85	118.43	140.04	217.27	156.59	96.01	185.11	133.36	133.36	153.34	150.17	167.9	162.14	169.07	153.34	206.94	167.9	133.36	115.16	142.01	211.31	215.77	177.53	124.37	152.28	166.73	171.45	229.72	256.78	273.37	130.6	155.5	143.01	169.07	211.31	248.0
STK40	842.36	759.08	599.49	1096.5	507.46	769.69	540.19	579.04	591.22	470.14	426.57	412.0	753.83	457.25	339.14	708.18	387.02	656.11	503.95	351.14	497.0	995.0	591.22	896.64	665.29	503.95	1313.23	612.11	769.69	813.63	376.41	595.34	713.11	591.22	500.46	540.19	371.22	595.34	967.76	902.89	403.5	325.29	503.95	583.07	507.46	547.75	842.36	532.74	642.59	633.73	463.65	406.31	595.34	438.59	358.54	454.09	486.75	387.02	791.35	500.46	802.41	665.29	579.04	547.75	543.96	525.39	616.37	454.09	748.61	780.44
SUN1	2075.59	2720.15	2075.59	1242.34	1651.0	1583.71	1457.23	1844.76	1870.53	988.12	1662.49	1487.87	2434.5	1605.83	1191.69	2451.44	921.88	2935.74	1769.57	1369.04	1277.29	1529.73	1508.65	1313.23	1378.57	1295.13	1175.27	1551.09	1857.6	1359.57	1008.9	2193.99	1605.83	1407.55	2047.0	1313.23	1001.93	1639.59	1378.57	1037.29	1340.84	1135.2	1594.73	1417.35	1819.35	1295.13	1721.16	1417.35	2255.7	1498.22	1508.65	1175.27	1286.18	1561.89	1250.98	1794.29	1769.57	1417.35	1685.71	1447.15	1769.57	1268.46	1628.26	2351.53	1313.23	1286.18	1487.87	1268.46	1909.85	1769.57
SUPT16H	1617.0	1519.15	1857.6	1135.2	1127.35	896.64	1015.93	974.5	1037.29	988.12	1151.06	974.5	1175.27	1023.0	1023.0	1073.91	896.64	1088.92	1104.13	836.53	1167.14	802.41	1159.07	819.3	1096.5	1119.56	848.22	1191.69	1340.84	796.86	1001.93	808.0	1259.69	1015.93	1208.34	1015.93	866.07	1331.57	890.44	836.53	791.35	884.29	947.83	1051.79	1066.48	1023.0	884.29	1059.11	1088.92	1295.13	1023.0	802.41	902.89	909.17	1191.69	1096.5	961.07	954.43	1096.5	1183.45	1175.27	1183.45	1259.69	1378.57	981.29	1081.39	954.43	1096.5	1135.2	1295.13
TBC1D14	1023.0	947.83	1119.56	361.04	389.72	466.88	406.31	486.75	460.44	381.68	450.94	403.5	511.0	348.71	379.04	521.76	297.17	500.46	486.75	309.83	447.82	379.04	543.96	346.29	540.19	406.31	406.31	470.14	718.08	476.71	301.33	320.8	503.95	476.71	490.14	381.68	323.03	500.46	435.55	348.71	273.37	229.72	353.59	460.44	444.72	339.14	353.59	447.82	376.41	599.49	493.56	353.59	341.51	432.53	444.72	384.34	426.57	323.03	417.77	438.59	511.0	514.56	463.65	536.45	371.22	353.59	381.68	414.87	583.07	503.95
TBC1D16	607.87	728.11	579.04	153.34	145.02	373.81	146.03	143.01	183.82	142.01	169.07	133.36	214.27	127.89	108.14	246.28	120.94	237.86	169.07	100.83	121.79	118.43	209.84	117.6	224.97	169.07	117.6	140.04	226.54	260.38	147.06	93.35	214.27	178.77	152.28	102.97	106.63	195.72	170.25	129.69	111.21	78.34	120.1	164.42	135.24	140.04	285.03	241.19	162.14	256.78	195.72	127.0	110.43	146.03	114.36	94.67	155.5	151.22	176.29	197.09	224.97	269.6	165.57	265.87	108.14	139.07	90.77	166.73	231.32	218.79
TCEANC2	113.56	97.36	132.44	61.25	46.5	73.54	43.63	49.91	53.57	41.52	44.25	46.5	43.32	43.94	28.45	57.89	41.81	32.13	44.89	28.24	56.28	53.95	50.63	50.27	50.98	40.36	45.85	55.89	60.82	63.45	30.34	54.33	50.63	45.21	50.98	49.91	29.48	55.1	58.71	47.5	52.45	33.3	34.02	53.95	56.68	44.89	37.59	54.33	49.21	69.03	40.64	31.0	50.98	40.07	36.53	53.19	46.18	39.79	76.17	45.21	45.21	63.45	66.65	81.14	39.22	41.22	41.81	39.22	82.29	74.58
TCEB3	543.96	591.22	532.74	563.18	351.14	490.14	312.0	361.04	353.59	301.33	361.04	323.03	420.68	271.48	251.48	454.09	279.14	397.93	366.09	281.09	392.44	476.71	368.65	403.5	397.93	343.89	518.15	395.18	500.46	387.02	262.2	371.22	417.77	457.25	387.02	285.03	312.0	457.25	438.59	341.51	307.69	283.05	309.83	325.29	392.44	353.59	409.15	381.68	312.0	447.82	376.41	260.38	283.05	312.0	314.17	395.18	332.14	285.03	480.04	295.11	409.15	423.61	389.72	540.19	295.11	376.41	339.14	353.59	476.71	638.15
TCF7L2	813.63	679.29	1697.45	376.41	239.52	189.02	262.2	295.11	239.52	167.9	262.2	224.97	293.07	193.01	218.79	343.89	229.72	176.29	285.03	194.36	277.2	237.86	249.73	265.87	265.87	201.25	167.9	234.57	389.72	144.01	158.79	221.86	305.55	267.73	325.29	171.45	176.29	260.38	297.17	155.5	212.78	185.11	176.29	341.51	327.56	194.36	134.3	241.19	239.52	287.01	301.33	211.31	177.53	215.77	248.0	293.07	277.2	220.32	466.88	199.85	215.77	334.46	229.72	283.05	237.86	223.41	180.02	232.94	595.34	417.77
TGS1	329.84	379.04	389.72	163.28	151.22	124.37	158.79	167.9	149.12	142.01	178.77	146.03	195.72	132.44	105.89	190.34	85.22	119.26	162.14	85.22	161.02	127.0	187.71	120.94	175.07	122.64	127.0	159.9	178.77	129.69	100.13	185.11	211.31	139.07	155.5	116.78	111.21	198.47	127.0	108.14	127.89	118.43	123.5	146.03	171.45	140.04	127.0	194.36	171.45	182.55	149.12	117.6	102.97	136.19	110.43	106.63	163.28	114.36	163.28	139.07	255.0	215.77	180.02	180.02	123.5	118.43	132.44	143.01	224.97	231.32
TMEM185B	563.18	629.35	559.28	309.83	267.73	201.25	237.86	343.89	241.19	231.32	285.03	297.17	423.61	305.55	197.09	358.54	172.65	157.68	256.78	127.89	318.57	285.03	291.04	187.71	316.37	228.13	381.68	316.37	312.0	356.05	199.85	279.14	356.05	307.69	291.04	229.72	236.21	403.5	271.48	142.01	256.78	269.6	234.57	248.0	209.84	287.01	155.5	332.14	287.01	277.2	269.6	145.02	208.38	297.17	246.28	177.53	237.86	158.79	376.41	244.57	412.0	332.14	255.0	309.83	297.17	167.9	264.03	265.87	339.14	435.55
TMEM209	325.29	358.54	497.0	177.53	158.79	214.27	208.38	152.28	111.99	98.73	177.53	151.22	212.78	150.17	101.54	187.71	73.54	301.33	134.3	108.14	201.25	165.57	195.72	155.5	145.02	123.5	186.4	156.59	287.01	153.34	95.34	173.85	236.21	163.28	226.54	134.3	105.15	255.0	178.77	145.02	182.55	123.5	115.16	190.34	163.28	123.5	273.37	201.25	194.36	260.38	152.28	132.44	130.6	115.16	165.57	138.1	132.44	88.26	202.66	143.01	185.11	265.87	183.82	299.25	139.07	134.3	112.77	142.01	244.57	351.14
TRIM4	1066.48	842.36	909.17	547.75	444.72	647.07	529.06	500.46	460.44	327.56	438.59	208.38	450.94	363.56	358.54	470.14	373.81	733.19	400.71	343.89	423.61	215.77	490.14	529.06	351.14	429.54	381.68	432.53	518.15	384.34	358.54	518.15	447.82	429.54	612.11	343.89	314.17	511.0	444.72	470.14	392.44	307.69	397.93	583.07	493.56	171.45	599.49	429.54	518.15	612.11	457.25	248.0	368.65	417.77	346.29	255.0	224.97	255.0	454.09	343.89	460.44	571.05	480.04	579.04	395.18	229.72	414.87	441.64	813.63	563.18
TRIM44	872.1	780.44	769.69	454.09	165.57	412.0	221.86	248.0	346.29	131.51	271.48	244.57	575.03	201.25	111.21	400.71	134.3	325.29	305.55	121.79	368.65	269.6	417.77	208.38	356.05	271.48	325.29	336.79	563.18	392.44	88.88	258.57	470.14	356.05	392.44	157.68	113.56	555.41	301.33	206.94	119.26	88.88	164.42	293.07	301.33	251.48	239.52	361.04	287.01	518.15	255.0	102.25	157.68	269.6	195.72	237.86	264.03	132.44	295.11	303.44	454.09	438.59	397.93	373.81	130.6	223.41	244.57	221.86	483.38	432.53
TRIM66	112.77	127.89	297.17	39.22	73.03	52.45	42.41	49.56	42.11	38.67	34.75	51.35	90.77	35.25	29.48	69.52	22.92	65.26	52.45	57.08	28.45	58.71	63.0	82.87	67.59	40.64	44.25	65.26	65.26	83.45	29.7	64.8	86.43	35.25	47.84	39.79	34.26	57.89	33.3	57.89	49.21	20.11	38.4	58.3	48.52	40.36	70.01	63.89	49.56	101.54	67.12	22.92	28.65	42.11	36.27	29.27	54.33	74.58	127.89	45.85	38.95	55.1	52.82	88.26	41.22	30.34	39.5	36.01	118.43	166.73
TRRAP	438.59	409.15	486.75	275.28	209.84	277.2	249.73	253.23	275.28	153.34	253.23	231.32	353.59	205.5	197.09	309.83	182.55	291.04	299.25	171.45	287.01	214.27	332.14	191.67	358.54	234.57	197.09	258.57	435.55	202.66	159.9	157.68	363.56	262.2	329.84	194.36	172.65	384.34	253.23	158.79	187.71	173.85	193.01	295.11	275.28	211.31	228.13	291.04	221.86	403.5	256.78	163.28	180.02	228.13	191.67	260.38	231.32	199.85	307.69	307.69	305.55	371.22	301.33	376.41	190.34	211.31	212.78	231.32	301.33	197.09
TTC26	141.02	142.01	162.14	86.43	71.5	163.28	84.63	84.04	76.71	51.35	84.04	84.04	104.42	81.71	47.5	103.69	37.32	169.07	63.89	42.41	76.71	74.06	82.29	56.68	85.22	66.65	71.5	73.54	101.54	81.71	61.68	77.25	96.01	81.71	81.71	63.45	53.57	87.03	80.01	53.57	93.35	59.13	65.26	69.52	65.72	55.89	80.57	85.82	95.34	98.73	72.01	38.4	59.55	66.18	73.54	82.29	69.52	50.63	77.25	57.89	97.36	88.88	97.36	118.43	57.08	65.26	70.01	68.55	98.73	165.57
TTPAL	198.47	209.84	129.69	171.45	115.97	159.9	122.64	156.59	146.03	119.26	144.01	105.15	239.52	108.14	94.67	209.84	85.82	141.02	159.9	69.03	148.09	141.02	161.02	139.07	190.34	101.54	291.04	138.1	228.13	137.14	82.87	161.02	195.72	199.85	153.34	96.01	89.51	249.73	206.94	135.24	120.94	96.68	88.26	120.1	117.6	142.01	121.79	155.5	150.17	241.19	177.53	77.25	131.51	140.04	120.1	114.36	139.07	90.14	177.53	111.21	195.72	208.38	185.11	309.83	111.99	120.94	120.94	141.02	258.57	303.44
TWISTNB	277.2	279.14	194.36	119.26	136.19	220.32	142.01	120.1	153.34	105.15	170.25	135.24	197.09	119.26	94.01	166.73	73.03	249.73	117.6	59.55	150.17	109.66	137.14	105.89	114.36	121.79	146.03	134.3	150.17	123.5	92.05	130.6	176.29	155.5	152.28	106.63	80.57	144.01	125.24	116.78	95.34	92.05	99.43	133.36	148.09	108.14	170.25	166.73	169.07	171.45	133.36	98.73	110.43	129.69	124.37	107.38	152.28	75.64	142.01	146.03	208.38	189.02	167.9	190.34	100.13	127.0	115.16	139.07	208.38	191.67
UBE2O	368.65	426.57	444.72	426.57	264.03	381.68	269.6	332.14	264.03	212.78	253.23	239.52	339.14	199.85	201.25	373.81	256.78	409.15	271.48	177.53	269.6	281.09	309.83	366.09	318.57	246.28	327.56	258.57	454.09	353.59	204.07	316.37	334.46	287.01	339.14	271.48	198.47	334.46	356.05	287.01	295.11	205.5	218.79	325.29	277.2	262.2	403.5	265.87	260.38	356.05	287.01	214.27	183.82	255.0	218.79	297.17	258.57	202.66	521.76	289.02	248.0	316.37	293.07	327.56	248.0	244.57	229.72	246.28	603.67	518.15
UBE4A	599.49	567.1	785.88	314.17	231.32	320.8	234.57	253.23	248.0	151.22	297.17	265.87	417.77	199.85	169.07	343.89	119.26	279.14	258.57	161.02	281.09	239.52	312.0	246.28	314.17	237.86	244.57	309.83	454.09	264.03	167.9	283.05	412.0	339.14	356.05	180.02	147.06	400.71	265.87	249.73	171.45	149.12	172.65	295.11	285.03	220.32	211.31	339.14	323.03	486.75	281.09	170.25	159.9	246.28	262.2	249.73	255.0	193.01	356.05	229.72	346.29	373.81	356.05	314.17	185.11	220.32	189.02	217.27	373.81	423.61
USP42	161.02	202.66	231.32	94.67	78.34	111.99	105.15	105.15	85.82	81.14	96.01	82.29	97.36	94.01	56.68	128.79	57.08	112.77	96.01	77.25	115.97	68.07	99.43	70.01	120.94	85.82	78.34	102.25	165.57	82.29	55.89	80.01	109.66	103.69	104.42	71.0	70.01	133.36	69.03	43.63	82.29	65.72	74.06	100.13	115.16	74.58	92.7	98.04	98.04	126.12	98.04	65.72	75.11	70.51	74.58	69.03	82.29	76.71	104.42	77.79	120.94	132.44	102.97	127.0	83.45	84.63	81.14	85.82	138.1	146.03
VPS39	934.76	1088.92	1199.98	1143.1	819.3	961.07	723.08	909.17	808.0	595.34	743.43	708.18	902.89	620.67	595.34	1015.93	591.22	674.59	796.86	638.15	848.22	842.36	830.75	1199.98	909.17	713.11	947.83	842.36	1151.06	1015.93	642.59	785.88	890.44	738.29	825.0	825.0	591.22	974.5	1059.11	884.29	723.08	555.41	698.41	928.3	791.35	780.44	813.63	785.88	785.88	1030.12	860.08	674.59	679.29	698.41	660.68	785.88	708.18	674.59	1304.15	890.44	796.86	947.83	981.29	1096.5	679.29	748.61	642.59	713.11	1119.56	1340.84
ZBED4	197.09	156.59	172.65	54.33	87.65	68.55	99.43	92.7	98.04	75.64	111.99	69.03	108.14	78.34	69.52	107.38	63.0	45.21	95.34	56.68	94.67	56.28	93.35	61.68	97.36	92.7	47.5	103.69	60.82	63.45	56.68	73.54	119.26	115.16	111.21	59.55	72.52	105.15	83.45	69.52	71.5	54.33	67.12	82.87	100.83	63.89	59.13	82.87	85.82	106.63	99.43	77.79	69.52	76.71	84.63	76.71	86.43	68.07	90.77	85.82	119.26	112.77	85.22	135.24	67.59	76.71	67.12	88.26	89.51	123.5
ZC3HAV1L	66.65	108.9	139.07	75.11	27.64	63.0	44.57	37.05	47.17	8.38	45.21	29.91	105.15	37.85	16.03	68.07	9.48	50.98	30.56	14.67	40.36	47.17	34.26	70.51	47.84	28.04	43.02	60.39	71.5	62.12	6.01	100.13	52.82	38.95	57.49	21.47	13.22	68.07	52.45	35.25	18.03	19.11	21.01	29.91	57.89	20.11	37.59	59.55	63.89	70.51	41.81	21.16	20.56	13.32	25.54	34.51	40.93	18.97	80.01	42.41	50.63	55.89	58.71	115.97	13.62	47.17	40.36	17.38	122.64	118.43
ZDHHC7	934.76	1015.93	1143.1	612.11	624.99	759.08	629.35	780.44	688.78	599.49	559.28	612.11	825.0	587.13	529.06	808.0	470.14	521.76	703.28	432.53	587.13	624.99	708.18	633.73	679.29	674.59	603.67	738.29	718.08	633.73	551.56	579.04	842.36	638.15	583.07	503.95	536.45	638.15	791.35	497.0	460.44	460.44	532.74	587.13	674.59	599.49	551.56	603.67	547.75	728.11	698.41	518.15	466.88	476.71	555.41	708.18	698.41	543.96	836.53	521.76	616.37	728.11	708.18	1073.91	679.29	591.22	497.0	559.28	928.3	624.99
ZFP41	183.82	187.71	198.47	163.28	84.63	74.58	82.87	87.03	71.5	61.25	96.68	61.25	124.37	77.25	53.57	109.66	63.45	111.21	83.45	56.28	81.71	75.64	98.73	108.14	137.14	86.43	89.51	87.03	176.29	84.04	57.89	93.35	100.83	81.71	89.51	77.25	66.65	105.89	102.97	92.7	84.04	56.28	69.52	125.24	119.26	80.57	119.26	119.26	75.11	101.54	112.77	58.3	62.12	57.89	50.27	54.33	65.72	70.01	156.59	91.41	82.87	137.14	89.51	218.79	88.26	71.5	73.03	84.63	199.85	88.26
ZFP64	293.07	316.37	441.64	170.25	116.78	178.77	145.02	153.34	172.65	155.5	170.25	100.83	158.79	122.64	113.56	218.79	68.07	206.94	170.25	74.06	208.38	111.99	180.02	107.38	151.22	127.0	155.5	124.37	180.02	180.02	100.13	143.01	209.84	162.14	130.6	152.28	108.9	186.4	154.42	80.01	99.43	69.52	124.37	153.34	162.14	149.12	144.01	132.44	109.66	169.07	132.44	71.5	134.3	134.3	119.26	123.5	140.04	83.45	164.42	140.04	112.77	145.02	132.44	232.94	102.25	105.15	95.34	120.1	212.78	202.66
ZKSCAN1	866.07	1008.9	1529.73	267.73	236.21	297.17	237.86	269.6	258.57	149.12	258.57	248.0	341.51	201.25	175.07	373.81	120.94	361.04	267.73	158.79	307.69	214.27	253.23	232.94	316.37	217.27	215.77	299.25	457.25	217.27	153.34	206.94	346.29	291.04	307.69	171.45	173.85	376.41	223.41	220.32	208.38	166.73	170.25	265.87	314.17	199.85	211.31	291.04	255.0	483.38	299.25	190.34	187.71	212.78	251.48	244.57	265.87	198.47	316.37	229.72	279.14	373.81	320.8	708.18	208.38	236.21	204.07	215.77	432.53	368.65
ZKSCAN2	55.1	67.12	81.71	42.41	29.91	83.45	37.85	32.59	29.48	31.22	44.57	30.56	53.95	31.67	26.86	49.56	20.56	30.56	31.45	16.75	43.02	19.97	38.12	29.91	46.5	32.59	35.0	34.02	61.68	31.0	25.54	26.28	55.1	34.51	35.5	25.54	26.28	49.91	28.86	26.86	25.17	23.76	27.84	30.34	42.11	34.26	44.89	38.67	31.67	46.5	40.07	24.81	27.44	31.9	23.76	21.16	29.7	27.05	38.95	31.45	48.87	56.28	44.25	69.03	32.36	28.45	25.54	26.67	71.5	61.25
