	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.U3ZN.0626.SM.3DB7U	GTEX.ZDXO.1326.SM.57WBS	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11LCK.0426.SM.5A5M8	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.QMRM.0826.SM.3NB33	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU
WDR36	176.29	176.29	92.7	95.34	125.24	140.04	181.28	123.5	109.66	117.6	129.69	155.5	106.63	143.01	129.69	103.69	176.29	91.41	163.28	173.85	318.57	104.42	176.29	187.71	134.3	89.51	211.31	133.36	102.25	164.42	98.73	78.89	182.55	136.19	78.89	71.0	220.32	165.57	108.14	72.01	102.25	127.0	147.06	141.02	144.01	150.17	118.43	126.12	149.12	88.88	131.51	161.02	131.51	253.23	127.89	189.02	100.13	212.78	73.54	102.97	181.28	86.43	88.88
WDR75	314.17	242.88	197.09	234.57	305.55	287.01	260.38	312.0	297.17	178.77	175.07	511.0	221.86	269.6	156.59	234.57	299.25	161.02	457.25	275.28	723.08	277.2	366.09	295.11	58.3	215.77	551.56	255.0	226.54	373.81	361.04	229.72	348.71	277.2	220.32	212.78	595.34	341.51	231.32	167.9	256.78	376.41	376.41	346.29	291.04	303.44	195.72	271.48	273.37	198.47	255.0	309.83	323.03	432.53	229.72	348.71	215.77	441.64	265.87	180.02	351.14	242.88	146.03
WDR82	1378.57	947.83	1037.29	967.76	1015.93	587.13	1183.45	1008.9	718.08	1066.48	1030.12	981.29	723.08	872.1	854.13	915.51	1286.18	848.22	1030.12	1030.12	1397.83	738.29	1127.35	1407.55	514.56	775.05	890.44	1044.52	698.41	808.0	607.87	842.36	1096.5	1088.92	902.89	1268.46	1540.37	1378.57	890.44	679.29	708.18	854.13	915.51	878.17	1104.13	974.5	718.08	866.07	1183.45	511.0	884.29	1909.85	791.35	1529.73	866.07	981.29	693.58	1216.75	693.58	1167.14	1199.98	629.35	791.35
WIPF2	674.59	480.04	753.83	470.14	371.22	183.82	624.99	387.02	287.01	651.58	234.57	412.0	291.04	563.18	198.47	387.02	587.13	277.2	412.0	400.71	490.14	171.45	435.55	836.53	156.59	189.02	381.68	454.09	309.83	329.84	262.2	348.71	503.95	511.0	221.86	293.07	591.22	738.29	255.0	173.85	339.14	356.05	420.68	384.34	426.57	473.41	201.25	332.14	457.25	332.14	341.51	775.05	307.69	591.22	723.08	457.25	260.38	490.14	161.02	193.01	612.11	273.37	152.28
ZC3H4	713.11	457.25	647.07	511.0	361.04	166.73	532.74	587.13	518.15	660.68	191.67	540.19	450.94	813.63	187.71	518.15	579.04	145.02	454.09	460.44	423.61	249.73	571.05	540.19	122.64	251.48	395.18	693.58	395.18	532.74	181.28	256.78	567.1	642.59	325.29	301.33	616.37	660.68	314.17	289.02	660.68	379.04	511.0	529.06	563.18	642.59	182.55	450.94	144.01	336.79	389.72	753.83	525.39	571.05	563.18	633.73	158.79	518.15	246.28	154.42	559.28	444.72	209.84
ZDHHC5	1572.76	1066.48	1250.98	981.29	878.17	514.56	890.44	825.0	624.99	1081.39	571.05	961.07	769.69	981.29	728.11	909.17	1143.1	490.14	860.08	921.88	1167.14	599.49	954.43	1044.52	656.11	629.35	995.0	954.43	896.64	848.22	392.44	674.59	934.76	1088.92	890.44	785.88	1857.6	1015.93	698.41	525.39	764.36	995.0	836.53	854.13	928.3	1111.82	529.06	780.44	591.22	703.28	796.86	1175.27	854.13	1183.45	934.76	1111.82	450.94	1008.9	543.96	651.58	1030.12	775.05	518.15
ZNF142	191.67	100.83	387.02	162.14	98.73	111.21	208.38	256.78	120.1	368.65	119.26	132.44	143.01	299.25	131.51	220.32	197.09	102.97	194.36	251.48	224.97	165.57	262.2	189.02	69.03	95.34	194.36	316.37	194.36	220.32	142.01	146.03	193.01	246.28	116.78	147.06	417.77	264.03	197.09	86.43	217.27	199.85	277.2	283.05	277.2	214.27	93.35	92.7	90.14	121.79	120.1	279.14	248.0	232.94	244.57	420.68	58.3	212.78	120.94	120.94	269.6	170.25	131.51
ZNF268	190.34	161.02	191.67	151.22	116.78	121.79	172.65	169.07	193.01	148.09	61.25	224.97	121.79	223.41	108.9	187.71	193.01	35.25	226.54	186.4	209.84	134.3	162.14	148.09	34.51	126.12	150.17	202.66	145.02	177.53	80.01	131.51	206.94	223.41	101.54	120.1	246.28	242.88	195.72	80.57	193.01	111.21	218.79	201.25	223.41	249.73	137.14	150.17	71.5	127.0	141.02	271.48	183.82	232.94	164.42	228.13	77.79	211.31	194.36	85.82	269.6	125.24	102.25
ZNF324	194.36	92.05	149.12	157.68	108.14	68.55	129.69	180.02	85.22	181.28	99.43	100.13	94.67	217.27	85.22	75.64	120.94	53.95	131.51	133.36	127.89	88.26	181.28	143.01	77.79	78.34	105.15	150.17	109.66	142.01	84.63	111.21	145.02	170.25	87.65	127.89	246.28	193.01	118.43	73.03	113.56	136.19	147.06	177.53	204.07	120.94	62.56	86.43	52.45	94.67	90.14	164.42	197.09	151.22	172.65	202.66	47.5	127.0	73.54	57.49	134.3	108.9	71.5
ZNF324B	63.0	50.63	73.54	39.79	75.11	44.25	66.65	82.87	60.39	88.26	46.18	74.06	72.52	95.34	38.4	68.55	100.83	24.63	74.06	69.52	78.34	58.3	85.22	63.0	27.05	46.18	91.41	94.01	55.49	108.14	30.56	68.07	90.77	93.35	86.43	47.84	123.5	117.6	102.25	38.4	71.5	76.17	71.5	115.97	118.43	85.22	31.45	48.87	12.83	27.25	64.8	53.95	73.03	84.04	79.45	98.04	29.27	97.36	51.35	64.8	74.58	56.28	54.72
ZNF398	193.01	97.36	119.26	90.14	110.43	49.21	142.01	112.77	127.89	173.85	90.77	130.6	87.03	152.28	45.21	94.01	154.42	55.49	114.36	119.26	171.45	63.89	127.89	209.84	45.85	82.87	171.45	144.01	76.71	120.94	119.26	113.56	193.01	183.82	87.65	140.04	189.02	187.71	93.35	57.08	88.88	65.26	111.99	126.12	131.51	126.12	45.21	100.83	64.8	81.14	103.69	163.28	104.42	201.25	90.77	133.36	65.26	122.64	88.26	87.65	183.82	103.69	50.63
ZNF48	127.89	108.9	144.01	114.36	195.72	55.1	138.1	113.56	167.9	183.82	152.28	114.36	93.35	139.07	24.99	85.82	198.47	84.04	115.97	170.25	127.89	44.89	165.57	224.97	82.87	53.95	170.25	204.07	76.17	123.5	72.52	70.51	166.73	175.07	87.65	112.77	212.78	193.01	63.89	132.44	106.63	107.38	140.04	163.28	228.13	161.02	38.67	110.43	49.56	76.71	114.36	96.68	193.01	137.14	122.64	182.55	102.97	151.22	48.18	126.12	133.36	94.01	50.63
ZNF526	96.01	81.14	103.69	60.82	105.89	57.49	175.07	80.57	89.51	104.42	85.82	105.89	91.41	110.43	38.67	96.01	125.24	71.0	72.01	111.99	144.01	39.79	105.15	177.53	47.5	50.63	90.14	141.02	67.59	139.07	80.01	139.07	141.02	100.13	66.18	92.05	177.53	139.07	77.25	59.97	67.59	91.41	123.5	70.01	105.89	105.89	54.72	63.89	92.7	58.3	36.27	125.24	78.89	126.12	122.64	80.01	65.72	129.69	71.0	85.22	135.24	32.36	51.71
ZNF562	279.14	130.6	123.5	190.34	129.69	269.6	206.94	115.97	131.51	157.68	137.14	204.07	114.36	206.94	123.5	124.37	159.9	158.79	265.87	253.23	432.53	72.52	221.86	281.09	56.28	221.86	251.48	162.14	157.68	211.31	126.12	147.06	186.4	205.5	70.51	201.25	281.09	327.56	115.16	40.93	189.02	166.73	162.14	229.72	237.86	150.17	157.68	100.13	309.83	92.05	124.37	273.37	151.22	379.04	208.38	239.52	100.83	204.07	70.51	107.38	318.57	135.24	139.07
ZNF574	320.8	226.54	281.09	275.28	460.44	137.14	368.65	241.19	232.94	293.07	158.79	237.86	256.78	325.29	176.29	158.79	346.29	149.12	234.57	264.03	373.81	187.71	275.28	409.15	212.78	220.32	190.34	318.57	123.5	429.54	173.85	287.01	325.29	400.71	155.5	228.13	486.75	361.04	161.02	92.7	171.45	197.09	316.37	327.56	450.94	232.94	94.67	202.66	231.32	122.64	171.45	242.88	236.21	267.73	258.57	251.48	211.31	271.48	148.09	264.03	397.93	178.77	212.78
ZNF583	93.35	86.43	92.7	96.01	107.38	45.85	136.19	105.89	90.14	102.97	42.41	60.39	65.26	101.54	69.03	56.28	198.47	16.63	67.59	113.56	129.69	33.78	86.43	139.07	20.41	14.67	103.69	67.59	37.32	111.21	7.94	25.72	105.15	65.26	55.89	21.32	241.19	131.51	19.11	14.45	36.53	64.34	43.32	105.15	96.68	116.78	18.29	81.14	10.24	45.85	151.22	127.89	97.36	145.02	84.04	77.25	24.81	85.22	18.84	34.75	148.09	15.22	14.03
ZNF620	22.59	52.82	43.32	36.27	70.51	21.94	81.71	81.71	55.89	50.63	29.48	92.7	43.32	78.89	16.63	61.68	109.66	16.39	64.34	29.7	92.7	20.71	107.38	103.69	15.34	11.38	61.25	50.27	42.71	94.67	42.41	22.92	86.43	63.89	10.88	26.47	162.14	94.67	32.36	11.04	69.52	52.45	99.43	104.42	82.87	49.21	9.93	65.72	28.45	56.28	33.78	69.03	65.26	122.64	75.64	43.02	20.41	82.29	26.67	29.48	75.11	22.75	15.56
ZNF777	218.79	239.52	255.0	217.27	231.32	88.88	223.41	193.01	206.94	246.28	81.71	186.4	187.71	241.19	94.01	169.07	260.38	38.67	205.5	215.77	237.86	127.89	237.86	273.37	39.5	122.64	190.34	246.28	236.21	264.03	107.38	155.5	264.03	269.6	180.02	95.34	320.8	251.48	169.07	82.87	242.88	205.5	223.41	215.77	264.03	283.05	54.33	169.07	74.06	191.67	169.07	258.57	242.88	194.36	223.41	224.97	102.97	249.73	150.17	104.42	277.2	236.21	110.43
ZSCAN22	47.5	38.12	35.25	28.45	54.72	20.56	58.3	39.79	47.17	47.5	29.27	54.72	28.65	71.0	12.09	30.56	53.19	21.94	25.35	38.12	56.68	13.93	45.85	90.14	17.77	14.35	45.85	41.22	18.03	38.12	18.29	29.91	52.08	43.63	14.35	27.25	57.89	71.0	20.41	18.7	20.86	30.78	53.95	34.51	60.82	36.53	15.11	32.82	31.67	18.56	29.7	80.57	39.5	63.89	56.28	40.36	22.59	35.76	15.56	25.72	49.56	18.16	17.38
ZW10	177.53	220.32	162.14	163.28	163.28	69.03	220.32	193.01	187.71	183.82	124.37	258.57	194.36	185.11	81.71	125.24	191.67	68.55	209.84	204.07	332.14	74.58	211.31	299.25	85.82	92.05	316.37	256.78	141.02	198.47	87.65	112.77	279.14	201.25	88.26	104.42	291.04	205.5	124.37	69.52	150.17	185.11	231.32	177.53	190.34	215.77	73.54	172.65	99.43	111.99	164.42	209.84	164.42	258.57	163.28	224.97	80.57	236.21	85.22	104.42	215.77	104.42	65.26
