	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.77.8007.11A.01R.2187.07
TBC1D10C	301.33	267.73	518.15	88.26	136.19	218.79	277.2	218.79	226.54	237.86	177.53	96.01	58.71	142.01	81.71	191.67	117.6	156.59	10.79	44.89	28.65	74.58	165.57	77.79	34.75	51.35	54.72	148.09	24.11	67.12	49.56	45.21	28.65	97.36	866.07	57.89	55.49	97.36	87.65	87.03	162.14	46.84	77.79	220.32	59.55	409.15	63.89	269.6	343.89	363.56	679.29	3190.46	348.71	497.0	417.77	273.37	2367.9	921.88	346.29	473.41
TESPA1	66.18	24.99	90.77	17.77	28.04	59.13	63.45	36.01	74.06	36.01	35.25	15.91	9.7	33.78	6.89	23.25	14.35	21.16	0.59	5.63	1.51	2.66	40.93	7.28	8.45	4.03	5.15	21.47	4.54	5.87	5.5	3.35	8.06	4.9	3.63	12.36	18.03	14.24	6.62	11.91	34.51	2.16	11.3	10.31	2.58	87.65	29.06	71.0	63.45	98.04	115.97	318.57	60.82	166.73	116.78	52.82	241.19	99.43	237.86	88.26
THEMIS2	2090.03	2627.46	1651.0	395.18	507.46	1331.57	1519.15	947.83	1883.54	995.0	406.31	95.34	155.5	248.0	131.51	438.59	58.71	148.09	13.93	47.84	30.34	35.0	525.39	81.14	69.03	95.34	59.55	273.37	58.3	76.17	61.25	120.94	134.3	37.05	76.71	87.03	166.73	155.5	426.57	96.01	236.21	163.28	341.51	358.54	118.43	2645.74	85.82	1909.85	5633.22	1250.98	2915.45	3955.48	2835.7	1498.22	5219.6	5183.54	3564.78	4639.29	15075.35	1745.2
TIGIT	35.25	62.56	84.04	16.15	22.43	52.45	96.68	29.06	29.7	15.68	38.67	27.05	12.83	50.98	6.73	81.14	14.35	15.68	2.14	8.25	4.24	1.77	124.37	10.16	10.08	3.69	19.25	21.32	11.73	13.83	11.73	12.83	9.93	8.32	7.82	9.34	34.51	12.09	16.51	27.05	72.52	3.38	63.0	54.72	5.92	84.63	14.78	85.22	139.07	50.63	120.94	72.52	45.85	54.72	113.56	36.27	161.02	57.49	118.43	99.43
TMC8	323.03	212.78	483.38	90.14	145.02	214.27	309.83	166.73	265.87	273.37	173.85	61.68	44.25	81.71	49.56	178.77	82.29	92.05	12.0	32.59	11.38	17.38	193.01	55.49	25.72	26.28	37.85	78.34	30.12	54.33	28.04	37.32	35.0	25.35	34.26	35.5	128.79	102.97	91.41	84.63	164.42	79.45	108.14	156.59	100.83	620.67	159.9	255.0	395.18	392.44	457.25	1331.57	353.59	514.56	403.5	303.44	830.75	412.0	346.29	414.87
TNFRSF1B	1467.37	1111.82	1896.65	540.19	579.04	1529.73	1378.57	1059.11	1322.37	1350.18	612.11	392.44	764.36	423.61	432.53	698.41	155.5	387.02	423.61	327.56	297.17	211.31	723.08	988.12	103.69	361.04	148.09	373.81	178.77	152.28	134.3	241.19	156.59	66.65	126.12	221.86	429.54	647.07	872.1	251.48	426.57	285.03	376.41	660.68	329.84	1208.34	173.85	1259.69	1127.35	698.41	961.07	1769.57	3280.18	1295.13	4210.15	713.11	1477.58	612.11	1639.59	1242.34
TNFSF13B	218.79	104.42	403.5	65.26	94.67	53.57	148.09	124.37	176.29	91.41	172.65	84.63	124.37	137.14	44.25	127.89	34.26	79.45	7.34	22.43	35.25	18.16	177.53	43.63	17.77	40.36	22.75	88.26	15.68	24.99	23.76	21.32	38.95	22.75	22.1	53.19	154.42	89.51	24.11	67.12	102.97	52.82	31.45	221.86	47.5	295.11	64.8	1015.93	1477.58	1008.9	476.71	738.29	728.11	1059.11	1225.22	249.73	1359.57	95.34	476.71	1023.0
TRAF1	138.1	237.86	189.02	38.95	104.42	57.49	155.5	115.16	98.73	68.07	116.78	85.22	54.33	87.65	22.59	67.59	45.21	59.55	11.04	34.75	16.63	81.71	108.9	38.4	37.05	45.21	50.27	80.57	40.07	84.63	23.08	84.63	40.64	50.63	71.5	90.77	48.52	36.27	111.99	56.28	63.0	21.63	32.59	115.97	36.27	224.97	39.79	73.03	126.12	220.32	106.63	273.37	62.12	123.5	116.78	87.03	289.02	140.04	150.17	183.82
TRAF3IP3	547.75	332.14	785.88	145.02	177.53	151.22	269.6	255.0	307.69	353.59	260.38	143.01	115.97	120.94	63.45	229.72	143.01	122.64	28.86	48.87	127.89	86.43	208.38	87.03	74.06	52.82	70.51	119.26	102.97	127.89	42.41	128.79	93.35	58.71	80.57	86.43	107.38	111.99	74.58	98.73	226.54	59.97	82.29	115.16	46.84	497.0	111.99	237.86	248.0	232.94	444.72	974.5	204.07	232.94	511.0	248.0	432.53	432.53	336.79	450.94
TRAT1	17.51	34.26	38.4	6.16	13.03	6.21	14.56	14.67	28.04	7.34	21.94	5.77	2.1	14.45	3.47	5.96	10.71	15.11	0.0	2.86	0.0	0.67	30.12	4.66	4.46	3.47	4.5	8.32	0.69	4.82	1.11	0.35	2.66	2.97	3.96	3.92	3.17	5.54	2.89	27.05	29.48	9.7	14.56	17.64	6.26	26.86	8.71	51.35	113.56	36.27	30.56	53.57	84.63	264.03	147.06	26.67	91.41	27.25	262.2	67.12
TVP23A	14.14	20.41	22.43	3.96	6.46	10.79	10.79	23.08	6.78	18.7	17.38	3.32	50.98	17.38	6.94	13.32	2.89	9.78	1.04	2.53	3.96	5.02	22.92	2.58	3.47	8.71	4.62	5.06	4.7	9.78	3.56	5.87	36.27	4.24	2.56	10.79	7.28	14.67	4.54	3.23	4.21	2.58	7.63	8.58	1.95	49.21	8.99	18.29	29.48	48.52	82.29	67.12	8.13	42.11	55.49	22.92	47.17	38.4	13.83	39.22
UBASH3A	26.47	26.28	79.45	9.63	24.81	22.1	45.21	22.59	34.02	28.86	16.51	7.51	4.1	17.64	12.27	14.35	8.78	14.45	1.36	8.58	0.54	0.43	24.99	4.35	4.54	6.67	5.59	12.27	0.82	2.73	2.71	3.17	4.43	2.58	1.95	3.53	0.84	13.03	8.92	13.12	28.24	6.41	9.7	36.79	1.36	47.84	9.13	37.32	32.82	24.81	59.55	134.3	26.1	70.01	39.79	21.63	53.95	43.32	22.75	64.34
WAS	896.64	603.67	1104.13	267.73	323.03	723.08	743.43	511.0	684.02	860.08	267.73	121.79	115.16	183.82	108.9	493.56	127.0	151.22	38.67	55.1	33.78	29.48	429.54	90.77	58.71	53.57	73.54	181.28	56.28	85.22	52.08	147.06	93.35	37.59	94.67	80.57	171.45	183.82	199.85	78.34	314.17	131.51	289.02	291.04	115.16	693.58	77.25	708.18	909.17	915.51	808.0	3018.3	1745.2	842.36	1437.15	2303.12	1183.45	934.76	1477.58	813.63
ZC3H12D	64.34	56.68	73.54	33.06	18.7	46.18	29.27	29.48	63.89	30.12	32.59	36.53	55.89	22.26	28.45	31.45	13.42	37.59	42.41	7.82	2.43	15.8	37.85	41.52	4.35	10.55	10.96	17.38	7.28	17.64	9.27	5.92	21.16	0.0	7.4	16.88	4.62	2.71	10.88	5.77	19.25	4.94	37.32	21.94	1.71	131.51	16.63	55.1	82.87	69.03	164.42	117.6	43.32	69.03	40.64	110.43	21.63	77.79	198.47	74.06
ZEB2	854.13	470.14	1023.0	152.28	248.0	208.38	435.55	389.72	603.67	414.87	199.85	124.37	98.73	124.37	54.72	96.01	34.02	93.35	38.67	41.52	26.67	38.4	211.31	107.38	29.27	53.57	29.27	55.89	68.55	65.26	29.48	48.52	73.54	47.17	36.01	91.41	105.89	146.03	158.79	55.1	173.85	59.13	156.59	356.05	172.65	1277.29	140.04	902.89	1295.13	1832.01	1529.73	1378.57	934.76	1437.15	2319.15	518.15	1127.35	473.41	961.07	1059.11
ZNF831	6.21	9.2	15.0	1.93	4.06	8.45	9.85	5.06	7.0	3.35	3.08	3.0	0.46	2.97	0.92	2.97	1.45	2.58	0.0	0.47	0.0	0.43	6.84	0.48	1.22	0.46	0.79	2.01	1.5	1.08	0.39	0.78	0.73	0.44	0.71	1.25	3.35	4.21	1.01	2.51	6.21	1.25	3.86	3.92	2.29	12.64	1.58	8.58	18.97	5.73	14.14	17.9	5.36	7.11	31.67	7.63	27.05	20.86	87.03	12.0
