	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
PHF1	1159.07	660.68	575.03	642.59	718.08	1001.93	785.88	921.88	591.22	1008.9	764.36	728.11	486.75	366.09	808.0	647.07	329.84	591.22	642.59	555.41	1950.0	563.18	543.96	1183.45	1183.45	1407.55	1066.48	417.77	825.0	490.14	1167.14	497.0	493.56	728.11	1594.73	567.1	1313.23	723.08	723.08	1651.0	796.86	511.0	915.51	599.49	656.11	497.0	961.07	555.41	896.64	2956.17	4095.0	3614.55	3443.31	2720.15	2627.46	2796.65	5006.93	4123.49	3103.19	3768.09	3589.58	3146.52	3614.55	3540.14	3928.15	4736.79	3081.75	3665.02	3081.75	2796.65	2956.17	4298.64	3515.68	2664.15	4298.64
PIF1	24.63	17.13	2.48	6.11	3.44	13.12	3.79	8.06	13.42	36.27	8.13	10.63	23.76	6.94	3.69	10.0	3.63	1.77	7.11	7.94	85.22	1.99	12.18	0.85	7.34	21.63	16.27	2.1	11.38	15.11	14.35	4.31	3.47	1.1	37.05	4.74	7.4	7.46	2.94	11.38	30.34	0.64	28.04	6.21	2.12	2.1	7.88	4.62	9.56	11.38	9.85	26.86	45.53	54.72	110.43	22.75	13.32	16.88	8.06	111.21	6.26	4.28	43.94	60.39	36.79	6.62	10.63	12.93	33.3	15.11	14.89	178.77	26.47	14.45	4.31
PKD2L2	0.0	0.67	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.27	0.21	0.0	0.04	0.0	0.99	0.0	0.28	0.0	1.04	0.0	3.53	0.02	0.0	0.69	0.0	0.0	0.77	0.03	0.0	0.0	0.22	0.0	0.0	0.99	1.5	0.0	1.45	0.03	0.72	0.46	0.79	0.0	0.01	1.19	0.0	1.1	0.45	0.68	0.43	0.88	2.81	1.48	1.51	1.99	3.82	1.55	6.46	2.68	2.41	3.76	1.03	1.48	0.64	3.69	0.0	1.85	2.29	0.28	3.32	2.53	5.06	5.41	1.46	5.32	3.06
PKN1	902.89	1051.79	540.19	521.76	438.59	1322.37	441.64	540.19	532.74	1359.57	1066.48	620.67	389.72	239.52	463.65	642.59	209.84	262.2	441.64	915.51	1870.53	273.37	536.45	441.64	872.1	1066.48	743.43	212.78	511.0	603.67	743.43	463.65	447.82	563.18	1832.01	463.65	1286.18	329.84	493.56	500.46	866.07	320.8	1183.45	316.37	271.48	836.53	866.07	497.0	599.49	2047.0	1477.58	1963.57	1769.57	1819.35	1617.0	1594.73	1135.2	1143.1	1127.35	1857.6	1268.46	1286.18	1487.87	1340.84	1594.73	1350.18	1081.39	1407.55	1697.45	1208.34	988.12	1883.54	1519.15	1167.14	1216.75
PLAT	387.02	98.04	76.71	54.72	22.59	76.71	79.45	56.28	98.73	432.53	343.89	28.24	44.57	87.03	29.48	28.65	40.64	119.26	85.82	27.05	470.14	64.8	105.15	48.87	81.14	53.57	186.4	24.99	154.42	75.11	44.57	18.43	51.71	37.85	432.53	30.12	258.57	127.0	23.59	115.97	220.32	22.59	212.78	34.51	54.33	52.45	56.28	49.91	183.82	389.72	379.04	775.05	366.09	529.06	299.25	470.14	679.29	836.53	693.58	198.47	684.02	406.31	249.73	373.81	253.23	1073.91	314.17	616.37	420.68	353.59	567.1	237.86	426.57	187.71	941.27
PLCG1	299.25	392.44	199.85	144.01	68.07	217.27	128.79	176.29	140.04	417.77	211.31	143.01	178.77	101.54	169.07	162.14	153.34	102.25	239.52	112.77	1023.0	205.5	193.01	48.52	164.42	158.79	246.28	111.99	163.28	165.57	202.66	124.37	277.2	178.77	395.18	115.97	329.84	99.43	178.77	231.32	299.25	85.22	366.09	104.42	93.35	142.01	228.13	128.79	299.25	559.28	1073.91	1685.71	1447.15	2004.85	1617.0	1457.23	1781.89	2367.9	1167.14	1662.49	1322.37	1159.07	1977.24	1594.73	1216.75	1963.57	1359.57	1508.65	1757.34	1143.1	1769.57	2148.82	1250.98	1594.73	2591.27
PLEKHG5	68.55	50.63	20.26	15.34	7.17	26.67	16.27	25.17	23.93	114.36	52.45	36.27	34.51	14.56	8.71	28.04	12.74	16.75	22.92	21.32	161.02	10.88	22.1	26.47	24.28	29.91	28.24	16.75	34.51	32.13	11.64	17.77	33.3	25.91	48.18	9.27	56.28	18.03	8.99	18.7	59.97	24.11	32.82	22.75	1.93	31.9	34.51	29.48	34.51	90.77	120.94	303.44	189.02	301.33	90.77	93.35	115.16	165.57	135.24	157.68	137.14	73.54	93.35	108.9	113.56	178.77	128.79	111.99	237.86	63.45	178.77	197.09	77.79	115.16	148.09
PLXND1	1208.34	890.44	620.67	551.56	341.51	1295.13	379.04	733.19	656.11	2224.63	1487.87	759.08	1457.23	802.41	480.04	769.69	708.18	775.05	775.05	981.29	3124.78	518.15	860.08	633.73	503.95	915.51	866.07	493.56	743.43	1119.56	848.22	713.11	1233.75	638.15	1936.53	759.08	1832.01	287.01	583.07	723.08	1697.45	529.06	1477.58	447.82	229.72	1037.29	1096.5	1191.69	1008.9	780.44	1662.49	6699.25	2609.3	5954.47	2061.24	1794.29	915.51	1437.15	1208.34	1950.0	1242.34	1467.37	1709.26	1331.57	1639.59	1331.57	1304.15	1151.06	4268.94	1369.04	866.07	1991.0	1268.46	1594.73	1119.56
POLR2H	1857.6	1745.2	921.88	1066.48	1378.57	1794.29	1519.15	1183.45	1199.98	1259.69	1096.5	934.76	1030.12	1096.5	1159.07	848.22	988.12	830.75	1051.79	941.27	2255.7	934.76	934.76	1427.22	1295.13	2351.53	1674.06	1044.52	1037.29	1073.91	1487.87	819.3	775.05	1397.83	2451.44	836.53	1639.59	1199.98	1023.0	2178.83	1721.16	848.22	1191.69	1104.13	536.45	988.12	1208.34	909.17	1407.55	1583.71	2367.9	1896.65	1709.26	1709.26	1467.37	1359.57	1977.24	2032.85	1508.65	1757.34	1685.71	1359.57	1857.6	1519.15	2018.8	1697.45	1991.0	1529.73	2367.9	1447.15	1950.0	2133.97	1397.83	1594.73	1407.55
PPAPDC3	24.46	3.17	8.32	3.56	1.85	9.56	2.23	5.06	3.5	35.5	6.01	2.23	8.71	4.1	2.23	7.82	7.28	1.93	2.94	6.06	34.75	8.58	9.2	1.23	4.43	7.75	11.55	2.18	26.28	5.32	0.99	1.27	0.0	0.0	22.92	1.95	26.47	1.66	4.43	6.31	24.46	2.68	8.19	3.79	4.35	13.83	5.06	7.88	3.69	16.63	19.53	48.87	43.32	30.34	28.04	30.34	17.77	26.47	30.78	31.22	29.27	17.38	27.84	18.03	24.63	24.11	15.45	43.94	62.56	28.04	18.56	47.5	27.64	212.78	22.59
PPP1R3D	12.55	13.22	21.01	7.57	3.82	22.43	7.63	14.24	17.77	51.71	39.79	23.93	16.88	19.53	7.57	8.38	22.92	9.85	29.48	15.0	82.29	12.83	16.75	20.41	10.88	27.64	16.39	2.68	30.12	13.72	31.9	12.09	26.28	21.63	25.54	17.9	45.53	3.69	31.45	26.47	20.41	4.9	32.13	7.82	2.53	33.06	28.04	28.24	20.26	171.45	64.34	111.21	71.0	62.12	102.25	116.78	46.84	110.43	56.68	61.68	124.37	108.9	102.25	58.3	85.82	71.0	91.41	110.43	70.01	90.77	98.73	120.94	110.43	109.66	79.45
PQBP1	2485.67	2163.77	1322.37	1447.15	1322.37	2133.97	1883.54	1407.55	1378.57	1832.01	1407.55	1225.22	1540.37	1369.04	954.43	1467.37	842.36	1277.29	1331.57	1769.57	3395.89	1457.23	1467.37	2796.65	1340.84	2209.26	1651.0	2148.82	1183.45	947.83	2018.8	1268.46	1806.78	3874.05	2163.77	1457.23	1781.89	2573.36	1529.73	2682.69	2032.85	1208.34	1295.13	1977.24	1030.12	1268.46	1709.26	1350.18	2047.0	3168.41	2915.45	2178.83	2018.8	1883.54	1757.34	1936.53	2434.5	2335.28	2018.8	2351.53	2163.77	1896.65	2047.0	1923.14	2835.7	2485.67	2240.11	2485.67	2271.4	2645.74	1977.24	2895.31	2133.97	2032.85	2701.35
PRDX5	7433.4	7130.55	4937.99	4937.99	7857.29	6471.02	6337.83	5555.65	6792.79	9215.48	7180.15	9474.59	5219.6	5954.47	4607.24	8778.97	4358.66	6250.56	7180.15	7642.41	12853.63	5751.61	7081.29	8305.36	7695.57	12076.21	9808.75	6935.54	7695.57	4903.87	11189.6	6561.36	7537.18	6745.86	7642.41	6250.56	8078.22	6652.97	8134.41	4903.87	10512.82	5954.47	9344.14	11267.44	7857.29	6840.04	8247.98	7433.4	5183.54	9808.75	13033.07	10084.54	11909.94	7382.04	11035.54	12853.63	11745.96	12244.81	12160.22	12676.65	12853.63	12764.83	12853.63	10512.82	17804.06	11827.67	14663.09	11909.94	6887.62	16157.44	16843.62	10808.41	14461.21	14663.09	15180.22
PRR14	836.53	551.56	299.25	327.56	420.68	743.43	450.94	389.72	366.09	551.56	329.84	397.93	339.14	309.83	521.76	429.54	221.86	249.73	480.04	285.03	954.43	327.56	307.69	353.59	599.49	540.19	438.59	285.03	376.41	332.14	693.58	303.44	343.89	587.13	591.22	236.21	669.92	373.81	312.0	848.22	547.75	293.07	490.14	432.53	279.14	320.8	583.07	334.46	540.19	921.88	1119.56	1191.69	981.29	1286.18	1059.11	830.75	764.36	884.29	759.08	1127.35	753.83	713.11	1059.11	848.22	1008.9	872.1	733.19	836.53	1044.52	669.92	748.61	1322.37	1015.93	728.11	941.27
PRRX1	12.83	18.29	1.5	10.0	0.0	6.16	2.78	7.57	11.04	23.25	17.0	2.39	2.48	1.79	3.66	7.34	14.67	16.15	6.06	1.27	93.35	8.0	0.09	2.78	8.92	5.15	10.47	0.0	0.09	6.84	5.06	7.88	5.92	20.86	16.63	1.31	27.44	0.02	0.05	4.98	27.44	4.86	19.97	2.43	2.23	1.91	2.97	5.11	28.45	180.02	201.25	866.07	543.96	860.08	842.36	1037.29	723.08	934.76	1369.04	583.07	769.69	414.87	647.07	674.59	808.0	738.29	521.76	571.05	1519.15	1233.75	289.02	2178.83	796.86	703.28	500.46
PRX	9.56	25.91	5.82	12.36	9.78	23.76	3.86	11.3	8.85	39.5	24.46	22.59	21.16	10.71	11.21	16.88	18.03	24.46	26.47	12.64	81.71	11.3	10.0	12.27	14.03	13.42	6.52	11.82	14.78	19.53	26.28	25.35	36.53	6.94	18.56	14.56	18.84	6.52	12.09	13.12	15.56	23.59	37.85	3.06	2.2	17.25	19.25	25.17	21.16	197.09	110.43	201.25	175.07	109.66	123.5	205.5	237.86	279.14	187.71	87.65	406.31	295.11	291.04	229.72	136.19	450.94	285.03	283.05	74.58	153.34	264.03	90.14	260.38	224.97	353.59
PTDSS2	318.57	387.02	228.13	177.53	253.23	320.8	215.77	232.94	199.85	212.78	206.94	120.94	214.27	151.22	234.57	177.53	62.56	162.14	228.13	138.1	575.03	133.36	145.02	224.97	260.38	361.04	384.34	185.11	169.07	175.07	368.65	158.79	209.84	173.85	379.04	109.66	368.65	217.27	241.19	503.95	253.23	119.26	473.41	209.84	103.69	133.36	265.87	194.36	239.52	551.56	656.11	540.19	563.18	460.44	497.0	595.34	559.28	629.35	529.06	587.13	536.45	665.29	563.18	483.38	642.59	620.67	603.67	616.37	775.05	454.09	748.61	896.64	470.14	624.99	563.18
PTOV1	3325.99	2287.2	1977.24	1963.57	2664.15	2119.22	2520.38	1896.65	2061.24	2417.67	1378.57	2319.15	1832.01	1295.13	2720.15	2468.49	1268.46	1529.73	1857.6	1540.37	3665.02	1594.73	2004.85	2148.82	3124.78	3419.52	2816.11	1540.37	2351.53	1697.45	3443.31	1733.13	1769.57	2287.2	2997.45	1498.22	2935.74	1936.53	2502.97	4095.0	2720.15	1304.15	3690.52	2627.46	1977.24	1733.13	2645.74	1447.15	2400.97	6207.38	4268.94	4095.0	3742.05	2935.74	3372.43	3146.52	4512.4	4152.18	3349.13	3690.52	3491.39	3614.55	3212.66	2720.15	4736.79	4010.71	4038.61	3768.09	4123.49	2997.45	4095.0	6079.61	3419.52	4066.71	3212.66
PTPLA	80.57	11.13	30.56	18.03	42.11	29.7	102.97	16.88	23.42	33.3	18.7	4.13	9.2	11.73	20.11	6.52	16.15	80.01	6.01	80.01	221.86	403.5	26.28	46.18	18.29	241.19	88.88	13.52	9.7	123.5	8.65	152.28	105.15	2.43	26.86	28.65	21.01	4.98	80.57	18.56	91.41	25.35	60.39	52.45	52.45	90.14	12.18	202.66	7.28	193.01	153.34	299.25	299.25	438.59	107.38	205.5	234.57	175.07	167.9	183.82	146.03	127.0	204.07	156.59	158.79	150.17	149.12	199.85	171.45	215.77	96.01	144.01	234.57	291.04	43.94
PWWP2B	137.14	77.79	64.8	90.77	70.01	126.12	75.11	99.43	51.71	146.03	244.57	74.06	111.99	60.39	47.17	63.0	14.35	56.28	90.14	104.42	381.68	40.64	66.65	85.22	163.28	199.85	242.88	89.51	73.54	185.11	63.89	54.33	63.0	19.82	138.1	48.52	151.22	73.54	41.52	84.04	190.34	45.85	248.0	25.35	36.53	82.87	84.04	128.79	100.13	473.41	480.04	551.56	444.72	343.89	336.79	353.59	211.31	299.25	277.2	379.04	389.72	420.68	363.56	281.09	353.59	215.77	289.02	323.03	236.21	417.77	314.17	381.68	295.11	417.77	323.03
PXN	703.28	529.06	406.31	457.25	361.04	603.67	518.15	503.95	387.02	713.11	412.0	406.31	384.34	363.56	518.15	599.49	277.2	285.03	463.65	426.57	1216.75	265.87	507.46	303.44	387.02	351.14	297.17	327.56	540.19	423.61	486.75	406.31	373.81	334.46	902.89	438.59	1457.23	239.52	373.81	409.15	703.28	363.56	536.45	262.2	239.52	435.55	438.59	379.04	507.46	1844.76	1757.34	2255.7	1936.53	2255.7	1685.71	1697.45	1757.34	1883.54	1733.13	1407.55	1883.54	1781.89	1806.78	1540.37	1477.58	2018.8	1870.53	1561.89	2018.8	1794.29	1447.15	1551.09	1709.26	1857.6	1628.26
RAPGEF3	134.3	73.54	22.92	33.3	16.15	64.34	43.63	30.34	28.65	131.51	82.87	31.9	59.13	26.1	27.84	27.05	32.36	30.34	38.95	21.78	454.09	12.0	40.07	20.56	41.52	56.28	69.03	21.63	45.21	26.1	49.21	24.28	59.55	32.82	75.11	17.77	113.56	35.5	33.54	90.77	169.07	27.05	71.5	20.71	16.51	40.93	88.26	29.91	52.08	669.92	1519.15	3081.75	1963.57	1651.0	1151.06	995.0	2224.63	2935.74	1551.09	1769.57	1583.71	1477.58	1208.34	1388.16	1208.34	2075.59	1769.57	2468.49	1745.2	988.12	1044.52	2018.8	1529.73	2133.97	1066.48
RBM10	460.44	688.78	409.15	283.05	490.14	651.58	414.87	432.53	366.09	567.1	463.65	389.72	395.18	253.23	486.75	343.89	341.51	329.84	429.54	341.51	860.08	265.87	420.68	277.2	511.0	587.13	633.73	409.15	473.41	318.57	633.73	356.05	447.82	480.04	500.46	320.8	540.19	480.04	511.0	620.67	599.49	395.18	529.06	603.67	275.28	358.54	518.15	384.34	555.41	1073.91	909.17	848.22	769.69	753.83	890.44	866.07	866.07	753.83	738.29	813.63	848.22	884.29	842.36	759.08	995.0	928.3	780.44	836.53	854.13	703.28	813.63	1015.93	769.69	738.29	733.19
RBP7	647.07	769.69	183.82	199.85	40.07	409.15	152.28	148.09	260.38	769.69	336.79	84.63	376.41	435.55	66.18	180.02	93.35	339.14	633.73	104.42	2209.26	94.01	232.94	84.63	120.1	728.11	52.45	84.04	343.89	156.59	123.5	124.37	563.18	28.04	775.05	341.51	281.09	74.06	175.07	204.07	441.64	127.0	279.14	71.0	52.08	366.09	309.83	146.03	169.07	1498.22	356.05	808.0	954.43	665.29	684.02	1051.79	1015.93	1135.2	1030.12	1015.93	860.08	1044.52	728.11	642.59	1183.45	1037.29	947.83	988.12	1295.13	995.0	830.75	934.76	902.89	579.04	1662.49
RHBDL2	13.32	4.03	4.28	3.47	2.81	4.7	6.31	4.35	9.34	17.9	5.82	6.62	1.73	0.0	1.79	4.86	0.0	1.83	12.0	0.97	29.48	0.25	6.41	3.23	6.41	14.35	4.58	0.0	8.71	0.65	0.53	0.72	2.66	2.23	8.13	1.45	4.13	1.6	0.0	6.01	22.43	2.68	21.47	1.85	9.93	3.29	1.93	20.41	8.19	31.45	34.51	43.32	24.99	69.03	28.86	23.93	7.28	11.64	28.04	23.76	18.29	14.56	17.25	24.28	21.16	9.93	20.56	3.79	35.76	9.13	20.11	31.67	14.78	15.0	15.34
RINL	92.7	119.26	66.65	96.68	63.89	206.94	49.21	146.03	85.82	140.04	76.17	165.57	133.36	85.22	128.79	65.72	53.19	57.08	178.77	102.25	460.44	52.08	183.82	37.85	212.78	105.89	143.01	44.89	206.94	92.7	220.32	37.85	85.82	61.25	209.84	185.11	312.0	51.71	60.39	103.69	153.34	212.78	214.27	67.59	55.89	67.12	158.79	28.65	97.36	46.18	307.69	381.68	277.2	260.38	289.02	212.78	107.38	217.27	190.34	332.14	181.28	140.04	234.57	223.41	198.47	182.55	202.66	190.34	173.85	253.23	275.28	525.39	249.73	256.78	156.59
ROBO3	96.68	229.72	31.67	43.94	57.08	63.45	51.71	33.06	30.34	117.6	111.21	39.5	51.71	23.59	29.27	57.49	31.0	19.53	67.12	43.02	239.52	6.52	5.73	40.36	115.16	69.03	49.91	66.18	58.71	47.5	74.06	38.12	25.17	26.47	170.25	36.01	119.26	34.02	64.8	130.6	232.94	48.18	197.09	87.65	9.78	34.75	76.71	14.89	55.1	395.18	88.26	368.65	325.29	273.37	309.83	208.38	647.07	397.93	381.68	316.37	406.31	163.28	329.84	303.44	450.94	454.09	248.0	555.41	392.44	244.57	279.14	813.63	194.36	551.56	248.0
RPP25	189.02	48.87	107.38	59.55	34.02	193.01	74.06	115.16	107.38	470.14	325.29	195.72	80.57	105.15	37.32	195.72	84.04	81.71	165.57	100.13	493.56	48.18	205.5	50.63	25.17	231.32	291.04	36.27	65.72	159.9	84.04	94.01	129.69	57.89	180.02	71.0	669.92	30.56	59.13	58.71	138.1	56.28	339.14	24.28	19.68	85.82	143.01	161.02	234.57	142.01	551.56	242.88	406.31	205.5	285.03	406.31	217.27	414.87	343.89	381.68	447.82	406.31	387.02	320.8	329.84	389.72	341.51	397.93	239.52	379.04	490.14	518.15	392.44	299.25	305.55
RRAS	1477.58	612.11	579.04	387.02	414.87	1135.2	511.0	543.96	802.41	1397.83	1059.11	708.18	665.29	733.19	536.45	551.56	289.02	389.72	329.84	669.92	2627.46	384.34	587.13	246.28	848.22	1037.29	890.44	368.65	629.35	490.14	909.17	381.68	698.41	151.22	1721.16	299.25	1844.76	785.88	325.29	866.07	1322.37	255.0	1745.2	543.96	381.68	884.29	759.08	444.72	698.41	1757.34	1104.13	3325.99	2178.83	2664.15	1757.34	1769.57	1508.65	1832.01	1639.59	2018.8	1950.0	934.76	1697.45	1233.75	2240.11	2451.44	1268.46	2163.77	3768.09	1350.18	2835.7	1977.24	2303.12	2224.63	2287.2
SCN4A	5.68	2.66	1.97	1.28	0.0	5.5	4.03	2.01	0.83	5.19	8.32	3.5	4.17	0.93	3.92	0.92	3.63	3.2	3.72	5.63	63.45	0.53	5.59	0.56	4.7	1.66	1.91	1.91	2.63	7.22	2.51	2.94	11.21	0.82	3.82	6.94	5.19	1.89	5.77	0.0	20.71	2.41	3.66	0.46	1.14	2.41	2.2	2.29	1.64	3.89	64.34	136.19	73.03	65.72	117.6	56.68	76.71	79.45	52.82	57.49	70.51	114.36	57.89	57.89	80.57	94.01	88.88	149.12	82.29	45.53	65.72	59.55	45.85	348.71	102.97
SEC11A	2627.46	2682.69	1757.34	2163.77	1662.49	2739.08	2004.85	2061.24	2271.4	3257.52	3081.75	2664.15	2367.9	2047.0	1757.34	1617.0	3372.43	3280.18	2224.63	1844.76	2835.7	2915.45	3212.66	2417.67	2163.77	3280.18	3467.27	1909.85	2468.49	3081.75	2664.15	2627.46	2591.27	2645.74	2591.27	2119.22	4152.18	2047.0	3103.19	1437.15	3168.41	2915.45	2855.44	2271.4	1721.16	2417.67	2209.26	2682.69	2240.11	3190.46	5711.87	4239.45	3794.3	3168.41	3467.27	4268.94	3928.15	3901.01	4010.71	3690.52	4358.66	4328.55	3742.05	3716.2	3982.99	3901.01	3794.3	4388.98	3665.02	4607.24	5292.48	3419.52	4671.57	3982.99	4575.41
SEPT5	122.64	39.22	19.39	31.67	75.11	40.93	23.93	88.88	35.25	100.83	248.0	242.88	23.76	89.51	44.25	26.28	17.13	28.24	28.86	14.14	490.14	8.0	48.18	116.78	29.91	547.75	165.57	24.28	23.93	67.59	182.55	16.27	14.24	4.98	181.28	18.03	688.78	74.58	10.08	50.63	100.13	32.36	223.41	60.39	11.55	15.91	30.78	20.86	78.89	476.71	371.22	713.11	373.81	500.46	392.44	656.11	529.06	780.44	607.87	500.46	470.14	450.94	403.5	450.94	457.25	358.54	511.0	366.09	1088.92	381.68	215.77	713.11	332.14	536.45	473.41
SMARCD3	325.29	75.64	52.45	54.33	53.19	171.45	63.45	82.87	57.49	194.36	318.57	17.77	169.07	22.59	92.05	72.52	64.8	16.63	66.18	57.49	551.56	10.71	36.01	28.65	111.21	265.87	129.69	40.36	49.21	127.0	77.79	33.78	94.67	56.68	371.22	11.38	314.17	114.36	26.86	178.77	301.33	18.29	307.69	35.0	31.22	65.72	64.8	74.58	191.67	656.11	2502.97	1191.69	1208.34	981.29	1008.9	1015.93	1030.12	1111.82	884.29	1111.82	928.3	743.43	1104.13	753.83	1259.69	866.07	981.29	796.86	2133.97	848.22	909.17	1044.52	961.07	1088.92	796.86
SPRY1	1388.16	346.29	299.25	215.77	103.69	318.57	521.76	536.45	256.78	1051.79	579.04	175.07	275.28	332.14	339.14	92.05	297.17	175.07	277.2	116.78	2163.77	140.04	244.57	75.11	183.82	414.87	215.77	155.5	244.57	181.28	412.0	135.24	206.94	273.37	819.3	164.42	764.36	438.59	164.42	532.74	1477.58	239.52	493.56	202.66	260.38	217.27	285.03	244.57	503.95	262.2	1225.22	5995.9	1745.2	5831.91	1015.93	1167.14	2255.7	1991.0	1991.0	1175.27	2119.22	1216.75	1950.0	1088.92	928.3	1857.6	1819.35	1605.83	4010.71	1397.83	1081.39	1183.45	909.17	1096.5	1467.37
STARD3	866.07	656.11	769.69	599.49	607.87	1001.93	587.13	830.75	684.02	1023.0	802.41	583.07	567.1	457.25	842.36	688.78	450.94	642.59	693.58	647.07	1313.23	460.44	733.19	688.78	921.88	878.17	1350.18	429.54	808.0	665.29	791.35	651.58	651.58	842.36	1175.27	476.71	1096.5	470.14	583.07	1081.39	988.12	651.58	1397.83	785.88	476.71	525.39	796.86	591.22	842.36	1008.9	1304.15	1923.14	1250.98	1857.6	1208.34	1191.69	1250.98	1159.07	884.29	1369.04	1059.11	1051.79	1378.57	1127.35	1322.37	1369.04	921.88	1183.45	1183.45	1001.93	1277.29	1923.14	1208.34	1023.0	1216.75
STARD9	13.93	12.74	8.65	8.71	3.2	9.85	4.21	9.56	7.0	21.47	9.27	8.0	14.45	11.04	7.0	7.88	7.75	4.24	4.74	7.22	47.84	2.68	7.57	1.66	11.73	6.26	12.64	4.46	8.78	11.04	14.35	7.69	9.93	4.54	26.67	9.93	6.26	8.19	5.19	12.64	22.43	4.46	15.56	4.35	5.32	13.42	7.22	5.06	9.41	42.41	177.53	102.97	50.63	118.43	65.72	61.68	46.18	70.01	47.17	81.14	38.95	23.42	50.63	67.59	40.93	72.01	46.5	64.34	94.01	42.11	26.47	96.68	35.0	45.53	67.12
STK39	85.82	17.77	19.11	22.1	9.78	38.4	15.0	27.05	47.5	146.03	154.42	18.29	37.32	8.65	19.11	13.72	27.84	9.06	7.82	18.43	253.23	20.11	16.63	5.68	17.77	21.94	35.76	14.78	19.97	52.08	107.38	7.51	10.96	5.54	142.01	7.11	138.1	21.78	8.19	26.28	153.34	13.93	73.03	8.99	8.06	20.56	40.07	20.86	79.45	1151.06	325.29	224.97	269.6	373.81	316.37	226.54	156.59	151.22	189.02	249.73	163.28	131.51	187.71	289.02	193.01	116.78	142.01	198.47	267.73	136.19	150.17	119.26	193.01	120.94	134.3
