	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.BA.5557.01A.01R.1514.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.13N11.0326.SM.5LUA3	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.EL.A3ZT.01A.12R.A23N.07	GTEX.12584.0826.SM.5FQSK	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13QJC.0826.SM.5RQKC	GTEX.V1D1.0926.SM.4JBHQ
PAN2	1963.57	3081.75	2555.58	2627.46	104.42	3515.68	2537.92	444.72	161.02	351.14	231.32	412.0	299.25	426.57	1277.29	579.04	441.64	532.74	126.12	500.46	432.53	336.79	379.04	921.88	387.02	743.43	620.67	336.79	813.63	860.08	1167.14	579.04	866.07	1359.57	791.35	212.78	395.18	633.73	1286.18	595.34	503.95	830.75	514.56	579.04	536.45	341.51	1015.93	303.44	759.08	348.71	450.94	688.78	753.83	890.44	454.09	551.56	120.94	67.59	2664.15	2777.33	2133.97	2400.97	2193.99
PAN3	536.45	591.22	620.67	466.88	173.85	836.53	620.67	29.27	40.07	33.54	236.21	197.09	244.57	271.48	651.58	241.19	339.14	255.0	218.79	193.01	178.77	191.67	299.25	346.29	325.29	575.03	312.0	185.11	244.57	353.59	264.03	397.93	297.17	285.03	358.54	223.41	206.94	291.04	389.72	231.32	156.59	603.67	246.28	303.44	223.41	197.09	486.75	260.38	277.2	309.83	532.74	295.11	271.48	420.68	239.52	412.0	183.82	117.6	435.55	660.68	555.41	536.45	703.28
PARP6	2047.0	2664.15	1605.83	2319.15	470.14	1709.26	1572.76	314.17	107.38	55.49	718.08	902.89	764.36	775.05	1498.22	902.89	656.11	860.08	854.13	1427.22	759.08	872.1	842.36	1447.15	633.73	1175.27	995.0	387.02	1233.75	1709.26	1674.06	438.59	1183.45	1883.54	934.76	1331.57	1572.76	1313.23	2193.99	583.07	988.12	1350.18	785.88	941.27	417.77	540.19	1628.26	1044.52	995.0	543.96	708.18	974.5	1073.91	961.07	854.13	529.06	450.94	169.07	1896.65	1936.53	1936.53	1733.13	2520.38
PAXBP1	872.1	1119.56	1088.92	764.36	67.12	579.04	607.87	39.22	60.82	59.13	136.19	105.89	176.29	128.79	460.44	130.6	251.48	249.73	167.9	223.41	206.94	126.12	175.07	258.57	253.23	343.89	264.03	155.5	208.38	353.59	239.52	299.25	536.45	521.76	248.0	147.06	194.36	190.34	366.09	190.34	204.07	297.17	140.04	119.26	177.53	115.16	343.89	156.59	154.42	166.73	223.41	221.86	273.37	271.48	275.28	518.15	115.16	62.56	660.68	1001.93	808.0	665.29	629.35
PNISR	5292.48	5913.33	6745.86	5633.22	244.57	4152.18	3235.01	66.18	111.21	173.85	358.54	656.11	698.41	551.56	1233.75	529.06	669.92	684.02	563.18	723.08	728.11	435.55	1044.52	1127.35	836.53	1119.56	1508.65	607.87	836.53	1388.16	921.88	967.76	2485.67	1709.26	884.29	748.61	791.35	941.27	1427.22	813.63	723.08	1159.07	647.07	1059.11	555.41	325.29	1277.29	620.67	656.11	595.34	1159.07	743.43	878.17	947.83	981.29	1844.76	400.71	100.13	4972.34	6745.86	4802.93	5041.77	4095.0
POGZ	1757.34	2133.97	2434.5	3018.3	199.85	1437.15	1583.71	158.79	64.34	98.73	525.39	376.41	318.57	612.11	1397.83	441.64	536.45	318.57	249.73	325.29	325.29	318.57	389.72	579.04	320.8	713.11	603.67	323.03	642.59	738.29	802.41	518.15	733.19	665.29	595.34	269.6	351.14	624.99	1001.93	327.56	295.11	563.18	351.14	493.56	368.65	279.14	684.02	387.02	775.05	316.37	536.45	860.08	1104.13	866.07	447.82	329.84	368.65	80.01	1936.53	1909.85	1605.83	1806.78	1883.54
POLG2	358.54	368.65	397.93	323.03	35.5	684.02	511.0	65.26	45.53	66.18	41.22	60.82	79.45	92.05	368.65	111.99	109.66	128.79	59.55	102.25	136.19	101.54	153.34	248.0	100.13	256.78	141.02	88.26	159.9	249.73	136.19	208.38	145.02	142.01	153.34	100.13	88.26	127.0	178.77	111.99	99.43	299.25	127.0	117.6	102.25	116.78	287.01	106.63	153.34	90.77	121.79	126.12	175.07	120.94	104.42	141.02	71.5	34.51	334.46	536.45	438.59	536.45	406.31
PPP1R21	599.49	743.43	819.3	743.43	211.31	638.15	791.35	157.68	208.38	205.5	256.78	423.61	591.22	332.14	830.75	299.25	543.96	403.5	197.09	435.55	397.93	281.09	429.54	403.5	607.87	551.56	532.74	438.59	384.34	567.1	486.75	813.63	293.07	743.43	497.0	262.2	339.14	432.53	406.31	376.41	441.64	435.55	353.59	438.59	476.71	256.78	490.14	358.54	305.55	366.09	656.11	412.0	417.77	441.64	447.82	518.15	269.6	366.09	1081.39	872.1	1143.1	1111.82	830.75
PPT2-EGFL8	253.23	327.56	299.25	291.04	5.92	387.02	161.02	13.93	1.85	2.61	18.7	13.52	13.03	15.91	94.67	22.1	12.74	10.31	10.55	23.25	4.62	15.45	19.68	43.63	13.52	27.25	34.02	9.41	30.12	46.84	26.67	26.28	28.04	56.68	50.98	10.71	14.24	22.26	38.67	13.62	5.45	29.48	14.35	15.56	18.84	8.38	39.79	14.14	29.06	8.13	11.55	16.27	37.32	17.51	12.64	4.1	12.45	11.04	170.25	117.6	91.41	81.71	119.26
PRPF3	1605.83	2104.58	1674.06	1794.29	293.07	2591.27	2520.38	146.03	110.43	187.71	511.0	232.94	406.31	368.65	1639.59	480.04	575.03	450.94	547.75	521.76	463.65	264.03	395.18	703.28	277.2	738.29	579.04	232.94	543.96	860.08	769.69	551.56	896.64	1088.92	551.56	460.44	463.65	473.41	954.43	323.03	591.22	769.69	381.68	703.28	612.11	551.56	813.63	518.15	579.04	473.41	656.11	764.36	559.28	896.64	583.07	947.83	291.04	118.43	1572.76	1733.13	1991.0	1407.55	2104.58
RBM25	2178.83	2271.4	2609.3	1896.65	599.49	1757.34	1295.13	79.45	185.11	187.71	647.07	503.95	420.68	432.53	1417.35	454.09	753.83	607.87	743.43	450.94	769.69	470.14	587.13	738.29	934.76	1127.35	878.17	376.41	854.13	1135.2	954.43	1001.93	1081.39	1167.14	941.27	1059.11	607.87	769.69	1242.34	500.46	688.78	1127.35	669.92	665.29	511.0	490.14	1051.79	651.58	583.07	693.58	1001.93	836.53	525.39	995.0	884.29	1250.98	454.09	248.0	1870.53	2047.0	1605.83	1378.57	1605.83
RBM33	974.5	1135.2	1183.45	896.64	429.54	1135.2	860.08	139.07	105.89	141.02	314.17	366.09	334.46	376.41	551.56	361.04	231.32	215.77	307.69	307.69	303.44	157.68	514.56	441.64	273.37	432.53	363.56	264.03	299.25	490.14	379.04	381.68	1183.45	620.67	343.89	651.58	329.84	460.44	450.94	234.57	327.56	454.09	336.79	297.17	297.17	183.82	529.06	264.03	389.72	346.29	476.71	395.18	397.93	412.0	373.81	500.46	258.57	108.9	514.56	708.18	633.73	684.02	444.72
RBM5	5329.3	6207.38	5594.3	6294.04	348.71	5791.62	3081.75	242.88	223.41	287.01	954.43	647.07	860.08	909.17	3690.52	1143.1	1268.46	921.88	718.08	1313.23	743.43	703.28	896.64	2148.82	988.12	2119.22	1651.0	703.28	1242.34	2434.5	1662.49	1350.18	2004.85	3280.18	1208.34	1030.12	1519.15	1286.18	2104.58	981.29	902.89	1572.76	813.63	1051.79	934.76	753.83	2148.82	1073.91	1104.13	638.15	1487.87	1407.55	2555.58	2090.03	1388.16	1407.55	503.95	265.87	4268.94	4388.98	5183.54	4328.55	4736.79
RBM6	2468.49	4152.18	4066.71	5366.37	163.28	4181.07	2855.44	204.07	209.84	229.72	343.89	420.68	647.07	579.04	1991.0	660.68	791.35	759.08	1369.04	1127.35	563.18	647.07	733.19	2303.12	1088.92	941.27	1073.91	595.34	961.07	1896.65	1104.13	854.13	1709.26	3794.3	884.29	780.44	1242.34	1208.34	1073.91	748.61	878.17	988.12	460.44	1331.57	368.65	486.75	1350.18	830.75	473.41	836.53	995.0	988.12	1477.58	842.36	1073.91	1277.29	575.03	167.9	2178.83	3564.78	3081.75	4095.0	2664.15
RFXAP	177.53	171.45	175.07	156.59	15.22	141.02	95.34	15.34	19.97	19.97	44.89	72.52	122.64	63.89	158.79	70.51	113.56	127.0	79.45	85.82	93.35	97.36	105.89	111.21	127.0	136.19	118.43	95.34	117.6	151.22	120.1	145.02	88.88	95.34	146.03	70.51	97.36	121.79	175.07	128.79	90.77	131.51	80.57	57.89	164.42	73.03	106.63	91.41	87.03	89.51	178.77	88.88	63.0	149.12	111.99	163.28	43.63	30.56	72.01	185.11	139.07	164.42	135.24
RNPC3	1508.65	1143.1	1295.13	1104.13	94.01	1135.2	1340.84	26.47	25.17	39.22	208.38	260.38	138.1	163.28	775.05	209.84	241.19	241.19	111.21	164.42	206.94	107.38	229.72	277.2	265.87	532.74	438.59	140.04	262.2	665.29	457.25	275.28	536.45	412.0	599.49	189.02	163.28	312.0	656.11	309.83	199.85	476.71	316.37	423.61	309.83	73.54	486.75	197.09	400.71	214.27	503.95	332.14	193.01	769.69	336.79	303.44	72.01	56.28	2148.82	2335.28	1127.35	1295.13	947.83
RP11-166B2.1	447.82	688.78	463.65	435.55	2.61	612.11	902.89	6.11	2.2	4.94	105.89	9.63	16.15	79.45	126.12	113.56	57.49	23.42	98.73	100.13	82.87	50.98	53.57	127.0	30.34	69.03	101.54	43.02	48.18	125.24	143.01	104.42	150.17	108.14	49.21	79.45	59.55	12.55	120.1	35.0	40.64	53.57	76.17	36.79	58.71	62.12	70.51	24.63	78.89	14.56	75.64	45.85	111.21	64.34	171.45	49.56	20.26	5.87	389.72	866.07	540.19	571.05	660.68
RP11-295P9.3	591.22	928.3	890.44	988.12	26.1	769.69	921.88	21.32	5.59	24.46	115.97	68.55	69.03	88.26	802.41	195.72	98.04	48.52	103.69	86.43	90.77	44.25	156.59	223.41	124.37	173.85	120.1	61.68	146.03	111.21	165.57	392.44	205.5	258.57	112.77	119.26	35.5	90.14	486.75	85.22	84.04	255.0	100.83	162.14	100.83	90.14	414.87	79.45	163.28	77.79	194.36	175.07	376.41	121.79	58.71	85.82	67.12	3.79	412.0	381.68	825.0	595.34	536.45
RP11-347C12.1	204.07	518.15	260.38	206.94	12.93	620.67	559.28	8.38	3.89	7.11	87.65	26.47	36.27	40.36	144.01	91.41	23.93	15.22	102.97	54.33	12.0	46.84	21.16	195.72	10.63	21.63	62.12	12.09	40.07	100.13	27.25	72.01	88.26	93.35	42.71	68.07	51.35	8.38	43.63	28.24	84.04	71.5	48.87	26.47	64.8	94.67	65.72	61.25	63.89	13.83	31.22	51.71	105.15	83.45	63.89	31.9	17.9	0.0	148.09	175.07	232.94	253.23	244.57
RUFY2	387.02	403.5	414.87	387.02	131.51	297.17	309.83	13.03	35.25	44.25	119.26	109.66	139.07	111.21	361.04	106.63	145.02	173.85	112.77	95.34	105.15	121.79	151.22	116.78	180.02	275.28	172.65	105.15	152.28	228.13	202.66	204.07	166.73	166.73	197.09	127.0	93.35	151.22	189.02	120.94	80.01	214.27	108.14	161.02	177.53	77.25	187.71	153.34	148.09	162.14	199.85	140.04	191.67	173.85	158.79	178.77	77.79	91.41	236.21	293.07	267.73	283.05	356.05
RXRB	1268.46	1721.16	2047.0	1977.24	303.44	1605.83	1388.16	409.15	157.68	297.17	447.82	591.22	599.49	518.15	1143.1	748.61	536.45	555.41	406.31	540.19	521.76	417.77	638.15	1044.52	450.94	961.07	921.88	438.59	638.15	947.83	748.61	738.29	1183.45	791.35	674.59	890.44	656.11	587.13	1199.98	629.35	429.54	1119.56	660.68	603.67	555.41	454.09	1001.93	540.19	703.28	480.04	830.75	753.83	796.86	836.53	536.45	974.5	414.87	234.57	1313.23	1583.71	1745.2	1397.83	1844.76
S100PBP	684.02	748.61	703.28	579.04	143.01	819.3	599.49	30.78	34.75	49.56	78.89	171.45	189.02	232.94	591.22	256.78	185.11	180.02	102.25	158.79	127.89	172.65	303.44	348.71	229.72	351.14	251.48	194.36	242.88	423.61	246.28	379.04	301.33	329.84	229.72	173.85	148.09	206.94	447.82	269.6	161.02	460.44	128.79	246.28	214.27	147.06	289.02	163.28	237.86	220.32	325.29	170.25	384.34	264.03	191.67	234.57	103.69	70.51	406.31	438.59	521.76	567.1	563.18
SETD6	591.22	624.99	409.15	688.78	98.04	579.04	633.73	189.02	129.69	198.47	186.4	214.27	281.09	228.13	429.54	287.01	299.25	201.25	151.22	273.37	341.51	211.31	180.02	480.04	195.72	348.71	403.5	166.73	336.79	476.71	463.65	214.27	181.28	316.37	281.09	212.78	215.77	463.65	267.73	248.0	204.07	466.88	258.57	251.48	251.48	193.01	447.82	277.2	358.54	303.44	312.0	361.04	218.79	309.83	283.05	113.56	197.09	86.43	941.27	830.75	633.73	647.07	854.13
SFPQ	6164.49	7230.1	5954.47	6294.04	2004.85	7537.18	7230.1	723.08	1769.57	1369.04	5954.47	2193.99	2835.7	2451.44	5711.87	2855.44	4575.41	2875.3	3982.99	2400.97	3742.05	2319.15	2178.83	3589.58	2956.17	3820.7	3847.29	2075.59	3419.52	4328.55	2739.08	3146.52	3280.18	3515.68	4836.35	4512.4	3168.41	2956.17	3901.01	2224.63	2573.36	3901.01	2976.74	3443.31	3443.31	2777.33	4671.57	3124.78	3018.3	2255.7	3820.7	3564.78	4298.64	4239.45	2976.74	3443.31	3349.13	1628.26	7382.04	5872.48	4972.34	6840.04	6250.56
SFTPB	7.34	18.43	6.46	18.03	6.01	599.49	3.89	67.12	2.58	6.21	3383299.76	3049200.37	2156109.97	3290783.22	389157.95	2617937.91	2263304.65	1890058.21	1929772.37	1890058.21	2310861.52	2111737.85	2343119.96	2126426.15	1929772.37	1493223.86	1589343.01	2767207.65	1825675.85	1336472.68	2691538.19	2408994.05	2825352.59	1503610.06	2884719.27	2986448.72	1877002.62	3223059.86	1825675.85	1763486.6	2845004.48	1578364.61	2375828.71	3156730.23	5057523.59	2493947.08	1246973.04	2068278.89	2599854.48	3245478.02	2359417.65	1600397.78	2011721.67	2216726.5	2263304.65	2546350.23	1048575.0	2.14	4671.57	323.03	66.65	769.69	599.49
SGK494	241.19	309.83	316.37	307.69	22.59	412.0	291.04	3.76	0.34	3.11	48.52	55.1	16.51	25.72	244.57	49.91	23.93	54.33	57.08	20.41	36.79	21.16	21.78	60.39	24.81	69.03	68.07	29.7	58.71	113.56	49.56	133.36	152.28	145.02	105.89	57.89	13.12	32.13	215.77	21.47	91.41	53.57	31.45	108.14	64.34	59.97	75.11	24.99	187.71	72.01	76.17	59.97	135.24	195.72	91.41	89.51	13.52	1.14	218.79	275.28	169.07	271.48	115.16
SLC25A27	2090.03	2367.9	3168.41	1923.14	1.71	713.11	273.37	38.12	17.0	34.26	63.45	164.42	68.55	95.34	1037.29	92.7	71.0	69.52	11.38	39.5	111.21	18.84	220.32	136.19	244.57	543.96	450.94	73.54	115.16	447.82	170.25	74.58	379.04	187.71	148.09	91.41	53.57	154.42	703.28	108.14	30.12	414.87	49.91	334.46	103.69	15.11	417.77	46.84	182.55	95.34	540.19	256.78	236.21	212.78	44.89	202.66	32.13	0.0	2018.8	2935.74	1745.2	1674.06	1685.71
SPATA25	158.79	163.28	70.51	77.79	1.2	84.04	45.85	5.59	0.0	13.03	7.63	5.77	9.06	2.32	38.12	19.53	10.31	2.73	7.34	6.01	16.88	12.36	29.27	10.96	20.41	23.59	12.64	5.15	38.95	17.0	13.83	32.13	13.62	10.88	12.18	10.55	6.26	7.0	15.11	8.32	2.89	45.85	1.41	5.32	62.12	65.26	10.24	4.13	27.44	8.19	20.41	25.91	24.63	17.0	1.95	3.72	4.31	2.41	56.28	67.12	56.68	65.26	129.69
SRSF4	2682.69	3589.58	2682.69	2434.5	1111.82	2627.46	2915.45	866.07	647.07	669.92	2104.58	1143.1	1551.09	1617.0	2777.33	1519.15	1794.29	1015.93	1936.53	1551.09	1685.71	1216.75	1350.18	2090.03	1277.29	1407.55	1583.71	1208.34	1286.18	1487.87	1378.57	1216.75	1685.71	2133.97	1583.71	2178.83	1757.34	1277.29	1757.34	974.5	1540.37	1540.37	1081.39	1819.35	1250.98	1313.23	2004.85	1407.55	1268.46	819.3	1662.49	1806.78	1883.54	1397.83	1340.84	2061.24	1745.2	764.36	3081.75	2537.92	2400.97	2335.28	2520.38
SRSF5	12943.04	15180.22	15392.14	13968.57	3235.01	12329.98	6471.02	4358.66	4481.23	3060.45	8421.31	7433.4	5711.87	8538.88	8305.36	6250.56	4903.87	5329.3	5329.3	4671.57	5633.22	4419.52	6207.38	8022.41	4869.99	6792.79	8247.98	4639.29	8963.45	9151.82	7433.4	4358.66	10225.32	7180.15	9025.81	6887.62	6792.79	7857.29	6294.04	6561.36	4607.24	7032.37	7331.05	8421.31	6337.83	2935.74	10084.54	6037.61	7433.4	4268.94	7537.18	7032.37	8538.88	7180.15	5995.9	5183.54	6699.25	2240.11	16157.44	27938.14	21172.91	21026.65	14867.79
SRSF6	2335.28	2255.7	1923.14	2335.28	599.49	4298.64	3395.89	860.08	733.19	633.73	2104.58	1001.93	1639.59	1286.18	3124.78	1467.37	2417.67	1769.57	1066.48	2255.7	2075.59	1844.76	1322.37	2682.69	1991.0	2193.99	2193.99	1508.65	2240.11	2417.67	2032.85	1870.53	1208.34	2351.53	2163.77	802.41	1733.13	1977.24	2032.85	1721.16	1883.54	2032.85	1662.49	1225.22	2004.85	1781.89	2090.03	1832.01	1651.0	1519.15	1605.83	1781.89	2915.45	1674.06	2255.7	1295.13	1757.34	1143.1	4298.64	2997.45	3614.55	4268.94	4769.75
STK36	1359.57	1487.87	1037.29	1295.13	33.78	1936.53	1519.15	107.38	38.4	49.91	97.36	183.82	271.48	180.02	708.18	217.27	228.13	187.71	265.87	368.65	189.02	205.5	309.83	642.59	163.28	251.48	417.77	273.37	332.14	718.08	334.46	246.28	540.19	780.44	514.56	118.43	287.01	265.87	336.79	339.14	165.57	309.83	120.94	253.23	228.13	163.28	575.03	197.09	221.86	231.32	314.17	470.14	674.59	255.0	226.54	381.68	81.14	39.79	1340.84	819.3	1073.91	1242.34	1529.73
STRADA	1242.34	1870.53	1159.07	1295.13	221.86	1096.5	1135.2	241.19	121.79	182.55	403.5	420.68	389.72	395.18	1216.75	493.56	507.46	514.56	309.83	466.88	397.93	426.57	547.75	954.43	412.0	738.29	497.0	511.0	373.81	753.83	503.95	928.3	547.75	679.29	575.03	511.0	435.55	435.55	753.83	518.15	387.02	708.18	423.61	373.81	540.19	470.14	813.63	525.39	493.56	373.81	642.59	551.56	769.69	775.05	447.82	660.68	262.2	320.8	842.36	669.92	780.44	733.19	909.17
SUPT7L	780.44	1023.0	947.83	915.51	305.55	921.88	890.44	281.09	217.27	242.88	351.14	447.82	500.46	327.56	1225.22	444.72	457.25	395.18	384.34	358.54	503.95	486.75	559.28	665.29	521.76	579.04	583.07	417.77	540.19	848.22	669.92	536.45	567.1	567.1	571.05	363.56	293.07	438.59	791.35	500.46	444.72	629.35	409.15	511.0	473.41	486.75	743.43	316.37	536.45	543.96	728.11	638.15	603.67	532.74	457.25	616.37	329.84	267.73	1030.12	738.29	854.13	830.75	1008.9
TARBP1	599.49	1081.39	981.29	1208.34	121.79	1295.13	941.27	72.01	93.35	124.37	303.44	334.46	334.46	253.23	921.88	387.02	470.14	536.45	229.72	289.02	441.64	323.03	351.14	642.59	503.95	825.0	384.34	336.79	521.76	764.36	830.75	629.35	395.18	547.75	384.34	287.01	346.29	395.18	878.17	358.54	312.0	718.08	327.56	400.71	444.72	403.5	928.3	466.88	412.0	693.58	878.17	599.49	400.71	679.29	412.0	555.41	106.63	153.34	1066.48	656.11	759.08	521.76	830.75
TARDBP	2976.74	3665.02	3955.48	3325.99	1447.15	2997.45	2627.46	1277.29	1498.22	1313.23	1427.22	1572.76	1721.16	1233.75	2956.17	1457.23	1551.09	1561.89	2133.97	1175.27	1883.54	1487.87	1697.45	1896.65	1781.89	1721.16	2367.9	1583.71	1417.35	2537.92	1781.89	1685.71	3847.29	2061.24	1909.85	2400.97	1175.27	1757.34	2133.97	1651.0	1583.71	1745.2	1651.0	2400.97	1583.71	1001.93	2047.0	1175.27	1651.0	1529.73	2148.82	1844.76	1745.2	1844.76	1832.01	2133.97	1733.13	1159.07	2777.33	4010.71	3716.2	4010.71	3564.78
TAS2R14	122.64	141.02	105.15	80.57	2.27	56.28	50.63	6.73	2.63	2.66	10.47	11.64	10.24	18.7	99.43	8.0	19.97	18.43	25.72	4.78	20.41	12.55	6.21	33.06	10.08	15.22	24.11	8.25	16.88	32.13	24.63	9.27	16.51	25.72	34.75	20.71	4.06	14.89	40.36	14.14	8.45	17.25	16.03	23.76	10.16	13.83	20.56	6.94	10.96	11.73	37.32	13.03	31.9	15.91	14.24	25.72	13.32	1.36	68.07	111.99	68.55	63.0	53.57
TAS2R19	20.56	22.75	19.39	18.29	0.0	12.93	11.64	0.0	0.28	0.0	1.19	0.61	1.3	3.59	3.89	0.0	2.43	0.0	1.95	3.38	0.64	0.25	1.97	3.69	0.8	1.27	1.33	2.32	1.71	2.12	2.63	3.17	5.96	7.57	1.48	2.27	0.73	0.51	1.27	1.27	0.0	0.0	0.0	1.08	0.0	0.18	0.73	0.0	0.0	0.0	0.0	1.83	2.03	2.36	3.23	0.08	0.51	0.62	3.44	18.7	5.41	6.94	6.94
THBS3	1685.71	2502.97	1883.54	3491.39	236.21	1369.04	2240.11	97.36	38.67	56.68	395.18	297.17	214.27	336.79	791.35	470.14	320.8	363.56	110.43	379.04	193.01	457.25	620.67	521.76	269.6	591.22	470.14	206.94	603.67	954.43	500.46	559.28	507.46	547.75	555.41	253.23	256.78	224.97	848.22	457.25	154.42	825.0	255.0	559.28	199.85	285.03	723.08	314.17	708.18	206.94	575.03	669.92	796.86	547.75	251.48	332.14	135.24	115.16	1044.52	988.12	1023.0	842.36	1051.79
TIA1	1883.54	1870.53	2627.46	2148.82	299.25	2287.2	2193.99	108.14	70.51	155.5	301.33	400.71	497.0	429.54	1781.89	647.07	624.99	490.14	295.11	708.18	454.09	379.04	543.96	1191.69	954.43	967.76	854.13	583.07	854.13	1313.23	1159.07	1151.06	981.29	1081.39	518.15	277.2	460.44	884.29	1175.27	595.34	470.14	1030.12	379.04	406.31	476.71	389.72	791.35	555.41	612.11	397.93	1037.29	738.29	1378.57	591.22	796.86	647.07	343.89	156.59	3491.39	2537.92	2047.0	2303.12	2627.46
TNRC6A	921.88	1037.29	1304.15	1059.11	199.85	878.17	1159.07	123.5	75.64	181.28	291.04	217.27	218.79	273.37	575.03	260.38	267.73	323.03	195.72	190.34	209.84	155.5	295.11	332.14	193.01	387.02	353.59	161.02	332.14	400.71	426.57	281.09	579.04	351.14	291.04	490.14	206.94	293.07	500.46	212.78	173.85	457.25	199.85	329.84	231.32	180.02	470.14	226.54	285.03	264.03	429.54	318.57	381.68	327.56	275.28	507.46	165.57	82.29	753.83	808.0	647.07	633.73	780.44
TRIM45	123.5	249.73	450.94	444.72	10.08	111.21	110.43	10.63	6.41	8.25	14.35	29.06	26.47	13.42	102.25	26.1	32.82	23.25	7.17	21.94	20.56	20.86	44.89	17.77	23.76	44.89	40.93	31.9	29.91	65.26	43.02	17.38	18.84	30.78	50.27	5.41	16.39	30.34	74.06	29.48	8.99	35.5	17.9	80.01	42.71	20.56	55.89	22.26	39.22	12.83	36.53	37.59	56.68	69.52	33.3	32.59	4.58	8.45	161.02	470.14	599.49	417.77	444.72
TTC14	1397.83	1350.18	1467.37	1417.35	158.79	1015.93	878.17	55.49	96.68	88.88	67.12	190.34	217.27	137.14	842.36	114.36	239.52	323.03	171.45	191.67	260.38	181.28	208.38	289.02	309.83	429.54	435.55	242.88	212.78	629.35	470.14	376.41	612.11	521.76	363.56	194.36	93.35	275.28	624.99	285.03	175.07	389.72	176.29	409.15	231.32	131.51	353.59	162.14	301.33	248.0	351.14	275.28	329.84	373.81	291.04	457.25	111.99	50.27	1487.87	2287.2	1594.73	1151.06	1594.73
TTLL3	2240.11	2796.65	2502.97	3847.29	48.52	2777.33	1883.54	24.81	43.63	26.86	281.09	249.73	135.24	283.05	1697.45	353.59	275.28	206.94	108.14	173.85	253.23	145.02	417.77	476.71	232.94	620.67	490.14	198.47	291.04	974.5	336.79	438.59	514.56	890.44	444.72	137.14	173.85	237.86	1143.1	271.48	128.79	511.0	237.86	397.93	251.48	202.66	825.0	215.77	314.17	140.04	403.5	412.0	813.63	587.13	161.02	236.21	94.67	11.3	2796.65	1369.04	1498.22	1259.69	1617.0
UBN2	159.9	170.25	180.02	153.34	31.22	173.85	191.67	9.78	7.11	18.29	33.06	28.24	40.07	45.21	111.21	40.07	47.5	50.27	30.34	40.64	23.93	31.67	32.82	60.39	46.18	65.72	74.06	36.53	55.89	89.51	75.64	61.68	102.25	59.13	81.14	34.02	37.05	54.72	70.51	41.81	42.11	74.06	36.53	36.01	50.63	24.46	78.89	36.53	70.51	39.79	64.34	64.8	92.7	75.64	61.68	68.07	26.1	17.77	136.19	234.57	169.07	205.5	209.84
UBQLNL	32.82	55.49	10.79	50.63	0.0	50.98	36.01	2.66	1.41	1.04	2.2	5.45	3.96	5.41	16.39	4.17	8.19	4.39	2.2	5.5	1.39	4.13	4.58	4.06	2.18	6.21	5.02	5.63	5.15	9.06	7.75	8.45	4.7	6.26	9.63	1.89	0.68	1.93	10.16	3.82	5.06	10.39	4.1	7.57	5.23	4.1	6.46	4.78	8.06	5.23	12.93	14.45	23.25	7.75	4.78	4.28	2.51	0.42	34.75	10.31	9.93	17.9	21.78
