	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
WDR7	242.88	95.34	307.69	68.07	249.73	120.1	229.72	145.02	73.03	176.29	58.71	77.79	47.84	138.1	120.94	145.02	351.14	57.08	96.01	118.43	121.79	275.28	81.71	189.02	70.51	95.34	27.25	58.3	53.57	46.18	62.56	151.22	64.34	165.57	295.11	148.09	189.02	98.04	159.9	86.43	78.89	95.34	102.25	198.47	72.52	178.77	84.04	84.63	115.97	157.68	165.57	166.73	82.87	138.1	73.54	77.79	95.34	64.8	64.34	224.97	199.85	155.5	153.34	142.01	169.07	181.28	204.07	255.0	146.03	158.79	237.86
WDR82	1073.91	503.95	1111.82	559.28	967.76	878.17	1059.11	878.17	511.0	1059.11	616.37	748.61	493.56	616.37	791.35	866.07	1119.56	555.41	842.36	825.0	503.95	890.44	497.0	819.3	775.05	674.59	470.14	575.03	540.19	651.58	748.61	713.11	591.22	947.83	842.36	825.0	902.89	651.58	884.29	612.11	728.11	567.1	669.92	1066.48	688.78	1066.48	693.58	493.56	775.05	1051.79	830.75	813.63	693.58	775.05	547.75	669.92	884.29	583.07	669.92	1001.93	1167.14	1066.48	1175.27	1001.93	1268.46	988.12	1096.5	1304.15	1015.93	1322.37	1417.35
YAP1	1388.16	312.0	1151.06	223.41	1313.23	748.61	1175.27	961.07	36.53	860.08	463.65	583.07	426.57	764.36	981.29	674.59	1397.83	466.88	559.28	947.83	642.59	1277.29	518.15	988.12	607.87	830.75	143.01	400.71	435.55	293.07	327.56	743.43	525.39	775.05	1059.11	665.29	1023.0	633.73	947.83	507.46	656.11	595.34	536.45	1340.84	490.14	1397.83	629.35	351.14	620.67	1242.34	638.15	1096.5	503.95	713.11	651.58	371.22	633.73	483.38	384.34	1151.06	1477.58	1388.16	1685.71	1111.82	1674.06	1037.29	1208.34	2148.82	1059.11	1551.09	1870.53
YME1L1	1870.53	813.63	1923.14	1066.48	2047.0	1259.69	1794.29	1250.98	743.43	1477.58	743.43	1175.27	769.69	1233.75	1277.29	1322.37	1628.26	954.43	1216.75	1322.37	1127.35	1757.34	1191.69	1583.71	1295.13	988.12	819.3	753.83	947.83	1199.98	612.11	1467.37	854.13	1340.84	1268.46	1388.16	1529.73	1008.9	1519.15	1059.11	902.89	1008.9	1008.9	1733.13	995.0	1605.83	848.22	967.76	1277.29	1781.89	902.89	1583.71	813.63	1191.69	896.64	718.08	1081.39	1127.35	974.5	1583.71	1572.76	1359.57	1561.89	1447.15	1583.71	1529.73	1359.57	1674.06	1447.15	1662.49	1769.57
YWHAB	3540.14	2090.03	3928.15	2148.82	3901.01	2303.12	2976.74	2367.9	1819.35	2701.35	1388.16	2047.0	1322.37	2682.69	2319.15	2319.15	3280.18	2047.0	2835.7	1583.71	2303.12	3395.89	2119.22	3039.3	2240.11	1909.85	1477.58	1857.6	1594.73	1225.22	1508.65	3039.3	2004.85	2485.67	2591.27	2682.69	4066.71	1950.0	2573.36	2004.85	1721.16	2047.0	2104.58	3443.31	2119.22	3124.78	2520.38	1896.65	2451.44	3395.89	2209.26	2835.7	1769.57	2451.44	2104.58	1477.58	2104.58	2209.26	1832.01	3235.01	2895.31	2739.08	2997.45	2664.15	3280.18	3280.18	2609.3	3540.14	2915.45	3081.75	3690.52
ZMYND11	1487.87	579.04	1447.15	848.22	1369.04	961.07	1388.16	1051.79	503.95	1008.9	387.02	738.29	547.75	753.83	872.1	1096.5	1313.23	647.07	842.36	981.29	743.43	1388.16	775.05	1233.75	830.75	679.29	356.05	532.74	551.56	595.34	460.44	1066.48	684.02	981.29	988.12	1088.92	1191.69	902.89	1143.1	718.08	669.92	638.15	693.58	1378.57	638.15	1199.98	915.51	547.75	896.64	1286.18	698.41	1143.1	642.59	813.63	743.43	559.28	825.0	743.43	802.41	1199.98	1322.37	1199.98	1605.83	1135.2	1437.15	1250.98	1233.75	1561.89	1104.13	1407.55	1529.73
ZNF25	211.31	69.52	209.84	92.05	154.42	128.79	146.03	119.26	53.95	142.01	80.57	122.64	87.65	120.1	167.9	126.12	212.78	92.05	76.17	126.12	91.41	215.77	147.06	130.6	150.17	113.56	63.45	64.34	107.38	70.01	47.17	102.97	113.56	135.24	119.26	99.43	115.97	124.37	120.1	93.35	96.01	112.77	110.43	198.47	104.42	163.28	106.63	71.5	94.01	128.79	82.87	175.07	105.89	108.14	118.43	106.63	152.28	76.71	95.34	199.85	177.53	154.42	275.28	171.45	215.77	182.55	152.28	175.07	198.47	212.78	191.67
ZNF429	305.55	165.57	312.0	241.19	316.37	273.37	351.14	249.73	104.42	253.23	183.82	215.77	198.47	258.57	189.02	236.21	253.23	148.09	173.85	262.2	178.77	414.87	211.31	299.25	320.8	212.78	121.79	129.69	165.57	152.28	135.24	260.38	162.14	287.01	242.88	281.09	255.0	193.01	353.59	163.28	241.19	232.94	285.03	293.07	182.55	309.83	277.2	144.01	291.04	293.07	198.47	283.05	182.55	231.32	191.67	172.65	255.0	193.01	138.1	318.57	339.14	309.83	395.18	295.11	379.04	351.14	291.04	236.21	299.25	262.2	267.73
ZNF518B	301.33	67.59	463.65	88.26	346.29	172.65	341.51	195.72	145.02	218.79	96.01	146.03	93.35	132.44	158.79	217.27	316.37	124.37	159.9	162.14	139.07	187.71	122.64	241.19	202.66	189.02	72.52	120.94	120.94	144.01	121.79	193.01	146.03	214.27	173.85	212.78	242.88	343.89	275.28	163.28	249.73	139.07	151.22	348.71	137.14	232.94	176.29	100.83	155.5	363.56	234.57	229.72	157.68	164.42	127.89	142.01	221.86	162.14	138.1	231.32	291.04	228.13	287.01	283.05	289.02	251.48	218.79	277.2	218.79	299.25	287.01
ZNF660	24.28	12.27	37.05	7.46	21.63	19.97	18.03	26.28	8.78	25.72	1.64	11.21	4.1	5.92	21.01	21.63	46.5	7.46	9.85	29.27	9.06	23.25	12.18	14.03	31.0	33.06	2.48	7.22	13.12	5.92	3.29	14.78	19.11	38.95	27.25	13.22	13.12	6.46	24.28	11.73	14.14	22.43	8.45	23.08	18.97	27.84	23.25	10.16	25.72	19.97	7.57	25.17	24.63	25.17	20.86	25.54	30.12	14.03	10.88	31.22	43.02	30.34	45.53	22.1	53.95	24.11	32.13	40.36	30.12	30.34	40.36
ZYG11B	314.17	91.41	283.05	152.28	312.0	147.06	234.57	156.59	87.03	155.5	85.82	139.07	88.88	140.04	163.28	146.03	228.13	120.1	120.1	152.28	126.12	199.85	146.03	244.57	161.02	152.28	92.05	81.71	119.26	94.67	111.99	170.25	108.14	152.28	176.29	164.42	236.21	143.01	177.53	153.34	111.99	130.6	154.42	289.02	111.21	237.86	143.01	96.01	115.16	231.32	90.77	234.57	138.1	127.89	123.5	130.6	146.03	105.89	107.38	232.94	264.03	211.31	251.48	173.85	279.14	239.52	147.06	325.29	176.29	215.77	336.79
