	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
HIP1	603.67	791.35	336.79	454.09	460.44	384.34	579.04	620.67	718.08	583.07	974.5	500.46	775.05	575.03	733.19	1015.93	860.08	988.12	486.75	842.36	890.44	231.32	323.03	825.0	579.04	1233.75	733.19	463.65	283.05	177.53	575.03	825.0	743.43	215.77	733.19	567.1	420.68	409.15	155.5	155.5	147.06	88.26	194.36	170.25	255.0	92.7	139.07	116.78	151.22	81.14	70.51	149.12	101.54	152.28	201.25	98.73	171.45	120.94	256.78	307.69	195.72	173.85	264.03	146.03	80.57	244.57	256.78	201.25	251.48	167.9	256.78	153.34	136.19	343.89	55.1	60.82	99.43	293.07	115.16	148.09	208.38	220.32	287.01	246.28	177.53	112.77	265.87	161.02	95.34	217.27	103.69	94.01	224.97	642.59	180.02	85.82	151.22	154.42	269.6	115.97	305.55	50.27	204.07
HIST3H2A	346.29	249.73	11.13	94.01	884.29	915.51	1313.23	420.68	117.6	24.63	1331.57	19.25	403.5	540.19	1963.57	8.92	1561.89	21.01	1417.35	540.19	1167.14	5.36	21.47	239.52	547.75	2739.08	555.41	334.46	460.44	100.83	19.82	135.24	409.15	426.57	387.02	854.13	483.38	98.04	4.1	25.54	19.68	0.0	9.56	0.0	3.96	9.48	3.35	12.0	33.06	6.21	7.0	2.46	3.69	6.46	17.64	13.03	0.0	11.47	45.21	20.56	3.0	30.12	15.45	16.63	25.54	1.69	3.26	11.04	0.0	0.0	18.56	2.78	0.0	3.26	0.0	0.0	37.05	4.86	1.17	11.55	40.64	0.0	8.65	13.52	2.86	3.32	1.41	1191.69	1.55	12.09	4.9	3.14	4.66	4.98	11.82	5.68	0.0	28.04	2.32	2.41	15.11	327.56	497.0
HIST3H2BB	64.34	67.59	0.0	8.0	18.7	36.01	42.41	42.41	24.28	4.39	358.54	1.66	54.33	115.97	248.0	0.0	420.68	2.76	136.19	143.01	98.73	3.72	0.0	38.4	50.27	224.97	116.78	70.51	12.55	24.46	0.0	42.71	20.86	109.66	72.01	224.97	100.13	13.32	0.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	3.53	0.0	0.0	0.0	0.0	48.52	2.16	0.0	0.0	0.0	4.7	0.0	5.36	0.0	0.0	0.0	3.06	0.0	0.0	19.53	8.25
HOXB2	84.04	559.28	105.89	29.48	59.97	106.63	110.43	2163.77	476.71	395.18	49.56	48.87	84.04	1073.91	403.5	127.0	206.94	70.01	2609.3	1605.83	723.08	38.12	125.24	325.29	583.07	3794.3	152.28	1023.0	68.07	283.05	66.65	1295.13	518.15	1216.75	67.59	629.35	129.69	92.05	29.91	41.22	57.08	35.5	29.48	24.11	41.52	14.56	13.52	25.72	49.56	14.45	24.46	15.56	23.76	21.78	29.7	14.67	21.16	36.53	87.03	46.5	13.03	23.08	33.06	13.22	34.51	12.18	17.25	36.79	23.08	7.82	68.07	8.13	12.55	32.82	4.86	27.05	26.86	17.0	12.36	11.13	40.36	23.08	15.34	39.79	11.64	12.64	15.0	84.04	17.51	9.48	43.63	25.17	52.82	6.21	18.56	9.63	37.05	47.5	24.28	21.32	105.89	22.26	105.89
HOXB3	67.59	733.19	76.71	31.0	39.5	633.73	60.82	693.58	176.29	98.73	43.94	55.89	57.49	366.09	94.01	66.18	236.21	61.25	934.76	934.76	1030.12	52.82	108.14	221.86	181.28	2935.74	172.65	293.07	80.57	139.07	31.67	476.71	171.45	866.07	40.64	265.87	126.12	54.72	14.89	65.72	92.05	31.67	17.13	23.25	43.02	4.39	9.63	17.51	46.18	8.92	9.93	18.97	16.39	20.86	42.71	8.65	18.29	25.54	119.26	40.36	15.8	48.18	22.75	21.32	16.51	11.21	9.63	31.45	9.06	7.57	89.51	29.91	21.94	16.27	6.01	23.76	21.01	44.57	4.31	15.45	62.56	37.05	26.67	16.03	27.05	8.45	17.25	71.0	23.42	9.2	51.71	39.79	23.42	17.51	8.19	2.66	30.34	29.91	25.91	23.76	25.35	90.14	87.65
HOXB4	17.64	141.02	20.86	7.11	7.22	19.25	21.78	167.9	67.12	14.14	11.38	8.78	14.67	53.19	6.06	14.78	18.97	16.75	98.73	164.42	145.02	10.24	33.54	49.56	13.93	669.92	31.0	144.01	20.26	41.22	10.47	193.01	46.84	10.96	13.93	82.87	25.17	16.51	9.85	18.56	18.84	13.42	10.55	10.0	17.77	4.9	7.46	10.47	25.72	1.5	7.17	12.36	7.69	9.78	16.63	9.06	8.85	9.34	50.63	21.32	8.78	15.45	4.86	7.28	6.16	10.24	6.26	15.11	9.93	4.21	40.36	10.39	7.69	10.63	4.35	6.94	17.25	21.78	1.2	15.8	27.25	9.78	6.16	9.7	7.4	2.07	4.7	33.06	5.36	14.24	13.12	13.52	11.55	4.74	5.82	2.05	10.96	17.64	11.21	6.01	10.79	10.08	7.57
IBSP	24.46	38.12	75.64	76.17	4.24	161.02	69.52	141.02	11.04	43.94	848.22	31.22	121.79	35.5	14.56	57.08	44.57	8.51	8.78	255.0	195.72	490.14	40.64	95.34	2.68	872.1	32.13	3.29	56.28	52.45	2.56	3.47	93.35	14.89	258.57	39.79	71.5	28.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IPO7	1583.71	1313.23	909.17	1304.15	669.92	507.46	1268.46	988.12	1304.15	1651.0	1313.23	1111.82	1407.55	1662.49	1662.49	1030.12	2075.59	1313.23	1119.56	1378.57	1208.34	934.76	748.61	1437.15	878.17	1208.34	1437.15	896.64	791.35	743.43	878.17	1832.01	1745.2	3955.48	1923.14	1304.15	825.0	2032.85	397.93	412.0	432.53	379.04	473.41	409.15	507.46	305.55	180.02	392.44	476.71	444.72	460.44	529.06	373.81	518.15	438.59	327.56	629.35	381.68	435.55	860.08	543.96	346.29	660.68	325.29	209.84	819.3	934.76	389.72	435.55	928.3	447.82	307.69	363.56	567.1	753.83	241.19	444.72	791.35	660.68	412.0	480.04	483.38	500.46	460.44	603.67	447.82	563.18	1127.35	384.34	460.44	301.33	285.03	447.82	665.29	293.07	297.17	412.0	358.54	507.46	497.0	698.41	669.92	567.1
KAT6B	231.32	511.0	307.69	1051.79	420.68	656.11	420.68	131.51	361.04	441.64	921.88	343.89	435.55	255.0	1427.22	3690.52	708.18	208.38	287.01	934.76	239.52	332.14	358.54	444.72	287.01	5006.93	392.44	450.94	412.0	381.68	612.11	309.83	579.04	785.88	438.59	813.63	271.48	214.27	61.25	77.79	76.17	48.87	74.58	80.57	111.99	30.12	32.13	47.84	50.98	43.32	38.95	61.25	50.98	78.34	98.73	38.67	68.55	67.12	117.6	52.45	42.71	43.32	43.63	107.38	35.76	94.01	63.89	55.49	37.85	58.3	72.01	58.3	40.93	79.45	18.56	48.87	22.26	46.18	54.33	41.22	77.79	54.33	63.0	53.57	48.18	48.52	71.0	67.59	66.18	76.17	88.26	81.14	62.12	57.89	36.01	43.32	88.26	55.49	58.3	61.25	77.79	135.24	165.57
KATNAL2	155.5	348.71	35.25	98.73	343.89	124.37	125.24	116.78	195.72	120.1	291.04	417.77	182.55	37.32	309.83	43.02	104.42	114.36	55.49	113.56	224.97	59.97	141.02	83.45	63.45	48.18	63.45	111.21	60.82	339.14	55.49	110.43	112.77	128.79	30.78	74.06	249.73	253.23	46.84	102.25	94.67	50.63	34.75	23.76	45.53	44.57	29.27	63.89	56.68	19.97	37.85	49.91	25.35	37.85	88.88	37.85	32.13	34.02	44.57	12.36	9.56	22.75	17.25	74.06	31.45	35.25	36.27	59.55	28.86	7.11	84.63	75.11	39.22	29.7	3.0	82.29	48.52	59.97	36.27	64.34	103.69	23.76	44.57	28.45	63.0	11.91	14.67	52.45	65.26	46.5	52.82	87.65	31.67	21.47	24.99	24.63	28.45	94.01	53.19	31.67	100.13	70.01	41.81
KCTD1	503.95	647.07	291.04	825.0	698.41	348.71	579.04	507.46	612.11	497.0	796.86	497.0	981.29	100.83	551.56	454.09	275.28	808.0	224.97	387.02	872.1	173.85	244.57	583.07	392.44	356.05	563.18	454.09	624.99	1030.12	358.54	503.95	629.35	599.49	353.59	426.57	444.72	633.73	50.63	110.43	98.73	43.32	44.89	72.01	56.68	28.45	61.68	40.07	57.49	30.56	19.25	36.79	41.22	64.34	55.89	30.12	31.45	42.71	127.0	105.15	19.39	25.17	46.18	90.14	24.81	67.12	45.53	50.63	52.08	26.28	87.03	20.41	53.95	139.07	7.46	46.18	94.67	119.26	8.0	33.54	53.95	51.35	39.22	53.57	90.77	9.63	25.17	53.19	40.07	36.27	46.5	31.9	88.26	13.62	39.79	24.11	35.0	71.5	49.56	37.59	68.55	607.87	521.76
KDM3A	785.88	718.08	476.71	718.08	403.5	518.15	540.19	450.94	633.73	642.59	575.03	423.61	409.15	624.99	688.78	599.49	819.3	791.35	441.64	656.11	325.29	368.65	389.72	647.07	470.14	563.18	624.99	518.15	438.59	1417.35	343.89	669.92	616.37	1073.91	525.39	1073.91	521.76	665.29	186.4	264.03	242.88	150.17	190.34	182.55	246.28	119.26	73.03	147.06	180.02	201.25	165.57	178.77	171.45	187.71	281.09	147.06	248.0	237.86	249.73	153.34	100.83	194.36	111.99	153.34	163.28	208.38	115.16	163.28	90.77	113.56	165.57	500.46	151.22	146.03	165.57	111.99	177.53	127.0	144.01	182.55	239.52	181.28	176.29	146.03	138.1	163.28	173.85	260.38	161.02	218.79	195.72	232.94	177.53	102.97	166.73	126.12	325.29	167.9	132.44	307.69	142.01	395.18	332.14
KIF5C	202.66	275.28	55.49	111.99	74.06	211.31	105.89	221.86	217.27	273.37	320.8	371.22	84.04	58.71	118.43	414.87	96.01	70.51	134.3	368.65	190.34	802.41	158.79	327.56	48.18	595.34	124.37	41.52	57.49	309.83	100.83	111.99	111.99	514.56	133.36	29.7	35.25	163.28	7.69	6.84	7.63	7.46	3.82	4.74	5.68	1.3	0.74	1.93	4.86	1.91	3.2	9.13	5.87	13.62	5.54	2.58	3.92	2.2	6.67	52.82	1.5	9.34	1.79	1.2	3.11	13.52	14.89	3.53	2.92	2.68	4.17	3.17	2.46	2.12	4.82	2.66	24.81	9.34	8.32	10.16	1.17	6.84	1.06	22.26	15.34	1.2	1.31	21.32	1.87	0.67	4.24	4.5	0.4	4.31	0.2	0.0	5.45	1.71	1.38	4.78	6.31	974.5	941.27
KLHDC8A	12.36	13.83	11.47	16.03	22.43	28.45	22.92	22.43	4.35	21.01	27.05	17.0	11.38	8.38	1.14	27.84	11.55	6.46	9.41	9.93	25.54	10.31	16.03	16.75	3.03	30.56	7.4	8.85	13.12	7.51	13.72	11.64	8.38	18.43	10.71	15.11	14.78	18.43	1.43	4.58	1.43	1.39	0.75	1.85	11.91	0.68	1.69	0.0	6.31	2.89	0.0	0.69	1.3	1.2	2.56	3.06	0.0	0.82	10.08	8.78	2.51	0.0	0.0	0.95	7.28	2.12	3.2	0.26	3.08	0.0	11.91	2.92	3.96	7.69	1.1	5.45	0.58	0.0	0.0	5.54	1.22	0.27	0.0	0.0	19.39	0.0	6.57	11.38	0.0	0.0	3.89	7.11	3.92	0.0	0.99	0.0	1.13	0.25	11.13	0.68	8.78	7.17	1.95
LANCL1	890.44	842.36	486.75	791.35	406.31	297.17	567.1	848.22	1073.91	872.1	934.76	825.0	854.13	825.0	688.78	890.44	808.0	703.28	748.61	1044.52	928.3	836.53	529.06	854.13	738.29	915.51	728.11	728.11	441.64	1519.15	536.45	974.5	638.15	1268.46	660.68	1015.93	432.53	140.04	241.19	251.48	226.54	145.02	312.0	214.27	329.84	163.28	191.67	164.42	193.01	158.79	169.07	236.21	209.84	299.25	323.03	187.71	228.13	234.57	309.83	320.8	283.05	260.38	353.59	279.14	295.11	441.64	214.27	429.54	236.21	343.89	327.56	127.89	149.12	493.56	115.97	167.9	154.42	251.48	167.9	239.52	450.94	336.79	301.33	275.28	229.72	147.06	283.05	128.79	131.51	269.6	297.17	112.77	316.37	297.17	147.06	186.4	318.57	232.94	264.03	150.17	366.09	409.15	642.59
LDLRAD4	866.07	1023.0	1447.15	1457.23	5076.84	3614.55	4419.52	241.19	265.87	3018.3	6607.01	4512.4	329.84	1135.2	115.16	1268.46	2061.24	1023.0	1832.01	1135.2	2645.74	2148.82	2835.7	2224.63	698.41	1594.73	2417.67	780.44	583.07	4575.41	1721.16	587.13	2997.45	1088.92	438.59	1594.73	1963.57	3982.99	575.03	525.39	389.72	226.54	249.73	698.41	193.01	483.38	409.15	376.41	142.01	389.72	307.69	189.02	214.27	507.46	206.94	587.13	275.28	224.97	312.0	255.0	412.0	260.38	368.65	713.11	486.75	209.84	214.27	88.88	159.9	172.65	198.47	186.4	63.89	148.09	78.34	94.01	123.5	205.5	698.41	224.97	76.71	769.69	514.56	202.66	323.03	638.15	476.71	141.02	217.27	211.31	353.59	162.14	191.67	361.04	332.14	1104.13	248.0	89.51	167.9	205.5	73.54	3443.31	220.32
LMBR1	796.86	921.88	447.82	738.29	607.87	334.46	595.34	1030.12	1151.06	1001.93	1605.83	981.29	1295.13	775.05	1295.13	1268.46	896.64	1369.04	748.61	1151.06	738.29	620.67	444.72	688.78	616.37	830.75	802.41	743.43	583.07	1674.06	791.35	1159.07	1111.82	2287.2	532.74	974.5	429.54	1199.98	371.22	305.55	303.44	180.02	371.22	334.46	389.72	189.02	258.57	241.19	264.03	267.73	303.44	273.37	305.55	395.18	412.0	255.0	329.84	253.23	260.38	432.53	363.56	199.85	214.27	525.39	267.73	381.68	466.88	368.65	229.72	559.28	343.89	185.11	255.0	466.88	248.0	264.03	135.24	514.56	236.21	293.07	376.41	265.87	260.38	226.54	249.73	239.52	316.37	241.19	220.32	297.17	281.09	303.44	555.41	483.38	182.55	253.23	156.59	256.78	312.0	371.22	521.76	341.51	269.6
LYPD6B	575.03	595.34	420.68	1081.39	277.2	197.09	1733.13	1322.37	902.89	587.13	1991.0	1551.09	1350.18	127.0	2434.5	1477.58	1540.37	1059.11	866.07	356.05	981.29	2119.22	1709.26	1447.15	29.06	733.19	356.05	195.72	616.37	3665.02	693.58	503.95	327.56	1467.37	769.69	361.04	191.67	909.17	11.04	70.01	43.63	11.3	16.27	13.72	12.27	7.51	5.06	10.79	3.11	7.34	17.51	17.9	39.5	4.7	6.89	9.27	9.13	14.45	110.43	2.51	31.9	23.59	1.55	1.2	6.94	9.7	0.12	58.71	3.72	5.06	44.89	0.0	14.35	0.12	0.0	9.13	2.29	40.36	5.54	4.66	6.46	16.75	5.68	27.25	1.66	1.66	11.13	12.83	4.5	10.47	14.14	8.85	34.02	1.19	2.36	5.77	0.34	14.03	22.1	6.31	10.24	1781.89	327.56
MATR3	5517.27	5791.62	5441.3	5594.3	4736.79	3589.58	5076.84	5594.3	5076.84	5872.48	5255.91	5517.27	4095.0	6935.54	3665.02	5183.54	6516.03	3235.01	4328.55	5831.91	5672.41	5995.9	3190.46	6337.83	5913.33	5441.3	6164.49	4358.66	4903.87	5366.37	4095.0	4123.49	5112.16	5711.87	6516.03	6121.9	4038.61	4736.79	1519.15	2075.59	1745.2	1242.34	1639.59	1397.83	2287.2	1191.69	514.56	1295.13	1819.35	1208.34	1417.35	1923.14	1378.57	1844.76	1806.78	1259.69	1806.78	1417.35	2335.28	2855.44	1819.35	1388.16	1662.49	1617.0	1359.57	3820.7	2255.7	1936.53	1639.59	2796.65	2148.82	1001.93	825.0	2335.28	1233.75	1233.75	1388.16	2061.24	1572.76	1313.23	1769.57	1963.57	1594.73	1651.0	1313.23	1250.98	1806.78	2816.11	1008.9	1909.85	1651.0	1096.5	2018.8	2271.4	1313.23	941.27	1268.46	1427.22	1427.22	1119.56	2032.85	3039.3	2915.45
MED13L	1870.53	825.0	500.46	764.36	336.79	353.59	854.13	988.12	2018.8	1143.1	2061.24	612.11	1950.0	718.08	1233.75	1583.71	1104.13	2047.0	813.63	974.5	941.27	551.56	392.44	1259.69	647.07	1529.73	503.95	3235.01	748.61	559.28	2075.59	1508.65	587.13	1909.85	1388.16	1832.01	599.49	819.3	123.5	154.42	131.51	99.43	119.26	145.02	256.78	76.71	49.91	118.43	118.43	85.22	94.01	130.6	97.36	169.07	205.5	67.12	173.85	110.43	273.37	226.54	117.6	89.51	153.34	221.86	81.71	209.84	228.13	122.64	104.42	185.11	163.28	253.23	74.58	114.36	86.43	68.07	49.56	106.63	133.36	102.25	146.03	112.77	223.41	176.29	103.69	105.89	260.38	232.94	94.01	135.24	164.42	111.21	127.0	170.25	80.01	47.5	136.19	102.25	148.09	157.68	161.02	239.52	181.28
METTL15	305.55	221.86	148.09	193.01	142.01	153.34	139.07	151.22	253.23	242.88	325.29	120.1	141.02	218.79	202.66	293.07	260.38	136.19	148.09	169.07	187.71	189.02	271.48	264.03	130.6	212.78	218.79	100.13	141.02	115.97	214.27	289.02	242.88	476.71	232.94	183.82	182.55	171.45	98.04	124.37	114.36	128.79	100.83	115.97	105.89	92.05	44.57	96.01	86.43	78.34	104.42	141.02	104.42	157.68	114.36	118.43	109.66	131.51	97.36	105.15	139.07	114.36	135.24	166.73	78.34	177.53	96.68	105.89	92.05	118.43	115.16	79.45	40.64	121.79	55.49	105.15	91.41	99.43	68.07	81.14	74.06	116.78	88.26	94.67	108.14	105.89	102.25	123.5	138.1	105.15	120.94	93.35	88.26	111.99	95.34	110.43	94.01	80.57	106.63	56.68	132.44	156.59	162.14
MEX3C	511.0	647.07	341.51	417.77	392.44	361.04	547.75	379.04	395.18	444.72	1127.35	529.06	497.0	473.41	603.67	693.58	532.74	629.35	234.57	785.88	381.68	341.51	450.94	525.39	303.44	559.28	493.56	470.14	454.09	426.57	269.6	497.0	599.49	780.44	323.03	679.29	420.68	616.37	137.14	180.02	148.09	130.6	145.02	136.19	164.42	103.69	57.49	90.14	131.51	123.5	99.43	154.42	193.01	127.89	182.55	108.9	223.41	130.6	234.57	166.73	129.69	141.02	120.94	239.52	65.26	156.59	104.42	114.36	66.18	303.44	165.57	75.11	53.19	152.28	143.01	169.07	176.29	170.25	76.17	152.28	139.07	157.68	145.02	115.97	96.68	98.04	96.68	231.32	143.01	130.6	124.37	242.88	126.12	54.72	66.65	88.88	85.22	191.67	153.34	226.54	211.31	165.57	156.59
MKL2	518.15	1051.79	269.6	974.5	591.22	157.68	287.01	406.31	486.75	743.43	1745.2	363.56	395.18	769.69	1857.6	1167.14	808.0	476.71	384.34	693.58	764.36	339.14	432.53	802.41	450.94	3303.0	521.76	713.11	343.89	248.0	395.18	400.71	733.19	1135.2	1151.06	511.0	295.11	400.71	71.0	76.17	48.52	33.78	78.34	84.63	122.64	24.46	39.79	35.0	43.32	39.22	37.05	63.45	53.57	77.25	111.21	34.02	40.36	38.12	68.55	65.26	24.46	76.17	66.18	111.99	68.07	89.51	48.18	91.41	56.68	96.01	105.89	81.71	38.67	147.06	10.88	14.89	11.91	78.34	46.18	36.53	88.26	149.12	110.43	148.09	48.52	53.19	157.68	26.28	26.47	89.51	49.91	44.25	102.97	92.05	33.06	42.41	127.89	38.4	85.82	36.53	129.69	117.6	318.57
MTL5	1208.34	536.45	1199.98	802.41	1322.37	559.28	3467.27	486.75	454.09	1183.45	1081.39	2032.85	429.54	269.6	638.15	647.07	1709.26	1313.23	723.08	283.05	486.75	854.13	256.78	325.29	1051.79	6983.79	500.46	1617.0	305.55	830.75	1096.5	620.67	595.34	1143.1	454.09	884.29	1051.79	902.89	10.08	22.59	16.03	9.2	11.3	7.94	5.54	2.63	4.66	8.45	23.59	10.39	6.52	18.43	5.19	6.89	21.94	4.7	8.58	21.16	61.68	13.52	25.91	20.71	8.65	6.62	8.0	2.12	0.83	2.1	17.77	9.2	2.63	9.34	1.0	32.36	2.29	17.25	18.03	30.12	4.43	28.86	22.59	4.17	10.55	0.66	17.64	5.23	8.78	22.26	4.31	26.1	14.03	6.26	20.71	9.78	4.62	22.59	9.78	36.01	10.39	10.08	21.47	120.94	154.42
NARS	2664.15	2701.35	2240.11	2434.5	1806.78	1977.24	2701.35	3372.43	2555.58	2935.74	2997.45	2591.27	3325.99	3018.3	4268.94	2720.15	2240.11	2502.97	2004.85	3124.78	2384.37	2468.49	1674.06	2287.2	2018.8	1769.57	2520.38	1936.53	2209.26	3467.27	1397.83	2609.3	2664.15	4903.87	1963.57	2573.36	2895.31	3190.46	954.43	1191.69	902.89	902.89	981.29	842.36	988.12	669.92	796.86	728.11	1183.45	785.88	825.0	1191.69	866.07	988.12	1088.92	890.44	1233.75	1044.52	848.22	1991.0	1015.93	1191.69	1242.34	764.36	684.02	1757.34	1733.13	1001.93	1225.22	1561.89	954.43	884.29	1127.35	872.1	1242.34	723.08	1259.69	1685.71	1369.04	961.07	981.29	1508.65	1286.18	1096.5	1477.58	1407.55	1467.37	1457.23	775.05	1037.29	665.29	796.86	1151.06	1498.22	703.28	599.49	1119.56	947.83	1540.37	902.89	1111.82	1685.71	1369.04
NIN	327.56	426.57	246.28	387.02	144.01	208.38	181.28	208.38	212.78	384.34	575.03	197.09	309.83	293.07	435.55	607.87	358.54	358.54	195.72	796.86	137.14	220.32	217.27	327.56	289.02	283.05	336.79	438.59	406.31	260.38	301.33	198.47	521.76	583.07	248.0	312.0	260.38	277.2	53.57	90.14	75.64	38.95	69.03	71.0	71.5	33.78	20.41	38.12	47.17	42.11	59.55	72.52	47.84	82.29	92.05	43.94	76.71	66.65	182.55	104.42	59.55	63.89	49.91	59.55	36.01	110.43	74.58	59.13	57.49	63.45	73.03	48.87	16.51	119.26	62.56	61.68	47.17	153.34	31.9	62.56	44.25	98.04	58.71	40.93	60.82	31.0	61.68	181.28	40.07	37.59	43.32	36.79	49.21	57.08	31.67	42.41	75.64	66.65	54.72	58.71	37.32	88.26	212.78
