	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
SENP1	129.69	332.14	218.79	249.73	273.37	229.72	154.42	305.55	145.02	141.02	112.77	214.27	126.12	113.56	111.21	130.6	323.03	251.48	127.89	271.48	205.5	253.23	373.81	177.53	303.44	145.02	297.17	136.19	178.77	264.03	134.3	94.67	251.48	251.48	178.77	193.01	162.14	246.28	146.03	279.14	356.05	195.72	221.86	189.02	285.03	329.84	624.99	170.25	251.48	183.82	170.25	151.22	258.57	201.25	110.43	389.72	177.53	149.12	191.67	131.51	195.72	153.34	229.72	246.28	105.89	232.94	171.45	201.25	381.68	212.78	242.88	229.72	151.22	170.25	98.04	167.9	126.12	265.87	320.8	295.11	234.57	132.44	127.89	82.87	181.28	78.89	41.81	38.67	53.57	42.41	50.98	44.57	27.25	44.25	52.08	52.45	51.71	45.85	30.12	36.01	60.82	45.53	43.02	36.27	67.12	43.32	45.21	22.59
SLX4IP	19.39	165.57	66.18	94.67	99.43	18.7	34.75	92.05	15.8	35.5	46.18	56.68	45.21	6.16	7.17	40.64	90.14	96.68	38.95	112.77	52.08	118.43	68.55	46.84	89.51	40.36	64.34	15.34	68.55	104.42	39.5	35.5	88.88	73.03	38.95	34.75	29.91	53.19	40.07	146.03	66.65	116.78	74.58	98.73	143.01	61.25	85.82	38.67	78.34	108.14	84.63	111.99	68.55	43.02	37.05	76.71	67.59	13.03	16.75	46.18	15.68	16.03	92.7	18.84	36.53	58.3	56.68	28.04	31.22	61.68	93.35	60.39	43.63	47.84	27.05	38.12	42.71	24.46	108.9	98.04	85.22	52.08	30.12	57.08	63.0	19.53	13.22	7.88	11.13	4.62	15.56	6.78	6.41	12.64	7.82	13.12	11.91	16.39	12.0	18.29	16.88	10.39	15.8	8.85	10.55	9.93	24.11	10.63
SP1	447.82	988.12	974.5	796.86	830.75	728.11	511.0	1313.23	785.88	514.56	447.82	825.0	551.56	336.79	460.44	521.76	1096.5	836.53	579.04	796.86	896.64	915.51	1572.76	603.67	909.17	688.78	808.0	555.41	718.08	1151.06	813.63	438.59	860.08	1008.9	825.0	616.37	698.41	616.37	669.92	878.17	480.04	753.83	872.1	830.75	1023.0	1127.35	1183.45	674.59	961.07	896.64	830.75	660.68	974.5	651.58	529.06	954.43	791.35	423.61	638.15	629.35	708.18	476.71	514.56	733.19	435.55	540.19	679.29	941.27	928.3	656.11	878.17	607.87	759.08	579.04	346.29	708.18	500.46	764.36	854.13	1051.79	759.08	563.18	353.59	435.55	669.92	248.0	143.01	185.11	183.82	149.12	167.9	232.94	127.0	185.11	223.41	267.73	194.36	186.4	154.42	189.02	221.86	271.48	231.32	144.01	237.86	183.82	197.09	142.01
SPTY2D1	108.9	447.82	587.13	249.73	624.99	234.57	325.29	409.15	217.27	199.85	201.25	432.53	409.15	157.68	258.57	209.84	486.75	334.46	239.52	376.41	305.55	316.37	555.41	220.32	438.59	409.15	332.14	212.78	320.8	358.54	260.38	147.06	236.21	376.41	255.0	265.87	242.88	277.2	145.02	409.15	258.57	406.31	409.15	291.04	571.05	587.13	647.07	299.25	358.54	483.38	248.0	361.04	698.41	366.09	195.72	441.64	420.68	221.86	353.59	262.2	314.17	217.27	329.84	195.72	211.31	221.86	305.55	265.87	277.2	237.86	348.71	379.04	361.04	223.41	157.68	376.41	115.16	232.94	860.08	547.75	332.14	231.32	232.94	133.36	244.57	111.21	74.58	75.11	62.56	104.42	66.65	92.05	64.8	71.5	89.51	80.57	68.07	93.35	69.52	56.68	77.79	89.51	102.25	67.12	98.73	87.65	75.64	72.52
SRP72	785.88	2915.45	2555.58	2119.22	4095.0	2701.35	2502.97	1651.0	1225.22	974.5	1104.13	1467.37	2271.4	1709.26	2090.03	1572.76	2434.5	2400.97	1909.85	1832.01	2485.67	2537.92	2796.65	1674.06	2032.85	1909.85	1721.16	1313.23	1950.0	3280.18	1909.85	1051.79	2018.8	2032.85	2178.83	1447.15	1378.57	1498.22	2271.4	4704.07	1721.16	2240.11	2032.85	2240.11	2855.44	2915.45	3124.78	2119.22	1733.13	1540.37	2104.58	1359.57	2609.3	1697.45	1250.98	3564.78	2255.7	1397.83	2956.17	1208.34	2319.15	1350.18	3395.89	1350.18	2287.2	2777.33	1369.04	2367.9	1883.54	1923.14	1870.53	1857.6	1628.26	1001.93	1498.22	2777.33	1350.18	1388.16	2061.24	1769.57	2075.59	2075.59	1936.53	1183.45	1322.37	981.29	511.0	563.18	708.18	432.53	802.41	1088.92	738.29	915.51	1015.93	698.41	514.56	753.83	647.07	769.69	830.75	1216.75	848.22	1127.35	872.1	1044.52	660.68	450.94
STK4	209.84	420.68	246.28	242.88	389.72	121.79	320.8	264.03	197.09	185.11	189.02	201.25	186.4	177.53	139.07	185.11	769.69	249.73	158.79	361.04	297.17	500.46	420.68	197.09	332.14	151.22	135.24	176.29	195.72	307.69	285.03	264.03	336.79	329.84	327.56	336.79	198.47	229.72	277.2	435.55	277.2	356.05	285.03	246.28	403.5	559.28	379.04	325.29	256.78	400.71	277.2	273.37	234.57	237.86	182.55	444.72	232.94	144.01	275.28	187.71	173.85	137.14	295.11	228.13	90.77	387.02	198.47	287.01	209.84	182.55	253.23	289.02	237.86	129.69	108.14	249.73	191.67	309.83	325.29	373.81	463.65	187.71	205.5	172.65	221.86	135.24	82.87	98.04	104.42	69.52	91.41	110.43	70.51	97.36	148.09	113.56	122.64	129.69	82.87	81.71	104.42	77.25	131.51	74.06	117.6	108.14	80.01	61.68
STRN3	177.53	397.93	540.19	503.95	493.56	457.25	563.18	620.67	417.77	314.17	181.28	409.15	450.94	332.14	229.72	358.54	511.0	547.75	463.65	521.76	830.75	532.74	836.53	525.39	981.29	336.79	529.06	497.0	403.5	432.53	447.82	193.01	457.25	595.34	242.88	423.61	366.09	450.94	571.05	612.11	366.09	612.11	460.44	612.11	633.73	802.41	902.89	497.0	660.68	872.1	483.38	275.28	607.87	571.05	237.86	1709.26	521.76	395.18	412.0	334.46	403.5	204.07	463.65	400.71	346.29	698.41	376.41	361.04	693.58	638.15	669.92	435.55	497.0	392.44	293.07	525.39	361.04	412.0	830.75	297.17	450.94	473.41	457.25	444.72	432.53	293.07	217.27	155.5	138.1	139.07	141.02	169.07	164.42	253.23	165.57	221.86	75.64	165.57	133.36	96.01	180.02	181.28	104.42	144.01	237.86	131.51	157.68	111.21
TAOK1	140.04	414.87	392.44	221.86	603.67	198.47	285.03	638.15	169.07	285.03	122.64	316.37	351.14	139.07	151.22	201.25	470.14	400.71	267.73	518.15	329.84	728.11	591.22	190.34	514.56	269.6	343.89	193.01	551.56	353.59	212.78	98.04	529.06	460.44	258.57	320.8	234.57	470.14	262.2	647.07	361.04	748.61	339.14	320.8	457.25	575.03	884.29	209.84	417.77	808.0	256.78	314.17	480.04	159.9	178.77	591.22	392.44	186.4	175.07	251.48	256.78	129.69	381.68	262.2	148.09	368.65	285.03	228.13	297.17	316.37	412.0	348.71	214.27	150.17	150.17	336.79	356.05	224.97	392.44	351.14	587.13	267.73	178.77	400.71	228.13	100.13	82.29	65.26	48.52	59.55	69.03	102.97	42.71	74.58	112.77	129.69	65.72	75.11	64.8	84.63	79.45	90.77	102.97	47.17	93.35	94.01	90.77	28.65
TMEM184C	131.51	368.65	392.44	612.11	698.41	316.37	348.71	447.82	237.86	229.72	161.02	316.37	346.29	194.36	289.02	299.25	480.04	493.56	379.04	441.64	301.33	543.96	457.25	444.72	638.15	361.04	507.46	241.19	417.77	497.0	283.05	182.55	571.05	447.82	305.55	305.55	295.11	486.75	301.33	607.87	305.55	450.94	420.68	368.65	599.49	525.39	780.44	249.73	547.75	490.14	316.37	323.03	454.09	353.59	176.29	567.1	409.15	232.94	363.56	267.73	281.09	185.11	616.37	348.71	285.03	389.72	281.09	441.64	279.14	518.15	361.04	435.55	323.03	285.03	234.57	343.89	373.81	309.83	575.03	356.05	587.13	307.69	575.03	343.89	343.89	162.14	92.05	145.02	86.43	98.73	169.07	149.12	135.24	100.13	182.55	231.32	220.32	148.09	72.52	158.79	135.24	199.85	158.79	70.51	117.6	124.37	148.09	116.78
TMPPE	8.19	18.16	21.94	17.38	26.47	8.78	21.01	21.16	2.89	11.64	10.71	8.92	10.88	7.51	23.08	13.12	30.12	18.03	6.16	19.97	21.63	10.55	22.92	7.34	38.4	9.2	11.64	15.45	13.62	35.5	19.11	11.47	19.82	16.03	17.25	22.1	9.63	4.7	12.55	19.68	9.48	18.56	14.35	18.29	26.28	23.42	14.89	11.91	13.72	54.33	18.84	11.38	19.11	12.09	9.48	22.26	16.27	9.06	12.74	14.56	7.51	6.78	11.47	10.16	12.64	9.2	11.55	22.59	21.78	9.48	13.93	11.64	7.11	23.59	10.96	15.45	13.62	11.21	27.25	33.06	14.24	7.51	4.39	16.63	16.27	10.0	5.36	3.44	3.96	2.53	9.78	6.84	5.32	6.26	5.45	4.03	15.22	5.06	3.82	3.03	6.01	8.58	4.9	2.29	4.66	3.47	4.06	3.56
TMTC3	110.43	253.23	159.9	224.97	127.0	84.63	126.12	205.5	118.43	96.68	83.45	172.65	169.07	68.07	122.64	83.45	244.57	543.96	111.21	244.57	220.32	262.2	403.5	99.43	251.48	175.07	186.4	119.26	206.94	253.23	101.54	77.25	224.97	285.03	229.72	114.36	166.73	105.15	113.56	226.54	124.37	262.2	181.28	171.45	432.53	429.54	616.37	167.9	180.02	258.57	226.54	115.97	223.41	212.78	59.97	329.84	132.44	100.83	120.94	138.1	128.79	124.37	137.14	187.71	78.34	241.19	176.29	241.19	158.79	226.54	175.07	105.89	217.27	107.38	84.04	223.41	253.23	171.45	287.01	175.07	218.79	122.64	165.57	49.91	206.94	54.33	38.67	58.71	45.21	39.22	36.01	24.99	49.21	40.36	73.54	63.45	46.5	37.32	43.02	27.84	43.32	40.64	52.45	23.59	65.72	39.79	57.49	21.47
TNPO1	258.57	1073.91	599.49	1088.92	830.75	435.55	543.96	1015.93	305.55	536.45	368.65	693.58	323.03	353.59	267.73	607.87	1340.84	1159.07	463.65	1030.12	921.88	1044.52	1295.13	503.95	775.05	633.73	567.1	567.1	647.07	1183.45	447.82	417.77	896.64	1044.52	665.29	656.11	414.87	616.37	403.5	1457.23	941.27	967.76	733.19	728.11	1073.91	1487.87	2384.37	503.95	780.44	1359.57	890.44	902.89	1023.0	612.11	420.68	1498.22	967.76	301.33	460.44	587.13	909.17	373.81	796.86	366.09	397.93	486.75	854.13	684.02	647.07	842.36	764.36	674.59	713.11	599.49	423.61	738.29	587.13	583.07	1088.92	967.76	1359.57	555.41	567.1	397.93	529.06	275.28	122.64	108.9	157.68	181.28	204.07	205.5	231.32	195.72	281.09	127.0	152.28	152.28	170.25	127.0	156.59	327.56	327.56	279.14	303.44	80.01	166.73	116.78
TOP1	698.41	1651.0	1151.06	1745.2	1359.57	1127.35	1674.06	1572.76	1127.35	1159.07	1572.76	1378.57	1023.0	684.02	988.12	1023.0	2047.0	1467.37	1225.22	1733.13	1572.76	1594.73	1769.57	961.07	1617.0	1295.13	1397.83	854.13	1143.1	2004.85	1143.1	1259.69	1359.57	1733.13	2119.22	988.12	1216.75	2351.53	1175.27	1923.14	1617.0	1397.83	1081.39	1175.27	1572.76	1819.35	1709.26	1191.69	1008.9	1304.15	1651.0	1477.58	1259.69	1250.98	890.44	1304.15	1437.15	688.78	1639.59	947.83	1225.22	915.51	1561.89	988.12	753.83	1447.15	1104.13	1313.23	995.0	1639.59	1407.55	1225.22	1721.16	1073.91	764.36	1001.93	748.61	1397.83	1757.34	1709.26	1819.35	981.29	1286.18	860.08	1388.16	575.03	400.71	480.04	466.88	289.02	409.15	473.41	392.44	559.28	698.41	403.5	343.89	444.72	295.11	348.71	403.5	583.07	616.37	293.07	529.06	438.59	420.68	248.0
TRAPPC6B	281.09	260.38	389.72	429.54	470.14	441.64	397.93	351.14	441.64	228.13	218.79	379.04	277.2	293.07	299.25	361.04	379.04	366.09	341.51	312.0	902.89	438.59	454.09	309.83	567.1	285.03	480.04	384.34	466.88	307.69	371.22	191.67	429.54	444.72	182.55	339.14	353.59	368.65	353.59	447.82	246.28	392.44	406.31	327.56	423.61	497.0	808.0	265.87	466.88	629.35	435.55	242.88	457.25	376.41	212.78	555.41	454.09	366.09	307.69	281.09	403.5	221.86	460.44	403.5	336.79	323.03	232.94	466.88	368.65	339.14	638.15	473.41	497.0	262.2	312.0	363.56	381.68	343.89	497.0	579.04	318.57	414.87	583.07	241.19	351.14	325.29	271.48	204.07	140.04	255.0	191.67	191.67	165.57	181.28	153.34	214.27	132.44	229.72	177.53	121.79	215.77	136.19	131.51	152.28	244.57	206.94	140.04	97.36
TRIM44	42.41	1175.27	1037.29	441.64	1088.92	293.07	503.95	813.63	186.4	346.29	199.85	559.28	341.51	234.57	183.82	395.18	921.88	909.17	275.28	587.13	616.37	629.35	915.51	470.14	896.64	460.44	441.64	299.25	470.14	536.45	356.05	199.85	698.41	612.11	376.41	525.39	267.73	420.68	1044.52	595.34	450.94	684.02	723.08	406.31	764.36	866.07	1397.83	414.87	718.08	928.3	414.87	620.67	1225.22	483.38	368.65	1397.83	967.76	120.94	283.05	379.04	403.5	329.84	497.0	242.88	406.31	2796.65	387.02	429.54	642.59	291.04	543.96	447.82	432.53	483.38	400.71	381.68	226.54	567.1	2163.77	559.28	575.03	339.14	395.18	339.14	341.51	143.01	108.9	143.01	127.0	224.97	113.56	204.07	177.53	139.07	194.36	111.99	120.94	101.54	63.89	131.51	128.79	231.32	118.43	215.77	151.22	181.28	165.57	277.2
UBA6	114.36	529.06	575.03	624.99	866.07	228.13	271.48	450.94	239.52	220.32	287.01	435.55	244.57	180.02	194.36	221.86	698.41	318.57	264.03	339.14	620.67	395.18	780.44	226.54	429.54	361.04	277.2	182.55	285.03	796.86	190.34	136.19	1295.13	348.71	363.56	220.32	289.02	287.01	208.38	651.58	348.71	480.04	450.94	316.37	842.36	665.29	688.78	249.73	543.96	656.11	384.34	384.34	878.17	167.9	172.65	842.36	432.53	169.07	283.05	249.73	397.93	111.99	476.71	204.07	158.79	507.46	540.19	518.15	384.34	323.03	253.23	221.86	185.11	271.48	150.17	156.59	320.8	289.02	514.56	607.87	384.34	348.71	363.56	231.32	271.48	86.43	36.79	99.43	57.89	34.51	74.06	73.54	55.1	76.17	115.97	69.52	64.8	95.34	60.82	92.7	61.25	66.65	101.54	65.26	89.51	82.29	98.73	63.0
UBXN7	71.0	285.03	214.27	283.05	279.14	136.19	175.07	281.09	157.68	140.04	110.43	113.56	106.63	85.22	91.41	154.42	332.14	260.38	152.28	348.71	182.55	221.86	454.09	142.01	224.97	198.47	198.47	141.02	149.12	343.89	153.34	64.8	167.9	242.88	149.12	150.17	140.04	215.77	189.02	236.21	124.37	223.41	199.85	237.86	400.71	387.02	457.25	218.79	297.17	379.04	226.54	221.86	341.51	123.5	111.99	332.14	295.11	139.07	204.07	178.77	164.42	82.87	277.2	190.34	96.68	123.5	183.82	176.29	209.84	208.38	231.32	209.84	150.17	115.16	108.9	182.55	133.36	185.11	289.02	341.51	191.67	172.65	180.02	124.37	111.99	55.89	35.76	62.12	38.67	22.26	44.57	40.64	39.79	42.41	59.97	64.34	57.89	38.4	32.59	38.4	48.18	48.87	53.95	43.32	55.49	41.52	45.21	39.22
UEVLD	154.42	647.07	688.78	226.54	854.13	343.89	392.44	490.14	246.28	269.6	206.94	591.22	642.59	208.38	291.04	279.14	587.13	460.44	253.23	514.56	417.77	571.05	629.35	400.71	460.44	665.29	503.95	329.84	387.02	476.71	316.37	291.04	314.17	423.61	363.56	373.81	346.29	381.68	165.57	426.57	441.64	490.14	497.0	309.83	651.58	743.43	848.22	371.22	379.04	660.68	262.2	435.55	1059.11	332.14	202.66	540.19	389.72	339.14	384.34	400.71	327.56	307.69	406.31	236.21	204.07	198.47	373.81	406.31	303.44	246.28	620.67	454.09	381.68	373.81	159.9	409.15	171.45	371.22	981.29	518.15	381.68	260.38	376.41	323.03	381.68	156.59	111.21	113.56	84.63	70.51	94.01	114.36	100.13	101.54	100.83	80.57	113.56	172.65	119.26	100.13	73.54	149.12	151.22	94.01	156.59	128.79	110.43	52.45
UHRF1BP1	57.49	251.48	124.37	146.03	224.97	94.01	104.42	199.85	82.29	127.89	57.08	118.43	130.6	97.36	131.51	120.94	249.73	229.72	138.1	236.21	177.53	201.25	256.78	165.57	234.57	131.51	116.78	98.73	147.06	316.37	114.36	251.48	175.07	167.9	217.27	159.9	90.77	126.12	100.83	698.41	116.78	206.94	206.94	241.19	193.01	305.55	279.14	136.19	214.27	260.38	141.02	231.32	514.56	83.45	144.01	264.03	265.87	82.29	150.17	204.07	138.1	79.45	231.32	132.44	246.28	92.05	108.9	115.16	273.37	149.12	470.14	115.16	102.25	114.36	75.64	183.82	133.36	170.25	197.09	204.07	113.56	138.1	91.41	113.56	103.69	61.68	35.76	43.63	35.76	20.26	43.63	78.34	54.33	50.63	90.14	92.05	88.88	58.71	35.5	71.0	38.67	63.89	77.25	74.58	51.71	54.33	43.94	18.43
USP37	25.91	241.19	162.14	133.36	236.21	72.01	66.18	181.28	53.95	27.44	29.91	134.3	102.97	38.67	46.84	77.25	244.57	107.38	62.12	110.43	156.59	193.01	435.55	72.52	138.1	60.82	103.69	58.71	81.14	229.72	68.07	34.02	178.77	140.04	132.44	115.16	52.45	120.94	105.15	89.51	86.43	150.17	141.02	191.67	190.34	251.48	206.94	116.78	244.57	162.14	94.01	104.42	206.94	75.11	47.17	387.02	178.77	27.05	61.68	110.43	99.43	22.92	165.57	45.53	55.1	102.25	82.87	103.69	131.51	118.43	105.89	65.72	39.79	85.82	49.21	152.28	90.77	81.14	287.01	128.79	161.02	84.04	48.87	53.19	50.98	13.72	12.18	11.04	15.22	14.24	16.88	11.91	11.21	14.89	27.44	19.82	12.55	10.63	9.7	18.03	12.27	11.82	23.08	7.75	14.45	10.16	16.03	4.24
USP38	71.0	260.38	256.78	457.25	579.04	165.57	271.48	497.0	195.72	127.0	110.43	195.72	241.19	143.01	176.29	163.28	406.31	417.77	220.32	256.78	295.11	297.17	466.88	223.41	373.81	409.15	287.01	181.28	223.41	532.74	185.11	151.22	343.89	339.14	154.42	199.85	195.72	226.54	224.97	363.56	303.44	303.44	281.09	293.07	423.61	514.56	674.59	209.84	269.6	325.29	376.41	199.85	260.38	248.0	150.17	417.77	320.8	155.5	343.89	151.22	201.25	137.14	890.44	198.47	197.09	255.0	212.78	293.07	212.78	426.57	318.57	258.57	253.23	202.66	165.57	525.39	218.79	234.57	438.59	301.33	379.04	197.09	497.0	183.82	201.25	105.89	69.52	116.78	85.22	99.43	99.43	93.35	84.63	157.68	99.43	88.26	77.79	84.04	96.01	62.56	111.21	136.19	128.79	44.89	119.26	48.87	114.36	105.15
VPS41	271.48	961.07	842.36	848.22	1037.29	669.92	483.38	1111.82	438.59	511.0	248.0	1096.5	543.96	591.22	299.25	525.39	1519.15	988.12	363.56	819.3	624.99	928.3	1233.75	599.49	521.76	435.55	775.05	665.29	693.58	808.0	346.29	764.36	928.3	921.88	785.88	480.04	392.44	934.76	909.17	1295.13	567.1	1073.91	620.67	656.11	1119.56	1111.82	941.27	587.13	878.17	995.0	567.1	808.0	848.22	713.11	417.77	1477.58	1159.07	551.56	633.73	603.67	450.94	395.18	595.34	466.88	575.03	748.61	934.76	698.41	363.56	941.27	1001.93	1008.9	688.78	769.69	412.0	575.03	713.11	684.02	1407.55	967.76	1427.22	555.41	543.96	483.38	435.55	366.09	189.02	226.54	269.6	229.72	249.73	299.25	265.87	189.02	164.42	176.29	244.57	363.56	133.36	214.27	309.83	237.86	246.28	285.03	224.97	287.01	194.36	201.25
WDR3	57.08	543.96	297.17	397.93	412.0	323.03	363.56	417.77	194.36	124.37	172.65	291.04	251.48	197.09	248.0	283.05	490.14	297.17	191.67	457.25	264.03	323.03	665.29	303.44	379.04	208.38	409.15	178.77	253.23	358.54	283.05	141.02	500.46	303.44	414.87	299.25	155.5	291.04	301.33	733.19	463.65	316.37	332.14	426.57	684.02	555.41	262.2	384.34	389.72	343.89	356.05	490.14	420.68	199.85	267.73	587.13	629.35	122.64	486.75	312.0	325.29	223.41	363.56	158.79	256.78	438.59	460.44	264.03	336.79	147.06	332.14	176.29	224.97	242.88	332.14	186.4	161.02	206.94	928.3	447.82	500.46	426.57	244.57	103.69	134.3	117.6	82.29	84.63	52.08	39.5	105.15	63.89	76.71	71.5	92.05	28.04	50.98	55.49	48.87	82.87	67.12	50.27	98.73	130.6	72.52	89.51	41.81	158.79
ZFR	417.77	1088.92	1104.13	1233.75	791.35	728.11	723.08	1015.93	780.44	703.28	674.59	872.1	872.1	518.15	612.11	813.63	1225.22	995.0	967.76	796.86	830.75	934.76	1322.37	1104.13	988.12	819.3	1008.9	693.58	915.51	1397.83	669.92	638.15	1359.57	934.76	693.58	967.76	941.27	1096.5	878.17	995.0	1008.9	1081.39	1015.93	825.0	866.07	1508.65	1561.89	796.86	1135.2	1135.2	866.07	909.17	967.76	825.0	642.59	1388.16	1104.13	708.18	674.59	769.69	909.17	559.28	1359.57	860.08	579.04	909.17	791.35	902.89	1044.52	1037.29	825.0	743.43	902.89	791.35	518.15	1135.2	521.76	819.3	1183.45	1044.52	1225.22	981.29	1015.93	638.15	830.75	470.14	332.14	353.59	476.71	323.03	457.25	376.41	341.51	395.18	493.56	466.88	323.03	351.14	356.05	341.51	395.18	543.96	460.44	343.89	540.19	450.94	507.46	148.09
ZNF148	72.52	470.14	403.5	327.56	379.04	197.09	204.07	476.71	141.02	173.85	130.6	309.83	218.79	118.43	112.77	166.73	486.75	412.0	220.32	381.68	260.38	379.04	348.71	201.25	420.68	220.32	309.83	251.48	142.01	450.94	221.86	110.43	409.15	444.72	305.55	258.57	175.07	205.5	253.23	395.18	201.25	412.0	397.93	371.22	543.96	514.56	466.88	273.37	438.59	612.11	260.38	371.22	490.14	157.68	176.29	397.93	441.64	148.09	223.41	299.25	297.17	111.99	309.83	157.68	165.57	157.68	403.5	307.69	291.04	307.69	305.55	205.5	249.73	218.79	141.02	251.48	135.24	283.05	642.59	547.75	323.03	269.6	202.66	205.5	208.38	94.67	45.21	91.41	63.45	48.87	85.22	73.03	52.45	69.52	100.83	88.26	95.34	87.03	64.34	47.5	72.01	107.38	103.69	68.55	110.43	73.54	81.71	34.26
