	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZUS.2526.SM.59872	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPIC.0926.SM.4IHLV	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.S4Z8.0526.SM.4AD4T	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A4V5.01A.11R.A250.07
TLE2	193.01	197.09	46.84	134.3	432.53	43.32	329.84	63.0	381.68	241.19	204.07	314.17	77.25	251.48	246.28	215.77	199.85	470.14	59.13	275.28	159.9	162.14	224.97	201.25	166.73	234.57	42.41	82.29	384.34	339.14	275.28	158.79	339.14	0.0	0.97	2758.13	1950.0	2224.63	1397.83	1594.73	2434.5	1685.71	2400.97	1457.23	2133.97	1991.0	1709.26	2104.58	2816.11	2004.85	2004.85	1709.26	2178.83	1685.71	2303.12	2451.44	1977.24	2351.53	2682.69	1757.34
TMEM179B	1529.73	1832.01	1806.78	1378.57	1977.24	1844.76	1832.01	1806.78	1104.13	1295.13	1242.34	2061.24	1857.6	1583.71	1745.2	1508.65	2032.85	1216.75	1519.15	1923.14	1277.29	1674.06	1651.0	1183.45	1199.98	2104.58	1572.76	1540.37	1081.39	1199.98	1594.73	1397.83	1427.22	0.0	0.73	3124.78	2287.2	2400.97	3325.99	2384.37	2255.7	2591.27	3060.45	2303.12	2367.9	2178.83	2090.03	2271.4	2956.17	2701.35	2335.28	2351.53	2915.45	2367.9	2875.3	3395.89	3018.3	2555.58	1819.35	2271.4
TMEM215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	120.94	66.65	176.29	109.66	54.33	14.78	116.78	132.44	329.84	35.0	7.4	55.49	157.68	211.31	269.6	117.6	38.12	39.5	8.92	9.93	171.45	94.67	69.03	6.78	69.52
TMEM88B	0.0	0.0	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.45	0.0	0.0	0.0	0.0	0.0	220.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.11	3.38	1.93	2.76	14.56	1.89	14.78	0.0	30.34	8.45	0.0	53.19	14.67	3.59	7.06	8.78	13.03	0.0	6.11	7.69	9.93	20.71	21.16	9.34
TRPC5	2.01	3.41	6.62	0.89	2.03	25.91	12.09	11.64	0.84	21.63	3.23	3.63	25.72	4.1	3.76	4.13	26.47	2.48	6.36	10.0	4.13	2.63	18.03	2.43	5.45	7.75	7.0	3.11	3.56	7.88	6.78	10.88	4.24	0.0	0.0	144.01	106.63	44.57	82.87	138.1	44.57	89.51	293.07	116.78	94.01	34.75	150.17	397.93	327.56	117.6	118.43	166.73	110.43	209.84	38.12	381.68	96.68	99.43	173.85	43.63
TTLL3	71.0	215.77	26.86	98.73	50.27	45.85	80.01	28.65	221.86	73.54	153.34	85.22	59.55	127.89	180.02	173.85	158.79	309.83	75.11	81.14	51.35	144.01	78.34	256.78	96.01	153.34	39.5	149.12	151.22	166.73	71.0	94.67	191.67	0.0	1.08	1628.26	1030.12	1233.75	791.35	769.69	988.12	607.87	1096.5	860.08	1757.34	612.11	679.29	656.11	884.29	791.35	713.11	616.37	1674.06	1175.27	995.0	759.08	954.43	1135.2	595.34	1044.52
UCP2	91.41	2451.44	723.08	221.86	1628.26	679.29	255.0	1388.16	348.71	460.44	332.14	173.85	1583.71	185.11	143.01	217.27	947.83	414.87	435.55	346.29	753.83	231.32	1674.06	363.56	1216.75	480.04	166.73	1685.71	212.78	417.77	323.03	98.04	497.0	1572.76	441.64	6935.54	6121.9	6516.03	13215.02	8363.13	10512.82	7966.99	12676.65	6561.36	9740.98	5403.7	6840.04	8247.98	7537.18	6250.56	7382.04	10808.41	9808.75	6887.62	6164.49	10659.59	9876.98	7081.29	7130.55	5711.87
VSX1	0.0	1.46	2.68	1.64	2.29	2.36	0.0	2.56	0.0	0.0	0.0	0.92	0.0	0.0	0.6	0.0	0.0	4.94	0.0	0.0	0.0	0.0	0.33	0.24	0.37	0.27	3.44	0.44	0.21	2.07	1.77	0.0	7.17	0.0	0.1	2.48	2.1	2.1	1.53	0.91	2.34	7.51	0.31	3.11	0.92	0.6	3.0	0.32	3.99	4.24	12.27	2.18	4.82	4.39	4.58	8.65	2.68	3.63	5.32	0.61
YIPF2	842.36	813.63	796.86	1104.13	1250.98	1159.07	665.29	503.95	753.83	507.46	693.58	1127.35	665.29	947.83	1225.22	753.83	638.15	1008.9	728.11	884.29	785.88	1104.13	1073.91	629.35	616.37	1250.98	435.55	1001.93	633.73	733.19	775.05	902.89	1119.56	3874.05	12244.81	2384.37	2047.0	2255.7	2032.85	1936.53	2701.35	2119.22	2271.4	2287.2	1923.14	2193.99	2255.7	1950.0	2384.37	2384.37	2287.2	2148.82	2178.83	2119.22	1896.65	2520.38	3018.3	2047.0	1721.16	2255.7
YIPF3	2224.63	2956.17	2935.74	1709.26	2271.4	2271.4	1883.54	2255.7	1794.29	1407.55	1605.83	2451.44	3395.89	1977.24	2224.63	1639.59	3146.52	1757.34	3081.75	2303.12	2335.28	3235.01	3124.78	1477.58	2816.11	3168.41	2777.33	2004.85	1572.76	1806.78	2895.31	1662.49	2119.22	2835.7	363.56	4066.71	3467.27	3280.18	3540.14	3515.68	4512.4	3190.46	4010.71	3768.09	3716.2	3589.58	3303.0	3665.02	4038.61	3955.48	3690.52	3639.7	3443.31	3349.13	3349.13	4152.18	4358.66	3515.68	3081.75	3614.55
ZBTB7A	178.77	273.37	141.02	139.07	251.48	110.43	204.07	171.45	172.65	189.02	127.89	72.52	325.29	277.2	138.1	134.3	376.41	217.27	139.07	182.55	191.67	187.71	224.97	198.47	291.04	117.6	144.01	135.24	193.01	229.72	265.87	150.17	236.21	228.13	1066.48	291.04	432.53	392.44	320.8	334.46	316.37	329.84	532.74	366.09	423.61	336.79	392.44	579.04	480.04	336.79	287.01	400.71	441.64	400.71	381.68	358.54	387.02	432.53	435.55	376.41
ZCCHC3	55.89	88.26	55.1	127.0	42.11	26.1	55.89	40.07	45.53	38.67	34.02	81.14	78.89	46.84	42.11	44.89	90.77	60.82	84.04	77.79	40.93	75.11	57.49	115.97	68.55	41.81	18.97	75.11	57.08	49.56	34.02	63.45	59.13	0.0	0.22	161.02	115.97	140.04	120.94	132.44	103.69	126.12	147.06	115.97	138.1	98.04	105.89	136.19	204.07	155.5	94.01	123.5	124.37	102.97	141.02	129.69	115.16	220.32	144.01	119.26
ZFYVE27	406.31	379.04	197.09	291.04	341.51	150.17	194.36	343.89	444.72	256.78	341.51	320.8	217.27	351.14	348.71	299.25	320.8	476.71	318.57	173.85	295.11	406.31	202.66	397.93	291.04	291.04	470.14	358.54	674.59	329.84	351.14	275.28	283.05	0.0	0.75	775.05	629.35	612.11	603.67	669.92	759.08	591.22	713.11	620.67	738.29	563.18	718.08	551.56	567.1	665.29	708.18	647.07	813.63	651.58	642.59	743.43	620.67	629.35	656.11	612.11
ZNF589	13.72	63.45	17.25	23.59	16.88	20.56	27.25	13.12	41.52	34.75	24.28	34.02	22.75	39.5	23.93	78.34	55.89	89.51	23.08	12.09	21.78	32.82	32.82	102.97	46.18	42.41	13.42	44.89	11.55	24.81	39.79	30.12	51.35	0.0	0.43	277.2	318.57	232.94	273.37	220.32	151.22	285.03	154.42	214.27	194.36	190.34	223.41	215.77	361.04	320.8	239.52	264.03	297.17	204.07	217.27	198.47	193.01	217.27	115.97	212.78
ZSCAN18	277.2	819.3	43.32	733.19	180.02	59.55	854.13	32.59	629.35	381.68	785.88	890.44	283.05	460.44	1151.06	1044.52	231.32	842.36	89.51	307.69	289.02	1096.5	563.18	796.86	166.73	872.1	158.79	559.28	221.86	511.0	80.01	231.32	351.14	0.0	0.92	3515.68	2935.74	2915.45	2400.97	2835.7	2555.58	2502.97	3419.52	2240.11	3124.78	2701.35	2915.45	2502.97	3303.0	3257.52	2777.33	2645.74	3146.52	2104.58	3124.78	2956.17	2895.31	3820.7	3716.2	2075.59
ZSWIM7	616.37	447.82	432.53	460.44	536.45	651.58	575.03	1096.5	414.87	1733.13	490.14	808.0	629.35	802.41	503.95	928.3	728.11	708.18	334.46	1119.56	813.63	435.55	551.56	547.75	785.88	743.43	432.53	3124.78	450.94	466.88	848.22	796.86	656.11	536.45	693.58	947.83	1457.23	878.17	1119.56	866.07	902.89	1508.65	1088.92	1088.92	825.0	713.11	708.18	1369.04	1529.73	1225.22	1340.84	1111.82	785.88	743.43	1242.34	896.64	836.53	1208.34	890.44	775.05
