	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.11GSP.0626.SM.5986T	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X261.1726.SM.4PQYT	GTEX.X4EP.1026.SM.4QAS5	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.REY6.1226.SM.48FDR	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.YJ89.0726.SM.5P9F7	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11NSD.0126.SM.5987F	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.SE5C.0726.SM.4BRWY	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.Y3IK.0526.SM.4WWE3	GTEX.WFG7.0326.SM.5SI7L	GTEX.PX3G.2626.SM.2I3EG	GTEX.YB5K.0526.SM.5LUAS	GTEX.1192W.0126.SM.5EGGS	GTEX.XMK1.0626.SM.4B65A	GTEX.QMRM.0726.SM.2I5G8	GTEX.ZVZQ.0626.SM.59HJU	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
PACS2	301.33	320.8	358.54	343.89	684.02	159.9	493.56	167.9	363.56	262.2	87.65	169.07	271.48	334.46	103.69	381.68	273.37	194.36	149.12	206.94	202.66	532.74	204.07	490.14	220.32	246.28	211.31	281.09	420.68	181.28	262.2	444.72	412.0	226.54	242.88	327.56	301.33	314.17	1088.92	1119.56	1119.56	988.12	1104.13	1167.14	1268.46	896.64	780.44	1159.07	1037.29	718.08	890.44	780.44	1175.27	909.17	738.29	1378.57	848.22	915.51	1175.27
PARP3	447.82	312.0	341.51	379.04	470.14	269.6	825.0	204.07	144.01	490.14	189.02	147.06	500.46	275.28	220.32	476.71	435.55	346.29	120.1	273.37	356.05	1008.9	373.81	420.68	119.26	228.13	341.51	503.95	583.07	343.89	414.87	312.0	633.73	483.38	353.59	490.14	409.15	277.2	1111.82	902.89	934.76	854.13	1096.5	1066.48	769.69	934.76	665.29	1143.1	941.27	638.15	802.41	642.59	954.43	738.29	764.36	934.76	764.36	947.83	1167.14
PCED1A	384.34	395.18	595.34	371.22	728.11	281.09	603.67	329.84	500.46	323.03	97.36	159.9	483.38	525.39	137.14	441.64	403.5	258.57	583.07	208.38	490.14	1023.0	264.03	511.0	591.22	384.34	414.87	543.96	808.0	406.31	480.04	555.41	500.46	339.14	389.72	503.95	551.56	435.55	3146.52	2178.83	1857.6	1628.26	2287.2	2061.24	2224.63	1794.29	1508.65	2303.12	2163.77	1191.69	1286.18	1259.69	1923.14	1583.71	1417.35	2209.26	1477.58	1806.78	2956.17
PCP2	21.63	13.32	12.09	8.58	92.7	3.47	43.32	5.92	6.89	8.71	1.77	0.99	10.0	22.43	8.71	14.14	4.39	17.13	0.0	3.44	16.15	69.03	10.24	25.17	7.94	11.47	12.93	16.75	40.64	3.5	9.41	13.32	29.06	9.78	14.14	12.09	15.56	20.56	145.02	139.07	341.51	123.5	211.31	143.01	182.55	186.4	52.82	158.79	228.13	57.49	16.15	78.89	105.15	94.01	49.56	217.27	51.71	237.86	218.79
PDE6B	5.23	4.46	155.5	2.34	27.05	11.55	14.03	10.0	9.27	61.25	15.0	9.34	7.22	10.39	11.82	51.35	25.35	14.45	8.58	35.5	31.9	42.41	16.88	73.54	26.86	12.18	7.0	19.25	2.05	48.87	62.56	44.57	19.53	2.63	12.93	21.63	25.17	9.63	507.46	454.09	432.53	718.08	679.29	571.05	460.44	647.07	435.55	688.78	921.88	392.44	447.82	423.61	603.67	753.83	703.28	583.07	775.05	563.18	660.68
PLA2G6	214.27	224.97	229.72	305.55	249.73	50.63	412.0	107.38	82.29	163.28	109.66	59.13	147.06	150.17	43.63	575.03	150.17	113.56	37.05	103.69	295.11	500.46	151.22	202.66	142.01	100.83	229.72	351.14	297.17	267.73	162.14	583.07	351.14	152.28	185.11	376.41	151.22	346.29	3060.45	2502.97	3690.52	2682.69	6561.36	2335.28	4210.15	3395.89	2240.11	5147.73	4095.0	1388.16	1175.27	1304.15	3349.13	1923.14	1628.26	3395.89	2240.11	3467.27	3982.99
PNPLA7	253.23	161.02	381.68	87.03	353.59	109.66	473.41	153.34	49.56	363.56	98.04	121.79	141.02	363.56	75.64	334.46	262.2	152.28	49.21	123.5	295.11	417.77	231.32	236.21	122.64	202.66	267.73	507.46	429.54	379.04	587.13	193.01	409.15	164.42	305.55	351.14	248.0	187.71	1175.27	599.49	884.29	607.87	1250.98	651.58	656.11	854.13	387.02	915.51	703.28	361.04	420.68	417.77	728.11	356.05	607.87	902.89	426.57	511.0	1340.84
POLM	190.34	220.32	205.5	178.77	246.28	135.24	307.69	114.36	126.12	209.84	102.97	92.05	223.41	195.72	101.54	159.9	183.82	136.19	94.01	180.02	193.01	348.71	133.36	154.42	96.68	133.36	146.03	281.09	217.27	136.19	217.27	157.68	217.27	205.5	320.8	269.6	153.34	218.79	1008.9	884.29	599.49	536.45	713.11	638.15	743.43	708.18	432.53	638.15	642.59	454.09	551.56	497.0	728.11	518.15	500.46	624.99	575.03	1030.12	813.63
POMT1	441.64	503.95	450.94	500.46	890.44	346.29	708.18	244.57	507.46	540.19	273.37	211.31	403.5	624.99	348.71	470.14	371.22	438.59	314.17	269.6	490.14	733.19	301.33	575.03	334.46	267.73	483.38	633.73	713.11	423.61	571.05	412.0	414.87	435.55	486.75	447.82	500.46	483.38	1119.56	854.13	808.0	769.69	764.36	785.88	656.11	591.22	551.56	836.53	624.99	503.95	595.34	616.37	733.19	638.15	547.75	836.53	571.05	703.28	825.0
PPOX	232.94	307.69	299.25	281.09	441.64	128.79	320.8	106.63	193.01	334.46	102.97	96.68	371.22	275.28	115.16	336.79	172.65	197.09	89.51	86.43	205.5	429.54	150.17	320.8	120.1	170.25	155.5	273.37	220.32	167.9	379.04	198.47	228.13	226.54	189.02	373.81	197.09	244.57	1199.98	819.3	866.07	688.78	941.27	825.0	791.35	651.58	426.57	785.88	748.61	403.5	518.15	543.96	909.17	651.58	480.04	1127.35	559.28	860.08	1059.11
PPP1R26	96.01	163.28	146.03	211.31	167.9	106.63	144.01	35.0	87.65	92.7	47.84	50.27	105.15	220.32	40.64	232.94	100.13	89.51	90.14	72.01	96.01	285.03	142.01	55.49	66.18	62.12	148.09	115.16	181.28	75.64	159.9	205.5	170.25	84.63	72.52	149.12	105.15	147.06	392.44	353.59	318.57	412.0	334.46	301.33	376.41	283.05	301.33	389.72	325.29	279.14	291.04	264.03	417.77	305.55	373.81	341.51	295.11	316.37	366.09
PPP1R35	373.81	674.59	387.02	529.06	1088.92	262.2	656.11	267.73	629.35	253.23	96.68	189.02	395.18	854.13	141.02	674.59	346.29	212.78	281.09	215.77	199.85	555.41	242.88	684.02	420.68	518.15	279.14	371.22	403.5	170.25	291.04	351.14	432.53	303.44	429.54	579.04	361.04	842.36	1143.1	854.13	693.58	607.87	587.13	753.83	819.3	647.07	473.41	748.61	961.07	551.56	412.0	693.58	854.13	748.61	444.72	941.27	796.86	728.11	733.19
PRSS45	8.65	11.55	6.06	8.85	7.0	0.3	13.03	0.24	1.51	13.83	1.46	0.17	10.39	5.63	1.95	2.29	30.34	1.79	0.0	2.07	4.9	8.78	1.22	4.35	2.23	2.78	21.78	3.56	12.45	1.77	7.34	0.99	6.26	1.57	3.69	3.2	3.82	0.92	127.0	72.01	163.28	122.64	82.29	68.55	62.12	87.65	25.72	84.63	119.26	20.71	67.12	32.13	120.94	36.27	83.45	89.51	31.45	146.03	167.9
PRSS46	0.0	0.54	3.5	1.08	0.68	0.66	4.86	0.0	1.71	1.69	0.43	0.0	1.04	0.43	0.39	1.55	4.58	0.0	0.0	0.0	0.96	0.82	1.04	1.93	0.0	1.1	0.89	3.2	4.03	1.19	0.0	0.0	0.65	1.0	1.83	2.1	1.03	0.0	73.03	8.85	56.68	68.55	16.75	17.25	12.45	34.26	9.48	37.59	24.46	6.89	20.41	8.71	28.24	11.21	29.06	18.97	12.55	34.75	24.28
PRSS50	15.91	8.58	18.43	13.62	12.55	5.5	72.52	0.8	5.73	6.36	0.15	0.0	1.97	22.92	0.13	5.45	10.96	3.32	0.41	3.2	10.24	62.56	4.54	20.41	0.49	21.47	6.78	29.48	41.22	5.77	7.82	5.63	20.86	4.74	10.47	12.64	12.83	3.99	1023.0	559.28	665.29	651.58	624.99	305.55	180.02	320.8	163.28	283.05	447.82	89.51	133.36	334.46	624.99	193.01	228.13	503.95	94.01	902.89	1135.2
PTDSS2	255.0	158.79	212.78	283.05	406.31	120.94	540.19	151.22	371.22	177.53	62.56	162.14	299.25	384.34	133.36	269.6	389.72	145.02	224.97	185.11	169.07	305.55	209.84	379.04	368.65	217.27	241.19	215.77	503.95	211.31	246.28	473.41	267.73	209.84	223.41	262.2	265.87	241.19	1119.56	738.29	743.43	764.36	759.08	633.73	921.88	708.18	591.22	698.41	830.75	616.37	438.59	470.14	708.18	579.04	647.07	759.08	476.71	612.11	728.11
RFX1	105.15	116.78	127.89	166.73	143.01	85.22	142.01	109.66	181.28	79.45	66.65	90.14	153.34	137.14	40.36	166.73	96.01	75.64	49.56	145.02	80.01	186.4	91.41	163.28	134.3	80.57	119.26	111.99	145.02	77.79	117.6	151.22	129.69	115.16	101.54	102.25	90.14	140.04	460.44	348.71	320.8	358.54	397.93	339.14	343.89	316.37	275.28	450.94	312.0	253.23	293.07	269.6	301.33	277.2	332.14	341.51	295.11	295.11	435.55
RGL2	356.05	397.93	1340.84	320.8	1250.98	384.34	381.68	183.82	583.07	571.05	214.27	181.28	420.68	651.58	140.04	679.29	387.02	642.59	158.79	209.84	540.19	974.5	373.81	529.06	400.71	108.9	343.89	547.75	514.56	525.39	684.02	1437.15	358.54	366.09	297.17	521.76	543.96	529.06	2240.11	2645.74	2645.74	2855.44	2502.97	2796.65	3212.66	2271.4	2240.11	2855.44	2609.3	1540.37	1304.15	1216.75	2816.11	1870.53	1794.29	2335.28	1936.53	2664.15	3419.52
RGL3	305.55	748.61	358.54	232.94	1819.35	103.69	688.78	175.07	353.59	157.68	97.36	102.97	669.92	1208.34	21.94	825.0	248.0	105.89	75.64	118.43	279.14	1417.35	175.07	1119.56	361.04	239.52	129.69	255.0	348.71	341.51	195.72	503.95	400.71	177.53	323.03	341.51	260.38	466.88	5041.77	2133.97	3768.09	3146.52	5329.3	3589.58	5147.73	3820.7	2627.46	6471.02	4481.23	2193.99	2061.24	1572.76	4481.23	2555.58	2720.15	2485.67	2209.26	4152.18	5831.91
RIBC1	2.43	20.86	20.26	10.63	17.64	16.03	21.01	7.06	4.62	35.76	11.64	13.42	2.63	8.58	11.3	13.52	9.34	25.54	7.88	15.11	16.27	20.71	12.27	16.63	9.93	12.93	13.93	33.06	14.14	11.91	27.84	10.31	26.67	7.75	16.88	27.05	7.94	11.04	190.34	277.2	201.25	236.21	251.48	218.79	201.25	177.53	224.97	194.36	198.47	127.0	165.57	123.5	202.66	121.79	125.24	217.27	148.09	194.36	249.73
RNF212	8.0	0.4	22.26	7.46	64.8	13.93	24.81	10.63	6.46	7.17	1.01	1.07	11.55	84.63	6.67	0.0	22.75	8.85	11.04	0.16	3.0	3.96	2.2	29.06	19.53	12.83	10.71	14.78	14.67	10.71	6.11	8.58	9.34	7.34	11.21	3.99	9.78	2.25	607.87	728.11	1721.16	928.3	1417.35	327.56	432.53	435.55	748.61	15.22	2351.53	397.93	909.17	444.72	460.44	412.0	435.55	684.02	299.25	1322.37	624.99
ROBO3	5.15	38.95	117.6	125.24	414.87	39.5	204.07	23.59	138.1	57.49	31.0	19.53	14.24	129.69	6.52	60.82	132.44	5.73	40.36	66.18	58.71	109.66	25.17	170.25	119.26	34.02	64.8	117.6	130.6	31.22	56.28	197.09	57.49	87.65	76.71	76.71	76.71	92.05	148.09	743.43	693.58	412.0	397.93	612.11	1378.57	403.5	358.54	264.03	1191.69	327.56	361.04	194.36	703.28	285.03	291.04	1259.69	244.57	532.74	669.92
RP11-1026M7.2	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	1.0	0.0	0.0	1.14	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.0	0.0	1.03	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.72	3.17	1.22	5.45	3.17	0.8	1.73	1.43	0.0	1.1	6.11	5.96	3.38	1.25	0.8	3.44	0.99	0.82	1.27	0.82	1.51	2.56
RP11-146D12.2	1.48	17.0	8.19	17.0	3.56	0.0	29.27	3.63	3.23	1.06	16.51	3.2	0.0	1.5	4.35	17.13	10.0	6.73	0.0	16.03	5.73	15.8	6.36	12.09	26.28	17.13	30.56	14.14	6.06	3.96	25.54	2.07	45.85	8.78	9.13	6.73	15.34	5.19	38.4	60.82	82.87	38.95	80.01	55.1	107.38	81.14	40.07	51.71	96.01	11.64	20.86	12.64	68.07	16.03	27.44	68.07	28.24	62.12	86.43
RP11-156E8.1	2.34	6.31	2.07	0.0	3.5	2.29	2.58	0.62	0.75	3.29	0.04	1.5	4.1	3.76	3.29	2.53	1.38	4.74	0.22	0.01	1.71	11.91	2.68	0.42	0.0	1.1	0.0	9.85	1.68	1.95	2.61	0.59	2.97	2.68	3.32	2.05	5.87	2.48	60.39	29.91	49.21	43.63	45.85	65.26	52.08	77.25	37.59	60.39	84.04	26.28	18.7	23.08	81.14	40.64	29.27	63.89	59.13	55.49	74.06
RP11-297N6.4	3.92	3.32	15.56	12.55	0.0	30.34	4.78	16.75	5.11	11.13	15.34	3.92	10.96	0.0	9.27	0.0	8.19	11.55	0.0	4.35	9.48	4.78	4.9	0.0	0.0	0.0	4.43	10.16	7.88	13.52	29.06	10.88	10.24	2.23	0.0	0.0	8.45	0.0	15.56	35.0	36.01	29.27	22.43	21.16	13.22	37.59	27.44	20.41	26.67	10.39	23.93	26.28	15.11	18.7	28.65	13.32	22.43	32.82	25.17
RPRM	0.0	1.22	0.83	0.0	4.74	0.0	3.2	0.0	0.57	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.8	0.0	0.0	0.0	0.0	0.59	1.19	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.82	0.0	0.0	0.0	0.74	1.01	61.68	42.41	74.06	70.51	26.1	60.82	32.36	84.04	37.05	59.97	106.63	34.26	20.11	31.0	80.57	44.89	25.72	51.35	85.22	27.64	81.14
RRNAD1	738.29	723.08	493.56	909.17	1143.1	483.38	860.08	379.04	674.59	490.14	403.5	327.56	884.29	1059.11	271.48	884.29	679.29	447.82	320.8	309.83	583.07	921.88	435.55	854.13	647.07	679.29	633.73	791.35	1151.06	551.56	559.28	642.59	1008.9	647.07	775.05	733.19	764.36	620.67	1883.54	1467.37	1721.16	1322.37	1388.16	1674.06	1551.09	1359.57	1268.46	1806.78	1208.34	1044.52	1183.45	1457.23	1417.35	1322.37	1286.18	1832.01	1378.57	1674.06	1757.34
SAFB2	796.86	454.09	934.76	1044.52	1096.5	435.55	1191.69	497.0	934.76	540.19	536.45	384.34	728.11	1081.39	356.05	633.73	638.15	503.95	454.09	563.18	780.44	1059.11	591.22	1350.18	1135.2	718.08	791.35	733.19	934.76	507.46	540.19	1096.5	896.64	808.0	860.08	624.99	819.3	674.59	2591.27	1896.65	2335.28	1721.16	1844.76	1769.57	2384.37	1191.69	1519.15	1819.35	1572.76	1259.69	1467.37	1242.34	1991.0	1313.23	1350.18	2032.85	1167.14	1781.89	2047.0
SCRN2	764.36	1088.92	1662.49	884.29	954.43	660.68	1119.56	525.39	733.19	1551.09	444.72	368.65	708.18	1175.27	521.76	802.41	802.41	1277.29	361.04	503.95	909.17	1709.26	759.08	651.58	323.03	651.58	764.36	2004.85	1127.35	1359.57	1757.34	796.86	1030.12	866.07	713.11	909.17	909.17	708.18	3039.3	2133.97	2367.9	2209.26	2400.97	2240.11	2935.74	2018.8	1781.89	2664.15	2178.83	1508.65	1594.73	1477.58	2384.37	1857.6	1662.49	2209.26	2032.85	2271.4	2319.15
SFI1	48.52	145.02	163.28	146.03	532.74	69.03	336.79	34.51	108.9	123.5	31.22	35.0	202.66	202.66	39.79	92.05	84.63	65.72	96.01	43.63	117.6	660.68	65.72	316.37	161.02	97.36	82.29	134.3	158.79	68.55	84.04	178.77	173.85	104.42	108.9	182.55	157.68	279.14	1001.93	1023.0	836.53	493.56	679.29	764.36	738.29	620.67	363.56	769.69	660.68	256.78	366.09	371.22	842.36	387.02	454.09	1023.0	400.71	607.87	915.51
SH2B1	447.82	384.34	638.15	563.18	476.71	241.19	460.44	241.19	376.41	460.44	177.53	199.85	529.06	343.89	162.14	476.71	454.09	351.14	178.77	277.2	435.55	941.27	435.55	486.75	346.29	327.56	316.37	547.75	579.04	389.72	414.87	547.75	490.14	353.59	409.15	503.95	420.68	336.79	2417.67	2645.74	1639.59	1896.65	2739.08	2335.28	1909.85	1628.26	1407.55	2004.85	2240.11	1277.29	1709.26	1388.16	2417.67	1388.16	1437.15	2303.12	1407.55	1757.34	2520.38
SH3GLB2	466.88	708.18	819.3	633.73	1008.9	339.14	1096.5	287.01	397.93	591.22	162.14	181.28	780.44	674.59	260.38	660.68	435.55	420.68	281.09	275.28	567.1	1457.23	397.93	656.11	500.46	339.14	441.64	684.02	723.08	412.0	738.29	896.64	575.03	571.05	674.59	947.83	620.67	842.36	3467.27	2956.17	3395.89	2664.15	2591.27	2855.44	3395.89	2555.58	1936.53	3060.45	2555.58	1857.6	1427.22	1721.16	3303.0	2520.38	1896.65	2758.13	1781.89	2485.67	3742.05
SIDT2	941.27	674.59	988.12	397.93	1030.12	275.28	490.14	476.71	389.72	780.44	295.11	414.87	890.44	629.35	384.34	567.1	802.41	669.92	206.94	435.55	1119.56	1183.45	591.22	759.08	281.09	775.05	708.18	629.35	947.83	872.1	514.56	830.75	967.76	878.17	363.56	647.07	860.08	665.29	1216.75	854.13	1023.0	974.5	1073.91	1030.12	1519.15	947.83	753.83	1277.29	1008.9	738.29	890.44	656.11	1159.07	872.1	872.1	1104.13	759.08	988.12	1111.82
SLC12A9	186.4	138.1	547.75	423.61	244.57	361.04	438.59	193.01	229.72	312.0	147.06	149.12	403.5	171.45	214.27	232.94	291.04	267.73	166.73	189.02	186.4	381.68	249.73	185.11	616.37	108.14	186.4	376.41	339.14	273.37	246.28	397.93	144.01	356.05	255.0	309.83	277.2	400.71	688.78	669.92	633.73	587.13	595.34	733.19	660.68	525.39	400.71	660.68	518.15	387.02	518.15	435.55	555.41	529.06	532.74	536.45	423.61	547.75	684.02
SLC16A11	32.82	791.35	77.79	24.81	91.41	98.04	52.45	54.72	130.6	102.97	35.0	175.07	18.29	291.04	32.59	366.09	68.55	83.45	36.79	86.43	55.49	454.09	100.13	98.04	2.18	97.36	131.51	147.06	128.79	72.01	57.49	78.89	111.99	86.43	642.59	218.79	62.56	114.36	1551.09	555.41	392.44	486.75	450.94	995.0	775.05	890.44	412.0	728.11	941.27	780.44	412.0	480.04	890.44	412.0	291.04	647.07	896.64	483.38	518.15
SLC2A11	138.1	96.01	109.66	105.15	88.88	60.82	166.73	30.56	67.12	156.59	73.03	48.52	153.34	43.63	55.49	108.14	77.79	92.05	35.76	66.65	86.43	131.51	80.01	132.44	79.45	48.87	103.69	193.01	161.02	89.51	75.11	121.79	151.22	164.42	159.9	129.69	116.78	92.7	1051.79	454.09	511.0	660.68	547.75	769.69	507.46	819.3	473.41	674.59	607.87	432.53	620.67	470.14	825.0	629.35	454.09	525.39	470.14	665.29	728.11
SLC9A3	4.54	0.0	4.06	1.58	4.66	0.66	7.11	8.51	1.35	2.89	0.0	2.05	0.1	1.27	0.0	2.36	0.0	2.05	0.61	0.0	0.79	6.06	3.23	2.48	0.0	0.0	0.0	3.06	0.99	4.46	6.06	6.01	0.19	0.0	8.85	15.22	0.49	0.0	33.78	3.99	10.08	6.06	13.32	3.59	8.51	11.21	7.34	7.51	12.64	3.35	2.71	1.6	13.52	4.9	4.54	6.73	7.17	3.44	11.55
SNRNP35	616.37	620.67	733.19	536.45	848.22	281.09	764.36	547.75	698.41	616.37	348.71	583.07	660.68	599.49	514.56	579.04	733.19	651.58	379.04	457.25	624.99	866.07	366.09	703.28	406.31	669.92	457.25	872.1	684.02	684.02	603.67	514.56	660.68	457.25	638.15	575.03	674.59	599.49	1378.57	872.1	1208.34	1096.5	1008.9	854.13	1167.14	896.64	1030.12	1119.56	1250.98	921.88	954.43	866.07	1104.13	866.07	1073.91	1322.37	915.51	1066.48	1259.69
SOX12	84.04	35.76	177.53	45.85	132.44	136.19	80.57	35.25	61.25	226.54	27.05	44.89	94.01	123.5	82.87	40.93	73.54	199.85	49.56	21.16	106.63	170.25	37.59	77.79	70.01	27.44	127.0	154.42	155.5	116.78	172.65	323.03	38.67	34.51	86.43	63.89	190.34	21.32	490.14	339.14	441.64	486.75	417.77	269.6	403.5	332.14	303.44	441.64	514.56	226.54	395.18	239.52	441.64	293.07	285.03	351.14	212.78	551.56	575.03
SPAG8	11.55	11.21	20.26	3.5	16.88	6.62	21.94	1.33	4.17	3.66	5.41	4.62	8.25	4.74	1.55	10.39	15.34	7.46	0.0	5.63	15.8	17.64	6.73	18.97	3.86	5.11	4.82	11.73	24.46	16.88	5.82	14.14	13.22	8.65	7.0	11.64	11.38	8.32	409.15	392.44	275.28	258.57	327.56	295.11	202.66	202.66	185.11	289.02	279.14	115.16	157.68	120.94	329.84	140.04	120.1	447.82	163.28	273.37	260.38
SPATA20	1044.52	1233.75	743.43	579.04	1896.65	403.5	1359.57	397.93	612.11	1286.18	232.94	96.68	441.64	1250.98	253.23	470.14	629.35	1008.9	518.15	543.96	1167.14	2303.12	500.46	343.89	177.53	947.83	329.84	660.68	624.99	974.5	688.78	813.63	988.12	995.0	733.19	1388.16	1015.93	368.65	3395.89	2956.17	2976.74	2287.2	3589.58	3146.52	2777.33	2682.69	1963.57	3419.52	3190.46	1594.73	2915.45	1508.65	3540.14	2816.11	1896.65	3665.02	2997.45	2502.97	4481.23
SPTB	9.27	15.8	16.39	12.36	10.79	3.32	10.24	5.36	5.02	8.65	2.41	1.14	171.45	18.43	0.44	5.45	5.54	8.13	10.88	7.88	12.83	12.45	4.74	5.36	21.94	2.61	3.32	20.11	5.23	5.92	9.2	12.64	16.75	10.96	4.82	17.64	6.52	5.87	60.39	28.45	69.03	59.55	54.72	28.45	45.85	48.87	36.79	50.63	54.33	32.13	44.25	23.59	43.32	56.28	43.63	75.11	35.5	50.98	69.52
SRRM5	6.21	2.78	6.67	9.85	2.36	1.48	9.06	1.95	3.82	3.92	3.47	3.06	6.21	0.57	4.7	3.86	5.87	4.43	1.73	2.92	11.73	11.82	0.84	4.24	15.8	0.56	6.06	8.13	13.93	8.0	5.59	9.13	15.34	6.11	3.66	2.78	3.79	0.57	21.16	26.28	23.59	22.43	28.04	18.7	31.0	23.25	24.99	29.7	19.68	15.0	20.11	15.11	20.86	14.35	17.51	26.47	14.67	40.07	31.67
SSH3	305.55	764.36	392.44	309.83	1001.93	125.24	555.41	127.0	262.2	376.41	125.24	172.65	420.68	941.27	99.43	518.15	251.48	289.02	220.32	171.45	211.31	540.19	273.37	423.61	104.42	267.73	318.57	403.5	507.46	199.85	571.05	275.28	381.68	141.02	271.48	305.55	208.38	624.99	1277.29	780.44	1111.82	872.1	1175.27	669.92	1088.92	684.02	764.36	1044.52	1111.82	616.37	587.13	633.73	947.83	988.12	796.86	819.3	890.44	1119.56	1088.92
STK32C	86.43	111.99	312.0	74.58	118.43	92.7	136.19	96.01	152.28	99.43	53.57	71.0	96.68	124.37	29.27	72.52	71.0	190.34	47.84	94.67	35.76	154.42	69.52	175.07	99.43	48.18	96.01	102.97	85.82	185.11	267.73	217.27	66.65	60.82	91.41	119.26	164.42	112.77	389.72	262.2	242.88	267.73	126.12	348.71	217.27	264.03	208.38	303.44	312.0	206.94	153.34	211.31	208.38	125.24	193.01	269.6	224.97	201.25	173.85
STMN3	12.09	135.24	283.05	25.17	902.89	23.25	46.84	23.76	429.54	41.22	67.12	14.67	64.34	154.42	8.19	35.25	16.39	19.25	102.25	18.56	49.91	155.5	65.26	723.08	688.78	31.0	8.65	48.52	26.47	28.45	15.91	204.07	16.88	26.86	26.47	7.63	34.26	129.69	3190.46	3768.09	2720.15	3419.52	4769.75	3419.52	3280.18	3540.14	2627.46	3103.19	2664.15	2451.44	2018.8	1909.85	5366.37	3124.78	2895.31	3325.99	2178.83	2319.15	3325.99
STX16	426.57	283.05	406.31	450.94	525.39	202.66	599.49	236.21	325.29	293.07	224.97	183.82	395.18	366.09	141.02	403.5	237.86	232.94	218.79	249.73	327.56	620.67	262.2	403.5	660.68	231.32	295.11	420.68	423.61	253.23	295.11	507.46	532.74	348.71	351.14	262.2	336.79	301.33	928.3	1167.14	1313.23	1331.57	1191.69	1397.83	1457.23	1001.93	921.88	1350.18	1250.98	836.53	961.07	872.1	1605.83	796.86	825.0	1359.57	848.22	1286.18	1519.15
SUGP1	423.61	361.04	540.19	563.18	665.29	389.72	665.29	258.57	595.34	426.57	293.07	260.38	463.65	480.04	277.2	429.54	429.54	476.71	267.73	400.71	384.34	642.59	441.64	511.0	412.0	417.77	409.15	454.09	450.94	387.02	470.14	438.59	514.56	476.71	463.65	466.88	473.41	473.41	1331.57	915.51	1340.84	1081.39	1096.5	941.27	934.76	802.41	825.0	909.17	1023.0	753.83	629.35	599.49	995.0	836.53	780.44	988.12	872.1	1044.52	1088.92
SUV420H2	61.68	74.06	85.22	65.26	139.07	73.54	140.04	16.39	83.45	64.8	18.7	34.02	74.58	161.02	36.27	71.0	59.97	42.11	46.5	28.24	46.5	166.73	39.5	87.03	60.82	108.14	67.59	87.65	89.51	31.9	88.88	97.36	78.34	85.82	59.13	190.34	81.71	94.67	403.5	198.47	312.0	236.21	239.52	194.36	287.01	244.57	133.36	287.01	279.14	159.9	180.02	170.25	297.17	204.07	122.64	297.17	215.77	209.84	341.51
