	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
HADHB	4481.23	4388.98	3491.39	4328.55	4268.94	5594.3	3690.52	3280.18	3794.3	6561.36	2303.12	3467.27	3491.39	2935.74	2895.31	3665.02	6164.49	3515.68	1870.53	4802.93	3124.78	2915.45	5292.48	5183.54	8305.36	4181.07	4066.71	3280.18	3491.39	3491.39	1685.71	1437.15	2061.24	1651.0	1745.2	1781.89	2271.4	1268.46	2502.97	1487.87	1639.59	981.29	1832.01	1529.73	1183.45	1159.07	1183.45	1268.46	1519.15	1963.57	1331.57	1286.18	1096.5	1447.15	1044.52	1286.18	1583.71	1340.84	1295.13	1295.13	1277.29	1806.78	1605.83	1572.76	2502.97	2090.03	1896.65	2178.83	1457.23	1639.59	1519.15	981.29	1857.6	1498.22	1697.45	1208.34
HAO2	1037.29	921.88	397.93	2739.08	1286.18	1295.13	2935.74	583.07	802.41	2319.15	161.02	954.43	384.34	1733.13	928.3	521.76	2777.33	764.36	21.94	2956.17	454.09	633.73	1977.24	3690.52	2835.7	884.29	1457.23	796.86	187.71	603.67	0.0	1.91	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.04	0.41	0.69	1.35	0.0	0.42	0.62	0.67	0.93	0.0	0.66	0.0	0.67	6.36	2.56	0.65	1.62	0.68	0.0	1.68	0.66	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.65	0.0	0.4	1.68	0.0
HIBADH	2104.58	3564.78	2777.33	1540.37	2335.28	2627.46	2537.92	2104.58	1769.57	3614.55	1508.65	1594.73	1950.0	1467.37	1844.76	1508.65	2148.82	1991.0	2047.0	2319.15	3103.19	1733.13	2335.28	2240.11	2119.22	1407.55	2434.5	1794.29	1674.06	2133.97	500.46	511.0	791.35	796.86	878.17	273.37	713.11	532.74	872.1	909.17	1286.18	368.65	316.37	327.56	470.14	409.15	612.11	708.18	334.46	1350.18	1151.06	376.41	395.18	567.1	142.01	583.07	332.14	460.44	723.08	204.07	447.82	753.83	1096.5	435.55	1175.27	607.87	283.05	954.43	532.74	470.14	490.14	212.78	599.49	395.18	603.67	417.77
HIBCH	854.13	1151.06	872.1	961.07	921.88	1199.98	1151.06	693.58	718.08	1242.34	336.79	947.83	813.63	802.41	981.29	884.29	2451.44	1208.34	373.81	1167.14	579.04	728.11	1135.2	1819.35	2018.8	708.18	1175.27	769.69	688.78	1216.75	314.17	346.29	563.18	521.76	299.25	136.19	237.86	435.55	334.46	486.75	420.68	358.54	267.73	205.5	579.04	486.75	500.46	356.05	287.01	738.29	679.29	234.57	307.69	291.04	232.94	307.69	316.37	159.9	316.37	163.28	244.57	265.87	381.68	255.0	575.03	221.86	169.07	432.53	303.44	392.44	248.0	228.13	258.57	123.5	525.39	157.68
HS1BP3	785.88	1417.35	1030.12	2090.03	1313.23	2303.12	2303.12	1583.71	1467.37	1844.76	693.58	1304.15	872.1	1135.2	1313.23	866.07	1359.57	1191.69	595.34	1359.57	1674.06	1427.22	1529.73	988.12	2520.38	1295.13	1295.13	775.05	1051.79	884.29	450.94	267.73	395.18	656.11	450.94	373.81	343.89	674.59	532.74	525.39	743.43	271.48	769.69	376.41	426.57	221.86	463.65	708.18	269.6	693.58	563.18	368.65	368.65	438.59	258.57	441.64	480.04	368.65	473.41	146.03	253.23	555.41	356.05	325.29	656.11	387.02	197.09	796.86	384.34	303.44	279.14	124.37	470.14	309.83	395.18	373.81
HSDL2	1183.45	1467.37	1340.84	1407.55	1572.76	1794.29	1233.75	493.56	934.76	1313.23	587.13	708.18	1295.13	1008.9	497.0	1313.23	1733.13	1733.13	583.07	2004.85	1096.5	1175.27	1745.2	1487.87	2502.97	1457.23	1407.55	1088.92	1369.04	1088.92	728.11	679.29	1457.23	769.69	669.92	633.73	947.83	551.56	476.71	896.64	866.07	395.18	1001.93	426.57	915.51	361.04	457.25	463.65	363.56	1008.9	825.0	532.74	285.03	409.15	167.9	454.09	563.18	381.68	417.77	486.75	316.37	698.41	878.17	532.74	1605.83	540.19	651.58	1051.79	307.69	733.19	412.0	423.61	607.87	587.13	497.0	420.68
ICT1	571.05	974.5	808.0	842.36	616.37	743.43	775.05	1135.2	878.17	743.43	620.67	647.07	1143.1	723.08	1030.12	872.1	718.08	830.75	500.46	1388.16	890.44	819.3	909.17	713.11	819.3	1151.06	733.19	595.34	1313.23	703.28	555.41	223.41	441.64	638.15	583.07	241.19	463.65	612.11	507.46	403.5	555.41	193.01	651.58	540.19	199.85	229.72	229.72	540.19	244.57	583.07	575.03	158.79	441.64	215.77	153.34	368.65	283.05	253.23	320.8	217.27	145.02	420.68	591.22	281.09	612.11	267.73	178.77	591.22	220.32	265.87	323.03	148.09	379.04	381.68	281.09	228.13
IDNK	591.22	703.28	423.61	529.06	329.84	435.55	441.64	251.48	476.71	587.13	237.86	470.14	426.57	547.75	258.57	353.59	733.19	318.57	158.79	780.44	624.99	351.14	808.0	500.46	647.07	463.65	571.05	309.83	521.76	287.01	366.09	299.25	473.41	406.31	409.15	198.47	441.64	525.39	246.28	417.77	525.39	143.01	295.11	204.07	226.54	105.89	262.2	454.09	220.32	521.76	486.75	158.79	180.02	143.01	158.79	486.75	50.63	201.25	248.0	104.42	82.87	497.0	693.58	186.4	249.73	251.48	197.09	995.0	165.57	348.71	277.2	220.32	285.03	211.31	232.94	194.36
ILVBL	2255.7	1697.45	1331.57	1350.18	1225.22	1605.83	1277.29	2104.58	1259.69	1819.35	854.13	2178.83	1159.07	1250.98	1015.93	1191.69	1498.22	1119.56	785.88	2032.85	1159.07	1639.59	1639.59	1457.23	1757.34	1572.76	1268.46	1250.98	1447.15	1322.37	521.76	314.17	599.49	1096.5	796.86	320.8	616.37	808.0	830.75	1015.93	1127.35	249.73	1066.48	529.06	713.11	395.18	595.34	1268.46	507.46	825.0	854.13	283.05	633.73	450.94	426.57	854.13	599.49	423.61	669.92	406.31	327.56	941.27	579.04	536.45	791.35	688.78	447.82	1340.84	571.05	409.15	438.59	246.28	665.29	518.15	314.17	412.0
IMMT	1519.15	1242.34	1350.18	1662.49	1467.37	1617.0	1277.29	1135.2	1096.5	1561.89	1175.27	1001.93	1417.35	1073.91	1340.84	1561.89	1883.54	1407.55	1167.14	1023.0	1295.13	1088.92	1540.37	1639.59	1819.35	1151.06	1407.55	1151.06	1199.98	1561.89	718.08	674.59	753.83	884.29	1015.93	463.65	1023.0	1447.15	802.41	780.44	775.05	698.41	1135.2	555.41	638.15	624.99	514.56	995.0	674.59	842.36	872.1	389.72	854.13	607.87	684.02	1277.29	599.49	642.59	733.19	591.22	447.82	842.36	872.1	723.08	1208.34	651.58	656.11	1477.58	595.34	764.36	591.22	848.22	624.99	638.15	738.29	547.75
ISOC1	532.74	412.0	521.76	555.41	571.05	620.67	384.34	339.14	543.96	688.78	336.79	351.14	507.46	373.81	612.11	591.22	728.11	490.14	412.0	551.56	414.87	543.96	825.0	651.58	480.04	500.46	500.46	575.03	493.56	483.38	486.75	529.06	460.44	454.09	267.73	400.71	624.99	514.56	616.37	674.59	412.0	497.0	395.18	295.11	291.04	185.11	285.03	368.65	209.84	656.11	651.58	265.87	406.31	287.01	189.02	395.18	190.34	412.0	249.73	156.59	206.94	283.05	379.04	244.57	612.11	450.94	129.69	902.89	265.87	473.41	193.01	358.54	205.5	215.77	366.09	255.0
KCNH6	108.14	56.28	18.7	36.53	6.46	129.69	11.3	20.86	7.75	34.75	3.69	8.71	64.8	17.9	36.53	13.32	76.17	44.89	1.93	11.91	36.01	16.39	45.21	68.55	130.6	19.53	59.13	4.43	43.94	12.83	20.26	1.89	14.89	27.05	8.65	3.14	6.21	5.68	2.94	27.25	5.73	9.34	6.62	0.0	5.82	28.65	3.56	7.63	17.77	4.98	16.88	12.18	16.63	16.03	5.32	4.24	3.2	15.11	5.87	17.38	5.19	4.1	2.41	3.99	42.41	8.78	10.96	0.42	31.0	3.08	2.68	0.44	8.99	5.59	1.69	1.3
KIAA0391	607.87	567.1	633.73	529.06	723.08	775.05	426.57	389.72	420.68	796.86	547.75	551.56	521.76	371.22	454.09	532.74	738.29	575.03	389.72	486.75	607.87	473.41	414.87	583.07	748.61	454.09	796.86	476.71	567.1	583.07	647.07	363.56	299.25	444.72	708.18	138.1	409.15	301.33	429.54	339.14	255.0	156.59	647.07	334.46	312.0	141.02	248.0	346.29	307.69	346.29	271.48	195.72	265.87	189.02	173.85	277.2	543.96	234.57	236.21	237.86	205.5	334.46	507.46	224.97	295.11	435.55	221.86	764.36	297.17	281.09	273.37	194.36	403.5	343.89	275.28	305.55
KLHDC7A	438.59	323.03	269.6	432.53	100.83	651.58	103.69	177.53	152.28	791.35	158.79	241.19	329.84	201.25	277.2	353.59	1073.91	148.09	57.08	85.82	389.72	423.61	366.09	351.14	277.2	221.86	540.19	208.38	229.72	279.14	11.04	2.16	18.97	75.11	39.22	26.86	2.23	57.49	8.99	39.79	10.39	3.26	70.51	74.06	0.0	0.0	1.39	199.85	3.23	46.5	18.16	5.11	7.28	1.38	0.0	7.46	5.23	2.36	2.14	1.38	1.35	5.32	39.79	0.0	87.03	1.38	2.18	185.11	1.38	4.03	4.94	0.0	6.78	3.92	1.45	19.82
LDHD	551.56	35.5	242.88	190.34	205.5	45.53	246.28	135.24	172.65	318.57	120.1	241.19	53.57	143.01	275.28	218.79	103.69	121.79	34.51	563.18	395.18	511.0	698.41	127.89	441.64	493.56	177.53	195.72	346.29	351.14	96.68	62.12	113.56	486.75	521.76	66.65	414.87	175.07	125.24	165.57	381.68	25.54	423.61	159.9	99.43	58.3	88.26	409.15	242.88	293.07	140.04	72.01	74.06	135.24	74.58	170.25	228.13	113.56	92.05	44.57	49.56	629.35	125.24	63.0	159.9	275.28	19.82	299.25	262.2	104.42	150.17	33.3	334.46	78.89	134.3	172.65
LGI4	299.25	11112.3	303.44	1477.58	2335.28	4388.98	5711.87	5872.48	53.95	5594.3	265.87	61.68	4607.24	2240.11	229.72	642.59	193.01	507.46	9344.14	4268.94	872.1	105.15	146.03	954.43	718.08	1015.93	98.73	8718.32	239.52	25.54	73.03	147.06	111.99	84.04	136.19	156.59	17.13	94.01	90.77	151.22	182.55	58.71	132.44	52.82	103.69	128.79	260.38	236.21	87.03	186.4	167.9	111.21	77.79	197.09	69.03	105.15	229.72	186.4	130.6	120.94	96.01	159.9	54.72	137.14	34.26	197.09	486.75	50.98	109.66	100.83	253.23	66.18	244.57	132.44	142.01	283.05
LMAN2L	503.95	1001.93	412.0	819.3	651.58	624.99	884.29	764.36	638.15	902.89	406.31	599.49	738.29	555.41	511.0	684.02	1059.11	575.03	620.67	500.46	470.14	555.41	775.05	1044.52	860.08	759.08	493.56	679.29	1037.29	591.22	403.5	267.73	420.68	435.55	316.37	211.31	211.31	327.56	507.46	540.19	406.31	149.12	460.44	273.37	373.81	275.28	395.18	536.45	134.3	612.11	688.78	327.56	202.66	346.29	175.07	277.2	297.17	141.02	412.0	177.53	229.72	336.79	223.41	283.05	476.71	285.03	236.21	713.11	314.17	277.2	323.03	167.9	239.52	239.52	262.2	189.02
MANEAL	69.52	41.52	29.7	38.12	53.57	169.07	10.39	212.78	50.27	275.28	34.75	17.77	182.55	22.43	120.1	80.01	128.79	10.63	49.56	356.05	65.26	59.97	70.01	40.36	223.41	54.72	15.56	84.04	77.25	76.17	109.66	44.89	50.63	201.25	24.11	7.46	76.17	75.11	46.5	84.63	131.51	11.73	114.36	17.64	21.63	7.4	41.81	120.1	45.85	68.07	92.7	12.55	29.91	17.51	5.54	37.32	25.54	14.35	48.18	7.28	9.85	56.68	122.64	16.39	132.44	18.97	18.03	312.0	23.93	34.02	16.63	8.38	70.01	12.45	20.41	31.45
MCEE	525.39	599.49	403.5	463.65	314.17	555.41	579.04	454.09	281.09	518.15	249.73	366.09	389.72	376.41	373.81	429.54	540.19	438.59	303.44	723.08	323.03	325.29	414.87	417.77	587.13	395.18	312.0	387.02	291.04	339.14	204.07	206.94	318.57	381.68	389.72	157.68	320.8	293.07	490.14	540.19	521.76	146.03	299.25	241.19	363.56	285.03	277.2	486.75	133.36	591.22	518.15	212.78	92.7	246.28	118.43	429.54	371.22	108.9	271.48	271.48	327.56	244.57	244.57	291.04	825.0	199.85	470.14	728.11	180.02	108.14	450.94	107.38	438.59	182.55	133.36	241.19
MDH1	4268.94	5791.62	3564.78	5913.33	4639.29	4543.8	3443.31	3901.01	4123.49	5555.65	2915.45	2682.69	3955.48	3716.2	3515.68	4937.99	5183.54	4419.52	2271.4	8078.22	4066.71	3257.52	5006.93	5954.47	6121.9	3395.89	2573.36	3257.52	7280.4	5006.93	3349.13	1639.59	2758.13	2758.13	3303.0	1295.13	4512.4	2739.08	3690.52	3280.18	2468.49	1437.15	1870.53	1594.73	1709.26	954.43	1477.58	2935.74	1583.71	3467.27	2193.99	1487.87	1594.73	1605.83	890.44	2061.24	1697.45	1794.29	1572.76	915.51	934.76	3955.48	4181.07	1407.55	4419.52	3491.39	1001.93	5255.91	1709.26	1685.71	1651.0	1096.5	2417.67	1819.35	2682.69	1697.45
