	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
NRAS	836.53	463.65	651.58	567.1	525.39	607.87	371.22	616.37	718.08	376.41	624.99	748.61	684.02	866.07	733.19	149.12	123.5	244.57	395.18	299.25	299.25	204.07	336.79	180.02	287.01	447.82	285.03	208.38	356.05	206.94	269.6	332.14	305.55	265.87	209.84	255.0	255.0	293.07	307.69	264.03	226.54	327.56	463.65	514.56	246.28	256.78	353.59	316.37	435.55	312.0	289.02	297.17	323.03	220.32	518.15	301.33	277.2	293.07	348.71	226.54	224.97	226.54	323.03
NUP155	629.35	423.61	612.11	307.69	299.25	860.08	295.11	341.51	429.54	316.37	320.8	361.04	476.71	387.02	346.29	62.12	89.51	149.12	154.42	167.9	106.63	115.97	151.22	116.78	141.02	167.9	123.5	142.01	136.19	115.97	111.21	187.71	145.02	116.78	110.43	98.73	156.59	133.36	121.79	144.01	136.19	126.12	183.82	212.78	115.97	110.43	116.78	116.78	146.03	114.36	129.69	119.26	135.24	186.4	164.42	135.24	126.12	125.24	110.43	153.34	95.34	102.97	127.89
OLA1	5112.16	4575.41	3467.27	2875.3	4010.71	2739.08	3257.52	3103.19	4419.52	3515.68	2682.69	2664.15	2935.74	2417.67	4736.79	1519.15	884.29	1551.09	2163.77	1295.13	1259.69	2133.97	2255.7	1268.46	1508.65	1781.89	1081.39	909.17	1519.15	1183.45	1477.58	1572.76	1407.55	1225.22	1651.0	2104.58	1407.55	1651.0	1844.76	1674.06	995.0	1477.58	2178.83	2255.7	1167.14	1242.34	1427.22	1286.18	1745.2	1388.16	1721.16	1259.69	1340.84	1529.73	1662.49	1350.18	1594.73	1199.98	1350.18	1208.34	1639.59	1594.73	1745.2
OR51E1	48.18	39.22	44.25	50.27	29.27	24.28	18.16	28.65	18.97	22.1	15.34	23.25	15.22	26.1	27.84	15.45	6.52	9.13	17.0	8.13	3.59	11.91	11.73	1.71	14.45	20.71	13.93	14.14	17.64	4.94	4.86	16.63	8.65	13.62	8.92	12.83	16.88	12.93	4.94	20.86	8.0	5.77	13.42	9.63	10.55	10.0	10.47	0.88	9.63	4.82	7.4	6.94	10.16	14.78	9.34	4.82	4.62	10.96	2.18	18.43	4.03	6.52	6.84
ORC1	64.34	26.86	58.3	33.54	16.63	51.71	14.89	25.91	48.18	27.25	25.17	36.27	30.12	12.36	13.12	7.46	2.63	8.58	37.59	6.73	9.27	5.87	8.45	1.3	7.17	6.67	3.92	7.22	6.01	7.17	9.34	5.96	5.82	7.11	8.85	5.02	7.82	9.41	3.82	8.51	17.51	6.31	7.51	11.3	15.91	11.64	8.65	11.21	8.92	11.73	3.14	4.66	9.85	2.84	6.46	4.9	6.84	3.89	10.39	3.29	5.19	8.32	4.06
PAFAH1B2	1313.23	1135.2	1111.82	1378.57	1369.04	1991.0	896.64	1044.52	1417.35	947.83	1151.06	1151.06	1073.91	1498.22	1388.16	529.06	748.61	808.0	1044.52	890.44	884.29	688.78	890.44	674.59	808.0	1295.13	718.08	775.05	1030.12	848.22	819.3	813.63	988.12	759.08	547.75	525.39	669.92	1119.56	759.08	902.89	607.87	896.64	1135.2	1388.16	660.68	775.05	728.11	884.29	878.17	947.83	819.3	743.43	896.64	802.41	1233.75	896.64	909.17	802.41	825.0	728.11	825.0	698.41	819.3
PAIP1	4066.71	2777.33	4123.49	2319.15	2417.67	4639.29	2075.59	2271.4	2591.27	2104.58	2417.67	2645.74	3103.19	2875.3	3768.09	988.12	1143.1	1551.09	1857.6	1242.34	1233.75	1467.37	2090.03	981.29	1350.18	1963.57	1059.11	1233.75	1427.22	1359.57	1268.46	1508.65	1397.83	1233.75	1216.75	1340.84	1250.98	1331.57	1508.65	1794.29	934.76	1388.16	2119.22	2287.2	1096.5	1096.5	1561.89	1242.34	1733.13	1322.37	1359.57	1175.27	1359.57	1191.69	1594.73	1183.45	1359.57	1331.57	1417.35	1216.75	1508.65	1350.18	1721.16
PAK2	1304.15	1023.0	1583.71	1167.14	1233.75	1340.84	728.11	974.5	902.89	775.05	1191.69	1081.39	1794.29	1066.48	1151.06	251.48	237.86	426.57	543.96	348.71	358.54	432.53	514.56	314.17	373.81	638.15	379.04	336.79	384.34	307.69	303.44	441.64	289.02	389.72	289.02	329.84	397.93	447.82	371.22	480.04	253.23	366.09	698.41	521.76	312.0	297.17	387.02	387.02	457.25	262.2	303.44	403.5	423.61	423.61	583.07	224.97	314.17	339.14	403.5	414.87	361.04	291.04	426.57
PAXIP1	217.27	287.01	190.34	159.9	327.56	228.13	205.5	305.55	307.69	232.94	343.89	236.21	295.11	186.4	191.67	117.6	111.99	195.72	217.27	121.79	138.1	171.45	212.78	98.04	163.28	199.85	141.02	171.45	147.06	201.25	141.02	198.47	137.14	177.53	234.57	193.01	185.11	183.82	183.82	195.72	154.42	139.07	265.87	214.27	154.42	113.56	232.94	170.25	202.66	155.5	135.24	166.73	148.09	145.02	151.22	125.24	153.34	186.4	154.42	199.85	154.42	212.78	214.27
PDS5A	1457.23	791.35	1008.9	753.83	961.07	1685.71	825.0	954.43	1073.91	934.76	866.07	1037.29	1059.11	915.51	1225.22	389.72	392.44	559.28	674.59	432.53	511.0	503.95	583.07	607.87	514.56	866.07	414.87	450.94	587.13	450.94	406.31	454.09	563.18	450.94	507.46	438.59	414.87	647.07	656.11	656.11	414.87	409.15	825.0	764.36	423.61	476.71	438.59	483.38	624.99	493.56	529.06	511.0	525.39	521.76	656.11	403.5	457.25	567.1	406.31	603.67	587.13	483.38	616.37
PGGT1B	708.18	642.59	400.71	591.22	591.22	743.43	473.41	503.95	583.07	371.22	583.07	444.72	587.13	607.87	514.56	92.7	166.73	251.48	271.48	228.13	215.77	206.94	289.02	111.99	224.97	295.11	175.07	175.07	239.52	224.97	181.28	265.87	177.53	231.32	199.85	141.02	232.94	281.09	209.84	224.97	154.42	208.38	420.68	412.0	166.73	172.65	231.32	236.21	253.23	161.02	183.82	264.03	239.52	209.84	325.29	141.02	205.5	223.41	223.41	234.57	143.01	144.01	249.73
POLE3	1883.54	1066.48	2047.0	1175.27	1331.57	1407.55	1037.29	1295.13	1378.57	1216.75	1487.87	1127.35	1081.39	1242.34	1277.29	651.58	486.75	688.78	718.08	579.04	684.02	629.35	599.49	521.76	642.59	813.63	679.29	480.04	599.49	633.73	660.68	791.35	723.08	660.68	620.67	718.08	507.46	769.69	748.61	842.36	575.03	808.0	981.29	802.41	647.07	507.46	759.08	684.02	878.17	642.59	665.29	693.58	780.44	540.19	848.22	599.49	660.68	775.05	669.92	708.18	642.59	743.43	638.15
PPP3R1	1467.37	669.92	1662.49	902.89	896.64	1733.13	620.67	961.07	947.83	728.11	825.0	1286.18	1143.1	1583.71	2018.8	420.68	379.04	555.41	688.78	521.76	507.46	480.04	638.15	389.72	591.22	775.05	480.04	486.75	656.11	486.75	429.54	559.28	518.15	473.41	395.18	336.79	503.95	642.59	547.75	703.28	406.31	486.75	647.07	679.29	447.82	486.75	559.28	454.09	559.28	579.04	612.11	397.93	514.56	511.0	723.08	490.14	579.04	511.0	500.46	540.19	486.75	470.14	571.05
PRKRA	1685.71	1104.13	1242.34	1023.0	902.89	1127.35	1051.79	974.5	1417.35	1023.0	947.83	1277.29	1199.98	1561.89	1870.53	703.28	638.15	733.19	872.1	753.83	743.43	624.99	796.86	703.28	819.3	981.29	647.07	595.34	753.83	769.69	802.41	674.59	718.08	842.36	624.99	813.63	656.11	769.69	718.08	819.3	595.34	764.36	961.07	974.5	708.18	703.28	684.02	780.44	819.3	954.43	830.75	638.15	759.08	1030.12	909.17	769.69	738.29	633.73	854.13	698.41	718.08	759.08	669.92
PSMD10	1583.71	1685.71	1781.89	1295.13	1359.57	2367.9	1135.2	1088.92	1151.06	1250.98	1268.46	1135.2	1250.98	1199.98	1733.13	679.29	796.86	961.07	1143.1	909.17	878.17	1096.5	1127.35	802.41	1081.39	1313.23	802.41	813.63	1066.48	866.07	941.27	961.07	941.27	902.89	728.11	808.0	909.17	1066.48	928.3	1119.56	684.02	1015.93	1417.35	1111.82	813.63	813.63	934.76	934.76	1037.29	1051.79	1023.0	934.76	896.64	878.17	988.12	723.08	890.44	921.88	878.17	848.22	842.36	995.0	1096.5
PTBP3	1242.34	595.34	1268.46	872.1	836.53	1088.92	450.94	909.17	819.3	521.76	674.59	896.64	1044.52	896.64	967.76	173.85	289.02	258.57	406.31	221.86	285.03	256.78	356.05	483.38	351.14	497.0	303.44	182.55	301.33	158.79	182.55	318.57	249.73	234.57	204.07	281.09	318.57	356.05	339.14	265.87	209.84	191.67	454.09	363.56	208.38	312.0	316.37	214.27	429.54	199.85	264.03	206.94	242.88	381.68	358.54	242.88	273.37	234.57	220.32	291.04	320.8	241.19	339.14
PTGES3	11035.54	6037.61	10959.3	6337.83	6381.92	18950.18	5872.48	6164.49	7130.55	6381.92	6294.04	6121.9	6037.61	7966.99	7130.55	2758.13	2997.45	4769.75	5041.77	4152.18	3928.15	4575.41	5183.54	3372.43	4704.07	5517.27	3146.52	3639.7	4575.41	3716.2	3540.14	4298.64	3742.05	3742.05	3928.15	4298.64	4123.49	4769.75	4210.15	5594.3	3060.45	4298.64	5913.33	5441.3	3395.89	3257.52	4575.41	3901.01	5255.91	4181.07	4123.49	3639.7	3901.01	3982.99	4607.24	3982.99	3820.7	3716.2	3395.89	4181.07	4869.99	4038.61	4903.87
PTPLB	836.53	656.11	1639.59	651.58	728.11	1151.06	463.65	583.07	633.73	679.29	521.76	1397.83	660.68	1015.93	813.63	161.02	167.9	297.17	366.09	212.78	295.11	400.71	432.53	150.17	260.38	599.49	260.38	248.0	379.04	353.59	228.13	320.8	253.23	255.0	279.14	262.2	341.51	387.02	295.11	389.72	260.38	275.28	503.95	376.41	279.14	258.57	241.19	241.19	358.54	346.29	262.2	226.54	246.28	281.09	368.65	228.13	291.04	291.04	287.01	283.05	236.21	283.05	381.68
PUS3	255.0	303.44	171.45	264.03	251.48	241.19	262.2	341.51	305.55	454.09	255.0	285.03	273.37	295.11	460.44	155.5	127.0	194.36	202.66	159.9	155.5	153.34	198.47	171.45	169.07	189.02	131.51	144.01	167.9	223.41	155.5	186.4	193.01	175.07	204.07	170.25	120.94	180.02	165.57	246.28	159.9	191.67	191.67	197.09	152.28	127.0	194.36	136.19	241.19	163.28	204.07	169.07	209.84	171.45	244.57	166.73	191.67	127.0	166.73	148.09	205.5	165.57	134.3
RAD17	656.11	563.18	454.09	518.15	486.75	665.29	567.1	507.46	587.13	587.13	620.67	599.49	718.08	629.35	395.18	279.14	368.65	473.41	563.18	366.09	387.02	414.87	500.46	279.14	417.77	642.59	361.04	400.71	457.25	384.34	373.81	463.65	406.31	417.77	521.76	373.81	387.02	454.09	389.72	500.46	361.04	356.05	599.49	575.03	412.0	373.81	551.56	414.87	518.15	447.82	392.44	387.02	400.71	435.55	381.68	358.54	450.94	460.44	406.31	414.87	406.31	438.59	540.19
RALA	1529.73	669.92	1104.13	928.3	1001.93	1159.07	684.02	1088.92	974.5	764.36	947.83	961.07	785.88	1104.13	1457.23	291.04	301.33	470.14	624.99	403.5	403.5	460.44	521.76	175.07	414.87	624.99	363.56	299.25	514.56	346.29	329.84	470.14	397.93	371.22	400.71	297.17	379.04	470.14	363.56	571.05	320.8	387.02	423.61	511.0	323.03	387.02	503.95	353.59	629.35	444.72	463.65	312.0	395.18	279.14	483.38	438.59	384.34	392.44	334.46	316.37	397.93	381.68	444.72
RALB	2255.7	995.0	1832.01	1096.5	1151.06	1745.2	1477.58	1259.69	1030.12	896.64	1059.11	1313.23	981.29	1769.57	1819.35	842.36	620.67	915.51	941.27	733.19	796.86	802.41	988.12	384.34	896.64	1066.48	638.15	583.07	915.51	693.58	638.15	1023.0	785.88	693.58	764.36	785.88	1015.93	1030.12	748.61	928.3	480.04	759.08	921.88	1104.13	466.88	791.35	974.5	583.07	1225.22	738.29	934.76	669.92	703.28	656.11	995.0	688.78	693.58	563.18	728.11	723.08	884.29	718.08	854.13
RAN	9740.98	6561.36	9409.14	6121.9	6037.61	15715.58	7230.1	7695.57	9945.68	8840.04	8305.36	6887.62	4802.93	6381.92	7911.95	3639.7	4038.61	5041.77	5006.93	5672.41	4671.57	4836.35	4903.87	4210.15	4836.35	6887.62	4358.66	3901.01	5219.6	4769.75	7180.15	4704.07	4836.35	4607.24	3690.52	4802.93	4358.66	5006.93	4575.41	5183.54	3515.68	6607.01	4937.99	6516.03	4095.0	5183.54	4419.52	5076.84	5183.54	5954.47	5791.62	4512.4	4575.41	4543.8	6121.9	5366.37	4769.75	4358.66	5517.27	4298.64	4481.23	4298.64	4736.79
RB1	878.17	693.58	842.36	1167.14	819.3	1397.83	395.18	563.18	759.08	769.69	718.08	988.12	540.19	1066.48	1508.65	285.03	287.01	447.82	525.39	397.93	406.31	297.17	373.81	281.09	444.72	656.11	275.28	323.03	500.46	381.68	281.09	392.44	351.14	334.46	241.19	260.38	327.56	457.25	366.09	466.88	339.14	325.29	616.37	656.11	351.14	371.22	309.83	363.56	353.59	325.29	417.77	293.07	309.83	397.93	521.76	228.13	395.18	384.34	334.46	432.53	242.88	301.33	373.81
RBAK	277.2	162.14	150.17	260.38	205.5	167.9	145.02	178.77	175.07	175.07	189.02	211.31	279.14	180.02	147.06	82.29	70.01	88.88	142.01	98.73	118.43	60.39	92.7	132.44	84.04	198.47	132.44	115.97	100.13	85.22	90.77	108.9	108.14	115.16	107.38	143.01	116.78	116.78	94.67	105.89	103.69	108.14	198.47	159.9	121.79	67.12	126.12	118.43	153.34	82.87	82.87	126.12	90.77	123.5	118.43	90.77	93.35	139.07	114.36	155.5	102.97	109.66	85.82
RBM18	866.07	620.67	866.07	642.59	669.92	780.44	283.05	571.05	629.35	693.58	587.13	603.67	674.59	708.18	1143.1	194.36	147.06	392.44	412.0	215.77	229.72	361.04	412.0	191.67	309.83	309.83	208.38	212.78	348.71	228.13	217.27	429.54	281.09	215.77	293.07	309.83	291.04	379.04	373.81	368.65	217.27	229.72	412.0	356.05	223.41	249.73	353.59	218.79	373.81	271.48	267.73	229.72	239.52	287.01	334.46	241.19	244.57	237.86	258.57	226.54	329.84	295.11	368.65
REEP3	941.27	607.87	802.41	759.08	988.12	759.08	638.15	656.11	629.35	460.44	733.19	791.35	780.44	836.53	1051.79	285.03	435.55	279.14	490.14	343.89	353.59	255.0	444.72	314.17	336.79	603.67	348.71	228.13	426.57	206.94	283.05	373.81	271.48	267.73	186.4	295.11	307.69	285.03	267.73	381.68	244.57	299.25	507.46	397.93	295.11	299.25	221.86	281.09	356.05	309.83	339.14	248.0	341.51	283.05	323.03	297.17	412.0	273.37	283.05	348.71	320.8	267.73	332.14
RFC2	1096.5	587.13	679.29	426.57	450.94	866.07	684.02	599.49	647.07	647.07	591.22	447.82	536.45	486.75	638.15	318.57	275.28	358.54	409.15	312.0	303.44	414.87	323.03	183.82	356.05	476.71	327.56	332.14	332.14	454.09	312.0	376.41	409.15	336.79	447.82	376.41	297.17	332.14	441.64	371.22	281.09	358.54	329.84	420.68	327.56	332.14	363.56	336.79	409.15	334.46	368.65	339.14	463.65	303.44	412.0	327.56	356.05	361.04	285.03	343.89	297.17	339.14	327.56
RFK	620.67	423.61	642.59	466.88	493.56	463.65	412.0	423.61	466.88	638.15	480.04	514.56	595.34	723.08	665.29	269.6	197.09	463.65	536.45	339.14	318.57	353.59	583.07	244.57	460.44	575.03	236.21	186.4	435.55	423.61	332.14	476.71	297.17	291.04	277.2	269.6	334.46	339.14	279.14	363.56	201.25	403.5	612.11	457.25	229.72	265.87	420.68	301.33	483.38	460.44	392.44	214.27	291.04	414.87	361.04	334.46	265.87	271.48	307.69	343.89	480.04	305.55	466.88
RHNO1	1081.39	967.76	995.0	909.17	836.53	1233.75	909.17	647.07	723.08	775.05	791.35	633.73	616.37	693.58	728.11	457.25	603.67	723.08	836.53	457.25	371.22	642.59	679.29	587.13	503.95	555.41	379.04	575.03	387.02	392.44	387.02	791.35	624.99	473.41	547.75	500.46	551.56	713.11	748.61	764.36	348.71	470.14	791.35	902.89	381.68	316.37	665.29	571.05	796.86	395.18	389.72	713.11	607.87	483.38	473.41	392.44	417.77	497.0	435.55	540.19	483.38	656.11	674.59
RP11-286N22.8	1030.12	813.63	1397.83	1073.91	967.76	1023.0	1151.06	1059.11	1088.92	1008.9	934.76	909.17	915.51	1259.69	1081.39	543.96	466.88	934.76	1030.12	860.08	679.29	616.37	896.64	559.28	551.56	1159.07	679.29	830.75	743.43	909.17	1023.0	836.53	860.08	854.13	651.58	624.99	738.29	830.75	928.3	954.43	563.18	995.0	1030.12	1066.48	769.69	780.44	733.19	872.1	638.15	599.49	848.22	928.3	842.36	525.39	1073.91	791.35	785.88	921.88	941.27	620.67	551.56	674.59	785.88
RPE	1127.35	624.99	1073.91	698.41	708.18	988.12	808.0	860.08	1030.12	708.18	753.83	764.36	693.58	660.68	1127.35	373.81	483.38	536.45	830.75	395.18	366.09	813.63	642.59	612.11	607.87	830.75	514.56	403.5	583.07	507.46	454.09	599.49	583.07	503.95	447.82	486.75	559.28	624.99	595.34	603.67	521.76	454.09	775.05	836.53	500.46	473.41	665.29	500.46	698.41	473.41	514.56	532.74	450.94	603.67	503.95	397.93	547.75	406.31	500.46	638.15	559.28	379.04	723.08
RPF1	1208.34	1119.56	2739.08	1369.04	1233.75	2133.97	1151.06	967.76	1151.06	1119.56	1378.57	866.07	830.75	1127.35	1191.69	612.11	454.09	941.27	854.13	759.08	713.11	808.0	842.36	642.59	802.41	1143.1	642.59	775.05	915.51	698.41	819.3	848.22	791.35	759.08	718.08	728.11	688.78	764.36	884.29	902.89	688.78	819.3	1286.18	1378.57	629.35	674.59	802.41	748.61	890.44	780.44	775.05	780.44	738.29	660.68	921.88	796.86	733.19	785.88	684.02	764.36	842.36	669.92	733.19
RPL7L1	1628.26	1369.04	1883.54	1457.23	1540.37	1794.29	1397.83	1950.0	1991.0	1870.53	1487.87	1896.65	2148.82	1769.57	2004.85	813.63	872.1	1111.82	1359.57	1151.06	1183.45	1119.56	1143.1	1135.2	1199.98	1437.15	934.76	1066.48	1151.06	1295.13	1143.1	1088.92	1175.27	1088.92	872.1	921.88	961.07	1437.15	1183.45	1313.23	915.51	1295.13	1498.22	1709.26	1088.92	961.07	1081.39	1304.15	1088.92	1044.52	1081.39	1268.46	1295.13	1081.39	1487.87	947.83	1143.1	1233.75	1183.45	1030.12	1088.92	1008.9	1135.2
RPP30	1183.45	941.27	878.17	902.89	733.19	981.29	854.13	808.0	947.83	575.03	1044.52	1001.93	995.0	1277.29	1605.83	543.96	309.83	486.75	733.19	507.46	500.46	599.49	567.1	305.55	629.35	698.41	571.05	525.39	651.58	480.04	466.88	665.29	698.41	559.28	633.73	595.34	571.05	591.22	660.68	764.36	708.18	543.96	836.53	493.56	441.64	612.11	547.75	457.25	629.35	684.02	583.07	361.04	514.56	483.38	616.37	583.07	497.0	559.28	525.39	713.11	555.41	633.73	551.56
RSL1D1	4903.87	3515.68	3303.0	4066.71	4937.99	4704.07	3955.48	6207.38	8421.31	5147.73	4543.8	4512.4	4869.99	5517.27	6164.49	1286.18	1757.34	1936.53	2319.15	1572.76	1304.15	2104.58	2061.24	1697.45	1844.76	2351.53	1277.29	1508.65	1487.87	1529.73	1709.26	2090.03	1794.29	1628.26	2468.49	2451.44	1697.45	2104.58	2224.63	2178.83	1369.04	1794.29	3018.3	2485.67	1583.71	1073.91	1936.53	1685.71	3039.3	1208.34	1685.71	2018.8	2032.85	1540.37	2468.49	1268.46	1721.16	1572.76	1697.45	1594.73	2047.0	1883.54	1883.54
SCOC	3190.46	1896.65	3168.41	2240.11	2796.65	4937.99	2701.35	1594.73	1963.57	1769.57	2351.53	2075.59	2664.15	2895.31	3955.48	961.07	1143.1	1857.6	2090.03	1159.07	1119.56	1844.76	2351.53	967.76	1685.71	2468.49	988.12	928.3	1709.26	947.83	1059.11	1806.78	1331.57	1059.11	1268.46	1508.65	1295.13	1250.98	1794.29	1350.18	679.29	1191.69	2627.46	1733.13	954.43	1135.2	2104.58	1119.56	1909.85	1498.22	1407.55	1023.0	1183.45	1277.29	1304.15	1151.06	1388.16	1175.27	1143.1	1295.13	2104.58	1331.57	1709.26
SCP2	5555.65	4903.87	5517.27	5479.15	6516.03	6887.62	5292.48	4239.45	5329.3	5633.22	5633.22	4607.24	4038.61	5041.77	8134.41	2434.5	3768.09	4836.35	4543.8	2835.7	2935.74	4181.07	4543.8	2303.12	3515.68	5441.3	2816.11	2163.77	3742.05	2224.63	3190.46	4388.98	2935.74	3039.3	2645.74	2816.11	3665.02	3168.41	3515.68	3742.05	1844.76	3190.46	4769.75	4358.66	2209.26	2997.45	3874.05	2609.3	4328.55	3589.58	3395.89	2104.58	2701.35	2915.45	2816.11	3039.3	3372.43	2875.3	2997.45	3443.31	3665.02	3081.75	4123.49
SEC22A	603.67	447.82	743.43	412.0	457.25	753.83	417.77	432.53	444.72	441.64	503.95	483.38	368.65	612.11	256.78	277.2	142.01	299.25	392.44	406.31	339.14	242.88	339.14	258.57	348.71	503.95	325.29	279.14	435.55	262.2	336.79	275.28	329.84	265.87	281.09	389.72	224.97	316.37	301.33	457.25	318.57	256.78	392.44	587.13	229.72	256.78	320.8	295.11	332.14	409.15	363.56	295.11	363.56	262.2	529.06	265.87	339.14	301.33	327.56	353.59	316.37	325.29	297.17
SLC25A43	392.44	267.73	587.13	201.25	96.68	503.95	241.19	262.2	231.32	323.03	309.83	397.93	303.44	392.44	460.44	57.49	127.0	118.43	172.65	97.36	121.79	108.9	90.14	29.7	136.19	186.4	124.37	74.06	78.34	111.99	72.01	169.07	59.97	109.66	140.04	110.43	189.02	90.77	85.22	166.73	87.65	134.3	159.9	114.36	90.77	39.22	156.59	98.04	191.67	146.03	74.58	54.72	77.79	78.34	147.06	93.35	50.63	111.99	96.68	72.52	129.69	109.66	107.38
SMARCA5	974.5	723.08	909.17	884.29	866.07	1159.07	669.92	775.05	842.36	769.69	802.41	808.0	988.12	1030.12	1001.93	423.61	497.0	559.28	624.99	633.73	470.14	579.04	656.11	518.15	486.75	718.08	503.95	647.07	633.73	703.28	591.22	507.46	571.05	543.96	591.22	406.31	476.71	642.59	514.56	638.15	514.56	507.46	896.64	1081.39	591.22	571.05	607.87	547.75	486.75	579.04	703.28	555.41	595.34	660.68	848.22	473.41	660.68	748.61	743.43	669.92	713.11	423.61	579.04
SNX6	2451.44	1447.15	3212.66	1757.34	1322.37	5147.73	1519.15	1651.0	1794.29	1540.37	1594.73	1923.14	1551.09	2468.49	2319.15	836.53	551.56	1151.06	1259.69	921.88	884.29	1073.91	1208.34	466.88	1001.93	1551.09	748.61	733.19	1015.93	775.05	915.51	1143.1	909.17	860.08	819.3	819.3	995.0	878.17	1030.12	1529.73	693.58	995.0	1388.16	1417.35	759.08	836.53	1143.1	802.41	1277.29	961.07	878.17	921.88	854.13	769.69	1199.98	808.0	878.17	872.1	866.07	915.51	915.51	854.13	1051.79
SOX4	2935.74	796.86	2835.7	775.05	1066.48	1151.06	595.34	2451.44	3280.18	802.41	1259.69	1159.07	1457.23	848.22	1268.46	264.03	273.37	336.79	457.25	181.28	102.97	271.48	217.27	295.11	264.03	269.6	115.16	149.12	186.4	125.24	111.21	529.06	703.28	138.1	336.79	190.34	149.12	409.15	457.25	256.78	169.07	146.03	142.01	277.2	111.99	143.01	293.07	214.27	441.64	134.3	260.38	201.25	256.78	185.11	172.65	185.11	141.02	181.28	128.79	154.42	152.28	265.87	379.04
STT3B	3124.78	2090.03	2796.65	1936.53	2777.33	3955.48	2287.2	2468.49	1963.57	3349.13	1697.45	2627.46	1674.06	2255.7	2417.67	1088.92	1295.13	1662.49	2209.26	1051.79	1721.16	1832.01	2303.12	1340.84	1721.16	2573.36	1233.75	1111.82	2351.53	1757.34	1304.15	1819.35	1617.0	1313.23	1242.34	1135.2	1498.22	1977.24	1572.76	1936.53	1073.91	1369.04	2720.15	2193.99	902.89	1216.75	1487.87	1216.75	1991.0	1651.0	1977.24	1104.13	1350.18	1628.26	1923.14	1388.16	1259.69	1216.75	1572.76	1378.57	1397.83	1487.87	2178.83
SUV39H2	223.41	170.25	327.56	117.6	190.34	273.37	141.02	158.79	267.73	146.03	142.01	223.41	215.77	220.32	332.14	60.39	48.18	145.02	146.03	76.17	74.58	105.15	121.79	92.7	125.24	114.36	66.18	65.26	77.25	113.56	113.56	100.13	80.57	98.73	68.07	72.52	94.67	109.66	84.63	112.77	49.56	104.42	177.53	191.67	78.89	86.43	143.01	116.78	120.1	119.26	147.06	70.51	108.9	95.34	132.44	103.69	115.16	87.65	104.42	100.83	91.41	101.54	92.7
