	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
NMNAT3	0.0	0.47	48.18	89.51	96.01	96.01	72.52	110.43	85.82	103.69	85.82	138.1	57.89	46.84	36.79	67.12	82.29	142.01	56.68	81.14	50.63	95.34	54.33	58.71	77.79	37.05	135.24	89.51	73.54	111.99	94.67	127.89	66.18	90.77	64.8	57.08	99.43	27.84	114.36	51.35	69.03	96.01	65.72	32.59	31.22	67.59	56.28	72.01	121.79	447.82	226.54	463.65	309.83	500.46	275.28	204.07	295.11	138.1	376.41	336.79	836.53	151.22	540.19	116.78	271.48	180.02	217.27	154.42	318.57	186.4	173.85	231.32	339.14	348.71	368.65	275.28	466.88	137.14	246.28	221.86	158.79	271.48	497.0	181.28	387.02	202.66	323.03	246.28	136.19	301.33	223.41	314.17	307.69	150.17	145.02	172.65	218.79	159.9	158.79	708.18	165.57	93.35	183.82	165.57	224.97	190.34	181.28	209.84	260.38	111.21	172.65	147.06	346.29	229.72	363.56
NOL4	0.0	0.0	1.81	55.49	1.0	12.09	1.1	15.22	1.27	1.79	49.21	12.0	20.11	7.17	4.9	1.25	15.34	7.28	6.21	10.08	0.49	18.7	4.62	1.69	22.1	2.1	35.5	5.11	5.19	45.85	8.78	7.63	4.9	11.64	33.06	0.0	0.42	2.1	65.26	7.88	1.55	38.12	5.45	0.45	4.1	70.51	9.41	5.87	43.94	68.55	125.24	12.18	88.26	128.79	102.25	81.71	346.29	50.98	193.01	297.17	214.27	87.03	101.54	41.52	24.11	164.42	145.02	90.14	151.22	395.18	61.25	98.73	43.02	34.51	23.59	104.42	241.19	40.93	38.12	264.03	48.52	189.02	82.87	178.77	115.16	88.26	299.25	228.13	46.18	159.9	60.39	376.41	103.69	63.45	81.14	108.9	92.7	173.85	182.55	153.34	223.41	56.28	46.5	265.87	31.45	34.51	120.94	130.6	61.68	97.36	15.8	81.14	60.39	220.32	101.54
NUAK2	178.77	120.94	152.28	289.02	212.78	255.0	82.87	127.0	166.73	119.26	198.47	271.48	189.02	150.17	87.65	151.22	356.05	193.01	201.25	105.15	167.9	152.28	84.04	81.14	172.65	76.17	115.16	194.36	95.34	120.94	189.02	239.52	241.19	251.48	285.03	100.83	130.6	205.5	279.14	198.47	177.53	201.25	110.43	96.01	256.78	260.38	181.28	187.71	285.03	366.09	603.67	423.61	1225.22	423.61	571.05	543.96	743.43	759.08	532.74	866.07	660.68	547.75	547.75	629.35	587.13	483.38	460.44	232.94	547.75	624.99	934.76	327.56	493.56	325.29	454.09	387.02	693.58	381.68	723.08	521.76	620.67	199.85	356.05	511.0	507.46	376.41	265.87	507.46	819.3	708.18	764.36	595.34	323.03	384.34	559.28	713.11	412.0	457.25	532.74	941.27	543.96	529.06	688.78	521.76	679.29	1378.57	743.43	669.92	753.83	371.22	753.83	341.51	356.05	2004.85	463.65
OGDH	0.0	0.61	1081.39	1721.16	1015.93	1605.83	854.13	1216.75	1286.18	1175.27	1628.26	2018.8	1519.15	1183.45	909.17	1059.11	1857.6	1487.87	884.29	884.29	1487.87	1519.15	1143.1	1175.27	1378.57	1051.79	1628.26	902.89	1051.79	1617.0	1104.13	1233.75	1427.22	1322.37	1594.73	1277.29	909.17	1183.45	1427.22	1167.14	848.22	1397.83	1378.57	1313.23	1250.98	1340.84	1233.75	995.0	1883.54	2271.4	3168.41	1159.07	2303.12	2075.59	2193.99	2133.97	2816.11	3060.45	2303.12	1936.53	1674.06	2240.11	1745.2	2609.3	2104.58	2209.26	3303.0	4181.07	2209.26	3257.52	2224.63	1977.24	1781.89	1721.16	1733.13	1268.46	1936.53	2271.4	2193.99	1794.29	2434.5	2502.97	2351.53	2935.74	1896.65	2627.46	1745.2	2520.38	3349.13	2018.8	1733.13	2555.58	1745.2	2335.28	2148.82	3257.52	2047.0	2255.7	2133.97	1870.53	2609.3	2537.92	2075.59	2976.74	2739.08	2255.7	2018.8	3235.01	1991.0	2061.24	1529.73	1583.71	1832.01	2240.11	2075.59
OGDHL	0.0	0.24	74.58	420.68	83.45	480.04	46.84	384.34	525.39	209.84	429.54	1350.18	406.31	221.86	138.1	63.0	599.49	181.28	63.45	53.19	497.0	358.54	113.56	102.97	339.14	73.54	343.89	118.43	105.15	1096.5	176.29	79.45	1617.0	603.67	423.61	87.03	376.41	43.32	414.87	74.06	101.54	339.14	106.63	34.26	176.29	450.94	211.31	34.26	387.02	2997.45	1175.27	669.92	1447.15	1250.98	2520.38	426.57	2835.7	1322.37	947.83	1628.26	753.83	400.71	1963.57	1685.71	791.35	536.45	3515.68	2287.2	723.08	3491.39	265.87	595.34	995.0	2335.28	373.81	607.87	1286.18	2777.33	161.02	2367.9	1572.76	2627.46	974.5	1757.34	3794.3	808.0	1806.78	819.3	1417.35	775.05	718.08	785.88	208.38	2047.0	1199.98	1757.34	4095.0	733.19	454.09	1417.35	559.28	1340.84	764.36	1909.85	1340.84	1313.23	748.61	5633.22	2209.26	1340.84	432.53	426.57	1721.16	1437.15	2240.11
OSCP1	0.0	0.0	312.0	470.14	420.68	420.68	366.09	368.65	387.02	368.65	540.19	426.57	368.65	323.03	299.25	384.34	507.46	346.29	273.37	309.83	348.71	316.37	366.09	329.84	318.57	334.46	318.57	379.04	397.93	579.04	376.41	379.04	379.04	395.18	414.87	236.21	346.29	312.0	483.38	438.59	293.07	543.96	356.05	291.04	559.28	368.65	420.68	262.2	316.37	376.41	480.04	669.92	629.35	463.65	587.13	417.77	633.73	361.04	555.41	961.07	389.72	409.15	591.22	525.39	450.94	412.0	688.78	583.07	500.46	624.99	529.06	511.0	463.65	500.46	403.5	346.29	571.05	559.28	497.0	620.67	633.73	432.53	429.54	629.35	511.0	483.38	854.13	497.0	473.41	988.12	507.46	559.28	500.46	748.61	603.67	567.1	974.5	536.45	518.15	769.69	718.08	450.94	551.56	651.58	563.18	660.68	607.87	633.73	583.07	511.0	497.0	361.04	583.07	551.56	503.95
PARVA	0.0	0.67	447.82	457.25	723.08	497.0	412.0	348.71	483.38	684.02	384.34	575.03	567.1	406.31	559.28	397.93	595.34	647.07	679.29	620.67	387.02	486.75	595.34	532.74	813.63	616.37	591.22	547.75	521.76	438.59	656.11	587.13	325.29	514.56	587.13	679.29	624.99	624.99	476.71	595.34	607.87	441.64	579.04	583.07	521.76	500.46	679.29	603.67	638.15	647.07	775.05	802.41	974.5	842.36	642.59	848.22	633.73	769.69	1096.5	500.46	813.63	961.07	684.02	612.11	764.36	669.92	651.58	842.36	1015.93	780.44	688.78	988.12	743.43	674.59	543.96	603.67	1066.48	518.15	848.22	665.29	718.08	981.29	748.61	764.36	624.99	1066.48	698.41	961.07	813.63	559.28	587.13	543.96	785.88	688.78	457.25	693.58	457.25	684.02	651.58	669.92	753.83	379.04	591.22	529.06	890.44	536.45	674.59	796.86	638.15	638.15	738.29	830.75	616.37	780.44	769.69
PAX6	0.0	0.2	5.5	6.73	6.57	4.54	5.73	5.02	6.11	6.62	5.73	6.41	6.16	6.46	5.02	7.34	6.46	2.89	7.69	6.84	4.82	6.16	4.9	4.28	4.17	5.92	3.35	5.02	3.66	5.77	7.51	7.94	8.06	5.06	7.22	3.17	3.86	4.1	5.92	4.54	4.66	4.62	5.73	4.54	8.78	6.94	4.17	2.48	9.78	15.11	13.93	7.06	13.42	10.55	9.93	13.12	12.45	7.88	10.31	8.51	8.32	16.15	18.43	7.4	22.1	11.64	16.03	12.36	15.91	14.03	9.34	13.12	8.25	10.08	11.91	6.26	8.45	5.02	12.0	8.65	7.34	8.58	15.0	11.3	8.19	6.73	14.56	10.63	8.51	8.13	11.91	10.24	11.13	8.58	8.25	9.78	5.15	8.71	6.36	8.71	6.94	8.51	10.31	6.94	7.0	7.46	17.51	9.7	9.7	3.92	3.41	5.5	12.36	12.64	12.45
PBX4	0.0	0.68	248.0	256.78	92.05	318.57	166.73	297.17	185.11	104.42	341.51	118.43	291.04	287.01	239.52	214.27	232.94	301.33	249.73	244.57	70.01	246.28	91.41	232.94	457.25	77.79	327.56	256.78	244.57	153.34	242.88	363.56	92.05	438.59	379.04	90.77	108.14	150.17	412.0	178.77	236.21	320.8	129.69	77.79	154.42	173.85	325.29	156.59	780.44	1936.53	748.61	1151.06	1008.9	738.29	1991.0	1135.2	563.18	825.0	915.51	3491.39	902.89	638.15	2468.49	559.28	2178.83	507.46	848.22	429.54	738.29	1167.14	480.04	1175.27	1721.16	2682.69	1844.76	2224.63	954.43	842.36	902.89	2485.67	1183.45	567.1	1286.18	483.38	2875.3	325.29	525.39	1295.13	878.17	1819.35	1529.73	1259.69	1268.46	1277.29	1508.65	543.96	2701.35	796.86	836.53	1651.0	314.17	529.06	1457.23	796.86	339.14	2061.24	633.73	476.71	2209.26	1127.35	848.22	500.46	1991.0	1331.57	866.07
PHOSPHO2	0.0	0.01	105.15	190.34	90.14	165.57	82.29	69.52	123.5	84.63	132.44	146.03	91.41	121.79	77.25	82.29	123.5	109.66	80.57	125.24	100.13	105.89	111.99	84.04	73.54	93.35	122.64	64.8	109.66	152.28	111.99	116.78	139.07	77.25	92.05	69.52	113.56	68.55	146.03	100.83	98.04	97.36	127.89	94.01	118.43	138.1	94.67	59.13	125.24	189.02	176.29	139.07	214.27	289.02	181.28	156.59	155.5	165.57	211.31	214.27	253.23	156.59	208.38	237.86	164.42	217.27	194.36	117.6	198.47	166.73	163.28	139.07	162.14	199.85	137.14	118.43	176.29	127.0	108.14	262.2	204.07	253.23	195.72	172.65	162.14	223.41	361.04	202.66	125.24	198.47	182.55	190.34	134.3	148.09	217.27	237.86	255.0	246.28	229.72	172.65	228.13	155.5	109.66	211.31	183.82	249.73	307.69	186.4	177.53	185.11	167.9	173.85	166.73	220.32	224.97
PIH1D2	0.0	0.0	88.26	117.6	97.36	107.38	133.36	148.09	86.43	93.35	154.42	87.65	68.07	145.02	96.01	70.51	120.1	141.02	54.72	129.69	55.49	106.63	71.0	50.27	82.87	78.34	143.01	102.25	94.67	139.07	120.1	90.14	150.17	130.6	99.43	65.72	67.59	54.33	163.28	96.68	67.12	138.1	75.64	79.45	118.43	158.79	117.6	62.56	74.06	123.5	224.97	361.04	260.38	218.79	173.85	123.5	152.28	172.65	293.07	202.66	201.25	121.79	202.66	204.07	124.37	191.67	228.13	156.59	165.57	218.79	147.06	147.06	157.68	283.05	135.24	163.28	90.14	130.6	141.02	237.86	303.44	156.59	206.94	191.67	255.0	148.09	318.57	199.85	118.43	204.07	132.44	176.29	379.04	208.38	148.09	122.64	204.07	162.14	155.5	215.77	140.04	147.06	119.26	209.84	183.82	231.32	305.55	151.22	264.03	77.79	119.26	136.19	267.73	175.07	155.5
PKNOX2	0.0	0.37	12.36	135.24	25.91	142.01	103.69	255.0	29.27	7.88	137.14	65.72	36.27	17.0	32.82	17.38	87.03	246.28	80.57	46.5	36.01	20.56	19.53	14.24	115.16	82.29	31.67	138.1	36.53	172.65	42.41	121.79	51.35	59.13	228.13	6.89	16.39	214.27	113.56	14.67	10.39	173.85	23.42	113.56	339.14	96.68	143.01	13.42	301.33	483.38	490.14	616.37	674.59	796.86	260.38	1427.22	511.0	3280.18	4095.0	265.87	253.23	191.67	287.01	348.71	1119.56	389.72	108.9	3212.66	1216.75	387.02	258.57	591.22	486.75	848.22	409.15	234.57	599.49	283.05	2875.3	579.04	267.73	764.36	825.0	1051.79	813.63	2627.46	395.18	567.1	206.94	226.54	91.41	493.56	387.02	279.14	246.28	1242.34	149.12	473.41	277.2	825.0	473.41	206.94	199.85	381.68	842.36	37.32	1295.13	181.28	791.35	358.54	336.79	72.52	1950.0	91.41	748.61
PLCH1	0.0	0.0	4.31	72.01	1.73	28.65	6.78	25.54	10.08	3.06	27.05	8.85	15.34	4.43	13.42	5.63	34.51	78.89	4.28	7.63	10.79	18.56	7.57	1.39	40.64	8.92	13.93	73.03	12.45	29.06	37.32	21.47	21.01	29.48	50.27	2.53	6.67	10.96	23.93	19.11	16.88	29.91	11.82	6.26	28.65	23.08	51.35	18.16	93.35	124.37	271.48	483.38	155.5	170.25	112.77	267.73	232.94	151.22	197.09	198.47	92.7	142.01	80.57	103.69	182.55	177.53	226.54	231.32	169.07	241.19	122.64	151.22	54.72	273.37	111.99	81.14	105.89	81.14	218.79	147.06	122.64	389.72	147.06	187.71	303.44	156.59	466.88	164.42	153.34	165.57	98.04	156.59	214.27	40.93	138.1	389.72	303.44	182.55	251.48	264.03	186.4	392.44	145.02	77.79	84.04	172.65	277.2	186.4	108.9	89.51	14.03	13.93	154.42	129.69	187.71
PQLC1	0.0	0.74	825.0	665.29	638.15	884.29	450.94	607.87	713.11	547.75	753.83	1508.65	1104.13	915.51	759.08	941.27	860.08	981.29	1159.07	813.63	679.29	848.22	947.83	988.12	1081.39	698.41	1447.15	1313.23	633.73	928.3	909.17	1250.98	759.08	1191.69	1015.93	748.61	607.87	693.58	802.41	947.83	785.88	665.29	780.44	808.0	759.08	733.19	947.83	1119.56	1023.0	1857.6	2777.33	1119.56	1519.15	915.51	2303.12	1487.87	1909.85	2018.8	1745.2	1477.58	1529.73	1909.85	1561.89	4210.15	1605.83	1757.34	2468.49	1674.06	1225.22	1447.15	1923.14	2119.22	1359.57	1977.24	1119.56	2148.82	1259.69	1757.34	1159.07	1397.83	1733.13	1529.73	1233.75	2163.77	1437.15	1225.22	1030.12	1143.1	1896.65	1551.09	1923.14	1508.65	1225.22	1806.78	1832.01	1378.57	1277.29	2555.58	1617.0	1397.83	1350.18	1529.73	1857.6	1508.65	2104.58	2573.36	2682.69	1697.45	1268.46	1819.35	1909.85	2468.49	1066.48	1183.45	1639.59
PRELID2	0.0	0.21	74.58	75.11	96.68	63.45	73.54	68.55	46.18	56.28	85.82	43.02	42.41	53.95	57.08	52.08	57.89	63.0	54.72	43.02	53.57	53.95	37.05	49.56	70.01	69.52	49.56	53.19	77.79	92.05	80.57	57.89	52.08	77.79	65.72	44.89	67.12	47.84	92.7	75.64	48.52	53.19	69.03	32.82	68.07	44.57	69.52	57.08	73.54	122.64	75.11	147.06	161.02	191.67	99.43	98.73	64.34	86.43	114.36	131.51	85.22	79.45	151.22	96.01	171.45	93.35	70.51	77.25	101.54	100.83	66.18	141.02	107.38	74.58	105.15	94.67	172.65	84.04	108.9	102.97	133.36	87.65	165.57	116.78	118.43	102.97	146.03	202.66	87.03	118.43	117.6	90.14	74.06	65.26	94.01	49.56	150.17	100.13	63.0	104.42	84.04	65.26	71.0	80.01	87.03	88.88	44.57	68.07	125.24	104.42	75.11	87.03	90.14	142.01	93.35
PRKCE	0.0	0.02	44.57	119.26	40.64	101.54	35.25	59.97	68.07	35.25	85.22	81.14	95.34	78.34	52.82	48.87	75.11	88.88	68.55	65.26	85.82	114.36	44.89	34.51	82.29	66.18	56.28	63.89	38.4	96.01	148.09	72.01	88.88	81.71	86.43	33.54	93.35	58.3	119.26	49.56	67.59	76.71	52.08	50.98	108.14	113.56	46.18	33.54	114.36	127.89	92.05	226.54	277.2	145.02	115.97	224.97	104.42	98.73	142.01	218.79	164.42	114.36	111.21	98.73	97.36	73.54	59.55	85.22	146.03	104.42	72.52	139.07	78.34	147.06	150.17	131.51	320.8	80.01	82.87	127.0	162.14	91.41	129.69	105.15	126.12	187.71	89.51	129.69	145.02	305.55	138.1	88.26	151.22	96.01	45.85	115.16	127.0	92.05	96.68	215.77	123.5	151.22	105.15	63.45	102.25	122.64	85.22	141.02	155.5	94.01	297.17	127.0	94.01	122.64	156.59
PRMT3	0.0	0.3	193.01	332.14	170.25	190.34	175.07	178.77	191.67	171.45	201.25	318.57	182.55	172.65	152.28	127.89	255.0	267.73	149.12	202.66	195.72	239.52	206.94	157.68	197.09	173.85	231.32	177.53	145.02	258.57	163.28	185.11	279.14	251.48	226.54	130.6	197.09	146.03	291.04	159.9	181.28	256.78	190.34	111.99	175.07	209.84	197.09	94.67	279.14	351.14	384.34	423.61	371.22	514.56	669.92	289.02	688.78	616.37	387.02	356.05	540.19	529.06	417.77	297.17	400.71	447.82	536.45	785.88	329.84	361.04	525.39	256.78	229.72	356.05	346.29	231.32	346.29	366.09	295.11	376.41	327.56	329.84	400.71	563.18	463.65	287.01	656.11	318.57	529.06	473.41	348.71	579.04	389.72	403.5	599.49	660.68	341.51	426.57	409.15	392.44	480.04	629.35	426.57	521.76	432.53	470.14	607.87	599.49	371.22	366.09	271.48	142.01	432.53	341.51	563.18
PRPS1	0.0	0.45	473.41	718.08	567.1	591.22	603.67	507.46	575.03	480.04	780.44	743.43	583.07	547.75	381.68	497.0	708.18	780.44	500.46	540.19	642.59	493.56	473.41	429.54	642.59	406.31	447.82	674.59	476.71	624.99	603.67	638.15	728.11	490.14	733.19	287.01	486.75	423.61	656.11	567.1	346.29	629.35	480.04	423.61	796.86	669.92	599.49	426.57	961.07	842.36	1709.26	1119.56	1551.09	1508.65	1096.5	1104.13	1350.18	1268.46	1674.06	974.5	1519.15	1199.98	819.3	1051.79	1167.14	1551.09	1340.84	1685.71	1167.14	1119.56	1457.23	981.29	698.41	1008.9	825.0	890.44	1119.56	748.61	1583.71	1119.56	1183.45	1242.34	1159.07	1437.15	836.53	1340.84	1477.58	1088.92	1104.13	1073.91	1066.48	1369.04	1081.39	743.43	1044.52	1340.84	638.15	1127.35	1044.52	1183.45	1697.45	1529.73	1242.34	1322.37	1508.65	1030.12	1467.37	1135.2	872.1	1242.34	1008.9	579.04	1044.52	1397.83	1233.75
PRR15L	0.0	0.4	547.75	866.07	902.89	1088.92	303.44	633.73	1487.87	981.29	2090.03	2855.44	1685.71	915.51	1088.92	728.11	1059.11	1487.87	371.22	1540.37	1313.23	1709.26	743.43	1268.46	967.76	435.55	1832.01	500.46	1457.23	1936.53	813.63	1135.2	1191.69	1037.29	1369.04	1119.56	403.5	139.07	1745.2	366.09	432.53	1540.37	575.03	748.61	928.3	981.29	872.1	403.5	1487.87	1437.15	2835.7	1015.93	3303.0	2796.65	2148.82	2573.36	1540.37	3018.3	3515.68	1896.65	2520.38	1697.45	2163.77	4298.64	1733.13	3372.43	3716.2	3060.45	1216.75	2335.28	3039.3	2976.74	1991.0	2287.2	1745.2	1769.57	2178.83	2835.7	2701.35	4038.61	4095.0	4358.66	1819.35	3039.3	1709.26	2758.13	3491.39	3081.75	1721.16	3665.02	2224.63	2319.15	3372.43	1477.58	3639.7	1359.57	1662.49	5255.91	3955.48	2119.22	1388.16	3124.78	1909.85	3467.27	1883.54	4239.45	1183.45	1844.76	1508.65	5219.6	5112.16	1745.2	3081.75	2875.3	2956.17
PRUNE	0.0	0.42	514.56	921.88	579.04	808.0	503.95	764.36	563.18	507.46	1073.91	616.37	718.08	808.0	507.46	507.46	796.86	785.88	423.61	454.09	470.14	629.35	447.82	483.38	738.29	444.72	665.29	447.82	638.15	748.61	723.08	624.99	633.73	599.49	860.08	281.09	343.89	417.77	934.76	567.1	595.34	896.64	466.88	463.65	854.13	848.22	571.05	356.05	780.44	1127.35	1832.01	1051.79	1605.83	1369.04	1519.15	1322.37	1135.2	1073.91	1304.15	1388.16	1359.57	1286.18	1073.91	1104.13	1313.23	1151.06	1529.73	988.12	1066.48	1143.1	1175.27	1369.04	780.44	1277.29	890.44	656.11	954.43	825.0	1819.35	819.3	954.43	1540.37	974.5	1498.22	1037.29	1508.65	1628.26	1277.29	802.41	1397.83	836.53	1437.15	1088.92	1066.48	1519.15	1023.0	1023.0	1104.13	1167.14	1191.69	988.12	1594.73	1037.29	1250.98	1199.98	1208.34	1322.37	1331.57	1008.9	928.3	1030.12	583.07	1199.98	1259.69	1313.23
PTCD2	0.0	0.0	101.54	145.02	82.87	125.24	102.25	85.82	115.97	118.43	132.44	147.06	109.66	87.03	74.58	89.51	120.94	118.43	81.71	87.65	87.65	140.04	76.71	89.51	101.54	84.04	95.34	62.12	96.68	127.0	115.16	120.1	114.36	92.7	147.06	60.39	81.14	86.43	108.9	87.03	92.7	100.13	87.65	87.03	127.89	153.34	96.68	55.1	134.3	119.26	165.57	185.11	175.07	170.25	135.24	154.42	102.25	130.6	158.79	139.07	162.14	85.22	143.01	145.02	165.57	156.59	113.56	129.69	132.44	142.01	147.06	146.03	134.3	170.25	146.03	90.14	131.51	94.01	165.57	132.44	158.79	206.94	141.02	107.38	133.36	214.27	223.41	151.22	94.01	173.85	132.44	138.1	150.17	163.28	115.97	152.28	142.01	111.21	100.83	111.21	114.36	135.24	85.22	139.07	130.6	136.19	161.02	141.02	120.94	98.04	91.41	114.36	131.51	187.71	148.09
PTPN4	0.0	0.17	138.1	314.17	145.02	172.65	158.79	223.41	167.9	127.0	191.67	228.13	116.78	153.34	118.43	142.01	281.09	178.77	180.02	147.06	107.38	159.9	152.28	150.17	275.28	197.09	199.85	178.77	157.68	334.46	214.27	144.01	387.02	175.07	202.66	102.25	129.69	134.3	251.48	164.42	130.6	277.2	232.94	141.02	303.44	273.37	167.9	138.1	341.51	346.29	297.17	307.69	297.17	532.74	447.82	205.5	417.77	612.11	277.2	1030.12	543.96	417.77	563.18	466.88	567.1	444.72	242.88	629.35	563.18	426.57	275.28	316.37	285.03	228.13	285.03	267.73	358.54	1008.9	507.46	603.67	228.13	348.71	264.03	281.09	532.74	423.61	397.93	297.17	624.99	265.87	208.38	400.71	327.56	351.14	251.48	454.09	536.45	368.65	258.57	780.44	332.14	346.29	406.31	450.94	297.17	158.79	314.17	291.04	642.59	239.52	332.14	314.17	277.2	426.57	514.56
PXMP4	0.0	0.0	110.43	271.48	149.12	242.88	143.01	193.01	217.27	170.25	221.86	186.4	144.01	221.86	156.59	153.34	366.09	239.52	144.01	186.4	166.73	193.01	277.2	101.54	242.88	206.94	231.32	66.18	185.11	187.71	127.89	175.07	136.19	220.32	204.07	139.07	116.78	164.42	205.5	197.09	127.0	215.77	244.57	223.41	215.77	218.79	145.02	142.01	314.17	249.73	571.05	251.48	371.22	400.71	320.8	251.48	316.37	381.68	301.33	258.57	318.57	281.09	287.01	563.18	312.0	583.07	346.29	417.77	236.21	532.74	297.17	314.17	258.57	368.65	358.54	126.12	239.52	228.13	567.1	208.38	356.05	674.59	392.44	412.0	363.56	723.08	303.44	289.02	470.14	318.57	201.25	314.17	202.66	454.09	289.02	417.77	239.52	336.79	281.09	181.28	325.29	353.59	224.97	441.64	470.14	466.88	287.01	356.05	269.6	279.14	195.72	325.29	361.04	366.09	301.33
