	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
USP45	76.71	24.11	0.0	0.47	96.01	167.9	121.79	191.67	221.86	123.5	242.88	115.16	281.09	141.02	153.34	134.3	141.02	231.32	185.11	173.85	182.55	189.02	104.42	154.42	218.79	111.21	190.34	195.72	154.42	161.02	214.27	228.13	204.07	151.22	285.03	191.67	125.24	125.24	116.78	229.72	93.35	84.63	130.6	106.63	241.19	283.05	256.78	186.4	189.02	172.65	264.03	134.3	153.34	135.24	178.77	223.41	255.0	90.14	132.44	224.97	183.82	82.87	146.03	180.02	190.34	201.25	110.43	198.47	153.34	149.12	100.83	107.38	105.89	103.69	138.1
USP7	890.44	429.54	728.11	180.02	718.08	1104.13	981.29	1447.15	1781.89	1008.9	1733.13	934.76	1594.73	1119.56	1111.82	961.07	1008.9	1617.0	1151.06	1295.13	1277.29	1551.09	928.3	1467.37	1175.27	878.17	2061.24	733.19	1023.0	1427.22	1167.14	1008.9	915.51	961.07	1073.91	1286.18	791.35	961.07	813.63	1674.06	791.35	921.88	1111.82	988.12	954.43	1561.89	1277.29	1477.58	1277.29	1167.14	1268.46	896.64	1794.29	884.29	1001.93	1857.6	1359.57	878.17	1088.92	1498.22	1709.26	866.07	1216.75	988.12	1127.35	1519.15	1023.0	1111.82	884.29	896.64	902.89	872.1	902.89	995.0	769.69
VPS13A	119.26	27.44	0.0	0.69	185.11	202.66	172.65	497.0	497.0	236.21	503.95	198.47	346.29	260.38	176.29	212.78	316.37	470.14	470.14	285.03	423.61	389.72	142.01	353.59	246.28	164.42	595.34	264.03	217.27	389.72	241.19	228.13	301.33	202.66	273.37	248.0	165.57	155.5	187.71	426.57	185.11	161.02	281.09	348.71	291.04	341.51	334.46	426.57	289.02	307.69	199.85	198.47	480.04	173.85	228.13	341.51	297.17	169.07	301.33	348.71	403.5	255.0	232.94	191.67	381.68	325.29	178.77	205.5	201.25	209.84	161.02	165.57	155.5	175.07	125.24
VPS29	1561.89	1617.0	0.0	0.85	2255.7	2367.9	2193.99	3168.41	2875.3	1977.24	2303.12	2047.0	2739.08	2720.15	2303.12	2240.11	2351.53	2133.97	2956.17	2664.15	2664.15	2591.27	1572.76	2384.37	1844.76	2335.28	2434.5	3349.13	1896.65	2758.13	2075.59	2133.97	2777.33	2777.33	2835.7	2816.11	2400.97	2335.28	2627.46	2520.38	2090.03	2303.12	2417.67	4066.71	2485.67	2796.65	2367.9	2351.53	2119.22	2573.36	2133.97	2133.97	2047.0	1806.78	2609.3	2303.12	2682.69	2271.4	2335.28	2351.53	3039.3	2303.12	2018.8	2468.49	2609.3	2384.37	1857.6	2018.8	2303.12	2573.36	2555.58	2682.69	2591.27	2004.85	1709.26
VRK1	113.56	34.26	0.0	0.29	202.66	146.03	202.66	297.17	180.02	112.77	205.5	140.04	218.79	171.45	148.09	127.0	126.12	223.41	244.57	127.0	173.85	208.38	134.3	185.11	176.29	141.02	143.01	102.25	149.12	218.79	117.6	152.28	153.34	136.19	134.3	218.79	159.9	170.25	171.45	208.38	144.01	175.07	144.01	167.9	175.07	172.65	215.77	182.55	190.34	205.5	153.34	142.01	215.77	146.03	154.42	190.34	181.28	166.73	167.9	165.57	134.3	127.89	159.9	156.59	199.85	170.25	113.56	157.68	154.42	127.89	129.69	146.03	146.03	169.07	95.34
WASF1	23.93	53.57	0.0	0.97	47.84	108.14	137.14	190.34	194.36	97.36	260.38	114.36	197.09	138.1	108.9	74.58	149.12	281.09	194.36	153.34	151.22	185.11	67.59	167.9	153.34	83.45	98.04	156.59	190.34	111.21	58.3	143.01	136.19	145.02	134.3	104.42	96.68	80.57	63.0	262.2	61.68	88.26	68.07	108.14	94.67	194.36	218.79	136.19	138.1	211.31	157.68	97.36	193.01	111.99	91.41	148.09	99.43	75.11	124.37	154.42	218.79	87.65	104.42	103.69	218.79	165.57	102.25	157.68	77.79	71.5	127.0	99.43	85.22	64.34	50.63
WASL	387.02	258.57	332.14	88.26	466.88	540.19	563.18	896.64	1008.9	603.67	941.27	514.56	1073.91	567.1	483.38	551.56	638.15	791.35	753.83	669.92	567.1	890.44	587.13	651.58	587.13	529.06	1051.79	620.67	521.76	708.18	587.13	616.37	595.34	575.03	728.11	791.35	307.69	497.0	460.44	854.13	633.73	417.77	738.29	447.82	547.75	708.18	1135.2	738.29	620.67	775.05	713.11	503.95	480.04	476.71	571.05	1096.5	703.28	447.82	447.82	878.17	836.53	460.44	587.13	511.0	579.04	728.11	599.49	698.41	454.09	559.28	518.15	507.46	497.0	493.56	384.34
WWC1	1628.26	191.67	329.84	98.73	947.83	1216.75	1561.89	2287.2	1857.6	1639.59	1304.15	1977.24	1059.11	1936.53	1583.71	2004.85	1175.27	1407.55	1447.15	2335.28	1508.65	1697.45	1447.15	1721.16	1745.2	884.29	1250.98	1477.58	1199.98	1605.83	1427.22	1540.37	1551.09	1088.92	1073.91	764.36	1457.23	1313.23	1304.15	1781.89	1733.13	947.83	1498.22	1051.79	974.5	1572.76	1350.18	2133.97	1651.0	1427.22	988.12	1447.15	2255.7	1508.65	813.63	2816.11	1225.22	1883.54	2104.58	1651.0	1159.07	1313.23	941.27	842.36	1175.27	1832.01	954.43	1594.73	1378.57	1015.93	1001.93	769.69	848.22	825.0	1167.14
YTHDC2	54.72	56.28	0.0	0.69	139.07	202.66	164.42	397.93	387.02	228.13	323.03	158.79	351.14	211.31	186.4	183.82	287.01	329.84	253.23	312.0	281.09	432.53	190.34	295.11	211.31	119.26	356.05	94.01	148.09	373.81	205.5	183.82	176.29	143.01	244.57	206.94	115.97	144.01	164.42	320.8	131.51	151.22	151.22	231.32	209.84	500.46	285.03	343.89	271.48	231.32	258.57	185.11	226.54	181.28	183.82	297.17	273.37	169.07	218.79	312.0	329.84	135.24	205.5	182.55	215.77	277.2	138.1	171.45	111.99	212.78	144.01	152.28	142.01	177.53	85.22
ZBED1	157.68	336.79	0.0	0.48	167.9	299.25	325.29	248.0	314.17	295.11	295.11	336.79	297.17	387.02	318.57	293.07	329.84	258.57	346.29	334.46	325.29	339.14	318.57	412.0	363.56	258.57	432.53	181.28	361.04	293.07	275.28	301.33	275.28	307.69	303.44	305.55	314.17	285.03	199.85	301.33	285.03	332.14	244.57	180.02	291.04	366.09	318.57	325.29	320.8	376.41	281.09	361.04	454.09	275.28	258.57	379.04	323.03	246.28	384.34	384.34	277.2	269.6	251.48	309.83	307.69	389.72	291.04	277.2	211.31	236.21	269.6	229.72	356.05	242.88	281.09
ZBTB11	38.12	23.25	0.0	0.47	81.71	146.03	144.01	265.87	293.07	146.03	255.0	127.0	277.2	167.9	117.6	139.07	165.57	242.88	162.14	205.5	212.78	251.48	140.04	209.84	148.09	136.19	301.33	105.15	120.1	228.13	163.28	128.79	148.09	142.01	221.86	202.66	89.51	115.16	100.83	291.04	108.14	100.13	157.68	143.01	159.9	220.32	229.72	236.21	215.77	189.02	201.25	111.21	166.73	118.43	135.24	258.57	220.32	112.77	135.24	234.57	279.14	92.7	178.77	137.14	159.9	215.77	127.0	140.04	84.04	154.42	121.79	141.02	139.07	162.14	90.77
ZBTB44	441.64	166.73	224.97	204.07	299.25	305.55	392.44	698.41	595.34	366.09	591.22	320.8	669.92	432.53	358.54	470.14	432.53	848.22	426.57	432.53	392.44	703.28	366.09	507.46	463.65	348.71	921.88	470.14	441.64	693.58	426.57	420.68	403.5	373.81	575.03	567.1	314.17	332.14	329.84	599.49	214.27	320.8	260.38	327.56	454.09	555.41	607.87	607.87	497.0	723.08	575.03	358.54	470.14	332.14	412.0	638.15	579.04	339.14	376.41	599.49	684.02	309.83	470.14	356.05	395.18	616.37	476.71	483.38	356.05	336.79	314.17	303.44	325.29	363.56	356.05
ZCCHC2	95.34	162.14	0.0	0.6	208.38	269.6	260.38	417.77	256.78	166.73	379.04	215.77	297.17	303.44	358.54	305.55	323.03	379.04	244.57	320.8	351.14	320.8	242.88	361.04	384.34	208.38	780.44	177.53	264.03	277.2	325.29	239.52	244.57	264.03	346.29	260.38	218.79	226.54	224.97	387.02	164.42	215.77	299.25	339.14	241.19	532.74	353.59	358.54	343.89	303.44	441.64	269.6	358.54	224.97	301.33	339.14	376.41	255.0	223.41	287.01	348.71	309.83	373.81	307.69	197.09	384.34	293.07	312.0	242.88	193.01	171.45	229.72	241.19	316.37	314.17
ZFAND1	175.07	234.57	0.0	0.71	688.78	808.0	733.19	2104.58	1519.15	878.17	1605.83	620.67	1378.57	1143.1	902.89	769.69	1250.98	2835.7	1233.75	878.17	1143.1	1322.37	718.08	981.29	902.89	603.67	2335.28	660.68	921.88	1498.22	947.83	854.13	1051.79	915.51	1304.15	1498.22	708.18	660.68	708.18	1242.34	1594.73	595.34	1135.2	808.0	1008.9	909.17	1119.56	1457.23	1111.82	1977.24	1388.16	713.11	2271.4	718.08	1037.29	1081.39	1313.23	684.02	1037.29	1104.13	1350.18	638.15	1135.2	866.07	738.29	1286.18	769.69	688.78	669.92	679.29	551.56	684.02	665.29	764.36	493.56
ZFYVE16	153.34	61.68	185.11	147.06	341.51	346.29	283.05	591.22	679.29	358.54	595.34	285.03	571.05	353.59	301.33	307.69	343.89	470.14	629.35	470.14	435.55	543.96	273.37	466.88	438.59	202.66	836.53	384.34	273.37	575.03	423.61	397.93	387.02	231.32	460.44	493.56	273.37	251.48	249.73	595.34	194.36	199.85	392.44	309.83	426.57	599.49	540.19	503.95	444.72	457.25	438.59	312.0	665.29	269.6	412.0	518.15	432.53	305.55	336.79	503.95	674.59	246.28	429.54	301.33	514.56	486.75	241.19	363.56	273.37	293.07	260.38	239.52	265.87	289.02	214.27
ZNF124	27.84	8.71	0.0	0.32	36.01	60.39	45.21	76.17	105.89	50.63	88.88	64.8	84.04	74.06	47.5	59.97	84.63	175.07	99.43	67.12	119.26	106.63	53.19	94.67	69.52	29.27	170.25	40.07	76.71	113.56	56.68	49.91	63.0	53.57	69.03	69.52	35.5	47.5	44.25	113.56	55.49	39.22	39.5	58.71	61.25	116.78	116.78	101.54	106.63	80.01	72.01	42.71	99.43	63.0	53.95	110.43	65.72	63.0	100.13	109.66	158.79	46.84	57.49	63.0	28.86	90.77	54.33	45.21	23.93	41.22	49.56	27.84	41.22	45.85	28.04
ZNF138	76.17	16.27	0.0	0.13	98.73	126.12	108.9	220.32	205.5	131.51	204.07	111.99	187.71	125.24	127.89	133.36	113.56	242.88	170.25	112.77	152.28	181.28	134.3	167.9	96.68	92.7	267.73	143.01	118.43	173.85	78.34	113.56	143.01	95.34	97.36	163.28	90.77	108.14	114.36	211.31	108.9	102.97	100.83	96.01	136.19	305.55	256.78	187.71	162.14	202.66	127.89	98.04	125.24	92.05	121.79	241.19	181.28	96.01	127.89	202.66	147.06	142.01	144.01	99.43	138.1	142.01	81.14	148.09	104.42	94.01	94.67	94.01	100.83	124.37	117.6
ZNF146	336.79	224.97	0.0	0.79	575.03	995.0	854.13	1605.83	1923.14	1111.82	1709.26	830.75	1674.06	1191.69	909.17	713.11	1167.14	1781.89	1378.57	1159.07	1378.57	1697.45	780.44	1508.65	1066.48	738.29	2335.28	825.0	1277.29	1498.22	981.29	947.83	872.1	796.86	1183.45	1277.29	642.59	878.17	728.11	1832.01	819.3	703.28	1001.93	808.0	1096.5	1467.37	1594.73	1794.29	1369.04	1447.15	1378.57	759.08	1417.35	743.43	848.22	1870.53	1015.93	583.07	1208.34	1417.35	1936.53	647.07	1350.18	665.29	896.64	1388.16	860.08	981.29	743.43	836.53	669.92	708.18	703.28	796.86	571.05
ZNF155	35.25	32.13	0.0	0.36	125.24	128.79	67.12	126.12	158.79	176.29	137.14	126.12	128.79	133.36	126.12	86.43	132.44	133.36	163.28	161.02	177.53	117.6	105.89	146.03	63.89	98.73	12.0	98.04	115.16	165.57	108.9	133.36	68.07	102.25	57.89	117.6	65.26	114.36	148.09	143.01	73.03	102.97	89.51	129.69	106.63	123.5	178.77	127.0	149.12	121.79	135.24	105.89	164.42	134.3	82.29	141.02	83.45	132.44	148.09	133.36	98.04	149.12	128.79	136.19	108.9	150.17	63.45	104.42	119.26	134.3	80.57	50.27	100.83	132.44	96.68
ZNF195	161.02	35.76	0.0	0.25	194.36	275.28	285.03	470.14	441.64	267.73	363.56	262.2	366.09	417.77	343.89	241.19	417.77	624.99	518.15	414.87	514.56	536.45	249.73	511.0	332.14	177.53	616.37	239.52	366.09	603.67	241.19	264.03	329.84	264.03	339.14	366.09	291.04	293.07	265.87	500.46	264.03	273.37	351.14	287.01	417.77	373.81	463.65	460.44	447.82	536.45	376.41	293.07	325.29	332.14	305.55	514.56	368.65	220.32	426.57	486.75	551.56	223.41	389.72	305.55	318.57	470.14	255.0	267.73	185.11	283.05	205.5	152.28	253.23	332.14	327.56
ZNF24	133.36	148.09	0.0	0.53	400.71	620.67	536.45	1073.91	866.07	660.68	1277.29	555.41	1216.75	796.86	591.22	665.29	728.11	785.88	679.29	791.35	813.63	1104.13	559.28	854.13	728.11	480.04	1208.34	473.41	693.58	896.64	748.61	624.99	571.05	555.41	669.92	941.27	420.68	591.22	447.82	1225.22	366.09	423.61	660.68	483.38	656.11	775.05	860.08	1127.35	961.07	802.41	825.0	476.71	656.11	575.03	559.28	1199.98	884.29	406.31	713.11	1001.93	1151.06	376.41	723.08	529.06	507.46	934.76	567.1	587.13	579.04	525.39	529.06	483.38	540.19	460.44	291.04
ZNF253	49.56	13.32	0.0	0.24	111.21	139.07	124.37	237.86	351.14	146.03	262.2	152.28	285.03	152.28	155.5	127.89	155.5	293.07	224.97	164.42	211.31	295.11	128.79	241.19	182.55	128.79	307.69	96.01	170.25	283.05	92.05	165.57	155.5	122.64	173.85	211.31	105.89	121.79	99.43	397.93	135.24	113.56	134.3	127.0	138.1	438.59	265.87	265.87	232.94	204.07	193.01	140.04	228.13	120.94	111.21	303.44	180.02	114.36	182.55	265.87	305.55	115.16	169.07	122.64	127.89	248.0	120.94	173.85	92.7	141.02	105.15	55.49	117.6	105.15	102.97
ZNF260	66.65	10.79	53.95	73.54	87.65	129.69	115.97	217.27	277.2	125.24	236.21	153.34	239.52	154.42	113.56	125.24	134.3	237.86	167.9	182.55	186.4	231.32	123.5	223.41	124.37	109.66	309.83	88.88	133.36	181.28	148.09	119.26	122.64	115.16	161.02	177.53	94.01	115.16	90.77	312.0	108.14	98.04	151.22	79.45	133.36	185.11	236.21	246.28	191.67	178.77	170.25	106.63	180.02	101.54	104.42	281.09	180.02	93.35	155.5	202.66	234.57	90.77	158.79	109.66	122.64	212.78	115.16	136.19	101.54	107.38	116.78	87.65	122.64	104.42	109.66
ZNF280C	13.62	4.5	0.0	0.41	12.93	27.05	24.11	44.89	49.91	17.77	36.53	25.54	38.95	33.06	25.91	28.86	33.3	65.72	37.32	35.76	41.52	54.33	19.11	37.85	27.25	20.86	60.39	18.29	20.56	54.72	29.48	22.43	24.11	21.63	27.84	31.0	14.03	16.39	18.03	38.67	22.75	19.82	28.86	32.59	28.65	48.52	42.41	34.26	39.79	42.41	28.65	18.97	33.54	17.38	26.1	42.41	35.5	22.1	30.34	40.64	46.5	22.43	28.04	30.12	37.32	37.85	25.17	26.28	14.78	28.86	24.46	24.46	18.29	22.92	15.45
ZNF664	854.13	368.65	0.0	0.74	1088.92	1583.71	1233.75	1487.87	2627.46	1709.26	2351.53	1331.57	1870.53	1709.26	1350.18	1359.57	1651.0	2609.3	1857.6	1733.13	2004.85	2502.97	1397.83	1977.24	1457.23	1159.07	2537.92	825.0	1794.29	1896.65	1662.49	1674.06	1313.23	1225.22	1639.59	1769.57	1059.11	1498.22	1096.5	2319.15	1407.55	1051.79	1745.2	2400.97	1674.06	3395.89	1963.57	2224.63	2209.26	1733.13	1721.16	1313.23	1639.59	1340.84	1407.55	2627.46	1819.35	928.3	1674.06	2209.26	2935.74	928.3	1388.16	1111.82	1359.57	2047.0	1268.46	1519.15	1081.39	1208.34	1015.93	1001.93	1030.12	1001.93	830.75
ZNF708	29.91	7.34	0.0	0.41	63.89	88.88	94.01	211.31	287.01	115.97	194.36	125.24	175.07	142.01	126.12	94.67	124.37	228.13	122.64	162.14	173.85	236.21	97.36	211.31	143.01	77.25	332.14	71.0	109.66	205.5	96.68	139.07	124.37	85.82	157.68	132.44	59.97	72.01	82.87	248.0	94.01	68.07	102.97	81.14	149.12	172.65	173.85	198.47	177.53	136.19	137.14	130.6	134.3	104.42	121.79	221.86	178.77	71.0	132.44	239.52	209.84	87.65	104.42	98.73	99.43	217.27	85.22	127.0	52.45	96.01	76.71	50.27	81.71	73.54	67.12
ZNF721	162.14	57.89	249.73	94.67	265.87	387.02	305.55	669.92	511.0	420.68	441.64	295.11	563.18	480.04	400.71	303.44	400.71	507.46	483.38	414.87	559.28	441.64	279.14	400.71	305.55	264.03	293.07	406.31	318.57	441.64	381.68	371.22	329.84	289.02	423.61	366.09	299.25	368.65	309.83	563.18	373.81	281.09	423.61	384.34	447.82	460.44	441.64	305.55	500.46	420.68	406.31	293.07	392.44	291.04	363.56	532.74	358.54	269.6	400.71	480.04	532.74	339.14	403.5	299.25	444.72	432.53	231.32	346.29	246.28	363.56	198.47	234.57	264.03	305.55	269.6
ZNF726	88.88	25.72	0.0	0.46	37.32	50.27	21.78	135.24	96.01	63.89	38.4	41.22	68.55	87.03	34.02	52.08	42.11	87.65	71.0	36.53	52.82	74.06	53.95	82.29	73.54	16.27	64.34	22.75	59.13	72.01	31.67	15.56	47.17	18.84	63.45	57.89	41.52	50.63	27.25	67.59	74.06	44.89	14.89	37.59	7.51	116.78	70.01	67.12	43.94	128.79	39.5	48.52	64.34	38.12	27.64	43.94	45.53	32.13	35.5	57.08	43.63	40.64	59.55	34.02	93.35	44.57	17.13	21.47	57.49	39.22	23.59	22.59	17.64	27.84	29.91
ZSCAN9	149.12	44.25	0.0	0.57	231.32	221.86	201.25	244.57	318.57	237.86	264.03	264.03	208.38	271.48	218.79	237.86	309.83	361.04	356.05	303.44	379.04	275.28	173.85	351.14	209.84	231.32	339.14	152.28	246.28	366.09	215.77	232.94	248.0	199.85	228.13	249.73	301.33	237.86	217.27	327.56	214.27	212.78	293.07	209.84	312.0	353.59	318.57	267.73	307.69	275.28	169.07	202.66	323.03	229.72	258.57	265.87	190.34	215.77	289.02	249.73	358.54	279.14	267.73	244.57	251.48	269.6	218.79	231.32	262.2	236.21	206.94	187.71	187.71	260.38	217.27
ZUFSP	81.14	21.94	0.0	0.13	73.03	148.09	119.26	191.67	197.09	166.73	136.19	125.24	201.25	150.17	135.24	108.14	149.12	234.57	175.07	198.47	182.55	161.02	127.0	163.28	153.34	103.69	154.42	107.38	110.43	153.34	102.97	153.34	171.45	131.51	211.31	135.24	113.56	130.6	185.11	185.11	79.45	111.99	116.78	98.73	157.68	199.85	197.09	199.85	167.9	162.14	142.01	98.04	127.0	155.5	126.12	161.02	197.09	82.87	217.27	156.59	197.09	112.77	140.04	146.03	185.11	133.36	100.13	125.24	134.3	137.14	101.54	96.01	120.94	106.63	88.26
