	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.AJ.A3BK.01A.11R.A19W.07
UBE3A	836.53	368.65	791.35	854.13	518.15	988.12	490.14	743.43	733.19	928.3	204.07	395.18	718.08	547.75	536.45	525.39	435.55	591.22	559.28	532.74	579.04	738.29	493.56	532.74	361.04	329.84	389.72	507.46	403.5	518.15	591.22	603.67	796.86	563.18	463.65	490.14	825.0	473.41	403.5	540.19	934.76	866.07	426.57	842.36	563.18	728.11	403.5	842.36	486.75	669.92	358.54	361.04	429.54	438.59	748.61	511.0	409.15	486.75	420.68	728.11	665.29	603.67	215.77
UBQLN1	1794.29	836.53	1628.26	1561.89	1199.98	1769.57	1259.69	1757.34	1457.23	1757.34	947.83	825.0	1277.29	1242.34	1081.39	1233.75	872.1	1208.34	1015.93	995.0	1111.82	1427.22	1008.9	1340.84	785.88	748.61	928.3	1208.34	866.07	1127.35	1242.34	1407.55	1572.76	1044.52	947.83	947.83	1806.78	1015.93	954.43	954.43	1529.73	1605.83	934.76	1806.78	1143.1	1685.71	909.17	1651.0	1498.22	1378.57	854.13	1104.13	928.3	909.17	1467.37	1096.5	1135.2	988.12	1059.11	1498.22	1487.87	1259.69	595.34
UBR1	336.79	90.14	267.73	236.21	148.09	301.33	161.02	265.87	208.38	314.17	37.59	105.15	199.85	170.25	181.28	204.07	96.68	178.77	172.65	149.12	178.77	190.34	170.25	144.01	58.3	78.89	94.67	169.07	108.14	147.06	214.27	189.02	255.0	128.79	148.09	142.01	341.51	138.1	93.35	155.5	269.6	279.14	120.94	336.79	180.02	234.57	102.97	267.73	75.11	264.03	96.01	124.37	98.04	129.69	183.82	169.07	149.12	122.64	101.54	267.73	258.57	248.0	39.79
UNC119B	332.14	236.21	703.28	842.36	234.57	629.35	373.81	595.34	620.67	616.37	208.38	295.11	785.88	197.09	246.28	258.57	236.21	221.86	154.42	258.57	323.03	563.18	159.9	599.49	295.11	226.54	186.4	220.32	379.04	177.53	470.14	358.54	420.68	341.51	366.09	480.04	466.88	251.48	246.28	447.82	669.92	679.29	346.29	708.18	301.33	612.11	211.31	571.05	493.56	381.68	217.27	147.06	228.13	273.37	575.03	423.61	242.88	318.57	454.09	381.68	518.15	384.34	109.66
USP32	417.77	138.1	559.28	486.75	185.11	620.67	285.03	591.22	341.51	450.94	172.65	149.12	368.65	186.4	287.01	571.05	229.72	291.04	217.27	176.29	287.01	327.56	215.77	275.28	132.44	260.38	299.25	316.37	212.78	202.66	269.6	447.82	327.56	314.17	262.2	251.48	497.0	236.21	185.11	353.59	555.41	384.34	204.07	708.18	320.8	438.59	224.97	429.54	214.27	307.69	256.78	183.82	212.78	183.82	525.39	329.84	267.73	318.57	269.6	470.14	423.61	403.5	341.51
USP37	99.43	7.46	136.19	114.36	46.5	138.1	44.25	122.64	111.99	136.19	20.56	32.36	79.45	51.35	48.18	31.0	29.48	47.84	41.22	35.5	53.19	90.14	44.89	69.03	18.43	14.56	17.38	56.68	21.32	35.0	72.01	75.64	78.89	52.08	30.78	40.36	119.26	41.52	21.94	37.05	114.36	94.01	19.25	125.24	60.82	110.43	16.03	112.77	37.59	82.87	21.32	19.53	29.7	31.67	84.04	50.98	23.08	28.86	28.04	113.56	98.04	59.97	18.7
USPL1	198.47	53.19	223.41	228.13	123.5	223.41	185.11	228.13	269.6	249.73	131.51	149.12	232.94	142.01	162.14	86.43	111.21	208.38	130.6	164.42	155.5	205.5	147.06	204.07	111.21	98.73	91.41	124.37	162.14	194.36	110.43	108.9	147.06	150.17	103.69	195.72	158.79	142.01	128.79	115.97	248.0	187.71	159.9	241.19	185.11	206.94	100.83	206.94	205.5	152.28	158.79	104.42	158.79	163.28	182.55	204.07	149.12	156.59	146.03	239.52	170.25	248.0	69.03
WAPAL	473.41	341.51	587.13	543.96	368.65	454.09	429.54	473.41	457.25	603.67	363.56	299.25	463.65	336.79	454.09	441.64	262.2	441.64	329.84	414.87	381.68	450.94	384.34	447.82	379.04	343.89	346.29	403.5	356.05	400.71	387.02	420.68	438.59	346.29	351.14	395.18	473.41	361.04	423.61	387.02	368.65	480.04	423.61	567.1	366.09	514.56	406.31	503.95	480.04	379.04	339.14	305.55	366.09	420.68	450.94	373.81	346.29	426.57	395.18	366.09	400.71	363.56	450.94
WNK1	1639.59	297.17	1498.22	1044.52	698.41	1369.04	713.11	1242.34	1081.39	1331.57	438.59	638.15	921.88	728.11	708.18	791.35	599.49	842.36	764.36	497.0	825.0	759.08	540.19	813.63	262.2	334.46	314.17	830.75	341.51	825.0	988.12	872.1	1322.37	688.78	612.11	616.37	1697.45	612.11	332.14	728.11	1277.29	1225.22	387.02	1242.34	872.1	1066.48	460.44	1081.39	656.11	1001.93	447.82	567.1	551.56	836.53	934.76	718.08	480.04	493.56	454.09	848.22	1023.0	733.19	157.68
YLPM1	836.53	450.94	902.89	921.88	651.58	860.08	656.11	836.53	808.0	961.07	587.13	713.11	896.64	830.75	660.68	669.92	514.56	775.05	669.92	669.92	733.19	866.07	733.19	708.18	518.15	281.09	518.15	718.08	603.67	651.58	825.0	759.08	669.92	723.08	728.11	743.43	1008.9	791.35	483.38	802.41	860.08	819.3	629.35	836.53	684.02	872.1	480.04	813.63	629.35	802.41	518.15	417.77	633.73	669.92	785.88	764.36	583.07	674.59	599.49	708.18	688.78	669.92	366.09
ZFP91	718.08	237.86	728.11	872.1	426.57	872.1	423.61	743.43	633.73	866.07	295.11	376.41	629.35	457.25	426.57	432.53	283.05	476.71	373.81	353.59	454.09	642.59	381.68	529.06	214.27	255.0	253.23	420.68	318.57	389.72	514.56	567.1	616.37	507.46	353.59	395.18	713.11	339.14	283.05	473.41	860.08	679.29	289.02	902.89	466.88	713.11	262.2	733.19	438.59	559.28	271.48	334.46	307.69	293.07	633.73	395.18	255.0	368.65	384.34	559.28	587.13	483.38	165.57
ZNF134	241.19	105.15	295.11	246.28	150.17	246.28	197.09	248.0	249.73	253.23	123.5	132.44	228.13	186.4	172.65	180.02	130.6	214.27	149.12	133.36	182.55	226.54	134.3	214.27	101.54	112.77	102.97	218.79	136.19	161.02	191.67	221.86	249.73	194.36	136.19	223.41	215.77	149.12	114.36	162.14	236.21	220.32	146.03	241.19	199.85	275.28	97.36	221.86	237.86	193.01	115.97	137.14	137.14	133.36	199.85	231.32	136.19	116.78	132.44	234.57	223.41	217.27	61.68
ZNF17	80.57	31.67	135.24	111.99	53.57	92.7	83.45	105.89	90.14	137.14	73.54	57.49	89.51	78.89	72.01	81.14	36.53	66.18	69.03	75.64	69.52	100.13	68.55	81.71	52.08	45.21	38.95	74.06	55.49	68.55	90.77	78.34	59.97	66.18	47.84	81.14	84.63	56.68	50.63	75.11	91.41	79.45	61.25	102.25	65.26	88.88	49.91	91.41	107.38	90.77	58.71	46.5	65.72	60.82	83.45	95.34	78.89	78.89	78.34	84.63	100.13	98.04	23.08
ZNF264	172.65	20.86	191.67	136.19	87.03	135.24	92.7	177.53	125.24	170.25	53.19	68.07	143.01	75.64	68.55	93.35	63.89	92.05	73.54	32.13	96.01	125.24	63.0	66.18	19.68	35.5	30.78	90.77	39.79	50.27	86.43	124.37	131.51	50.63	55.89	68.07	170.25	68.07	35.5	75.64	142.01	126.12	80.57	191.67	78.89	158.79	80.01	145.02	79.45	102.97	68.55	27.64	54.72	54.72	118.43	113.56	84.63	46.18	43.63	123.5	101.54	75.11	31.0
ZNF268	271.48	123.5	289.02	260.38	102.97	215.77	186.4	264.03	223.41	234.57	81.14	106.63	208.38	205.5	116.78	128.79	59.97	181.28	162.14	135.24	202.66	204.07	140.04	170.25	82.29	88.26	98.04	111.21	132.44	193.01	186.4	198.47	218.79	155.5	105.89	151.22	226.54	146.03	100.83	121.79	267.73	236.21	126.12	305.55	178.77	256.78	79.45	269.6	108.14	215.77	113.56	142.01	154.42	111.99	217.27	173.85	131.51	94.67	145.02	239.52	224.97	199.85	121.79
ZNF41	137.14	37.05	156.59	128.79	94.67	147.06	93.35	132.44	125.24	132.44	62.56	96.68	115.16	102.97	78.89	98.04	55.89	97.36	86.43	63.45	139.07	123.5	80.57	110.43	39.5	29.06	55.89	96.01	51.71	81.14	119.26	94.01	146.03	99.43	72.01	75.11	161.02	66.65	40.36	84.04	138.1	120.1	49.56	140.04	83.45	124.37	40.07	131.51	86.43	120.94	54.33	70.01	72.52	80.57	127.0	106.63	64.34	50.63	63.45	141.02	109.66	103.69	17.38
ZNF430	138.1	44.89	178.77	105.15	71.0	135.24	120.1	143.01	127.0	193.01	77.79	111.21	142.01	124.37	70.01	84.63	52.82	140.04	88.26	84.63	120.94	119.26	84.63	102.25	40.93	45.85	53.19	100.13	97.36	105.89	96.68	104.42	113.56	80.01	77.25	98.73	104.42	53.95	58.3	112.77	154.42	127.0	78.89	148.09	104.42	155.5	65.26	141.02	85.22	125.24	63.45	73.54	88.88	105.89	116.78	92.05	98.04	66.65	81.71	208.38	154.42	133.36	26.47
ZNF441	114.36	53.57	122.64	92.7	61.68	102.25	94.01	122.64	108.14	110.43	63.45	48.18	101.54	80.01	56.68	57.08	38.95	57.08	64.8	53.57	90.14	74.06	47.17	85.22	39.5	34.02	59.97	73.03	51.71	67.12	71.0	79.45	110.43	73.03	57.89	78.89	111.99	42.11	38.95	64.34	97.36	107.38	45.21	113.56	69.52	85.22	37.59	99.43	89.51	97.36	80.57	46.18	71.5	78.34	96.68	87.03	87.65	51.71	43.32	113.56	87.03	127.89	14.24
ZNF460	34.02	5.11	37.59	22.26	21.47	36.79	28.65	61.25	52.45	47.84	12.18	23.76	25.17	28.45	21.47	23.25	112.77	43.63	14.35	12.36	15.45	33.3	59.55	21.94	7.63	5.59	10.0	19.11	7.0	32.13	23.08	47.17	21.47	9.13	6.11	25.35	63.45	57.08	19.39	15.45	27.05	31.45	14.14	30.78	18.97	43.02	13.32	27.44	25.91	30.56	9.56	16.63	29.91	16.15	25.91	35.5	24.99	32.36	8.58	25.72	20.26	25.91	5.82
ZNF585B	199.85	75.11	251.48	186.4	145.02	153.34	134.3	187.71	193.01	152.28	108.9	125.24	161.02	148.09	163.28	134.3	90.14	132.44	114.36	103.69	177.53	163.28	103.69	105.15	75.11	73.03	108.9	114.36	89.51	154.42	138.1	159.9	163.28	124.37	112.77	112.77	208.38	105.15	90.14	144.01	171.45	164.42	108.14	206.94	139.07	148.09	98.73	147.06	150.17	173.85	102.97	98.04	111.21	154.42	142.01	143.01	121.79	91.41	104.42	241.19	145.02	144.01	25.35
ZNF843	15.68	6.06	23.76	11.47	1.66	9.27	13.62	16.03	8.71	20.41	2.43	4.28	12.55	8.51	6.89	6.16	4.1	11.21	9.13	7.75	16.88	10.71	3.26	11.91	2.48	3.89	2.34	6.46	7.28	4.03	13.22	7.28	8.0	4.66	7.4	8.85	12.83	3.32	2.2	1.2	13.22	11.47	4.28	22.92	12.45	19.97	3.03	17.13	2.07	17.51	9.06	4.74	9.13	4.82	8.45	11.21	3.41	5.92	6.84	14.45	17.0	13.52	6.89
ZNF844	185.11	77.25	260.38	234.57	87.65	224.97	163.28	181.28	208.38	253.23	97.36	99.43	180.02	153.34	131.51	96.68	70.01	143.01	143.01	107.38	151.22	205.5	81.14	181.28	82.29	72.01	80.01	121.79	111.99	119.26	149.12	137.14	202.66	124.37	140.04	137.14	163.28	87.65	67.59	111.99	244.57	242.88	161.02	226.54	149.12	177.53	76.17	193.01	127.89	206.94	96.68	92.7	141.02	123.5	172.65	152.28	117.6	92.05	130.6	228.13	107.38	173.85	41.81
