	TCGA.CH.5739.01A.11R.1580.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.V1.A9ZG.01A.11R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A6E6.01A.11R.A311.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7231.01A.11R.2118.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5769.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.ZG.A9LZ.01A.11R.A41O.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.VN.A88L.01A.11R.A352.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
DCBLD1	87.65	142.01	52.08	64.8	93.35	138.1	87.65	158.79	103.69	124.37	114.36	51.71	104.42	92.7	153.34	142.01	199.85	58.71	101.54	124.37	215.77	69.03	98.73	133.36	114.36	49.91	92.7	68.55	38.67	117.6	101.54	63.89	94.67	49.21	97.36	100.83	143.01	137.14	70.01	145.02	155.5	91.41	123.5	52.08	89.51	77.79	148.09	153.34	47.17	120.1	57.89	205.5	71.5	121.79	139.07	37.05	79.45	158.79	170.25	48.87	95.34	96.01	153.34	87.03	111.99	37.59	94.01	129.69	58.3	93.35	125.24	105.15	187.71	142.01	129.69	132.44	139.07	98.04	88.26	69.52	105.89	127.0	127.0	115.97	72.01	108.14	67.12	68.07	93.35	193.01	158.79	88.88	95.34	198.47	147.06	121.79	56.68	180.02	49.56	116.78	156.59	108.9	108.14	164.42	98.04	82.29	153.34	84.63	60.39	48.52	65.26	117.6	129.69	103.69	73.54	75.64	75.64	80.57	95.34	96.68	75.64	138.1	104.42	73.54	80.57
DYNC1I2	1447.15	1769.57	587.13	1023.0	1529.73	1572.76	1242.34	1977.24	1023.0	1757.34	1044.52	1037.29	1295.13	1104.13	2061.24	1709.26	1674.06	1369.04	1427.22	947.83	1745.2	1143.1	1529.73	1844.76	1151.06	1651.0	1233.75	1208.34	848.22	1322.37	1295.13	1359.57	1427.22	1286.18	1225.22	1350.18	1304.15	1561.89	1225.22	1295.13	1639.59	995.0	1233.75	2163.77	1233.75	1191.69	1572.76	1295.13	1167.14	1286.18	1167.14	1605.83	1359.57	1572.76	1508.65	1023.0	1225.22	1733.13	878.17	1183.45	1073.91	1250.98	1923.14	1437.15	1819.35	1242.34	1295.13	1457.23	1350.18	1277.29	1447.15	1388.16	1617.0	1844.76	1617.0	1359.57	1250.98	1286.18	1583.71	1127.35	1104.13	1498.22	1617.0	1498.22	1159.07	1081.39	1015.93	1111.82	1397.83	1697.45	1977.24	1697.45	1135.2	1757.34	1605.83	1359.57	988.12	1605.83	902.89	1359.57	1529.73	1498.22	1427.22	1304.15	1639.59	1331.57	1487.87	1044.52	1286.18	1023.0	1277.29	1407.55	1015.93	1407.55	1183.45	1183.45	1639.59	1259.69	1242.34	1167.14	1295.13	1242.34	1551.09	1477.58	1242.34
ECE1	1936.53	1963.57	748.61	1059.11	2875.3	3349.13	1844.76	2895.31	555.41	2796.65	503.95	884.29	2645.74	2004.85	2997.45	3235.01	3614.55	1322.37	1870.53	1639.59	3901.01	703.28	1208.34	2451.44	1183.45	1467.37	934.76	1008.9	836.53	1628.26	583.07	1015.93	2209.26	2520.38	1350.18	2682.69	2032.85	2537.92	665.29	1781.89	2148.82	1388.16	575.03	1295.13	579.04	1015.93	1963.57	3690.52	1111.82	3081.75	854.13	842.36	1447.15	1417.35	3039.3	2133.97	1832.01	3103.19	3820.7	718.08	1233.75	1151.06	2451.44	1832.01	2434.5	1008.9	1583.71	1844.76	1551.09	1832.01	2739.08	1268.46	3081.75	3372.43	1883.54	2720.15	1572.76	2520.38	2133.97	1806.78	1950.0	2047.0	2758.13	2682.69	1259.69	896.64	915.51	703.28	1369.04	3257.52	2976.74	3515.68	1909.85	3467.27	2855.44	1883.54	1088.92	2384.37	2240.11	2032.85	2271.4	1487.87	1313.23	1977.24	2485.67	1883.54	1295.13	1733.13	2133.97	1143.1	1594.73	2758.13	2451.44	1745.2	1781.89	595.34	2451.44	1044.52	1870.53	1519.15	2004.85	2384.37	2319.15	1350.18	2004.85
EFTUD1	412.0	603.67	231.32	169.07	260.38	392.44	269.6	466.88	197.09	447.82	248.0	157.68	217.27	215.77	579.04	438.59	412.0	195.72	287.01	305.55	497.0	171.45	163.28	417.77	208.38	170.25	194.36	187.71	158.79	285.03	285.03	248.0	234.57	187.71	239.52	293.07	334.46	229.72	177.53	244.57	518.15	189.02	183.82	285.03	176.29	141.02	460.44	318.57	206.94	205.5	152.28	193.01	229.72	204.07	389.72	246.28	334.46	525.39	500.46	237.86	185.11	255.0	426.57	265.87	403.5	180.02	176.29	283.05	256.78	162.14	208.38	176.29	277.2	547.75	384.34	353.59	215.77	265.87	438.59	283.05	420.68	256.78	409.15	260.38	275.28	187.71	183.82	162.14	334.46	332.14	426.57	366.09	253.23	414.87	368.65	351.14	285.03	438.59	190.34	267.73	305.55	358.54	318.57	395.18	293.07	191.67	291.04	195.72	185.11	202.66	211.31	299.25	397.93	287.01	253.23	189.02	379.04	170.25	204.07	229.72	120.1	392.44	400.71	180.02	189.02
EIF1AX	1295.13	1378.57	529.06	775.05	896.64	2335.28	934.76	1769.57	1030.12	1651.0	860.08	738.29	1066.48	1066.48	1651.0	1066.48	1225.22	866.07	1059.11	1104.13	1467.37	981.29	915.51	1709.26	854.13	1242.34	780.44	1073.91	679.29	1037.29	1167.14	1023.0	928.3	988.12	780.44	1073.91	1008.9	909.17	941.27	1143.1	1135.2	988.12	1051.79	1369.04	967.76	1199.98	1378.57	854.13	1191.69	1001.93	1015.93	1111.82	981.29	1487.87	1208.34	688.78	669.92	1427.22	974.5	1191.69	961.07	808.0	1651.0	1104.13	1233.75	813.63	1059.11	1051.79	961.07	733.19	884.29	1104.13	988.12	1369.04	1583.71	1304.15	1242.34	1295.13	1286.18	759.08	860.08	1151.06	1051.79	1159.07	1030.12	802.41	947.83	909.17	1304.15	1216.75	1733.13	981.29	796.86	902.89	1175.27	1066.48	1104.13	1268.46	703.28	813.63	1662.49	1119.56	1242.34	884.29	1594.73	1030.12	1662.49	728.11	934.76	1001.93	981.29	1051.79	1407.55	1369.04	718.08	808.0	995.0	884.29	738.29	848.22	743.43	1167.14	1199.98	830.75	1135.2
ENC1	748.61	392.44	693.58	547.75	358.54	551.56	305.55	1340.84	483.38	1350.18	111.21	85.22	273.37	221.86	860.08	1950.0	1008.9	529.06	547.75	392.44	1340.84	253.23	251.48	718.08	417.77	64.8	198.47	525.39	334.46	830.75	265.87	547.75	220.32	88.88	318.57	256.78	438.59	473.41	384.34	423.61	1015.93	236.21	438.59	603.67	144.01	197.09	988.12	909.17	170.25	507.46	157.68	291.04	476.71	651.58	647.07	55.49	224.97	1051.79	764.36	127.89	450.94	262.2	830.75	438.59	825.0	91.41	397.93	525.39	2701.35	412.0	435.55	291.04	764.36	688.78	698.41	507.46	283.05	341.51	674.59	571.05	575.03	234.57	679.29	457.25	358.54	514.56	151.22	143.01	305.55	785.88	1044.52	733.19	260.38	1313.23	836.53	346.29	123.5	1529.73	92.7	361.04	665.29	633.73	733.19	460.44	607.87	251.48	842.36	217.27	177.53	325.29	387.02	679.29	1030.12	403.5	358.54	175.07	633.73	236.21	708.18	269.6	575.03	429.54	679.29	175.07	244.57
EXOC5	532.74	521.76	169.07	242.88	339.14	500.46	223.41	848.22	212.78	775.05	237.86	239.52	264.03	237.86	860.08	540.19	612.11	264.03	295.11	395.18	612.11	234.57	241.19	688.78	275.28	325.29	177.53	223.41	226.54	381.68	329.84	269.6	283.05	258.57	265.87	239.52	353.59	473.41	187.71	249.73	301.33	336.79	269.6	532.74	262.2	271.48	511.0	305.55	353.59	262.2	244.57	309.83	236.21	271.48	503.95	138.1	154.42	728.11	277.2	249.73	187.71	262.2	738.29	271.48	525.39	171.45	303.44	389.72	267.73	194.36	307.69	258.57	536.45	503.95	532.74	409.15	406.31	256.78	417.77	215.77	175.07	532.74	379.04	336.79	246.28	236.21	248.0	332.14	303.44	463.65	698.41	307.69	191.67	638.15	620.67	373.81	255.0	473.41	209.84	289.02	579.04	201.25	307.69	312.0	651.58	295.11	547.75	175.07	307.69	180.02	262.2	312.0	403.5	447.82	260.38	197.09	366.09	242.88	202.66	255.0	220.32	329.84	329.84	339.14	246.28
EXT2	1135.2	1030.12	466.88	796.86	1286.18	1127.35	733.19	1059.11	718.08	1277.29	748.61	723.08	961.07	915.51	1340.84	1340.84	1295.13	764.36	1250.98	1191.69	1583.71	366.09	748.61	1081.39	1008.9	808.0	775.05	921.88	642.59	1259.69	909.17	995.0	909.17	961.07	890.44	988.12	1135.2	1304.15	665.29	1216.75	1159.07	808.0	921.88	1030.12	743.43	493.56	1225.22	890.44	769.69	842.36	470.14	587.13	688.78	808.0	1225.22	669.92	967.76	1498.22	1175.27	775.05	748.61	785.88	1111.82	995.0	1208.34	791.35	915.51	1127.35	902.89	769.69	981.29	738.29	1208.34	1104.13	1151.06	1388.16	1001.93	728.11	928.3	708.18	941.27	1088.92	1191.69	961.07	902.89	825.0	819.3	450.94	1059.11	1008.9	1277.29	1175.27	780.44	1073.91	1378.57	1191.69	954.43	1369.04	629.35	1259.69	1322.37	825.0	934.76	961.07	1135.2	884.29	1051.79	703.28	775.05	633.73	759.08	1286.18	1044.52	1015.93	819.3	769.69	995.0	703.28	698.41	723.08	780.44	1104.13	928.3	954.43	928.3
FAM171A1	759.08	1030.12	329.84	463.65	872.1	753.83	403.5	934.76	253.23	748.61	444.72	239.52	808.0	429.54	981.29	674.59	909.17	483.38	507.46	532.74	775.05	95.34	361.04	656.11	409.15	518.15	301.33	463.65	403.5	616.37	638.15	406.31	384.34	473.41	503.95	607.87	514.56	759.08	255.0	624.99	866.07	368.65	476.71	575.03	267.73	224.97	559.28	728.11	346.29	511.0	281.09	603.67	441.64	406.31	1008.9	444.72	441.64	753.83	934.76	536.45	409.15	591.22	718.08	947.83	884.29	325.29	688.78	860.08	325.29	656.11	583.07	363.56	785.88	775.05	813.63	718.08	376.41	228.13	718.08	450.94	336.79	490.14	825.0	547.75	450.94	212.78	267.73	339.14	764.36	563.18	753.83	629.35	463.65	1127.35	808.0	713.11	224.97	947.83	258.57	642.59	733.19	629.35	1015.93	444.72	679.29	438.59	480.04	267.73	470.14	356.05	511.0	698.41	928.3	532.74	363.56	346.29	769.69	435.55	616.37	532.74	423.61	842.36	743.43	490.14	521.76
FAM198B	1199.98	1151.06	246.28	463.65	633.73	764.36	348.71	2004.85	713.11	1159.07	229.72	258.57	612.11	293.07	2739.08	1551.09	1183.45	307.69	529.06	1225.22	1733.13	417.77	353.59	1250.98	414.87	808.0	414.87	470.14	620.67	860.08	684.02	426.57	599.49	232.94	426.57	599.49	583.07	738.29	208.38	373.81	1331.57	218.79	237.86	909.17	406.31	674.59	1340.84	1350.18	579.04	595.34	211.31	583.07	438.59	753.83	842.36	78.34	212.78	1794.29	1628.26	624.99	447.82	435.55	738.29	559.28	1143.1	197.09	591.22	854.13	698.41	397.93	587.13	412.0	1096.5	775.05	1268.46	780.44	612.11	463.65	1030.12	583.07	366.09	253.23	514.56	395.18	343.89	497.0	356.05	629.35	1487.87	2104.58	2796.65	1216.75	220.32	3146.52	1617.0	579.04	426.57	1313.23	206.94	718.08	1447.15	536.45	547.75	848.22	1225.22	384.34	688.78	256.78	232.94	603.67	366.09	728.11	1733.13	656.11	301.33	253.23	1583.71	271.48	371.22	299.25	253.23	285.03	928.3	309.83	198.47
FAM63B	161.02	215.77	84.63	144.01	126.12	275.28	126.12	293.07	151.22	320.8	99.43	176.29	107.38	171.45	293.07	234.57	267.73	178.77	155.5	162.14	332.14	94.67	202.66	283.05	157.68	169.07	90.14	139.07	88.88	76.17	136.19	144.01	125.24	183.82	120.94	122.64	183.82	100.13	126.12	115.16	144.01	191.67	167.9	211.31	156.59	143.01	175.07	139.07	142.01	78.34	182.55	215.77	135.24	187.71	190.34	53.19	79.45	363.56	121.79	159.9	98.73	135.24	339.14	105.89	231.32	82.29	146.03	187.71	120.94	88.26	154.42	149.12	228.13	231.32	262.2	198.47	242.88	157.68	163.28	96.01	96.01	287.01	136.19	152.28	113.56	127.89	148.09	258.57	123.5	150.17	297.17	142.01	92.7	214.27	312.0	185.11	111.21	229.72	125.24	107.38	239.52	108.9	113.56	178.77	309.83	138.1	236.21	115.16	165.57	96.01	209.84	128.79	185.11	237.86	127.89	121.79	132.44	114.36	123.5	139.07	150.17	103.69	133.36	157.68	138.1
FARP2	595.34	473.41	258.57	387.02	291.04	713.11	329.84	587.13	287.01	575.03	301.33	285.03	281.09	343.89	555.41	470.14	511.0	291.04	403.5	297.17	620.67	153.34	371.22	486.75	312.0	379.04	180.02	265.87	181.28	392.44	265.87	255.0	232.94	246.28	299.25	325.29	373.81	460.44	206.94	376.41	318.57	289.02	271.48	329.84	201.25	329.84	432.53	607.87	273.37	336.79	341.51	633.73	314.17	379.04	387.02	483.38	299.25	353.59	435.55	205.5	228.13	366.09	490.14	351.14	540.19	262.2	320.8	363.56	483.38	303.44	358.54	332.14	447.82	500.46	395.18	403.5	409.15	221.86	466.88	480.04	507.46	403.5	314.17	547.75	346.29	325.29	242.88	532.74	214.27	595.34	466.88	587.13	334.46	521.76	348.71	334.46	283.05	490.14	283.05	454.09	356.05	480.04	389.72	253.23	575.03	281.09	414.87	318.57	251.48	198.47	500.46	301.33	346.29	395.18	438.59	246.28	353.59	318.57	397.93	403.5	426.57	423.61	426.57	351.14	198.47
FASTKD2	483.38	454.09	234.57	251.48	242.88	796.86	327.56	1127.35	271.48	500.46	258.57	275.28	256.78	384.34	1015.93	351.14	551.56	223.41	301.33	255.0	642.59	264.03	356.05	466.88	264.03	708.18	260.38	301.33	228.13	389.72	318.57	267.73	244.57	244.57	299.25	277.2	346.29	287.01	239.52	226.54	591.22	351.14	287.01	320.8	291.04	860.08	363.56	1674.06	314.17	373.81	267.73	866.07	429.54	423.61	325.29	392.44	236.21	669.92	447.82	260.38	285.03	339.14	341.51	273.37	353.59	647.07	343.89	336.79	271.48	295.11	297.17	295.11	660.68	438.59	426.57	454.09	379.04	703.28	551.56	463.65	295.11	476.71	808.0	878.17	389.72	281.09	287.01	305.55	351.14	525.39	441.64	84.63	301.33	540.19	728.11	346.29	281.09	454.09	217.27	312.0	336.79	753.83	420.68	343.89	400.71	314.17	616.37	214.27	293.07	289.02	381.68	312.0	429.54	435.55	275.28	189.02	277.2	232.94	232.94	318.57	275.28	285.03	486.75	332.14	279.14
FBXO3	603.67	612.11	332.14	381.68	543.96	656.11	460.44	759.08	460.44	808.0	371.22	368.65	470.14	466.88	775.05	616.37	665.29	450.94	497.0	514.56	583.07	191.67	450.94	785.88	351.14	603.67	325.29	450.94	291.04	500.46	473.41	466.88	529.06	514.56	480.04	483.38	457.25	718.08	397.93	356.05	536.45	511.0	435.55	728.11	518.15	490.14	595.34	429.54	463.65	473.41	307.69	563.18	483.38	466.88	518.15	267.73	332.14	860.08	420.68	493.56	371.22	444.72	791.35	493.56	629.35	441.64	514.56	476.71	500.46	403.5	480.04	529.06	612.11	563.18	624.99	567.1	583.07	483.38	500.46	341.51	384.34	660.68	493.56	514.56	420.68	368.65	397.93	426.57	595.34	579.04	723.08	470.14	441.64	507.46	679.29	497.0	624.99	532.74	297.17	450.94	693.58	373.81	476.71	563.18	808.0	555.41	616.37	371.22	511.0	329.84	559.28	529.06	555.41	603.67	457.25	406.31	457.25	406.31	381.68	450.94	483.38	454.09	447.82	599.49	583.07
FRK	109.66	198.47	19.11	24.46	88.26	156.59	26.67	189.02	55.49	195.72	46.18	8.06	89.51	41.22	212.78	122.64	199.85	23.59	58.71	66.65	244.57	0.72	29.7	112.77	33.54	25.35	21.78	30.12	21.78	46.18	88.88	58.71	19.97	57.08	39.79	38.12	61.25	106.63	26.67	66.18	139.07	59.13	40.64	29.27	47.17	21.94	132.44	117.6	57.08	59.13	26.1	28.65	31.67	100.83	181.28	3.29	27.25	166.73	126.12	30.12	25.91	44.57	190.34	84.63	88.26	12.09	34.51	158.79	10.96	69.03	111.21	38.67	68.55	255.0	194.36	127.89	69.03	40.07	175.07	24.63	88.26	84.63	126.12	77.25	34.51	43.02	41.52	20.86	115.97	135.24	206.94	51.71	26.67	150.17	217.27	111.99	38.67	202.66	21.78	121.79	172.65	98.04	96.68	63.45	112.77	35.76	102.97	20.71	39.5	29.06	45.85	71.0	112.77	92.7	37.05	28.04	69.03	44.25	11.21	46.18	39.22	105.15	154.42	47.17	32.59
GDAP2	169.07	220.32	75.64	89.51	150.17	180.02	114.36	223.41	96.68	180.02	100.13	119.26	140.04	137.14	220.32	209.84	191.67	147.06	100.13	148.09	185.11	92.7	110.43	163.28	112.77	135.24	118.43	98.73	75.64	128.79	130.6	120.94	120.94	164.42	122.64	119.26	127.89	121.79	96.01	114.36	134.3	114.36	102.25	138.1	106.63	123.5	142.01	109.66	105.89	121.79	98.73	102.97	101.54	126.12	135.24	89.51	122.64	212.78	115.16	102.97	103.69	87.65	208.38	111.21	173.85	97.36	115.16	182.55	74.06	98.04	111.99	128.79	166.73	178.77	162.14	146.03	163.28	89.51	173.85	96.68	115.97	167.9	120.1	110.43	131.51	81.71	150.17	108.14	139.07	175.07	195.72	198.47	120.1	162.14	171.45	115.97	128.79	182.55	100.13	117.6	163.28	90.77	176.29	103.69	166.73	151.22	193.01	110.43	105.15	93.35	118.43	115.16	157.68	135.24	113.56	128.79	148.09	116.78	113.56	155.5	91.41	130.6	147.06	145.02	154.42
GHR	1313.23	1286.18	78.34	41.22	860.08	836.53	82.29	961.07	65.72	791.35	127.0	105.15	395.18	198.47	1350.18	928.3	698.41	177.53	718.08	291.04	624.99	98.73	124.37	275.28	122.64	67.12	116.78	205.5	221.86	287.01	122.64	82.87	208.38	397.93	121.79	125.24	291.04	379.04	89.51	540.19	583.07	249.73	115.16	102.97	76.71	70.01	633.73	575.03	181.28	567.1	141.02	21.78	96.68	120.94	848.22	65.72	303.44	551.56	450.94	170.25	116.78	162.14	713.11	346.29	1250.98	110.43	212.78	1037.29	90.14	329.84	293.07	134.3	142.01	624.99	1233.75	583.07	248.0	287.01	182.55	189.02	429.54	124.37	665.29	791.35	77.79	42.41	169.07	74.58	921.88	684.02	525.39	198.47	149.12	665.29	890.44	603.67	148.09	1216.75	55.49	688.78	633.73	420.68	403.5	307.69	633.73	228.13	1037.29	146.03	206.94	47.84	68.07	361.04	638.15	325.29	167.9	120.94	665.29	76.71	16.88	264.03	371.22	733.19	163.28	293.07	170.25
GINM1	1088.92	928.3	896.64	775.05	1277.29	866.07	836.53	1378.57	802.41	1250.98	669.92	825.0	1051.79	764.36	1583.71	813.63	954.43	1044.52	854.13	915.51	1023.0	759.08	759.08	1096.5	928.3	902.89	796.86	780.44	540.19	1135.2	764.36	967.76	902.89	995.0	848.22	791.35	785.88	1088.92	842.36	791.35	1295.13	921.88	854.13	1151.06	902.89	642.59	780.44	764.36	679.29	358.54	559.28	819.3	759.08	656.11	1001.93	444.72	693.58	1250.98	785.88	764.36	748.61	743.43	1199.98	848.22	981.29	921.88	769.69	1119.56	1143.1	775.05	921.88	866.07	1111.82	836.53	1225.22	1191.69	921.88	624.99	830.75	616.37	660.68	954.43	764.36	1066.48	791.35	769.69	902.89	921.88	1015.93	921.88	981.29	921.88	830.75	884.29	1127.35	954.43	543.96	915.51	698.41	802.41	1304.15	441.64	878.17	1119.56	1119.56	896.64	1015.93	674.59	909.17	525.39	607.87	854.13	947.83	825.0	759.08	921.88	884.29	733.19	629.35	647.07	860.08	738.29	836.53	967.76	1051.79
GNAI3	743.43	785.88	591.22	651.58	698.41	830.75	684.02	1081.39	651.58	1001.93	571.05	612.11	612.11	796.86	1044.52	866.07	802.41	660.68	679.29	679.29	813.63	603.67	785.88	947.83	698.41	733.19	551.56	708.18	514.56	813.63	748.61	753.83	674.59	890.44	728.11	769.69	743.43	941.27	713.11	738.29	688.78	713.11	679.29	802.41	693.58	785.88	665.29	624.99	669.92	656.11	769.69	819.3	703.28	693.58	808.0	616.37	483.38	995.0	738.29	759.08	660.68	656.11	1088.92	624.99	769.69	595.34	748.61	723.08	665.29	603.67	775.05	769.69	872.1	830.75	866.07	703.28	860.08	775.05	947.83	638.15	559.28	854.13	743.43	684.02	802.41	698.41	665.29	551.56	603.67	830.75	915.51	775.05	669.92	728.11	802.41	633.73	633.73	748.61	511.0	624.99	981.29	693.58	1023.0	819.3	1066.48	748.61	878.17	612.11	684.02	591.22	536.45	684.02	1037.29	848.22	651.58	660.68	603.67	651.58	497.0	583.07	507.46	599.49	825.0	813.63	872.1
GNPDA2	426.57	420.68	251.48	232.94	273.37	358.54	293.07	543.96	236.21	493.56	239.52	220.32	314.17	281.09	466.88	376.41	361.04	264.03	341.51	341.51	336.79	249.73	258.57	414.87	202.66	279.14	234.57	318.57	201.25	269.6	293.07	316.37	255.0	251.48	289.02	279.14	262.2	275.28	253.23	285.03	579.04	371.22	244.57	346.29	348.71	312.0	332.14	206.94	299.25	236.21	239.52	363.56	273.37	356.05	384.34	104.42	214.27	503.95	358.54	287.01	301.33	264.03	438.59	376.41	297.17	136.19	231.32	363.56	277.2	314.17	334.46	307.69	307.69	381.68	412.0	356.05	260.38	314.17	325.29	209.84	246.28	239.52	358.54	314.17	262.2	246.28	271.48	281.09	423.61	348.71	466.88	206.94	242.88	307.69	414.87	371.22	271.48	339.14	176.29	339.14	400.71	406.31	361.04	318.57	466.88	314.17	426.57	237.86	289.02	221.86	265.87	325.29	358.54	356.05	239.52	215.77	323.03	275.28	218.79	285.03	325.29	231.32	283.05	353.59	295.11
