	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
DHX29	265.87	229.72	312.0	320.8	189.02	301.33	441.64	341.51	209.84	291.04	253.23	258.57	279.14	327.56	239.52	301.33	363.56	236.21	536.45	232.94	368.65	376.41	381.68	486.75	202.66	336.79	400.71	486.75	511.0	387.02	483.38	518.15	454.09	559.28	647.07	381.68	571.05	500.46	249.73	353.59	457.25	435.55	414.87	307.69	307.69	441.64	403.5	389.72	480.04	441.64	540.19	698.41	348.71	500.46	591.22	389.72	379.04	395.18	447.82	543.96	363.56	483.38	571.05	511.0	397.93	454.09	287.01	500.46	341.51	356.05	334.46	271.48	346.29	376.41	420.68	348.71	392.44	454.09	325.29	473.41	429.54	438.59	476.71	759.08	371.22	808.0	295.11	395.18	438.59	325.29	616.37	463.65	417.77	429.54	624.99	466.88	457.25	579.04	358.54	536.45	343.89	435.55	381.68	376.41	432.53	514.56	536.45	444.72	476.71	483.38	483.38	769.69	595.34	490.14	343.89	389.72	540.19	473.41	277.2	368.65	555.41	638.15	444.72	651.58
DLAT	277.2	237.86	327.56	293.07	198.47	343.89	373.81	283.05	215.77	318.57	295.11	236.21	285.03	318.57	206.94	341.51	323.03	217.27	260.38	194.36	285.03	323.03	346.29	426.57	256.78	353.59	356.05	514.56	532.74	348.71	476.71	483.38	341.51	559.28	518.15	397.93	579.04	603.67	329.84	409.15	507.46	571.05	473.41	332.14	368.65	483.38	450.94	432.53	457.25	674.59	473.41	540.19	351.14	392.44	842.36	476.71	303.44	587.13	412.0	642.59	387.02	476.71	633.73	507.46	460.44	915.51	320.8	503.95	447.82	318.57	246.28	193.01	332.14	426.57	490.14	460.44	457.25	381.68	332.14	555.41	486.75	551.56	603.67	738.29	314.17	703.28	329.84	547.75	400.71	262.2	808.0	389.72	423.61	454.09	525.39	511.0	463.65	607.87	500.46	567.1	351.14	500.46	483.38	343.89	423.61	599.49	563.18	403.5	497.0	460.44	466.88	759.08	511.0	647.07	368.65	392.44	444.72	450.94	381.68	341.51	591.22	587.13	429.54	483.38
DLD	733.19	642.59	934.76	769.69	579.04	878.17	988.12	775.05	607.87	1167.14	698.41	791.35	802.41	866.07	723.08	647.07	947.83	629.35	1594.73	607.87	624.99	961.07	830.75	1111.82	514.56	791.35	1883.54	1369.04	1159.07	947.83	1286.18	1369.04	669.92	1540.37	1427.22	1135.2	1088.92	1313.23	679.29	1159.07	1529.73	1617.0	1487.87	1059.11	848.22	1508.65	1044.52	1127.35	1313.23	1487.87	1015.93	1923.14	928.3	890.44	1963.57	1540.37	796.86	1651.0	1119.56	1572.76	1183.45	1427.22	2400.97	995.0	1350.18	1709.26	830.75	1605.83	748.61	769.69	723.08	599.49	836.53	1088.92	1023.0	967.76	1378.57	1059.11	1066.48	1757.34	1008.9	1639.59	1340.84	1781.89	674.59	2075.59	1088.92	1594.73	928.3	808.0	1870.53	808.0	1427.22	896.64	1467.37	1277.29	1216.75	1111.82	1617.0	1923.14	896.64	1216.75	1304.15	1183.45	1295.13	1709.26	1721.16	1331.57	1674.06	1359.57	1286.18	2400.97	1594.73	2004.85	1322.37	1104.13	842.36	921.88	599.49	884.29	1135.2	1427.22	1378.57	1059.11
DNAJC10	656.11	591.22	896.64	743.43	470.14	896.64	915.51	872.1	432.53	703.28	656.11	473.41	567.1	902.89	470.14	1104.13	759.08	529.06	629.35	769.69	575.03	723.08	684.02	1159.07	693.58	825.0	368.65	1104.13	1066.48	775.05	1369.04	1225.22	854.13	1697.45	928.3	1639.59	1159.07	1151.06	1081.39	967.76	1037.29	775.05	866.07	1183.45	902.89	1059.11	1467.37	854.13	785.88	1151.06	1350.18	1457.23	1529.73	1407.55	1369.04	878.17	974.5	902.89	1037.29	1286.18	884.29	1437.15	860.08	1242.34	941.27	1259.69	1015.93	866.07	759.08	941.27	1044.52	890.44	941.27	902.89	872.1	1051.79	1044.52	1135.2	1183.45	890.44	981.29	1023.0	1051.79	1572.76	934.76	1350.18	620.67	791.35	967.76	974.5	1304.15	1286.18	1073.91	1191.69	1498.22	954.43	1159.07	1208.34	688.78	1073.91	974.5	1030.12	1208.34	1051.79	738.29	1457.23	2520.38	836.53	1322.37	679.29	1191.69	1151.06	1304.15	934.76	842.36	842.36	1059.11	1397.83	1059.11	872.1	1208.34	1088.92	1059.11	1096.5
DPP8	175.07	182.55	239.52	248.0	107.38	211.31	287.01	221.86	111.99	128.79	185.11	185.11	177.53	209.84	137.14	232.94	218.79	156.59	137.14	211.31	178.77	220.32	242.88	329.84	155.5	197.09	120.1	339.14	361.04	258.57	348.71	283.05	231.32	309.83	249.73	307.69	214.27	323.03	232.94	356.05	285.03	301.33	307.69	251.48	204.07	299.25	291.04	373.81	327.56	327.56	301.33	327.56	376.41	226.54	251.48	341.51	212.78	325.29	303.44	307.69	229.72	387.02	239.52	346.29	231.32	297.17	183.82	271.48	178.77	191.67	262.2	214.27	187.71	389.72	231.32	255.0	255.0	241.19	287.01	309.83	341.51	267.73	314.17	384.34	177.53	412.0	258.57	279.14	231.32	218.79	332.14	251.48	320.8	239.52	301.33	209.84	400.71	291.04	205.5	234.57	332.14	262.2	291.04	318.57	267.73	329.84	334.46	211.31	341.51	204.07	279.14	358.54	329.84	287.01	260.38	291.04	182.55	185.11	150.17	205.5	285.03	299.25	297.17	214.27
DYNC1I2	1023.0	1369.04	1167.14	1191.69	1259.69	1242.34	1088.92	1208.34	1225.22	1242.34	1066.48	1378.57	1135.2	1096.5	1369.04	1286.18	1322.37	1407.55	1023.0	1457.23	988.12	1340.84	1159.07	1529.73	1417.35	967.76	866.07	1540.37	1498.22	1242.34	1322.37	1662.49	1216.75	1685.71	1250.98	1685.71	1447.15	1745.2	1388.16	1322.37	1250.98	1594.73	1519.15	1498.22	1225.22	1467.37	1721.16	1159.07	1540.37	1561.89	1709.26	2193.99	764.36	1388.16	2384.37	1745.2	1277.29	1572.76	1304.15	1857.6	1175.27	1388.16	1639.59	1529.73	1757.34	1628.26	1340.84	1519.15	1369.04	1277.29	1111.82	1175.27	1519.15	1159.07	1378.57	1437.15	1250.98	1674.06	995.0	1572.76	1167.14	1477.58	1936.53	1950.0	1015.93	2287.2	1340.84	1397.83	1216.75	1119.56	1857.6	1417.35	1286.18	1572.76	1639.59	1447.15	1572.76	1674.06	1304.15	1322.37	1199.98	1250.98	1651.0	1467.37	1199.98	1781.89	1359.57	1073.91	1447.15	1447.15	1359.57	2004.85	1674.06	1295.13	1437.15	1457.23	1313.23	1508.65	1350.18	1183.45	1561.89	1769.57	1457.23	1250.98
EIF4E	457.25	518.15	669.92	808.0	435.55	688.78	842.36	591.22	483.38	656.11	587.13	529.06	518.15	599.49	633.73	412.0	780.44	507.46	660.68	392.44	500.46	854.13	713.11	1023.0	493.56	674.59	466.88	1143.1	1199.98	1081.39	1167.14	1331.57	967.76	1277.29	1407.55	1167.14	1111.82	1721.16	836.53	1096.5	1242.34	1135.2	1467.37	1081.39	921.88	1477.58	1519.15	941.27	1487.87	967.76	1639.59	1081.39	1023.0	1119.56	2178.83	1250.98	954.43	1037.29	796.86	1340.84	819.3	1225.22	1233.75	1151.06	1111.82	1208.34	559.28	1051.79	1044.52	791.35	748.61	624.99	1015.93	1030.12	1322.37	775.05	1127.35	915.51	665.29	1844.76	842.36	1044.52	1883.54	1498.22	733.19	1781.89	1008.9	981.29	967.76	830.75	1457.23	872.1	1208.34	848.22	1407.55	1225.22	1023.0	1159.07	1104.13	1551.09	802.41	1183.45	1199.98	981.29	848.22	1295.13	1359.57	860.08	1250.98	1175.27	1143.1	1519.15	1015.93	1388.16	723.08	981.29	808.0	1487.87	941.27	1023.0	1233.75	1127.35	1059.11	1175.27
ERLIN1	246.28	323.03	320.8	463.65	285.03	249.73	403.5	229.72	309.83	195.72	291.04	251.48	237.86	334.46	275.28	224.97	299.25	236.21	193.01	206.94	244.57	348.71	267.73	521.76	275.28	218.79	212.78	486.75	444.72	371.22	414.87	500.46	327.56	543.96	441.64	575.03	583.07	651.58	275.28	395.18	397.93	358.54	356.05	316.37	376.41	543.96	591.22	295.11	503.95	195.72	620.67	529.06	283.05	253.23	674.59	361.04	336.79	314.17	387.02	376.41	260.38	392.44	426.57	525.39	429.54	387.02	283.05	373.81	368.65	438.59	447.82	334.46	532.74	221.86	400.71	392.44	301.33	642.59	295.11	483.38	277.2	457.25	866.07	603.67	299.25	642.59	361.04	201.25	457.25	218.79	353.59	457.25	441.64	616.37	575.03	511.0	341.51	406.31	258.57	358.54	366.09	339.14	348.71	334.46	356.05	543.96	579.04	204.07	297.17	406.31	414.87	417.77	435.55	409.15	273.37	332.14	312.0	327.56	412.0	379.04	559.28	414.87	403.5	397.93
EXOC2	248.0	217.27	255.0	221.86	186.4	229.72	246.28	231.32	177.53	279.14	175.07	189.02	229.72	246.28	177.53	202.66	258.57	206.94	201.25	172.65	262.2	205.5	214.27	387.02	214.27	211.31	224.97	346.29	351.14	277.2	363.56	366.09	256.78	373.81	361.04	320.8	348.71	389.72	214.27	341.51	309.83	271.48	297.17	301.33	271.48	309.83	316.37	318.57	307.69	323.03	327.56	336.79	291.04	260.38	450.94	253.23	283.05	236.21	312.0	327.56	229.72	341.51	267.73	303.44	309.83	320.8	253.23	320.8	253.23	267.73	281.09	181.28	307.69	202.66	363.56	323.03	265.87	320.8	299.25	314.17	297.17	323.03	358.54	400.71	220.32	483.38	249.73	297.17	258.57	267.73	334.46	299.25	295.11	334.46	389.72	299.25	258.57	295.11	255.0	325.29	264.03	269.6	273.37	260.38	275.28	348.71	376.41	267.73	285.03	295.11	279.14	371.22	309.83	277.2	234.57	281.09	255.0	239.52	262.2	277.2	361.04	346.29	301.33	343.89
EXOC6	273.37	289.02	480.04	540.19	379.04	571.05	665.29	400.71	466.88	450.94	412.0	363.56	426.57	540.19	277.2	379.04	802.41	334.46	277.2	287.01	255.0	1008.9	295.11	764.36	356.05	521.76	514.56	830.75	785.88	620.67	769.69	854.13	567.1	802.41	921.88	460.44	1268.46	995.0	435.55	518.15	896.64	842.36	981.29	878.17	595.34	633.73	591.22	902.89	902.89	703.28	995.0	713.11	718.08	921.88	947.83	536.45	616.37	525.39	674.59	819.3	529.06	1191.69	825.0	896.64	532.74	669.92	559.28	1023.0	612.11	466.88	967.76	698.41	656.11	825.0	909.17	713.11	902.89	759.08	450.94	1030.12	764.36	629.35	1135.2	1208.34	387.02	1242.34	866.07	698.41	748.61	420.68	1870.53	1008.9	642.59	595.34	1896.65	1015.93	684.02	1023.0	860.08	802.41	791.35	483.38	921.88	624.99	563.18	866.07	1529.73	713.11	995.0	791.35	808.0	1073.91	743.43	579.04	642.59	884.29	723.08	511.0	429.54	769.69	1059.11	698.41	961.07	1119.56
FAM20B	255.0	242.88	229.72	242.88	241.19	269.6	281.09	251.48	242.88	273.37	204.07	251.48	214.27	248.0	305.55	258.57	281.09	234.57	217.27	214.27	193.01	307.69	285.03	366.09	234.57	241.19	206.94	392.44	426.57	287.01	392.44	397.93	358.54	423.61	351.14	341.51	403.5	444.72	260.38	289.02	348.71	303.44	297.17	417.77	371.22	412.0	441.64	287.01	348.71	277.2	525.39	392.44	262.2	435.55	406.31	343.89	348.71	231.32	307.69	373.81	267.73	301.33	241.19	493.56	327.56	376.41	389.72	260.38	412.0	384.34	279.14	327.56	420.68	239.52	387.02	371.22	287.01	426.57	195.72	327.56	301.33	348.71	361.04	559.28	327.56	444.72	295.11	262.2	289.02	346.29	327.56	483.38	334.46	493.56	336.79	307.69	279.14	463.65	305.55	275.28	307.69	336.79	363.56	332.14	305.55	409.15	305.55	206.94	248.0	267.73	283.05	361.04	432.53	327.56	264.03	299.25	297.17	303.44	351.14	348.71	480.04	373.81	329.84	429.54
FBXL3	429.54	460.44	679.29	698.41	412.0	497.0	819.3	620.67	273.37	316.37	500.46	373.81	420.68	579.04	547.75	583.07	785.88	447.82	473.41	583.07	514.56	872.1	684.02	1059.11	307.69	547.75	162.14	1277.29	1143.1	1030.12	1233.75	1651.0	830.75	2319.15	1437.15	1378.57	934.76	1378.57	743.43	1259.69	1733.13	1457.23	1369.04	866.07	967.76	1540.37	1081.39	836.53	1519.15	988.12	1268.46	2148.82	684.02	921.88	2609.3	1407.55	775.05	1044.52	1066.48	1540.37	1369.04	1397.83	921.88	860.08	1104.13	1639.59	587.13	1540.37	981.29	775.05	890.44	647.07	878.17	647.07	1096.5	884.29	1175.27	1051.79	915.51	1508.65	860.08	1605.83	1331.57	1605.83	638.15	1250.98	1023.0	947.83	1073.91	1015.93	1757.34	796.86	1617.0	1159.07	1709.26	928.3	1233.75	1594.73	1508.65	1250.98	896.64	1259.69	1407.55	1023.0	988.12	1540.37	1883.54	1340.84	1407.55	1151.06	1322.37	1757.34	1447.15	1733.13	1233.75	947.83	836.53	961.07	587.13	941.27	1059.11	1417.35	1369.04	1088.92
FBXL5	1369.04	1059.11	1674.06	1936.53	928.3	1167.14	1498.22	1572.76	902.89	1467.37	1286.18	1073.91	1143.1	1733.13	1104.13	1583.71	1721.16	961.07	1572.76	1199.98	1950.0	2178.83	1208.34	1781.89	808.0	1498.22	988.12	2255.7	2224.63	1662.49	2075.59	2915.45	1977.24	3168.41	3081.75	2163.77	2520.38	3257.52	1519.15	1963.57	2758.13	2075.59	2032.85	1781.89	1651.0	2400.97	2367.9	1883.54	2351.53	2018.8	3443.31	3443.31	1806.78	2032.85	3212.66	2163.77	1508.65	2004.85	1721.16	2417.67	1857.6	2434.5	2148.82	2119.22	2209.26	2573.36	1605.83	2224.63	2032.85	1709.26	1388.16	1397.83	1883.54	1322.37	2384.37	2351.53	1721.16	2573.36	1583.71	2537.92	1628.26	2645.74	2591.27	3325.99	1498.22	3955.48	1685.71	1977.24	2240.11	1519.15	2796.65	1991.0	2777.33	2485.67	2434.5	2537.92	2032.85	2997.45	2555.58	2537.92	1427.22	1909.85	1896.65	1977.24	1583.71	2682.69	2895.31	2163.77	2178.83	2816.11	2400.97	3018.3	2777.33	2502.97	2224.63	2047.0	1819.35	1427.22	1081.39	2061.24	2739.08	2645.74	2417.67	2816.11
FCF1	406.31	497.0	595.34	629.35	507.46	423.61	708.18	454.09	470.14	463.65	599.49	432.53	483.38	607.87	460.44	460.44	669.92	514.56	669.92	334.46	460.44	703.28	559.28	808.0	403.5	486.75	426.57	1104.13	1059.11	854.13	1030.12	1369.04	872.1	1286.18	1030.12	1208.34	890.44	1295.13	651.58	902.89	1159.07	1135.2	947.83	802.41	830.75	1066.48	1259.69	1044.52	1378.57	785.88	1233.75	2061.24	769.69	1096.5	1950.0	1111.82	679.29	921.88	854.13	1044.52	688.78	842.36	921.88	1143.1	872.1	1001.93	708.18	1104.13	947.83	819.3	860.08	819.3	967.76	738.29	1119.56	1059.11	974.5	1119.56	642.59	1175.27	860.08	1111.82	1540.37	1628.26	808.0	1628.26	928.3	660.68	884.29	738.29	1104.13	848.22	1135.2	878.17	988.12	954.43	848.22	1104.13	813.63	921.88	819.3	995.0	1001.93	974.5	934.76	1159.07	928.3	713.11	967.76	915.51	1259.69	1350.18	1081.39	1104.13	769.69	981.29	669.92	753.83	819.3	796.86	1199.98	1183.45	1030.12	909.17
FNDC3A	271.48	417.77	563.18	684.02	392.44	525.39	723.08	497.0	279.14	224.97	423.61	366.09	406.31	591.22	269.6	532.74	616.37	353.59	511.0	400.71	529.06	651.58	473.41	909.17	312.0	529.06	171.45	896.64	780.44	595.34	860.08	1073.91	698.41	1175.27	981.29	1073.91	587.13	1216.75	363.56	536.45	915.51	612.11	872.1	713.11	567.1	764.36	825.0	902.89	775.05	748.61	848.22	1498.22	928.3	1001.93	1794.29	679.29	612.11	660.68	698.41	1191.69	651.58	651.58	688.78	764.36	684.02	764.36	543.96	775.05	616.37	579.04	679.29	514.56	607.87	941.27	1008.9	698.41	769.69	830.75	555.41	738.29	819.3	909.17	1059.11	1457.23	525.39	1498.22	642.59	567.1	529.06	713.11	1143.1	708.18	713.11	902.89	974.5	775.05	713.11	1088.92	624.99	941.27	902.89	723.08	723.08	860.08	612.11	1030.12	1268.46	543.96	813.63	595.34	921.88	928.3	1008.9	647.07	1151.06	921.88	616.37	743.43	529.06	656.11	921.88	1051.79	743.43	915.51
FOXO1	190.34	303.44	376.41	529.06	212.78	289.02	796.86	314.17	137.14	142.01	336.79	312.0	332.14	295.11	348.71	381.68	420.68	269.6	237.86	420.68	241.19	457.25	376.41	490.14	164.42	429.54	180.02	493.56	647.07	567.1	587.13	551.56	339.14	738.29	791.35	591.22	536.45	540.19	316.37	591.22	642.59	674.59	400.71	353.59	392.44	543.96	420.68	595.34	591.22	909.17	392.44	981.29	255.0	309.83	728.11	733.19	346.29	463.65	813.63	483.38	379.04	629.35	329.84	571.05	348.71	563.18	583.07	429.54	420.68	242.88	358.54	361.04	866.07	232.94	669.92	397.93	791.35	497.0	295.11	555.41	323.03	536.45	511.0	878.17	265.87	1259.69	387.02	297.17	400.71	312.0	961.07	575.03	473.41	406.31	599.49	616.37	547.75	890.44	486.75	293.07	651.58	656.11	563.18	343.89	1225.22	738.29	497.0	441.64	503.95	536.45	651.58	1167.14	1175.27	384.34	493.56	571.05	379.04	432.53	236.21	320.8	514.56	764.36	620.67	325.29
FTO	583.07	318.57	503.95	500.46	281.09	420.68	583.07	373.81	199.85	285.03	325.29	220.32	248.0	447.82	403.5	253.23	612.11	253.23	518.15	206.94	536.45	490.14	387.02	656.11	291.04	395.18	291.04	842.36	860.08	743.43	791.35	974.5	503.95	1233.75	961.07	753.83	830.75	967.76	483.38	733.19	1081.39	713.11	791.35	647.07	591.22	909.17	1151.06	607.87	872.1	500.46	928.3	1259.69	703.28	728.11	1088.92	733.19	532.74	457.25	595.34	830.75	579.04	896.64	733.19	808.0	698.41	679.29	476.71	674.59	785.88	547.75	503.95	529.06	796.86	521.76	988.12	825.0	759.08	819.3	518.15	878.17	521.76	872.1	995.0	1225.22	412.0	1340.84	624.99	426.57	733.19	633.73	718.08	571.05	954.43	612.11	909.17	842.36	638.15	915.51	543.96	521.76	438.59	842.36	836.53	603.67	693.58	808.0	884.29	536.45	633.73	660.68	1030.12	791.35	941.27	708.18	529.06	587.13	483.38	400.71	406.31	555.41	890.44	769.69	759.08	633.73
FYTTD1	389.72	547.75	759.08	759.08	450.94	785.88	860.08	684.02	397.93	665.29	547.75	540.19	616.37	624.99	518.15	500.46	753.83	463.65	454.09	624.99	376.41	674.59	599.49	902.89	503.95	571.05	301.33	860.08	884.29	660.68	1081.39	808.0	599.49	860.08	813.63	866.07	647.07	1073.91	616.37	591.22	620.67	693.58	633.73	890.44	713.11	878.17	796.86	612.11	693.58	753.83	1159.07	854.13	525.39	896.64	967.76	796.86	665.29	612.11	559.28	825.0	669.92	540.19	647.07	902.89	688.78	780.44	708.18	656.11	830.75	518.15	543.96	571.05	813.63	656.11	780.44	612.11	651.58	759.08	356.05	780.44	674.59	723.08	1015.93	1250.98	559.28	961.07	612.11	679.29	532.74	688.78	941.27	738.29	647.07	808.0	591.22	842.36	679.29	1242.34	567.1	769.69	579.04	769.69	656.11	791.35	748.61	1059.11	693.58	490.14	599.49	612.11	563.18	1088.92	1030.12	743.43	493.56	808.0	759.08	878.17	872.1	583.07	884.29	674.59	698.41	764.36
G3BP1	480.04	660.68	591.22	660.68	563.18	563.18	651.58	612.11	476.71	540.19	470.14	571.05	521.76	583.07	511.0	483.38	703.28	612.11	688.78	497.0	567.1	616.37	612.11	921.88	503.95	555.41	511.0	1216.75	1183.45	848.22	1369.04	1208.34	567.1	1044.52	1467.37	1015.93	848.22	1104.13	511.0	909.17	764.36	941.27	896.64	769.69	748.61	1088.92	780.44	860.08	1066.48	866.07	748.61	1104.13	540.19	684.02	1350.18	808.0	616.37	713.11	872.1	988.12	791.35	902.89	995.0	825.0	1023.0	921.88	728.11	909.17	728.11	642.59	638.15	583.07	769.69	599.49	1216.75	698.41	854.13	860.08	642.59	1023.0	836.53	981.29	1561.89	1250.98	591.22	1331.57	753.83	785.88	708.18	708.18	1199.98	713.11	902.89	796.86	1127.35	1304.15	928.3	1151.06	848.22	1127.35	753.83	713.11	802.41	808.0	848.22	1277.29	830.75	743.43	769.69	947.83	830.75	1208.34	1159.07	1088.92	674.59	947.83	616.37	866.07	819.3	775.05	947.83	1051.79	1059.11	785.88
G3BP2	718.08	738.29	1175.27	1073.91	684.02	1127.35	1477.58	921.88	665.29	928.3	928.3	796.86	896.64	988.12	620.67	728.11	1151.06	638.15	674.59	665.29	708.18	1151.06	1127.35	1757.34	595.34	842.36	551.56	1794.29	1551.09	1015.93	1844.76	1359.57	1119.56	1806.78	1857.6	1359.57	1369.04	2032.85	1051.79	1183.45	1551.09	1781.89	1388.16	1561.89	1378.57	1583.71	1447.15	1519.15	1594.73	1417.35	1594.73	1697.45	1322.37	1167.14	1909.85	1508.65	1044.52	1104.13	1457.23	1709.26	1066.48	1561.89	1268.46	1350.18	1340.84	1628.26	981.29	1467.37	1111.82	860.08	974.5	995.0	1119.56	1037.29	1674.06	1127.35	1519.15	1199.98	961.07	1721.16	947.83	1340.84	1883.54	2434.5	1104.13	2367.9	1073.91	1073.91	1268.46	995.0	1417.35	1350.18	1529.73	1159.07	1437.15	1437.15	1242.34	2061.24	1250.98	1498.22	1015.93	1551.09	1594.73	1540.37	1159.07	2303.12	2047.0	1268.46	1651.0	1437.15	1685.71	2061.24	2148.82	1628.26	1073.91	1233.75	1216.75	1427.22	866.07	1037.29	1745.2	1674.06	1225.22	1286.18
