	TCGA.FJ.A871.01A.11R.A352.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.BH.A1EO.11A.31R.A137.07	GTEX.12WSK.2226.SM.5GCO5	GTEX.TSE9.2826.SM.4DXTF	GTEX.TML8.0726.SM.4DXTT	GTEX.S341.1126.SM.4AD6T	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.S4UY.1426.SM.4AD6Y	GTEX.TSE9.2726.SM.4DXSQ	TCGA.ZU.A8S4.01A.11R.A41I.07	TCGA.KN.8427.01A.11R.2315.07	TCGA.CW.6090.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.CZ.4860.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4861.01A.01R.1305.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.CZ.5461.01A.01R.1503.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.DV.5565.01A.01R.1541.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.CJ.6027.01A.11R.1672.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.B0.4814.01A.01R.1277.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.11PRG.0926.SM.5EGI8	GTEX.YJ8O.1826.SM.5HL82	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DE.A4M9.01A.11R.A250.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.117XS.0526.SM.5987Q	GTEX.SN8G.1526.SM.4DM79	GTEX.POYW.0826.SM.2XCEM	GTEX.14AS3.0226.SM.5Q5B6	GTEX.147F4.0826.SM.5QGRB	GTEX.RNOR.0926.SM.2TF56	GTEX.SIU8.0626.SM.2XCDN	GTEX.T2IS.0626.SM.32QP6	GTEX.12ZZX.1226.SM.5EGHS	GTEX.ZDTS.0926.SM.4WAXG	GTEX.ZVZQ.0626.SM.59HJU	GTEX.PLZ4.1226.SM.2I5FE	GTEX.14A6H.2426.SM.5Q5BO	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13OVI.1026.SM.5L3EM	GTEX.N7MT.0726.SM.3TW8S	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.14BIM.2226.SM.5SI8Y	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.13W3W.1426.SM.5LU56	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT	GTEX.T6MO.1526.SM.4DM57
RABL2A	146.03	202.66	128.79	140.04	420.68	312.0	314.17	656.11	1159.07	295.11	353.59	269.6	258.57	334.46	116.78	409.15	156.59	249.73	170.25	109.66	191.67	193.01	603.67	229.72	224.97	271.48	181.28	180.02	171.45	241.19	325.29	187.71	185.11	191.67	182.55	151.22	759.08	177.53	159.9	281.09	199.85	150.17	149.12	148.09	115.97	514.56	299.25	384.34	921.88	915.51	703.28	620.67	796.86	1015.93	954.43	748.61	738.29	808.0	954.43	624.99	1051.79	764.36	1175.27	1111.82	1096.5	1286.18	283.05	693.58	1191.69	872.1	131.51	507.46	236.21	312.0	275.28	195.72	819.3	1059.11	312.0
RAD52	155.5	103.69	94.67	105.15	395.18	195.72	140.04	242.88	197.09	141.02	363.56	132.44	223.41	77.25	125.24	287.01	80.01	122.64	116.78	100.13	96.01	108.9	351.14	84.63	167.9	115.97	85.82	62.12	103.69	94.01	297.17	73.03	125.24	142.01	130.6	93.35	409.15	167.9	101.54	198.47	79.45	64.8	44.25	139.07	84.04	339.14	293.07	109.66	201.25	444.72	511.0	199.85	314.17	212.78	688.78	836.53	195.72	395.18	356.05	305.55	325.29	303.44	536.45	412.0	460.44	529.06	128.79	441.64	366.09	366.09	102.25	417.77	128.79	70.01	88.26	80.57	341.51	307.69	172.65
RBM26	244.57	267.73	397.93	318.57	262.2	532.74	583.07	587.13	693.58	555.41	265.87	244.57	327.56	327.56	209.84	438.59	248.0	323.03	231.32	301.33	181.28	361.04	493.56	255.0	417.77	373.81	264.03	212.78	332.14	246.28	356.05	283.05	389.72	329.84	273.37	343.89	529.06	336.79	368.65	438.59	387.02	218.79	246.28	435.55	316.37	583.07	444.72	217.27	441.64	351.14	571.05	872.1	518.15	518.15	1015.93	1059.11	698.41	780.44	848.22	555.41	559.28	450.94	796.86	780.44	651.58	890.44	753.83	486.75	521.76	587.13	358.54	599.49	293.07	438.59	688.78	473.41	660.68	543.96	529.06
REV1	228.13	441.64	387.02	414.87	571.05	438.59	587.13	728.11	708.18	595.34	547.75	314.17	409.15	307.69	182.55	334.46	220.32	389.72	277.2	237.86	189.02	307.69	457.25	146.03	236.21	244.57	248.0	163.28	293.07	279.14	371.22	293.07	283.05	289.02	199.85	229.72	759.08	323.03	379.04	387.02	289.02	220.32	172.65	251.48	201.25	500.46	547.75	368.65	802.41	738.29	842.36	961.07	825.0	775.05	954.43	848.22	713.11	872.1	854.13	642.59	723.08	660.68	854.13	1023.0	988.12	967.76	587.13	961.07	1135.2	1023.0	287.01	775.05	406.31	392.44	435.55	480.04	947.83	1104.13	400.71
RGL3	63.89	94.67	90.77	11.73	780.44	5006.93	1259.69	46339.95	92680.9	320.8	1259.69	262.2	406.31	22.43	101.54	265.87	136.19	170.25	87.65	237.86	58.3	136.19	1561.89	55.1	155.5	148.09	201.25	277.2	137.14	269.6	738.29	271.48	363.56	128.79	100.83	113.56	2609.3	224.97	176.29	242.88	234.57	307.69	154.42	379.04	45.85	738.29	163.28	224.97	185.11	5041.77	7749.1	2319.15	3325.99	4388.98	3716.2	3768.09	2875.3	2384.37	2047.0	1844.76	1844.76	1605.83	2485.67	2777.33	4268.94	5831.91	97.36	2367.9	314.17	87.65	138.1	629.35	988.12	423.61	244.57	4239.45	136.19	113.56	1008.9
RIMKLB	264.03	353.59	543.96	967.76	1143.1	679.29	890.44	1081.39	1037.29	1447.15	1081.39	204.07	444.72	258.57	195.72	1143.1	287.01	420.68	318.57	258.57	343.89	426.57	3303.0	202.66	447.82	397.93	336.79	353.59	395.18	312.0	780.44	395.18	214.27	291.04	353.59	267.73	1417.35	466.88	299.25	808.0	457.25	221.86	224.97	267.73	220.32	743.43	1295.13	514.56	1950.0	1081.39	1191.69	1572.76	1225.22	1111.82	1447.15	1757.34	954.43	1331.57	1407.55	921.88	995.0	1023.0	1950.0	1104.13	1331.57	1651.0	769.69	1268.46	1697.45	1407.55	323.03	1167.14	974.5	1923.14	928.3	1081.39	2193.99	4972.34	669.92
RNPC3	80.01	93.35	212.78	277.2	223.41	159.9	295.11	371.22	753.83	256.78	281.09	142.01	161.02	127.89	127.0	303.44	129.69	166.73	129.69	131.51	74.58	92.7	1437.15	102.25	232.94	187.71	149.12	157.68	155.5	186.4	356.05	185.11	112.77	106.63	126.12	149.12	780.44	185.11	145.02	129.69	155.5	127.89	144.01	217.27	111.21	400.71	323.03	104.42	454.09	1883.54	1457.23	1628.26	1051.79	1407.55	2255.7	1135.2	813.63	693.58	890.44	543.96	595.34	698.41	612.11	1340.84	995.0	947.83	563.18	432.53	796.86	379.04	57.89	371.22	121.79	228.13	303.44	312.0	384.34	529.06	246.28
RP11-166B2.1	16.03	13.32	18.7	58.3	190.34	27.25	40.93	67.12	115.16	217.27	220.32	96.01	32.59	68.55	101.54	125.24	46.5	13.22	169.07	26.67	102.97	59.97	307.69	120.94	115.16	98.73	14.14	53.19	62.56	59.97	262.2	92.7	67.59	88.26	17.64	40.93	507.46	129.69	97.36	68.07	48.18	119.26	15.8	154.42	8.78	226.54	36.79	33.54	178.77	389.72	223.41	559.28	400.71	232.94	1073.91	769.69	366.09	351.14	295.11	172.65	723.08	400.71	1216.75	483.38	92.05	660.68	138.1	96.68	248.0	191.67	31.0	295.11	22.92	21.16	18.16	127.89	170.25	293.07	92.05
RP11-231C14.4	72.52	75.11	55.89	50.27	493.56	139.07	172.65	412.0	117.6	457.25	878.17	262.2	231.32	60.82	115.16	497.0	38.95	93.35	133.36	91.41	221.86	96.01	551.56	138.1	493.56	155.5	28.04	129.69	140.04	74.06	441.64	251.48	204.07	50.63	32.59	105.89	769.69	262.2	218.79	157.68	205.5	267.73	87.03	320.8	25.17	109.66	87.65	121.79	389.72	836.53	967.76	457.25	612.11	493.56	1733.13	1037.29	353.59	1001.93	591.22	490.14	884.29	825.0	1322.37	884.29	450.94	909.17	444.72	647.07	529.06	503.95	52.08	1030.12	148.09	76.71	142.01	299.25	785.88	409.15	193.01
RP11-295P9.3	95.34	93.35	84.63	59.97	134.3	173.85	178.77	371.22	503.95	201.25	112.77	122.64	140.04	111.99	69.03	332.14	90.77	77.25	88.88	73.03	91.41	62.56	460.44	43.32	183.82	109.66	59.13	90.14	90.14	110.43	291.04	150.17	93.35	61.68	72.01	82.87	785.88	172.65	102.97	108.9	68.55	153.34	71.0	136.19	85.82	318.57	163.28	88.88	309.83	361.04	363.56	525.39	318.57	693.58	988.12	638.15	371.22	255.0	547.75	215.77	392.44	299.25	540.19	483.38	285.03	536.45	93.35	497.0	674.59	150.17	52.82	253.23	63.0	182.55	217.27	241.19	346.29	587.13	132.44
RUFY2	92.7	108.9	154.42	178.77	295.11	197.09	231.32	223.41	228.13	223.41	343.89	170.25	242.88	215.77	67.59	237.86	136.19	173.85	101.54	139.07	125.24	137.14	299.25	122.64	115.97	202.66	135.24	138.1	172.65	267.73	178.77	120.94	141.02	189.02	127.89	139.07	277.2	181.28	85.22	150.17	180.02	106.63	131.51	158.79	142.01	206.94	348.71	175.07	314.17	281.09	228.13	320.8	201.25	198.47	429.54	381.68	220.32	246.28	307.69	228.13	206.94	209.84	271.48	307.69	271.48	356.05	206.94	371.22	493.56	392.44	205.5	381.68	131.51	209.84	215.77	218.79	435.55	358.54	183.82
RUFY3	371.22	314.17	435.55	454.09	1199.98	616.37	612.11	591.22	629.35	796.86	1225.22	409.15	339.14	307.69	309.83	902.89	260.38	420.68	406.31	441.64	555.41	351.14	2209.26	718.08	909.17	536.45	341.51	297.17	470.14	256.78	941.27	532.74	713.11	432.53	376.41	264.03	1008.9	536.45	356.05	1051.79	954.43	381.68	293.07	329.84	283.05	703.28	902.89	796.86	460.44	1991.0	1331.57	1991.0	1519.15	1350.18	2240.11	1498.22	890.44	1794.29	1447.15	1250.98	921.88	941.27	1870.53	3060.45	1896.65	2520.38	665.29	1051.79	1015.93	1233.75	194.36	563.18	267.73	363.56	543.96	518.15	921.88	2018.8	423.61
RWDD2A	73.03	68.55	90.14	115.16	178.77	228.13	101.54	438.59	197.09	119.26	186.4	130.6	53.19	214.27	74.58	197.09	91.41	84.04	74.58	100.13	90.77	63.89	175.07	132.44	98.73	120.94	96.68	137.14	89.51	123.5	73.54	102.25	102.25	147.06	186.4	81.14	180.02	112.77	48.87	146.03	93.35	97.36	101.54	68.07	91.41	127.0	91.41	41.52	99.43	194.36	132.44	204.07	140.04	131.51	277.2	204.07	198.47	138.1	125.24	150.17	169.07	94.67	120.94	170.25	175.07	172.65	341.51	83.45	198.47	154.42	47.84	129.69	78.89	139.07	204.07	40.64	161.02	175.07	234.57
SHPRH	9.56	26.1	53.19	145.02	81.14	75.64	138.1	38.67	123.5	71.0	78.89	37.85	60.39	43.63	18.43	123.5	78.34	53.57	21.63	43.02	24.28	60.82	55.49	59.13	55.1	82.87	65.26	32.36	98.04	69.52	55.89	30.56	31.67	127.0	83.45	70.51	85.22	57.08	28.65	56.28	43.02	28.24	48.87	45.21	67.12	111.21	158.79	23.76	130.6	87.65	126.12	223.41	162.14	128.79	273.37	264.03	102.97	145.02	156.59	113.56	162.14	102.97	116.78	236.21	122.64	113.56	98.04	234.57	170.25	94.67	24.81	114.36	27.64	78.34	105.15	151.22	112.77	107.38	50.98
SLC25A27	78.34	158.79	106.63	166.73	1350.18	172.65	373.81	476.71	420.68	258.57	1295.13	93.35	9.7	75.11	38.12	289.02	21.32	8.38	3.38	33.78	74.06	29.06	110.43	5.45	25.54	52.45	43.32	63.89	40.93	106.63	466.88	77.79	165.57	31.67	58.71	50.63	785.88	69.52	47.84	103.69	43.63	67.59	38.12	94.67	33.78	435.55	703.28	43.94	417.77	1733.13	890.44	1923.14	1143.1	2645.74	1208.34	2384.37	1304.15	1295.13	1216.75	995.0	1104.13	656.11	1551.09	2434.5	1540.37	1685.71	1119.56	1844.76	2664.15	1183.45	37.05	1250.98	137.14	444.72	764.36	339.14	909.17	2018.8	389.72
SMC5	139.07	150.17	159.9	273.37	400.71	176.29	314.17	249.73	281.09	236.21	507.46	195.72	129.69	206.94	93.35	191.67	157.68	197.09	72.52	113.56	73.54	110.43	403.5	91.41	157.68	208.38	172.65	123.5	205.5	127.0	312.0	178.77	119.26	152.28	177.53	175.07	273.37	194.36	187.71	149.12	118.43	83.45	114.36	135.24	218.79	231.32	336.79	114.36	351.14	248.0	303.44	536.45	409.15	361.04	819.3	414.87	473.41	301.33	563.18	295.11	307.69	447.82	441.64	389.72	412.0	429.54	429.54	616.37	723.08	389.72	140.04	514.56	117.6	190.34	255.0	249.73	420.68	547.75	228.13
SPG20OS	13.72	22.92	12.93	6.89	116.78	29.27	105.15	21.32	104.42	52.45	82.87	7.82	3.79	19.25	11.21	4.5	16.75	0.0	8.25	15.45	10.31	25.35	45.53	13.52	14.56	27.05	12.27	3.86	0.0	21.63	13.32	1.97	37.32	34.75	16.39	3.53	62.12	40.07	7.06	9.85	9.13	26.47	15.68	15.45	7.06	66.65	13.32	7.82	16.27	52.82	41.52	56.68	29.27	38.95	86.43	70.01	29.7	69.03	87.03	54.33	18.97	46.5	89.51	96.01	50.63	228.13	40.07	126.12	108.14	44.57	10.88	63.89	5.36	18.84	29.27	21.32	50.63	127.0	22.92
SPG7	1697.45	1135.2	607.87	563.18	1551.09	928.3	872.1	1697.45	1167.14	1175.27	1561.89	1208.34	775.05	693.58	1037.29	1378.57	896.64	669.92	819.3	674.59	1127.35	1037.29	2997.45	718.08	878.17	791.35	629.35	651.58	583.07	941.27	1259.69	1001.93	866.07	693.58	480.04	660.68	3395.89	1030.12	669.92	743.43	848.22	748.61	915.51	1135.2	575.03	1447.15	764.36	780.44	1359.57	3103.19	3146.52	2915.45	2032.85	2148.82	3325.99	2451.44	2303.12	2739.08	2119.22	2468.49	1936.53	1844.76	2956.17	1437.15	2682.69	2451.44	2319.15	1870.53	2271.4	2193.99	669.92	1313.23	884.29	603.67	1127.35	995.0	2255.7	2075.59	947.83
SUPT20H	473.41	507.46	473.41	441.64	647.07	808.0	612.11	796.86	1304.15	819.3	669.92	551.56	723.08	435.55	299.25	536.45	454.09	473.41	423.61	450.94	253.23	830.75	713.11	536.45	514.56	642.59	387.02	591.22	409.15	409.15	536.45	334.46	633.73	476.71	441.64	470.14	819.3	536.45	423.61	521.76	575.03	303.44	476.71	373.81	406.31	647.07	819.3	389.72	808.0	406.31	928.3	872.1	651.58	567.1	1551.09	954.43	616.37	669.92	764.36	607.87	647.07	536.45	915.51	836.53	878.17	954.43	642.59	1167.14	1519.15	1191.69	503.95	1572.76	476.71	490.14	587.13	563.18	1135.2	1407.55	624.99
SUPT7L	551.56	571.05	470.14	409.15	406.31	624.99	470.14	616.37	633.73	571.05	376.41	780.44	426.57	500.46	579.04	660.68	486.75	500.46	567.1	529.06	480.04	587.13	819.3	483.38	559.28	555.41	426.57	392.44	525.39	543.96	525.39	612.11	563.18	511.0	507.46	551.56	785.88	607.87	447.82	647.07	529.06	387.02	429.54	460.44	356.05	536.45	575.03	358.54	718.08	842.36	743.43	708.18	651.58	860.08	1051.79	813.63	647.07	698.41	796.86	674.59	607.87	629.35	928.3	954.43	902.89	1008.9	373.81	796.86	866.07	830.75	373.81	733.19	460.44	603.67	583.07	497.0	713.11	1073.91	500.46
TBRG1	348.71	341.51	486.75	679.29	723.08	273.37	423.61	674.59	547.75	381.68	624.99	555.41	303.44	351.14	417.77	529.06	327.56	356.05	273.37	320.8	361.04	409.15	703.28	432.53	403.5	432.53	348.71	271.48	327.56	291.04	587.13	334.46	353.59	351.14	301.33	417.77	830.75	497.0	423.61	307.69	303.44	309.83	267.73	540.19	325.29	454.09	555.41	587.13	591.22	624.99	684.02	1008.9	688.78	842.36	1304.15	941.27	769.69	743.43	808.0	769.69	813.63	674.59	1081.39	753.83	728.11	941.27	603.67	733.19	813.63	529.06	325.29	647.07	348.71	406.31	409.15	395.18	591.22	703.28	414.87
TDRD10	24.46	18.03	94.67	42.71	108.9	43.32	38.95	45.85	8.99	50.27	38.95	17.9	2.51	9.34	8.06	76.71	23.59	6.78	10.88	30.56	8.06	55.1	37.59	5.32	13.32	10.08	27.64	18.97	13.52	38.67	92.7	57.49	31.67	8.92	12.27	25.17	332.14	24.99	26.28	29.7	1.93	4.7	27.44	5.96	12.09	60.82	915.51	258.57	480.04	381.68	195.72	93.35	117.6	214.27	409.15	256.78	92.7	124.37	80.57	75.11	124.37	127.89	236.21	163.28	318.57	199.85	20.86	2417.67	511.0	72.52	88.88	403.5	43.63	59.13	121.79	28.65	723.08	242.88	93.35
TDRD6	5.19	5.15	13.42	3.96	0.71	36.27	38.12	39.5	20.86	39.79	0.85	6.16	2.14	20.71	1.19	16.88	9.41	2.73	10.39	7.51	6.78	9.78	3.63	1.91	7.69	21.32	8.0	4.39	2.84	3.63	15.68	3.59	6.84	3.0	4.54	15.11	26.28	13.42	9.2	13.52	8.25	3.41	4.24	8.32	34.02	10.16	5.06	7.69	13.72	39.22	24.81	90.14	47.84	125.24	79.45	217.27	30.78	40.07	29.27	26.28	33.78	21.01	64.34	187.71	73.03	102.97	36.53	32.82	26.28	15.34	7.4	11.21	13.12	10.08	13.83	37.59	25.54	22.92	18.16
TMEM253	13.83	8.13	18.56	8.65	20.86	23.76	4.62	16.51	112.77	13.42	32.59	11.64	1.39	17.77	72.01	44.89	19.53	30.56	14.56	15.91	28.45	27.44	16.15	4.46	20.11	3.2	10.79	87.65	7.88	13.62	57.89	22.75	42.11	15.91	49.21	0.91	102.25	16.27	12.18	34.75	48.87	24.99	22.92	28.45	23.93	48.18	14.03	22.75	13.03	88.26	114.36	186.4	339.14	151.22	178.77	53.19	316.37	140.04	169.07	166.73	152.28	106.63	205.5	64.8	241.19	123.5	15.68	43.63	135.24	14.67	63.45	20.41	10.24	12.27	47.5	3.08	44.89	11.13	7.75
TPCN1	116.78	269.6	490.14	934.76	872.1	400.71	693.58	1733.13	1417.35	536.45	775.05	684.02	934.76	587.13	490.14	1685.71	1051.79	497.0	848.22	429.54	620.67	743.43	890.44	547.75	480.04	1250.98	647.07	297.17	358.54	981.29	361.04	329.84	376.41	571.05	1088.92	656.11	1457.23	476.71	269.6	575.03	285.03	684.02	432.53	409.15	438.59	941.27	947.83	616.37	1369.04	1709.26	995.0	1594.73	1417.35	1697.45	1896.65	2335.28	1225.22	2104.58	1896.65	1143.1	1313.23	1208.34	1605.83	1617.0	1407.55	2520.38	1081.39	1651.0	1662.49	825.0	205.5	934.76	332.14	567.1	764.36	665.29	723.08	1051.79	872.1
TPP2	400.71	624.99	412.0	525.39	583.07	376.41	603.67	708.18	802.41	599.49	507.46	591.22	583.07	529.06	285.03	660.68	361.04	511.0	353.59	463.65	224.97	525.39	555.41	403.5	497.0	567.1	373.81	532.74	486.75	384.34	529.06	307.69	366.09	529.06	624.99	651.58	559.28	486.75	366.09	493.56	532.74	420.68	529.06	514.56	466.88	967.76	426.57	141.02	532.74	567.1	684.02	836.53	497.0	480.04	1340.84	830.75	603.67	555.41	642.59	575.03	633.73	444.72	642.59	551.56	529.06	718.08	1044.52	679.29	775.05	647.07	231.32	738.29	226.54	438.59	595.34	473.41	808.0	703.28	460.44
TRMT10B	129.69	87.65	100.13	118.43	277.2	171.45	211.31	221.86	305.55	161.02	279.14	132.44	78.34	101.54	68.55	123.5	57.08	144.01	52.45	65.26	69.52	78.34	265.87	94.67	136.19	135.24	121.79	88.88	94.67	85.22	189.02	82.87	77.79	79.45	78.89	115.97	226.54	125.24	83.45	80.01	80.57	63.0	158.79	118.43	176.29	217.27	320.8	167.9	291.04	358.54	206.94	361.04	271.48	343.89	379.04	476.71	295.11	376.41	279.14	361.04	255.0	221.86	397.93	417.77	435.55	483.38	228.13	417.77	447.82	381.68	134.3	389.72	165.57	181.28	182.55	214.27	400.71	392.44	193.01
TRMT11	88.88	198.47	194.36	231.32	336.79	167.9	220.32	214.27	293.07	199.85	387.02	239.52	162.14	177.53	139.07	267.73	115.16	136.19	122.64	163.28	135.24	162.14	239.52	387.02	162.14	248.0	194.36	118.43	164.42	169.07	248.0	127.0	205.5	244.57	178.77	194.36	312.0	201.25	122.64	145.02	217.27	151.22	209.84	158.79	234.57	341.51	389.72	148.09	409.15	409.15	323.03	703.28	325.29	348.71	642.59	1104.13	493.56	309.83	366.09	339.14	316.37	329.84	457.25	348.71	417.77	417.77	723.08	529.06	808.0	651.58	258.57	620.67	312.0	212.78	307.69	343.89	575.03	551.56	258.57
TRMT13	66.18	130.6	109.66	90.77	156.59	190.34	167.9	201.25	229.72	165.57	205.5	173.85	127.89	96.01	105.89	271.48	84.63	105.15	78.34	77.79	72.52	85.22	312.0	170.25	122.64	131.51	109.66	64.34	106.63	88.88	169.07	114.36	127.89	134.3	101.54	109.66	241.19	127.89	145.02	125.24	166.73	49.56	79.45	199.85	122.64	175.07	244.57	83.45	221.86	242.88	267.73	400.71	231.32	301.33	536.45	486.75	318.57	325.29	497.0	325.29	325.29	267.73	358.54	339.14	387.02	493.56	191.67	341.51	346.29	334.46	147.06	320.8	103.69	115.97	151.22	144.01	412.0	351.14	165.57
TTC14	126.12	246.28	224.97	214.27	669.92	518.15	476.71	559.28	417.77	497.0	769.69	305.55	249.73	115.16	74.58	373.81	126.12	198.47	74.58	183.82	148.09	134.3	708.18	150.17	197.09	246.28	137.14	84.04	146.03	275.28	366.09	293.07	237.86	232.94	154.42	226.54	842.36	255.0	332.14	201.25	137.14	231.32	103.69	343.89	96.01	336.79	603.67	193.01	1096.5	1286.18	1304.15	1857.6	1286.18	1605.83	1883.54	1477.58	1015.93	1378.57	1369.04	981.29	1059.11	1023.0	1529.73	1832.01	1583.71	1594.73	547.75	928.3	1322.37	842.36	152.28	921.88	228.13	420.68	529.06	395.18	1001.93	1388.16	406.31
UBAP1L	26.86	28.45	9.78	14.89	175.07	63.45	86.43	98.73	108.14	43.63	167.9	16.51	11.55	29.27	13.12	36.27	11.13	16.27	5.73	16.75	13.12	26.1	85.22	6.84	27.84	17.77	5.02	27.25	3.66	9.2	70.01	27.44	12.93	7.46	19.68	19.11	139.07	26.28	32.36	47.84	6.06	5.96	12.74	22.1	4.98	61.25	36.53	45.21	74.58	217.27	130.6	120.1	246.28	136.19	172.65	173.85	115.97	142.01	108.9	50.27	90.77	55.89	85.22	66.65	115.97	183.82	100.13	202.66	287.01	157.68	24.28	118.43	50.27	31.0	70.01	27.05	170.25	150.17	65.26
UBR3	96.01	138.1	368.65	723.08	493.56	277.2	500.46	275.28	493.56	307.69	503.95	171.45	186.4	379.04	271.48	293.07	241.19	291.04	351.14	279.14	244.57	297.17	185.11	420.68	318.57	309.83	295.11	193.01	299.25	314.17	392.44	228.13	353.59	351.14	341.51	301.33	521.76	348.71	303.44	343.89	309.83	260.38	251.48	236.21	332.14	400.71	376.41	267.73	325.29	507.46	599.49	612.11	403.5	277.2	674.59	381.68	466.88	486.75	583.07	493.56	373.81	395.18	497.0	417.77	450.94	460.44	708.18	400.71	463.65	376.41	376.41	420.68	173.85	312.0	521.76	599.49	497.0	518.15	473.41
UGGT2	165.57	159.9	201.25	450.94	351.14	181.28	249.73	183.82	220.32	234.57	231.32	186.4	253.23	159.9	183.82	325.29	186.4	341.51	81.14	194.36	187.71	206.94	205.5	172.65	289.02	149.12	209.84	120.94	221.86	262.2	346.29	204.07	267.73	297.17	212.78	194.36	339.14	175.07	332.14	226.54	197.09	208.38	142.01	63.0	253.23	262.2	182.55	113.56	232.94	265.87	332.14	470.14	323.03	325.29	490.14	366.09	414.87	334.46	426.57	307.69	251.48	366.09	366.09	334.46	295.11	293.07	368.65	281.09	358.54	163.28	339.14	412.0	146.03	264.03	318.57	507.46	353.59	251.48	358.54
USP48	432.53	547.75	529.06	571.05	684.02	480.04	836.53	759.08	1151.06	563.18	708.18	450.94	381.68	571.05	248.0	420.68	476.71	384.34	224.97	444.72	208.38	397.93	409.15	555.41	607.87	629.35	454.09	447.82	599.49	432.53	450.94	323.03	320.8	518.15	406.31	493.56	743.43	525.39	373.81	444.72	358.54	379.04	493.56	708.18	785.88	693.58	599.49	381.68	559.28	733.19	733.19	860.08	656.11	616.37	1023.0	1023.0	759.08	703.28	848.22	647.07	775.05	555.41	941.27	748.61	728.11	785.88	884.29	854.13	928.3	612.11	314.17	723.08	356.05	409.15	599.49	780.44	738.29	947.83	599.49
VIM	236256.4	147462.67	133825.1	179048.63	307450.64	207103.59	226632.25	185362.8	205673.01	176583.6	440870.9	161367.56	373305.21	182810.84	110983.6	193234.41	151608.43	138544.47	131071.0	110983.6	139508.13	148488.36	195931.88	167058.21	147462.67	140478.49	105727.15	284880.02	121448.75	241220.67	218912.29	131071.0	142439.51	128373.58	168220.2	118949.35	85876.94	180294.02	124863.17	141455.6	170568.48	129266.49	135693.24	155870.75	126606.21	112532.89	220434.95	162489.97	322736.12	130165.62	167058.21	79572.48	107203.06	92040.7	26986.43	47313.67	105727.15	85283.74	66912.05	108699.57	102125.66	101420.22	54349.29	81809.59	80125.95	38430.46	176583.6	124863.17	116501.39	145432.49	135693.24	154794.07	156954.93	200048.85	131071.0	186652.11	164758.26	97288.74	267651.2
VIP	1.75	6.62	14.03	14.78	13.32	14.67	12.09	20.41	7.17	9.2	9.06	5.63	3.5	3.89	2.34	9.93	1.28	0.72	0.45	3.79	3.0	0.45	29.91	0.0	3.66	1.27	0.8	3.5	1.25	2.03	13.52	11.73	3.82	0.79	2.51	2.27	54.33	5.06	14.35	15.0	0.42	6.73	2.73	3.2	1.55	16.63	26.67	8.92	28.45	39.5	17.51	7.88	19.25	52.45	59.13	39.5	18.97	9.7	14.89	26.1	17.51	19.11	32.82	29.06	31.9	28.86	11.47	92.7	32.36	43.94	32.82	38.4	17.9	20.41	18.7	12.83	68.07	18.16	20.26
VPS13A	67.12	43.02	124.37	162.14	59.97	75.11	105.89	130.6	172.65	75.64	72.01	139.07	126.12	85.22	111.21	171.45	133.36	265.87	144.01	126.12	110.43	80.57	281.09	108.14	197.09	232.94	139.07	99.43	206.94	214.27	217.27	237.86	139.07	115.97	137.14	115.16	713.11	126.12	153.34	143.01	124.37	137.14	90.77	176.29	147.06	346.29	193.01	104.42	142.01	241.19	397.93	366.09	237.86	220.32	629.35	476.71	221.86	312.0	312.0	205.5	299.25	358.54	348.71	361.04	336.79	320.8	384.34	98.73	147.06	71.5	129.69	186.4	170.25	283.05	271.48	571.05	140.04	291.04	295.11
