	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.J8.A3YG.01A.11R.A22U.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.WHSE.0626.SM.4RGNF
STIM2	177.53	220.32	493.56	348.71	167.9	73.54	144.01	341.51	358.54	87.03	444.72	444.72	267.73	432.53	624.99	295.11	417.77	417.77	486.75	273.37	532.74	441.64	232.94	332.14	656.11	371.22	332.14	429.54	348.71	571.05	356.05	432.53	559.28	450.94	438.59	279.14	511.0	571.05	287.01	277.2	336.79	353.59	540.19	264.03	507.46	327.56	486.75	438.59	371.22	591.22	559.28	417.77	273.37	271.48	287.01	532.74	356.05	389.72	493.56	679.29	521.76	529.06	500.46	303.44	555.41	764.36	387.02	500.46	521.76	348.71	454.09	708.18	353.59	620.67	444.72	480.04	232.94
STK36	121.79	33.78	64.34	106.63	183.82	193.01	249.73	0.0	186.4	39.79	723.08	403.5	536.45	961.07	1417.35	429.54	447.82	536.45	656.11	473.41	941.27	988.12	229.72	571.05	1111.82	1127.35	376.41	438.59	420.68	733.19	361.04	493.56	1183.45	368.65	679.29	351.14	607.87	1340.84	486.75	409.15	567.1	559.28	981.29	368.65	748.61	555.41	591.22	563.18	336.79	1127.35	819.3	848.22	397.93	420.68	228.13	1135.2	447.82	497.0	941.27	320.8	1242.34	1001.93	825.0	346.29	1487.87	1340.84	571.05	607.87	1259.69	866.07	813.63	642.59	429.54	1304.15	466.88	511.0	651.58
STX16-NPEPL1	5.15	0.0	1.97	3.5	3.38	7.11	7.51	0.0	6.31	0.0	101.54	30.34	76.71	118.43	158.79	13.03	45.21	68.07	93.35	36.01	159.9	89.51	6.31	33.54	217.27	289.02	22.26	98.04	20.71	208.38	74.06	41.52	172.65	55.89	132.44	12.55	88.26	199.85	29.7	26.47	69.03	75.11	131.51	19.82	113.56	61.25	68.55	60.82	13.32	224.97	55.49	74.58	32.36	18.7	16.75	195.72	21.47	45.85	107.38	46.18	147.06	152.28	52.82	21.16	265.87	325.29	46.84	90.14	232.94	116.78	70.01	94.67	15.22	120.1	35.76	22.92	72.52
TAF1C	277.2	253.23	277.2	356.05	363.56	287.01	423.61	368.65	242.88	96.68	769.69	656.11	669.92	1001.93	1313.23	454.09	669.92	583.07	665.29	607.87	981.29	934.76	381.68	476.71	1066.48	1378.57	447.82	583.07	728.11	1167.14	733.19	536.45	1268.46	753.83	1023.0	470.14	733.19	1175.27	703.28	587.13	642.59	743.43	947.83	353.59	733.19	463.65	669.92	693.58	503.95	1304.15	698.41	890.44	616.37	511.0	314.17	1015.93	708.18	633.73	775.05	633.73	1037.29	848.22	854.13	463.65	1467.37	1594.73	490.14	693.58	1051.79	915.51	748.61	791.35	503.95	1066.48	392.44	563.18	540.19
TAS2R10	0.0	0.0	1.0	1.46	0.0	0.0	0.0	0.0	2.05	0.0	2.51	6.89	1.81	2.94	15.68	3.11	0.89	2.51	5.02	0.0	10.55	8.85	0.0	14.78	5.45	13.22	0.0	5.06	0.83	3.53	1.97	2.46	2.2	0.0	3.96	0.0	3.32	11.13	1.33	3.0	0.0	1.83	4.13	3.79	6.16	0.0	2.12	4.35	0.0	15.0	9.48	6.57	3.86	1.25	1.38	12.83	4.35	2.34	5.19	6.36	9.78	7.22	2.43	2.39	14.56	11.38	0.0	1.36	6.94	3.26	0.0	0.0	2.86	9.06	1.55	2.51	0.43
TAS2R19	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	2.23	0.62	1.46	2.81	1.89	3.14	7.4	0.0	0.91	0.88	1.53	4.13	4.66	6.06	1.38	4.66	5.92	4.62	0.0	2.81	1.91	1.64	0.89	1.43	2.29	0.0	7.28	1.39	3.53	8.32	3.63	1.43	5.41	1.91	2.63	4.06	4.74	1.39	3.53	2.43	1.91	11.3	8.0	4.98	5.45	3.89	1.43	6.11	2.43	1.36	2.86	3.14	6.21	4.9	2.58	1.39	15.8	3.44	2.14	4.94	2.78	4.58	4.21	0.0	0.0	7.28	3.63	2.03	11.21
TBRG1	301.33	309.83	271.48	305.55	309.83	155.5	332.14	329.84	503.95	232.94	525.39	647.07	595.34	669.92	872.1	493.56	660.68	595.34	571.05	514.56	764.36	703.28	371.22	785.88	802.41	819.3	563.18	633.73	603.67	713.11	529.06	629.35	660.68	665.29	679.29	599.49	529.06	738.29	536.45	532.74	607.87	616.37	769.69	423.61	679.29	518.15	525.39	607.87	536.45	796.86	575.03	688.78	540.19	733.19	493.56	819.3	713.11	583.07	684.02	432.53	819.3	642.59	679.29	466.88	830.75	842.36	547.75	514.56	753.83	693.58	595.34	624.99	743.43	738.29	563.18	460.44	961.07
THOC1	279.14	128.79	186.4	189.02	88.88	45.85	109.66	0.0	271.48	88.88	595.34	271.48	540.19	825.0	928.3	384.34	525.39	633.73	651.58	540.19	748.61	802.41	231.32	555.41	642.59	890.44	348.71	457.25	438.59	642.59	438.59	371.22	866.07	327.56	825.0	283.05	486.75	961.07	454.09	318.57	460.44	366.09	813.63	334.46	703.28	476.71	607.87	607.87	336.79	954.43	651.58	651.58	295.11	381.68	275.28	842.36	532.74	547.75	769.69	373.81	988.12	708.18	698.41	343.89	1304.15	1159.07	543.96	426.57	842.36	759.08	733.19	473.41	454.09	988.12	320.8	447.82	981.29
TRO	38.12	81.71	12.0	20.26	31.0	37.59	78.89	0.0	35.25	14.67	307.69	92.05	242.88	314.17	543.96	50.98	142.01	155.5	182.55	206.94	633.73	417.77	81.14	93.35	454.09	583.07	165.57	108.9	159.9	339.14	141.02	148.09	450.94	117.6	146.03	115.16	133.36	591.22	90.14	190.34	191.67	172.65	277.2	76.71	273.37	181.28	253.23	214.27	127.89	480.04	154.42	366.09	139.07	161.02	40.93	353.59	102.97	182.55	164.42	150.17	571.05	406.31	218.79	87.03	651.58	417.77	67.59	129.69	466.88	217.27	180.02	579.04	126.12	503.95	102.25	97.36	583.07
TTC14	165.57	158.79	339.14	155.5	98.73	49.21	27.84	0.0	264.03	50.27	620.67	473.41	591.22	764.36	1030.12	221.86	450.94	603.67	638.15	403.5	808.0	718.08	100.83	785.88	988.12	1561.89	262.2	579.04	348.71	1023.0	412.0	346.29	890.44	444.72	860.08	264.03	738.29	967.76	353.59	287.01	384.34	457.25	934.76	305.55	836.53	470.14	521.76	555.41	229.72	1088.92	688.78	595.34	420.68	325.29	215.77	872.1	376.41	595.34	928.3	674.59	1183.45	909.17	830.75	297.17	1407.55	1487.87	624.99	591.22	1159.07	743.43	629.35	567.1	432.53	1066.48	303.44	507.46	791.35
TTC21A	13.22	18.56	16.63	13.52	59.13	41.22	77.79	0.0	45.85	7.51	197.09	72.52	141.02	236.21	234.57	100.83	96.68	87.65	155.5	169.07	170.25	229.72	66.65	146.03	291.04	205.5	73.03	90.14	83.45	260.38	92.05	99.43	140.04	92.05	202.66	75.64	107.38	244.57	131.51	73.03	154.42	134.3	176.29	74.58	172.65	99.43	183.82	136.19	74.06	228.13	136.19	186.4	134.3	84.04	68.07	244.57	108.9	115.97	117.6	135.24	258.57	249.73	181.28	90.77	336.79	395.18	155.5	111.99	258.57	135.24	228.13	108.14	72.01	248.0	107.38	122.64	121.79
TTLL3	78.89	48.52	56.68	50.27	149.12	111.21	122.64	0.0	109.66	11.3	813.63	647.07	607.87	1427.22	2018.8	429.54	785.88	620.67	941.27	669.92	1397.83	1331.57	366.09	400.71	988.12	1359.57	463.65	500.46	493.56	896.64	713.11	412.0	1015.93	466.88	934.76	397.93	890.44	1369.04	698.41	669.92	830.75	612.11	1304.15	297.17	954.43	878.17	769.69	791.35	624.99	1651.0	896.64	995.0	361.04	543.96	397.93	1617.0	543.96	674.59	1001.93	420.68	1674.06	1008.9	1104.13	591.22	1909.85	2796.65	679.29	1030.12	1059.11	995.0	1216.75	860.08	473.41	1857.6	327.56	647.07	473.41
UBAP1L	1.97	2.71	13.12	6.41	12.83	4.24	2.73	0.0	18.29	1.11	70.51	19.11	63.45	80.01	113.56	43.02	33.54	34.26	43.94	28.04	101.54	136.19	28.04	24.11	102.25	148.09	19.82	36.27	33.06	66.18	36.79	30.78	100.13	24.46	91.41	37.32	43.94	96.01	53.57	25.54	46.5	34.75	67.59	16.88	43.94	35.76	63.89	53.95	18.7	126.12	57.89	76.71	53.57	39.5	14.56	90.77	50.27	49.56	66.18	38.95	197.09	138.1	61.25	29.91	136.19	220.32	29.7	31.45	94.67	47.5	63.45	50.27	38.67	89.51	28.04	38.67	42.41
USP36	301.33	281.09	341.51	356.05	223.41	339.14	356.05	0.0	358.54	199.85	780.44	848.22	723.08	708.18	842.36	460.44	769.69	607.87	547.75	503.95	693.58	819.3	447.82	1030.12	713.11	738.29	559.28	532.74	638.15	708.18	514.56	551.56	688.78	571.05	693.58	603.67	603.67	764.36	551.56	599.49	638.15	595.34	854.13	470.14	529.06	409.15	647.07	728.11	412.0	1051.79	708.18	551.56	1051.79	547.75	460.44	947.83	629.35	603.67	651.58	1015.93	743.43	688.78	490.14	414.87	860.08	890.44	480.04	521.76	728.11	587.13	830.75	981.29	723.08	708.18	441.64	555.41	1167.14
VN1R1	3.11	0.0	4.03	4.17	0.82	1.16	2.63	0.0	1.77	0.0	47.84	25.17	26.47	25.17	33.54	21.47	16.75	23.25	17.77	19.68	43.32	26.28	12.45	32.82	24.81	59.55	15.11	15.68	22.1	26.1	24.46	13.42	35.25	12.45	34.02	12.09	17.77	46.5	19.53	13.52	28.04	19.82	14.14	5.54	11.13	6.11	24.11	13.62	8.45	38.12	36.01	37.32	16.75	15.56	45.85	46.5	30.34	24.81	18.84	55.49	42.11	36.79	30.12	14.03	16.88	48.18	14.45	31.22	27.05	16.51	18.97	18.84	13.32	35.76	21.47	27.44	42.41
VWA5B2	0.79	1.57	23.25	1.75	3.92	0.39	1.14	0.0	2.01	0.0	24.63	9.63	19.68	18.7	44.25	6.89	8.71	10.71	13.62	8.92	52.45	26.86	17.25	7.94	30.56	45.53	10.16	18.97	39.5	13.52	10.24	25.72	123.5	7.82	8.06	10.71	33.06	97.36	17.64	4.39	18.7	24.81	12.83	13.52	22.43	8.06	26.1	37.05	5.28	56.28	19.68	39.79	22.75	13.22	6.62	11.3	30.78	17.51	32.59	13.32	55.89	33.3	14.14	9.7	53.95	31.67	10.08	7.11	15.34	19.97	22.1	19.11	11.55	22.59	22.1	6.78	12.27
WDR27	100.13	40.64	206.94	104.42	43.94	32.36	50.27	0.0	62.12	19.82	397.93	309.83	307.69	490.14	775.05	121.79	336.79	275.28	387.02	204.07	500.46	473.41	156.59	285.03	551.56	571.05	125.24	251.48	301.33	454.09	366.09	183.82	825.0	199.85	529.06	153.34	343.89	825.0	336.79	191.67	312.0	228.13	555.41	161.02	420.68	277.2	332.14	406.31	120.94	854.13	414.87	476.71	180.02	244.57	70.01	733.19	246.28	297.17	373.81	237.86	775.05	521.76	346.29	211.31	1008.9	1427.22	277.2	325.29	764.36	473.41	395.18	395.18	237.86	669.92	142.01	301.33	314.17
ZFC3H1	368.65	189.02	287.01	138.1	82.29	39.22	65.26	0.0	164.42	32.59	429.54	351.14	341.51	633.73	836.53	228.13	483.38	441.64	507.46	483.38	579.04	616.37	275.28	575.03	633.73	698.41	281.09	392.44	395.18	651.58	426.57	351.14	748.61	339.14	571.05	256.78	547.75	808.0	371.22	332.14	373.81	406.31	775.05	277.2	521.76	476.71	555.41	612.11	305.55	860.08	567.1	540.19	325.29	329.84	376.41	693.58	341.51	429.54	599.49	500.46	934.76	607.87	785.88	287.01	1023.0	941.27	642.59	587.13	674.59	603.67	587.13	412.0	392.44	748.61	273.37	521.76	651.58
ZMAT1	8.51	4.28	9.78	1.85	22.43	8.45	9.2	0.0	44.89	0.0	371.22	417.77	403.5	624.99	698.41	171.45	363.56	299.25	432.53	376.41	743.43	591.22	140.04	529.06	723.08	860.08	166.73	470.14	307.69	638.15	318.57	262.2	842.36	325.29	669.92	156.59	426.57	967.76	224.97	167.9	293.07	271.48	583.07	158.79	579.04	384.34	435.55	567.1	133.36	974.5	591.22	532.74	293.07	343.89	212.78	660.68	303.44	353.59	679.29	612.11	1388.16	909.17	759.08	186.4	1487.87	1119.56	466.88	426.57	1037.29	595.34	460.44	305.55	358.54	775.05	221.86	299.25	361.04
ZNF23	79.45	66.18	36.53	62.12	70.51	13.62	58.71	0.0	101.54	55.49	144.01	242.88	167.9	199.85	256.78	164.42	172.65	165.57	209.84	164.42	209.84	236.21	70.01	167.9	183.82	202.66	120.1	146.03	138.1	130.6	140.04	106.63	271.48	142.01	205.5	130.6	136.19	309.83	118.43	111.21	143.01	106.63	206.94	82.87	183.82	142.01	164.42	123.5	95.34	307.69	180.02	206.94	178.77	137.14	136.19	206.94	138.1	143.01	197.09	255.0	234.57	215.77	220.32	112.77	281.09	318.57	195.72	117.6	206.94	197.09	195.72	157.68	133.36	246.28	96.68	127.89	169.07
ZNF266	108.9	129.69	217.27	135.24	108.9	87.65	131.51	0.0	229.72	111.21	412.0	241.19	417.77	603.67	1167.14	199.85	559.28	607.87	435.55	447.82	866.07	796.86	164.42	620.67	361.04	759.08	323.03	325.29	346.29	500.46	363.56	271.48	748.61	320.8	669.92	246.28	473.41	780.44	251.48	301.33	529.06	316.37	500.46	232.94	624.99	293.07	351.14	595.34	248.0	1369.04	583.07	595.34	189.02	343.89	253.23	813.63	305.55	397.93	409.15	460.44	785.88	555.41	567.1	447.82	607.87	1183.45	460.44	397.93	688.78	819.3	351.14	414.87	366.09	665.29	204.07	303.44	417.77
ZNF333	40.07	59.13	88.88	54.72	41.52	63.89	64.8	0.0	126.12	20.71	151.22	141.02	155.5	206.94	228.13	125.24	133.36	114.36	126.12	92.05	209.84	205.5	62.56	217.27	195.72	246.28	122.64	110.43	166.73	204.07	149.12	100.13	186.4	151.22	239.52	140.04	141.02	271.48	132.44	92.7	173.85	133.36	173.85	57.89	134.3	94.67	140.04	170.25	100.13	273.37	143.01	166.73	155.5	150.17	65.72	202.66	151.22	148.09	182.55	305.55	234.57	242.88	156.59	92.7	236.21	246.28	141.02	131.51	201.25	149.12	120.94	185.11	123.5	148.09	109.66	106.63	166.73
ZNF334	5.87	4.86	3.66	3.35	11.91	3.08	2.71	0.0	43.02	0.0	85.22	113.56	159.9	224.97	264.03	65.26	120.94	191.67	141.02	154.42	202.66	172.65	37.05	94.67	165.57	363.56	123.5	30.12	121.79	117.6	91.41	74.06	185.11	43.63	87.03	62.56	37.85	239.52	130.6	70.51	151.22	80.01	178.77	45.85	185.11	104.42	87.03	170.25	85.82	376.41	94.01	277.2	92.05	158.79	18.29	154.42	131.51	94.67	197.09	43.32	223.41	260.38	166.73	76.71	244.57	289.02	101.54	153.34	303.44	195.72	74.06	169.07	147.06	234.57	71.5	110.43	88.88
ZNF354B	55.1	36.53	66.18	20.41	35.25	4.66	21.94	0.0	59.97	15.45	271.48	150.17	164.42	251.48	332.14	109.66	191.67	181.28	195.72	143.01	297.17	234.57	110.43	214.27	279.14	305.55	110.43	156.59	170.25	256.78	167.9	141.02	275.28	171.45	341.51	108.9	202.66	221.86	124.37	144.01	197.09	152.28	237.86	73.03	186.4	153.34	209.84	182.55	148.09	215.77	256.78	177.53	173.85	157.68	134.3	320.8	190.34	185.11	293.07	176.29	299.25	237.86	214.27	162.14	379.04	368.65	224.97	177.53	283.05	256.78	195.72	190.34	143.01	265.87	133.36	165.57	209.84
ZNF404	22.26	5.36	15.68	20.11	21.01	10.08	16.75	0.0	13.83	9.93	124.37	62.56	108.14	102.97	151.22	35.25	82.29	101.54	81.71	101.54	170.25	147.06	46.5	220.32	115.97	193.01	69.52	92.7	94.67	120.1	55.49	59.97	297.17	92.7	41.52	36.01	72.52	186.4	62.56	73.03	70.51	53.57	177.53	45.85	94.67	60.39	74.58	111.99	63.89	318.57	92.05	215.77	70.01	76.71	41.52	111.21	64.34	103.69	127.89	150.17	189.02	158.79	120.94	56.68	358.54	221.86	87.65	98.73	265.87	183.82	111.21	63.0	82.29	175.07	29.7	68.07	47.17
ZNF449	42.71	13.52	25.91	29.48	20.11	15.11	33.3	0.0	53.19	15.91	102.25	87.65	61.25	110.43	135.24	34.02	94.67	84.63	72.52	41.52	172.65	113.56	19.39	119.26	120.94	122.64	59.55	67.12	62.12	164.42	50.98	100.13	87.65	108.14	79.45	41.81	44.25	111.21	57.89	48.87	60.82	129.69	88.26	66.18	85.82	61.68	95.34	95.34	55.1	146.03	135.24	73.03	106.63	41.22	80.57	169.07	44.25	70.51	77.79	100.83	115.97	127.89	111.99	48.52	226.54	167.9	80.01	63.0	120.1	137.14	85.82	189.02	69.52	77.25	51.71	63.89	147.06
