	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
KIF4A	358.54	170.25	130.6	3.35	3.32	0.95	194.36	733.19	37.32	53.57	65.72	6.94	14.45	102.97	8.06	19.39	2.27	10.16	30.56	204.07	204.07	368.65	17.77	53.95	103.69	22.75	18.16	23.25	136.19	29.06	22.43	52.45	325.29	13.93	18.29	106.63	83.45	106.63	14.45	147.06	119.26	44.25	289.02	53.19	9.27	258.57	120.94	90.77	82.29	7.57	8.58	4.17	3.86	4.35	4.43	2.68	1.38	12.09	0.97	13.93	2.97	3.35	4.28	4.24	3.5	1.83	6.78	2.03	4.28	5.06	0.46	14.03	20.41	2.51	29.91	2.73	4.17	9.7	6.36	13.32	4.9	1.36	9.27	2.23	2.97	2.68	16.63	2.07	0.77	0.78	20.86	6.11	0.0	5.15	10.0	2.43	4.82	63.45	6.57	36.27	0.0	11.04	3.99	2.18	2.41	3.41	0.0	3.26	3.63	2.78	0.85	2.78	1.41	7.0	22.43	49.56	0.0	16.27	1.99	1.6	5.5	4.54	2.71	0.83	4.9	7.11	182.55	142.01	111.99	246.28	595.34	43.32	3.0	8.32	511.0	264.03	163.28	191.67	265.87
KIFC1	624.99	500.46	320.8	12.74	9.85	3.03	738.29	813.63	100.83	100.83	60.82	11.13	20.56	121.79	10.08	37.59	12.74	21.63	120.94	514.56	591.22	1135.2	31.67	93.35	231.32	45.53	65.72	41.81	214.27	94.01	40.36	101.54	198.47	42.41	42.11	559.28	299.25	289.02	55.1	197.09	287.01	54.72	514.56	118.43	30.78	518.15	379.04	175.07	361.04	4.74	28.04	7.17	16.03	9.63	13.93	13.52	2.43	15.91	7.17	43.32	9.7	3.56	2.73	7.94	8.38	6.26	13.72	10.16	8.99	11.73	5.54	46.5	59.97	5.23	66.65	11.64	15.45	43.63	20.71	26.47	15.45	4.78	24.81	4.31	9.27	6.11	76.71	2.92	1.66	4.31	48.52	3.56	11.55	2.81	21.32	9.93	3.59	173.85	19.53	46.18	12.93	25.35	19.25	2.78	22.1	3.53	1.69	7.11	8.13	5.23	5.92	7.51	8.25	27.64	49.91	125.24	1.87	35.76	2.78	2.03	7.57	15.11	7.34	8.0	7.28	29.27	323.03	379.04	759.08	967.76	896.64	78.34	18.97	51.71	1388.16	981.29	536.45	1159.07	738.29
KNTC1	500.46	368.65	384.34	63.0	83.45	57.08	1104.13	2209.26	100.13	587.13	181.28	158.79	150.17	145.02	57.89	113.56	63.89	74.06	167.9	830.75	473.41	1051.79	128.79	361.04	848.22	88.26	165.57	84.63	412.0	232.94	49.91	226.54	318.57	91.41	161.02	379.04	1096.5	232.94	127.89	212.78	215.77	142.01	981.29	220.32	163.28	961.07	473.41	412.0	140.04	46.18	109.66	19.53	68.07	46.5	52.08	58.3	30.56	53.19	53.95	115.16	46.18	27.64	33.3	51.71	33.54	53.95	110.43	32.13	38.67	47.84	76.71	87.65	155.5	38.12	96.68	59.97	39.22	86.43	94.67	20.26	48.87	75.11	59.13	68.07	27.44	63.0	86.43	25.91	59.97	37.59	35.25	11.04	44.89	90.14	63.0	62.56	22.26	87.65	56.28	49.21	75.11	101.54	48.87	69.52	34.75	31.0	57.49	54.33	57.89	50.63	63.0	73.54	60.39	186.4	53.57	228.13	27.44	35.25	26.1	12.83	78.34	31.67	37.85	14.45	61.25	13.22	872.1	693.58	1487.87	1001.93	1088.92	136.19	115.97	85.82	679.29	511.0	483.38	616.37	638.15
LIG1	1561.89	941.27	1175.27	214.27	334.46	297.17	1923.14	3325.99	457.25	647.07	373.81	150.17	412.0	500.46	309.83	237.86	285.03	212.78	403.5	808.0	1551.09	1096.5	229.72	713.11	860.08	373.81	438.59	438.59	1051.79	571.05	384.34	518.15	802.41	320.8	242.88	1540.37	1073.91	698.41	429.54	507.46	583.07	251.48	1378.57	583.07	353.59	1457.23	753.83	764.36	470.14	218.79	267.73	164.42	417.77	180.02	361.04	249.73	153.34	239.52	307.69	412.0	218.79	155.5	199.85	232.94	199.85	251.48	323.03	295.11	215.77	256.78	265.87	211.31	444.72	228.13	525.39	119.26	118.43	212.78	223.41	152.28	209.84	283.05	392.44	106.63	108.14	217.27	373.81	108.14	301.33	172.65	327.56	67.59	279.14	190.34	218.79	255.0	96.01	486.75	242.88	267.73	358.54	334.46	242.88	241.19	142.01	163.28	181.28	220.32	206.94	191.67	186.4	353.59	332.14	149.12	305.55	490.14	193.01	303.44	172.65	208.38	123.5	242.88	181.28	241.19	86.43	190.34	947.83	591.22	1175.27	1407.55	1322.37	334.46	486.75	463.65	493.56	967.76	1331.57	1697.45	974.5
MAD2L1	612.11	329.84	107.38	31.9	27.84	18.84	3349.13	1183.45	153.34	170.25	134.3	48.87	93.35	83.45	34.26	94.67	27.44	44.89	248.0	802.41	551.56	738.29	65.26	136.19	144.01	98.04	81.14	50.27	363.56	101.54	59.55	81.71	748.61	96.01	105.89	167.9	186.4	297.17	93.35	150.17	273.37	118.43	780.44	84.63	42.71	669.92	256.78	323.03	156.59	19.82	54.72	32.59	39.79	14.03	59.97	24.28	9.63	33.06	27.05	98.04	22.1	22.26	24.63	26.1	13.93	21.63	37.05	27.64	24.28	31.22	15.34	63.89	120.1	13.83	87.65	38.12	29.06	28.24	36.01	54.33	24.63	16.75	38.4	33.54	21.78	23.59	139.07	41.52	14.14	22.1	76.17	21.47	22.59	30.78	53.57	9.56	14.24	198.47	37.85	77.25	15.0	100.83	26.28	29.06	19.68	14.67	22.75	67.12	15.11	18.97	13.12	17.77	21.78	28.65	92.05	165.57	25.35	40.93	16.51	12.83	14.24	29.91	20.41	13.42	18.29	40.64	551.56	400.71	299.25	759.08	563.18	185.11	56.68	115.16	1015.93	872.1	473.41	674.59	836.53
MCM10	139.07	81.71	26.67	3.66	1.85	0.56	212.78	281.09	13.62	16.88	13.72	2.16	5.54	18.97	2.46	7.57	2.89	5.02	19.53	109.66	97.36	237.86	4.74	23.42	32.36	7.75	8.78	12.93	43.63	17.77	8.99	13.83	37.32	5.87	11.3	43.63	27.25	38.12	7.57	41.52	48.87	7.75	90.14	24.11	7.17	86.43	63.45	32.13	35.76	2.48	1.22	1.75	2.14	1.62	14.78	2.39	0.54	2.71	1.1	10.31	2.84	1.08	3.76	2.61	3.29	3.5	6.26	2.25	4.1	3.89	1.08	17.64	25.17	3.06	9.63	3.82	0.82	13.72	10.31	2.84	1.53	0.4	4.74	11.47	1.55	0.42	29.06	1.87	3.89	0.0	5.82	2.92	3.86	11.21	3.59	0.0	0.95	29.91	6.31	9.7	0.0	22.92	0.43	1.87	0.0	6.36	0.4	7.0	1.68	1.43	0.96	0.0	0.42	9.41	15.11	33.3	7.94	2.76	1.33	3.76	2.94	6.57	2.84	2.41	0.84	2.97	52.45	93.35	52.08	217.27	264.03	13.83	5.5	0.84	115.97	159.9	65.26	125.24	159.9
MCM7	3928.15	1819.35	961.07	303.44	511.0	466.88	4066.71	3847.29	1111.82	854.13	1059.11	277.2	854.13	830.75	607.87	624.99	532.74	775.05	1191.69	1896.65	1651.0	2682.69	571.05	1583.71	1037.29	543.96	775.05	915.51	1745.2	988.12	764.36	1457.23	2627.46	665.29	493.56	2119.22	1259.69	1605.83	947.83	1467.37	1572.76	642.59	2400.97	808.0	813.63	2119.22	2224.63	1322.37	1175.27	470.14	460.44	265.87	518.15	353.59	432.53	444.72	392.44	403.5	500.46	656.11	599.49	329.84	346.29	470.14	325.29	480.04	473.41	334.46	361.04	403.5	450.94	341.51	728.11	241.19	796.86	361.04	318.57	387.02	642.59	248.0	567.1	426.57	525.39	217.27	228.13	281.09	884.29	258.57	620.67	480.04	384.34	463.65	412.0	318.57	551.56	438.59	454.09	915.51	351.14	532.74	473.41	796.86	551.56	295.11	417.77	351.14	351.14	607.87	571.05	151.22	348.71	521.76	669.92	366.09	493.56	616.37	275.28	536.45	351.14	161.02	476.71	358.54	336.79	305.55	260.38	279.14	1870.53	1639.59	2835.7	9540.5	7642.41	1096.5	1066.48	872.1	2119.22	3794.3	2351.53	1950.0	6079.61
MECOM	187.71	218.79	22.92	17.38	61.25	15.22	48.87	202.66	283.05	256.78	67.59	16.27	39.79	76.71	31.45	81.71	29.91	30.56	59.55	41.22	13.72	153.34	67.12	36.79	23.08	15.45	51.71	98.04	135.24	38.4	75.64	112.77	26.28	47.5	242.88	49.91	87.03	24.11	45.53	41.52	87.65	127.89	130.6	42.71	58.3	23.42	24.46	126.12	65.26	25.35	42.11	13.72	19.82	6.46	31.45	48.18	3.03	13.93	5.96	17.25	23.59	4.78	14.14	30.12	30.56	22.59	22.43	17.13	18.56	42.71	16.15	24.28	22.92	21.63	50.98	19.82	23.08	50.98	29.91	5.41	45.21	8.45	6.78	14.78	17.51	11.91	24.11	37.05	10.63	18.03	12.74	86.43	13.93	12.64	19.82	24.11	3.44	16.51	27.05	17.64	61.68	8.92	45.53	47.84	23.93	7.06	57.08	15.68	100.13	19.53	13.03	79.45	29.27	100.13	49.21	13.93	19.11	12.18	9.78	3.47	27.84	23.42	17.64	27.05	22.26	24.46	275.28	117.6	307.69	728.11	660.68	166.73	208.38	46.18	400.71	1286.18	854.13	563.18	728.11
MELK	825.0	162.14	185.11	8.71	4.94	2.68	497.0	2163.77	61.25	90.14	64.34	7.17	20.11	119.26	12.55	30.78	5.96	25.72	75.64	327.56	376.41	567.1	31.9	89.51	156.59	34.75	29.48	44.25	143.01	42.11	32.82	75.64	234.57	29.27	47.84	176.29	169.07	151.22	35.25	109.66	152.28	47.84	309.83	49.91	13.62	395.18	232.94	154.42	146.03	3.5	7.22	8.19	5.92	3.79	9.41	4.21	0.53	5.5	1.1	27.64	3.32	1.6	0.0	4.21	5.02	4.58	4.7	5.11	5.41	7.94	1.6	45.53	50.27	4.17	28.86	10.24	8.13	11.04	7.88	15.22	4.1	0.53	9.41	3.47	5.41	3.2	44.89	3.23	0.95	4.66	12.55	0.57	2.14	4.39	10.79	1.73	2.89	71.0	3.99	26.67	0.96	19.53	1.91	5.96	6.73	3.29	0.96	7.63	5.96	2.41	1.07	1.04	0.0	21.78	20.41	77.79	1.06	14.14	1.85	0.61	8.92	3.99	6.57	2.41	6.52	7.46	303.44	239.52	371.22	305.55	808.0	80.57	13.22	7.0	373.81	376.41	251.48	381.68	327.56
MKI67	353.59	248.0	201.25	8.85	4.7	5.06	409.15	547.75	127.89	70.01	72.01	5.5	29.91	61.25	6.84	21.78	11.21	25.35	68.55	111.21	145.02	665.29	11.55	71.5	265.87	31.22	41.52	29.7	165.57	59.55	38.95	62.56	228.13	29.7	59.13	214.27	301.33	532.74	27.25	132.44	211.31	62.12	638.15	61.68	46.84	195.72	146.03	94.01	236.21	2.36	12.55	16.51	6.62	4.62	9.41	10.79	4.39	18.7	2.58	42.41	12.55	4.58	0.91	10.47	17.38	5.32	18.29	10.79	6.84	13.93	4.06	52.08	41.52	5.59	57.08	7.82	17.77	21.16	9.7	21.78	8.85	1.69	24.11	3.63	1.97	3.86	35.5	2.34	2.16	2.73	40.36	6.16	4.5	10.31	18.7	6.78	2.97	103.69	15.0	45.85	2.68	20.56	9.56	3.17	10.08	8.78	1.19	3.82	12.83	4.54	4.1	3.47	0.72	7.46	30.12	94.01	1.3	47.84	2.25	2.01	7.88	12.83	4.98	1.28	11.3	16.03	470.14	186.4	460.44	647.07	595.34	72.52	11.55	33.3	665.29	316.37	368.65	323.03	228.13
MLF1IP	967.76	246.28	262.2	48.52	17.13	11.04	1639.59	723.08	187.71	156.59	178.77	64.34	113.56	191.67	40.64	103.69	51.71	62.12	351.14	1819.35	753.83	819.3	78.34	366.09	171.45	120.94	136.19	123.5	1143.1	325.29	115.16	98.73	127.89	132.44	74.58	289.02	409.15	145.02	90.77	251.48	309.83	190.34	1617.0	167.9	91.41	1628.26	503.95	769.69	231.32	12.45	75.64	28.24	71.0	22.26	63.45	25.91	20.26	49.56	23.08	115.97	26.47	15.45	19.82	58.3	44.89	35.5	34.26	28.65	42.71	62.56	21.94	59.13	191.67	15.45	96.01	18.7	22.59	70.01	100.13	33.3	24.63	40.64	56.68	26.67	12.64	29.06	231.32	24.28	27.84	9.56	47.5	9.27	30.34	51.71	27.25	27.05	11.82	248.0	21.47	46.18	40.36	88.88	49.21	40.36	31.9	22.26	35.5	73.03	22.26	15.68	9.48	28.65	32.36	79.45	80.57	414.87	24.28	28.24	14.14	20.56	20.56	19.97	35.0	21.78	18.84	38.4	414.87	299.25	583.07	503.95	1250.98	253.23	136.19	94.01	460.44	532.74	500.46	429.54	190.34
MTFR2	94.67	64.34	88.26	6.26	6.26	2.03	111.21	327.56	22.26	29.48	18.84	11.3	12.0	42.11	5.5	9.27	14.45	15.91	22.26	103.69	138.1	191.67	10.79	16.51	20.41	18.16	18.7	12.45	48.87	12.0	11.91	42.71	63.45	20.26	22.1	89.51	87.65	50.27	11.13	59.55	37.05	31.9	123.5	32.59	6.73	158.79	54.72	58.3	18.97	1.91	3.56	5.92	4.9	0.85	3.86	3.53	1.97	2.07	4.39	18.84	9.85	0.0	2.36	3.72	0.88	5.23	7.11	2.14	7.94	3.96	1.45	26.1	18.84	2.73	7.88	5.87	9.48	4.86	4.17	7.82	14.03	1.19	10.39	1.51	4.35	2.63	28.45	2.01	7.69	10.55	6.57	2.43	1.1	3.99	10.08	2.58	3.23	30.78	6.94	6.16	0.88	6.94	1.66	8.45	16.88	9.78	0.06	4.03	1.69	2.07	3.29	9.41	2.97	10.08	8.38	16.63	1.41	10.08	1.87	1.27	3.99	3.29	2.01	9.34	2.73	3.59	88.26	100.13	45.21	95.34	329.84	23.25	5.73	4.62	81.71	167.9	73.54	195.72	217.27
MYBL2	1617.0	532.74	480.04	13.12	5.5	2.73	579.04	1896.65	172.65	193.01	82.29	13.83	23.25	231.32	17.9	48.87	10.08	17.9	57.89	500.46	239.52	1794.29	38.67	56.28	341.51	96.01	30.56	33.3	132.44	71.5	23.76	242.88	890.44	42.71	29.48	480.04	463.65	262.2	55.1	356.05	135.24	84.04	718.08	183.82	17.38	791.35	59.97	132.44	249.73	11.55	8.25	9.06	10.39	9.93	8.06	6.46	3.63	12.64	5.92	40.64	11.55	5.32	2.92	7.22	7.63	5.54	18.29	10.47	12.64	7.75	3.76	55.89	43.02	1.03	59.97	14.14	26.67	22.75	24.46	6.73	12.64	8.78	96.68	3.38	2.36	7.17	118.43	1.14	5.59	1.97	42.71	34.26	12.36	8.06	47.17	8.32	3.76	185.11	17.38	41.52	3.32	48.18	4.62	12.18	3.14	5.82	1.04	6.57	7.94	3.69	3.26	0.69	2.53	50.27	35.25	153.34	2.71	37.05	2.94	3.56	2.2	19.82	7.82	2.66	11.21	17.13	866.07	688.78	2271.4	1242.34	1819.35	108.9	13.22	9.48	3794.3	1233.75	563.18	1127.35	733.19
MYCBP	540.19	759.08	426.57	305.55	265.87	161.02	551.56	733.19	480.04	587.13	348.71	403.5	291.04	211.31	246.28	358.54	400.71	348.71	417.77	283.05	366.09	759.08	323.03	320.8	224.97	409.15	273.37	301.33	318.57	343.89	264.03	307.69	674.59	343.89	483.38	223.41	198.47	503.95	379.04	395.18	514.56	454.09	559.28	376.41	264.03	587.13	289.02	423.61	389.72	208.38	314.17	208.38	281.09	182.55	271.48	204.07	191.67	241.19	214.27	387.02	204.07	133.36	146.03	242.88	277.2	212.78	271.48	241.19	262.2	316.37	258.57	327.56	400.71	341.51	214.27	612.11	176.29	480.04	258.57	165.57	173.85	262.2	194.36	571.05	316.37	242.88	289.02	381.68	189.02	323.03	353.59	392.44	312.0	279.14	368.65	511.0	275.28	414.87	307.69	220.32	325.29	181.28	327.56	265.87	271.48	332.14	253.23	218.79	334.46	242.88	182.55	153.34	258.57	299.25	199.85	435.55	316.37	273.37	406.31	239.52	264.03	389.72	150.17	275.28	329.84	297.17	660.68	607.87	669.92	575.03	518.15	764.36	529.06	928.3	961.07	486.75	563.18	642.59	551.56
NCAPD2	733.19	559.28	215.77	92.7	97.36	44.89	2855.44	1191.69	483.38	381.68	114.36	54.33	81.71	165.57	41.22	130.6	111.99	189.02	146.03	441.64	153.34	1529.73	85.82	165.57	251.48	84.63	172.65	125.24	361.04	182.55	119.26	267.73	366.09	109.66	199.85	371.22	217.27	236.21	173.85	368.65	327.56	111.99	567.1	163.28	120.94	708.18	249.73	199.85	287.01	52.08	82.29	76.17	48.52	53.57	78.89	118.43	45.53	52.45	88.26	114.36	102.97	41.52	30.34	50.63	50.27	80.01	127.0	52.45	82.29	84.63	72.52	88.88	139.07	61.25	120.1	125.24	77.25	44.25	84.63	38.4	62.12	105.15	68.55	49.56	25.72	157.68	61.68	34.51	108.14	100.13	85.82	19.11	40.64	53.19	88.26	156.59	41.22	172.65	68.55	75.64	109.66	122.64	186.4	48.18	103.69	84.04	96.68	42.11	58.71	50.98	113.56	67.59	150.17	100.13	77.25	106.63	28.45	273.37	80.01	17.25	71.0	92.05	80.01	60.39	56.68	102.97	674.59	738.29	620.67	2224.63	2148.82	277.2	341.51	283.05	2240.11	1151.06	748.61	842.36	1225.22
NCAPG	232.94	93.35	167.9	2.58	6.26	2.23	2047.0	231.32	39.5	57.89	62.56	21.47	17.0	100.13	6.46	32.82	8.78	23.08	40.64	131.51	217.27	633.73	19.97	86.43	149.12	39.22	33.3	39.79	148.09	45.21	25.72	65.72	187.71	25.72	28.45	220.32	132.44	175.07	27.44	124.37	170.25	47.84	476.71	77.25	17.13	466.88	105.89	98.73	113.56	2.1	14.45	5.92	6.57	3.89	10.55	4.9	3.17	17.51	2.81	34.02	4.21	1.69	1.51	10.63	4.54	4.17	3.59	7.46	6.06	8.0	2.23	31.45	44.25	4.7	27.05	5.11	5.32	12.55	10.08	11.13	3.82	4.35	8.92	1.3	2.29	2.89	46.18	1.64	1.48	3.17	18.97	3.47	3.79	4.94	12.09	6.41	0.8	88.88	14.56	24.46	0.0	20.11	5.92	1.97	2.97	11.82	2.32	7.06	2.25	3.44	0.0	3.0	2.86	10.08	20.26	84.63	0.35	14.56	0.31	2.84	1.69	9.2	9.41	1.22	5.11	11.55	127.89	170.25	127.0	343.89	406.31	40.93	11.91	13.03	332.14	371.22	195.72	329.84	224.97
NDC80	392.44	285.03	277.2	13.93	9.06	1.04	343.89	728.11	56.68	92.05	69.52	16.75	32.13	108.14	24.11	34.26	12.36	41.22	61.25	301.33	237.86	769.69	24.63	91.41	204.07	50.98	52.82	54.72	198.47	73.03	47.17	79.45	134.3	43.32	29.27	289.02	175.07	234.57	49.91	151.22	173.85	59.55	497.0	128.79	43.02	429.54	217.27	176.29	97.36	3.89	22.92	5.68	11.04	9.48	7.0	12.83	4.54	9.63	6.36	53.95	13.62	2.63	5.59	8.19	6.52	8.45	11.38	10.0	8.78	16.51	4.7	27.25	53.95	5.96	35.76	5.23	6.62	12.55	15.68	22.75	4.94	13.72	12.36	2.81	1.79	4.46	30.12	8.32	5.02	1.08	14.24	3.69	6.67	3.96	17.77	3.2	6.67	88.26	6.52	35.25	5.15	9.63	23.08	3.66	4.74	5.11	8.19	5.36	13.32	3.17	0.0	23.25	1.6	16.51	22.92	65.26	3.69	30.78	1.57	5.63	9.06	11.3	5.96	0.0	7.28	7.94	253.23	269.6	384.34	723.08	669.92	100.83	40.93	80.01	454.09	872.1	343.89	1447.15	454.09
NDE1	563.18	813.63	178.77	82.29	159.9	145.02	1709.26	1540.37	417.77	231.32	115.16	108.9	152.28	195.72	145.02	129.69	56.28	98.73	139.07	221.86	279.14	403.5	81.71	256.78	121.79	90.77	128.79	94.67	279.14	146.03	149.12	212.78	248.0	117.6	242.88	185.11	185.11	107.38	242.88	323.03	295.11	128.79	343.89	103.69	159.9	463.65	397.93	191.67	175.07	84.63	56.68	96.68	82.29	149.12	59.55	95.34	42.41	116.78	39.22	127.0	77.25	113.56	70.51	100.13	72.01	74.58	120.1	69.52	185.11	117.6	50.98	119.26	144.01	40.93	244.57	172.65	217.27	108.9	41.81	79.45	218.79	51.35	53.19	75.64	81.71	86.43	77.79	87.03	46.5	70.01	144.01	309.83	102.25	107.38	140.04	113.56	40.07	119.26	94.67	69.03	149.12	58.71	75.11	121.79	41.81	47.17	64.34	66.65	325.29	47.5	65.26	129.69	120.1	144.01	52.82	153.34	42.71	204.07	26.47	76.71	47.84	137.14	65.72	183.82	108.9	69.03	1037.29	463.65	1175.27	967.76	559.28	387.02	361.04	400.71	967.76	536.45	624.99	363.56	587.13
NUF2	293.07	356.05	202.66	10.96	4.28	0.0	1540.37	500.46	37.05	91.41	72.01	11.55	18.56	113.56	13.32	24.99	9.48	15.0	77.25	351.14	236.21	708.18	16.39	71.5	110.43	54.33	32.59	46.5	212.78	33.3	20.71	56.68	148.09	19.39	24.99	457.25	211.31	303.44	20.56	102.97	111.21	62.12	748.61	88.88	16.15	457.25	202.66	104.42	137.14	2.51	12.93	4.06	8.45	3.23	7.57	3.56	2.58	18.7	1.11	17.64	7.69	2.16	1.93	7.28	3.32	3.56	10.31	3.41	4.74	7.82	1.62	28.24	25.54	4.74	19.82	8.58	5.45	12.18	7.0	10.24	4.62	15.56	28.86	5.02	4.13	2.76	28.24	3.76	8.06	4.86	13.83	8.13	0.0	10.79	11.82	11.13	1.45	52.45	12.27	15.8	3.92	12.64	0.0	4.46	6.06	5.23	13.32	5.02	5.87	0.47	0.0	1.43	1.83	9.41	40.07	49.91	0.0	19.39	4.46	1.58	9.2	9.06	1.87	1.43	1.73	11.3	231.32	406.31	314.17	599.49	1277.29	36.53	26.1	8.13	738.29	808.0	231.32	684.02	285.03
