	GTEX.U4B1.1226.SM.4DXT7	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.Y111.1726.SM.4SOIQ	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.RNOR.1326.SM.48FDE	GTEX.145MN.1126.SM.5RQJB	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.13OW8.2226.SM.5K7Z4	GTEX.T2IS.0926.SM.4DM5B	GTEX.148VJ.1126.SM.5NQBZ	TCGA.38.4625.01A.01R.1206.07	GTEX.12696.2226.SM.5EQ65	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.PWN1.2026.SM.48TD9	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
NPIPB9	6.16	18.16	0.0	12.93	9.7	9.7	10.16	66.65	23.93	30.78	69.52	92.05	64.8	10.71	27.25	36.53	43.32	53.95	19.68	52.45	24.46	19.11	32.36	14.67	58.71	81.14	30.56	90.77	29.27	95.34	0.0	13.52	7.88	9.63	1.5	52.82	17.51	56.28	15.34	14.78	7.51	37.85	36.79	16.63	5.54	11.13	31.67	15.0	3.63	20.41	9.06	4.9	9.41	32.13	2.89	12.55	20.56	7.51	20.41	6.46	9.85	5.59	2.16
PABPN1	1508.65	1561.89	1081.39	1233.75	1143.1	2075.59	3081.75	6164.49	5831.91	7230.1	6516.03	7032.37	5441.3	3349.13	5751.61	7911.95	4802.93	5791.62	2777.33	5041.77	5366.37	5366.37	4575.41	5517.27	5872.48	6516.03	5633.22	3639.7	5041.77	7642.41	2090.03	1250.98	2178.83	2400.97	1605.83	2609.3	3372.43	4607.24	1066.48	1427.22	928.3	3639.7	2303.12	1883.54	3018.3	2287.2	2061.24	1457.23	1529.73	2537.92	1216.75	1135.2	1199.98	3982.99	1572.76	1583.71	5041.77	3768.09	1551.09	2502.97	2627.46	2682.69	1923.14
PAN2	239.52	293.07	236.21	299.25	307.69	587.13	1167.14	2434.5	2104.58	2367.9	1651.0	2739.08	1561.89	1477.58	2335.28	3124.78	1832.01	3103.19	1119.56	2287.2	2875.3	2351.53	2104.58	2255.7	2255.7	2627.46	1977.24	2163.77	2119.22	2287.2	0.0	353.59	305.55	376.41	246.28	540.19	651.58	915.51	224.97	348.71	212.78	728.11	251.48	212.78	536.45	412.0	638.15	318.57	429.54	376.41	236.21	143.01	236.21	813.63	299.25	312.0	595.34	708.18	327.56	193.01	363.56	283.05	273.37
PIDD	155.5	193.01	180.02	102.97	111.21	241.19	529.06	830.75	764.36	688.78	571.05	947.83	525.39	283.05	669.92	884.29	483.38	759.08	361.04	693.58	723.08	723.08	536.45	595.34	547.75	878.17	579.04	669.92	624.99	866.07	0.0	111.21	224.97	135.24	242.88	406.31	249.73	387.02	140.04	141.02	82.29	258.57	237.86	189.02	224.97	267.73	307.69	147.06	159.9	125.24	78.34	113.56	100.83	329.84	141.02	155.5	323.03	204.07	148.09	117.6	128.79	124.37	130.6
PIGG	503.95	551.56	368.65	470.14	384.34	764.36	1487.87	2119.22	2018.8	2119.22	2209.26	2645.74	1447.15	1359.57	2287.2	2400.97	1936.53	2434.5	1467.37	1909.85	2104.58	1832.01	1685.71	2104.58	1870.53	2319.15	1662.49	1561.89	1757.34	2956.17	0.0	718.08	429.54	295.11	226.54	1191.69	941.27	1111.82	718.08	532.74	406.31	785.88	785.88	703.28	1037.29	896.64	934.76	738.29	571.05	769.69	463.65	403.5	414.87	1191.69	432.53	638.15	1388.16	1030.12	909.17	511.0	624.99	723.08	403.5
PLA2G4B	92.7	71.0	7.22	32.82	17.9	116.78	138.1	567.1	463.65	684.02	432.53	674.59	366.09	185.11	409.15	441.64	376.41	473.41	130.6	514.56	463.65	392.44	312.0	339.14	429.54	441.64	366.09	363.56	514.56	232.94	0.0	23.42	111.21	140.04	507.46	135.24	289.02	287.01	50.98	82.29	52.08	253.23	163.28	121.79	59.97	157.68	189.02	167.9	51.35	115.16	42.41	40.07	31.9	234.57	67.12	78.34	228.13	114.36	162.14	64.8	88.26	90.77	65.26
POGZ	521.76	514.56	507.46	571.05	490.14	1088.92	1313.23	2720.15	2537.92	2240.11	1936.53	2875.3	2384.37	2075.59	2976.74	3039.3	2351.53	3124.78	1617.0	2255.7	2855.44	3146.52	2468.49	2895.31	2384.37	3018.3	2502.97	2224.63	2400.97	2367.9	366.09	400.71	387.02	435.55	406.31	961.07	1709.26	2468.49	665.29	595.34	507.46	1923.14	674.59	612.11	1127.35	1001.93	1551.09	764.36	669.92	1023.0	432.53	400.71	587.13	1322.37	470.14	674.59	1745.2	954.43	796.86	392.44	525.39	480.04	358.54
POLM	223.41	162.14	165.57	206.94	185.11	299.25	339.14	791.35	723.08	480.04	567.1	780.44	403.5	366.09	651.58	624.99	460.44	591.22	334.46	647.07	679.29	483.38	543.96	493.56	518.15	684.02	595.34	483.38	480.04	575.03	0.0	231.32	162.14	124.37	128.79	334.46	348.71	389.72	269.6	191.67	154.42	269.6	371.22	165.57	264.03	264.03	366.09	256.78	189.02	182.55	180.02	150.17	275.28	447.82	214.27	236.21	332.14	275.28	224.97	148.09	204.07	176.29	178.77
POMT1	406.31	480.04	356.05	256.78	320.8	591.22	1096.5	1883.54	1832.01	1498.22	1639.59	2047.0	995.0	866.07	1794.29	2224.63	1340.84	1709.26	718.08	1617.0	1794.29	1295.13	1685.71	1529.73	1277.29	1991.0	1225.22	1508.65	1498.22	2485.67	0.0	476.71	291.04	281.09	361.04	373.81	974.5	1277.29	323.03	253.23	198.47	698.41	802.41	293.07	400.71	368.65	647.07	293.07	314.17	348.71	255.0	218.79	303.44	733.19	232.94	412.0	866.07	483.38	409.15	353.59	447.82	490.14	327.56
PPOX	389.72	208.38	297.17	299.25	295.11	587.13	507.46	1199.98	1216.75	1417.35	743.43	1477.58	723.08	656.11	1037.29	1359.57	878.17	1295.13	507.46	1059.11	1199.98	819.3	780.44	866.07	1073.91	1199.98	854.13	836.53	1388.16	854.13	0.0	277.2	275.28	253.23	500.46	532.74	575.03	688.78	232.94	167.9	209.84	647.07	194.36	177.53	318.57	325.29	473.41	215.77	293.07	201.25	159.9	172.65	197.09	583.07	223.41	256.78	275.28	341.51	253.23	221.86	463.65	363.56	269.6
PPT2	432.53	299.25	277.2	332.14	389.72	819.3	351.14	854.13	698.41	961.07	567.1	743.43	808.0	616.37	1059.11	791.35	941.27	1104.13	420.68	884.29	872.1	967.76	860.08	651.58	1001.93	1073.91	802.41	775.05	974.5	743.43	0.0	279.14	688.78	1051.79	708.18	441.64	665.29	674.59	400.71	379.04	381.68	890.44	275.28	318.57	629.35	412.0	921.88	366.09	447.82	571.05	403.5	329.84	307.69	1030.12	397.93	532.74	551.56	909.17	493.56	154.42	603.67	273.37	214.27
PPT2-EGFL8	29.91	14.24	8.06	25.35	33.54	83.45	126.12	363.56	260.38	318.57	226.54	356.05	231.32	141.02	312.0	309.83	249.73	323.03	180.02	291.04	236.21	376.41	186.4	159.9	202.66	291.04	221.86	305.55	224.97	246.28	0.0	16.63	45.53	72.01	57.49	67.12	87.65	91.41	41.81	36.79	27.44	119.26	17.38	34.26	33.78	63.0	111.99	39.5	38.4	33.06	10.0	23.25	33.06	134.3	36.79	50.98	73.54	47.84	51.35	16.03	91.41	51.35	22.75
PRPF40B	316.37	249.73	237.86	358.54	368.65	563.18	518.15	941.27	954.43	1073.91	947.83	1037.29	587.13	607.87	1051.79	1096.5	713.11	1066.48	493.56	860.08	884.29	775.05	830.75	842.36	802.41	1001.93	743.43	723.08	915.51	928.3	0.0	194.36	336.79	234.57	205.5	450.94	543.96	769.69	186.4	279.14	182.55	320.8	175.07	256.78	460.44	417.77	540.19	167.9	195.72	262.2	167.9	209.84	180.02	503.95	251.48	269.6	808.0	334.46	332.14	262.2	299.25	325.29	236.21
PRRT2	169.07	202.66	88.26	129.69	161.02	279.14	246.28	1183.45	1008.9	1457.23	748.61	1088.92	915.51	607.87	941.27	1359.57	995.0	1183.45	403.5	854.13	988.12	981.29	934.76	974.5	1044.52	1388.16	842.36	796.86	961.07	738.29	0.0	155.5	10.39	65.26	31.45	366.09	540.19	529.06	102.25	59.97	43.94	450.94	87.03	115.16	211.31	146.03	486.75	118.43	87.03	199.85	85.82	45.53	72.01	406.31	51.71	135.24	389.72	218.79	105.89	49.56	124.37	122.64	35.5
PRSS50	1.99	2.53	0.92	3.96	2.25	12.0	51.35	82.87	198.47	152.28	120.94	237.86	78.34	32.13	132.44	129.69	73.03	78.89	29.91	96.01	105.89	54.72	72.52	74.06	60.82	85.82	111.21	95.34	117.6	143.01	0.0	3.44	7.63	0.49	10.71	49.21	71.0	74.58	7.46	2.05	0.65	25.91	6.67	29.7	9.56	11.73	42.71	24.63	2.32	15.91	7.34	3.2	1.68	19.97	0.59	11.64	40.36	6.52	15.0	4.31	0.74	24.63	0.0
PRSS53	10.79	24.46	10.55	9.56	15.45	91.41	81.71	176.29	119.26	155.5	170.25	189.02	106.63	68.55	134.3	197.09	185.11	164.42	81.14	125.24	128.79	154.42	255.0	231.32	177.53	164.42	117.6	111.99	105.15	283.05	0.0	21.01	4.1	15.56	24.99	61.25	75.64	133.36	11.21	8.38	8.99	60.82	34.75	11.38	19.97	21.94	32.82	11.73	20.26	16.03	8.99	4.62	12.45	27.05	9.78	20.11	84.04	28.65	35.0	3.23	12.64	21.32	8.85
PTDSS2	457.25	503.95	358.54	379.04	397.93	476.71	633.73	830.75	995.0	1030.12	796.86	1044.52	808.0	511.0	967.76	836.53	796.86	830.75	575.03	791.35	842.36	785.88	743.43	708.18	974.5	802.41	603.67	753.83	753.83	748.61	0.0	400.71	423.61	728.11	470.14	490.14	775.05	656.11	381.68	307.69	346.29	503.95	412.0	334.46	503.95	500.46	532.74	242.88	285.03	320.8	387.02	348.71	289.02	532.74	397.93	490.14	723.08	525.39	435.55	229.72	490.14	373.81	379.04
RABGGTA	555.41	414.87	287.01	231.32	234.57	417.77	473.41	1088.92	1388.16	1437.15	723.08	1322.37	954.43	483.38	1225.22	1216.75	748.61	1208.34	483.38	981.29	902.89	1081.39	591.22	974.5	780.44	1242.34	836.53	1096.5	1104.13	563.18	0.0	379.04	915.51	909.17	1096.5	708.18	813.63	819.3	305.55	379.04	438.59	708.18	466.88	400.71	473.41	536.45	684.02	299.25	490.14	397.93	384.34	371.22	414.87	518.15	444.72	417.77	703.28	463.65	329.84	262.2	435.55	358.54	361.04
RALGPS1	104.42	100.83	191.67	163.28	215.77	246.28	181.28	543.96	674.59	547.75	409.15	463.65	454.09	660.68	624.99	872.1	529.06	698.41	193.01	426.57	490.14	395.18	521.76	713.11	723.08	583.07	429.54	450.94	514.56	400.71	0.0	115.16	51.71	41.81	98.04	231.32	232.94	373.81	122.64	108.14	87.65	255.0	162.14	164.42	195.72	120.1	269.6	109.66	198.47	155.5	127.0	94.67	131.51	197.09	84.63	226.54	291.04	175.07	139.07	41.52	177.53	107.38	63.0
RBM5	848.22	791.35	928.3	1175.27	1088.92	2384.37	2701.35	5479.15	3874.05	4869.99	3982.99	6207.38	3039.3	4210.15	5403.7	6037.61	4181.07	5479.15	2758.13	4937.99	6471.02	5633.22	3794.3	4903.87	3742.05	6294.04	4210.15	5147.73	4607.24	4210.15	0.0	1008.9	866.07	1059.11	1008.9	1794.29	2193.99	3081.75	915.51	1295.13	748.61	2090.03	2032.85	995.0	1427.22	1175.27	1781.89	1143.1	1111.82	1427.22	669.92	536.45	854.13	1757.34	878.17	1135.2	3146.52	1662.49	1001.93	902.89	1519.15	1286.18	1023.0
RFNG	902.89	1119.56	669.92	759.08	791.35	988.12	1159.07	1963.57	1977.24	2255.7	1135.2	2193.99	1769.57	1037.29	1605.83	2119.22	1628.26	1819.35	1059.11	1628.26	1674.06	1487.87	1437.15	1529.73	1697.45	1857.6	1628.26	1417.35	1709.26	1073.91	0.0	563.18	536.45	854.13	493.56	1216.75	1870.53	1457.23	890.44	624.99	738.29	1268.46	579.04	432.53	896.64	934.76	961.07	638.15	884.29	808.0	813.63	825.0	802.41	1127.35	802.41	1159.07	607.87	896.64	825.0	738.29	928.3	743.43	819.3
RP11-1407O15.2	220.32	170.25	231.32	251.48	158.79	279.14	551.56	698.41	532.74	503.95	438.59	848.22	473.41	607.87	466.88	703.28	587.13	624.99	444.72	616.37	753.83	543.96	480.04	599.49	616.37	819.3	583.07	551.56	748.61	521.76	0.0	177.53	162.14	379.04	177.53	327.56	228.13	397.93	190.34	164.42	104.42	381.68	183.82	125.24	320.8	273.37	454.09	154.42	176.29	224.97	90.14	157.68	115.97	353.59	110.43	277.2	387.02	463.65	204.07	107.38	180.02	155.5	95.34
RP9	287.01	170.25	277.2	343.89	248.0	406.31	373.81	669.92	412.0	616.37	463.65	684.02	480.04	426.57	540.19	423.61	438.59	579.04	463.65	376.41	511.0	363.56	518.15	368.65	599.49	423.61	441.64	420.68	684.02	497.0	0.0	329.84	529.06	218.79	426.57	299.25	387.02	791.35	195.72	220.32	269.6	591.22	339.14	231.32	242.88	305.55	255.0	142.01	309.83	303.44	320.8	287.01	269.6	551.56	366.09	246.28	237.86	341.51	205.5	314.17	287.01	201.25	287.01
RXRB	718.08	684.02	647.07	775.05	825.0	1233.75	1081.39	1529.73	1583.71	1487.87	1819.35	1662.49	902.89	1322.37	1617.0	2075.59	1519.15	1583.71	1044.52	1437.15	1467.37	1583.71	1216.75	1417.35	1617.0	1977.24	1268.46	1199.98	1508.65	2018.8	0.0	842.36	759.08	624.99	490.14	921.88	1304.15	1268.46	669.92	679.29	703.28	808.0	1088.92	612.11	967.76	830.75	1143.1	616.37	728.11	941.27	500.46	543.96	728.11	1216.75	769.69	638.15	1583.71	1088.92	769.69	647.07	848.22	866.07	665.29
SAMD10	45.85	57.49	19.82	6.94	12.83	40.36	63.0	138.1	156.59	170.25	146.03	172.65	177.53	97.36	223.41	229.72	89.51	122.64	59.13	105.15	122.64	96.68	194.36	136.19	190.34	153.34	156.59	120.1	187.71	103.69	0.0	64.34	53.57	40.64	69.03	85.82	156.59	161.02	53.95	40.36	46.18	98.04	43.94	52.08	127.0	54.72	116.78	25.35	69.03	39.79	50.27	36.79	41.22	149.12	75.64	38.12	29.91	84.63	55.49	43.94	114.36	38.12	27.64
SCNN1D	12.74	42.41	13.32	19.25	52.08	49.21	190.34	575.03	599.49	629.35	463.65	921.88	438.59	193.01	915.51	497.0	463.65	559.28	126.12	595.34	497.0	423.61	358.54	297.17	334.46	521.76	551.56	620.67	503.95	470.14	0.0	1.81	22.43	117.6	64.34	155.5	126.12	226.54	33.54	20.86	9.48	153.34	27.84	59.13	65.26	68.55	267.73	53.95	51.35	58.3	47.84	22.59	6.36	229.72	24.11	37.85	40.07	54.33	125.24	22.26	32.36	38.67	52.08
SETDB1	438.59	246.28	341.51	358.54	303.44	575.03	551.56	842.36	866.07	1127.35	842.36	1008.9	514.56	669.92	860.08	1167.14	819.3	854.13	521.76	848.22	842.36	825.0	567.1	684.02	825.0	941.27	738.29	718.08	759.08	988.12	0.0	381.68	466.88	392.44	325.29	642.59	493.56	616.37	334.46	346.29	285.03	429.54	599.49	450.94	403.5	432.53	579.04	267.73	341.51	327.56	214.27	218.79	271.48	693.58	346.29	287.01	423.61	450.94	395.18	285.03	414.87	423.61	289.02
SGK494	16.51	32.13	13.32	13.22	13.83	68.55	93.35	316.37	201.25	239.52	221.86	318.57	194.36	178.77	253.23	356.05	273.37	366.09	169.07	277.2	232.94	255.0	295.11	358.54	285.03	307.69	262.2	271.48	170.25	316.37	0.0	19.25	30.12	59.55	37.05	69.52	82.87	150.17	27.64	31.45	21.16	111.21	90.14	20.56	91.41	41.22	80.01	40.36	28.65	40.07	21.32	5.41	23.08	144.01	24.63	41.22	146.03	63.45	73.03	5.36	30.78	18.97	18.43
SH3GLB2	1709.26	1605.83	1388.16	1745.2	1757.34	2193.99	2451.44	3168.41	3168.41	3325.99	2468.49	3443.31	3794.3	2816.11	3018.3	3419.52	3103.19	3540.14	2303.12	3212.66	2915.45	3874.05	2835.7	3212.66	3742.05	3564.78	2935.74	2701.35	3124.78	2400.97	0.0	1015.93	947.83	1936.53	1313.23	1870.53	2591.27	2915.45	1388.16	1378.57	1295.13	2502.97	988.12	1378.57	1832.01	1769.57	2609.3	1250.98	2075.59	1662.49	1268.46	1819.35	1331.57	2178.83	1350.18	1745.2	1936.53	1685.71	1651.0	981.29	1529.73	1806.78	1359.57
SLC27A1	293.07	154.42	185.11	287.01	251.48	438.59	334.46	1008.9	896.64	1051.79	616.37	1030.12	599.49	514.56	842.36	1066.48	878.17	1111.82	366.09	748.61	733.19	728.11	529.06	529.06	723.08	988.12	656.11	703.28	896.64	483.38	223.41	217.27	187.71	258.57	212.78	536.45	480.04	497.0	156.59	195.72	197.09	591.22	96.68	99.43	307.69	309.83	536.45	187.71	244.57	291.04	114.36	129.69	143.01	563.18	145.02	289.02	277.2	246.28	221.86	102.97	248.0	231.32	129.69
SMPD4	624.99	688.78	688.78	551.56	679.29	896.64	1001.93	1561.89	1519.15	1519.15	1259.69	1662.49	1073.91	928.3	1322.37	1350.18	1388.16	1508.65	1081.39	1397.83	1233.75	1340.84	1167.14	1233.75	1286.18	1447.15	1277.29	1175.27	1233.75	1167.14	0.0	555.41	551.56	525.39	599.49	1119.56	1268.46	1457.23	595.34	642.59	543.96	1073.91	1135.2	723.08	921.88	915.51	743.43	599.49	743.43	825.0	775.05	486.75	642.59	909.17	665.29	743.43	748.61	866.07	703.28	647.07	796.86	642.59	733.19
SPIN2A	3.72	5.11	11.38	2.63	7.06	21.63	12.36	60.82	25.72	69.03	18.7	60.82	37.59	29.48	47.5	44.89	29.91	37.59	18.16	40.36	24.63	37.59	13.93	20.11	44.25	49.91	34.75	36.27	49.91	14.35	0.0	5.11	2.92	13.72	4.58	18.43	24.99	19.39	7.06	7.75	4.35	17.51	8.71	3.14	10.08	7.34	18.43	4.62	9.56	5.45	2.12	2.73	6.46	35.25	7.17	7.46	8.71	8.71	2.66	11.64	11.13	10.16	8.92
SPIN3	45.85	37.59	63.89	59.13	66.18	115.97	87.03	285.03	146.03	244.57	100.83	201.25	190.34	155.5	202.66	232.94	251.48	249.73	116.78	242.88	204.07	152.28	189.02	88.88	151.22	255.0	126.12	180.02	231.32	177.53	0.0	69.52	32.13	31.9	13.32	115.97	134.3	231.32	103.69	43.94	34.02	265.87	47.5	29.06	64.8	58.71	182.55	38.4	39.5	23.59	21.47	17.13	57.49	205.5	44.89	67.12	54.72	83.45	41.52	43.63	70.01	64.34	32.13
STK11	591.22	642.59	718.08	723.08	808.0	909.17	981.29	1832.01	1923.14	1519.15	2287.2	2178.83	1519.15	909.17	1757.34	1639.59	896.64	1498.22	902.89	1572.76	1286.18	1030.12	1191.69	848.22	1331.57	1508.65	1199.98	967.76	1467.37	1322.37	1277.29	583.07	1135.2	1175.27	1340.84	915.51	995.0	941.27	624.99	490.14	529.06	802.41	1059.11	454.09	629.35	947.83	703.28	423.61	518.15	753.83	563.18	525.39	540.19	928.3	563.18	802.41	947.83	748.61	723.08	389.72	825.0	547.75	559.28
SUV420H2	97.36	62.56	84.04	77.79	98.73	199.85	206.94	791.35	457.25	463.65	409.15	813.63	229.72	214.27	591.22	417.77	351.14	547.75	265.87	426.57	507.46	295.11	366.09	368.65	511.0	536.45	366.09	255.0	454.09	525.39	0.0	70.01	76.17	88.26	119.26	209.84	356.05	309.83	137.14	69.03	90.14	190.34	223.41	106.63	153.34	108.9	223.41	70.51	126.12	79.45	38.12	77.79	78.34	493.56	77.25	93.35	295.11	155.5	118.43	87.65	185.11	110.43	87.65
TAZ	423.61	339.14	241.19	291.04	301.33	563.18	693.58	1508.65	1167.14	1437.15	1151.06	1572.76	884.29	651.58	1216.75	1331.57	1073.91	1617.0	738.29	1628.26	1397.83	1119.56	961.07	890.44	1175.27	1457.23	1143.1	1199.98	1159.07	1081.39	0.0	215.77	450.94	563.18	651.58	759.08	688.78	660.68	314.17	279.14	267.73	579.04	363.56	256.78	532.74	384.34	460.44	373.81	371.22	336.79	379.04	218.79	336.79	693.58	348.71	353.59	551.56	559.28	356.05	316.37	373.81	366.09	279.14
TBC1D3	18.84	66.18	35.76	38.95	25.35	77.79	185.11	260.38	133.36	185.11	228.13	353.59	101.54	106.63	111.99	297.17	258.57	232.94	94.67	239.52	275.28	126.12	115.16	265.87	84.63	395.18	220.32	229.72	642.59	60.82	0.0	40.93	14.78	62.12	126.12	75.64	112.77	183.82	38.12	48.87	11.3	98.04	44.89	18.7	23.59	92.7	55.1	45.53	42.41	62.12	37.05	40.07	8.71	56.68	20.11	31.67	52.45	127.89	42.71	34.26	123.5	51.71	44.57
TBC1D3F	66.18	46.18	12.09	48.87	110.43	135.24	325.29	403.5	500.46	429.54	195.72	417.77	476.71	325.29	511.0	551.56	571.05	525.39	285.03	540.19	529.06	441.64	417.77	289.02	748.61	432.53	507.46	500.46	167.9	314.17	0.0	69.03	33.06	98.73	64.8	144.01	187.71	215.77	54.72	57.89	24.81	131.51	214.27	45.21	123.5	49.21	166.73	77.79	88.88	133.36	46.5	39.79	42.41	82.29	33.3	80.57	226.54	71.5	70.51	74.58	66.18	120.1	43.94
TFAP2E	1.85	24.99	2.68	2.63	6.62	11.73	33.78	84.63	47.17	57.89	91.41	78.34	61.25	23.42	44.57	84.63	68.07	49.21	38.67	68.55	44.57	40.93	73.03	24.81	45.85	71.5	48.87	65.26	74.58	39.5	0.0	4.7	6.36	10.31	9.41	11.55	41.22	78.34	12.36	2.29	2.97	24.81	11.64	8.85	9.34	13.22	20.56	6.41	6.84	18.84	6.26	4.31	4.13	11.73	0.92	8.32	34.26	10.79	9.93	10.31	9.13	22.75	3.35
TIAL1	842.36	791.35	902.89	909.17	854.13	1295.13	1561.89	2255.7	1721.16	2209.26	2004.85	2384.37	1674.06	1963.57	2032.85	2061.24	2224.63	2133.97	1295.13	2287.2	2956.17	2193.99	2303.12	2224.63	1963.57	2133.97	2004.85	2520.38	2018.8	2133.97	0.0	981.29	1135.2	1594.73	802.41	1233.75	1159.07	2090.03	780.44	785.88	551.56	1407.55	1540.37	769.69	1709.26	928.3	1313.23	738.29	954.43	1015.93	688.78	713.11	684.02	1151.06	733.19	1331.57	2739.08	1369.04	791.35	796.86	785.88	802.41	764.36
TMEM143	198.47	211.31	220.32	182.55	145.02	232.94	223.41	384.34	366.09	518.15	275.28	353.59	447.82	305.55	327.56	490.14	384.34	400.71	327.56	371.22	460.44	269.6	329.84	493.56	406.31	420.68	438.59	303.44	420.68	409.15	0.0	116.78	403.5	476.71	738.29	221.86	236.21	273.37	161.02	132.44	135.24	190.34	104.42	119.26	176.29	206.94	251.48	133.36	165.57	124.37	57.89	116.78	127.0	220.32	137.14	212.78	197.09	197.09	140.04	70.51	122.64	85.22	110.43
TMEM178A	20.56	14.35	26.47	32.13	43.63	269.6	100.83	329.84	397.93	579.04	397.93	361.04	547.75	98.73	444.72	470.14	255.0	289.02	75.64	318.57	262.2	297.17	334.46	242.88	368.65	265.87	389.72	251.48	351.14	269.6	0.0	67.59	6.67	13.32	11.55	27.64	323.03	327.56	55.49	41.81	28.45	206.94	84.04	53.95	56.68	77.79	117.6	75.11	32.82	77.79	32.13	9.48	22.92	77.79	34.02	31.45	253.23	28.45	47.84	17.0	53.95	126.12	6.89
TNK2	567.1	490.14	392.44	764.36	583.07	830.75	1015.93	2468.49	2609.3	2271.4	2104.58	2875.3	2520.38	967.76	2178.83	2758.13	1417.35	2178.83	748.61	2287.2	2018.8	1457.23	2351.53	1617.0	1617.0	2090.03	1709.26	1340.84	2148.82	2451.44	0.0	275.28	1183.45	854.13	974.5	1781.89	2400.97	4869.99	629.35	547.75	435.55	2319.15	1051.79	642.59	1111.82	1242.34	2335.28	638.15	1191.69	1037.29	583.07	450.94	733.19	2004.85	444.72	928.3	2645.74	1540.37	1015.93	158.79	571.05	507.46	244.57
TSC2	866.07	890.44	854.13	1088.92	1111.82	1407.55	1870.53	3146.52	2645.74	3589.58	2018.8	3874.05	2816.11	1745.2	2720.15	3190.46	2351.53	3349.13	1977.24	2485.67	2319.15	2468.49	2351.53	2485.67	2645.74	3257.52	2434.5	1936.53	2645.74	1991.0	587.13	656.11	748.61	1015.93	769.69	1651.0	1977.24	1167.14	718.08	830.75	620.67	1199.98	728.11	974.5	1259.69	954.43	1304.15	1044.52	896.64	830.75	551.56	698.41	620.67	1540.37	890.44	733.19	848.22	1183.45	1111.82	872.1	967.76	909.17	909.17
TSNARE1	363.56	120.1	204.07	287.01	223.41	323.03	281.09	511.0	599.49	493.56	273.37	759.08	563.18	316.37	738.29	432.53	426.57	521.76	287.01	480.04	490.14	403.5	567.1	503.95	432.53	603.67	277.2	381.68	651.58	181.28	0.0	279.14	221.86	177.53	223.41	423.61	281.09	500.46	305.55	297.17	146.03	297.17	169.07	206.94	198.47	305.55	303.44	199.85	241.19	346.29	170.25	133.36	164.42	329.84	141.02	190.34	167.9	198.47	297.17	205.5	389.72	205.5	135.24
TTC14	201.25	256.78	155.5	199.85	204.07	438.59	728.11	1135.2	1143.1	1322.37	1023.0	1127.35	1059.11	1104.13	1268.46	1508.65	1216.75	1378.57	872.1	1359.57	1697.45	1745.2	1096.5	1417.35	1044.52	1417.35	915.51	1322.37	1066.48	1088.92	0.0	295.11	180.02	217.27	220.32	723.08	872.1	981.29	503.95	277.2	166.73	890.44	122.64	154.42	220.32	351.14	521.76	339.14	183.82	234.57	73.03	132.44	181.28	551.56	223.41	262.2	1151.06	463.65	156.59	215.77	228.13	314.17	295.11
